"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",212.250634920635,"Up",392615000,-168060000,224555000,-60416000,-34875000,-25541000,164139000,-3583000,-125000,-3917000,459000,160556000,160556000,-44959000,115597000,115597000,0,115597000,115597000,1045922000,880267000,226756000,226756000,282495000,87366000,46727000,40639000,1642539000,441494000,162032000,49669000,40547000,20673000,603526000,2246065000,178615000,34271000,10060000,134284000,3576000,182191000,46296000,58479000,58479000,104775000,286966000,693342000,1390911000,-89297000,1959099000,1959099000,2246065000,115597000,16702000,30537000,912000,163748000,-55436000,32044000,-138020000,27309000,3345000,6144000,30654000,56382000,56382000,15774000,72156000,180841000,49872000,171276000,0.57195,0.41807,0.29443,0.05901,0.05147,1.48166,9.01548,0.14648,0.0222,2.16312,2.11337,7.34684,36.65979,3.20501,0.05591,0.08284,-5.50788,-6.06833
"30","2018_Q1",246.756721311475,"Up",361055000,-152262000,208793000,-61619000,-35030000,-26589000,147174000,1248000,86000,1093000,68999.9999999999,148422000,148422000,-95466000,52956000,52956000,0,52956000,52956000,1116157000,909900000,237278000,237278000,307712000,92863000,47919000,44944000,1754010000,460206000,153039000,51223000,26976000,19009000,613245000,2367255000,195299000,35109000,15773000,144417000,3604000,198903000,45378000,100652000,100652000,146030000,344933000,704732000,1443867000,-77344000,2022322000,2022322000,2367255000,52956000,18152000,24706000,12731000,108545000,-26869000,24516000,-77489000,-890999.999999993,-7718000,5358000,-8608999.99999999,22447000,22447000,7186000,29633000,165326000,48982000,246654000,0.57829,0.40762,0.14667,0.02619,0.02237,4.65772,8.81842,0.17056,0.02069,0.98446,0.95836,6.71206,37.59522,4.58533,0.02438,0.11356,-6.45497,-7.25111
"31","2018_Q2",236.00015625,"Down",359864000,-156502000,203362000,-67557000,-39011000,-28546000,135805000,6049000,311000,5295000,443000,141854000,141854000,-35520000,106334000,106334000,0,106334000,106334000,1175909000,969123000,235477000,235477000,356375000,97125000,54695000,42430000,1864886000,483907000,149214000,49284000,24940000,19285000,633121000,2498007000,191939000,33369000,22820000,135750000,3621000,195560000,44466000,112612000,112612000,157078000,352638000,714260000,1550807000,-50694000,2145369000,2145369000,2498007000,106334000,19223000,21147000,-47051000,99653000,-38903000,-540000,-39443000,-895000,-16958000,3113000,-17853000,42357000,42357000,16866000,59223000,155028000,48087000,104594000,0.56511,0.37738,0.29548,0.04956,0.04257,0.98364,9.53613,0.16437,0.01925,1.98037,1.92697,6.70213,39.95547,1.94796,0.04611,0.04536,-7.27496,-8.30472
"32","2018_Q3",185.558571428571,"Down",413613000,-178638000,234975000,-70466000,-38653000,-31813000,164509000,-1003000,730000,-2119000,386000,163506000,163506000,-41889000,121617000,121617000,0,121617000,121617000,1125762000,816792000,242128000,242128000,376019000,92126000,51911000,40215000,1836035000,514767000,179676000,47249000,27818000,44993000,694443000,2530478000,206642000,42989000,29339000,134314000,3637000,210279000,43551000,104491000,104491000,148042000,358321000,729087000,1672424000,-129357000,2172157000,2172157000,2530478000,121617000,19504000,17529000,-49752000,108898000,-56972000,162346000,-188878000,-899000,-23475000,7518000,-24374000,-104354000,-104354000,-47977000,-152331000,184013000,47188000,119178000,0.5681,0.39774,0.29404,0.05599,0.04806,0.979949999999999,8.73142,0.16496,0.01865,2.26635,2.21154,7.70774,40.4785,2.2209,0.05233,0.05129,-5.8614,-6.55632
"33","2018_Q4",132.92746031746,"Down",356346000,-161163000,195183000,-69633000,-38724000,-30909000,125550000,2620000,3884000,-1687000,423000,128170000,128170000,-27418000,100752000,100752000,-235000,100517000,100517000,1122028000,647606000,251613000,251613000,397409000,111235000,50013000,61222000,1882285000,529163000,150651000,45844000,19995000,28043000,679814000,2562099000,214331000,29494000,47777000,137060000,3654000,217985000,42631000,94675000,94675000,137306000,355291000,738290000,1772941000,-144409000,2205963000,2206808000,2562099000,100752000,20167000,12588000,-61807000,71700000,-36725000,124847000,-188547000,-902000,-59378000,1484000,-59902000,-176749000,-176749000,7563000,-169186000,145717000,46285000,74603000,0.54773,0.35233,0.28208,0.04555,0.03923,0.74219,8.63493,0.161,0.01807,1.87633,1.83774,6.65185,41.17831,1.3926,0.04281,0.03178,-7.38241,-8.56824
"34","2019_Q1",141.544754098361,"Up",330051000,-163303000,166748000,-75357000,-43856000,-31501000,91391000,9474000,4132000,4661000,681000,100865000,100865000,-25399000,75466000,75466000,93000,75559000,75559000,1044790000,544358000,255509000,255509000,403579000,101546000,57764000,43782000,1805424000,543068000,225958000,87139000,19165000,18932000,769026000,2574450000,242103000,36302000,51161000,154640000,3671000,245774000,41707000,80734000,80734000,122441000,368215000,744942000,1848500000,-162896000,2205548000,2206235000,2574450000,75466000,21377000,4793000,11414000,113050000,-26717000,-581220000,-146131000,-908000,-76254000,-12115000,-64518000,-97599000,-97599000,-5649000,-103248000,112768000,45378000,122864000,0.50522,0.2769,0.22893,0.03425,0.02935,1.62607,7.34587,0.1669,0.01763,1.42132,1.39836,6.20852,41.48808,2.31117,0.0324,0.05268,-8.86255,-10.93556
"35","2019_Q2",151.23619047619,"Up",315047000,-166136000,148911000,-78983000,-46487000,-32496000,69928000,2330000,3952000,-1613000,-9000,72258000,72258000,-17342000,54916000,54916000,243000,55159000,55159000,1030077000,548938000,231850000,231850000,417817000,112350000,61389000,50961000,1792094000,570756000,265886000,93280000,17438000,44819000,836642000,2628736000,206128000,39970000,13007000,153151000,3688000,209816000,40779000,109853000,109853000,150632000,360448000,746931000,1903659000,-157751000,2267841000,2268288000,2628736000,54916000,22802000,27639000,-61702000,43655000,-32807000,24770000,-23152000,-911000,-6149000,-6149000,-7060000,13443000,13443000,-5997000,7446000,92730000,44467000,15563000,0.47266,0.22196,0.17508,0.02432,0.02098,0.28215,8.54126,0.15891,0.01692,1.04072,1.02385,5.94417,42.78865,0.29364,0.02277,0.00642,-10.62881,-14.09464
"36","2019_Q3",132.40265625,"Down",363769000,-183532000,180237000,-84073000,-49201000,-34872000,96164000,-365000,4051000,-5074000,658000,95799000,95799000,-23278000,72521000,72521000,-249000,72272000,72272000,1042829000,530013000,273697000,273697000,425996000,120560000,70675000,49885000,1863082000,600977000,273357000,89906000,20833000,51750000,874334000,2737416000,218523000,38016000,19298000,161209000,3705000,222228000,39846000,107981000,107981000,147827000,370055000,761941000,1975931000,-143943000,2366647000,2367361000,2737416000,72521000,24684000,19072000,-58153000,58124000,-53397000,-29709000,-83106000,-916000,3833000,6117000,2917000.00000001,-22065000,-22065000,3238000,-18827000,120848000,43551000,32576000,0.49547,0.26435,0.19868,0.03053,0.0264,0.45074,8.38365,0.15632,0.01591,1.35975,1.33946,6.84407,44.52686,0.6129,0.02869,0.01293,-8.26888,-10.39139
"37","2019_Q4",139.20359375,"Up",329138000,-176280000,152858000,-77905000,-45745000,-32160000,74953000,2406000,3734000,-808000,-520000,77359000,77359000,-20232000,57127000,57127000,126000,57253000,57253000,1078837000,580329000,252926000,252926000,417163000,116589000,65896000,50693000,1865515000,596138000,269251000,85561000,23415000,50321000,865389000,2730904000,201841000,30466000,19944000,151431000,3722000,205563000,38909000,105772000,105772000,144681000,350244000,772157000,2033184000,-174311000,2380111000,2380660000,2730904000,57127000,25045000,21281000,-11650000,91803000,-20988000,16009000,-4979000,-920000,-21961000,1676000,-22881000,63943000,63943000,-13802000,50141000,99998000,42631000,87592000,0.46442,0.22773,0.17395,0.02405,0.02096,1.52991,9.07515,0.14712,0.01561,1.07888,1.06493,6.20231,44.85106,1.65059,0.02264,0.03463,-10.36227,-13.82474
"38","2020_Q1",130.784677419355,"Down",306627000,-182424000,124203000,-74378000,-43909000,-30469000,49825000,-2615000,2501000,-5332000,216000,47210000,2960000,-7263000,-4303000,-4303000,-147000,-4450000,-4450000,1182616000,680070000,238479000,238479000,380790000,94749000,55876000,38873000,1896634000,600852000,232950000,74271000,31395000,45192000,833802000,2730436000,188164000,27329000,11053000,149782000,3740000,191904000,37968000,98121000,98121000,136089000,327993000,785641000,2028734000,-146919000,2401726000,2402443000,2730436000,-4303000,23737000,70428000,40077000,129939000,-25683000,-3055000.00000001,-28738000,-924000,-9119000,5692000,-10043000,91158000,91158000,8708000,99866000,73562000,41708000,95219000,0.40506,0.16249,-0.01451,-0.00185,-0.00163,-21.39753,9.88324,0.13652,0.01528,-0.08392,-0.0827700000000002,5.78269,45.29422,1.79574,-0.00175,0.03745,-15.50948,-22.8983
"39","2020_Q2",142.404603174603,"Up",249242000,-146366000,102876000,-77645000,-45807000,-31838000,25231000,22829000,3073000,19565000,191000,48060000,48060000,-11294000,36766000,36766000,-363000,36403000,36403000,1195143000,570058000,200646000,200646000,363383000,115354000,64514000,50840000,1874526000,580980000,224628000,70832000,32801000,39368000,805608000,2680134000,191675000,39648000,3356000,148671000,3757000,195432000,37022000,91750000,91750000,128772000,324204000,788574000,2065022000,-220081000,2355069000,2355930000,2680134000,36766000,24099000,2407000,-6491000,56781000,-17662000,-122092000,-139754000,-928000,-18214000,-5498000,-20792000,-103765000,-103765000,-6878000,-110643000,49330000,40779000,36471000,0.41276,0.10123,0.14605,0.01545,0.01358,1.00187,9.5917,0.13761,0.01522,0.68588,0.6782,4.69603,44.37247,0.68716,0.01463,0.01466,-23.40085,-45.75181
"40","2020_Q3",165.04234375,"Up",296411000,-159962000,136449000,-75309000,-43725000,-31584000,61140000,-10461000,1856000,-12766000,449000,50679000,49514000,-11148000,38366000,38366000,-140000,38226000,38226000,1248899000,747859000,203568000,203568000,367166000,130893000,68115000,62778000,1950526000,585644000,222566000,67995000,30544000,42116000,808210000,2758736000,191511000,42261000,1024000,148226000,3775000,195286000,36071000,90073000,90073000,126144000,321430000,811565000,2103248000,-184501000,2436352000,2437306000,2758736000,38366000,23251000,35890000,-24032000,73475000,-19248000,123798000,104550000,-934000,-1745000,13769000,-2679000,175346000,175346000,2355000,177701000,84391000,39846000,52259000,0.46034,0.20627,0.12896,0.01568,0.01386,1.36711,9.98805,0.13188,0.01444,0.72001,0.71344,5.58307,45.89011,0.98433,0.01489,0.02036,-14.3268,-19.77516
"41","2020_Q4",200.31234375,"Up",318441000,-165649000,152792000,-78080000,-46370000,-31710000,74712000,12411000,1168000,11302000,-59000,87123000,42522000,-6992000,35530000,35530000,74000,35604000,35604000,1301616000,763920000,240352000,240352000,370344000,119341000,58905000,60436000,2031653000,576398000,186881000,64999000,38616000,45535000,763279000,2794932000,197653000,37375000,3806000,156472000,3792000,201445000,35117000,87296000,87296000,122413000,323858000,828802000,2138852000,-193827000,2470213000,2471074000,2794932000,35530000,23838000,50858000,-40465000,69761000,-24272000,-36602000,-60874000,-2586000,-1158000,8496000,-2094000,6793000,6793000,9215000,16008000,98550000,38909000,40805000,0.47981,0.23462,0.11181,0.01441,0.01274,1.14608,10.0854,0.13106,0.01392,0.66872,0.66158,5.98101,46.39595,0.76641,0.01371,0.01571,-12.81286,-16.90099
"42","2021_Q1",227.228196721311,"Up",336630000,-189751000,146879000,-76452000,-44686000,-31766000,70427000,-4831000,173000,-5186000.00000001,182000,65596000,65596000,-15920000,49676000,49676000,-337000,49339000,49339000,1391066000,876231000,264321000,264321000,364993000,127697000,57804000,69893000,2148077000,597527000,190096000,62114000,43197000,43419000,787623000,2935700000,210768000,25748000,8280000,176740000,3810000,214578000,34157000,92854000,92854000,127011000,341589000,854307000,2188191000,-146065000,2592819000,2594111000,2935700000,49676000,23366000,38043000,-25767000,85318000,-25625000,22558000,-3495999.99999997,708000,16427000,16427000,15485000,97307000,97307000,15196000,112503000,93793000,37967000,58321000,0.43632,0.20921,0.14657,0.01902,0.01681,1.18205,10.0107,0.13168,0.01293,0.92506,0.91255,6.3115,48.61293,1.09346,0.01811,0.0214,-14.42644,-19.21279
"43","2021_Q2",210.527301587302,"Down",345585000,-181594000,163991000,-82314000,-48975000,-33339000,81677000,6923000,-495000,7165000,253000,88600000,88600000,-20378000,68222000,68222000,-95000,68127000,68127000,1444937000,896741000,252877000,252877000,368149000,136298000,65877000,70421000,2202261000,600911000,179779000,61768000,41276000,37971000,780690000,2982951000,210925000,44704000,3446000,162775000,3828000,214753000,33193000,94335000,94335000,127528000,342281000,868103000,2256318000,-178257000,2639502000,2640670000,2982951000,68222000,23819000,23106000,-27604000,87543000,-27291000,-33403000,-60694000,-3570000,1933000,4981000,-1637000,25212000,25212000,-7024000,18188000,105496000,37021000,70979000,0.47453,0.23634,0.19714,0.0258,0.02284,1.04186,10.25486,0.12962,0.01241,1.27243,1.25693,6.45459,49.29871,1.32569,0.02458,0.02561,-13.34568,-17.23761
"44","2021_Q3",183.716875,"Down",371658000,-191130000,180528000,-85450000,-50259000,-35191000,95078000,-3205000,-407000,-2826000,28000,91873000,91873000,-22196000,69677000,69677000,123000,69800000,69800000,1497409000,754199000,250669000,250669000,404547000,137967000,73157000,64810000,2290592000,612420000,183500000,59070000,45751000,39679000,795920000,3086512000,252059000,50714000,9181000,192164000,3846000,255905000,32225000,92102000,92102000,124327000,380232000,883552000,2326118000,-159407000,2704918000,2706280000,3086512000,69677000,24157000,28213000,-6400000,115647000,-26795000,-196154000,-222949000,-950000,-33097000,5586000,-34047000,-141349000,-141349000,-1193000,-142542000,119235000,36071000,108236000,0.48574,0.25582,0.18781,0.02579,0.02261,1.55066,8.95095,0.1405,0.01169,1.30367,1.2878,6.94156,50.5205,2.02155,0.02463,0.03819,-12.25595,-15.36989
"45","2021_Q4",165.1840625,"Down",379150000,-193276000,185874000,-87522000,-53245000,-34277000,98352000,3135000,-288000,3634000,-211000,101487000,101487000,-26788000,74699000,74699000,703000,75402000,75402000,1519007000,794904000,272699000,272699000,435070000,98399000,63917000,34482000,2325175000,624576000,194159000,55786000,49008000,50660000,818735000,3143910000,274052000,52428000,12709000,208915000,18788000,292840000,16328000,94897000,94897000,111225000,404065000,894270000,2401520000,-174753000,2739352000,2739845000,3143910000,74699000,24151000,24339000,-21223000,101966000,-38912000,17731000,-21181000,1669000,-35480000,860000,-36435000,44350000,44350000,-3645000,40705000,122503000,35116000,89156000,0.49024,0.2594,0.19887,0.02752,0.02398,1.18241,7.94009,0.14748,0.01117,1.41237,1.40064,7.10192,51.31122,1.66999,0.02627,0.03107,-12.1131,-15.08755
"46","2022_Q1",137.483387096774,"Down",364467000,-198462000,166005000,-88349000,-51583000,-36766000,77656000,6865000,-649000,7147000,367000,84521000,84521000,-19253000,65268000,65268000,-181000,65087000,65087000,1514505000,709105000,262121000,262121000,460747000,110310000,73320000,36990000,2347683000,635302000,187555000,52678000,47761000,48507000,822857000,3170540000,295307000,55839000,8642000,230826000,18126000,313433000,16031000,93855000,96011979.0006611,109886000,423319000,908429000,2466607000,-189951000,2746582000,2747221000,3170540000,65268000,24203000,23820000,-28747000,84544000,-28701000,-82757000,-111458000,-959000.000000001,-51987000,4831000,-52947000,-79861000,-79861000,-5938000,-85799000,101859000,34157000,63664000,0.45547,0.21307,0.17858,0.02369,0.02053,0.97814,7.49022,0.15409,0.01077,1.21915,1.20903,6.82689,51.44664,1.1925,0.02264,0.02214,-14.53331,-19.06289
"47","2022_Q2",98.8333870967742,"Down",369979000,-198158000,171821000,-84488000,-51038000,-33450000,87333000,5504000,-70000.0000000001,5810000,-236000,92837000,92837000,-23209000,69628000,69628000,-56000,69572000,69572000,1416678000,642517000,257464000,257464000,484971000,123721000,82833000,40888000,2282834000,625366000,190269000,50017000,49942000,50569000,815635000,3098469000,262377000,46481000,12317000,203579000,17459000,279836000,15734000,94650000,94650000,110384000,390220000,917699000,2536179000,-229369000,2707249000,2708249000,3098469000,69628000,23435000,22714000,-99354000,16423000,-24749000,29219000,2470000,-964000,-79481000,-724000.000000001,-80445000,-61552000,-61552000,-5036000,-66588000,110768000,33193000,9874000,0.46441,0.23605,0.18804,0.02569,0.02245,0.14192,8.15776,0.14409,0.01071,1.3072,1.29736,6.95162,50.8671,0.18552,0.02453,0.00348,-12.48993,-15.84149
"48","2022_Q3",94.99734375,"Down",377023000,-204679000,172344000,-83029000,-52421000,-30608000,89315000,-15845000,1177000,-17640000,618000,73470000,73470000,-16139000,57331000,57331000,-363000,56968000,56968000,1234653000,771788000,246877000,246877000,556747000,132574000,79662000,52912000,2170851000,680321000,197597000,46866000,60563000,50883000,877918000,3048769000,283677000,57276000,15588000,210813000,32225000,315902000,-3525344.4664244,92516000,92516000,92516000,408418000,930956000,2593147000,-134778000,2639216000,2640351000,3048769000,57331000,23669000,41509000,-43771000,78738000,-34509000,312260000,277751000,-968000,-230037000,2812000,-231005000,125484000,125484000,3787000,129271000,112984000,32225000,50843000,0.45712,0.2369,0.1511,0.02158,0.01869,0.89248,6.87191,0.15468,0.01057,1.10217,1.09987,7.29435,51.0615,0.98367,0.0206,0.01839,-10.64246,-13.46278
