"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",18.5722222222222,"Up",1922200000,-1714200000,2.08e+08,2.08e+08,-11700000,-1.7e+07,5300000,196300000,196300000,-63800000,2e+05,132700000,132700000,-4100000,128600000,128600000,894600000,891600000,3714400000,3714400000,280500000,280500000,6733200000,581600000,4524700000,3715300000,298700000,510700000,5106300000,11839500000,6657600000,6025900000,631700000,157500000,6815100000,1583300000,1218700000,485700000,7.33e+08,2.802e+09,9617100000,1521900000,1546600000,-862800000,1941400000,2.81e+08,2222400000,11839500000,132700000,39700000,30500000,3.24e+08,526900000,-51500000,-2e+05,-65300000,-59500000,-8.9e+07,-80400000,-1.1e+07,-239900000,221700000,221700000,-1900000,219800000,247700000,1740800000,5.84e+08,0.10821,0.10821,0.0669,0.05787,0.01086,4.54121,0.98798,4.32735,0.14703,0.32336,0.31527,4.83329,4.88157,1.46844,0.14961,0.0363,0.1127,0.46267,3.41623,4.06827
"28","2017_Q1",19.4087096774194,"Up",2264500000,-1778800000,485700000,485700000,-44600000,-17800000,-26800000,441100000,441100000,-106100000,1900000,336900000,336900000,-19300000,317600000,317600000,1097600000,1097600000,4389700000,4389700000,432600000,229400000,7.438e+09,6.22e+08,4425200000,3674400000,220300000,530500000,5047200000,12485200000,7097600000,6303600000,7.94e+08,409600000,7.706e+09,1280700000,1.189e+09,480700000,708300000,2469700000,10175700000,1238600000,1804300000,-962500000,2017100000,292400000,2309500000,12485200000,336900000,42700000,105200000,54900000,539700000,-86200000,-6100000,-96400000,-58800000,-2.3e+07,-1.1e+08,-7700000,-199500000,243800000,243800000,-39100000,204700000,528400000,1690300000,603200000,0.21448,0.21448,0.14025,0.13752,0.02544,1.89923999999999,0.96522,4.40602,0.13538,0.80773,0.7842,5.75916,5.12996,1.53408,0.14954,0.07254,0.11625,0.18514,1.12169,1.2203
"29","2017_Q2",19.9052380952381,"Up",2063800000,-1952900000,110900000,34700000,-14900000,-15700000,8e+05,19800000,19800000,3e+05,1200000,21300000,21300000,3400000,24700000,24700000,778100000,7.75e+08,3641500000,3641500000,427200000,318500000,6589500000,616300000,4492100000,3703500000,243600000,5.45e+08,5108400000,11697900000,6244600000,5672600000,5.72e+08,634900000,6990700000,1281900000,1187700000,459300000,728400000,2469600000,9460300000,1239500000,1751200000,-909400000,1.963e+09,274600000,2237600000,11697900000,21300000,4.1e+07,30800000,-464900000,-371800000,-24800000,-5100000,-33200000,-70900000,224800000,-46800000,-42700000,64400000,-340600000,-340600000,2e+07,-320600000,75700000,1916800000,-414300000,0.05374,0.01681,0.01197,0.01104,0.00211,-16.77328,0.94261,4.22788,0.16386,0.06306,0.06186,5.26883,5.01149,-1.0577,0.18101,0.0179,-0.07755,2.87045,15.04227,32.81556
"30","2017_Q3",17.8514285714286,"Down",2185800000,-1898500000,287300000,225700000,-36400000,-2.1e+07,-15400000,189300000,189300000,-81600000,-1e+05,107600000,107600000,100000.000000007,107700000,107700000,660800000,657600000,3762200000,3762200000,342800000,323100000,6486500000,6.35e+08,4556700000,3753100000,260900000,542700000,5191700000,11678200000,6385100000,5.872e+09,513100000,539400000,6946200000,1283100000,1193200000,461800000,731400000,2476300000,9422500000,1260100000,1774900000,-874200000,1982500000,273200000,2255700000,11678200000,107600000,41300000,58500000,11299999.9999999,218700000,-44100000,-9400000,-62800000,-70500000,-94900000,-56400000,-4.2e+07,-263800000,-107900000,-107900000,-11800000,-119700000,2.67e+08,1822500000,315800000,0.13144,0.10326,0.04927,0.04775,0.00922,2.93222,0.93382,4.1772,0.15606,0.27453,0.26905,5.57176,5.05353,0.805,0.17971,0.03381,0.05991,0.654599999999999,4.35094,5.1471
"31","2017_Q4",16.5147619047619,"Down",2208200000,-1897400000,310800000,2.55e+08,-26800000,-16900000,-9900000,228200000,228200000,-54900000,-1e+06,172300000,172300000,-2600000,169700000,169700000,704900000,704900000,3696100000,3696100000,320500000,312200000,6463800000,637500000,4614800000,3799900000,270900000,5.44e+08,5252300000,11716100000,6111800000,5561100000,550700000,813700000,6946300000,1.285e+09,1206600000,457200000,749400000,2491600000,9437900000,1275600000,1849800000,-832700000,2013400000,264800000,2278200000,11716100000,172300000,42200000,4e+07,-240400000,14100000,-39800000,5300000,-44500000,-69800000,276400000,-100700000,-19600000,86300000,55900000,55900000,-7800000,48100000,297200000,2098700000,71900000,0.14075,0.11548,0.07685,0.07449,0.01448,0.42369,0.93054,4.1427,0.17913,0.43569,0.42724,5.66932,5.16919,0.1846,0.1792,0.04289,0.01288,0.41131,4.68977,5.46588
"32","2018_Q1",18.7714754098361,"Up",2589800000,-2084800000,5.05e+08,4.23e+08,-19500000,-17800000,-1700000,403500000,403500000,-135100000,8e+05,269200000,269200000,-16900000,252300000,252300000,790900000,790900000,4.585e+09,4.585e+09,2099600000,2093900000,7475500000,650400000,4578800000,3820400000,2.34e+08,383700000,5229200000,12704700000,7094900000,6420200000,674700000,86900000,7675300000,1285600000,1245400000,476600000,768800000,2.531e+09,10206300000,993800000,2104500000,-827800000,2211500000,286900000,2498400000,12704700000,269200000,32600000,-4700000.00000001,723700000,1020800000,-47200000,-500000.000000002,-55700000,-69100000,-727900000,-83100000,-11700000,-891800000,73300000,73300000,16400000,89700000,455600000,1372500000,1267200000,0.195,0.16333,0.09742,0.10098,0.01986,5.02259,0.97397,4.08513,0.10803,0.65549,0.64297,6.7285,5.74565,3.29228,0.17953,0.06282,0.24768,0.27388,1.27656,1.37494
"33","2018_Q2",19.82859375,"Up",2169100000,-2049200000,119900000,38800000,-40300000,-15900000,-24400000,-1500000,-1500000,-12700000,-1900000,-16100000,-16100000,2e+06,-14100000,-14100000,597300000,597300000,3942500000,3942500000,2423700000,2411700000,6963500000,634200000,4642400000,3839700000,273100000,529600000,5276600000,12240100000,5995200000,5467100000,528100000,801500000,7322500000,1288200000,1242200000,457100000,785100000,2530400000,9852900000,1002700000,2010500000,-790800000,2108500000,278700000,2387200000,12240100000,-16100000,4.6e+07,43900000,-803700000,-729900000,-22800000,-1e+05,-23100000,-80800000,718800000,-4.8e+07,-31800000,558200000,-194800000,-194800000,-2900000,-197700000,84800000,2089700000,-7.29e+08,0.05528,0.01789,-0.0065,-0.00591,-0.00115,51.70213,0.95097,4.12739,0.17073,-0.03678,-0.03678,5.65754,5.49948,-1.90141,0.21075,0.01166,-0.12747,-5.7305,17.59906,38.46392
"34","2018_Q3",19.2553968253968,"Down",2391800000,-2069800000,3.22e+08,249200000,-37700000,-21400000,-16300000,211500000,211500000,-63600000,-99999.9999999995,147800000,147800000,-2e+06,145800000,145800000,493200000,493200000,4247700000,4247700000,2404700000,2385100000,7145600000,6.02e+08,4.61e+09,3788100000,2.61e+08,560900000,5.212e+09,12357600000,6290300000,5738800000,551500000,757700000,7585300000,1282700000,1232200000,445400000,786800000,2514900000,10100200000,1061900000,2076700000,-903400000,2061700000,195700000,2257400000,12357600000,147800000,4.4e+07,2.6e+07,-45600000,172200000,-38700000,12500000,-34500000,-80400000,-54200000,-59500000,-23100000,-217200000,-79500000,-79500000,-24600000,-104100000,293200000,2040400000,272500000,0.13463,0.10419,0.06096,0.06459,0.0118,1.86900000000001,0.94203,4.47426,0.16511,0.38008,0.37433,6.23514,5.37461,0.71038,0.20959,0.0409,0.04928,0.55144,5.27694,6.20867
"35","2018_Q4",19.6114285714286,"Up",2297500000,-1970200000,327300000,261700000,-37600000,-22300000,-15300000,224100000,224100000,-60700000,1e+05,163500000,163500000,-2500000,1.61e+08,1.61e+08,1860200000,1860200000,4009100000,4009100000,2461200000,2455500000,8330500000,602900000,4579700000,3784700000,270200000,524800000,5182600000,13513100000,6086100000,5515100000,5.71e+08,82700000,6691700000,3261400000,1230100000,438500000,791600000,4491500000,11183200000,1080900000,2158400000,-925300000,2137900000,1.92e+08,2329900000,13513100000,163500000,4.4e+07,34700000,-11200000,2.31e+08,-44200000,-11300000,-5.9e+07,-80400000,1320100000,-5e+05,-29600000,1209600000,1381600000,1381600000,-7800000,1373800000,305700000,3344100000,3.11e+08,0.14246,0.11391,0.07008,0.0691,0.01191,1.93168,1.2449,4.79986,0.24747,0.42081,0.41452,6.00497,5.58782,0.81286,0.21014,0.03496,0.04505,0.49938,4.85411,5.67023
"36","2019_Q1",19.3029508196721,"Down",2.856e+09,-2.247e+09,6.09e+08,459100000,-55200000,-41600000,-13600000,403900000,403900000,-62200000,8e+05,342500000,342500000,-16300000,326200000,326200000,673400000,673400000,5126600000,5126600000,2382900000,2377200000,8182900000,790900000,6646500000,4875900000,2.47e+08,428900000,7437400000,15620300000,7.505e+09,6698100000,806900000,73800000,8123900000,3660200000,1235500000,422700000,812800000,4895700000,13019600000,934200000,2400100000,-941100000,2393200000,207500000,2600700000,15620300000,342500000,68900000,67800000,412600000,891800000,-71400000,-5700000,-2374900000,-80500000,387200000,6399999.99999999,-10500000,302600000,-1180500000,-1180500000,-1.2e+07,-1192500000,5.28e+08,3.734e+09,931400000,0.21324,0.16075,0.11422,0.12543,0.02088,2.8553,1.00726,5.00619,0.23905,0.85036,0.82645,7.44526,6.23879,2.42805,0.20985,0.05372,0.12304,0.24678,5.79659,6.66652
"37","2019_Q2",19.4574603174603,"Up",2361200000,-2166700000,194500000,8.2e+07,-48900000,-4.2e+07,-6900000,33100000,1300000,-10500000,-3e+05,-9500000,-9500000,1500000,-8e+06,-8e+06,630500000,630500000,4027500000,4027500000,2.589e+09,2569300000,7.247e+09,767100000,8035900000,4885200000,285600000,1790600000,8.803e+09,1.605e+10,6397300000,5733700000,663600000,535500000,7531100000,4887300000,1115200000,401900000,713300000,6002500000,13533600000,941900000,2303100000,-929700000,2315300000,201100000,2516400000,1.605e+10,-9500000,71100000,-37800000,-117300000,-93500000,-32800000,2100000,-30700000,-90600000,2.01e+08,6e+05,-24300000,86700000,-37500000,-37500000,-6400000,-43900000,153100000,5422800000,13500000,0.08237,0.03473,-0.00339,-0.00317999999999999,-0.000499999999999997,-1.6875,0.96228,5.37816,0.33787,-0.02081,-0.02081,6.14096,6.02159,0.03511,0.23563,0.00912,0.00148999999999999,-11.325,31.30176,58.44268
"38","2019_Q3",19.13234375,"Down",2520200000,-2162800000,357400000,266300000,-47700000,-43900000,-3800000,218600000,216500000,-43600000,-99999.9999999999,172800000,172800000,-3300000,169500000,169500000,6.14e+08,6.14e+08,4389500000,4389500000,2471900000,2445500000,7475400000,767100000,8284400000,4884100000,297800000,2050500000,9051500000,16526900000,6648700000,6022300000,626400000,468400000,7731300000,5.027e+09,1121900000,401600000,720300000,6148900000,13880200000,9.6e+08,2381800000,-917900000,2423900000,222800000,2646700000,16526900000,172800000,7.3e+07,-59900000,106600000,292500000,-47300000,7e+05,-47200000,-90800000,-168800000,0,-18800000,-278400000,-33100000,-33100000,16700000,-16400000,339300000,5495400000,442200000,0.14181,0.10567,0.06726,0.06404,0.01026,2.60885,0.9669,5.24434,0.33251,0.43878,0.42835,6.52395,6.27466,1.14471,0.23505,0.0281,0.04773,0.535690000000001,14.38668,18.33045
"39","2019_Q4",19.69734375,"Up",2438100000,-2.079e+09,359100000,280300000,-47600000,-40200000,-7400000,232700000,232700000,-64600000,3e+05,168400000,168400000,-2800000,165600000,165600000,520500000,520500000,4047800000,4047800000,2481700000,2458900000,7.05e+09,758200000,8189400000,4847400000,279100000,2030600000,8947600000,15997600000,6290300000,5.656e+09,634300000,509700000,7398400000,4801500000,1109200000,394800000,714400000,5910700000,13309100000,979700000,2455500000,-966200000,2.469e+09,219500000,2688500000,15997600000,168400000,6.9e+07,198800000,-211600000,224600000,-53700000,10900000,-42800000,-90800000,-159300000,3600000,-6800000,-253300000,-71500000,-71500000,-21400000,-92900000,349300000,5311200000,148600000,0.14729,0.11497,0.06792,0.0616,0.01035,0.89734,0.95291,4.95038,0.332,0.42835,0.42385,6.30652,6.38645,0.38438,0.23487,0.02815,0.01631,0.54831,13.71514,17.09133
"40","2020_Q1",19.1261290322581,"Down",2901800000,-2320600000,581200000,491300000,-63500000,-38700000,-24800000,427800000,427800000,-86100000,5e+05,342200000,342200000,-13300000,328900000,328900000,1192200000,1192200000,5209200000,5209200000,2369300000,2346500000,8770700000,778100000,8203100000,4894400000,252100000,2042300000,8981200000,17751900000,7948200000,7205400000,742800000,821600000,9420400000,2771900000,2569300000,4.25e+08,2144300000,5341200000,14761600000,1.016e+09,2689900000,-9.3e+08,2775900000,214400000,2990300000,17751900000,342200000,65400000,70100000,627900000,1105600000,-64700000,23700000,-4.1e+07,-90900000,-2.96e+08,99999.9999999995,-11200000,-3.98e+08,666600000,666600000,5100000.00000001,671700000,556700000,3593500000,1.206e+09,0.20029,0.16931,0.11334,0.10999,0.01853,3.66677,0.93103,4.93649,0.20243,0.84987,0.83498,7.49819,7.17287,3.11628,0.23488,0.04586,0.13176,0.276380000000001,4.31345,4.88765
"41","2020_Q2",15.1365079365079,"Down",2359800000,-2188700000,171100000,75900000,-55900000,-34100000,-21800000,2e+07,2e+07,-17200000,-2e+05,2600000,2600000,2100000,4700000,4700000,1.554e+09,1.554e+09,3661500000,3661500000,2381200000,2363800000,7596700000,752800000,8079400000,4826500000,270700000,1991500000,8832200000,16428900000,6.099e+09,5559500000,539500000,1.07e+09,7795900000,4797600000,1105400000,372800000,732600000,5.903e+09,13698900000,1020100000,2591100000,-1078700000,2532500000,197500000,2.73e+09,16428900000,2600000,72800000,61400000,-413900000,-277100000,-44600000,-16700000,-60800000,-1e+08,8.94e+08,0,-49600000,744400000,406500000,406500000,-46700000,359800000,148700000,5867600000,-292600000,0.07251,0.03216,0.00199,0.00172,0.000289999999999999,-62.25532,0.97445,5.01791,0.35715,0.01212,0.012,6.08666,6.53211,-0.75471,0.25793,0.01079,-0.03016,21.2766,29.00874,56.83267
"42","2020_Q3",16.6096875,"Up",2025700000,-1795400000,230300000,153100000,-65400000,-43900000,-21500000,87699999.9999999,-24900000,-1.9e+07,0,-43900000,-43900000,-1700000,-45600000,-45600000,1085400000,1085400000,3146600000,3146600000,1982300000,1955700000,6214300000,717800000,7964800000,4842400000,287700000,1866600000,8682600000,14896900000,4927400000,4328100000,599300000,813400000,6366500000,4759400000,1124700000,375500000,749200000,5884100000,12250600000,1035200000,2444300000,-1029100000,2450400000,195900000,2646300000,14896900000,-43900000,73100000,120400000,-236700000,-87100000.0000002,-27300000,-3900000,-32500000,-99200000,-245300000,0,-22199999,-366699999,-486299999,-486299999,17800000,-468499999,226200000,5572800000,-18800000,0.11369,0.07558,-0.02251,-0.01723,-0.00306,0.412279999999988,0.97609,4.62933,0.37409,-0.11713,-0.11835,5.20344,6.29437,-0.0482899999999999,0.25482,0.00574,-0.00201,-2.17543999999999,19.8382,29.31025
"43","2020_Q4",19.800625,"Up",2125500000,-1748700000,376800000,295900000,-5.6e+07,-44700000,-11300000,239900000,192600000,86300000,-4e+05,278500000,278500000,1200000,279700000,279700000,1.628e+09,1.628e+09,3297400000,3297400000,2358900000,2338900000,7284300000,709800000,8080600000,4875400000,291400000,1964500000,8790400000,16074700000,5750600000,5105900000,644700000,816500000,7227900000,4882600000,1050800000,388200000,662600000,5933400000,13161300000,1066999999,2623400000,-967800000,2722599999,190800000,2913399999,16074699999,278500000,7.1e+07,91800000,2.48e+08,689300000,-40100000,-3e+06,-39200000,-99400000,-6e+05,0,-15400001,-115400001,534699999,534699999,8600000,543299999,366900000,5699100000,488500000,0.17728,0.13921,0.13159,0.096,0.0174,1.74651,1.0078,4.51751,0.35454,0.71773,0.69785,5.4542,6.9864,1.25353,0.25507,0.03923,0.05055,0.35538,11.09594,13.75836
"44","2021_Q1",25.1983606557377,"Up",2.55e+09,-1976600000,573400000,477300000,-49800000,-4e+07,-9800000,427500000,173600000,-58100000,1500000,1.17e+08,1.17e+08,-4700000,112300000,112300000,2.509e+09,2.509e+09,4646400000,4646400000,2212200000,2211400000,9367600000,690300000,7984800000,4945500000,3.02e+08,1803700000,8675100000,18042700000,8102100000,7269700000,832400000,8.19e+08,9580500000,2915800000,2509400000,413200000,2096200000,5425200000,15005700000,1138300000,2636900000,-880200000,2.895e+09,1.42e+08,3.037e+09,18042700000,1.17e+08,73700000,170500000,1160900000,1522100000,-55500000,-20200000,-83700000,-99500000,-504100000,6500000,-11400000,-608500000,829900000,829900000,51300000,881200000,5.51e+08,3734800000,1714500000,0.22486,0.18718,0.04404,0.03698,0.00622,15.26714,0.97778,4.94096,0.207,0.28729,0.2843,6.52341,7.40599,4.38603,0.25454,0.02282,0.18473,0.886020000000001,2.22468,2.5682
"45","2021_Q2",30.7790476190476,"Up",2.257e+09,-1915300000,341700000,244300000,-126600000,-42700000,-83900000,117700000,116400000,-23800000,-2e+05,92400000,92400000,-7e+05,91700000,91700000,2015300000,2015300000,3440300000,3440300000,2314600000,2310100000,7770200000,6.67e+08,7912500000,4934300000,295600000,1.769e+09,8579500000,16349700000,6470900000,5.862e+09,608900000,814700000,7984500000,4321100000,1037300000,3.77e+08,660300000,5358400000,13342900000,1147200000,2623100000,-896300000,2.874e+09,132800000,3006800000,16349700000,92400000,69200000,130100000,-541500000,-249800000,-28300000,-3e+05,2e+05,-109100000,995200000,8e+06,-1106800000,-212700000,-462300000,-462300000,-30400000,-492700000,313500000,5135800000,-232500000,0.1514,0.10824,0.04063,0.0305,0.00561,-2.53544,0.97316,4.43757,0.31412,0.23423,0.23157,5.76501,7.341,-0.59387,0.27867,0.02187,-0.02533,1.18975,9.95375,12.77323
"46","2021_Q3",34.741875,"Up",2509600000,-2025900000,483700000,384200000,-30300000,-3.5e+07,4700000,353900000,354100000,-86700000,4e+05,267800000,267800000,-4500000,263300000,263300000,2340600000,2340600000,3893600000,3893600000,2548300000,2543700000,8782500000,658200000,7.881e+09,4944300000,296600000,1747400000,8539200000,17321700000,7285700000,6605900000,679800000,827699999,8796699999,4287400000,1054100000,382600000,671500000,5341500000,14138199999,1171700000,2777500000,-886300000,3062900000,120600000,3183500000,17321699999,267800000,70100000,53400000,76900000,468200000,-33800000,19300000,-43300000,-106100000,18700000,0,-14400000.0000002,-101800000,323100000,323100000,2499999.99999999,325600000,454300000,5115099999,584100000,0.19274,0.15309,0.10492,0.08271,0.0152,2.21838,0.99839,4.44109,0.2953,0.67254,0.6649,6.41022,7.8235,1.49195,0.27101,0.0395,0.06245,0.40296,6.1072,7.2215
"47","2021_Q4",35.55375,"Up",2.542e+09,-2092400000,449600000,3.48e+08,-33200000,-35500000,2300000,314800000,318300000,-73900000,2e+05,244600000,244600000,-4700000,239900000,239900000,2.49e+09,2.49e+09,4042500000,4042500000,2600400000,2596900000,9132900000,666300000,8006100000,4914400000,273700000,1948300000,8672400000,17805300000,7604600000,6844200000,760400000,814600000,9.049e+09,2908300000,2554100000,378900000,2175200000,5462400000,14511400000,1190900000,2908900000,-928400000,3171400000,122500000,3293900000,17805300000,244600000,69400000,1999999,74200000,390199999,-61300000,-43400000,-7.2e+07,-106200000,-1.092e+09,0,1044900000,-153300000,164899999,164899999,-12400000,152499999,417400000,3722900000,504200000,0.17687,0.1369,0.09437,0.07283,0.01347,2.10171,1.00927,4.40554,0.20909,0.61074,0.60231,6.47149,8.07383,1.2836,0.27037,0.03616,0.05268,0.44268,2.95376,3.54282
"48","2022_Q1",35.5303225806452,"Down",2932100000,-2354200000,577900000,470300000,-2.4e+07,-30200000,6200000,446300000,433300000,-67400000,2100000,3.68e+08,3.68e+08,-10100000,357900000,357900000,3.27e+09,3.27e+09,5177700000,5177700000,2784099999,2775900000,11231799999,675800000,8001600000,4908700000,301400000,1.944e+09,8677400000,19909199999,9878100000,8.96e+09,918100000,3.14e+08,1.089e+10,2908600000,2505800000,329100000,2176700000,5414400000,16304400000,1265900000,3154300000,-894200000,3.526e+09,78800000,3604800000,19909200000,3.68e+08,75100000,-10599998,1034500000,1467000002,-71900000,34400000,-70200000,-106300000,-505500000,1.86264514923096e-09,-4600000,-616400000,780400002,780400002,-5100000,775300002,545400000,3222600000,1575400000,0.19709,0.1604,0.12206,0.09928,0.01798,4.40179,1.03139,4.52297,0.16186,0.9047,0.88523,7.41178,8.91304,3.98231,0.26871,0.04974,0.1688,0.29701,-0.08691,-0.10079
"49","2022_Q2",31.526935483871,"Down",2568500000,-2229100000,339400000,252300000,-35800000,-29600000,-6200000,216500000,209900000,-49100000,1e+05,160900000,160900000,-1500000,159400000,159400000,2402300000,2402300000,4179899999,4179899999,2687800000,2657400000,9269999999,654900000,7.956e+09,4899300000,308800000,1922600000,8610900000,17880899999,7836200000,7245300000,590900000,3.3e+08,8954200000,2908100000,2461900000,2.88e+08,2173900000,5.37e+09,14324200000,1245700000,3196700000,-892300000,3.487e+09,69700000,3556700000,17880900000,160900000,67800000,51800000,-914100000,-633600000,-30700000,-7e+05,-28800000,-118300000,13900000,-63100000,-42600000,-210100000,-872500000,-872500000,5e+06,-867500000,320100000,3238100000,-575600000,0.13214,0.09823,0.06206,0.04482,0.00891,-3.61104,1.03527,4.02738,0.18109,0.40488,0.3986,6.524,8.857,-1.46203,0.30048,0.03,-0.06218,0.74216,2.61106,3.31272
"50","2022_Q3",29.10825,"Down",2735700000,-2300200000,435500000,3.49e+08,-34300000,-29800000,-4500000,314700000,314800000,-83700000,7e+05,231800000,231800000,-2200000,229600000,229600000,1983400000,1983400000,4014900000,4014900000,2762500000,2744800000,8760800000,641600000,7846800000,4855200000,300600000,1891200000,8488400000,17249200000,7484800000,6861300000,623500000,301300000,8462700000,2906100000,2.382e+09,288200000,2093800000,5288100000,13750800000,1261700000,3311800000,-988900000,3436700000,61700000,3498400000,17249200000,231800000,67100000,-4799999.99999999,-384900000,-90800000,-41600000,-16800000,-6.1e+07,-113800000,-2.6e+07,-84800000,-8400000,-2.33e+08,-384800000,-384800000,-33800000,-418600000,416100000,3207400000,73300000,0.15919,0.12757,0.08393,0.06563,0.01331,0.319249999999999,1.03523,3.9306,0.18594,0.58408,0.57863,6.9593,8.74256,0.186469999999999,0.28949,0.03779,0.00807,0.49564,2.9416,3.50716
