"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",64.8004761904762,"Down",372045000,-130032000,242013000,-144085000,-36036000,-108049000,97928000,-5306000,-20311000,12325000,2680000,92622000,98552000,-15534000,83018000,83018000,82000,83100000,83100000,100796000,100796000,86215000,86215000,58686000,214192000,15600000,184726000,459889000,4095424000,6077920000,-1982496000,154467000,1419329000,1409582000,5669220000,6129109000,158934000,77895000,20260000,21405000,39893000,39893000,205291000,1745548000,2025608000,1169918000,479876000,3771156000,3976447000,850698000,1317732000,-19586000,2148643000,4019000,2152662000,6129109000,83018000,36978000,-4702000,22234000,137528000,-82683000,-8421000,-83080000,-25631000,-18500000,-67000,-44210000,10238000,10238000,10238000,134906000,1752012000,89991000,0.65049,0.26322,0.22336,0.0386,0.01356,1.08292,2.24018,1.84722,0.28585,1.65222,1.64904,7.39711,42.71996,1.78923,0.5096,0.01833,0.01517,0.30844,12.23975,16.86153
"28","2017_Q1",68.2482258064516,"Up",293583000,-97679000,195904000,-131021000,-36214000,-94807000,64883000,-29800000,-20015000,-778999.999999998,-9006000,35083000,40961000,-7807000,33154000,33154000,59000,33213000,33213000,61480000,61480000,71557000,71557000,57858000,249417000,18389000,218247000,440312000,4171999000,6160476000,-1988477000,148646000,1528940000,1528940000,5849585000,6289897000,185706000,106194000,11348000,22377000,41145000,41145000,249715000,1744614000,2137702000,1244250000,481929000,3882316000,4132031000,851833000,1323198000,-20882000,2153906000,3960000,2157866000,6289897000,33154000,37133000,16168000,-17677000,68778000,-97953000,5397000,-96390000,-27634000,16400000,-428000,-11704000,-39316000,-39316000,-39316000,102016000,1767478000,-5807000,0.66729,0.221,0.11313,0.01539,0.00528,-0.17484,1.76326,1.91487,0.281,0.66036,0.6589,5.83722,42.82545,-0.11546,0.54944,0.01004,-0.00096,0.83202,16.72285,26.29345
"29","2017_Q2",73.1142857142857,"Up",302544000,-108855000,193689000,-140062000,-36763000,-103299000,53627000,-19670000,-20700000,1445000,-415000,33957000,39189000,-6183000,33006000,33006000,96000,33102000,33102000,47010000,47010000,80981000,80981000,59374000,221692000,12436000,198323000,409057000,4193580000,6209940000,-2016360000,141787000,1485524000,1477362000,5820891000,6229948000,129805000,63225000,17763000,21406000,50979000,50979000,180784000,1744991000,2141160000,1248432000,474948000,3886151000,4066935000,852663000,1328489000,-20411000,2159149000,3864000,2163013000,6229948000,33006000,37728000,16473000,26489000,113696000,-73031000,629000,-74053000,-28087000,-22864000,0,-54113000,-14470000,-14470000,-14470000,91355000,1744991000,50996000,0.6402,0.17725,0.10941,0.0153,0.00531,1.54057,2.26268,1.88022,0.2801,0.65736,0.65682,6.0081,42.87769,1.01271,0.55777,0.01012,0.00843,0.8485,18.58662,31.6628
"30","2017_Q3",75.0425396825397,"Up",333006000,-98664000,234342000,-152435000,-45239000,-107196000,81907000,-20482000,-20648000,592000,-426000,61425000,67036000,-16941000,50095000,50095000,-264000,49831000,49831000,32629000,32629000,85771000,85771000,58899000,242779000,15733000,223713000,420078000,4213522000,6272899000,-2059377000,144509000,1499290000,1491388000,5857321000,6277399000,152007000,76595000,19973000,22377000,38113000,38113000,190670000,1745368000,2154390000,1250653000,479408000,3899758000,4090428000,853604000,1350537000,-19941000,2182843000,4128000,2186971000,6277399000,50095000,46184000,-91000,-20888000,75300000,-71471000,8018000,-62539000,-27676000,550000,-4000,-27142000,-14381000,-14381000,-14381000,128091000,1745918000,52673000,0.70372,0.24596,0.14964,0.02279,0.00794,1.05703,2.20317,1.87036,0.27813,0.98944,0.98857,6.61212,43.3422,1.04587,0.54953,0.01273,0.00865,0.5554,13.37556,20.91749
"31","2017_Q4",80.6730158730159,"Up",408324000,-141161000,267163000,-143458000,-40260000,-103198000,123705000,-16045000,-20741000,5232000,-536000,107660000,113372000,-22296000,91076000,91076000,-442000,90634000,90634000,104411000,104411000,101703000,101703000,58472000,193342000,16477000,172217000,457928000,4240943000,6327062000,-2086119000,138319000,1529993000,1522352000,5909255000,6367183000,191364000,72153000,57902000,21406000,32003000,32003000,225792000,1745746000,2143483000,1241091000,510813000,3889229000,4115021000,855043000,1413387000,-19470000,2247592000,4570000,2252162000,6367183000,91076000,41139000,-40302000,65056000,156969000,-60946000,329000,-59373000,-27678000,1875000,4000,-25814000,71782000,71782000,71782000,164844000,1748171000,191250000,0.65429,0.30296,0.22197,0.04024,0.01423,2.11014,2.0281,1.82714,0.27456,1.79965,1.79754,8.10778,44.62873,3.79751,0.54958,0.01926,0.03113,0.30538,9.97161,13.28774
"32","2018_Q1",73.3459016393443,"Down",305612000,-98123000,207489000,-151183000,-39829000,-111354000,56306000,-18284000,-21657000,4105000,-732000,38022000,42251000,-3240000,39011000,39011000,-159000,38852000,38852000,76649000,76649000,75249000,75249000,55745000,235958000,16984000,210827000,443601000,4283875000,6382149000,-2098274000,115698000,1202231000,1202231000,5601804000,6045405000,170749000,90277000,11075000,22379000,3e+07,3e+07,200749000,1746123000,1842419000,660940000,742610000,3588542000,3789291000,857207000,1426528000,-30964000,2251385000,4729000,2256114000,6045405000,39011000,40882000,40627000,-31324000,89196000,-80040000,2438000,-84476000,-29686000,-2425000.00000001,-348000,-32482000,-27762000,-27762000,-27762000,97188000,1746123000,-10936000,0.67893,0.18424,0.12713,0.01722,0.00643,-0.28148,2.20973,1.67957,0.28883,0.77144,0.76979,6.06818,44.70316,-0.21714,0.58944,0.01173,-0.00187,0.76408,17.17778,29.65002
"33","2018_Q2",78.515625,"Up",310107000,-115201000,194906000,-144317000,-40068000,-104249000,50589000,-17617000,-21173000,4015000,-459000,32972000,39005000,-2894000,36111000,36111000,31000,36142000,36142000,307277000,307277000,8.4e+07,8.4e+07,58346000,188281000,18666000,166671000,637904000,4300671000,6435542000,-2134871000,109990000,1213113000,1213113000,5623774000,6261678000,144193000,68880000,21098000,21820000,57644000,57644000,331837000,1833576000,1834399000,647437000,752429000,3667975000,3999812000,857533000,1432584000,-30243000,2257168000,4698000,2261866000,6261678000,36111000,41028000,-9086000,23685000,91738000,-65506000,19684000,-44693000,-30209000,2.2e+08,-2651000,183583000,230628000,230628000,230628000,91617000,1963576000,52690000,0.62851,0.16313,0.11655,0.01598,0.00577,1.45786,1.92234,1.76837,0.31359,0.71675,0.71621,6.14987,44.76288,1.04492,0.59909,0.01095,0.00868999999999999,0.83584,18.07851,32.7403
"34","2018_Q3",84.7987301587302,"Up",339951000,-104458000,235493000,-152658000,-41348000,-111310000,82835000,-19123000,-20969000,1537000,309000,63712000,69697000,-7104000,62593000,62593000,-305000,62288000,62288000,183141000,183141000,87975000,87975000,60229000,208006000,14852000,190225000,539351000,4331081000,6493224000,-2162143000,106558000,1229127000,1229127000,5666766000,6206117000,166768000,74804000,28807000,23153000,71236000,71236000,238004000,1834055000,1835851000,642013000,764325000,3669906000,3907910000,859652000,1465009000,-29521000,2293204000,5003000,2298207000,6206117000,62593000,42278000,-12185000,1.2e+07,104686000,-66442000,1134000,-64215000,-29732000,-1.3e+08,-4881000,-164607000,-124136000,-124136000,-124136000,125113000,1834055000,77775000,0.69273,0.24367,0.18323,0.0271,0.01004,1.24864,2.26614,1.70042,0.29552,1.23502,1.23389,6.74038,45.4685,1.54208,0.58951,0.01542,0.01303,0.47733,13.19538,19.93015
"35","2018_Q4",86.5184126984127,"Up",408802000,-140942000,267860000,-152628000,-41668000,-110960000,115232000,-14821000,-21836000,6666000,349000,100411000,106458000,-3868000,102590000,102590000,-359000,102231000,102231000,261250000,261250000,93138000,93138000,58391000,169939000,14998000,154941000,582718000,4352643000,6544958000,-2192315000,101853000,1251422000,1251422000,5705918000,6288636000,192934000,75654000,47797000,21722000,57472000,57472000,250406000,1834422000,1830331000,630460000,784252000,3664753000,3915159000,861515000,1537332000,-28800000,2368115000,5362000,2373477000,6288636000,102590000,42660000,-24096000,48365000,169519000,-63465000,1516000,-61571000,-29733000,0,-43000,-29839000,78109000,78109000,78109000,157892000,1834422000,146660000,0.65523,0.28188,0.25007,0.04307,0.01626,1.43459,2.32709,1.64955,0.2917,2.02703,2.02177,8.10568,46.95473,2.90796,0.58954,0.02185,0.02429,0.29084,9.9636,13.65221
"36","2019_Q1",86.5844262295082,"Up",311892000,-108517000,203375000,-155109000,-42106000,-113003000,48266000,-24805000,-21970000,230999.999999998,-3066000,23461000,29749000,-3520000,26229000,26229000,-89000,26140000,26140000,267492000,267492000,77178000,77178000,54987000,197983000,16492000,177135000,597640000,4395735000,6606516000,-2210781000,101178000,1288201000,1288201000,5785114000,6382754000,201576000,110824000,12009000,23622000,57016000,57016000,258592000,1834788000,1913563000,699878000,782210000,3748351000,4006943000,863593000,1531543000,-22844000,2370360000,5451000,2375811000,6382754000,26229000,43154000,94718000,-38418000,125683000,-82440000,3725000,-87698000,-31747000,-4607000,997000,-31743000,6242000,6242000,6242000,91420000,1834788000,-25918000,0.65207,0.15475,0.08381,0.011,0.0041,-0.99151,2.31113,1.68656,0.28746,0.5183,0.51731,6.18416,46.99925,-0.5139,0.62948,0.00945,-0.00423,1.2145,17.14391,32.47205
"37","2019_Q2",90.5711111111111,"Up",350319000,-140926000,209393000,-151274000,-42234000,-109040000,58119000,-17522000,-22017000,2381000,2114000,40597000,46953000,-4316000,42637000,42637000,49000,42686000,42686000,231342000,231342000,97125000,97125000,58370000,189455000,17615000,171840000,576292000,4415087000,6653502000,-2238415000,94576000,1301860000,1301860000,5811523000,6387815000,161768000,83045000,24410000,21775000,111698000,111698000,273466000,1835155000,1893556000,694046000,771750000,3728711000,4002177000,863425000,1542175000,-22356000,2380236000,5402000,2385638000,6387815000,42637000,43362000,-7860000,-21140000,56999000,-58415000,610000,-56732000,-32290000,0,-20000,-36417000,-36150000,-36150000,-36150000,101481000,1835155000,26242000,0.59772,0.1659,0.12185,0.01789,0.00668,0.61477,2.10736,1.67761,0.28729,0.84512,0.84497,6.93577,47.12499,0.51955,0.63929,0.01226,0.00429,0.75645,15.80407,27.59533
"38","2019_Q3",96.23671875,"Up",316895000,-95011000,221884000,-150104000,-41172000,-108932000,71780000,-18050000,-22107000,2998000,1059000,53730000,60428000,-7028000,53400000,53400000,-244000,53156000,53156000,239664000,239664000,83646000,83646000,58441000,217702000,17023000,200679000,599453000,4451196000,6720824000,-2269628000,94503000,1315701000,1315701000,5861400000,6460853000,174997000,80651000,31183000,23599000,120585000,120585000,295582000,1835521000,1920299000,689901000,796673000,3755820000,4051402000,864266000,1563399000,-21868000,2403805000,5646000,2409451000,6460853000,53400000,42293000,-1765999.99999997,15147000,109074000,-67743000,-2190000,-68930000,-31787000,1.86264514923096e-09,-35000,-31822000,8322000,8322000,8322000,114073000,1835521000,68505000,0.70018,0.22651,0.16774,0.02206,0.00823,1.28875,2.02804,1.68146,0.2841,1.05261,1.05247,6.27527,47.60104,1.35656,0.62946,0.01378,0.01111,0.59799,13.98979,22.23261
"39","2019_Q4",97.10703125,"Up",386321000,-124087000,262234000,-148077000,-42600000,-105477000,114157000,-15580000,-21572000,4166000,1826000,98577000,105380000,-15162000,90218000,90218000,-342000,89876000,89876000,260571000,260571000,99143000,99143000,57513000,186938000,14152000,172786000,604165000,4476746000,6761533000,-2284787000,89808000,1331600000,1331600000,5898154000,6502319000,201862000,84287000,53253000,20663000,89220000,89220000,291082000,1836395000,1904733000,678774000,815160000,3741128000,4032210000,866131000,1621342000,-21380000,2464121000,5988000,2470109000,6502319000,90218000,43738000,-27534000,14520000,120942000,-68886000,4723000,-66921000,-31794000,0,-5427000,-33114000,20907000,20907000,20907000,157895000,1836395000,118691000,0.6788,0.2955,0.23265,0.03639,0.01382,1.32061,2.07558,1.6324,0.28242,1.77979,1.77761,7.65022,48.79641,2.35041,0.62961,0.01959,0.01911,0.35375,9.9802,13.80401
"40","2020_Q1",94.0982258064516,"Down",292848000,-84161000,208687000,-114289000,-43204000,-71085000,94398000,-16451000,-20779000,2825000,1503000,77947000,45074000,1999000,47073000,47073000,63000,47136000,47136000,217254000,217254000,72675000,72675000,56660000,218557000,17638000,197813000,565146000,4531454000,6687237000,-2155783000,98218000,1446383000,1446383000,6076055000,6641201000,195795000,110745000,11501000,20999000,79064000,79064000,374859000,1736659000,2059130000,746231000,793329000,3795789000,4170648000,868307000,1634525000,-36284000,2464628000,5925000,2470553000,6641201000,47073000,44407000,29186000,-41056000,79610000,-83661000,886000,-87909000,-33806000,7.45058059692383e-09,-1212000,-35018000,-43317000,-43317000,-43317000,138805000,1836659000,12089000,0.71261,0.32234,0.16096,0.01908,0.0071,0.25647,1.50762,1.68814,0.27656,0.93335,0.9322,5.79874,48.80258,0.23938,0.6694,0.01271,0.0019,0.7172,11.66676,17.15508
"41","2020_Q2",83.0969841269841,"Down",291008000,-87825000,203183000,-151613000,-42526000,-109087000,51570000,-17496000,-20744000,2316000,932000,34074000,41346000,-3888000,37458000,37458000,32000,37490000,37490000,138871000,138871000,67895000,67895000,60020000,206156000,22093000,184063000,472942000,4557856000,6741117000,-2183261000,117286000,1461866000,1461866000,6137008000,6609950000,149644000,67662000,21327000,20837000,98210000,98210000,247854000,1837010000,2051815000,742651000,793538000,3888825000,4136679000,864850000,1638065000,-35537000,2467378000,5893000,2473271000,6609950000,37458000,43666000,-20159000,-27169000,33796000,-73566000,2283000,-73674000,-34312000,305612208.732159,-4193000,-38505000,-78383000,-78383000,-78383000,95236000,1837010000,-1611000,0.6982,0.17721,0.12883,0.01516,0.00567,-0.04297,1.90815,1.67255,0.27792,0.74213,0.74198,5.7606,48.84253,-0.03189,0.67922,0.01129,-0.000249999999999997,0.91523,17.83085,32.92882
"42","2020_Q3",81.70078125,"Down",318766000,-91653000,227113000,-147674000,-42914000,-104760000,79439000,-18996000,-22727000,2687000,1044000,60443000,67592000,-6933000,60659000,60659000,-270000,60389000,60389000,460365000,460365000,78516000,78516000,62987000,226173000,18732000,207441000,828041000,4594409000,6808124000,-2213715000,130941000,1467141000,1467141000,6192491000,7020532000,185543000,81906000,28574000,24392000,86625000,86625000,447168000,2000455000,2070941000,739242000,809476000,4071396000,4518564000,866127000,1664468000,-34790000,2495805000,6163000,2501968000,7020532000,60659000,44098000,-5969000,-3971000,94817000,-71550000,-5008000,-77163000,-33848000,341384000,-3696000,303840000,321494000,321494000,321494000,123537000,2175455000,54949000,0.71248,0.24921,0.18945,0.02414,0.0086,0.90992,1.85174,1.806,0.30987,1.19462,1.19424,6.30583,49.37202,1.087,0.66958,0.01396,0.00814,0.5605,13.88321,21.59003
"43","2020_Q4",85.083125,"Up",425261000,-154324000,270937000,-114210000,-43243000,-70967000,156727000,-17493000,-22169000,3960000,716000,139234000,114647000,-12345000,102302000,102302000,-271000,102031000,102031000,337018000,312018000,103581000,103581000,62493000,181679000,17352000,164327000,684771000,4641521000,6883570000,-2242049000,125612000,1478255000,1478255000,6245388000,6930159000,231275000,99767000,52910000,19502000,71496000,71496000,302771000,2000358000,2054609000,736273000,818923000,4054967000,4357738000,867491000,1732539000,-34043000,2565987000,6434000,2572421000,6930159000,102302000,44262000,-26369000,35222000,155417000,-68284000,-26581000,-91255000,-33839000,-1.75e+08,-3670000,-212509000,-148347000,-148347000,-148347000,200989000,2000358000,180272000,0.63711,0.36854,0.23993,0.03966,0.01472,1.76684,2.26168,1.69402,0.28865,2.01906,2.0177,8.41534,50.77744,3.56734,0.66963,0.0205,0.0272,0.33165,8.27578,10.61298
"44","2021_Q1",86.1318032786885,"Up",319083000,-102647000,216436000,-148784000,-42965000,-105819000,67652000,-18912000,-33364000,-20476000,34928000,48740000,16428000,-5534000,10894000,10894000,1060000,11954000,11954000,300116000,275116000,72826000,72826000,64941000,204518000,20184000,182170000,642401000,4709510000,6903341000,-2193831000,126948000,1616385000,1616385000,6452843000,7095244000,216359000,120576000,19508000,24030000,71212000,71212000,287571000,2000414000,2240803000,800251000,806482000,4241217000,4528788000,869235000,1734103000,-43358000,2559980000,6476000,2566456000,7095244000,37549000,43915000,9105000.00000001,13532000,104101000,-97538000,572999.999999996,-105166000,-35814000,0,-23000.0000000005,-35837000,-36902000,-36902000,-36902000,174222387.065919,2000414000,134239539.372667,0.624151172629108,0.319188286143205,0.188380233387759,0.03020510514559,0.0112971979600001,1.43792694212667,2.23389,1.76461,0.28194,1.54550723577127,1.54447632884632,7.72870781086304,50.64253,2.65624214534752,0.70849,0.0170795303261001,0.0202339775199038,0.60105389130827,10.8074812080538,16.3608690950393
"45","2021_Q2",95.1401587301587,"Up",316054000,-106965000,209089000,-138953000,-43315000,-95638000,70136000,-18992000,-21550000,2317000,241000,51144000,49886000,-5086000,44800000,44800000,31000,44831000,44831000,265007000,240007000,73360000,73360000,68294000,187231000,16580000,170651000,593892000,4735219000,6959282000,-2224063000,122862000,1626328000,1626328000,6484409000,7078301000,172534000,81602000,34501000,19459000,89338000,89338000,261872000,2000471000,2240097000,794525000,804459000,4240568000,4502440000,868944000,1742994000,-42522000,2569416000,6445000,2575861000,7078301000,44800000,44286000,1594000,-7018000,83662000,-77293000,-3442000,-79349000,-36379000,213521648.779597,-3043000,-39422000,-35109000,-35109000,-35109000,114422000,2000471000,35197000.0000001,0.66156,0.22191,0.14185,0.0174,0.00633,0.7851,2.26787,1.74794,0.28262,0.88657,0.88634,6.2502,50.81211,0.696049999999999,0.71942,0.01191,0.00515999999999999,0.81147,15.16722,24.74427
"46","2021_Q3",99.85421875,"Up",360073000,-119372000,240701000,-157325000,-43627000,-113698000,83376000,-3290000,-27653000,2313000,22050000,80086000,81344000,-11070000,70274000,70274000,-251000,70023000,70023000,259965000,259965000,84542000,84542000,70248000,258224000,20451000,237773000,672979000,4777897000,7014375000,-2236478000,1.29e+08,1621582000,1621582000,6528479000,7201458000,233153000,122834000,43073000,23944000,97988000,97988000,331141000,2000527000,2256683000,789215000,829013000,4257210000,4588351000,871111000,1776986000,-41686000,2606411000,6696000,2613107000,7201458000,70274000,44603000,-7541000,-23803000,83533000,-50972000,21878000,-27675000,-35906000,254854572.316615,6000,-35900000,19958000,19958000,19958000,127979000,2000527000,64274000,0.66848,0.23155,0.19447,0.0268,0.00972,0.9179,2.0323,1.7559,0.27779,1.38476,1.3844,7.12071,51.54371,1.27107,0.71007,0.01542,0.00936,0.51277,13.60037,20.87606
"47","2021_Q4",102.420625,"Up",446944000,-174481000,272463000,-141365000,-44108000,-97257000,131098000,-8863000,-24700000,4066000,11771000,122235000,115329000,-17376000,97953000,97953000,-56000,97897000,97897000,299672000,299672000,113647000,113647000,71801000,193065000,21643000,171422000,678185000,4820420000,7090256000,-2269836000,122884000,1632565000,1632565000,6575869000,7254054000,251071000,126620000,58644000,19299000,91709000,91709000,342780000,2000584000,2233329000,772650000,845247000,4233913000,4576693000,872612000,1838847000,-40850000,2670609000,6752000,2677361000,7254054000,97954000,45095000,-35121000,28284000,136212000,-68676000,6655000,-60595000,-35905000,194426671.463833,-5000,-35910000,39707000,39707000,39707000,176193000,2000584000,153177000,0.60961,0.29332,0.21904,0.03656,0.0135,1.56468,1.97848,1.7094,0.27579,1.93518,1.93392,8.83498,52.79135,3.02793,0.70975,0.01936,0.02216,0.36676,9.65369,12.97436
"48","2022_Q1",105.487903225806,"Up",337687000,-123579000,214108000,-136473000,-44505000,-91968000,77635000,-32310000,-24788000,-20131000,12609000,45325000,22311000,-3380000,18931000,18931000,598000,19529000,19529000,215243000,215243000,78819000,78819000,77552000,224259000,24676000,184813000,595873000,4901822000,7200773000,-2298951000,123824000,1588996000,1588996000,6614642000,7210515000,239834000,145980000,14229000,23959000,85790000,85790000,325624000,2000640000,2209017000,842375000,845180000,4209657000,4535281000,874896000,1833580000,-40040000,2668436000,6798000,2675234000,7210515000,32844000,45460000,-1471000,-16976000,59857000,-103058000,7113000,-106034000,-37929000,102665847.074034,-323000,-38252000,-84429000,-84429000,-84429000,158697427.821662,2000640000,107924963.295707,0.5942987606526,0.261174026085919,0.176152514144137,0.028591930716871,0.0106172103697417,1.10970112191648,1.82994,1.69528,0.27746,1.52207059528097,1.52044858710616,8.2495960828254,52.66096,2.13322672241056,0.74852,0.0164853084810683,0.0155848758760165,0.597072649606858,11.6644069749437,18.048092249169
"49","2022_Q2",105.462419354839,"Down",344288000,-130726000,213562000,-146305000,-44457000,-101848000,67257000,-17581000,-21499000,2308000,1610000,49676000,52210000,-6026000,46184000,46184000,76000,46260000,46260000,218550000,218550000,82122000,82122000,80203000,231023000,20955000,205314000,611898000,4986103000,7313351000,-2327248000,117797000,1568759000,1568759000,6672659000,7284557000,203109000,121037000,20590000,19328000,124469000,124469000,327578000,2050634000,2222115000,837394000,857574000,4272749000,4600327000,875067000,1841644000,-39203000,2677508000,6722000,2684230000,7284557000,46184000,45494000,6757000,-5436000,92999000,-102535000,3640000,-98287000,-38371000,5e+07,-3034000,8595000,3307000,3307000,3307000,112751000,2050634000,10806000,0.6203,0.19535,0.13436,0.01723,0.00635,0.23359,1.86795,1.71383,0.2815,0.91407,0.91277,6.8029,52.90577,0.213520000000001,0.75819,0.01216,0.00155,0.82946,16.24894,27.24005
"50","2022_Q3",107.138125,"Up",358723000,-125719000,233004000,-158087000,-34830000,-123257000,74917000,497000,-28619000,2288000,26828000,75414000,72880000,-8291000,64589000,64589000,-301000,64288000,64288000,262886000,237886000,90604000,90604000,78715000,261139000,23301000,237838000,693344000,5014451000,7410095000,-2395644000,114048000,1630253000,1630253000,6758752000,7452096000,256441000,152569000,30712000,23924000,117539000,117539000,448980000,2075698000,2213588000,828758000,862867000,4289286000,4738266000,877362000,1867811000,-38366000,2706807000,7023000,2713830000,7452096000,64589000,35857000,-25478000,-12012000,62956000,-91559000,-8672000,-105640000,-37968000,1e+08,-12000,62020000,19336000,19336000,19336000,110774000,2150698000,15494000,0.64954,0.20884,0.17921,0.02369,0.00863,0.24101,1.54426,1.74597,0.2886,1.26881,1.26833,7.07987,53.42242,0.30579,0.74935,0.01445,0.00219,0.59059,17.04201,25.19871
