"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",18.5925396825397,"Up",195096000,-154947000,40149000,-43990000,-27445000,-15406000,-3841000,-1499000,-2160000,661000,-5340000,-5340000,1614000,-3726000,-3726000,-3726000,-3726000,14074000,14074000,62754000,62754000,92225000,7879000,7879000,176932000,196903000,376485000,150345000,218213000,7927000,573388000,750320000,71295000,41198000,28944000,17630000,88925000,254829000,38285000,13714000,293114000,382039000,254514000,-58917000,208617000,-35933000,368281000,368281000,750320000,-3726000,15406000,-217000,-8382000,3081000,-8141000,390000,-16248000,-1372000,2696000,1383000,1383000,-957000,1750000,-11417000,-11417000,-35000,-11452000,11565000,272459000,-6572000,0.20579,-0.01969,-0.0191,-0.01012,-0.00497,1.76382,1.98968,1.03736,0.36312,-0.10941,-0.10941,5.72885,10.8143,-0.19298,0.04029,-0.00347,-0.00968,-0.36822,22.34198,-67.27024
"30","2017_Q3",19.0068253968254,"Up",209133000,-162132000,47001000,-42376000,-26916000,-14380000,4625000,-2526000,-2391000,-135000,2099000,2099000,-637000,1462000,1462000,1462000,1462000,14513000,14513000,79735000,79735000,91675000,8111000,8111000,194034000,213468000,374948000,147231000,219883000,7834000,588416000,782450000,82481000,41239000,39639000,20206000,102687000,266442000,39890000,14670000,306332000,409019000,255494000,-58503000,208629000,-32189000,373431000,373431000,782450000,1462000,14380000,561000.000000001,-2755000,13648000,-9409000,203000,-9206000,-1377000,-2809000.00000001,343000,343000,0,-3843000,599000,599000,-160000,439000,19005000,286648000,7478000.00000001,0.22474,0.02212,0.00699000000000001,0.00392,0.00187,5.11491,1.88957,1.0953,0.36635,0.04282,0.0428199999999999,6.12521,10.93726,0.21902,0.04033,0.00406,0.01068,0.94186,14.31913,58.84
"31","2017_Q4",20.3847619047619,"Up",230177000,-177568000,52609000,-35257000,-20478000,-13915000,17352000,-2529000,-2575000,46000,14823000,14823000,-4608000,10215000,10215000,10215000,10215000,15791000,15791000,78046000,78046000,94373000,8119000,8119000,196329000,214829000,373901000,143702000,222153000,8046000,588730000,785059000,83318000,45709000,35476000,26364000,109682000,238033000,44673000,15460000,282706000,392388000,256545000,-52936000,216553000,-27491000,392671000,392671000,785059000,10215000,13915000,3250000,2356000,29736000,-9548000,639000,-8909000,-1378000,-22752000,4653000,4653000,-19000.0000000001,-19496000,1331000,1331000,-53000,1278000,31267000,264397000,28683000,0.22856,0.07539,0.04438,0.02601,0.01301,2.80793,1.78998,0.99928,0.33679,0.29847,0.28285,6.72541,11.47322,0.83807,0.04026,0.01652,0.04087,0.1349,7.95107,14.32722
"32","2018_Q1",17.9539344262295,"Down",232149000,-177515000,54634000,-38403000,-23142000,-13794000,16231000,-2311000,-2469000,158000,13920000,13920000,-3188000,10732000,10732000,10732000,10732000,17455000,17455000,79411000,79411000,87529000,7406000,7406000,191801000,211131000,370947000,139778000,222194000,8975000,582078000,773879000,85213000,44150000,38871000,21242000,106455000,218184000,42393000,20433000,260577000,367032000,256094000,-49875000,225704000,-25076000,406847000,406847000,773879000,10732000,13794000,4752000,4035000,33313000,-7466000,705000,-6761000,-1389000,-25232000,1574000,1574000,0,-25047000,1505000,1505000,159000,1664000,30025000,239426000,29782000,0.23534,0.06992,0.04623,0.02638,0.01387,2.77507,1.80171,0.90214,0.30938,0.3111,0.30632,6.72954,11.79369,0.86332,0.04026,0.0176,0.04325,0.12943,7.39287,13.67574
"33","2018_Q2",16.51375,"Down",191666000,-154521000,37145000,-37741000,-24102000,-13273000,-596000,-2017000,-2441000,424000,-2613000,-2613000,7560000,4947000,4947000,4947000,4947000,13757000,13757000,62119000,62119000,95843000,7451000,7451000,179170000,213014000,374850000,138743000,226927000,9180000,587864000,767034000,72091000,39868000,29559000,20773000,92864000,215362000,35851000,15787000,251213000,344077000,254013000,-44726000,228293000,-14623000,422957000,422957000,767034000,4947000,13273000,-7773000,-2255000,8192000,-7811000,65000,-7746000,-1397000,-4505000,2231000,2231000,-706000,-4377000,-3931000,-3931000,233000,-3698000,12677000,236135000,-4949000,0.1938,-0.00311,0.02581,0.0117,0.00645,-1.0004,1.92938,0.8135,0.30785,0.14272,0.1402,5.52957,12.20233,-0.14278,0.0403,0.00913,-0.00712,0.28239,17.54185,-373.11745
"34","2018_Q3",16.3061904761905,"Down",214212000,-169025000,45187000,-37421000,-23869000,-13310000,7766000,-2237000,-2502000,265000,5529000,5529000,-1393000,4136000,4136000,4136000,4136000,10098000,10098000,76594000,76594000,92928000,8527000,8527000,188147000,209459000,367165000,133193000,224728000,9244000,576624000,764771000,81352000,44492000,34576000,16167000,97519000,210857000,36069000,15290000,246926000,344445000,253644000,-44312000,230945000,-19951000,420326000,420326000,764771000,4136000,13310000,-424000.000000002,-3599000,13423000,-7402000,115000,-7287000,-1403000,-8437000,333000,333000,0,-9507000,-3371000,-3371000,-288000,-3659000,21076000,227024000,11468000,0.21095,0.03625,0.01931,0.00984,0.00541,2.77273,1.92934,0.81947,0.29685,0.11885,0.11802,6.15552,12.07833,0.32954,0.04032,0.0081,0.01678,0.33922,10.29256,27.93278
"35","2018_Q4",14.1638095238095,"Down",239821000,-185245000,54576000,-37012000,-24078000,-12691000,17564000,-3180000,-2641000,-539000,14384000,14384000,-3631000,10753000,10753000,10753000,10753000,12400000,12400000,80236000,80236000,87105000,8636000,8636000,188377000,205304000,357842000,127071000,221587000,9184000,563146000,751523000,78969000,44871000,31693000,16120000,95089000,193654000,39017000,15640000,232671000,327760000,254180000,-42841000,240025000,-27601000,423763000,423763000,751523000,10753000,12691000,3815000,-421000,26838000,-5885000,80000,-5805000,-1402000,-17702000,1203000,1203000,-254000,-18155000,2878000,2878000,-576000,2302000,30255000,209774000,27580000,0.22757,0.07324,0.04484,0.02538,0.01431,2.56487,1.98106,0.77345,0.27913,0.30867,0.30685,6.88429,12.16451,0.79171,0.04025,0.01807,0.04101,0.13038,6.52368,11.23742
"36","2019_Q1",14.8450819672131,"Up",244086000,-188231000,55855000,-44892000,-31709000,-12548000,10963000,-2510000,-3516000,1006000,8453000,8453000,-1736000,6717000,6717000,6717000,6717000,29003000,29003000,84014000,84014000,70730000,7296000,7296000,191043000,201370000,350801000,121919000,219627000,9255000,552171000,743214000,101137000,52389000,45968000,1224000,102361000,209332000,36299000,18789000,245631000,347992000,255052000,-73029000,243904000,-30705000,395222000,395222000,743214000,6717000,12548000,1757000,35136000,56158000,-5386000,172000,-5214000,-2818000,95000,-31055000,979000,0,-33778000,17166000,17166000,-563000,16603000,23511000,210556000,54997000,0.22883,0.04491,0.02752,0.017,0.00904,8.18773,1.86637,0.8805,0.2833,0.19466,0.19343,7.07373,11.45372,1.59384,0.08167,0.01485,0.08565,0.41953,7.72205,16.56052
"37","2019_Q2",15.7647619047619,"Up",196808000,-158557000,38251000,-40701000,-28026000,-12572000,-2450000,-2186000,-2442000,256000,-4636000,-4636000,987000,-3649000,-3649000,-3649000,-3649000,17456000,17456000,71678000,71678000,81443000,7282000,7282000,177859000,198717000,349164000,119053000,221225000,8886000,547881000,725740000,70517000,39500000,27789000,1134000,71651000,229550000,34736000,19187000,264286000,335937000,253305000,-72838000,235979000,-26643000,389803000,389803000,725740000,-3649000,12572000,-868000,-28298000,-20243000,-6271000,74000,-6197000,-2675000,19546000,-1989000,27000,-322000,14560000,-11880000,-11880000,333000,-11547000,10122000,230684000,-25434000,0.19436,-0.01245,-0.01854,-0.00936,-0.00503,6.97013,2.4823,0.86181,0.31786,-0.11025,-0.11025,5.94622,11.77724,-0.76845,0.08082,-0.00149,-0.03882,-0.73308,21.0658,-87.03184
"38","2019_Q3",16.97125,"Up",218203000,-171378000,46825000,-36210000,-23722000,-12404000,10615000,-2656000,-2602000,-54000.0000000001,7959000,-22019000,-1955000,-23974000,-23974000,-23974000,-23974000,20262000,20262000,80646000,80646000,86581000,8458000,8458000,195947000,197182000,313913000,114921000,190638000,8354000,511095000,707042000,83268000,48743000,31554000,1082000,84350000,224743000,37061000,20644000,261804000,346154000,254053000,-75444000,210406000,-28127000,360888000,360888000,707042000,-23974000,12404000,31711000,244999.999999985,20386000,-6751000,224000,-6527000,-2660000,-5330000,-2686000,0,0,-10676000,3183000,3183000,-377000,2806000.00000001,23019000,225825000,18468000,0.21459,0.04865,-0.10987,-0.06643,-0.03391,-0.77033,2.32302,0.95917,0.31939,-0.7275,-0.7275,6.62144,10.95127,0.56042,0.08072,-0.03417,0.02961,-0.110949999999999,8.93014,19.36533
"39","2019_Q4",17.845625,"Up",238461000,-181357000,57104000,-37994000,-25718000,-12182000,19110000,-2311000,-2570000,259000,16799000,16799000,-4958000,11841000,11841000,11841000,11841000,10651000,10651000,82302000,82302000,84762000,8270000,8270000,185985000,190447000,303632000,108620000,186829000,8183000,494079000,680064000,85759000,52602000,30056000,871000,86630000,191109000,40975000,21924000,232084000,318714000,254427000,-74143000,219340000,-38274000,361350000,361350000,680064000,11841000,12182000,4213000,1657000,29893000,-3962000,17000,-3945000,-2655000,-32818000,1049000,2683000,-8000.00000000003,-34432000,-8484000,-8484000,-1127000,-9611000,31292000,191980000,33945000,0.23947,0.08014,0.04966,0.03277,0.01741,2.86673,2.14689,0.88201,0.2823,0.35991,0.35991,7.24805,10.98328,1.03176,0.0807,0.02439,0.05712,0.22422,5.79474,9.48870000000001
"40","2020_Q1",15.1740322580645,"Down",240369000,-183128000,57241000,-35973000,-23826000,-12428000,21268000,-2374000,-2029000,-345000,18894000,-26098000,-4850000,-30948000,-30948000,-30948000,-30948000,30868000,30868000,82946000,82946000,67159000,9353000,9353000,190326000,193600000,261184000,107297000,145563000,8324000,454784000,645110000,109008000,63604000,39221000,746000,109754000,156414000,48755000,29392000,205169000,314923000,255047000,-76746000,185703000,-33817000,330187000,330187000,645110000,-30948000,12428000,47757000,37099000,66336000,-7899000,1009000,-6890000,-2654000,-35424000,-2638000,577000.000000001,0,-40716000,18730000,18730000,1487000,20217000,33696000,157160000,67746000,0.23814,0.08848,-0.12875,-0.09373,-0.04797,-2.18902999999994,1.73411,0.95377,0.24362,-0.94101,-0.94101,7.30871,10.03974,2.0599,0.0807,-0.05278,0.12637,-0.0857600000000172,3.74798,5.93812
"41","2020_Q2",11.4407936507937,"Down",196597000,-157427000,39170000,-37037000,-24132000,-12905000,2133000,-1546000,-1582000,36000,587000,434000,-424000,10000,10000,10000,10000,23114000,23114000,64036000,64036000,78117000,7931000,7931000,173198000,192148000,301854000,104338000,146590000,50926000,494002000,667200000,83339000,49092000,28982000,707000,90578000,166711000,79978000,60237000,246689000,337267000,252868000,-76760000,182989000,-29164000,329933000,329933000,667200000,10000,12905000,444000,-17016000,-3657000,-9312000,797180.847459608,-9312000,-2659000,9715000,-1564000,3075000,-454000,5038000,-7931000,-7931000,177000,-7754000,15038000,167418000,-10866000,0.19924,0.01085,5e-05,3.00000000000022e-05,1.00000000000169e-05,-1086.6,1.91214,1.02223,0.25093,3e-04,3e-04,5.98268,10.04026,-0.33067,0.08092,0.00462,-0.01882,265.9,9.59596,67.65307
"42","2020_Q3",15.33890625,"Up",187475000,-149732000,37743000,-28599000,-16713000,-11886000,9144000,-1263000,-1563000,3e+05,7881000,7630000,-2129000,5501000,5501000,5501000,5501000,80252000,80252000,66892000,66892000,75072000,9602000,9602000,231818000,187482000,293585000,98905000,143870000,50810000,481067000,712885000,71689000,42227000,27396000,666000,79042000,229697000,80189000,59263000,309886000,388928000,253090000,-78749000,185779000,-36163000,323957000,323957000,712885000,5501000,11886000,1299000.00000001,-12557000,6129000,-7001000,33000.0000000005,-6968000,-2628000,63280000,-2175000,-121000,0,58477000,57638000,57638000,-5e+05,57138000,21030000,230363000,3601000,0.20132,0.04877,0.02934,0.01698,0.00772,0.654610000000048,2.93285,1.20055,0.32314,0.16833,0.16804,5.73686,9.91331,0.11019,0.08042,0.01281,0.00568,0.477730000000008,7.13795,16.41634
"43","2020_Q4",19.96796875,"Up",212096000,-162427000,49669000,-33033000,-21973000,-11060000,16636000,-1385000,-1165000,-220000,15251000,15178000,-4345000,10833000,10833000,10833000,10833000,41073000,41073000,84479000,84479000,63939000,7930000,7930000,197421000,186830000,302540000,96957000,146932000,58651000,489370000,686791000,98942000,58676000,33916000,690000,106939000,152062000,87852000,67345000,239914000,346853000,253517000,-78749000,193989000,-28819000,339938000,339938000,686791000,10833000,11060000,-30000,23226000,45089000,-4360000,98000,-4262000,-2623000,-78286000,0,0,0,-80909000,-40082000,-40082000,903000,-39179000,27696000,152752000,50907000,0.23418,0.07844,0.05108,0.03187,0.01577,4.69925,1.84611,1.02034,0.22241,0.33222,0.33107,6.50442,10.42499,1.56118,0.08044,0.02318,0.08769,0.24213,4.03232,6.71309
"44","2021_Q1",24.2855737704918,"Up",255405000,-189164000,66241000,-38267000,-26889000,-11378000,27974000,-771000,-935000,164000,27203000,27058000,-4906000,22152000,22152000,22152000,22152000,51621000,51621000,88287000,88287000,61181000,6217000,6217000,207306000,184104000,300175000,93068000,146154000,60953000,484279000,691585000,122089000,77335000,38289000,692000,130240000,116728000,88858000,69742000,205586000,335826000,253831000,-78565000,213517000,-33024000,355759000,355759000,691585000,22152000,11378000,666000,19039000,53235000,-5053000,371000,-4682000,-2624000,-35236000,132000,672000,0,-37728000,10825000,10825000,-277000,10548000,39352000,117420000,58244000,0.25936,0.10953,0.08673,0.06227,0.03203,2.62929000000005,1.59172,0.94397,0.16978,0.67934,0.67642,7.83259,10.91018,1.78619,0.08047,0.04408,0.10363,0.11845,1.67206,2.35215
"45","2021_Q2",26.0315873015873,"Up",230147000,-176397000,53750000,-41876000,-30861000,-11015000,11874000,-559000,-751000,192000,11315000,11276000,-3424000,7852000,7852000,7852000,7852000,43426000,43426000,82538000,82538000,76076000,7213000,7213000,209253000,182371000,302647000,91806000,149941000,60900000,485018000,694271000,103771000,62553000,37450000,704000,112213000,112090000,92260000,70680000,204350000,316563000,252650000,-69250000,218732000,-24424000,377708000,377708000,694271000,7852000,11015000,5637000,-27899000,-3395000,-5246000,64000,-5182000,-2637000,-5541000,8103000,10030000,-492000,-567000,-9144000,-9144000,949000,-8195000,22889000,112794000,-6832000,0.23355,0.05159,0.03412,0.02079,0.01131,-0.8701,1.86478,0.83812,0.16246,0.23887,0.23642,7.00131,11.49027,-0.20784,0.08022,0.018,-0.01172,0.33584,3.03063,5.84201
"46","2021_Q3",22.859375,"Down",270357000,-208460000,61897000,-40517000,-29672000,-10845000,21380000,-375000,-640000,265000,21005000,21005000,-6454000,14551000,14551000,14551000,14551000,49258000,49258000,96521000,96521000,80365000,8361000,8361000,234505000,178466000,302601000,88850000,150302000,63449000,481067000,715572000,126751000,83081000,41207000,745000,135722000,87195000,97558000,75480000,184753000,320475000,253520000,-65621000,230590000,-23392000,395097000,395097000,715572000,14551000,10845000,2721000,4238000,32355000,-4553000,1601000,-2952000,-2693000,-25064000,4052000,6093000,0,-23705000,5698000.00000001,5698000.00000001,134000,5832000,32225000,87940000,38364000,0.22895,0.07908,0.05382,0.03683,0.02033,2.63652,1.72783,0.81113,0.12289,0.43634,0.43209,8.10714,11.8477,1.15041,0.08075,0.0297,0.06608,0.18507,1.20037,1.80926
"47","2021_Q4",21.9315625,"Down",279877000,-219866000,60011000,-38449000,-27766000,-10683000,21562000,-409000,-597000,188000,21153000,21153000,-7474000,13679000,13679000,13679000,13679000,43663000,43663000,98286000,98286000,93493000,9133000,9133000,244575000,176032000,298585000,86026000,150487000,62072000,474617000,719192000,133245000,79167000,52751000,839000,142354000,72439000,99010000,73758000,171449000,313803000,254035000,-67260000,241582000,-22968000,405389000,405389000,719192000,13679000,10683000,4026000,-9913000,18475000,-6207000,1473000,-4734000,-2687000,-14897000,-1624000,149000,-5.82076609134674e-11,-19208000,-5467000,-5467000,-128000,-5595000,32245000,73278000,23599000,0.21442,0.07704,0.04888,0.03374,0.01902,1.7252,1.71808,0.77408,0.10189,0.41314,0.40901,8.45294,12.2437,0.71275,0.08115,0.02833,0.04085,0.19643,0.91844,1.37348
"48","2022_Q1",22.4475806451613,"Up",291768000,-226818000,64950000,-37857000,-27668000,-10189000,27093000,-433000,-542000,109000,26660000,26660000,-5762000,20898000,20898000,20898000,20898000,40061000,40061000,108309000,108309000,92529000,8148000,8148000,249047000,178630000,289646000,82410000,149205000,58031000,468276000,717323000,148959000,86765000,56156000,846000,158001000,52094000,87446000,65481000,139540000,297541000,254535000,-72701000,259718000,-21770000,419782000,419782000,717323000,20898000,10189000,-3464000,3530000,31153000,-8002000,2162000,-5840000,-2762000,-20178000,-5441000,0,0,-28381000,-3068000,-3068000,-534000,-3602000,37282000,52940000,38572000,0.22261,0.09286,0.07163,0.04978,0.02913,1.84573,1.57624,0.7088,0.0738,0.62646,0.62104,8.74631,12.58377,1.15627,0.0828,0.04224,0.06886,0.13217,0.34545,0.47536
"49","2022_Q2",20.6604838709677,"Down",267040000,-211834000,55206000,-41080000,-30823000,-10257000,14126000,-469000,-523000,54000,13657000,13657000,-2418000,11239000,11239000,11239000,11239000,31719000,31719000,99355000,99355000,117384000,11621000,11621000,260079000,175294000,282899000,78750000,147793000,56356000,458193000,718272000,122494000,75457000,39564000,836000,131628000,76691000,85454000,62857000,162145000,293773000,250577000,-69519000,268370000,-24929000,424499000,424499000,718272000,11239000,10257000,2624000,-45771000,-21651000,-7370000,10000,-7360000,-2587000,24772000,55000,55000,-1383000,20857000,-8154000,-8154000,-188000,-8342000,24383000,77527000,-26340000,0.20673,0.0529,0.04209,0.02648,0.01565,-2.34362,1.97586,0.69205,0.10794,0.33691,0.334,8.00504,12.72517,-0.78959,0.07755,0.02353,-0.04484,0.23018,1.87869,3.24281
"50","2022_Q3",22.4678125,"Up",322893000,-249651000,73242000,-38692000,-28129000,-10563000,34550000,-149000,-602000,453000,34401000,34401000,-7879000,26522000,26522000,26522000,26522000,38900000,38900000,118195000,118195000,130383000,11442000,11442000,298920000,170307000,271263000,73581000,143268000,54414000,441570000,740490000,137547000,88956000,40740000,812000,138359000,75714000,90243000,68721000,165957000,304316000,251129000,-70979000,292221000,-36197000,436174000,436174000,740490000,26522000,10563000,617000,-17932000,19770000,-6415000,26000,-6389000,-2671000,-204000.000000007,-1451000,118000,-29000,-4355000,9026000,9026000,-1845000,7181000,45113000,76526000,28645000,0.22683,0.107,0.08214,0.06081,0.03582,1.08005,2.16047,0.69769,0.10335,0.79989,0.79667,9.73831,13.15481,0.86392,0.08056,0.04842,0.04751,0.10071,0.83404,1.08903
