"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",86.8393650793651,"Up",2.379e+09,-8.26e+08,1.553e+09,-1.093e+09,-8.92e+08,-1.52e+08,-4.9e+07,4.6e+08,-2.9e+07,-2.9e+07,4.31e+08,3.77e+08,-1.53e+08,2.24e+08,2.24e+08,2.24e+08,2.24e+08,4.263e+09,1.674e+09,2.589e+09,1.521e+09,1.521e+09,1.582e+09,1.361e+09,4.67e+08,8.727e+09,1.069e+09,6.784e+09,4.099e+09,1.96e+09,7.25e+08,7.853e+09,1.658e+10,2.686e+09,3.33e+08,2.88e+08,1.31e+08,1.934e+09,2.25e+08,3.695e+09,3.257e+09,1.307e+09,1.307e+09,4.564e+09,8.259e+09,1.315e+09,7.527e+09,-5.21e+08,8.321e+09,8.321e+09,1.658e+10,2.24e+08,2.24e+08,4.5e+07,1.14e+08,-3e+06,3.8e+08,-4.6e+07,4.56e+08,-8.4e+07,3.26e+08,-1.31e+08,-5e+08,2.7e+07,-7.34e+08,-2.8e+07,-2.8e+07,-9.3e+07,-1.21e+08,5.05e+08,3.482e+09,6.09e+08,0.6528,0.19336,0.09416,0.02692,0.01351,2.71875,2.36184,0.99255,0.21001,0.59119,0.58409,6.2787,21.96094,1.60728,0.34574,4,0.02708,0.04645,0.58482,-1.54653,-1.69783
"22","2015_Q3",91.10234375,"Up",2.432e+09,-8.27e+08,1.605e+09,-1.064e+09,-8.61e+08,-1.54e+08,-4.9e+07,5.41e+08,-2.8e+07,-2.8e+07,5.13e+08,4.01e+08,-9e+06,3.92e+08,3.92e+08,3.92e+08,3.92e+08,4.277e+09,3.626e+09,6.51e+08,1.5e+09,1.5e+09,1.619e+09,1.54e+09,5.85e+08,8.936e+09,1.102e+09,6.781e+09,4.125e+09,1.925e+09,7.31e+08,7.883e+09,1.6819e+10,2.757e+09,3.42e+08,1.57e+08,1.3e+08,2.128e+09,2.27e+08,3.723e+09,3.242e+09,1.349e+09,1.349e+09,4.591e+09,8.314e+09,1.336e+09,7.6e+09,-4.31e+08,8.505e+09,8.505e+09,1.6819e+10,3.92e+08,3.92e+08,4.5e+07,1.57e+08,-2.37e+08,3.57e+08,-6.8e+07,1.976e+09,-7999999.99999999,1.9e+09,-1.3e+08,2000000.00000006,5e+06,-3.17e+08,1.94e+09,1.94e+09,1.2e+07,1.952e+09,5.86e+08,3.469e+09,2.9e+08,0.65995,0.22245,0.16118,0.04609,0.02331,0.7398,2.40021,0.97754,0.20625,1.03979,1.0286,6.45093,22.55968,0.76923,0.34483,5,0.03918,0.02177,0.33163,-1.37884,-1.49353
"23","2015_Q4",88.3421875,"Down",2.42e+09,-7.96e+08,1.624e+09,-1.096e+09,-8.87e+08,-1.55e+08,-5.4e+07,5.28e+08,-3.3e+07,-3.3e+07,4.95e+08,3.45e+08,-4.4e+07,3.01e+08,3.01e+08,3.01e+08,3.01e+08,3.372e+09,3.163e+09,2.09e+08,1.496e+09,1.496e+09,1.665e+09,1.5e+09,5.67e+08,8.033e+09,1.128e+09,6.756e+09,4.16e+09,1.861e+09,7.35e+08,7.884e+09,1.5917e+10,1.857e+09,3.4e+08,1.58e+08,1.3e+08,1.229e+09,9.71e+08,3.553e+09,2.511e+09,1.369e+09,1.369e+09,3.88e+09,7.433e+09,1.357e+09,7.656e+09,-5.29e+08,8.484e+09,8.484e+09,1.5917e+10,3.01e+08,3.01e+08,4.7e+07,-9.23e+08,6.6e+07,-5.09e+08,-7.7e+07,4.4e+08,-4.8e+07,3.15e+08,-1.3e+08,-3e+06,4e+06,-2.51e+08,-4.45e+08,-4.45e+08,-1.8e+07,-4.63e+08,5.75e+08,3.482e+09,6.08e+08,0.67107,0.21818,0.12438,0.03548,0.01891,2.01993,2.26091,0.87612,0.21876,0.79989,0.79065,6.43104,22.54584,1.61573,0.34547,6,0.03232,0.04559,0.43189,0.1913,0.20833
"24","2016_Q1",91.3583606557377,"Up",2.715e+09,-8.95e+08,1.82e+09,-1.192e+09,-9.7e+08,-1.64e+08,-5.8e+07,6.28e+08,-3.6e+07,-3.6e+07,5.92e+08,6.12e+08,-9e+07,5.22e+08,5.22e+08,5.22e+08,5.22e+08,4.079e+09,3.379e+09,7e+08,1.662e+09,1.662e+09,1.639e+09,5.63e+08,5.63e+08,7.943e+09,1.199e+09,7.081e+09,4.136e+09,1.794e+09,1.151e+09,8.28e+09,1.6223e+10,2.024e+09,4.1e+08,1.41e+08,1.42e+08,1.331e+09,7.68e+08,3.502e+09,3.23e+09,9.8e+08,9.8e+08,4.21e+09,7.712e+09,1.358e+09,7.792e+09,-6.39e+08,8.511e+09,8.511e+09,1.6223e+10,5.22e+08,5.22e+08,5e+07,1.85e+08,-4e+06,7.53e+08,-7.9e+07,-4.93e+08,-1.3e+07,-5.85e+08,-1.3e+08,5.49e+08,-8.6e+07,7.9e+07,2.47e+08,2.47e+08,-3.1e+07,2.16e+08,6.78e+08,3.998e+09,6.85e+08,0.67035,0.23131,0.19227,0.06133,0.03218,1.31226,2.26813,0.90612,0.24644,1.39498,1.37986,7.25548,22.74452,1.83057,0.34741,8,0.04834,0.05078,0.24904,-0.11947,-0.12898
"25","2016_Q2",103.98859375,"Up",2.495e+09,-8.01e+08,1.694e+09,-1.156e+09,-9.44e+08,-1.59e+08,-5.3e+07,5.38e+08,-3.8e+07,-3.8e+07,5e+08,4.81e+08,-7.9e+07,4.02e+08,4.02e+08,4.02e+08,4.02e+08,7.483e+09,6.976e+09,5.07e+08,1.591e+09,1.591e+09,1.768e+09,4.83e+08,4.83e+08,1.1325e+10,1.224e+09,7.119e+09,4.165e+09,1.78e+09,1.174e+09,8.343e+09,1.9668e+10,1.699e+09,3.94e+08,1.51e+08,1.42e+08,1.012e+09,7.7e+08,3.186e+09,6.706e+09,9.68e+08,9.68e+08,7.674e+09,1.086e+10,1.39e+09,8.04e+09,-6.22e+08,8.808e+09,8.808e+09,1.9668e+10,4.02e+08,4.02e+08,4.9e+07,4.5e+07,-2.34e+08,2.62e+08,-1.15e+08,1.95e+08,-2.3e+07,5.7e+07,-1.42e+08,3.455e+09,-4.1e+07,3.259e+09,3.578e+09,3.578e+09,1.9e+07,3.597e+09,5.87e+08,7.476e+09,3.17e+08,0.67896,0.21563,0.16112,0.04564,0.02044,0.78856,3.55461,1.23297,0.38011,1.07717,1.06518,6.68542,23.60129,0.84941,0.38049,6,0.03153,0.01837,0.35323,-0.01193,-0.01301
"26","2016_Q3",108.7253125,"Up",2.84e+09,-9.98e+08,1.842e+09,-1.314e+09,-1.043e+09,-1.83e+08,-8.8e+07,5.28e+08,-6.7e+07,-6.7e+07,4.61e+08,4.33e+08,-5.3e+07,3.8e+08,3.8e+08,3.8e+08,3.8e+08,3.656e+09,3.49e+09,1.66e+08,1.758e+09,1.758e+09,1.989e+09,4.21e+08,4.21e+08,7.824e+09,1.446e+09,1.125e+10,6.372e+09,3.728e+09,1.15e+09,1.2696e+10,2.052e+10,1.845e+09,4.25e+08,1.66e+08,1.42e+08,1.112e+09,9.27e+08,3.605e+09,6.717e+09,1.1e+09,1.1e+09,7.817e+09,1.1422e+10,1.415e+09,8.278e+09,-5.95e+08,9.098e+09,9.098e+09,2.052e+10,3.8e+08,3.8e+08,5.7e+07,1.23e+08,-6.7e+07,4.93e+08,-1.14e+08,3.41e+08,-4.196e+09,-3.969e+09,-1.42e+08,1.56e+08,-1.5e+07,-1000000.00000048,-3.477e+09,-3.477e+09,-8999999.99999999,-3.486e+09,5.85e+08,7.644e+09,4.57e+08,0.64859,0.18592,0.1338,0.04177,0.01852,1.20263,2.17032,1.25544,0.37251,1.0155,1.00396,7.58952,24.3132,1.22127,0.37948,5,0.02926,0.02561,0.37368,6.81709,7.55303
"27","2016_Q4",107.699682539683,"Down",2.833e+09,-9.6e+08,1.873e+09,-1.33e+09,-1.057e+09,-1.84e+08,-8.9e+07,5.43e+08,-6.7e+07,-6.7e+07,4.76e+08,4.19e+08,-6.4e+07,3.55e+08,3.55e+08,3.55e+08,3.55e+08,3.022e+09,2.953e+09,6.9e+07,1.803e+09,1.803e+09,2.092e+09,4.49e+08,4.49e+08,7.366e+09,1.505e+09,1.1316e+10,6.475e+09,3.608e+09,1.233e+09,1.2821e+10,2.0187e+10,2.018e+09,4.2e+08,2.13e+08,1.42e+08,1.243e+09,1.35e+08,3.026e+09,6.713e+09,1.116e+09,1.116e+09,7.829e+09,1.0855e+10,1.441e+09,8.491e+09,-6e+08,9.332e+09,9.332e+09,2.0187e+10,3.55e+08,3.55e+08,5.9e+07,1.46e+08,-5.8e+07,5.02e+08,-1.18e+08,9.7e+07,-7.7e+07,-1.02e+08,-1.42e+08,-7.93e+08,-1.3e+07,-9.48e+08,-5.48e+08,-5.48e+08,1.1e+07,-5.37e+08,6.02e+08,6.848e+09,4.9e+08,0.66114,0.19167,0.12531,0.03804,0.01759,1.38028,2.43424,1.1632,0.33923,0.94818,0.93668,7.56677,24.92521,1.30876,0.37927,6,0.02873,0.02833,0.4,6.35548,7.04604
"28","2017_Q1",118.677580645161,"Up",3.157e+09,-1.062e+09,2.095e+09,-1.371e+09,-1.093e+09,-1.89e+08,-8.9e+07,7.24e+08,-8.2e+07,-8.2e+07,6.42e+08,5.88e+08,-7.8e+07,5.1e+08,5.1e+08,5.1e+08,5.1e+08,3.384e+09,3.316e+09,6.8e+07,1.967e+09,1.967e+09,2.03e+09,4.8e+08,4.8e+08,7.861e+09,1.569e+09,1.1005e+10,6.356e+09,3.508e+09,1.141e+09,1.2574e+10,2.0435e+10,1.997e+09,4.37e+08,4e+07,1.59e+08,1.361e+09,2.28e+08,3.148e+09,6.686e+09,1.051e+09,1.051e+09,7.737e+09,1.0885e+10,1.469e+09,8.842e+09,-7.61e+08,9.55e+09,9.55e+09,2.0435e+10,5.1e+08,5.1e+08,6.2e+07,6e+07,2.6e+07,6.58e+08,-1.43e+08,1e+06,-3.6e+07,-1.77e+08,-1.42e+08,9.4e+07,-4e+06,-5.2e+07,4.29e+08,4.29e+08,-6.6e+07,362999999.999999,7.86e+08,6.914e+09,7.47e+08,0.6636,0.22933,0.16155,0.0534,0.02496,1.46471,2.49714,1.13979,0.33834,1.36145,1.34529,8.42766,25.49386,1.99413,0.37907,5,0.03723,0.04265,0.27843,4.49109,4.87569
"29","2017_Q2",129.322063492063,"Up",2.955e+09,-9.91e+08,1.964e+09,-1.382e+09,-1.102e+09,-1.92e+08,-8.8e+07,5.82e+08,-5.7e+07,-5.7e+07,5.25e+08,4.99e+08,-5.5e+07,4.44e+08,4.44e+08,4.44e+08,4.44e+08,3.279e+09,3.213e+09,6.6e+07,1.875e+09,1.875e+09,2.172e+09,5.63e+08,5.63e+08,7.889e+09,1.655e+09,1.0973e+10,6.393e+09,3.446e+09,1.134e+09,1.2628e+10,2.0517e+10,1.636e+09,4.56e+08,4.3e+07,1.59e+08,9.78e+08,3.5e+07,2.554e+09,7.184e+09,1.075e+09,1.075e+09,8.259e+09,1.0813e+10,1.476e+09,8.903e+09,-6.75e+08,9.704e+09,9.704e+09,2.0517e+10,4.44e+08,4.44e+08,6.2e+07,5.2e+07,-4.07e+08,1.51e+08,-1.39e+08,2e+06,-9e+06,-1.46e+08,-1.59e+08,3.04e+08,-5.2e+07,-1.37e+08,-1.32e+08,-1.32e+08,2.9e+07,-1.03e+08,6.44e+08,7.219e+09,1.53e+08,0.66464,0.19695,0.15025,0.04575,0.02164,0.34459,3.08888,1.11428,0.35185,1.18907,1.17058,7.91377,25.98822,0.40975,0.42582,4,0.0335,0.0085,0.35811,6.11801,6.76976
"30","2017_Q3",135.541111111111,"Up",3.012e+09,-1.021e+09,1.991e+09,-1.417e+09,-1.13e+09,-1.92e+08,-9.5e+07,5.74e+08,-5.8e+07,-5.8e+07,5.16e+08,4.44e+08,-5.3e+07,3.91e+08,3.91e+08,3.91e+08,3.91e+08,3.747e+09,3.649e+09,9.8e+07,1.905e+09,1.905e+09,2.279e+09,5.47e+08,5.47e+08,8.478e+09,1.758e+09,1.1056e+10,6.471e+09,3.382e+09,1.203e+09,1.2814e+10,2.1292e+10,1.752e+09,4.27e+08,8e+07,1.59e+08,1.086e+09,7.74e+08,3.552e+09,6.592e+09,1.113e+09,1.113e+09,7.705e+09,1.1257e+10,1.489e+09,9.136e+09,-5.9e+08,1.0035e+10,1.0035e+10,2.1292e+10,3.91e+08,3.91e+08,6.5e+07,1.63e+08,30999999.9999999,6.5e+08,-1.31e+08,-3.2e+07,-2.9e+07,-1.92e+08,-1.59e+08,1.39e+08,-2e+07,-4e+07,4.18e+08,4.18e+08,1.8e+07,4.36e+08,6.39e+08,7.366e+09,5.92e+08,0.66102,0.19057,0.12981,0.03896,0.01836,1.51407,2.38682,1.12177,0.34595,1.04573,1.02949,8.05563,26.83873,1.58331,0.42525,6,0.02971,0.03198,0.40665,5.66354,6.30488
"31","2017_Q4",144.671746031746,"Up",3.006e+09,-1.022e+09,1.984e+09,-1.393e+09,-1.103e+09,-1.98e+08,-9.2e+07,5.91e+08,-5.4e+07,-5.4e+07,5.37e+08,4.71e+08,-3.7e+07,4.34e+08,4.34e+08,4.34e+08,4.34e+08,2.689e+09,2.592e+09,9.7e+07,1.965e+09,1.965e+09,2.454e+09,6.02e+08,6.02e+08,7.71e+09,1.852e+09,1.1923e+10,7.026e+09,3.47e+09,1.427e+09,1.3775e+10,2.1485e+10,1.669e+09,4.58e+08,1.43e+08,1.59e+08,9.09e+08,6.32e+08,3.258e+09,6.593e+09,1.209e+09,1.209e+09,7.802e+09,1.106e+10,1.512e+09,9.411e+09,-4.98e+08,1.0425e+10,1.0425e+10,2.1485e+10,4.34e+08,4.34e+08,7.1e+07,-1.83e+08,-2.43e+08,7.9e+07,-1.42e+08,1e+06,-6.74e+08,-8.15e+08,-1.59e+08,-1.43e+08,-4.3e+07,-3.45e+08,-1.081e+09,-1.081e+09,2.4e+07,-1.057e+09,6.62e+08,7.225e+09,3.14e+08,0.66001,0.19661,0.14438,0.04163,0.0202,0.7235,2.36648,1.06091,0.33628,1.15981,1.1415,8.03314,27.85943,0.83912,0.42491,4,0.03144,0.01665,0.36636,6.85196,7.67513
"32","2018_Q1",153.267704918033,"Up",3.471e+09,-1.23e+09,2.241e+09,-1.518e+09,-1.217e+09,-2.05e+08,-9.6e+07,7.23e+08,-6.5e+07,-6.5e+07,6.58e+08,6.49e+08,-8.98e+08,-2.49e+08,-2.49e+08,-2.49e+08,-2.49e+08,2.793e+09,2.542e+09,2.51e+08,2.198e+09,2.198e+09,2.465e+09,5.37e+08,5.37e+08,7.993e+09,1.975e+09,1.2229e+10,7.168e+09,3.477e+09,1.301e+09,1.4204e+10,2.2197e+10,1.646e+09,4.87e+08,1.43e+08,1.78e+08,8.38e+08,6.32e+08,3.485e+09,6.59e+09,2.142e+09,2.142e+09,8.732e+09,1.2217e+10,1.533e+09,8.986e+09,-5.53e+08,9.966e+09,9.98e+09,2.2197e+10,-2.49e+08,-2.49e+08,7.3e+07,1.57e+08,6.98e+08,6.79e+08,-1.86e+08,-1.54e+08,-1.19e+08,-4.6e+08,-1.59e+08,-1000000.00000006,-1.12e+08,-2.72e+08,-5.3e+07,-5.3e+07,3000000.00000001,-49999999.9999998,7.96e+08,7.222e+09,2.206e+09,0.64564,0.2083,-0.07174,-0.02495,-0.01122,-8.85944,2.29354,1.22415,0.32536,-0.66489,-0.65337,9.26836,26.61148,5.89052,0.42457,3,-0.00465000000000001,0.11404,-0.63855,5.56407,6.12586
"33","2018_Q2",160.42484375,"Up",3.241e+09,-1.104e+09,2.137e+09,-1.542e+09,-1.236e+09,-2.04e+08,-1.02e+08,5.95e+08,-4.9e+07,-4.9e+07,5.46e+08,5.42e+08,-9.9e+07,4.43e+08,4.43e+08,4.43e+08,4.43e+08,2.455e+09,2.179e+09,2.76e+08,2.108e+09,2.108e+09,2.664e+09,6.24e+08,6.24e+08,7.851e+09,2.054e+09,1.2228e+10,7.723e+09,3.689e+09,8.16e+08,1.4282e+10,2.2133e+10,1.583e+09,5.29e+08,1.86e+08,1.78e+08,6.9e+08,1.984e+09,4.8e+09,5.92e+09,2.19e+09,2.19e+09,8.11e+09,1.291e+10,1.523e+09,8.201e+09,-5.1e+08,9.214e+09,9.223e+09,2.2133e+10,4.43e+08,4.43e+08,7.4e+07,1.1e+08,-3.3e+08,2.97e+08,-1.21e+08,-2.4e+07,-7.04e+08,-8.49e+08,-1.76e+08,6.94e+08,-7.3e+07,1.45e+08,-4.07e+08,-4.07e+08,4.4e+07,-3.63e+08,6.69e+08,7.904e+09,3.17e+08,0.65936,0.18359,0.13669,0.04803,0.02002,0.71558,1.63562,1.39976,0.35711,1.18449,1.16365,8.66578,24.63636,0.84759,0.47059,4,0.03204,0.01641,0.39729,8.14499,9.15798
"34","2018_Q3",163.280634920635,"Up",3.322e+09,-1.132e+09,2.19e+09,-1.516e+09,-1.19e+09,-2.16e+08,-1.1e+08,6.74e+08,-4.9e+07,-4.9e+07,6.25e+08,6.23e+08,-1.71e+08,4.52e+08,4.52e+08,4.52e+08,4.52e+08,1.92e+09,1.641e+09,2.79e+08,2.089e+09,2.089e+09,2.74e+09,6.64e+08,6.64e+08,7.413e+09,2.101e+09,1.2056e+10,7.636e+09,3.567e+09,8.53e+08,1.4157e+10,2.157e+10,1.598e+09,5.61e+08,1.3e+08,1.78e+08,7.29e+08,1.277e+09,4.046e+09,5.925e+09,2.139e+09,2.139e+09,8.064e+09,1.211e+10,1.54e+09,8.477e+09,-5.57e+08,9.46e+09,9.46e+09,2.157e+10,4.52e+08,4.52e+08,7.6e+07,1.08e+08,1.3e+07,6.49e+08,-1.57e+08,-4e+06,-62999999.9999999,-2.24e+08,-1.76e+08,-7.06e+08,-3.5e+07,-9.17e+08,-4.92e+08,-4.92e+08,-4.6e+07,-5.38e+08,7.5e+08,7.202e+09,7.77e+08,0.65924,0.20289,0.13606,0.04778,0.02096,1.71903,1.83218,1.28013,0.33389,1.20888,1.18916,8.88473,25.30088,2.0781,0.47071,6,0.0334,0.04133,0.38938,7.04267,7.8368
"35","2018_Q4",160.414285714286,"Down",3.242e+09,-1.087e+09,2.155e+09,-1.575e+09,-1.242e+09,-2.21e+08,-1.12e+08,5.8e+08,-4.2e+07,-4.2e+07,5.38e+08,5.34e+08,5.6e+07,5.9e+08,5.9e+08,5.9e+08,5.9e+08,2.21e+09,1.918e+09,2.92e+08,2.076e+09,2.076e+09,2.893e+09,7.39e+08,7.39e+08,7.918e+09,2.178e+09,1.1988e+10,7.634e+09,3.463e+09,8.91e+08,1.4166e+10,2.2084e+10,1.698e+09,5.63e+08,1e+08,1.76e+08,8.59e+08,1.275e+09,4.153e+09,5.928e+09,2.143e+09,2.143e+09,8.071e+09,1.2224e+10,1.572e+09,8.892e+09,-6.04e+08,9.86e+09,9.86e+09,2.2084e+10,5.9e+08,5.9e+08,7.3e+07,1.14e+08,-1.59e+08,6.18e+08,-1.4e+08,-1.3e+07,-3e+06,-1.56e+08,-1.76e+08,-1e+06,-2e+06,-1.79e+08,2.83e+08,2.83e+08,-6e+06,2.77e+08,6.53e+08,7.203e+09,2.98e+08,0.66471,0.1789,0.18199,0.05984,0.02672,0.50508,1.90657,1.23976,0.32616,1.57712,1.55181,8.66613,26.35659,0.79658,0.47046,7,0.03988,0.01552,0.29831,7.64625,8.60862
"36","2019_Q1",173.175901639344,"Up",3.796e+09,-1.34e+09,2.456e+09,-1.745e+09,-1.431e+09,-2.21e+08,-9.3e+07,7.11e+08,-4.1e+07,-4.1e+07,6.7e+08,6.57e+08,1.411e+09,2.068e+09,2.068e+09,2.068e+09,2.068e+09,3.699e+09,3.616e+09,8.3e+07,2.332e+09,2.332e+09,2.955e+09,7.47e+08,7.47e+08,9.733e+09,2.291e+09,1.5205e+10,8.563e+09,4.163e+09,8.01e+08,1.7496e+10,2.7229e+10,1.913e+09,6.46e+08,1.58e+08,1.92e+08,9.17e+08,1.373e+09,4.807e+09,8.486e+09,2.206e+09,2.206e+09,1.0692e+10,1.5499e+10,1.596e+09,1.0765e+10,-6.31e+08,1.173e+10,1.173e+10,2.7229e+10,2.068e+09,2.068e+09,5e+08,-1.832e+09,3.1e+08,1.046e+09,-1.54e+08,2.09e+08,-1.681e+09,-1.628e+09,-1.75e+08,2.469e+09,-1.4e+07,2.28e+09,1.698e+09,1.698e+09,-7.45058059692383e-09,1.698e+09,1.211e+09,9.859e+09,-44000000.0000001,0.647,0.1873,0.54478,0.1763,0.07595,-0.02128,2.02476,1.32131,0.36208,5.5235,5.43924,10.13889,31.33013,-0.11752,0.46741,5,0.09426,-0.00185,0.08462,5.08671,8.66385
"37","2019_Q2",184.267301587302,"Up",3.516e+09,-1.233e+09,2.283e+09,-1.742e+09,-1.403e+09,-2.25e+08,-1.14e+08,5.41e+08,-4.8e+07,-4.8e+07,4.93e+08,4.8e+08,-6.8e+07,4.12e+08,4.12e+08,4.12e+08,4.12e+08,1.758e+09,1.674e+09,8.4e+07,2.284e+09,2.284e+09,3.064e+09,7.82e+08,7.82e+08,7.888e+09,2.297e+09,1.5752e+10,8.71e+09,4.24e+09,1.171e+09,1.8049e+10,2.5937e+10,1.496e+09,6.19e+08,1.54e+08,1.92e+08,5.31e+08,5.21e+08,3.713e+09,7.95e+09,2.581e+09,2.581e+09,1.0531e+10,1.4244e+10,1.575e+09,1.0683e+10,-5.65e+08,1.1693e+10,1.1693e+10,2.5937e+10,4.12e+08,4.12e+08,7.6e+07,1.66e+08,-3.41e+08,3.13e+08,-1.22e+08,-1e+06,-1.8e+08,-3.03e+08,-1.95e+08,-1.353e+09,-9.2e+07,-1.947e+09,-1.937e+09,-1.937e+09,-5e+06,-1.942e+09,6.17e+08,8.471e+09,2.22e+08,0.64932,0.15387,0.11718,0.03523,0.01588,0.53883,2.12443,1.21816,0.3266,1.10367,1.08621,9.4187,31.32333,0.5947,0.52237,4,0.02669,0.00976,0.4733,10.88006,12.4085
"38","2019_Q3",207.479375,"Up",3.65e+09,-1.27e+09,2.38e+09,-1.65e+09,-1.282e+09,-2.46e+08,-1.22e+08,7.3e+08,-4.8e+07,-4.8e+07,6.82e+08,5.65e+08,-8.5e+07,4.8e+08,4.8e+08,4.8e+08,4.8e+08,1.839e+09,1.754e+09,8.5e+07,2.408e+09,2.408e+09,3.198e+09,7.4e+08,7.4e+08,8.185e+09,2.387e+09,1.5782e+10,8.762e+09,4.184e+09,1.223e+09,1.8169e+10,2.6354e+10,1.587e+09,6.16e+08,1.39e+08,1.92e+08,6.4e+08,5.39e+08,3.946e+09,7.974e+09,2.491e+09,2.491e+09,1.0465e+10,1.4411e+10,1.606e+09,1.0967e+10,-6.3e+08,1.1943e+10,1.1943e+10,2.6354e+10,4.8e+08,4.8e+08,7.7e+07,2.67e+08,-3.1e+08,5.14e+08,-1.65e+08,-1999999.99999997,-79999999.9999998,-2.47e+08,-1.95e+08,1.8e+07,-1.1e+07,-1.88e+08,7.9e+07,7.9e+07,1e+06,8e+07,8.07e+08,8.513e+09,4.17e+08,0.65205,0.2,0.13151,0.04019,0.01821,0.86875,2.07425,1.20665,0.32302,1.28377,1.26482,9.76197,31.9417,1.11527,0.52153,5,0.02942,0.01817,0.40625,8.27014,9.14247
"39","2019_Q4",201.256875,"Down",3.587e+09,-1.257e+09,2.33e+09,-1.653e+09,-1.291e+09,-2.46e+08,-1.16e+08,6.77e+08,-4.7e+07,-4.7e+07,6.3e+08,5.81e+08,-1.15e+08,4.66e+08,4.66e+08,4.66e+08,4.66e+08,2.036e+09,1.948e+09,8.8e+07,2.438e+09,2.438e+09,3.269e+09,8.23e+08,8.23e+08,8.566e+09,2.46e+09,1.5633e+10,8.704e+09,4.056e+09,1.287e+09,1.8093e+10,2.6659e+10,1.705e+09,6.59e+08,8.7e+07,1.92e+08,7.67e+08,5.26e+08,3.921e+09,7.889e+09,2.534e+09,2.534e+09,1.0423e+10,1.4344e+10,1.63e+09,1.1238e+10,-5.53e+08,1.2315e+10,1.2315e+10,2.6659e+10,4.66e+08,4.66e+08,7.8e+07,7.8e+07,7e+06,6.29e+08,-1.63e+08,-2e+06,-2.1e+07,-1.86e+08,-1.95e+08,-1.3e+07,-1.7e+07,-2.25e+08,2.18e+08,2.18e+08,-2.4e+07,1.94e+08,7.55e+08,8.415e+09,7.14e+08,0.64957,0.18874,0.12991,0.03784,0.01748,1.53219,2.18465,1.16476,0.31565,1.24532,1.22438,9.58578,32.91021,1.90807,0.52111,4,0.02841,0.03069,0.41845,8.44901,9.42245
"40","2020_Q1",189.989838709677,"Down",4.131e+09,-1.428e+09,2.703e+09,-1.746e+09,-1.38e+09,-2.54e+08,-1.12e+08,9.57e+08,-8e+06,-8e+06,9.49e+08,9.36e+08,-2.11e+08,7.25e+08,7.25e+08,7.25e+08,7.25e+08,4.425e+09,4.337e+09,8.8e+07,2.893e+09,2.893e+09,2.98e+09,7.6e+08,7.6e+08,1.1058e+10,2.567e+09,1.6542e+10,9.069e+09,4.227e+09,1.671e+09,1.9109e+10,3.0167e+10,3.541e+09,6.75e+08,1.71e+08,2.13e+08,2.482e+09,8.59e+08,4.4e+09,1.0231e+10,2.729e+09,2.729e+09,1.296e+10,1.736e+10,1.665e+09,1.1748e+10,-6.06e+08,1.2807e+10,1.2807e+10,3.0167e+10,7.25e+08,7.25e+08,5.47e+08,-1.6e+08,-3.77e+08,7.35e+08,-1.99e+08,0,-5.21e+08,-7.19e+08,-1.93e+08,2.641e+09,-8.5e+07,2.363e+09,2.379e+09,2.379e+09,1e+07,2.389e+09,1.504e+09,1.109e+10,1.139e+09,0.65432,0.23166,0.1755,0.05661,0.02403,1.57103,2.51318,1.35551,0.36762,1.9354,1.90689,11.02776,34.18847,3.04058,0.51522,5,0.03448,0.04278,0.26621,4.43152,6.96447
