"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",17.7931746031746,"Up",72012000,-55829000,16183000,-6996000,-6996000,9187000,102000,102000,9289000,9289000,-2128000,7161000,7161000,7161000,7161000,10749000,6146000,7404000,7404000,49871000,1598000,1527000,69622000,14800000,18134000,3308000,465000,3391000,10970000,44498000,114120000,25627000,12237000,13390000,25627000,7998000,7545000,7545000,453000,7998000,33625000,3450000,78958000,-1913000,80495000,80495000,114120000,7161000,481000,562000,-8135000,69000,-1191000,954000,-4382000,-4382000,-3359000,-3359000,-3359000,9668000,0,2470000,0.22473,0.12758,0.09944,0.08896,0.06275,0.34492,2.71674,0.41773,0,0.21329,0.21329,2.14487,2.39754,0.07357,0.13052,0.13044,0.02791,0.61193,-1.11181,-1.17002
"34","2019_Q1",12.7559016393443,"Down",62062000,-49045000,13017000,-7001000,-7001000,6016000,48000,48000,6064000,6064000,-1336000,4728000,4728000,4728000,4728000,11711000,8745000,3872000,3872000,46770000,2247000,1795000,64600000,14552000,17029000,3308000,465000,3325000,9931000,36280000,100880000,18167000,4673000,13494000,18167000,7501000,7045000,7045000,456000,7501000,25668000,3433000,73954000,-2175000,75212000,75212000,100880000,4728000,490000,669000,-1297000,4590000,-242000,8275000,-10266000,-10266000,2599000,2599000,2599000,6506000,0,6303000,0.20974,0.09694,0.07618,0.06286,0.04687,1.33312,3.5559,0.34128,0,0.14102,0.14102,1.85105,2.24326,0.18799,0.30619,0.18128,0.0762,2.17132,-1.80003,-1.94664
"35","2019_Q2",12.8566666666667,"Up",83053000,-64354000,18699000,-9831000,-9831000,8868000,57000,57000,8925000,8925000,-1456000,7469000,7469000,7469000,7469000,18347000,18347000,9894000,9894000,47824000,1579000,1127000,77644000,15155000,17995000,3308000,465000,3427000,10795000,33150000,110794000,27913000,12417000,15496000,27913000,8651000,8073000,8073000,578000,8651000,36564000,3413000,73382000,-2565000,74230000,74230000,110794000,7469000,505000,424000,3646000,12044000,-1108000,6571000,-9013000,-9013000,9602000,9602000,9602000,9373000,0,13367000,0.22515,0.10678,0.08993,0.10062,0.06741,1.78966,2.78164,0.49258,0,0.22382,0.22382,2.48878,2.22439,0.40056,0.27008,0.19886,0.16128,1.20672,-1.95743,-2.0689
"36","2019_Q3",13.0253125,"Up",88696000,-68272000,20424000,-9045000,-9045000,11379000,95000,95000,11474000,11474000,-2101000,9373000,9373000,9373000,9373000,12967000,12967000,14752000,14752000,50904000,1511000,1389000,80134000,15244000,18476000,3308000,465000,3688000,11015000,33720000,113854000,25464000,9265000,16199000,25464000,9314000,8770000,8770000,544000,9314000,34778000,3404000,78220000,-2548000,79076000,79076000,113854000,9373000,522000,278000,-9854000,319000,-611000,-611000,-5088000,-5088000,-5380000,-5380000,-5380000,11901000,0,3537000,0.23027,0.12829,0.10568,0.11853,0.08232,0.37736,3.14695,0.4398,0,0.28177,0.28177,2.66635,2.37715,0.10633,0.15295,0.1636,0.04002,0.54284,-1.08957,-1.13956
"37","2019_Q4",12.844375,"Down",72212000,-56463000,15749000,-6039000,-6039000,9710000,83000,83000,9793000,9793000,-1938000,7855000,7855000,7855000,7855000,23030000,23030000,15164000,15164000,45013000,1541000,1541000,84748000,15009000,19274000,3308000,465000,4381000,11120000,34283000,119031000,27113000,9624000,17043000,27113000,9781000,9244000,9244000,537000,9781000,36894000,3396000,81273000,-2532000,82137000,82137000,119031000,7855000,529000,-155000,7482000,15711000,-294000,-294000,-5354000,-5354000,10063000,10063000,10063000,10239000,0,19365000,0.21809,0.13447,0.10878,0.09563,0.06599,2.46531,3.12573,0.44918,0,0.2367,0.2367,2.17598,2.47505,0.58353,0.16133,0.1437,0.21068,0.6816,-2.24924,-2.37178
"38","2020_Q1",11.3137096774194,"Down",48175000,-37653000,10522000,-6344000,-6344000,4178000,88000,88000,4266000,4266000,-724000,3542000,3542000,3542000,3542000,19804000,19804000,6607000,6607000,41553000,2963000,2056000,70927000,14796000,19041000,3308000,465000,3990000,11278000,33837000,104764000,17041000,3886000,13155000,17041000,10511000,9980000,9980000,531000,10511000,27552000,3387000,76573000,-2748000,77212000,77212000,104764000,3542000,534000,951000,815999.999999996,5843000,-321000,-321000,-301000,-8748000,-3226000,-3226000,-3226000,4712000,0,5931000,0.21841,0.08673,0.07352,0.04587,0.03381,1.67448,4.16214,0.35684,0,0.10702,0.10702,1.45553,2.33283,0.1792,0.00909000000000001,0.04381,0.06761,0.0849800000000002,-4.20289,-4.74007
"39","2020_Q2",9.50492063492064,"Down",59119000,-47012000,12107000,-7253000,-7253000,4854000,61000,61000,4915000,4915000,-707000,4208000,4208000,4208000,4208000,20064000,20064000,9170000,9170000,45946000,2175000,1442000,77355000,14925000,17545000,3308000,465000,3429000,10343000,32470000,109825000,23511000,9803000,13708000,23511000,9328000,8805000,8805000,523000,9328000,32839000,3397000,76218000,-2629000,76986000,76986000,109825000,4208000,536000,1104000,206000,6054000,-665000,-665000,-5129000,-5129000,260000,260000,260000,5390000,0,5638000,0.20479,0.08211,0.07118,0.05466,0.03832,1.33983,3.29016,0.42656,0,0.12688,0.12688,1.78257,2.3213,0.17,0.15465,0.10817,0.06532,1.21887,-3.72245,-4.1335
"40","2020_Q3",14.04890625,"Up",40818000,-32987000,7831000,-5757000,-5757000,2074000,15000,15000,2089000,2089000,-382000,1707000,1707000,1707000,1707000,22614000,22614000,9568000,9568000,43190000,1796000,1642000,77168000,14754000,18958000,3308000,465000,3810000,11375000,33712000,110880000,23220000,8710000,14510000,23220000,11092000,10577000,10577000,515000,11092000,34312000,3397000,75781000,-2610000,76568000,76568000,110880000,1707000,537000,195000,3202000,5641000,-366000,-366000,-2725000,-2725000,2550000,2550000,2550000,2611000,0,5829000,0.19185,0.05081,0.04182,0.02229,0.0154,3.41476,3.32334,0.44812,0,0.0514,0.0514,1.22905,2.3055,0.17551,0.08205,0.05056,0.0665,1.59637,-8.66105,-10.90357
"41","2020_Q4",15.121875,"Up",68778000,-52542000,16236000,-7886000,-7886000,8350000,10000,10000,8360000,8360000,-1825000,6535000,6535000,6535000,6535000,29014000,29014000,8517000,8517000,42890000,2089000,1883000,82510000,14741000,20220000,3308000,465000,4181000,12266000,34961000,117471000,25199000,9592000,15607000,25199000,11797000,11289000,11289000,508000,11797000,36996000,3387000,79679000,-2591000,80475000,80475000,117471000,6535000,436000,1094000,2875000,10940000,-393000,-393000,-1632000,-4147000,6400000,6400000,6400000,8786000,0,13093000,0.23606,0.12141,0.09502,0.08121,0.05563,2.00352,3.27434,0.45972,0,0.1968,0.1968,2.07125,2.42351,0.3943,0.04915,0.08851,0.1419,0.24973,-3.3023,-3.47473
"42","2021_Q1",15.6537704918033,"Up",71110000,-53679000,17431000,-8348000,-8348000,9083000,9000,9000,9092000,9092000,-2098000,6994000,6994000,6994000,6994000,31573000,31573000,4706000,4706000,42310000,1947000,1947000,80536000,14938000,23948000,3308000,465000,4075000,16100000,38886000,119422000,21662000,6079000,15583000,21662000,13241000,12524000,12524000,717000,13241000,34903000,3387000,83079000,-1947000,84519000,84519000,119422000,6994000,445000,1014000,-1214000,7239000,-641000,-641000,-4064000,-4039000,2559000,2559000,2559000,9528000,0,9771000,0.24513,0.12773,0.09835,0.08275,0.05857,1.39705,3.71785,0.41296,0,0.21075,0.21075,2.14277,2.54683,0.29443,0.12246,0.11311,0.09995,0.58107,-3.31371,-3.47605
"43","2021_Q2",15.4230158730159,"Down",78375000,-59913000,18462000,-8437000,-8437000,10025000,8000,8000,10033000,10033000,-1936000,8097000,8097000,8097000,8097000,35016000,35016000,7727000,7727000,45929000,2712000,2161000,91384000,14727000,24054000,3308000,465000,3917000,16364000,38781000,130165000,27430000,10847000,16583000,27430000,1.4e+07,13209000,13209000,791000,1.4e+07,41430000,3399000,87269000,-1933000,88735000,88735000,130165000,8097000,447000,707000,-1124000,8127000,-236000,-236000,-3398000,-4448000,3443000,3443000,3443000,10472000,0,11048000,0.23556,0.12791,0.10331,0.09125,0.06221,1.36446,3.33153,0.4669,0,0.24325,0.24325,2.35452,2.66576,0.3319,0.10208,0.11189,0.10754,0.41966,-3.34377,-3.49287
"44","2021_Q3",13.6325,"Down",67259000,-52651000,14608000,-7245000,-7245000,7363000,10000,10000,7373000,7373000,-1579000,5794000,5794000,5794000,5794000,28609000,28609000,7941000,7941000,57109000,2758000,2455000,96417000,14582000,25258000,3308000,465000,4192000,17293000,39840000,136257000,30064000,12796000,17268000,30064000,15157000,14443000,14443000,714000,15157000,45221000,3399000,89556000,-1919000,91036000,91036000,136257000,5794000,450000,292000,-8560000,-2024000,-305000,-305000,-4077000,-4078000,-6407000,-6407000,-6407000,7813000,0,527000,0.21719,0.10947,0.08614,0.06365,0.04252,0.0909599999999999,3.20706,0.49674,0,0.17406,0.17406,2.02058,2.73488,0.01583,0.12248,0.09295,0.00496000000000001,0.70366,-3.66172,-3.88551
"45","2021_Q4",11.763125,"Down",75843000,-59799000,16044000,-7701000,-7701000,8343000,4000,4000,8347000,8347000,-1660000,6687000,6687000,6687000,6687000,9630000,9630000,10229000,10229000,76747000,2976000,2494000,99582000,14313000,25897000,3308000,465000,4430000,17694000,40210000,139792000,29815000,14168000,15647000,29815000,15744000,15070000,15070000,674000,15744000,45559000,3399000,92739000,-1905000,94233000,94233000,139792000,6687000,448000,330000,-22189000,-14724000,-179000,-179000,-4076000,-4076000,-18979000,-18979000,-18979000,8791000,0,-11917000,0.21154,0.11,0.08817,0.07096,0.04784,-1.78211,3.34,0.48347,0,0.20075,0.20075,2.27688,2.82897,-0.35776,0.12237,0.09787,-0.10836,0.60954,-1.09544,-1.15426
"46","2022_Q1",11.5145161290323,"Down",76537000,-57379000,19158000,-8497000,-8497000,10661000,-6000,-6000,10655000,10655000,-2207000,8448000,8448000,8448000,8448000,14102000,14102000,3262000,3262000,73261000,2484000,2474000,93109000,14370000,25362000,3308000,465000,4392000,17197000,39732000,132841000,18069000,6771000,11298000,18069000,16247000,15564000,15125505.9919564,683000,16247000,34316000,3399000,97702000,-2576000,98525000,98525000,132841000,8448000,471000,820000,-660999.999999996,9078000,-528000,-528000,-4078000,-4078000,4472000,4472000,4472000,11132000,0,12150000,0.25031,0.13929,0.11038,0.08574,0.06359,1.43821,5.15297,0.3483,0,0.23442,0.23442,2.12379,2.73392,0.33714,0.11316,0.10914,0.10586,0.48272,-1.2668,-1.32277
"47","2022_Q2",10.636935483871,"Down",76612000,-58217000,18395000,-9240000,-9240000,9155000,-17000,-17000,9138000,9138000,-2075000,7063000,7063000,7063000,7063000,13622000,13622000,8564000,8564000,78179000,3622000,1917000,103987000,14100000,23584000,3308000,465000,3887000,15924000,37684000,141671000,24766000,12434000,12332000,24766000,15482000,14742000,14742000,740000,15482000,40248000,3414000,100563000,-2554000,101423000,101423000,141671000,7063000,472000,1109000,-4125000,4519000,-202000,-202000,-4095000,-4797000,-480000,-480000,-480000,9627000,0,7375000,0.24011,0.1195,0.09219,0.06964,0.04985,1.04417,4.19878,0.39683,0,0.20778,0.20778,2.25382,2.98373,0.21696,0.12047,0.09545,0.06309,0.57978,-1.41498,-1.48793
"48","2022_Q3",9.78203125,"Down",95813000,-72816000,22997000,-9883000,-9883000,13114000,-7000,-7000,13107000,13107000,-3152000,9955000,9955000,9955000,9955000,21568000,21568000,9344000,9344000,78271000,3212000,2164000,112395000,14232000,22976000,3308000,465000,5372000,13831000,37208000,149603000,26485000,11573000,14912000,26485000,14994000,13942000,13942000,1052000,14994000,41479000,3424000,107232000,-2532000,108124000,108124000,149603000,9955000,464000,-671000,2890000,12638000,-596000,-596000,-4096000,-4096000,7946000,7946000,7946000,13578000,0,19024000,0.24002,0.13687,0.1039,0.09207,0.06654,1.911,4.24372,0.38362,0,0.29194,0.29194,2.80977,3.17079,0.55789,0.12012,0.11413,0.15452,0.41145,-1.58845,-1.64465
