"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",42.3292063492064,"Up",139039000,-32532000,106507000,-69291000,-46521000,-22770000,37216000,2019000,2012000,-263000,270000,39235000,39235000,6236000,45471000,45471000,45471000,45471000,468455000,92428000,376027000,58236000,58236000,32615000,34638000,33349000,593944000,57255000,312850000,132195000,7440000,95280000,27096000,2379000,502300000,1096244000,61715000,17115000,5696000,38904000,13801000,13801000,75516000,9516000,9516000,9516000,85032000,411823000,652917000,-53528000,1011212000,1011212000,1096244000,45471000,3955000,7229000,-8940000,47715000,-6095000,-21945000,-28507000,-6497000,-928000,29139000,-7425000,11783000,11783000,1004000,12787000,41171000,0,19900000,0.76602,0.26767,0.32704,0.04497,0.04148,0.43764,7.86514,0.08409,0,0.26338,0.25495,0.80534,5.85714,0.11526,0.03763,0.05091,0.0195,0.14288,-11.37828,-12.58746
"30","2017_Q3",48.4480952380952,"Up",178080000,-42164000,135916000,-75895000,-52518000,-23377000,60021000,1785000,2138000,-184000,-169000,61806000,61806000,-5311000,56495000,56495000,56495000,56495000,410668000,68266000,342402000,78593000,78593000,36491000,56096000,50157000,581848000,61196000,354658000,163296000,15226000,115089000,29681000,3300000,579150000,1160998000,70393000,22815000,4957000,42621000,18011000,18011000,88404000,20618000,15403000,20618000,109022000,425579000,669347000,-42950000,1051976000,1051976000,1160998000,56495000,4073000,8013000,-25676000,42905000,-6077000,-3012000,-34432000,-7367000,-26365000,5911000,-33732000,-25259000,-25259000,1097000,-24162000,64094000,0,37652000,0.76323,0.33705,0.31725,0.0537,0.04866,0.66647,6.58169,0.10364,0,0.32604,0.31521,1.02771,6.07103,0.21729,0.04252,0.05954,0.0351,0.1304,-6.40728,-6.84207
"31","2017_Q4",60.8085714285714,"Up",266042000,-68061000,197981000,-87132000,-61054000,-26078000,110849000,1903000,2475000,-127000,-445000,112752000,112752000,-10259000,102493000,102493000,102493000,102493000,384610000,111349000,273261000,121976000,121976000,48061000,90436000,38824000,645083000,65957000,386501000,160976000,14427000,113208000,30524000,2817000,613434000,1258517000,93454000,30331000,10053000,53070000,16072000,16072000,109526000,15468000,15468000,15468000,124994000,443305000,727319000,-37101000,1133523000,1133523000,1258517000,102493000,4322000,8019000,-65400000,49434000,-7872000,37525000,31054000,-7372000,-27304000,9700000,-36602000,43886000,43886000,-803000,43083000,115171000,0,52158000,0.74417,0.41666,0.38525,0.09042,0.08144,0.50889,5.88977,0.11027,0,0.59164,0.57146,1.53574,6.54331,0.30108,0.04256,0.09562,0.04539,0.07193,-3.33947,-3.46967
"32","2018_Q1",56.472131147541,"Down",182922000,-44532000,138390000,-87615000,-60635000,-26980000,50775000,1896000,2917000,-1027000,6000,52671000,52671000,-80418000,-27747000,-27747000,-27747000,-27747000,404543000,106582000,297961000,119388000,119388000,67923000,38137000,30683000,629991000,78048000,423441000,156273000,13189000,113208000,27385000,2491000,657762000,1287753000,103215000,23463000,11503000,68249000,9420000,9420000,112635000,79445000,79133000,79445000,192080000,461685000,668587000,-34599000,1095673000,1095673000,1287753000,-27747000,4641000,8498000,98877000,84269000,-8710000,-64960000,-73670000,-7801000,-14561000,9807000,-22362000,-11763000,-11763000,6996000,-4767000,55416000,0,226001000,0.75655,0.27758,-0.15169,-0.02532,-0.02155,-8.14506,5.59321,0.17531,0,-0.15947,-0.15307,1.05134,6.29733,1.29893,0.04484,-0.01697,0.19232,-0.28115,-7.30011,-7.96737
"33","2018_Q2",45.26640625,"Down",169567000,-40198000,129369000,-94773000,-63697000,-31076000,34596000,3383000,3240000,-134000,277000,37979000,37979000,-762000,37217000,37217000,37217000,37217000,447201000,109572000,337629000,96649000,96649000,96399000,30300000,26068000,670549000,85205000,356181000,156980000,12420000,113208000,29135000,2217000,598366000,1268915000,97514000,29136000,11915000,56463000,15504000,15504000,113018000,78798000,78479000,78798000,191816000,4.86e+08,622856000,-31757000,1077099000,1077099000,1268915000,37217000,5199000,12786000,-416000,54786000,-13270000,26229000,12959000,-7787000,-58079000,11123000,-65866000,1879000,1879000,1111000,2990000,39795000,0,26871000,0.76294,0.20403,0.21948,0.03455,0.02933,0.72201,5.93312,0.17809,0,0.21478,0.20717,0.97857,6.21595,0.15507,0.04494,0.03893,0.02325,0.20923,-11.23762,-12.92638
"34","2018_Q3",49.0795238095238,"Up",211264000,-54169000,157095000,-93640000,-66752000,-26888000,63455000,3118000,3559000,-195000,-246000,66573000,66573000,-10377000,56196000,56196000,56196000,56196000,482942000,129202000,353740000,136084000,136084000,89556000,50965000,47362000,759547000,87893000,271941000,156929000,11651000,113208000,29892000,2178000,516763000,1276310000,83719000,12588000,12477000,58654000,40881000,40881000,124600000,72578000,72274000,72578000,197178000,498687000,619212000,-38767000,1079132000,1079132000,1276310000,56196000,5213000,8981000,-52560000,17830000,-8405000,68590000,60185000,-7737000,-48418000,3688000,-57155000,20860000,20860000,-1230000,19630000,68668000,0,18080000,0.7436,0.30036,0.266,0.05208,0.04403,0.32173,6.09588,0.18272,0,0.32602,0.31722,1.22564,6.26056,0.10489,0.04489,0.05551,0.0157,0.13768,-7.033,-7.61078
"35","2018_Q4",41.5450793650794,"Down",232221000,-58860000,173361000,-95517000,-65817000,-29700000,77844000,3429000,3937000,-379000,-129000,81273000,81273000,-837000,80436000,80436000,80436000,80436000,527387000,107371000,420016000,135441000,135441000,94035000,41635000,27687000,798498000,88930000,281929000,155339000,10882000,113208000,27376000,3873000,526198000,1324696000,97901000,22295000,8974000,66632000,13252000,13252000,111153000,64099000,63727000,64099000,175252000,518901000,670935000,-40392000,1149444000,1149444000,1324696000,80436000,5369000,9110000,-15839000,79076000,-5681000,-75747000,-81428000,-7759000,-9883000,11071000,-17642000,-19994000,-19994000,-1837000,-21831000,83213000,0,62530000,0.74653,0.33522,0.34638,0.06998,0.06072,0.77739,7.18377,0.15247,0,0.46714,0.45381,1.34864,6.67548,0.36315,0.04506,0.07268,0.05153,0.09646,-6.3378,-6.77492
"36","2019_Q1",45.9237704918033,"Up",193286000,-52825000,140461000,-95214000,-66433000,-28781000,45247000,3502000,3979000,-356000,-121000,48749000,48749000,-3331000,45418000,45418000,45418000,45418000,535560000,108212000,427348000,119172000,119172000,83282000,42312000,3.4e+07,780326000,91396000,262039000,155906000,10113000,113208000,28660000,3925000,509341000,1289667000,81512000,16230000,5062000,60220000,9845000,9845000,91357000,63047000,62085000,63047000,154404000,529550000,646214000,-40501000,1135263000,1135263000,1289667000,45418000,5768000,12802000,7774000,71762000,-9739000,11461000,-2542999.99999999,-8582000,-60659000,901000.000000002,-69241000,-22000,-22000,863000,840999.999999993,51015000,0,52381000,0.7267,0.23409,0.23498,0.04001,0.03522,1.15331,8.5415,0.13601,0,0.26484,0.25866,1.12708,6.61988,0.30544,0.05004,0.04506,0.04371,0.18896,-10.49809,-11.83636
"37","2019_Q2",46.165873015873,"Up",173484000,-46284000,127200000,-97053000,-66811000,-30242000,30147000,5584000,4905000,-248000,927000,35731000,35731000,-2627000,33104000,33104000,33104000,33104000,546633000,105296000,441337000,106424000,106424000,79208000,40980000,30778000,773245000,91273000,317054000,172200000,9344000,113208000,28596000,21052000,580527000,1353772000,71037000,20529000,1560000,48948000,22008000,16625000,93045000,71868000,71868000,71868000,164913000,556177000,670754000,-38072000,1188859000,1188859000,1353772000,33104000,5944000,9795000,12418000,61261000,-5078000,-65024000,-70102000,-8564000,14346000,14346000,5782000,-3059000,-3059000,143000,-2916000,36091000,0,46058000,0.73321,0.17377,0.19082,0.02785,0.02445,1.39131,8.31044,0.13872,0,0.19348,0.18851,1.01395,6.94841,0.26919,0.05005,0.03305,0.03653,0.2587,-15.14596,-18.13225
"38","2019_Q3",43.36828125,"Down",199047000,-50967000,148080000,-96324000,-68245000,-28079000,51756000,5219000,5223000,140000,-144000,56975000,56975000,-8226000,48749000,48749000,48749000,48749000,453591000,89104000,364487000,107643000,107643000,72889000,44751000,34451000,678874000,89342000,408032000,173672000,8575000,113208000,28537000,23352000,671046000,1349920000,61516000,11729000,1078000,48709000,24167000,18332000,85683000,72597000,72597000,72597000,158280000,579212000,649234000,-36806000,1191640000,1191640000,1349920000,48749000,6131000,11826000,-7817000,58889000,-3891000,-12697000,-16588000,-8582000,-49619000,12071000,-58201000,-15900000,-15900000,-292000,-16192000,57887000,0,54405000,0.74394,0.26002,0.24491,0.04091,0.03611,1.11602,7.92309,0.13283,0,0.28455,0.27785,1.16184,6.95564,0.31756,0.05009,0.04535,0.04303,0.17604,-7.8358,-8.76403
"39","2019_Q4",49.77015625,"Up",183325000,-47632000,135693000,-92601000,-64486000,-28115000,43092000,4275000,5114000,-1295000,456000,47367000,47367000,-5682000,41685000,41685000,41685000,41685000,413773000,121701000,292072000,107407000,107407000,65264000,39337000,28127000,625781000,88429000,504641000,171601000,7994000,113208000,29273000,21126000,764671000,1390452000,65339000,12766000,4012000,48561000,15876000,10431000,81215000,70019000,69730000,70019000,151234000,594769000,682383000,-37934000,1239218000,1239218000,1390452000,41685000,5844000,13262000,4620000,65411000,-4549000,-23713000,-28262000,-8536000,5363000,5363000,-3173000,33976000,33976000,-1379000,32597000,48936000,0,54689000,0.74018,0.23506,0.22738,0.03364,0.02998,1.31196,7.70524,0.12204,0,0.24414,0.23897,1.0737,7.25788,0.3203,0.04999,0.03836,0.04177,0.20477,-8.45539,-9.60208
"40","2020_Q1",48.2375806451613,"Down",169769000,-44871000,124898000,-107291000,-74300000,-32991000,17607000,5314000,4447000,894000,-27000.0000000001,22921000,22921000,57406000,80327000,80327000,80327000,80327000,411901000,171431000,240470000,103447000,103447000,60261000,31622000,26840000,607231000,89443000,433452000,755809000,39490000,243445000,449519000,23355000,1278704000,1885935000,100398000,17866000,30333000,52199000,20079000,14432000,120477000,409748000,77404000,409748000,530225000,639717000,753268000,-37275000,1355710000,1355710000,1885935000,80327000,6981000,-82011000,62453000,67750000,-8227000,132754000,-42384000,-9442000,32801000,32801000,23359000,48725000,48725000,1005000,49730000,24588000,0,21408000,0.73569,0.10371,0.47315,0.05925,0.04259,0.26651,5.04022,0.39111,0,0.46806,0.45748,0.98923,7.89963,0.12474,0.05502,0.05085,0.01213,0.11754,-16.75211,-23.39416
"41","2020_Q2",52.3753968253968,"Up",167235000,-41200000,126035000,-105084000,-69138000,-35946000,20951000,2043000,5229000,-3003000,-183000,22994000,22994000,-2517000,20477000,20477000,20477000,20477000,398441000,239197000,159244000,100463000,100463000,54985000,41398000,35913000,595287000,86702000,446955000,756133000,38102000,242214000,450280000,25537000,1289790000,1885077000,118842000,16195000,38692000,63955000,31802000,26252000,150644000,406940000,76408000,406940000,557584000,664476000,713208000,-50191000,1327493000,1327493000,1885077000,20477000,7019000,12447000,22092000,62035000,-3074000,62596000,59522000,-9503000,-41065000,9971000,-50568000,70989000,70989000,-3223000,67766000,27970000,0,49505000,0.75364,0.12528,0.12244,0.01543,0.01086,2.41759,3.95161,0.42003,0,0.11877,0.11661,0.97,7.69972,0.28714,0.05512,0.01729,0.02854,0.46408,-14.2453,-19.01776
"42","2020_Q3",62.38765625,"Up",169097000,-50320000,118777000,-90550000,-60153000,-30397000,28227000,3830000,3291000,336000,203000,32057000,-2312000,1170000.00000001,-1142000,-1142000,-1142000,-1142000,429105000,286021000,143084000,111671000,111671000,52953000,52746000,51768000,646475000,83936000,467087000,737366000,17337000,242436000,443732000,33861000,1288389000,1934864000,90215000,17999000,5952000,66264000,54366000,46738000,144581000,413805000,87510000,413805000,558386000,710758000,702597000,-36877000,1376478000,1376478000,1934864000,-1142000,6725000,41342000,-32780000,14145000,-3911000,7629000,3718000,-9469000,38264000,38264000,27756000,45619000,45619000,1205000,46824000,34952000,0,-2909000,0.70242,0.16693,-0.00674999999999998,-0.00083,-0.00059,2.54729,4.47137,0.40566,0,-0.00662999999999973,-0.00651,0.98151,7.98968,-0.01689,0.05496,0.00465,-0.00162,-8.29159,-12.27698,-15.20193
"43","2020_Q4",70.69203125,"Up",251073000,-59741000,191332000,-94446000,-64206000,-30240000,96886000,4674000,2490000,2357000,-173000,101560000,101309000,-13803000,87506000,87506000,87506000,87506000,393721000,298356000,95365000,127755000,127755000,53860000,52800000,37411000,628136000,81225000,619343000,731811000,16482000,243129000,439574000,32626000,1432379000,2060515000,97818000,21464000,8006000,68348000,41580000,33717000,139398000,415288000,88585000,415288000,554686000,763181000,780521000,-37873000,1505829000,1505829000,2060515000,87506000,6160000,11761000,-22157000,83270000,-2844000,-104427000,-107271000,-9582000,43155000,43155000,33573000,9572000,9572000,2763000,12335000,103046000,0,91848000,0.76206,0.38589,0.34853,0.05811,0.04247,1.04962,4.50606,0.36836,0,0.50304,0.49406,1.44334,8.65653,0.528,0.05508,0.05054,0.04781,0.1095,-3.82083,-4.06376
"44","2021_Q1",82.6422950819672,"Up",223615000,-55160000,168455000,-108495000,-74096000,-34399000,59960000,5835000,1984000,4007000,-156000,65795000,64920000,4425000,69345000,69345000,69345000,69345000,372313000,269073000,103240000,125696000,125696000,60830000,42852000,37220000,601691000,79173000,395125000,724713000,15555000,244078000,434704000,30376000,1199011000,1800702000,102913000,16270000,9379000,77264000,29384000,21274000,132297000,406203000,91251000,406203000,538500000,808091000,487912000,-33801000,1262202000,1262202000,1800702000,69345000,6599000,5522000,1484000,82950000,-3474000,215940000,213470000,-361954000,34325000,34325000,-327629000,-31209000,-31209000,1926000,-29283000,66559000,0,60144000,0.75333,0.26814,0.31011,0.05494,0.03851,0.86732,4.54803,0.42664,0,0.395550000000002,0.389020000000001,1.27551999999999,7.19971,0.34307,2.06462,0.25851,0.03605,5.21961,-5.59373,-6.20936
"45","2021_Q2",80.3169841269841,"Down",239027000,-54045000,184982000,-106529000,-72424000,-34105000,78453000,378000,1554000,-1008000,-168000,78831000,78831000,-8983000,69848000,69848000,69848000,69848000,385921000,242688000,143233000,128822000,128822000,61392000,49436000,47773000,625571000,77081000,490363000,715941000,14628000,243036000,429801000,28476000,1283385000,1908956000,100215000,20970000,18823000,60422000,59465000,51660000,159680000,392275000,81391000,392275000,551955000,854844000,540686000,-38529000,1357001000,1357001000,1908956000,69848000,5186000,14553000,9052000,98639000,-2436000,-138359000,-140795000,-10595000,28265000,34744000,17670000,-24486000,-24486000,-1899000,-26385000,83639000,0,99238000,0.7739,0.32822,0.29222,0.05147,0.03659,1.42077,3.91765,0.40675,0,0.39622,0.38811,1.35589,7.69763999999954,0.56293,0.0601,0.04599,0.05673,0.15169,-4.61413,-4.91914
"46","2021_Q3",85.505,"Up",269158000,-68432000,200726000,-108145000,-76843000,-31302000,92581000,957000,1723000,-639000,-127000,93538000,93538000,-15940000,77598000,77598000,77598000,77598000,407784000,217037000,190747000,149157000,149157000,68503000,67434000,65646000,692878000,76972000,543965000,711106000,13702000,242906000,425618000,28880000,1332043000,2024921000,120601000,32304000,11644000,76653000,84333000,76445000,204934000,390533000,84178000,390533000,595467000,875236000,593290000,-39072000,1429454000,1429454000,2024921000,77598000,5177000,12751000,560000,96086000,-4114000,-102570000,-106684000,-10597000.0000001,-4735000,9663000,-15332000,-25930000,-25930000,279000,-25651000,97758000,0,110144000,0.74576,0.34397,0.2883,0.05429,0.03832,1.41942,3.38098,0.41657,0,0.44017999999997,0.431170000000025,1.52681000000002,8.10863,0.624800000000013,0.0601100000000103,0.04846,0.06052,0.13656,-4.17136,-4.40462
"47","2021_Q4",80.245,"Down",284848000,-85712000,199136000,-111589000,-77113000,-34476000,87547000,1037000,1748000,-586000,-125000,88584000,88584000,-9684000,78900000,78900000,78900000,78900000,392592000,203479000,189113000,129784000,129784000,81170000,68521000,61196000,672067000,76882000,592794000,707060000,12782000,241799000,420962000,31517000,1376736000,2048803000,119405000,26797000,12271000,80337000,45732000,37843000,165137000,390705000,88686000,390705000,555842000,900544000,634165000,-41748000,1492961000,1492961000,2048803000,78900000,5051000,12813000,-32633000,64131000,-4139000,-49355000,-53494000,-10608000,-12723000,14694000,-23331000,-12694000,-12694000,-864000,-13558000,92598000,0,65510000,0.6991,0.30735,0.27699,0.05285,0.03851,0.83029,4.06975,0.37231,0,0.44684,0.43807,1.61321,8.45525000000026,0.37101,0.06008,0.04752,0.03478,0.13445,-4.23975,-4.48436
"48","2022_Q1",68.1374193548387,"Down",244065000,-69082000,174983000,-118463000,-82974000,-35489000,56520000,1427000,1635000,-37000,-171000,57947000,57947000,-4412000,53535000,53535000,53535000,53535000,323616000,186161000,137455000,130348000,130348000,113102000,72732000,68742000,639798000,77546000,583748000,702570000,11888000,241713000,418570000,30399000,1363864000,2003662000,145060000,44051000,8577000,92432000,43529000,35743000,188589000,384980000,91211000,384980000,573569000,915153000,562882000,-47942000,1430093000,1430093000,2003662000,53535000,4869000,7796000,-10991000,55209000,-4766000,53200000,48434000,-11463000,-109167000,4191000,-120630000,-16987000,-16987000,-331000,-17318000,61389000,0,50044000,0.71695,0.23158,0.21935,0.03743,0.02672,0.93479,3.39255,0.40107,0,0.301549999999159,0.295709999999265,1.37476999999537,8.05541,0.28189000000002,0.0645699999999188,0.03581,0.02757,0.21412,-5.27156,-5.72569
"49","2022_Q2",55.8453225806452,"Down",282407000,-78790000,203617000,-116889000,-80835000,-36054000,86728000,976000,1468000,-444000,-48000,87704000,87704000,-20371000,67333000,67333000,67333000,67333000,314735000,165769000,148966000,155065000,155065000,136660000,66420000,64573000,672880000,77870000,479429000,703936000,11048000,241180000,412333000,39375000,1261235000,1934115000,132320000,44733000,24465000,63122000,62806000,54455000,195126000,380244000,100515000,380244000,575370000,933799000,488511000,-63565000,1358745000,1358745000,1934115000,67333000,4957000,12982000,-35755000,49517000,-4585000,73821000,69236000,-11303000,-126811000,3594000,-138114000,-19361000,-19361000,-1031000,-20392000,91685000,0,71716000,0.72101,0.3071,0.23843,0.04956,0.03481,1.06509,3.44844,0.42346,0,0.38082,0.37336,1.59722,7.68469000005195,0.40561,0.06393,0.04522,0.04124,0.16787,-3.43279,-3.62899
"50","2022_Q3",45.185,"Down",274628000,-78143000,196485000,-113941000,-79950000,-33991000,82544000,-726000,1505000,-2043000,-188000,81818000,64415000,-5514000,58901000,58901000,58901000,58901000,359680000,177046000,182634000,171414000,171414000,96012000,107652000,105384000,734758000,79468000,428401000,700456000,10226000,239798000,411505000,38927000,1208325000,1943083000,108700000,20364000,18285000,70051000,83541000,75385000,192241000,360857000,89265000,360857000,553098000,947616000,512230000,-69861000,1389985000,1389985000,1943083000,58901000,4819000,52656000,-72264000,44112000,-6668000,13029000,6361000,-11270000,-23092000,820000.000000001,-34362000,16111000,16111000,-4834000,11277000,87363000,0,13945000,0.71546,0.30057,0.21448,0.04238,0.03031,0.23675,3.82207,0.39792,0,173238.23529,173238.23529,807729.41176,4088191.17647,41014.70588,33147.05882,0.04008,0.00796,0.19134,-4.11707,-4.35743
