"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q3",38.6359375,"Up",471395000,-199460000,-27771000,-171689000,271935000,-111399000,-105536000,-5863000,160536000,160536000,-32231000,128305000,128305000,128305000,128305000,264058000,264058000,24044000,24044000,288102000,17752201000,20306921000,-2554720000,2444045000,2444045000,20196246000,20484348000,453536000,453536000,124142000,124142000,577678000,12859244000,1747542000,711788000,1035754000,14606786000,15184464000,1e+05,2735065000,2564719000,5299884000,5299884000,20484348000,128305000,171689000,56745000,38260000,394999000,-1377780000,-1442544000,1051002000,-9948000,1037405000,-10140000,-10140000,-10140000,443624000,12859244000,-863665000,0.57687,0.27218,0.02421,0.00626,-6.73134,0.49872,2.86506,0.62776,1.15202,1.13729,4.23255,47.58558,-7.75466,0.00717,-0.04339,28.39158,46.3169
"34","2019_Q4",42.2671875,"Up",530902000,-218503000,-34715000,-183788000,312399000,-118612000,-113715000,-4897000,193787000,193787000,-3.8e+07,155787000,155787000,155787000,147672000,291772000,291772000,44651000,44651000,336423000,18911267000,21601147000,-2689880000,2362011000,2362011000,21273278000,21609701000,420444000,420444000,134635000,134635000,555079000,13751872000,1840577000,749504000,1091073000,15592449000,16147528000,1e+05,2760055000,2702018000,5462173000,5462173000,21609701000,155787000,183788000,21600000,-45867000,315308000,-1162258000,-1223179000,970104000,-19982000,956192000,48321000,48321000,48321000,496187000,13751872000,-673938000,0.58843,0.27815,0.02704,0.00683,-4.56375,0.60608,2.95625,0.63637,1.31681,1.3032,4.73412,48.70595,-6.00958,0.0077,-0.03201,27.12707,43.08625
"35","2020_Q1",35.908064516129,"Down",548556000,-219327000,-31465000,-187862000,329229000,-122811000,-1.17e+08,-5811000,206418000,206418000,-41483000,164935000,164935000,164935000,161092000,317488000,317488000,20573000,20573000,338061000,18704337000,21286154000,-2581817000,2666757000,2666757000,21371094000,21709155000,516497000,516497000,143692000,143692000,660189000,13578866000,1846556000,749495000,1097061000,15425422000,16085611000,1e+05,2778735000,2846106000,5623544000,5623544000,21709155000,164935000,187862000,-24980000,93099000,420916000,-229361000,-283772000,-101353000,-274702000,-135506000,1638000,1638000,1638000,517091000,13578866000,422312000,0.60017,0.29367,0.02865,0.00742,2.62156,0.51207,2.8604,0.62549,1.42501,1.41516,4.85251,49.74481,3.73576,0.00835,0.02006,25.64612,40.2801
"36","2020_Q2",25.495873015873,"Down",511387000,-217217000,-28322000,-188895000,294170000,-122498000,-118069000,-4429000,171672000,171672000,-34521000,137151000,137151000,137151000,133307000,732719000,732719000,20662000,20662000,753381000,19222361000,21976429000,-2754068000,2706603000,2706603000,21928964000,22682345000,491251000,491251000,134779000,134779000,626030000,14414621000,1905325000,782368000,1122957000,16319946000,16945976000,1e+05,2776776000,2962368000,5736369000,5736369000,22682345000,137151000,188895000,53159000,-145182000,234023000,-672327000,-672327000,851605000,16997000.0000001,853624000,415320000,415320000,415320000,483065000,14414621000,-299923000,0.57524,0.26068,0.02324,0.00588,-2.24987,1.20343,2.95413,0.6355,1.1748,1.17157,4.50673,50.55231,-2.64315,0.00681,-0.0136,28.32311,46.51019
"37","2020_Q3",28.25671875,"Up",521349000,-220601000,-26581000,-194020000,300748000,-116818000,-112926000,-3892000,183930000,183930000,-36305000,147625000,147625000,147625000,143781000,926435000,926435000,15555000,15555000,941990000,19108073000,22067957000,-2959884000,2943657000,2943657000,22051730000,22993720000,497709000,497709000,131951000,131951000,629660000,14639045000,1855214000,817981000,1037233000,16494259000,17123919000,1e+05,2782970000,3089082000,5869801000,5869801000,22993720000,147625000,194020000,41264000,-148590000,234319000,-230236000,-230236000,218907000,-19836000,184526000,188609000,188609000,188609000,494768000,14639045000,152247000,0.57687,0.27579,0.0245,0.00625,1.05888,1.49603,2.91729,0.63665,1.26467,1.26238,4.58567,51.62862,1.33913,0.00719,0.00681,27.71523,45.59502
"38","2020_Q4",34.53125,"Up",493601000,-215293000,-20239000,-195054000,278308000,-125053000,-118418000,-6635000,153255000,153255000,-32860000,120395000,120395000,120395000,116552000,1238569000,1238569000,23568000,23568000,1262137000,19516496000,22671435000,-3154939000,2826132000,2826132000,22342628000,23604765000,401443000,401443000,140228000,140228000,541671000,15180145000,1905626000,850869000,1054757000,17085771000,17627442000,1e+05,2789628000,3188566000,5977323000,5977323000,23604765000,120395000,195054000,51459000,-117661000,249247000,-447636000,-447636000,617750000,-82177000,518536000,320147000,320147000,320147000,473362000,15180145000,-59075000.0000001,0.56383,0.23613,0.0195,0.00494,-0.50686,2.33008,2.94905,0.6431,1.02436,1.02145,4.33821,52.53317,-0.5192,0.00579,-0.00256,29.45225,50.09405
"39","2021_Q1",44.0460655737705,"Up",489102000,-223264000,-20542000,-202722000,265838000,-542122000,-557078000,14956000,-276284000,-336937000,234100000,-102837000,-102837000,-102837000,-75931000,1734155000,1734155000,23612000,23612000,1757767000,20380350000,23729742000,-3349392000,3077058000,3077058000,23457408000,25215175000,492473000,492473000,142915000,142915000,635388000,16518338000,1989108000,916404000,1072704000,18507446000,19142834000,1e+05,2794317000,3277599000,6072341000,6072341000,25215175000,111093000,202722000,89808000,-31026000,372597000,-1015899000,-1176892000,1338067000,-7713000,1299925000,495630000,495630000,495630000,450916640.742416,16518338000,-203893726.546711,0.5300301433329,0.199144649460829,0.0152825732132305,0.00385834112002121,-1.96747983435028,2.76645,3.15246,0.6551,0.832689587944066,0.830164536659203,4.15629889753354,53.36058,-1.79292357600811,0.0047122806999546,-0.00881936087659077,31.8171801153817,57.2921754921792
"40","2021_Q2",45.0530158730159,"Up",474827000,-235879000,-26914000,-208965000,238948000,-135419000,-130011000,-5408000,103529000,103529000,-19436999.9999999,84092000,84092000,84092000,80248000,1327999000,1327999000,24194000,24194000,1352193000,20773959000,24331511000,-3557552000,3063229000,3063229000,23837188000,25189381000,451094000,451094000,132684000,132684000,583778000,16166904000,2010487000,934642000,1075845000,18177391000,18761169000,103000,3089443000,3339588000,6428212000,6428212000,25189381000,84092000,208965000,46701000,-105468000,234290000,-549684000,-549684000,-344654000,-24200000,-90179999.9999995,-405574000,-405574000,-405574000,447913000,16166904000,-187802000,0.50323,0.169,0.01248,0.00319,-2.34027,2.31628,2.91857,0.64181,0.70419,0.70247,4.16667,56.4075,-1.64799,0.004,-0.00763,33.12899,62.10098
"41","2021_Q3",39.62140625,"Down",491877000,-244504000,-26687000,-217817000,247373000,-132811000,-126111000,-6700000,114562000,114562000,-21140000,93422000,93422000,93422000,85587000,1210054000,1210054000,22706000,22706000,1232760000,21531315000,25306684000,-3775369000,2991445000,2991445000,24522760000,25755520000,532440000,532440000,136114000,136114000,668554000,16540258000,2044993000,954989000,1090004000,18585251000,19253805000,103000,3095849000,3406912000,6501715000,6501715000,25755520000,93422000,217817000,49952000,7184000,368375000,-749386000,-851689000,409191000,-27028000,363881000,-119433000,-119433000,-119433000,465190000,16540258000,-255872000,0.50292,0.174,0.01316,0.00332,-2.98961,1.84392,2.96134,0.6422,0.75104,0.7492,4.31629,57.0525,-2.24531,0.00414,-0.0102,32.95472,61.97202
"42","2021_Q4",42.34390625,"Up",524509000,-256042000,-31082000,-224960000,268467000,-121351000,-114659000,-6692000,147116000,134545000,-27208000,107337000,107337000,107337000,100006000,1873844000,1873844000,19824000,19824000,1893668000,22110697000,26111027000,-4000330000,3010196000,3010196000,25120893000,27014561000,542531000,542531000,138716000,138716000,681247000,17616880000,2132651000,980775000,1151876000,19749531000,20430778000,103000,3096760000,3488655000,6583783000,6583783000,27014561000,107337000,224960000,56606000,-62180000,326723000,-672947000,-749003000,1413224000,8445000,1083188000,660908000,660908000,660908000,493427000,17616880000,-214492000,0.51184,0.19067,0.01519,0.0037,-2.14479,2.77971,3.1032,0.65213,0.8763,0.87432,4.59602,57.68958,-1.87949,0.00521,-0.00815,31.9055,58.64049
"43","2022_Q1",41.1079032258065,"Down",597176000,-271416000,-40596000,-230820000,325760000,-585831000,-604631000,18800000,-260071000,-324636000,172169000,-152467000,-152467000,-152467000,-104984000,1086500000,1086500000,21792000,21792000,1108292000,22899004000,27101808000,-4202804000,2961426000,2961426000,25860430000,26968722000,611757000,611757000,138816000,138816000,750573000,17022480000,2187101000,1013270000,1173831000,19209581000,19960154000,106000,3400385000,3609885000,7008568000,7008568000,26968722000,151781000,230820000,21761000,43086000,447448000,-893109000,-944404000,-250552000,-10141000,-288420000,-785376000,-785376000,-785376000,538849342.882981,17022480000,-194350488.901352,0.537801279643304,-0.404700713089683,-0.0390449090998751,-0.00921654227158711,0.491561205430817,1.47659,2.84796,0.63119,-2.16901787985137,-2.16223287429261,4.98660906093112,56.7269591541816,-1.67785244785963,-0.00813631514206558,-0.00735985957792268,29.6642724840335,52.069188316565
"44","2022_Q2",37.3759677419355,"Down",596661000,-268070000,-32762000,-235308000,328591000,-127952000,-130475000,2523000,200639000,-601713000,132720000,-468993000,-468993000,-468993000,-479418000,1490765000,1490765000,21291000,21291000,1512056000,22284312000,26552246000,-4267934000,3078481000,3078481000,25362793000,26874849000,544280000,544280000,135642000,135642000,679922000,17824725000,2000617000,880383000,1120234000,19825342000,20505264000,106000,3260218000,3109331000,6369585000,6369585000,26874849000,-468993000,235308000,626069000,-137690000,254694000,-620569000,-620569000,914495000,-26124000,769639000,403764000,403764000,403764000,563899000,17824725000,-327080000,0.55072,-0.8035,-0.07527,-0.01784,0.682239999999999,2.22387,3.21925,0.66325,-4.20589,-4.19319,5.23446,55.87892,-2.86945,-0.0175,-0.01249,28.96611,49.70909
"45","2022_Q3",35.4553125,"Down",557697000,-273798000,-38515000,-235283000,283899000,-138967000,-132409000,-6558000,144932000,144932000,-28655000,116277000,116277000,116277000,105852000,1012779000,1012779000,21069000,21069000,1033848000,23467742000,27969301000,-4501559000,3144867000,3144867000,26612609000,27646457000,628526000,628526000,147127000,147127000,775653000,18336075000,2095095000,908653000,1186442000,20431170000,21206823000,106000,3245391000,3194672000,6439634000,6439634000,27646457000,116277000,235283000,53567000,29018000,434145000,-1293218000,-1399873000,583196000,-22185000,487520000,-478208000,-478208000,-478208000,519182000,18336075000,-716363000,0.50906,0.1898,0.01644,0.00383,-6.76759,1.33287,3.29317,0.66323,0.95476,0.95325,5.03028,58.08282,-6.4614,0.00473,-0.02666,33.36652,61.01922
