"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",57.8344444444444,"Up",607564000,-462746000,144818000,-68800000,-65398000,76018000,-849000,-849000,75169000,73190000,-26861000,46329000,46329000,46664000,46664000,69767000,69767000,426372000,426372000,91316000,51126000,587455000,121799000,587083000,104809000,393480000,51693000,708882000,1296337000,212644000,9166000,203478000,76228000,64665000,11563000,289112000,94561000,26497000,36422000,22731000,8911000,244853000,533965000,466656000,338460000,-45851000,759265000,762372000,1296337000,46329000,17964000,8801000,-1954000,71140000,-7768000,43000,-7340000,-2920000,-15067000,-28767000,-28767000,-10400000,-57154000,6646000,6646000,-3078000,3568000,93982000,150532000,111121000,0.23836,0.12512,0.07681,0.06121,0.036,2.3813,2.03193,0.7004,0.11612,0.7095,0.70682,9.23771,11.54425,1.68954,0.0444,0.04922,0.1103,0.06258,0.85937,1.06245
"30","2017_Q3",57.168253968254,"Down",622047000,-469730000,152317000,-71982000,-68596000,80335000,-744000,-744000,79591000,80008000,-26911000,53097000,53097000,52515000,52515000,94862000,94862000,432255000,432255000,90844000,50442000,617961000,112882000,585643000,101645000,395011000,52632000,698525000,1316486000,223043000,11870000,211173000,75115000,63533000,11582000,298375000,79142000,26950000,32902000,10550000,8740000,194701000,493076000,472075000,387881000,-40235000,819721000,823410000,1316486000,53097000,18791000,-7733000,1553000,65708000,-5207000,175000,-5032000,-2917000,-34761000,-91000,-91000,-12000,-37781000,22895000,22895000,2200000,25095000,99126000,115776000,122383000,0.24486,0.12915,0.08442,0.06378,0.03989,2.33044,2.07109,0.59882,0.08794,0.80116,0.79632,9.4898,12.50547,1.86705,0.0445,0.05443,0.12018,0.05555,0.21098,0.26033
"31","2017_Q4",62.8452380952381,"Up",600447000,-448258000,152189000,-71028000,-68308000,81161000,-458000,-458000,80703000,82659000,-24871000,57788000,57788000,56918000,56918000,104378000,104378000,376972000,376972000,108189000,52902000,589539000,106622000,587334000,99487000,397386000,54543000,693956000,1283495000,205231000,7713000,197518000,80039000,67498000,12541000,285450000,92414000,28668000,29893000,24731000,9122000,107954000,393404000,478120000,441795000,-34303000,885612000,890091000,1283495000,57788000,16169000,15451000,25841000,115249000,-6113000,267000,-5196000,-2917000,-100074000,370000,0,-80000,-102701000,7352000,7352000,2164000,9516000,97330000,15720000,141929000,0.25346,0.13517,0.09479,0.06395,0.04435,2.49357,2.0653,0.44198,0.01225,0.86804,0.86132,9.1572,13.50615,2.16451,0.04449,0.05994,0.14218,0.05125,-0.9109,-1.09237
"32","2018_Q1",63.4880327868852,"Up",620903000,-458322000,162581000,-84991000,-82291000,77590000,-111000,-111000,77479000,78378000,-23410000,54968000,54968000,53329000,53329000,166252000,166252000,394338000,394338000,96652000,55649000,657242000,101651000,591769000,98769000,402976000,55585000,693420000,1350662000,232453000,4703000,227750000,83813000,71722000,12091000,316266000,88628000,30707000,28182000,20106000,9633000,88628000,404894000,475592000,492112000,-27619000,940085000,945768000,1350662000,54968000,15053000,8984000,6098000,85103000,-5066000,90000.0000000001,-7653000,-2920000,-15079000,549000,-5000,-343000.000000001,-17793000,59657000,59657000,2217000,61874000,92643000,-1.49011611938477e-08,117085000,0.26185,0.12496,0.08589,0.05639,0.03948,2.19552,2.07813,0.42811,0,0.81247,0.80544,9.45951,14.32227,1.7838,0.04449,0.05438,0.11319,0.05475,-1.79454,-2.1427
"33","2018_Q2",60.570625,"Down",623148000,-471188000,151960000,-72277000,-69559000,79683000,-168000,-168000,79515000,79802000,-19850000,59952000,59952000,59091000,59091000,196905000,196905000,438995000,438995000,82949000,49919000,718849000,95931000,586750000,96138000,403261000,55043000,682681000,1401530000,203506000,2794000,200712000,75750000,63185000,12565000,279256000,102572000,34162000,24264000,25914000,18232000,114622000,393878000,481261000,547151000,-27304000,1001108000,1007652000,1401530000,59952000,16437000,16644000,-55165000,37868000,-6514000,45000,-6469000,-2930000,11527000,-1038000,-1038000,-8529000,-970000,30429000,30429000,224000,30653000,96120000,12050000,54291000,0.24386,0.12787,0.09483,0.05864,0.04216,0.91877,2.57416,0.39089,0.0086,0.89714,0.89292,9.46084,15.19916,0.82426,0.04448,0.05526,0.04838,0.04958,-1.92317,-2.31988
"34","2018_Q3",60.7098412698413,"Up",612787000,-463984000,148803000,-75162000,-72559000,73641000,-157000,-157000,73484000,72556000,-17450000,55106000,55106000,55492000,55492000,253227000,253227000,415008000,415008000,90797000,47918000,759032000,90741000,580727000,94109000,405082000,51310000,671468000,1430500000,213074000,11652000,201422000,66277000,52743000,13534000,279351000,84821000,30904000,23802000,10997000,19118000,84821000,364172000,487385000,599630000,-24435000,1062580000,1066328000,1430500000,55106000,15958000,-19229000,26866000,78701000,-6661000,138000.000000001,-6680000,-2935000,-11596000,-3.72529029846191e-09,0,-2130000,-16661000,55360000,55360000,962000,56322000,89599000,0,127254000,0.24283,0.12017,0.09056,0.05204,0.03879,2.2932,2.71713,0.34152,0,0.84263,0.83739,9.30495,16.1349,1.93231,0.04457,0.05076,0.11055,0.05289,-2.82623,-3.43867
"35","2018_Q4",61.6820634920635,"Up",597855000,-443171000,154684000,-72113000,-69588000,82571000,-85000,-85000,82486000,84735000,-24493000,60242000,60242000,59861000,59861000,249187000,229021000,398751000,398751000,91338000,49703000,739276000,84944000,576839000,90693000,400904000,55361000,661783000,1401059000,182130000,3595000,178535000,61916000,50739000,11177000,244046000,101266000,32354000,22601000,29090000,17221000,101266000,345312000,491852000,594901000,-34894000,1051859000,1055747000,1401059000,60242000,15353000,27484000,-30588000,72491000,-8377000,-19904000,-28281000,-2936000,-34000,-60949000,-60949000,-1928000,-65847000,-21637000,-21637000,-2569000,-24206000,97924000,0,83452000,0.25873,0.13811,0.10013,0.0567,0.04273,1.3941,3.02925,0.32708,-1.73472347597681e-18,0.9121,0.90802,9.10948,16.02711,1.27155,0.04474,0.05428,0.07213,0.04905,-2.5447,-3.01785
"36","2019_Q1",65.9567213114754,"Up",558446000,-419508000,138938000,-75997000,-73535000,62941000,-590000,-590000,62351000,62116000,-16600000,45516000,45516000,46307000,46307000,369509000,349245000,357613000,357613000,81510000,43995000,808632000,77544000,575824000,88035000,399882000,58644000,653368000,1.462e+09,214371000,4438000,209933000,63078000,51182000,11896000,277449000,98132000,33497000,20394000,26377000,17864000,98132000,375581000,487539000,633281000,-36953000,1083867000,1086419000,1.462e+09,45516000,14444000,6979999.99999999,60774000,127714000,-4968000,1161000,-3807000,-2891000,-34000,-4931999.99999999,-4931999.99999999,-544999.999999999,-8401999.99999999,115505000,115505000,-1442000,114063000,77385000,-7.45058059692383e-09,149791000,0.24879,0.11271,0.08292,0.04262,0.03167,3.23474,2.91452,0.34571,0,0.71625,0.70851,8.63772,16.76463,2.31688,0.04472,0.04153,0.12645,0.06243,-4.77494,-5.87072
"37","2019_Q2",68.5004761904762,"Up",664619000,-505354000,159265000,-85129000,-79671000,74136000,-625000,-625000,73511000,75556000,-19833000,55723000,55723000,55913000,55913000,54736000.0000001,54736000.0000001,486922000,486922000,181366000,49915000,723024000,81352000,864926000,204553000,585735000,51656000,946278000,1669302000,252397000,2302000,250095000,54705000,37231000,17474000,312226000,119376000,31769000,22275000,49617000,15715000,239697000,551923000,492938000,664332000,-42673000,1114597000,1117379000,1669302000,55723000,16689000,41680000,-54752000,59340000,-9973000,20043000,-411739000,-16033000,125067000,-40984000,-40984000,-9048000,59002000,-293397000,-293397000,-1068000,-294465000,90825000,125445000,45933000,0.23963,0.11155,0.08413,0.05004,0.03349,0.82151,2.31571,0.49394,0.07515,0.8625,0.8605,10.25219,17.19341,0.70855,0.24732,0.05282,0.03372,0.28675,0.77852,0.953770000000001
"38","2019_Q3",71.9134375,"Up",736520000,-567098000,169422000,-87621000,-78102000,81801000,-1569000,-1569000,80232000,80679000,-18913000,61766000,61766000,61924000,61924000,46799000,46799000,491560000,491560000,201651000,49668000,740010000,76693000,871013000,195354000,587751000,62467000,947706000,1687716000,259956000,3159000,256797000,57124000,39215000,17909000,320761000,124079000,32622000,24910000,51060000,15487000,199374000,520135000,498269000,705824000,-39136000,1164957000,1167581000,1687716000,61766000,20695000,-4823000.00000001,-9766999.99999999,67871000,-8568000,237000,-8331000,-15950000,-46558000,-5084000,-5084000,0,-67592000,-8052000,-8052000,436000,-7616000,102496000,78976000,103074000,0.23003,0.11106,0.08408,0.05304,0.03669,1.66452,2.30704,0.44548,0.04679,0.96196,0.95773,11.44144,18.09698,1.6012,0.24777,0.05682,0.0752,0.25757,0.31393,0.39336
"39","2019_Q4",71.4175,"Down",730710000,-556463000,174247000,-90653000,-81604000,83594000,-420000,-420000,83174000,83730000,-20765000,62965000,62965000,62898000,62898000,71084000,71084000,525882000,525882000,142412000,47617000,739378000,84694000,866834000,185965000,583703000,65788000,951528000,1690906000,291650000,5109000,286541000,61401000,40951000,20450000,356699000,119040000,34689000,26435000,44769000,13147000,119308000,476007000,503184000,752370000,-41110000,1214444000,1214899000,1690906000,62965000,21230000,35834000,16471000,136500000,-20492000,96000,-20636000,-15953000,-75058000,0,0,0,-91011000,24853000,24853000,-362000,24491000,104824000,3916000,121568000,0.23846,0.1144,0.08608,0.05177,0.0372,1.93278,2.07283,0.39181,0.00232,0.97665,0.97116,11.34608,18.85724,1.88764,0.24771,0.05894,0.09087,0.25363,-0.64077,-0.8035
"40","2020_Q1",64.7774193548387,"Down",754966000,-586716000,168250000,-90674000,-81646000,77576000,2827000,-343000,80403000,77355000,-17314000,60041000,60041000,60089000,60089000,105565000,105565000,476690000,476690000,207170000,62481000,789425000,99589000,856718000,179250000,584469000,60444000,956307000,1745732000,298527000,13952000,284575000,56053000,43344000,12709000,364238000,133062000,34079000,32341000,46560000,20082000,133293000,497531000,498433000,794739000,-45380000,1247792000,1248201000,1745732000,60041000,26844000,-39256000,45387000,93016000,-27813000,72999.9999999995,-43177000,-15951000,6071000,-1378000,-1378000,0,-11258000,38581000,38581000,-1058000,37523000,104420000,9889000,139308000,0.22286,0.10275,0.07959,0.04814,0.03442,2.31836,2.16733,0.3986,0.00566,0.9332,0.92616,11.7249,19.37866,2.1635,0.24772,0.05466,0.10014,0.26546,-0.91626,-1.23332
"41","2020_Q2",64.4190476190476,"Down",818229000,-642779000,175450000,-96315000,-87227000,79135000,235000,-484000,79370000,79370000,-20636000,58734000,58734000,58734000,58734000,149515000,149515000,511670000,511670000,182723000,53254000,843908000,92377000,1053506000,171077000,586659000,262643000,1145883000,1989791000,284533000,5563000,278970000,141166000,42756000,98410000,432708000,258078000,37298000,32105000,47344000,141331000,258078000,690786000,504184000,833308000,-38487000,1299005000,1299005000,1989791000,58734000,24406000,5819000,-1692000,87267000,-10487000,25000,-10462000,-17913000,-2882000,-1898000,-1898000,-11107000,-33800000,43005000,43005000,1452000,44457000,103541000,7009000,111998000,0.21443,0.09671,0.07178,0.04521,0.02952,1.90687,1.95029,0.53178,0.00352,0.90924,0.90698,12.66667,20.10937,1.7338,0.2773,0.049,0.07161,0.30499,-1.37632,-1.8008
"42","2020_Q3",70.7521875,"Up",818135000,-665037000,153098000,-115787000,-106853000,37311000,108000,-465000,37419000,37419000,-9769000,27650000,27650000,27650000,27650000,126257000,126257000,529928000,529928000,207268000,53257000,863453000,80843000,1016110000,161091000,585772000,235315000,1096953000,1960406000,291145000,758000,290387000,137835000,46206000,91629000,438332000,233451000,30431000,34142000,49421000,119457000,383606000,821938000,511023000,677561000,-50116000,1138468000,1138468000,1960406000,27650000,24834000,9019000.00000001,-39498000,22005000,-8635000,73000.0000000001,-11113000,-17900000,153341000,-165061000,-165061000,-158999.999999998,-29779000,-18887000,-18887000,-3320000,-22207000,62145000,159507000,23781000,0.18713,0.0456,0.0338,0.02429,0.0141,0.86007,1.96986,0.72197,0.08136,0.4325,0.43113,12.79716,17.80776,0.37198,0.27999,0.02974,0.01553,0.64738,0.53504,0.89116
"43","2020_Q4",68.48,"Down",901337000,-715734000,185603000,-98294000,-89582000,87309000,-1287000,-616000,86022000,86022000,-21558000,64464000,64464000,64464000,64464000,81548000,81548000,626471000,626471000,271493000,59942000,979512000,73319000,1010155000,151115000,586757000,233386000,1083474000,2062986000,352952000,4725000,348227000,142592000,48743000,93849000,502544000,220334000,34302000,30090000,44532000,111410000,365495000,868039000,517200000,724431000,-46684000,1194947000,1194947000,2062986000,64464000,24990000,-4196000,-98447000,-13189000,-9314000,287000,-5837000,-17175000,-7942000,0,0,-305000,-25422000,-44448000,-44448000,1694000,-42754000,112299000,152161000,26096000,0.20592,0.09687,0.07152,0.05395,0.03125,0.40482,1.94911,0.72642,0.07376,1.04208,1.03797,14.57036,19.31665,0.42185,0.27764,0.05208,0.01665,0.26643,0.62879,0.80877
"44","2021_Q1",79.2295081967213,"Up",923836000,-726985000,196851000,-112328000,-103428000,84523000,-272000,-494000,84251000,84251000,-20590000,63661000,63661000,63661000,63661000,71737000,71737000,786203000,786203000,74618000,72543000,932558000,66721000,1025423000,145893000,593129000,284486000,1092144000,2024702000,395816000,5377000,390439000,154474000,51655000,22071000,561168000,203698000,38654000,27311000,24737000,112996000,221715000,782883000,513959000,770498000,-42638000,1241819000,1241819000,2024702000,63661000,25931000,-7797000,66714000,148509000,-12271000,0,-16726000,-17167000,-123914000,0,1.49011611938477e-08,-7999.99999999907,-141089000,-9306000,-9306000,1879000,-7427000,110454000,28895000,185487000,0.21308,0.09149,0.06891,0.05126,0.03144,2.91367,1.66182,0.63043,0.01427,1.02913,1.02201,14.93454,20.07499,2.99855,0.27752,0.05482,0.1258,0.26966,-0.38787,-0.50687
"45","2021_Q2",89.0536507936508,"Up",945554000,-739499000,206055000,-118483000,-111967000,87572000,-981000,-206000,86591000,86591000,-22514000,64077000,64077000,64077000,64077000,132597000,132597000,662059000,662059000,192171000,68935000,986827000,62548000,1016858000,140484000,595927000,239791000,1079406000,2066233000,382166000,22685000,359481000,151075000,58307000,92768000,547400000,202041000,45304000,27428000,24417000,104892000,220522000,767922000,520357000,813669000,-35715000,1298311000,1298311000,2066233000,64077000,18333000,7360000,8345000,98115000,-9094000,-159000,-9253000,-17207000,1664000,-3363000,-3363000,-12581000,-31487000,57375000,57375000,3882000,61257000,105905000,32640000,127670000,0.21792,0.09261,0.06777,0.04935,0.03101,1.99245,1.80275,0.59148,0.0158,1.03287,1.03125,15.24153,20.92767,2.05793,0.27736,0.05302,0.08328,0.26854,-0.94384,-1.14143
"46","2021_Q3",83.54046875,"Down",959280000,-728622000,230658000,-117472000,-112402000,113186000,-1276000,-756000,111910000,111910000,-31296000,80614000,80614000,80614000,80614000,101683000,101683000,582474000,582474000,247980000,68357000,932137000,62087000,1447171000,240463000,899796000,306690000,1509258000,2441395000,410959000,8051000,402908000,166214000,61475000,104739000,593724000,227165000,44076000,32926000,31044000,119119000,477766000,1071490000,528205000,876645000,-34945000,1369905000,1369905000,2441395000,80614000,16088000,14070000,70811000,181583000,-14490000,159000,-428271000,-17207000,234660000,0,9.31322574615479e-10,1000,217454000,-29234000,-29234000,-619000,-29853000,129274000,267152000,216891000,0.24045,0.11799,0.08404,0.05885,0.03302,2.69049,1.56998,0.78216,0.10943,1.3001,1.29419,15.47076,22.0931,3.4979,0.27751,0.05247,0.11634,0.21345,1.27999,1.46192
"47","2021_Q4",79.97109375,"Down",1243520000,-951664000,291856000,-152261000,-140129000,139595000,-11376000,-3087000,128219000,128219000,-33724000,94495000,94495000,94495000,94495000,96110000,96110000,794653000,794653000,416599000,81479000,1307362000,67794000,2995437000,892487000,1757795000,344649000,3063231000,4370593000,621832000,19763000,602069000,178186000,68846000,109340000,860604000,423407000,44076000,36051000,204174000,139106000,2056542000,2917146000,535990000,953488000,-36031000,1453447000,1453447000,4370593000,94495000,22961000,11534000,-162029000,-33039000,-8549000,1260997.06653811,-1374082000,-17211000,1418037000,0,0,-1000,1400825000,-6296000,-6296000,-433000,-6729000,162556000,1693721000,25702000,0.2347,0.11226,0.07599,0.06501,0.02162,0.27199,1.51912,2.00705,0.38753,1.52357,1.51892,20.04966,23.43438,0.4144,0.2775,0.03129,0.0072,0.18214,9.82807,11.44461
"48","2022_Q1",75.1404838709677,"Down",1106131000,-887725000,218406000,-150229000,-129590000,68177000,-11216000,-10695000,56961000,56961000,-4947000,52014000,52014000,52014000,52014000,135061000,135061000,834819000,834819000,109614000,104201000,1079494000,62627000,2976844000,879168000,1774406000,322280000,3039471000,4118965000,499156000,6782000,492374000,209722000,98588000,111134000,789433000,420066000,49541390.098427,35932000,242043000,142091000,1849203000,2638636000,532411000,987826000,-39908000,1480329000,1480329000,4118965000,52014000,33336000,-1613000,186926000,270663000,-4432000,3495991.19961434,-23874000,-17213000,-160715000,-5.82076609134674e-11,0,-23171000,-201099000,45690000,45690000,-2356000,43334000,101513000,1509692000,288954000,0.19745,0.06164,0.04702,0.03514,0.01263,5.55531,1.36743,1.78247,0.36652,0.83807,0.83285,17.82243,23.85165,4.65574,0.27734,0.0203,0.08474,0.33093,13.54143,20.16268
"49","2022_Q2",66.6524193548387,"Down",1150876000,-922721000,228155000,-146626000,-124221000,81529000,-9949000,-9638000,71580000,71580000,-18250000,53330000,53330000,53330000,53330000,181790000,181790000,849410000,849410000,117129000,114303000,1148329000,53627000,2979912000,871761000,1776239000,330167000,3033539000,4181868000,407077000,14897000,392180000,225012000,111578000,43089000,710792000,427561000,53013000,29072000,196144000,149332000,1942650000,2653442000,543032000,1022158000,-36764000,1528426000,1528426000,4181868000,53330000,33770000,8668000,-98687000,-2919000,-6327000,7212982.39922868,-6327000,-17347000,83315000,-1379000,-1379000,-9673000,54916000,45670000,45670000,372000,46042000,115299000,1593792000,28535000,0.19824,0.07084,0.04634,0.03489,0.01275,0.53506,1.61556,1.73606,0.38112,0.85927,0.85392,18.54337,24.62661,0.45977,0.2795,0.01991,0.00804,0.32528,12.24644,17.31902
"50","2022_Q3",61.721875,"Down",1177326000,-948875000,228451000,-153163000,-130307000,75288000,-8723000,-9438000,66565000,66565000,-16469000,50096000,50096000,50096000,50096000,92638000,92638000,885685000,885685000,112177000,97420000,1090500000,57945000,2959251000,851564000,1780370000,324682000,3017196000,4107696000,449307000,3883000,445424000,244048000,122070000,51247000,753266000,412828000,44923000,30429000,198848000,138628000,1800214000,2553480000,550228000,1030086000,-26098000,1554216000,1554216000,4107696000,50096000,32690000,4363000,27629000,114778000,-16571000,12760970.6653811,-16575000,-17312000,-147023000,-24464000,-24464000,0,-188799000,-90596000,-90596000,-48000,-90644000,107978000,1447297000,135505000,0.19404,0.06395,0.04255,0.03223,0.0122,2.70491,1.4477,1.64294,0.35234,0.8046,0.80224,18.90922,24.96251,2.17637,0.27805,0.01974,0.03969,0.34558,12.54569,17.99303
