"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",13.4850793650794,"Down",26592000,-17423000,-509000,-11808000,-5106000,9169000,-6492000,-6531000,39000,2677000,0,2677000,2677000,2677000,2677000,-2847000,-170000,2470000,2470000,4041000,4041000,6511000,742653000,913477000,-170824000,155011000,109343000,45668000,897664000,904175000,2697000,2697000,8478000,8478000,11175000,542084000,18194000,18194000,560278000,571453000,85600000,544925000,-297803000,332722000,332722000,904175000,2677000,11808000,-476000,787000,14796000,-8459000,-799000,-9258000,-13635000,-751000,6725000,6725000,-92000,-7753000,-2215000,-2215000,-2215000,20977000,542084000,0.3448,-0.00639,-0.00051,-0.00019,0.58264,1.71751,0.59953,-0.00592,-0.00592,0.92544,8.60022,0.47452,0.01508,-80.20588,25.72408,58.852
"34","2019_Q1",14.8067213114754,"Up",27260000,-18770000,-604000,-12454000,-5712000,8490000,-6896000,-6901000,5000,1594000,919000,2513000,2513000,2513000,2513000,-2844000,-331000,6591000,6591000,6642000,6642000,13233000,768392000,946649000,-178257000,157150000,111448000,45702000,925542000,938775000,2704000,2704000,9815000,9815000,12519000,566059000,20180000,20180000,586239000,598758000,85600000,560007000,-310265000,335342000,340017000,938775000,2517000,12454000,1849000,-2012000,14808000,-17491000,-2132000,-19623000,-13950000,35174000,-12470000,-12504000,68000,8822000,4007000,4007000,4007000,20944000,566059000,0.31145,-0.01214,-0.00097,-0.00035,1.05703,1.76096,0.60298,-0.01137,-0.01137,0.93643,8.5791,0.47921,0.0147,-42.14502,26.71257,65.89729
"35","2019_Q2",15.8728571428571,"Up",28137000,-19266000,-657000,-13010000,-5599000,8871000,-7195000,-7276000,81000,1676000,2952000,4628000,4628000,4628000,4628000,-2836000,1792000,4314000,4314000,2703000,2703000,7017000,767871000,953978000,-186107000,160132000,108047000,52085000,928003000,935020000,2641000,2641000,15412000,15412000,18053000,552400000,20678000,20678000,573078000,591131000,85600000,573899000,-320272000,339227000,343889000,935020000,4673000,13010000,-3410000,-1673000,12600000,3000,-317000,-314000,-14192000,-14031000,14292000,14292000,-420000,-14351000,-2065000,-2065000,-2065000,21881000,552400000,0.31528,0.06369,0.00521,0.00192,0.38869,1.71896,0.59079,0.06071,0.06071,0.95325,8.59261,0.48081,0.01743,7.91964,25.04849,61.78402
"36","2019_Q3",16.84140625,"Up",28197000,-19058000,-782000,-12622000,-5654000,9139000,-6918000,-6989000,71000,2221000,-4.65661287307739e-10,2221000,2221000,2221000,2221000,-2838000,-617000,7590000,7590000,2762000,2762000,10352000,794834000,989036000,-194202000,164601000,111074000,53527000,959435000,969787000,4129000,4129000,16955000,16955000,21084000,576770000,22250000,22250000,599020000,620104000,85600000,592738000,-333320000,345018000,349683000,969787000,2205000,12622000,-322000,1845000,16350000,-40242000,-1385000,-41627000,-14559000,24116000,19454000,19454000,-399000,28612000,3335000,3335000,3335000,21761000,576770000,0.32411,-0.02188,-0.00176,-0.00064,0.49099,1.77333,0.59474,-0.02026,-0.02026,0.92586,8.51811,0.47805,0.0147,-23.59643,26.15597,62.28034
"37","2019_Q4",17.53875,"Up",28667000,-19446000,-596000,-12979000,-5871000,9221000,-7015000,-7154000,139000,2206000,0,2206000,2206000,2206000,2206000,-2838000,-632000,6175000,6175000,2778000,2778000,8953000,805958000,1008438000,-202480000,163101000,110197000,52904000,969059000,978012000,2658000,2658000,17806000,17806000,20464000,590823000,22874000,22874000,613697000,634161000,85600000,599988000,-346219000,339369000,343851000,978012000,2190000,12979000,-1178000,125000,14116000,-20715000,-983000,-21698000,-14759000,14819000,7485000,7485000,-1362000,6183000,-1399000,-1399000,-1399000,22200000,590823000,0.32166,-0.02205,-0.00184,-0.00065,0.4375,1.84429,0.60411,-0.02036,-0.02036,0.92342,8.17441,0.47542,0.01475,-23.35285,26.3355,63.40397
"38","2020_Q1",14.9529032258065,"Down",29386000,-20648000,-1200000,-13428000,-6020000,8738000,-6352000,-6773000,421000,2386000,-1813000,573000,573000,573000,573000,-5876000,-5303000,6849000,6849000,15855000,15855000,22704000,849455000,1056978000,-207523000,167349000,115465000,51884000,1016804000,1039508000,5573000,5573000,21692000,21692000,27265000,626594000,22459000,22459000,649053000,676318000,152153000,571238000,-363104000,360287000,363190000,1039508000,473000,13428000,4352000,-1125000,17128000,-63041000,-5357000,-68398000,-18808000,36408000,93296000,93296000,-57091000,53805000,2535000,2535000,2535000,22166000,626594000,0.29735,-0.18046,-0.0146,-0.0051,0.83272,1.86216,0.60278,-0.16693,-0.16693,0.92503,6.55178,0.59205,0.01334,-3.54667,27.95926,70.92527
"39","2020_Q2",13.2528571428571,"Down",33619000,-24092000,-878000,-14096000,-9118000,9527000,-7248000,-7243000,-5000,2279000,-12000,2267000,2267000,2267000,2267000,-2886000,-619000,9853000,9853000,4678000,4678000,14531000,907097000,1123644000,-216547000,177197000,122036000,55161000,1084294000,1098825000,7684000,7684000,25448000,25448000,33132000,666194000,23842000,23842000,690036000,723168000,152193000,599267000,-378913000,372547000,375657000,1098825000,2258000,14096000,-737000,4713000,20330000,-65975000,-2770000,-68745000,-16061000,39593000,28296000,28296000,-370000,51458000,3043000,3043000,3043000,23623000,666194000,0.28338,-0.01841,-0.00165,-0.00056,0.43858,1.92508,0.60628,-0.0184,-0.0184,0.99953,6.55134,0.47751,0.01449,-25.94669,27.78398,68.89273
"40","2020_Q3",15.0384375,"Up",33526000,-24131000,-752000,-14182000,-9197000,9395000,-6679000,-6688000,9000,2716000,-1721000,995000,995000,995000,995000,-2891000,-1896000,9563000,9563000,16827000,16827000,26390000,887099000,1106274000,-219175000,172562000,117106000,55456000,1059661000,1086051000,6188000,6188000,26204000,26204000,32392000,666883000,24003000,24003000,690886000,723278000,154140000,599776000,-394035000,359881000,362773000,1086051000,967000,14182000,2392000,-2448000,15093000,0,-1959000,-1959000,-15859000,271000,2488999.99999999,2488999.99999999,-15000.0000000149,-13114000,20000,20000,20000,23577000,666883000,0.28023,-0.05655,-0.00523,-0.00175,0.81471,1.99375,0.61404,-0.05586,-0.05586,0.98781,6.06193,0.46727,0.01325,-8.36445,27.87971,69.96487
"41","2020_Q4",14.8740625,"Down",33142000,-24071000,-776000,-13798000,-9497000,9071000,-6236000,-6441000,205000,2835000,12000,2847000,2847000,2847000,2847000,-2975000,-128000,10370000,10370000,23065000,23065000,33435000,873005000,1094854000,-221849000,169396000,114242000,55154000,1042401000,1075836000,7700000,7700000,26082000,26082000,33782000,660659000,22833000,22833000,683492000,717274000,157751000,604742000,-406693000,355800000,358562000,1075836000,2845000,13798000,-96000,414000,16961000,-1760000,-544000,-2304000,-16171000,-6576000,8839000,8839000,-38000,-13946000,711000,711000,711000,22869000,660659000,0.2737,-0.00386,-0.00036,-0.00012,0.98973,2.00042,0.61409,-0.00376,-0.00376,0.97256,5.81177,0.47454,0.0154,-126.33594,28.43539,71.68879
"42","2021_Q1",16.2752459016393,"Up",32865000,-23940000,-853000,-13348000,-9739000,8925000,-6292000,-6478000,186000,2633000,6196000,8829000,8829000,8829000,8829000,-3037000,5792000,11016000,11016000,13558000,13558000,24574000,900215000,1128683000,-228468000,173119000,117379000,55740000,1073334000,1097908000,4459000,4459000,25715000,25715000,30174000,668692000,23719000,23719000,692411000,722585000,159286000,626569000,-413386000,372469000,375323000,1097908000,8915000,13348000,-6170000,-2983000,13110000,-24362000,-2888000,-27250000,-16654000,7828000,23985000,23985000,-205000,14954000,814000,814000,814000,22273000,668692000,0.27157,0.17624,0.01543,0.00528,0.81441,1.92524,0.60906,0.16784,0.16784,0.95238,6.17773,0.48261,0.02102,2.87535000000003,29.52795,73.68919
"43","2021_Q2",18.7385714285714,"Up",34677000,-26904000,-656000,-16710000,-9538000,7773000,-6812000,-7123000,311000,961000,-882000,79000,79000,79000,79000,-3034000,-2955000,9871000,9871000,12670000,12670000,22541000,903609000,1143960000,-240351000,162193000,115112437.106108,48136000,1065802000,1088343000,5448000,5448000,24064000,24064000,29512000,663143000,23239000,23239000,686382000,715894000,159286000,639090000,-427343000,371033000,372449000,1088343000,38000,16710000,-65000,196000,16879000,-5740000,-786000,-6526000,-16802000,-5897000,11465000,11465000,-590000,-11824000,-1471000,-1471000,-1471000,24483000,663143000,0.22415,-0.08521,-0.00793,-0.00272,0.76379,1.92213,0.60931,-0.08274,-0.08274,0.97096,5.92895,0.47046,0.01308,-5.68596,26.68268,84.04374
"44","2021_Q3",19.98203125,"Up",33370000,-25001000,-1073000,-14191000,-9737000,8369000,-6304000,-6527000,223000,2065000,16000,2081000,2081000,2081000,2144000,-5174000,-3030000,14632000,14632000,4607000,4607000,19239000,902505000,1152302000,-249797000,167480000,111084000,56396000,1069985000,1089224000,7957000,7957000,23693000,23693000,31650000,660059000,22513000,22513000,682572000,714222000,170278000,648149000,-444763000,373664000,375002000,1089224000,2122000,14191000,-270000,1477000,17520000,-8195000,-2406000,-10601000,-20449000,-3408000,109341000,109341000,-87769000,-2285000,4634000,4634000,4634000,22560000,660059000,0.25079,-0.0908,-0.00808,-0.00278,0.60787,1.90458,0.60599,-0.08484,-0.08484,0.93436,5.69484,0.57257,0.01647,-6.74883999999998,28.60935,77.12116
"45","2021_Q4",20.57828125,"Up",34334000,-25498000,-811000,-14760000,-9927000,8836000,-4338000,-6688000,2350000,4498000,881694.593819194,4498000,4498000,4498000,4477000,-3038000,1439000,10230000,10230000,8977000,8977000,19207000,915498000,1172548000,-257050000,170089000,111782000,58307000,1085587000,1104794000,8e+06,8e+06,25326000,25326000,33326000,674052000,25610000,25610000,699662000,732988000,170264000,656828000,-456569000,370523000,371806000,1104794000,4497000,14760000,-158000,195000,19294000,-26838000,-1991000,-28829000,-13142000,13669000,9186000,9186000,-4215000,5498000,-4037000,-4037000,-4037000,23596000,674052000,0.25735,0.04191,0.00387,0.0013,0.57634,1.97143,0.61012,0.03914,0.03914,0.93378,5.44644,0.35742,0.01361,9.13273,28.13282,75.12698
"46","2022_Q1",20.6924193548387,"Up",35307000,-25413000,-678000,-14650000,-10085000,9894000,-6513000,-6509000,-4000,3381000,-266000,3115000,3115000,3115000,3073000,-3081000,-7999.99999999953,7956000,7956000,5222000,5222000,13178000,958586000,1225258000,-266672000,171588000,114494000,57094000,1130174000,1143352000,6736000,6736000,56267000,56267000,63003000,707526000,28574444.9758701,28574444.9758701,707526000,770529000,170261000,671172000,-469869000,371564000,372823000,1143352000,3076000,14650000,144000,-1437000,16433000,-50540000,1719000,-48821000,-21778000,33316000,14685000,14685000,4141000,30364000,-2024000,-2024000,-2024000,24544000,707526000,0.28023,-0.000230000000000001,-2.00000000000018e-05,-1.00000000000005e-05,0.20916,2.06674,0.61882,-0.000219999999999998,-0.000219999999999998,0.96024,5.47484,0.5923,0.02015,-2722.25,28.50269,70.70649
"47","2022_Q2",19.0553225806452,"Down",35531000,-25658000,-997000,-14689000,-9972000,9873000,-6484000,-6588000,104000,3389000,-1241397.2969096,3389000,3389000,3389000,3389000,-3062000,322000,9585000,9585000,14895000,14895000,24480000,964316000,1240928000,-276612000,165613000,112655000,52958000,1129929000,1154409000,5363000,5363000,25745000,25745000,31108000,705383000,33087000,33087000,738470000,769578000,170261000,692834000,-479572000,383523000,384831000,1154409000,3391000,14689000,-206000,-687000,17187000,-13463000,-4108000,-17571000,-17760000,-2460000,22166000,22166000,-80000,1866000,1482000,1482000,1482000,24562000,705383000,0.27787,0.00906,0.00084,0.00028,0.78694,1.99978,0.61103,0.00876,0.00876,0.96634,5.80008,0.48302,0.0161,55.15528,28.32823,70.47483
"48","2022_Q3",18.20984375,"Down",36399000,-26450000,-958000,-15218000,-10274000,9949000,-6999000,-7118000,119000,2950000,-1374000,1576000,1576000,1576000,1584000,-3081000,-1497000,10741000,10741000,22866000,22866000,33607000,981091000,1260422000,-279331000,178691000,111703000,66988000,1159782000,1193389000,8836000,8836000,23675000,23675000,32511000,733976000,42746000,42746000,776722000,809233000,170262000,705669000,-493050000,382881000,384156000,1193389000,1574000,15218000,1331000,-702000,17421000,-38456000,-1819000,-40275000,-17947000,28820000,13094000,13094000,-569000,23398000,544000,544000,544000,25167000,733976000,0.27333,-0.04113,-0.0039,-0.00125,1.03371,2.10652,0.61503,-0.03864,-0.03864,0.93943,5.48754,0.4632,0.01417,-11.98864,28.73743,72.69424
