"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",67.282131147541,"Up",244726000,-195776000,48950000,-37006000,-34543000,-2463000,11944000,1522000,1584000,54000,13466000,13466000,-2980000,10486000,10486000,10486000,10486000,60509000,59835000,136664000,136664000,111062000,5724000,308235000,24909000,348142000,47820000,294488000,374250000,682485000,195829000,5166000,190663000,126205000,126205000,322255000,267225000,267225000,271396000,593651000,12384000,77880000,-1430000,88834000,88834000,682485000,10486000,2463000,5184000,34199000,52332000,-1075000,105000,215108000,214138000,-1827000,-55000,15000,15000,-7000,-1874000,264596000,264596000,264596000,14407000,4392000,50511000,0.20002,0.04881,0.04285,0.11804,0.01536,4.81699,0.95649,6.6827,0.00644,1.43624,1.33105,33.51952,12.16737,6.91837,0.25024,0.03416,0.14013,0.17423,-3.89512,-4.69834
"31","2018_Q2",80.31359375,"Up",223975000,-207713000,16262000,-30432000,-29428000,-1004000,-14170000,1993000,2019000,16000,-12177000,-12177000,3054000,-9123000,-9123000,-9123000,-9123000,24472000,2.4e+07,147058000,147058000,118688000,9002000,290218000,25068000,373228000,47820000,318019000,399903000,690121000,202746000,3884000,198862000,127222000,127222000,330189000,280376000,280376000,284492000,614681000,13903000,66931000,-5394000,75440000,75440000,690121000,-9123000,1004000,1577000,4374000,-2168000,-1163000,-184000,-59998000,-61345000,-1826000,-55000,53000,53000,-76000,-1904000,-65417000,-65417000,-65417000,-13166000,4337000,-13009000,0.07261,-0.06327,-0.04073,-0.12093,-0.01322,1.42596,0.87895,8.14795,0.00628,-1.24904,-1.24904,30.6647,10.32859,-1.78108,0.25,-0.02026,-0.03612,-0.20015,1.52932,1.42096
"32","2018_Q3",75.3652380952381,"Down",231604000,-183123000,48481000,-36889000,-35615000,-1274000,11592000,2121000,2201000,-12000,13713000,13713000,-2473000,11240000,11240000,11240000,11240000,34250000,33786000,152560000,152560000,120349000,9824000,307159000,26148000,373570000,47820000,317988000,401296000,708455000,199067000,3951000,195116000,130603000,130603000,329891000,289628000,289628000,293689000,623580000,14900000,76344000,-6369000,84875000,84875000,708455000,11240000,1274000,1044000,5071000,18629000,-2354000,152000,-10641000,-12843000,-1827000,-55000,48000,48000,-91999.9999999998,-1926000,3860000,3860000,3860000,12866000,4282000,18056000,0.20933,0.05005,0.04853,0.13243,0.01587,1.60641,0.93109,7.34704,0.00604,1.53762,1.4645,31.68317,11.61081,2.47004,0.24993,0.0345,0.04767,0.16254,-2.32924,-2.58523
"33","2018_Q4",60.4142857142857,"Down",247287000,-187601000,59686000,-37620000,-36670000,-950000,22066000,1782000,2235000,11000,23848000,23848000,-4759000,19089000,19089000,19089000,19089000,35370000,34975000,162574000,162574000,124829000,12444000,322773000,26731000,392188000,47820000,336210000,420568000,743341000,210471000,4464000,203578000,132127000,132127000,342819000,296587000,296587000,300593000,643412000,13748000,93587000,-7406000,99929000,99929000,743341000,19089000,950000,1407000,8995000,30441000,-925000,-175000,21597000,20497000,-1846000,-55000,223000,223000,-2784000,-4462000,46476000,46476000,46476000,23016000,4227000,35845000,0.24136,0.08923,0.07719,0.19103,0.02568,1.87778,0.94153,6.43869,0.00569,2.59045,2.49758,33.55774,13.56073,4.8643,0.25051,0.05224,0.08945,0.0967,-1.3531,-1.41136
"34","2019_Q1",64.986393442623,"Up",237832000,-175588000,62244000,-44743000,-43752000,-991000,17501000,1884000,2622000,-260000,19385000,19385000,-2529000,16856000,16856000,16856000,16856000,35787000,35371000,151597000,151597000,13880000,13880000,201264000,24812000,528326000,47820000,472048000,554825000,756089000,187988000,4336000,179249000,138529000,138529000,326738000,306363000,306363000,310314000,637052000,15511000,108594000,-5068000,119037000,119037000,756089000,16856000,991000,509000,4526000,22882000,-752000,146000,14953000,14347000,-1849000,-55000,253000,253000,-4.65661287307739e-10,-1651000,35578000,35578000,35578000,18492000,4172000,24795000,0.26171,0.07359,0.07087,0.1416,0.02229,1.47099,0.61598,5.35171,0.00552,2.28246,2.11599,32.20474,16.11875,3.35748,0.25037,0.04354,0.05772,0.10969,-1.70966,-1.80647
"35","2019_Q2",72.7246031746032,"Up",218215000,-189868000,28347000,-34129000,-33160000,-969000,-5782000,2607000,3072000,12000,-3175000,-3175000,875000,-2300000,-2300000,-2300000,-2300000,38792000,38223000,154157000,154157000,143708000,16632000,336657000,25641000,454054000,47820000,399173000,481244000,817901000,215301000,5357000,206384000,144383000,144383000,359905000,334227000,334227000,338123000,698028000,16842000,104442000,-1411000,119873000,119873000,817901000,-2300000,969000,3030000,29073000,30772000,-1798000,7000,28836000,27045000,-1852000,-55000,122000,122000,-178000,-1963000,55854000,55854000,55854000,-4813000,4117000,21587000,0.1299,-0.0265,-0.01054,-0.01919,-0.00281,-9.38565,0.93541,5.82306,0.00503,-0.31052,-0.31052,29.46065,16.18375,2.91441,0.25003,-0.00098,0.04711,-0.80522,7.20445,5.99706
"36","2019_Q3",81.93328125,"Up",230982000,-175863000,55119000,-39975000,-39005000,-970000,15144000,2851000,3332000,0,17995000,17995000,-4088000,13907000,13907000,13907000,13907000,100964000,23693000,163228000,163228000,123995000,15720000,388187000,27999000,418017000,47820000,364300000,446016000,834203000,205368000,4824000,197874000,141986000,141986000,347575000,345321000,345321000,349161000,696736000,19339000,116496000,1632000,137467000,137467000,834203000,13907000,970000,4333000,-11117000,8093000,-3329000,15138000,2683999.99999999,14493000,-1853000,-56000,56000,56000,-2.3283064365387e-10,-1853000,20733000,20733000,20733000,16114000,4061000,5756000,0.23863,0.06556,0.06021,0.10117,0.01667,0.41389,1.11684,5.06839,0.00487,1.87704,1.75129,31.17587,18.55406,0.77689,0.2501,0.03237,0.01182,0.13324,-6.01359,-6.39877
"37","2019_Q4",83.85109375,"Up",247962000,-177198000,70764000,-42322000,-41352000,-970000,28442000,2488000,2882000,0,30930000,30930000,-5959000,24971000,24971000,24971000,24971000,137200000,35452000,187467000,187467000,123676000,15974000,448343000,29575000,392262000,47820000,338919000,421837000,870180000,219770000,5432000,210930000,147798000,147798000,367789000,338435000,338435000,342220000,710009000,18334000,139218000,2619000,160171000,160171000,870180000,24971000,970000,4321000,-11602000,18660000,-2545000,138000,6943000,4536000,-2249000,-55000,280000,280000,-2958000,-4982000,18214000,18214000,18214000,29412000,4006000,21224000,0.28538,0.1147,0.1007,0.1559,0.0287,0.84995,1.21902,4.43282,0.0046,3.33703,3.23878,33.13671,21.40465,2.8363,0.30055,0.05416,0.04223,0.09006,-4.52856,-4.683
"38","2020_Q1",66.3993548387097,"Down",245152000,-191129000,54023000,-41339000,-40362000,-977000,12684000,2704000,3234000,-93000,15388000,15388000,-3674000,11714000,11714000,11714000,11714000,127160000,44570000,163561000,163561000,133127000,14919000,423848000,31724000,405357000,47820000,354749000,437081000,860929000,189007000,5993000,183014000,152894000,152894000,342122000,343278000,343278000,347008000,689130000,20302000,148678000,2819000,171799000,171799000,860929000,11714000,977000,6253000,668000.000000002,19612000,-3126000,19145000,4220000,20239000,-2254000,-55000,296000,296000,0,-2013000,37838000,37838000,37838000,13661000,3951000,14877000,0.22037,0.05174,0.04778,0.06818,0.01361,1.27002,1.23888,4.01126,0.00459,1.56083,1.51383,32.66516,22.89127,1.98228,0.30033,0.02691,0.02866,0.19242,-9.01903,-9.71373
"39","2020_Q2",44.235873015873,"Down",219104000,-193053000,26051000,-33115000,-32115000,-1e+06,-7064000,2733000,2967000,1000,-4331000,-4331000,924000,-3407000,-3407000,-3407000,-3407000,93645000,14272000,165790000,165790000,139002000,16511000,398437000,34163000,426987000,47820000,375842000,461150000,859587000,191902000,4333000,187569000,151270000,151270000,343393000,351243000,351243000,354918000,698311000,2.1e+07,140192000,84000,161276000,161276000,859587000,-3407000,1e+06,2655000,793000,1041000,-3439000,-1964000,12621000,7218000,-2262000,-55000,-2083000,904000,-378000,-4778000,3481000,3481000,3481000,-6064000,3896000,-9634000,0.1189,-0.03224,-0.01555,-0.02113,-0.00396,2.82771,1.16029,4.32991,0.00453,-0.453,-0.453,29.1323,21.44343,-1.28095,0.30076,-0.00222,-0.01866,-0.66393,14.8003,12.70512
"40","2020_Q3",52.6775,"Up",201031000,-154388000,46643000,-34426000,-33255000,-1171000,12217000,1666000,1800000,172000,13883000,13883000,-2373000,11510000,11510000,11510000,11510000,129683000,62210000,188383000,188383000,103450000,17377000,421516000,35278000,315544000,47820000,267724000,350822000,772338000,192910000,4951000,187959000,122879000,122879000,316010000,272820000,270135000,276440000,592450000,23497000,149430000,6961000,179888000,179888000,772338000,11510000,1171000,6202000,-134313000,-115430000,-2286000,16789000,-19738000,-5235000,-2272000,-55000,1810000,1810000,-110000,-627000,-121292000,-121292000,-121292000,13388000,3841000,-120838000,0.23202,0.06077,0.05725,0.06398,0.0149,-10.49852,1.33387,3.29344,0.00497,1.52309,1.46905,26.60196,23.80416,-15.99021,0.30065,0.03019,-0.26468,0.19739,-9.39961,-10.30056
"41","2020_Q4",63.06328125,"Up",227513000,-168279000,59234000,-36928000,-35587000,-1341000,22306000,1294000,1664000,-4000,23600000,23600000,-5089000,18511000,18511000,18511000,18511000,147872000,61193000,212362000,212362000,106231000,13883000,466465000,35148000,321666000,47820000,273846000,356814000,823279000,218526000,6447000,212079000,127240000,127240000,345987000,276415000,273468000,279980000,625967000,24014000,165649000,7649000,197312000,197312000,823279000,18511000,1341000,3054000,12622000,35528000,-1211000,-18363000,19769000,195000,-2292000,-55000,3e+05,3e+05,-928000,-2975000,32748000,32748000,32748000,23647000,3786000,40147000,0.26035,0.09804,0.08136,0.09382,0.02248,2.16882,1.34822,3.17247,0.0046,2.42354,2.40153,29.78699,25.83294,5.25622,0.30008,0.04357,0.08408,0.12382,-6.0932,-6.45952
"42","2021_Q1",67.7211475409836,"Up",233176000,-182197000,50979000,-42291000,-40959000,-1332000,8688000,756000,1546000,-453000,9444000,9444000,-2293000,7151000,7151000,7151000,7151000,169932000,68688000,118506000,118506000,119437000,15961000,407875000,34916000,332159000,47820000,284339000,367075000,774950000,162010000,4746000,157264000,128406000,128406000,290637000,282568000,278050000,286078000,576715000,24961000,165710000,7564000,198235000,198235000,774950000,7151000,1332000,5424000,37039000,50946000,-1674000,-14278000,17915000,1963000,-2295000,-55000,-4999000,70000,-1000.00000000012,-7350000,45559000,45559000,45559000,10020000,3731000,47678000,0.21863,0.03726,0.03067,0.03607,0.00923,6.66732,1.40338,2.90925,0.00481,0.94191,0.93015,30.71338,26.11104,6.28003,0.30229,0.0195,0.0984000000000001,0.32093,-16.58693,-19.12995
"43","2021_Q2",71.4365079365079,"Up",218445000,-187580000,30865000,-38404000,-37107000,-1297000,-7539000,1470000,1769000,9000,-6069000,-6069000,1515000,-4554000,-4554000,-4554000,-4554000,142687000,28545000,207430000,207430000,122005000,14613000,472122000,35400000,335133000,47820000,287313000,370533000,842655000,247035000,5611000,241424000,122550000,122550000,369806000,284909000,282398000,288364000,658170000,26559000,155612000,2314000,184485000,184485000,842655000,-4554000,1297000,3135000,-7762000,-7884000,-1781000,-14063000,-108502000,-124346000,-2278000,-55000,-2621000,815000,-107000,-5061000,-137291000,-137291000,-137291000,-6242000,3676000,-17300000,0.14129,-0.03451,-0.02085,-0.02468,-0.0054,3.79886,1.27667,3.56761,0.00436,-0.60111,-0.60111,28.83382,24.35124,-2.28353,0.30069,-0.00481,-0.03657,-0.50022,22.27027,18.43892
"44","2021_Q3",73.3040625,"Up",233203000,-175730000,57473000,-36990000,-35662000,-1328000,20483000,1873000,1965000,-13000.0000000001,22356000,22356000,-5266000,17090000,17090000,17090000,17090000,109753000,2469000,226582000,226582000,126082000,18437000,462417000,35515000,368186000,47820000,320366000,403701000,866118000,305949000,4606000,301343000,100678000,100678000,406848000,256449000,253121000,259848000,666696000,27512000,167445000,4465000,199422000,199422000,866118000,17090000,1328000,3868000,-11781000,10505000,-1443000,12106000,-97856000,-87193000,-2271000,-56000,-3081000,61000,-287000,-5695000,-82383000,-82383000,-82383000,21811000,3620000,13853000,0.24645,0.08783,0.07328,0.0857,0.01973,0.81059,1.13658,3.34314,0.00418,2.26238,2.20801,30.87146,26.39952,1.83386,0.30064,0.04214,0.03015,0.13288,-4.86603,-5.18152000000001
"45","2021_Q4",74.604375,"Up",246950000,-186715000,60235000,-42512000,-41170000,-1342000,17723000,1779000,1825000,-129612.405022101,19502000,19502000,-4573000,14929000,14929000,14929000,14929000,115569000,12860000,240293000,240293000,107423000,23418000,463285000,35965000,309717000,47820000,261897000,345682000,808967000,262386000,4483000,257903000,91023000,91023000,356974000,244360000,241414000,244360000,601334000,28056000,176113000,3464000,207633000,207633000,808967000,14929000,1342000,3860000,-83056000,-62925000,-1792000,17312000,62711000,78231000,-2269000,-55000,-3917000,280000,-1010000,-7251000,8055000,8055000,8055000,19065000,3565000,-61210000,0.24392,0.07177,0.06045,0.0719,0.01845,-4.10007,1.29781,2.89614,0.00441,1.97814,1.96176,32.72161,27.51199,-8.11051,0.30065,0.03775,-0.13436,0.15199,-5.87485,-6.3197
"46","2022_Q1",66.6611290322581,"Down",256568000,-200633000,55935000,-42679000,-41320000,-1359000,13256000,1616000,1656000,-101000,14872000,14872000,-4258000,10614000,10614000,10614000,10614000,166168000,69405000,155707000,155707000,84844000,17606000,406719000,36277000,303956000,47820000,256136000,340233000,746952000,220345000,4485000,214187000,91541000,91541000,315396000,223026000,221339000,223026000,538422000,29128000,178323000,1079000,208530000,208530000,746952000,10614000,1359000,3748000,29124000,44845000,-1785000,5066000,17164000,20445000,-2251000,-55000,-6512000,1.16415321826935e-10,-61000,-8879000,56411000,56411000,56411000,14615000,3510000,46212000,0.21801,0.05167,0.04137,0.0509,0.01421,4.35387,1.28955,2.58199,0.0047,1.41463,1.41482,34.19539,27.79288,6.15914,0.30001,0.02957,0.10622,0.21208,-11.12952,-12.27052
"47","2022_Q2",72.8917741935484,"Up",246375000,-206022000,40353000,-41673000,-40165000,-1508000,-1320000,1636000,1638000,32000,316000,316000,-28000,288000,288000,288000,288000,127408000,46074000,256296000,256296000,132666000,19239000,516370000,41595000,226552000,47820000,174957000,268147000,784517000,306123000,4332000,299895000,85780000,85780000,391903000,206902000,206902000,206902000,598805000,30699000,168292000,-13279000,185712000,185712000,784517000,288000,1508000,3989000,-35994000,-30209000,-6754000,10796000,16463000,20505000,-2229000,-3510000,-8164000,411000,-185000,-14088000,-23792000,-23792000,-23792000,188000,0,-42532000,0.16379,-0.00536,0.00117,0.00155,0.00037,-147.68056,1.3176,3.22437,0,0.03849,0.0381,32.92903,24.82117,-5.68458,0.29791,0.00641,-0.10833,7.73958,-677.70213,96.52121
"48","2022_Q3",79.5334375,"Up",262179000,-195294000,66885000,-43795000,-42272000,-1523000,23090000,1554000,1568000,19000,24644000,24644000,-6630000,18014000,18014000,18014000,18014000,111401000,34098000,266870000,266870000,132263000,20358000,510534000,41726000,204014000,47820000,149098000,245740000,756274000,311162000,4321000,301627000,78606000,78606000,389768000,192008000,192008000,192008000,581776000,31012000,165389000,-21903000,174498000,174498000,756274000,18014000,1523000,3706000,-30450000,-7207000,-1654000,567000,19965000,18878000,-2195000,0,-19917000,0,-258000,-22370000,-10699000,-10699000,-10699000,24613000,0,-861000,0.25511,0.08807,0.06871,0.10323,0.02382,-0.0477999999999952,1.30984,3.334,-8.67361737988404e-19,2.51522,2.48229,36.60695,24.36442,-0.12022,0.30648,0.05514,-0.00235000000000006,0.12185,-4.52609999999981,-4.82464
