"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2019_Q1",23.9072131147541,"Up",413551000,-299591000,113960000,-104707000,-98412000,-6295000,9253000,-51000,-51000,9202000,9202000,-3192000,6010000,6010000,6010000,6010000,96108000,96108000,39413000,55377000,55377000,190898000,214566000,76126000,12057000,36976000,290692000,481590000,100933000,19080000,80532000,764000,101697000,48186000,28562000,20080000,76748000,178445000,62377000,258104000,-8185000,303145000,303145000,481590000,6010000,6295000,-3303000,18159000,27161000,-13561000,-698000,-14259000,-3222000,-249000,225000,-3241000,9661000.00000001,9661000.00000001,9661000.00000001,15548000,48950000,23338000,0.27556,0.02237,0.01453,0.01983,0.01248,3.88319,1.87713,0.58865,0.10164,0.42846,0.32786,29.4825,21.61153,1.66379,0.2297,0.02425,0.06131,0.53611,-3.03306,-5.09651
"33","2019_Q2",23.1188888888889,"Down",401550000,-289437000,112113000,-103191000,-96293000,-6898000,8922000,62000,62000,8984000,8984000,-2715000,6269000,6269000,6269000,6269000,88834000,88834000,39299000,61413000,61413000,189546000,216291000,78036000,12057000,37404000,294327000,483873000,99555000,19355000,75991000,805000,100360000,48690000,28273000,19828000,76963000,177323000,63198000,261151000,-8083000,306550000,306550000,483873000,6269000,6898000,-3681000,-3361000,6125000,-8571000,-743000,-9314000,-3222000,-298000,-565000,-4085000,-7274000,-7274000,-7274000,15820000,49495000,6603000,0.2792,0.02222,0.01561,0.02045,0.01296,1.05328,1.88866,0.57845,0.10229,0.44664,0.34182,28.60858,21.84027,0.47043,0.22955,0.0247,0.01718,0.51396,-2.48666,-4.40921
"34","2019_Q3",21.83828125,"Down",428128000,-310393000,117735000,-107054000,-100037000,-7017000,10681000,194000,194000,10875000,10875000,-3305000,7570000,7570000,7570000,7570000,108534000,108534000,39641000,48921000,48344000,197096000,214547000,78757000,12057000,38125000,293304000,490400000,101290000,19685000,80860000,863000,102153000,48377000,28330000,19854000,76707000,178860000,63893000,265508000,-7981000,311540000,311540000,490400000,7570000,7017000,11763000,3403000,29753000,-5060000,-787999.999999998,-5848000,-3213000,-828000,-164000,-4205000,19700000,19700000,19700000,17698000,49240000,19346000,0.275,0.02495,0.01768,0.0243,0.01544,2.55561,1.92942,0.57412,0.10041,0.53971,0.41298,30.52388,22.21161,1.3793,0.22907,0.02771,0.04972,0.42444,-3.35032,-5.55135
"35","2019_Q4",22.5315625,"Up",395459000,-284848000,110611000,-103916000,-97350000,-6566000,6695000,296000,296000,6991000,6991000,-2020000,4971000,4971000,4971000,4971000,104131000,104131000,38922000,26783000,25374000,169836000,214577000,104515000,12057000,63883000,319092000,488928000,100866000,21781000,78810000,949000,101815000,48027000,23515000,20098000,71542000,173357000,65101000,267256000,-7577000,315571000,315571000,488928000,4971000,6566000,-2311000,-5335000,3891000,19855000,-25732000,-5877000,-3223000,-228000,1008000,-2417000,-4403000,-4403000,-4403000,13261000,48976000,29801000,0.2797,0.01693,0.01257,0.01575,0.01017,5.99497,1.66808,0.54934,0.10017,0.35383,0.27103,28.14855,22.46217,2.12122,0.22941,0.02112,0.07679,0.64836,-4.15919,-8.23824
"36","2020_Q1",19.3767741935484,"Down",579457000,-413441000,166016000,-162030000,-151153000,-10877000,3986000,897000,897000,4883000,4883000,1246000,6129000,6129000,6129000,6129000,101121000,101121000,38503000,29157000,29114000,168781000,224890000,108618000,12650000,67324000,333508000,502289000,111452000,23950000,86432000,1022000,112474000,47725000,23418000,18659000,71143000,183617000,65811000,270753000,-8342000,318672000,318672000,502289000,6729000,6809000,-3910000,6391000,16019000,-34110000,24136000,-15241000,-3232000,-222000,-342000,-3788000,-3010000,-3010000,-3010000,10795000,48747000,-18170000,0.2865,0.00688,0.01058,0.01923,0.0122,-2.96459,1.50062,0.57619,0.09705,0.43589,0.3341,41.21023,22.66354,-1.29223,0.22986,0.02395,-0.04649,0.52733,-4.85169,-13.13949
"37","2020_Q2",21.337619047619,"Up",407402000,-293856000,113546000,-110578000,-103140000,-7438000,2968000,692000,692000,3660000,3660000,-1093000,2567000,2567000,2567000,2567000,77941000,77941000,40683000,33186000,33108000,151810000,224489000,205392000,12650000,163959000,429881000,581691000,108680000,22666000,83771000,416000,120421000,127633000,11190000,6518000,138823000,259244000,66644000,273614000,-8241000,322447000,322447000,581691000,2567000,7438000,-2264000,-4366000,3375000,-22349000,-796000,-23145000,-3220000,-170000,-20000,-3410000,-23180000,-23180000,-23180000,10406000,128049000,-15216000,0.27871,0.00729,0.0063,0.00796,0.00441,-5.92754,1.26066,0.80399,0.22013,0.18252,0.13983,28.96772,22.92712,-1.08191,0.22895,0.01253,-0.03296,1.25438,4.8153,16.88275
"38","2020_Q3",22.986875,"Up",437422000,-319475000,117947000,-115533000,-107734000,-7799000,2414000,462000,462000,2876000,2876000,-871000,2005000,2005000,2005000,2005000,75396000,75396000,41313000,30755000,29902000,147464000,231322000,207986000,12586000,166617000,439308000,586772000,111669000,19800000,91869000,425000,124199000,128333000,12258000,6576000,140591000,264790000,67352000,272401000,-7972000,321982000,321982000,586772000,2005000,7799000,12227000,2355000,24386000,-15772000,-750000.000000004,-23318000,-3218000,-166000.000000001,-229000,-3613000,-2545000,-2545000,-2545000,10213000,128758000,-2333000,0.26964,0.00552,0.00458,0.00623,0.00342,-1.16359,1.18732,0.82238,0.21943,0.14258,0.10923,31.10667,22.89731,-0.16591,0.22884,0.01128,-0.00504,1.60499,5.22491,22.10522
"39","2020_Q4",21.0509375,"Down",458292000,-328391000,129901000,-114664000,-106987000,-7677000,15237000,347000,347000,15584000,15584000,-4432000,11152000,11152000,11152000,11152000,89602000,89602000,32613000,23372000,23353000,145587000,230886000,213623000,12586000,172254000,444509000,590096000,112303000,19350000,90629000,452000,124520000,125410000,13158000,8078000,138568000,263088000,68119000,280294000,-7466000,327008000,327008000,590096000,11152000,7677000,-1754000,14568000,31643000,-8430000,-697000,-9867000,-3259000,-171000,-4140000,-7570000,14206000,14206000,14206000,22914000,125862000,33484000,0.28345,0.03325,0.02433,0.0341,0.0189,3.00251,1.16919,0.80453,0.21329,0.79199,0.60691,32.54684,23.22335,2.37796,0.23145,0.03092,0.07185,0.29223,1.58244,2.37973
"40","2021_Q1",21.1983606557377,"Up",727214000,-523564000,203650000,-192206000,-180925000,-11281000,11444000,-1811000,-1811000,9633000,6733000,-2463000,4270000,4270000,4270000,4270000,111681000,111681000,42135000,43504000,30703000,197320000,269741000,448485000,24190000,394833000,718226000,915546000,136487000,29793000,106694000,7190000,162798000,396181000,24247000,18081000,420428000,583226000,697000,286241000,-8751000,332320000,332320000,915546000,9215000,8787000,8092000,-1550000,24544000,-6683000,-557000,-73326000,-3268000,74341000,0,70861000,22079000,22079000,22079000,20231000,403371000,14461000,0.28004,0.01574,0.00587,0.01285,0.00466,3.38665,1.21205,1.75501,0.44058,0.30187,0.23157,51.41138,18.68137,1.02234,0.23104,0.00992,0.01903,0.76534,14.41797,25.48847
"41","2021_Q2",22.5733333333333,"Up",490136000,-352173000,137963000,-133077000,-124363000,-8714000,4886000,-96000,-96000,4790000,4790000,-1430000,3360000,3360000,3360000,3360000,99602000,99602000,46896000,47016000,36404000,193514000,265184000,413038000,24190000,388848000,708354000,901868000,130806000,29422000,101263000,7461000,154931000,390273000,22923000,16764000,413196000,568127000,69392000,286344000,-8056000,333741000,333741000,901868000,3360000,9072000,-4864000,-10921000,-3353000,-3236000,-567000,-3803000,-3257000,-1444000,3561002.92954129,-4923000,-12079000,-12079000,-12079000,13958000,397734000,1231000,0.28148,0.00997,0.00686,0.01007,0.00373,0.36637,1.24903,1.7023,0.44101,0.23756,0.18223,34.65328,23.59594,0.08703,0.23027,0.00877,0.00162999999999999,0.96935,21.35922,61.0176
"42","2021_Q3",21.07109375,"Down",522818000,-380973000,141845000,-135242000,-126449000,-8793000,6603000,-107000,-107000,6496000,6496000,-1940000,4556000,4556000,4556000,4556000,114764000,114764000,47108000,37086000,28008000,198958000,261542000,445105000,24190000,390713000,706647000,905605000,132449000,28562000,103775000,7345000,160756000,385993000,22594000,16442000,408587000,569343000,70021000,287634000,-7454000,336262000,336262000,905605000,4556000,9150000,11384000,3174000,28264000,-6615000,-574000,-7189000,-3266000,-2647000.00000001,4220852.74622769,-5913000.00000001,15162000,15162000,15162000,15753000,393338000,14252000,0.27131,0.01263,0.00871,0.01355,0.00503,3.12818,1.23764,1.69315,0.43434,0.32212,0.2471,36.96394,23.77418,1.00764,0.23091,0.0104,0.01895,0.71686,17.68387,42.189
"43","2021_Q4",21.15890625,"Up",481093000,-347671000,133422000,-129574000,-121156000,-8418000,3848000,-90000,-90000,3758000,3758000,-1184000,2574000,2574000,2574000,2574000,112677000,112677000,44972000,35733000,27543000,193382000,255648000,410565000,24190000,386375000,696696000,890078000,123478000,24705000,98773000,8012000,152689000,377428000,22693000,16547000,400121000,552810000,70661000,286946000,-6400000,337268000,337268000,890078000,2574000,8781000,-3734000,463000,8084000,-3974000,-567000,-4541000,-3262000,-2368000,3091301.09814345,-5630000,-2087000,-2087000,-2087000,12629000,385440000,10302000,0.27733,0.008,0.00535,0.00763,0.00289,4.00233,1.26651,1.63908,0.43304,0.18199,0.1396,34.01393,23.84531,0.72837,0.23063,0.00783,0.01382,1.26729,21.59815,70.88436
"44","2022_Q1",22.0609677419355,"Up",536283000,-384469000,151814000,-135088000,-126818000,-8270000,16726000,-17000,-17000,16709000,13809000,-4305000,9504000,9504000,9504000,9504000,116314000,116314000,42633000,37369000,32258000,196316000,256154000,436534000,24190000,377370000,692688000,889004000,122527000,25098000,95828000,8139000,152293000,370078000,25160000,14978000,395238000,547531000,71291000,293185000,-9064000,341473000,341473000,889004000,9504000,8698000,-4858000,6353000,19697000,-10261000,-579000,-10840000,-3265000,-1955000,1284099.63337281,-5220000,3637000,3637000,3637000,25424000,378217000,25821000,0.28309,0.03119,0.01772,0.02783,0.01069,2.71686,1.28907,1.60344,0.42544,0.67195,0.51546,37.91594,24.1426,1.82558,0.23084,0.01714,0.03467,0.34354,10.30141,15.65844
"45","2022_Q2",22.7532258064516,"Up",494211000,-354031000,140180000,-129618000,-121283000,-8335000,10562000,6000,6000,10568000,10568000,-3240000,7328000,7328000,7328000,7328000,105087000,105087000,46021000,71307000,66021000,222415000,261309000,404302000,24190000,347108000,665611000,888026000,124238000,23441000,100231000,8152000,154057000,361389000,25609000,15369000,386998000,541055000,71238000,297249000,-8185000,346971000,346971000,888026000,7328000,8712000,-4513000,-3640000,7887000,-13170000,-592000,-13762000,-3264000,-1999000,-88999.9999999953,-5352000,-11227000,-11227000,-11227000,19274000,369541000,5704000,0.28364,0.02137,0.01483,0.02112,0.00825,0.77838,1.44372,1.55937,0.41614,0.5181,0.39744,34.94139,24.48204,0.40328,0.23077,0.01427,0.00769,0.44541,13.72076,25.03825
"46","2022_Q3",21.54421875,"Down",537408000,-387798000,149610000,-134947000,-126487000,-8460000,14663000,-57000,-57000,14606000,14606000,-4477000,10129000,10129000,10129000,10129000,125897000,125897000,44250000,62057000,53370000,232204000,269165000,395941000,24190000,338747000,665106000,897310000,126134000,22520000,103297000,8739000,157034000,359776000,25244000,14946000,385020000,542054000,71808000,304117000,-7338000,355256000,355256000,897310000,10129000,8837000,11743000,1678000,32387000,-13088000,-598000,-13686000,-3261000,5374000,0,2109000,20810000,20810000,20810000,23500000,368515000,16567000,0.27839,0.02728,0.01885,0.02851,0.01129,1.6356,1.47869,1.52581,0.41069,0.71598,0.71598,37.98742,25.06249,1.17106,0.23051,0.01788,0.02212,0.32195,10.32417,16.54627
