"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",16.3498412698413,"Down",382049000,110336000,144875000,-34539000,271713000,150486000,57978000,347500000,-281901000,-14798000,-267103000,65599000,65599000,65599000,-15148000,50451000,53602000,49636000,49636000,524370000,1721116000,1838789000,215261000,25019000,267447000,3851980000,15706250000,244042000,672077000,13542517000,1438202000,676946000,21563000,2136711000,2163733000,15706250000,53602000,1883000,-136299000,-540010000,-582770000,-2404000,-14797000,-16414000,718074000,118890000,118890000,118890000,67482000,2922951000,-459784000,0.1717,0.12992,0.02294,0.00316,-9.26312,6.25887,0.1861,0.54841,0.54816,4.22112,23.60772,-5.07998,0.00368,-0.02927,35.54401,36.56429
"40","2020_Q3",18.5546875,"Up",572683000,104558000,134931000,-30373000,468125000,295317000,109454000,506657000,-370209000,-15737000,-354472000,136448000,136448000,136448000,-31808000,104640000,135415000,128476000,128476000,1655492000,2082705000,1222627000,210975000,23374000,267447000,3616133000,16934116000,450158000,541083000,14641983000,1440588000,797331000,24441000,2262360000,2292133000,16934116000,135415000,6228000,-289467999.999998,565905999.999998,452069000,-1010000,-105336000,-630500000,1267255000,1088824000,1088824000,1088824000,142676000,2451302000,739380000,0.23826,0.22434,0.05605,0.00759,5.75500000000001,6.38793,0.14476,1.4249,1.42555,6.3515,25.09133,8.20030000000001,0.00807,0.0436599999999999,5.57774,5.83233
"41","2020_Q4",23.051875,"Up",604611000,101900000,129828000,-27928000,502711000,307896000,125453000,605213000,-399345000,-17522000,-381823000,205868000,205868000,205868000,-46820000,159048000,159784000,153279000,153279000,1277865000,2301407000,1363478000,208078000,21893799.2643466,267447000,1066619000,16935552000,396006000,624919000,14496819000,1444490000,942461000,24421000,2411372000,2438733000,16935552000,159784000,6982000,19112121000,-19072198000,205351000,-1005000,-201367000,-216138000,-339810000,-350597000,-350597000,-350597000,212850000,2609985000,-18813533000,0.3405,0.25352,0.06285,0.00905,-122.74045,5.94441,0.15411,1.69934,1.69934,6.70308,26.73391,-208.57807,0.00953,-1.11089,6.25849,6.47075
"42","2021_Q1",31.6537704918033,"Up",555303000,107372000,136861000,-29489000,447931000,247360000,122489000,558785000,-402348000,-21927000,-380421000,156437000,156437000,156437000,-39295000,117142000,120876000,116445000,116445000,1062560000,2468544000,1404727000,211595000,20364000,267447000,3884225000,16944264000,448999000,758339000,14593617000,1318751000,986792000,18396000,2323939000,2350647000,16944264000,120876000,6837000,7203536000,-7118247000,205786000,-11815000,-146374000,35386000,-387775000,-146603000,-146603000,-146603000,163274000,2592959000,-6927493000,0.28171,0.2097,0.04954,0.00687,-59.49155,6.20834,0.15303,1.35013,1.34863,6.43852,26.94516,-80.32155,0.00735,-0.40884,9.37319,9.78285
"43","2021_Q2",34.5244444444444,"Up",523267000,105682000,146923000,-41241000,417585000,267080000,84496000,528376000,-366662000,-13585000,-353077000,161714000,161714000,161714000,-37770000,123944000,123944000,120345000,120345000,1564489000,2544395000,1596817000,213304000,19035000,267447000,3704454000,17682837000,401713000,715384000,15236822000,1320341000,1094727000,4117000,2419185000,2446015000,17682837000,123944000,5930000,-259881000,448932000,313816000,-7474000,-270366000,-307026000,478185000,484975000,484975000,484975000,167644000,2788659000,646872000,0.30905,0.22999,0.0492,0.00681,5.37515,6.22924,0.1577,1.4646,1.45596,6.36818,29.44158,7.87246,0.00736,0.03658,7.3022,7.56997
"44","2021_Q3",32.16984375,"Down",447815000,107916000,134817000,-26901000,339899000,199625000,69706000,476535000,-343368000,-16239000,-327129000,133167000,133167000,133167000,-31234000,101933000,101933000,99059000,99059000,1372818000,2789259000,1403447000,212402000,17705000,267447000,3868473000,17664534000,396653000,482219000,15168158000,1303251000,1159304000,7726000,2470281000,2496376000,17664534000,101933000,4601000,-209640000,-592554999.999999,-724381000,-5959000,-986000,271237999.999999,195354000,-257789000,-257789000,-257789000,137768000,2952154000,-429512000.000001,0.29737,0.22121,0.03968,0.00561,-4.33592,6.07607,0.16712,1.20555,1.19843,5.44993,30.06342,-5.22717999999999,0.00617,-0.0243100000000001,11.46374,11.85982
"45","2021_Q4",34.26140625,"Up",473035000,105090000,125178000,-20088000,367945000,203152000,80735000,478854000,-355174000,-14542000,-340632000,123680000,123680000,123680000,-28257000,95423000,95423000,92906000,92906000,2463111000,2881636000,1419652000,210026000,16455000,267447000,3131596000,17989651000,395804000,602316000,15487309000,1271062000,1204307000,1002000,2476371000,2502342000,17989651000,95423000,7862000,-262258000,-21425580000,-21590372000,-4394000,-262355000,22719183000,23723000,1152534000,1152534000,1152534000,131542000,2752831000,-21270175000,0.26146,0.1964,0.03713,0.00516,-228.94296,6.18913,0.15302,1.17702,1.1697,5.99287,31.37308,-269.47126,0.00571,-1.18236,2.20249,2.3425
"46","2022_Q1",31.9779032258065,"Down",389140000,104294000,123055000,-18761000,284846000,156103000,53108000,407705000,-322194000,-9904000,-312290000,85511000,85511000,85511000,-20715000,64796000,64796000,62185000,62185000,2823138000,3046500000,1609099300.21938,204438000,15284000,267447000,4425074000,18689080000,387904000,500566000,16139877000,1275236000,1257014000,-9467000,2522668000,2549203000,18689080000,64796000,6235000,28666915000,-5952822000,22766559000,17429000,-144377000,-23236669000,782350000,312240000,312240000,312240000,91746000,2821234000,-5822932000,0.21974,0.1598,0.02439,0.00333,-93.63885,6.33134,0.15096,0.78782,0.78292,4.93,31.95961,-73.77056,0.00383,-0.31157,-0.0207499999999996,-0.0222700000000011
"47","2022_Q2",28.0004838709677,"Down",316419000,99991000,119537000,-19546000,216428000,110894000,38683000,316304000,-286350000,-10063000,-276287000,29954000,29954000,29954000,-5815000,24139000,24139000,22250000,22250000,2886812000,2887435000,1610352000,198906000,14233000,267447000,2527679000,18356956000,395479000,473661000,15866361000,1276443000,1267415000,-79925000,2463933000,2490595000,18356956000,24139000,7709000,-102999000,459670000,388634000,-537000,-139349000,-282480000,-135814000,-29660000,-29660000,-29660000,37663000,2725998000,502611000,0.09467,0.07032,0.00893,0.00121,22.58926,6.37051,0.1485,0.28188,0.28013,4.0087,31.2155,6.36756,0.00186,0.02738,-4.26981,-5.3687
"48","2022_Q3",26.88328125,"Down",351329000,112056000,135133000,-23077000,239273000,97543000,74971000,345993000,-298543000,-16246000,-282297000,47450000,47450000,47450000,-12127000,35323000,35323000,33260000,33260000,1783554000,3076275000,1049830000,195361000,13182000,267447000,2354459000,16715739000,389722000,454393000,14658336000,1039907000,1085208000,-95538000,2029577000,2057403000,16715739000,35323000,6462000,-113621000,421622000,355122000,-2219000,-105102000,-281758000,-1184216000,-1110852000,-1110852000,-1110852000,53912000,2283157000,485442000,0.13506,0.09467,0.01617,0.00199,14.59537,7.12468,0.13659,0.45133,0.45045,4.76747,27.54097,6.58736,0.0027,0.02904,9.26701,10.52904
