"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"36","2019_Q1",28.4265573770492,"Up",672635000,-591512000,81123000,-88308000,-80659000,-7649000,-7185000,-13256000,-13354000,98000,-20441000,-20441000,4269000,-16172000,-16172000,-16172000,-16172000,8939000,8939000,208434000,341851000,40629000,40629000,599853000,205113000,308398000,-103285000,154923000,19284000,360036000,959889000,157162000,149188000,7974000,37870000,37870000,196768000,497939000,279845000,253177000,777784000,974552000,258688000,-236222000,-37129000,-14663000,-14663000,959889000,100849000,78999.9999999963,-852000,4260999.99999994,-89555000.0000001,-14246000,-103801000,1309000,1309000,1309000,499675000,0.1206,-0.01068,-0.02404,1.10291,-0.01685,3.04853,-66.4633399999998,0.52055,-1.7438,-1.7438,72.52911,-1.58109,6,-0.02114,-68.30007
"37","2019_Q2",22.8133333333333,"Down",638701000,-552656000,86045000,-81738000,-74410000,-7328000,4307000,-13551000,-13401000,-150000,-9244000,-9244000,2525000,-6719000,-6719000,-6719000,-6719000,12682000,12682000,246342000,387330000,33350000,33350000,679704000,200620000,307735000,-107115000,209328000,74921000,409948000,1089652000,141335000,132259000,9076000,39042000,39042000,225046000,557715000,325176000,300088000,882891000,1107937000,259395000,-241650000,-36030000,-18285000,-18285000,1089652000,-58321000,143000,-1223000,4929000,57135000,-16170890.2604931,57135000,3743000,3743000,3743000,602384000,0.13472,0.00674,-0.01052,0.36746,-0.00617,3.02029,-60.59267,0.55282,-0.7245,-0.7245,68.87007,-1.97164,3,-0.00739,136.91711
"38","2019_Q3",25.235,"Up",706448000,-612281000,94167000,-81604000,-64825000,-7503000,12563000,-13672000,-13717000,45000,-1109000,8651000,-2350000,6301000,6301000,6301000,6301000,12662000,12662000,262042000,358652000,44066000,44066000,677422000,198898000,310751000,-111853000,204834000,74545000,403732000,1081154000,182572000,174860000,7712000,37416000,37416000,221415000,546731000,325843000,299754000,872574000,1093989000,259821000,-235349000,-37307000,-12835000,-12835000,1081154000,5272000,10615000,-561000,10054000,-8584000,-6762000,-15346000,-20000,-20000,-20000,548158000,0.1333,0.01778,0.00892,-0.49092,0.00583,3.05951,-85.23483,0.50701,0.67383,0.67383,75.54786,-1.37258,5,0.00732,42.62485
"39","2019_Q4",20.50984375,"Down",678665000,-584952000,93713000,-87458000,-76095000,-7577000,6255000,-13092000,-13409000,317000,-6837000,-6799000,-244000,-7043000,-7043000,-7043000,-7043000,12847000,12847000,243905000,362389000,42366000,42366000,661507000,207264000,321004000,-113740000,203858000,72948000,411122000,1072629000,188156000,179376000,8780000,33037000,33037000,222983000,532822000,337395000,309770000,870217000,1093200000,260977000,-242391000,-39157000,-20571000,-20571000,1072629000,15426000,2941000,-1537000,1404000,-21048000,4403000,-16645000,185000,185000,185000,534612000,0.13808,0.00922,-0.01038,0.34238,-0.00657,2.96663,-53.14277,0.49841,-0.75318,-0.75318,72.57673,-2.19987,5,-0.00827,83.41567
"40","2020_Q1",11.2437096774194,"Down",613454000,-530464000,82990000,-84043000,-76196000,-3864000,-1053000,-16447000,-13691000,-2756000,-17500000,-14216000,4021000,-10195000,-10195000,-10195000,-10195000,11643000,11643000,192872000,345806000,27718000,27718000,578039000,195768000,316487824.052696,-114197745.310249,197618000,69469000,393386000,971425000,139987000,132348000,7639000,28960000,28960000,171123000,458439000,367946000,344526000,826385000,997508000,261068000,-252588000,-34563000,-26083000,-26083000,971425000,27319000,6232000,-1470000,4762000,-66737000,33452000,-33285000,-1204000,-1204000,-1204000,460615000,0.13528,-0.00172,-0.01662,0.39087,-0.01049,3.37792,-38.24361,0.47416,-1.0884,-1.0884,65.49098,-2.78456,6,-0.0127,-426.37417
"41","2020_Q2",6.17587301587302,"Down",662070000,-568861000,93209000,-86388000,-74588000,-7635000,6821000,-14143000,-14380000,237000,-7322000,-5813000,5026000,-787000,-787000,-787000,-787000,12558000,12558000,247940000,378634000,26437000,26437000,665569000,191252000,308288000,-117036000,204400000,72906000,395652000,1061221000,170614000,162398000,8216000,26778000,26778000,199568000,568702000,318635000,296039000,887337000,1086905000,262074000,-253375000,-34383000,-25684000,-25684000,1061221000,-59187000,44000,-1245000,-1201000,-14121000,75424000,61303000,915000,915000,915000,570878000,0.14078,0.0103,-0.00119,0.03064,-0.00074,3.33505,-42.31837,0.53794,-0.08403,-0.08403,70.68866,-2.74226,3,-0.00091,81.8531
"42","2020_Q3",16.13828125,"Up",698776000,-597956000,100820000,-79718000,-70693000,-7063000,21102000,-11952000,-11535000,-417000,9150000,10133000,-3438000,6695000,6695000,6695000,6695000,11530000,11530000,264642000,313979000,26509000,26509000,616660000,186493000,308616000,-122123000,195951000,71094000,382444000,999104000,170060000,158920000,11140000,27642000,27642000,199878000,377880000,439594000,417485000,817474000,1017352000,262682000,-246680000,-34250000,-18248000,-18248000,999104000,72088000,58000,-507000,-449000,-68004000,-4663000.00000001,-72667000,-1028000,-1028000,-1028000,380056000,0.14428,0.0302,0.00958,-0.36689,0.0067,3.08518,-55.75142,0.3804,0.71482,0.71482,74.60773,-1.94832,8,0.00835,17.4640299999999
"43","2020_Q4",25.56625,"Up",871063000,-711603000,159460000,-87673000,-79977000,-7087000,71787000,-10538000,-10776000,238000,61249000,70918000,-15802000,55116000,55116000,55116000,55116000,10154000,10154000,308584000,306030000,23395000,23395000,648163000,182854000,302814000,-119960000,192217000,73640000,375071000,1023234000,197417000,178948000,18469000,35103000,35103000,234055000,309249000,441717000,420276000,750966000,985021000,263738000,-191564000,-33961000,38213000,38213000,1023234000,61495000,10640000,-191000,10449000,-70257000,-3063000,-73320000,-1376000,-1376000,-1376000,310784000,0.18306,0.08241,0.06327,1.44234,0.05386,2.76928,25.77712,0.30373,5.85842,5.85158,92.58748,4.06176,7,0.0697,4.18781
"44","2021_Q1",38.8650819672131,"Up",865419000,-741174000,124245000,-96251000,-88970000,-7116000,27994000,-10527000,-10723000,196000,17467000,19843000,14999.9999999981,19858000,19858000,19858000,19858000,82000,82000,293643000,342108000,32581000,32581000,668414000,178712000,305415362.344848,-121887600.227712,201004000,71444000,379716000,1048130000,197761000,165163000,32598000,30100000,30100000,229032000,321270000,438736000,416052000,760006000,989038000,266790000,-171706000,-35992000,59092000,59092000,1048130000,-19377000,2107000,-1746000,361000,10662000,-1718000,8944000,-10072000,-10072000,-10072000,322441000,0.14357,0.03235,0.02295,0.33605,0.01895,2.91843,16.73726,0.30763,2.09827,2.06962,91.44326,6.24387,5,0.02421,11.51529
"45","2021_Q2",49.1979365079365,"Up",1025469000,-845077000,180392000,-83137000,-75560000,-7465000,97255000,-15920000,-16234000,314000,81335000,83606000,-21746000,61860000,61860000,61860000,61860000,179000,179000,418815000,376423000,33029000,33029000,828446000,184332000,310101000,-125769000,199702000,68068000,384034000,1212480000,263419000,218975000,44444000,28369000,28369000,291788000,355899000,442280000,420550000,798179000,1089967000,268101000,-109846000,-35742000,122513000,122513000,1212480000,-24608000,1810000,-1122000,688000,27063000,-3046000,24017000,97000,97000,97000,355899000,0.17591,0.09484,0.06032,0.50493,0.05102,2.83921,8.89675,0.29353,6.53497,6.27511,108.33182,12.94243,5,0.06719,3.6576
"46","2021_Q3",50.2815625,"Up",1307913000,-1056741000,251172000,-94960000,-87009000,-7080000,156212000,-8829000,-9143000,314000,147383000,148366000,-34908000,113458000,113458000,113458000,113458000,179000,179000,437217000,425714000,36280000,36280000,899390000,180476000,307728000,-127252000,200916000,68571000,381392000,1280782000,261308000,227100000,34208000,28390000,28390000,289698000,318226000,439676000,418798000,757902000,1047600000,265060000,3612000,-35490000,233182000,233182000,1280782000,47209000,290000,-1778000,-1488000,-38103000,-7618000,-45721000,0,0,0,318226000,0.19204,0.11944,0.08675,0.48656,0.08858,3.10458,4.49263,0.24846,11.98584,11.50923,138.16955,24.63364,7,0.11448,2.036
"47","2021_Q4",67.71734375,"Up",970842000,-817515000,153327000,-83272000,-76176000,-6884000,70055000,-7609000,-8313000,704000,62446000,63430000,-16232000,47198000,47198000,47198000,47198000,186000,186000,344974000,436438000,38828000,38828000,820426000,177521000,309108000,-131587000,204384000,71230000,381905000,1202331000,235204000,210386000,24818000,28054000,28054000,263258000,219541000,437306000,417380000,656847000,920105000,266661000,50810000,-35245000,282226000,282226000,1202331000,104258000,552000,-2524000,-1972000,-97300000,-4979000,-102279000,7000,7000,7000,219541000,0.15793,0.07216,0.04862,0.16723,0.03926,3.11643,3.26017,0.1826,4.92724,4.85876,101.35108,29.46299,6,0.05026,3.13118
"48","2022_Q1",81.8975806451613,"Up",972954000,-779418000,193536000,-91343000,-83460000,-6763000,102193000,-11843000,-11817000,-26000,90350000,98474000,-24857000,73617000,73617000,73617000,73617000,85203000,85203000,339637000,488458000,31869000,31869000,945167000,181154000,318253000,-137099000,191133000,69473000,372287000,1317454000,208501000,1.8e+08,28501000,35290000,35290000,243791000,291271000,419143000,407538000,710414000,954205000,268182000,124427000,-29360000,363249000,363249000,1317454000,18164000,7675000,-8991000,-1316000,74353000,-6184000,68169000,85017000,85017000,85017000,291271000,0.19892,0.10503,0.07566,0.20266,0.05588,3.87696,2.62686,0.22109,7.25505,6.89944,95.88588,35.79866,6,0.06857,2.01646
"49","2022_Q2",75.1387096774194,"Down",1302305000,-1011254000,291051000,-98873000,-91289000,-6746000,192178000,-12431000,-11293000,-1138000,179747000,180731000,-47322000,133409000,133409000,133409000,133409000,74438000,74438000,497056000,562555000,32470000,32470000,1166519000,177964000,319732000,-141768000,189722000,67152000,367686000,1534205000,296981000,230072000,66909000,39425000,39425000,336406000,291534000,414089000,403276000,705623000,1042029000,263524000,257836000,-29184000,492176000,492176000,1534205000,2237000,49000,-2509000,-2460000,708579248.827718,-4115000,-10542000,-10765000,-10765000,-10765000,291534000,0.22349,0.14757,0.10244,0.27106,0.08696,3.46759,2.11719,0.19002,13.71782,13.22855,133.90993,50.60816,7,0.11138,1.12966
"50","2022_Q3",72.0528125,"Down",1239379000,-1037971000,201408000,-98482000,-91338000,-6518000,102926000,-11394000,-11255000,-139000,91532000,92660000,-21388000,71272000,71272000,71272000,71272000,104952000,104952000,422659000,577648000,35268000,35268000,1140527000,178616000,324786000,-146170000,190603000,67883000,369219000,1509746000,272010000,239515000,32495000,33920000,33920000,305930000,291764000,412335000,402353000,704099000,1010029000,199657000,329108000,-29048000,499717000,499717000,1509746000,101193000,481999.999999998,-4373000,-3891000,2030259746.48315,-6788000,-66788000,30514000,30514000,30514000,291764000,0.16251,0.08305,0.05751,0.14262,0.04721,3.72807,2.0212,0.19325,7.33251,7.04756,127.50813,51.41121,5,0.05921,1.81501
