"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",76.9160317460317,"Down",2069000,-256490000,-116545000,-139945000,-254558000,9721000,6796000,6796000,2925000,-244837000,-244837000,-245282000,-245282000,-245282000,-245282000,1221830000,316608000,905222000,3362000,3362000,90843000,90843000,1327116000,272652000,348538000,1675654000,115336000,21772000,93564000,6167000,3444000,2723000,121503000,46032000,1623000,44409000,76032000,197535000,4141042000,-2629531000,-33392000,1478119000,1478119000,1675654000,-245282000,3246000,93397000,-5169000,-153808000,-45409000,141583000,96174000,13533000,13533000,12989000,-44645000,-44645000,-44645000,-251312000,3e+07,-123.03432,-118.55099,-0.16594,-0.14638,10.9225,0.13364,0.0179,-2.43376,-2.43376,0.02053,14.66635,-0.15782,4.74243,4.68196
"36","2019_Q1",83.6354098360656,"Up",21033000,-239724000,-108688000,-131036000,-220356000,29840000,10571000,10571000,19269000,-190516000,-211080000,-211441000,-211441000,-211441000,-211441000,1084155000,420146000,664009000,18760000,18760000,73713000,73713000,1200696000,320658000,374106000,1574802000,172427000,59708000,112719000,7067000,3496000,3571000,179494000,63343000,458000,62885000,93343000,272837000,4176150000,-2840972000,-33213000,1301965000,1301965000,1574802000,-211441000,6585000,33900000,20499000,-150457000,-37513000,286477000,248964000,4202000,4202000,5378000,103885000,103885000,103885000,-213771000,3e+07,-10.47668,-10.05282,-0.1624,-0.13427,6.68934,0.20956,0.01905,-2.09184,-2.09184,0.20808,12.88067,-0.15154,4.93123,4.78387
"37","2019_Q2",76.7249206349206,"Down",33294000,-218735000,-89608000,-129127000,-188788000,7568000,7525000,7525000,43000,-181220000,-181220000,-181915000,-181915000,-181915000,-181915000,1244537000,724959000,519578000,33801000,33801000,81674000,81674000,1392013000,341712000,621986000,2013999000,129544000,22671000,106873000,19619000,2642000,16977000,149163000,287850000,477999.999999993,287372000,317850000,467013000,4602726000,-3022887000,-32853000,1546986000,1546986000,2013999000,-181915000,12210000,45486000,-64291000,-188510000,-44049000,146701000,102652000,9083000,9083000,390931000,305073000,305073000,305073000,-176578000,3e+07,-5.67033,-5.4639,-0.11759,-0.09033,9.33216,0.30189,0.0149,-1.72595,-1.72595,0.31588,14.67729,-0.09755,6.87819,6.43334
"38","2019_Q3",79.1115625,"Up",44714000,-276659000,-112769000,-163890000,-236271000,8328000,8781000,8781000,-453000,-227943000,-218521000,-219481000,-219481000,-219481000,-219481000,1926831000,1136289000,790542000,30739000,30739000,65616000,65616000,2063773000,371769000,652638000,2716411000,210015000,71215000,138800000,118589000,89242000,29347000,328604000,600612000,313887000,286725000,630612000,959216000,5035394000,-3242368000,-35831000,1757195000,1757195000,2716411000,-219481000,9745000,29282000,469149000,288695000,-21244000,-268158000,-289402000,412642000,412642000,412610000,411903000,411903000,411900000,-226526000,3e+07,-5.28405,-4.90855,-0.1249,-0.0808,6.28043,0.54588,0.01104,-2.02112,-2.02112,0.41175,16.18133,-0.09192,8.37357,8.0282
"39","2019_Q4",99.69703125,"Up",70061000,-281147000,-120351000,-160796000,-216299000,7370000,9889000,9889000,-2519000,-208929000,-208929000,-208535000,-208535000,-208535000,-208535000,1721058000,923304000,797754000,48109000,48109000,73536000,73536000,1897265000,396456000,644357000,2541622000,217340000,39392000,177948000,135524000,107359000,28165000,352864000,581671000,296179000,285492000,581671000,934535000,5092361000,-3450903000,-34371000,1607087000,1607087000,2541622000,-208535000,-10222000,79330000,-43205000,-182632000,-36058000,-4019000,-10077000,9217000,9217000,-20699000,-213408000,-213408000,-213854000,-226521000,0,-3.0873,-2.97648,-0.12976,-0.08205,5.37676,0.58151,0,-1.87385,-1.87385,0.62955,14.44092,-0.09528,7.59779,7.95685
"40","2020_Q1",115.43,"Up",71681000,-357578000,-156277000,-201301000,-298073000,30912000,7253000,7253000,23659000,-267161000,-276583000,-276185000,-276185000,-276185000,-276185000,1536162000,547178000,988984000,43011000,43011000,80343000,80343000,1715864000,425179000,679270000,2395134000,247085000,49884000,197201000,105509000,77821000,27688000,352594000,603848000,318383000,285465000,603848000,956442000,5202298000,-3727088000,-36518000,1438692000,1438692000,2395134000,-276185000,5442000,34035000,40728000.0000001,-195980000,-38805000,-175045000,-220850000,40342000,40342000,40342000,-376488000,-376488000,-376122000,-292631000,3.72529029846191e-09,-4.15833,-3.85297,-0.19197,-0.11531,4.8664,0.6648,0,-2.4709,-2.4709,0.6413,12.87132,-0.13522,5.24948,5.15364
"41","2020_Q2",134.810634920635,"Up",99476000,-296332000,-126761000,-169571000,-210158000,28512000,5480000,5480000,23032000,-181646000,-181646000,-182221000,-182221000,-182221000,-182221000,1342203000,467779000,874424000,75572000,75572000,98698000,98698000,1584773000,429814000,694851000,2279624000,223705000,40484000,183221000,115086000,86043000,29043000,338791000,591104000,306124000,284980000,591104000,929895000,5291097000,-3909309000,-32059000,1349729000,1349729000,2279624000,-182221000,7613000,20520000,-92073000,-246161000,-19617000,133305000,113688000,53869000,53869000,53869000,-78604000,-78604000,-79235000,-202545000,0,-2.11265,-1.83181,-0.13501,-0.07993,4.67773,0.68895,2.16840434497101e-19,-1.61618,-1.61618,0.88229,11.9712,-0.09389,6.62669,6.38664
"42","2020_Q3",142.10453125,"Up",103962000,-282892000,-127896000,-154996000,-198859000,20956000,-24083000,3165000,45039000,-177903000,-177903000,-179229000,-179229000,-179229000,-179229000,1925564000,580829000,1344735000,69115000,69115000,88349000,88349000,2160446000,439126000,1213921000,3374367000,237311000,26125000,211186000,146991000,107587000,39404000,384302000,1590339000,281530000,1308809000,1590339000,1974641000,5521476000,-4088538000,-33212000,1399726000,1399726000,3374367000,-179229000,8200000,28761000,6938000,-135330000,-16658000,-424272000,-441230000,197141000,197141000,689013000,112453000,112453000,112888000,-190659000,-1.86264514923096e-09,-1.9128,-1.72399,-0.12805,-0.05311,5.62174,1.41073,0,-1.55971,-1.55971,0.90471,12.18085,-0.05994,10.09952,9.68306
"43","2020_Q4",133.52515625,"Down",125853000,-329255000,-167472000,-161783000,-225199000,-27253000,-26659000,2072000,-594000,-252452000,-252452000,-253291000,-253291000,-253291000,-253291000,1833876000,496704000,1337172000,79118000,79118000,574766000,74766000,2554702000,444690000,752581000,3307283000,323132000,27872000,295260000,157109000,114601000,42508000,480241000,1612019000,265708000,1346311000,1612019000,2092260000,5594045000,-4341829000,-37193000,1215023000,1215023000,3307283000,-253291000,8573000,76466000,57926000,-110326000,-12418000,2330000,-10088000,29947000,29947000,34147000,-86267000,-86267000,-84125000,-216626000,0,-1.78938,-2.01259,-0.20847,-0.07659,5.31962,1.72199,0,-2.18351,-2.18351,1.08492,10.47416,-0.0896,8.46563,8.14336
"44","2021_Q1",150.485737704918,"Up",163562000,-334760000,-166291000,-168469000,-194222000,-49377000,-27425000,1092000,-21952000,-243599000,-243599000,-243540000,-243540000,-243540000,-243540000,1874395000,496580000,1377815000,102413000,102413000,562767000,62767000,2614777000,465029000,792284000,3407061000,407875000,51966000,355909000,177395000,127207000,50188000,585270000,1614266000,225094000,1389172000,1805544000,2390814000,5644074000,-4585369000,-43622000,1016247000,1016247000,3407061000,-243540000,10386000,95502000,14508000,-123144000,-21668000,-71220000.0000001,-97887999.9999999,19025000,19025000,217950000,-3081999.99999994,-3081999.99999994,-110000,-183836000,191278000,-1.18745,-1.48898,-0.23965,-0.07148,4.46764,2.35259,0.05614,-2.09439,-2.09439,1.4066,8.72949,-0.08631,9.15554,8.66594
"45","2021_Q2",146.460793650794,"Down",177566000,-332758000,-146859000,-185899000,-186254000,-13021000,-32065000,450000,19044000,-199275000,-199275000,-200291000,-200291000,-200291000,-200291000,1709537000,379543000,1329994000,110626000,110626000,575980000,75980000,2470083000,464572000,785186000,3255269000,325908000,45381000,280527000,168917000,116340000,52577000,494825000,1642664000,208123000,1434541000,1834254000,2329079000,5748567000,-4785660000,-36717000,926190000,926190000,3255269000,-200291000,12601000,77896000,-125866000,-235660000,-17178000,82078000,71352000,46977000,46977000,51177000,-113131000,-113131000,-117041000,-173653000,191590000,-1.04893,-1.12798,-0.21625,-0.06153,4.99183,2.51469,0.05886,-1.71072,-1.71072,1.51662,7.91074,-0.07256,8.74127,8.14988
"46","2021_Q3",187.58171875,"Up",220553000,-327958000,-145323000,-182635000,-146160000,-42171000,-33866000,-450000,-8305000,-188331000,-188331000,-189559000,-189559000,-189559000,-189559000,1900082000,745767000,1154315000,146587000,146587000,594136000,94136000,2725163000,470700000,784266000,3509429000,394266000,53079000,341187000,160382000,98144000,62238000,554648000,1668268000,202391000,1465877000,2101419000,2656067000,5864662000,-4975219000,-36081000,853362000,853362000,3509429000,-189559000,11805000,77279000,-21381000,-121856000,-11246000,179085000,157024000,81861000,81861000,329811000,364979000,364979000,366060000,-134355000,433151000,-0.6627,-0.85947,-0.22213,-0.05401,4.91332,3.11247,0.12342,-1.61906,-1.61906,1.88378,7.28871,-0.06415,10.91832,10.03647
"47","2021_Q4",185.8578125,"Down",187633000,-336647000,-142075000,-194572000,-181677000,-22559000,-40274000,420957.596017836,17715000,-204236000,-204236000,-204514000,-204514000,-204514000,-204514000,2327865000,1093991000,1233874000,141064000,141064000,108534000,108534000,2675362000,484941000,796951000,3472313000,428624000,40048000,388576000,182032000,115044000,66988000,610656000,1671965000,177123000,1494842000,2105764000,2716420000,5969856000,-5179733000,-34230000,755893000,755893000,3472313000,-204514000,11786000,59157000,-465000,-134036000,-26062000,-88349000,-88271000,72389000,72389000,573839000,351532000,351532000,348393000,-169891000,433799000,-0.96826,-1.08997,-0.27056,-0.0589,4.38113,3.59366,0.12493,-1.7331,-1.7331,1.59004,6.4056,-0.07147,11.14871,10.42546
"48","2022_Q1",152.350806451613,"Down",258535000,-415432000,-186382000,-229050000,-194561000,-65741000,-35237000,1579000,-30504000,-260302000,-260302000,-258460000,-258460000,-258460000,-258460000,2435564000,819975000,1615589000,198571000,198571000,88078000,88078000,2808576000,501958000,834728000,3643304000,468600000,73426000,395174000,227110000,149483000,77627000,695710000,1683694000,152360000,1531334000,2359391000,3055101000,6059655000,-5438193000,-33259000,588203000,588203000,3643304000,-258460000,11375000,112055000,-15111000,-150141000,-21886000,-407519000,-413405000,45041000,45041000,292291000,-271255000,-271255000,-274305000,-183186000,675697000,-0.75255,-0.99971,-0.43941,-0.07094,4.03699,5.19396,0.18546,-2.10903,-2.10903,2.10965,4.79974,-0.08769,9.607,9.04532
"49","2022_Q2",141.865806451613,"Down",213259000,-324364000,-154471000,-169893000,-146732000,-92624000,-41350000,1012000,-51274000,-239356000,-239356000,-240341000,-240341000,-240341000,-240341000,2239563000,534081000,1705482000,156533000,156533000,115065000,115065000,2589677000,504389000,843868000,3433545000,410852000,54916000,355936000,195111000,131838000,63273000,605963000,1749706000,157668000,1592038000,2426416000,3032379000,6117765000,-5678534000,-38065000,401166000,401166000,3433545000,-240341000,9460000,119651000,-59963000,-171193000,-17859000,-138885000,-147419000,27123000,27123000,34956000,-283656000,-283656000,-285894000,-137272000,676710000,-0.68805,-1.12699,-0.59911,-0.07,4.27366,7.55891,0.19709,-2.00664,-2.00664,1.78053,3.34939,-0.085,11.38508,10.65107
"50","2022_Q3",190.73796875,"Up",224818000,-375696000,-169984000,-205712000,-191686000,-82987000,-43621000,-1012000,-39366000,-274673000,-274673000,-277402000,-277402000,-277402000,-277402000,2110613000,575558000,1535055000,142271000,142271000,129778000,129778000,2471638000,508201000,858779000,3330417000,473661000,52418000,421243000,184024000,114292000,69732000,657685000,1818969000,175341000,1643628000,2496692000,3154377000,6174200000,-5955936000,-42224000,176040000,176040000,3330417000,-277402000,10097000,111055000,33431000,-122819000,-16055000,176748000,142793000,22503000,22503000,30337000,50311000,50311000,41476000,-181589000,677723000,-0.85263,-1.2339,-1.57579,-0.08329,3.75809,17.91852,0.20349,-2.29455,-2.29455,1.8596,1.45613,-0.10379,7.89084,7.47519
