"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",15.0329508196721,"Up",135499000,-80165000,55334000,-36481000,-15879000,-6227000,-14375000,18853000,-3602000,-4292000,690000,15251000,15251000,-2104000,13147000,13147000,13147000,13147000,4983000,4983000,21384000,3134000,11788000,11788000,41289000,139856000,139856000,142637000,57109000,38269000,30314000,282493000,323782000,32487000,32487000,59246000,59246000,94901000,286054000,40187000,40187000,326241000,421142000,595243000,-334661000,-2316000,-97360000,-97360000,323782000,13147000,6227000,3628000,11742000,34744000,-5253000,-2106000,-7359000,-3655000,-16617000,482000,-17099000,-3793000,-24065000,3320000,3320000,3320000,25080000,289222000,33673000,0.40837,0.13914,0.09703,-0.13503,0.0406,2.56127,0.43507,-4.32562,0.89326,0.20219,0.19483,2.08386,-1.49732,0.51786,0.05666,0.14511,11.33329,15.07659
"31","2018_Q2",15.89359375,"Up",155273000,-100364000,54909000,-38484000,-16560000,-6514000,-15410000,16425000,-4837000,-4625000,-212000,11588000,11588000,-1829000,9759000,9759000,9759000,9759000,3919000,3919000,19512000,3101000,9048000,9048000,35580000,141357000,141357000,156652000,61628000,39843000,32887000,298009000,333589000,25411000,25411000,51707000,51707000,80244000,310734000,64026000,64026000,374760000,455004000,596152000,-340348000,-5407000,-121415000,-121415000,333589000,9759000,6514000,2980000,-15803000,3450000,-4148000,-9489000,-13637000,22177000,-14678000,1013000,-15691000,1624000,9123000,-1064000,-1064000,-1064000,22939000,313860000,4817000,0.35363,0.10578,0.06285,-0.08038,0.02925,0.4936,0.4434,-3.74751,0.94086,0.15146,0.14577,2.40987,-1.88439,0.07476,0.03805,0.01878,13.51153,18.87008
"32","2018_Q3",15.1112698412698,"Down",157334000,-100603000,56731000,-37771000,-15597000,-6691000,-15483000,18960000,-4756000,-5385000,629000,14204000,14204000,-2578000,11626000,11626000,11626000,11626000,3750000,3750000,18975000,3096000,12040000,12040000,37861000,142645000,142645000,154053000,60851000,39843000,34026000,296698000,334559000,26095000,26095000,53218000,53218000,82405000,309945000,60086000,60086000,370031000,452436000,597332000,-328722000,-2017000,-117877000,-117877000,334559000,11626000,6691000,3441000,888000,22646000,-5364000,-1457000,-6821000,-820000.000000007,-13273000,0,-13273000,-1901000,-15994000,-169000,-169000,-169000,25651000,313037000,23753000,0.36058,0.12051,0.07389,-0.09863,0.03475,2.04309,0.45945,-3.8382,0.93567,0.18267,0.17573,2.47209,-1.85213,0.37322,0.04555,0.09306,12.0575,16.31261
"33","2018_Q4",15.7306349206349,"Up",158023000,-100601000,57422000,-38953000,-15981000,-6760000,-16212000,18469000,-4854000,-5314000,460000,13615000,13615000,-2810000,10805000,10805000,10805000,10805000,3580000,1871000,17186000,3051000,10688000,10495000,34505000,143459000,143459000,150794000,59907000,39843000,35449000,294253000,328758000,20327000,20327000,53911000,53911000,77520000,305305000,55913000,55913000,361218000,438738000,598429000,-317917000,2541000,-109980000,-109980000,328758000,10805000,6760000,4195000,-1597000,20163000,-7782000,1452000,-8039000,-4786000,-8099000,45000,-8144000,-1118000,-14003000,-1879000,-1879000,-1879000,25229000,308587000,18660000,0.36338,0.11688,0.06838,-0.09825,0.03287,1.72698,0.44511,-3.98925,0.93864,0.17084,0.16556,2.49855,-1.73892,0.29504,0.04245,0.07331,12.08954,16.51454
"34","2019_Q1",17.7432786885246,"Up",159549000,13494000,173043000,-38987000,-15690000,-7074000,-16223000,134056000,-6917000,-5421000,-1496000,127139000,12843000,-1340000,11503000,11503000,11503000,11503000,6735000,5026000,26283000,2993000,11589000,10866000,47600000,117251000,117251000,170498000,59067000,39781000,54317000,287749000,335349000,29527000,29527000,65200000,65200000,94727000,286500000,87467000,87467000,373967000,468694000,594030000,-306414000,-4146000,-133345000,-133345000,335349000,11503000,7074000,4783000,4071000,27431000,-4731000,11618000,-3520000,7748000,-23962000,167000,-24129000,-4542000,-20756000,3155000,3155000,3155000,141130000,286500000,141810000,1.08458,0.84022,0.0721,-0.08626,0.0343,12.32809,0.5025,-3.5149,0.85433,0.18513,0.18007,2.56782,-2.14609,2.28233,0.04781,0.58935,1.98232,2.08693
"35","2019_Q2",19.2328571428571,"Up",151411000,-96579000,54832000,-30701000,-18811000,-6233000,-5657000,24131000,-3984000,-5407000,1423000,20147000,20147000,-4657000,15490000,15490000,15490000,15490000,4945000,1897000,18304000,2872000,22918000,7962000,49039000,108844000,108844000,264449000,56631000,38124000,149077000,373293000,422332000,28584000,28584000,70991000,70991000,99575000,283500000,179478000,179478000,462978000,562553000,599915000,-291318000,-16299000,-140221000,-140221000,422332000,15490000,6233000,-5167000,-4088000,12468000,-3109000,3062000,-1347000,-3795000,-7982000,107000,-8089000,-2473000,-14250000,-3129000,-3129000,-3129000,30364000,283500000,27824000,0.36214,0.15937,0.1023,-0.11047,0.03668,1.79626,0.49248,-4.0119,0.67127,0.25125,0.24324,2.45594,-2.27443,0.45131,0.04799,0.08621,9.17386,11.54345
"36","2019_Q3",22.4259375,"Up",151884000,-94598000,57286000,-11171000,-18453000,-5048000,12330000,46115000,-5109000,-5382000,273000,41006000,41006000,-6767000,34239000,34239000,34239000,34239000,5407000,2292000,18628000,2347000,31035000,15615000,57417000,97047000,97047000,284272000,55736000,37080000,170608000,381319000,438736000,25237000,25237000,73492000,73492000,98729000,2.71e+08,211579000,211579000,482579000,581308000,602995000,-257079000,-26913000,-142572000,-142572000,438736000,34239000,5048000,-20176000,-6424000,12687000,-3668000,35990000,32322000,-13252000,-28734000,443000,-29177000,-2628000,-44614000,395000.000000001,395000.000000001,395000.000000001,51163000,2.71e+08,47838000,0.37717,0.30362,0.22543,-0.24015,0.07804,1.39718,0.58156,-4.07729,0.61768,0.56791,0.55055,2.51927,-2.36481,0.79348,0.1007,0.1407,5.19111,5.75936
"37","2019_Q4",20.59359375,"Down",124258000,-74817000,49441000,18733000,-16395000,-4338000,39466000,68174000,-3773000,-4188000,415000,64401000,64401000,-15279000,49122000,49122000,49122000,49122000,5208000,2020000,19903000,1468000,12453000,11034000,39032000,98540000,98540000,303859000,54591000,36884000,190961000,402399000,441431000,17705000,17705000,70148000,70148000,87853000,2.13e+08,259324000,259324000,472324000,560177000,605500000,-207957000,-41907000,-118746000,-118746000,441431000,49122000,4338000,-43260000,-3329000,6871000,-5869000,70529000,64660000,-58497000,-12967000,416000,-13383000,-339000,-71803000,-272000,-272000,-272000,72512000,2.13e+08,78593000,0.39789,0.54865,0.39532,-0.41367,0.11128,1.59996,0.44429,-4.71744,0.48252,0.82654,0.80218,2.09079,-1.99805,1.32242,0.13893,0.22228,2.86562,3.04797
"38","2020_Q1",16.9732258064516,"Down",113836000,-66471000,47365000,-20802000,-15359000,-4227000,-1216000,26563000,-2918000,-3570000,652000,23645000,23645000,-5086000,18559000,18559000,18559000,18559000,7021000,3372000,27488000,1325000,16899000,14974000,52733000,97626000,97626000,310028000,53956000,36832000,204522000,407654000,460387000,20256000,20256000,75325000,75325000,95581000,2.4e+08,262870000,262870000,502870000,598451000,605074000,-189398000,-33960000,-138064000,-138064000,460387000,18559000,4227000,-2388999.99999999,-9096000,11301000,117072000,-107278000,9334000,26580000,-43805000,5000,-43810000,-2058000,-19283000,1352000,1352000,1352000,30790000,2.4e+08,143852000,0.41608,0.23334,0.16303,-0.13442,0.04031,7.75106,0.55171,-4.33459,0.5213,0.31776,0.30818,1.94908,-2.36391,2.46301,0.05087,0.39432,7.56671,8.77081
"39","2020_Q2",10.2652380952381,"Down",96695000,-59569000,37126000,-19080000,-7742000,-4146000,-7192000,18046000,-6714000,-3951000,-2763000,11332000,11332000,-2319000,9013000,9013000,9013000,9013000,44383000,39218000,15136000,1202000,10863000,10863000,71584000,97077000,97077000,315472000,53270000,36884000,196319000,412549000,484133000,12009000,12009000,54029000,54029000,66038000,3.18e+08,300587000,300587000,618587000,684625000,600498000,-180385000,-66632000,-200492000,-200492000,484133000,9013000,4146000,-2577000,-8681000,1901000,-2818000,62000,-4156000,77594000,-36008000,-21769777.0092634,-36008000,-3485000,38101000,35846000,35846000,35846000,22192000,3.18e+08,13012000,0.38395,0.18663,0.09321,-0.04495,0.01862,1.44369,1.08398,-3.41472,0.65684,0.16009,0.15511,1.7175,-3.56114,0.23112,0.02156,0.03112,12.32953,15.1622
"40","2020_Q3",10.0025,"Down",40161000,-30316000,9845000,-23372000,-13153000,-4058000,-6161000,-13527000,-14512000,-4947000,-9565000,-28039000,-28039000,5074000,-22965000,-22965000,-22965000,-22965000,23317000,21077000,19049000,1107000,19540000,17567000,63013000,93759000,93759000,311931000,52681000,36884000,193769000,405690000,468703000,18901000,18901000,57856000,57856000,76757000,3.07e+08,302453000,302453000,609453000,686210000,602033000,-203350000,-62217000,-217507000,-217507000,468703000,-22965000,4058000,13714000,-4666000,-9859000,-1658000.00000001,371999.999999985,3822000,-11188000,66000,65999.9999999925,0,-982000,-12104000,-18141000,-18141000,-18141000,-9469000,3.07e+08,-20867000,0.24514,-0.33682,-0.57182,0.10558,-0.049,0.908639999999999,0.82094,-3.15489,0.655,-0.4124,-0.42622,0.7212,-3.90595,-0.37473,-0.05859,-0.05324,-29.95913,-20.97161
"41","2020_Q4",11.449375,"Up",71644000,-45742000,25902000,-22662000,-13694000,-4048000,-4920000,3240000,4055000,-4422000,8477000,7295000,7295000,-818000,6477000,6477000,6477000,6477000,13483000,11217000,20637000,1017000,22044000,18838000,57181000,89466000,89466000,304150000,52100000,36884000,188119000,393616000,450797000,10898000,10898000,61562000,61562000,72460000,2.3e+08,286708000,286708000,516708000,589168000,673680000,-196873000,-61205000,-138371000,-138371000,450797000,6477000,4048000,-4649000,-9528000,-3652000,3536000,281000,1609000,-77521000,69717000,69717000,0,-13000,-7817000,-9860000,-9860000,-9860000,7288000,2.3e+08,2114000,0.36154,0.04522,0.09041,-0.04681,0.01437,0.32639,0.78914,-4.25789,0.51021,0.09804,0.09804,1.08446,-2.0945,0.032,0.01712,0.00559,29.7087,66.82623
"42","2021_Q1",17.0072131147541,"Up",80105000,-51462000,28643000,-29723000,-20451000,-3909000,-5363000,-1080000,3377000,-4645000,8022000,2297000,2297000,62000,2359000,2359000,2359000,2359000,6164000,3892000,21349000,1181000,19972000,18847000,48666000,86154000,86154000,296129000,51559000,36884000,184476000,382283000,430949000,12021000,12021000,65157000,65157000,77178000,2.1e+08,274217000,274217000,484217000,561395000,124473000,-194514000,-60405000,-130446000,-130446000,430949000,2359000,3909000,3021000,-816000,8473000,3376000,0,3376000,-20455000,214999.999999985,214999.999999985,9.31322574615479e-10,1066000,-19174000,-7325000,-7325000,-7325000,2829000,2.1e+08,5327000,0.35757,-0.01348,0.02945,-0.01808,0.00547,2.25816,0.63057,-4.30366,0.4873,0.03618,0.0361800000000001,1.22864,-2.00077,0.0817,0.00667000000000001,0.01506,72.05232,-188.73704
"43","2021_Q2",17.4968253968254,"Up",80576000,-47845000,32731000,-27217000,-16947000,-3661000,-6609000,5514000,25771000,-4277000,30048000,31285000,31285000,-8104000,23181000,23181000,23181000,23181000,16572000,14508000,20821000,1169000,15172000,13552000,53734000,83963000,83963000,285228000,51226000,36884000,179066000,369191000,422925000,10632000,10632000,65187000,65187000,75819000,2.15e+08,234178000,234178000,449178000,524997000,126591000,-171333000,-57330000,-102072000,-102072000,422925000,23181000,3661000,-21244000,4637000,10235000,-1583000,1563000,180000,4527000,116000,116000,4696247.15537543,-4442000,201000,10616000,10616000,10616000,9175000,2.15e+08,20333000,0.40621,0.06843,0.28769,-0.2271,0.05481,0.87714,0.70871,-5.1434,0.50836,0.35526,0.35257,1.23486,-1.5643,0.31161,0.06678,0.05858,21.62703,35.98622
"44","2021_Q3",15.70203125,"Down",106165000,-59996000,46169000,-27884000,-17548000,-3897000,-6439000,18285000,-20317000,-4066000,-16251000,-2032000,-2032000,1204000,-828000,-828000,-828000,-828000,12951000,10882000,20407000,1280000,13789000,12168000,48427000,82490000,82490000,287430000,50892000,36884000,179800000,369920000,418347000,14376000,14376000,73236000,73236000,87612000,1.8e+08,250158000,250158000,430158000,517770000,129818000,-172161000,-57080000,-99423000,-99423000,418347000,-828000,3897000,18847000,11220000,33136000,-1525000,338000,-1187000,-35507000,0,0,5328163.48733483,-68000,-35575000,-3626000,-3626000,-3626000,22182000,1.8e+08,30673000,0.43488,0.17223,-0.00779999999999997,0.00833,-0.00198000000000002,-37.04469,0.55274,-5.20775,0.43026,-0.01269,-0.0125899999999999,1.62702,-1.5237,0.47008,-0.00250000000000003,0.09274,7.53084,9.13585
"45","2021_Q4",15.3109375,"Down",103794000,-59316000,44478000,-26826000,-16497000,-3822000,-6507000,17652000,-1303000,-3671000,2368000,16349000,16349000,-4084000,12265000,12265000,12265000,12265000,12285000,10203000,16903000,1230000,16177000,14550000,46595000,81897000,81897000,282532000,50559000,36884000,177020000,364429000,411024000,15152000,15152000,74908000,74908000,90060000,1.7e+08,240601000,240601000,410601000,500661000,133078000,-159896000,-56256000,-89637000,-89637000,411024000,12265000,3822000,2638000,1133000,19858000,-2213000,308000,-1905000,-10603000,-6228000,0,-6228000,-1801000,-18632000,-679000,-679000,-679000,21474000,1.7e+08,24478000,0.42852,0.17007,0.11817,-0.13683,0.02984,1.99576,0.51738,-5.58543,0.4136,0.1875,0.18636,1.58675,-1.37032,0.37421,0.03821,0.07626,7.34446,8.93468
"46","2022_Q1",15.2298387096774,"Down",107639000,-61964000,45675000,16949000,-17694000,-4066000,38709000,62624000,-4123000,-3134000,-989000,58501000,58501000,-15046000,43455000,43455000,43455000,43455000,33175000,30624000,19621000,5060000,11393000,11393000,69249000,91176000,91176000,275102000,50226000,36884000,176490000,366278000,435527000,15595000,15595000,81927000,81927000,97522000,1.7e+08,233270000,233270000,403270000,500792000,136238000,-116441000,-54470000,-65265000,-65265000,435527000,43455000,4066000,-35704000,1127000,12944000,37695000,-5269000,31926000,-534999.999999996,-23731000,0,-23731000,-183000,-24449000,20421000,20421000,20421000,66690000,1.7e+08,120558000,0.42434,0.5818,0.40371,-0.66582,0.09978,2.77432,0.71009,-7.67321,0.39033,0.66294,0.65967,1.64212,-0.99567,1.8392,0.12856,0.35668,2.05166,2.18487
"47","2022_Q2",11.0364516129032,"Down",103107000,-62239000,40868000,-27561000,-16958000,-3548000,-7055000,13307000,16655000,-2960000,19615000,29962000,29962000,-8107000,21855000,21855000,21855000,21855000,9778000,6091000,23161000,9829000,9263000,7941000,52031000,89878000,89878000,259485000,49892000,36884000,167570000,349363000,401394000,12998000,12998000,65892000,65892000,78890000,171500000,198759000,198759000,370259000,449149000,137977000,-94586000,-48689000,-47755000,-47755000,401394000,21855000,3548000,-11555000,-20912000,-7064000,-2778000,175000,-3803000,997000,-12498000,-2795468.64912649,-12498000,-2165000,-13666000,-24533000,-24533000,-24533000,16855000,171500000,1272000,0.39636,0.12906,0.21196,-0.45765,0.05445,0.0582,0.65954,-9.40528,0.42726,0.33393,0.332,1.57543,-0.72967,0.01944,0.06777,0.00394,9.5949,12.15315
"48","2022_Q3",9.5925,"Down",115017000,-70551000,44466000,-30601000,-16623000,-3590000,-10388000,13865000,16917000,-2878000,19795000,30782000,30782000,-7779000,23003000,23003000,23003000,23003000,4889000,1360000,23193000,12208000,9148000,7829000,49438000,92934000,92934000,250446000,49581000,36884000,163981000,343380000,392818000,16675000,16675000,73627000,73627000,90302000,1.87e+08,174224000,172230000,361224000,451526000,138997000,-71583000,-46281000,-58708000,-58708000,392818000,23003000,3590000,-10673000,753000,16673000,-2993000,121000.000000001,-2872000,14985000,-33751000,-8502405.94737948,-33751000,234000,-18532000,-4731000,-4731000,-4731000,17455000,1.87e+08,22994000,0.3866,0.12055,0.2,-0.39182,0.05856,0.99961,0.54747,-7.69105,0.47605,0.36919,0.36846,1.846,-0.94225,0.36905,0.07604,0.0760100000000001,10.43317,13.13458
