"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2020_Q2",6.56507936507936,"Down",774313000,-103270000,671043000,-350451000,-40465000.0000001,-132319000,-177667000,320592000,-24775000,-84361000,61347000,-1761000,295817000,-293680000,4280000,-289400000,-289400000,32873000,-256527000,-256527000,152282000,152282000,257239000,81027000,81027000,490548000,8986731000,1549989000,881730000,4783000,76465000,11418450000,11908998000,438541000,219628000,218913000,449725000,8088761000,578227000,16731000,561496000,8666988000,9116713000,2684136000,2659146000,133139000,2792285000,11908998000,-289400000,132319000,596471000,-46079000,393311000,-172816000,-172816000,-172816000,-178724000,-281786000,116034000,3485000.00000001,-162267000,52320000,52320000,52320000,452911000,8099945000,229736000,0.86663,0.41403,-0.3313,-0.09187,-0.02154,-0.89556,1.09077,3.26497,0.68015,-0.5778,-0.5778,1.74406,5.98946,0.51746,0.63469,0.00219999999999999,0.02003,-1.09847,17.54796,24.79058
"31","2020_Q3",7.36140625,"Up",671755000,-18602000,653153000,-320809000,-36423000,-119805000,-164581000,332344000,-34361000,-90429000,54415000,1653000,297983000,286385000,-5044000,281341000,281341000,-8304000,273037000,273037000,59738000,59738000,460318000,39107000,39107000,559163000,8914716000,1539528000,939836000,4783000,142496000,11394080000,11953243000,452427000,181563000,270864000,891046000,7544396000,582284000,19698000,562586000,8126680000,9017726000,2820327000,2797980000,137537000,2935517000,11953243000,281341000,119805000,16972000,-72430000,345688000,-140249000,-140249000,-140249000,-176277000,-140893000,-117696000,-3366000,-261955000,-92544000,-92544000,-92544000,452149000,7983015000,244514000,0.97231,0.49474,0.40645,0.09301,0.02284,0.89553,0.62754,3.07194,0.66785,0.61499,0.61499,1.51305,6.30214,0.55074,0.31735,0.03599,0.02126,0.51602,17.5236,23.84059
"32","2020_Q4",9.7478125,"Up",679044000,-31739000,647305000,-323144000,-475565000,-132564000,284985000,324161000,-30545000,-92285000,61026000,714000,293616000,259840000,-3028000,256812000,256812000,-2098000.00000001,254714000,254714000,138045000,138045000,451784000,54104000,54104000,643933000,8825139000,1242557000,978046000,4783000,188937000,11045742000,11689675000,398667000,164417000,234250000,837429000,7440394000,621396000,21292000,600104000,8061790000,8899219000,2674682000,2654650000,135806000,2790456000,11689675000,254135000,132564000,38868999.9999999,-32674000,392894000,-59197000,-59197000,-59197000,-71669000,-140900000,-96864000,-5154000,-242918000,78307000,78307000,78307000,456725000,7879156000,367882000,0.95326,0.47738,0.37511,0.09128,0.02179,1.44429,0.76894,3.18916,0.67403,0.5804,0.5804,1.5473,6.04901,0.83827,0.32106,0.03504,0.03258,0.55317,16.94917,23.88045
"33","2021_Q1",14.7872131147541,"Up",647480000,-34477000,613003000,-301665000,-184190000,-106398000,-11077000,311338000,-50866000,-101247000,49962000,419000,260472000,270305000,-2206000,268099000,268099000,-12311000,255788000,255788000,444922000,444922000,452880000,45262000,45262000,943064000,8709945000,1224813000,952205000,4783000,171013000,10886963000,11830027000,522065000,210691000,311374000,960935000,7415832000,558048000,22195000,535853000,7973880000,8934815000,2778339000,2761131000,134081000,2895212000,11830027000,270776000,106398000,1597000,126754000,505525000,-31007000,-51340000,-51340000,-21584000,-132255000,-3490000,-41319000,-177064000,306877000,306877000,306877000,417736000,7854702000,515689000,0.94675,0.48085,0.39505,0.08835,0.02162,2.01608,0.9814,3.08607,0.66396,0.61574,0.61574,1.55863,6.64668,1.24138,0.31837,0.03432,0.0456,0.51705,17.73795,23.79979
"34","2021_Q2",18.3225396825397,"Up",674974000,-88969000,586005000,-330385000,-185448000,-130553000,-14384000,255620000,-47535000,-98493000,52165000,-1207000,208085000,192347000,-1112000,191235000,191235000,-5444000,185791000,185791000,56375999.9999999,56375999.9999999,480705000,74079000,74079000,611160000,8639538000,1215875000,968470000,4783000,195195000,10823883000,11435043000,482510000,226715000,255795000,490262000,7416001000,586660000,22752000,563908000,8002661000,8492923000,2821455000,2805422000,136698000,2942120000,11435043000,191235000,130553000,22011000,-82249000,261550000,-61783000,-61783000,-61783000,-46472000,-131265000,-453102000,-3016000,-603624000,-388546000,-388546000,-388546000,386173000,7423753000,243253000,0.86819,0.37871,0.27526,0.06315,0.01625,1.30928,1.2466,2.88667,0.64921,0.44974,0.44974,1.63391,6.79108,0.58884,0.31775,0.02895,0.02221,0.70652,19.07792,28.8216
"35","2021_Q3",17.878125,"Down",719131000,-78044000,641087000,-353292000,-197476000,-137849000,-17967000,287795000,-36540000,-95290000,58666000,84000,251255000,239742000,-1465000,238277000,238277000,-7018000,231259000,231259000,305573000,305573000,519116000,61562000,61562000,886251000,8589965000,1195456000,954627000,4783000,189268000,10740048000,11626299000,538298000,246790000,291508000,1126671000,6835838000,610917000,23468000,587449000,7446755000,8573426000,2927066000,2913143000,139730000,3052873000,11626299000,238277000,137849000,24343000,59298000,459767000,-70142000,-78145000,-78145000,-67588000,-132969000,-7085000,-2928000,-142982000,249197000,249197000,249197000,425644000,7424211000,416265000,0.89147,0.4002,0.32158,0.07575,0.01989,1.79999,0.78661,2.80831,0.63857,0.55981,0.55981,1.7408,7.05184,1.00765,0.32188,0.03285,0.03754,0.57498,16.72439,24.7351
"36","2021_Q4",19.4784375,"Up",763840000,-83232000,680608000,-343890000,-191247000,-139002000,-13641000,336718000,-44641000,-93257000,48506000,110000,292077000,265464000,-1826000,263638000,263638000,-7913000,255725000,255725000,92863000.0000001,92863000.0000001,583652000,70907000,70907000,747422000,8524081000,1181181000,957406000,4783000,199964000,10662668000,11410090000,576712000,382406000,194306000,1303141000,6399874000,615716000,24470000,591246000,7015590000,8318731000,3057945000,3057945000,33414000,3091359000,11410090000,263638000,139002000,41973000,-62860000,381753000,-79830000,-82604941.2446082,-82604941.2446082,-71303000,264234000,-284536000,-512100000,-516161000,-205711000,-205711000,-205711000,475720000,7126303000,334856000,0.89103,0.44082,0.33479,0.08272,0.02241,1.30944,0.57355,2.69096,0.62456,0.62083,0.61962,1.85439,7.42384,0.81294,-0.64149,-0.000790000000000006,0.03091,-1.03327,14.78483,20.88822
"37","2022_Q1",22.7988709677419,"Up",719210000,-72040000,647170000,-365178000,-202678000,-144225000,-18275000,281992000,-43774000,-89472000,45308000,390000,238218000,236639000,14210000,250849000,250849000,-7332000,243517000,243517000,201999000,201999000,436513000,46252000,46252000,684764000,8512907000,1167187000,908221000,4783000,158696000,10588315000,11273079000,634265000,326061000,308204000,1140197000,6400616000,636506000,12425000,624081000,7037122000,8177319000,2958073000,2958073000,137687000,3095760000,11273079000,250849000,144225000,1788000,266920000,663782000,-93817000,-80053444.428387,-80053444.428387,-72175000,-533758000,-229874000,274162000,-489470000,102137000,102137000,102137000,426217000,6906548000,585110000,0.89983,0.39209,0.33859,0.07866,0.0216,2.40275,0.60057,2.64146,0.61266,0.59119,0.59004,1.74604,7.18138,1.42048,1.29582,0.07306,0.055,2.19187,15.73037,23.77567
"38","2022_Q2",24.0866129032258,"Up",758297000,-72848000,685449000,-330602000,-177578000,-134582000,-18442000,354847000,-35742000,-85455000,49607000,106000,319105000,319475000,-1805000,317670000,317670000,-8953000,308717000,308717000,248249000,248249000,601647000,56397000,56397000,906293000,8475196000,1163069000,901315000,4783000,159707000,10539580000,11445873000,618973000,395893000,223080000,1337126000,6188750000,649190000,13557000,635633000,6837940000,8175066000,3134018000,3128956000,141851000,3270807000,11445873000,317670000,134582000,6550000,-182344000,276458000,-83588000,-83971000,-83971000,-71617000,-134749000,-7088000,-11604999.9999999,-158591000,46250000.0000001,46250000.0000001,46250000.0000001,489429000,6906903000,225302000,0.90393,0.46795,0.40712,0.09439,0.02697,0.7298,0.67779,2.4994,0.60344,0.75812,0.75582,1.86217,7.68385,0.55328,0.33091,0.04096,0.02081,0.43648,13.60494,18.76486
"39","2022_Q3",25.63140625,"Up",876419000,-148556000,727863000,-377699000,-216001000,-139036000,-22662000,350164000,-32353000,-80772000,48464000,-45000,317811000,316662000,-1491000,315171000,315171000,-8854000,306317000,306317000,97434000,97434000,716343000,49666000,49666000,863443000,8477567000,1148487000,899362000,4783000,165671000,10525416000,11388859000,752064000,492979000,259085000,754677000,6656123000,673056000,14345000,658711000,7329179000,8083856000,3164328000,3161503000,143500000,3305003000,11388859000,315171000,139036000,12985000,-1264000,465928000,-106673000,-107386000,-107386000,-98277000,-206197000,-229412000,-8789000,-518466000,-150815000,-150815000,-150815000,489200000,6658736000,382754000,0.8305,0.39954,0.34951,0.09268,0.0269,1.24954,1.14412,2.44595,0.58467,0.76004,0.75791,2.17459,7.8444,0.9497,0.51162,0.04818,0.03598,0.67315,13.41231,18.7378
