"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",25.8314285714286,"Up",1535726000,-670883000,864843000,-169221000,-119552000,-49669000,695622000,68965000,-41089000,110054000,764587000,764587000,-29608000,734979000,734979000,-397572000,337407000,337407000,1745547000,1745547000,1109316000,1109316000,3237607000,3237607000,6092470000,20549367000,3486094000,240677000,1718519000,1292723000,234175000,24035461000,30127931000,15369606000,1739358000,13630248000,1501326000,1501326000,16870932000,16870932000,6558159000,-47479000,6510680000,6746319000,13256999000,30127931000,734979000,10963000,-528471000,-1192072000,-974601000,-3656000,-3656000,-3656000,-3656000,1551628000,-1088657000,462971000,-515286000,-515286000,56234000,-459052000,706585000,0,-459535000,0.56315,0.45296,0.21971,0.02545,0.0112,-1.36196,0.36112,1.27261,0,0.50761,0.28117,2.3104,9.79489,-0.69134,0.02545,-0.03466,-2.4704,-2.50933
"31","2017_Q4",25.9019047619048,"Up",1735358000,-715580000,1019778000,-147386000,-121036000,-26350000,872392000,21903000,-41545000,63448000,894295000,894295000,-59512000,834783000,834783000,-456863000,377920000,377920000,1315687000,1315687000,906315000,906315000,3692481000,3692481000,5914483000,22385192000,3462312000,229713000,1718519000,1260907000,253173000,25847504000,31761987000,16800441000,1395030000,15405411000,1499924000,1499924000,18300365000,18300365000,6620434000,-34421000,6586013000,6875609000,13461622000,31761987000,834783000,10964000,-778834000,-875662000,-808749000,-6742000,-6742000,-6742000,-6742000,1256562000,-758166000,498396000,-317095000,-317095000,33528000,-283567000,883356000,0,60464000,0.58765,0.50272,0.21778,0.02807,0.0119,0.15999,0.32319,1.35945,0,0.5663,0.31473,2.60036,9.86886,0.0906,0.02807,0.00448999999999999,-1.48942,-1.50814
"32","2018_Q1",27.6170491803279,"Up",1933251000,-796287000,1136964000,-149034000,-116342000,-32692000,987930000,411212000,-74606000,485818000,1399142000,1399142000,-596590000,802552000,802552000,-498958000,303594000,303594000,1992497000,1992497000,875018000,875018000,3957668000,3957668000,6825183000,24434049000,3156687000,409828000,1778192000,725970000,242697000,27590736000,34415919000,19482450000,2043522000,17438928000,1210378000,1210378000,20692828000,20692828000,6668511000,-34018000,6634493000,7088598000,13723091000,34415919000,803540000,13885000,-1079778000,-133173000,-395526000,-3942000,-3942000,-3942000,-172855000,2154367000,2185463000,1497248000,928867000,928867000,18134000,947001000,1001815000,0,1461290000,0.58811,0.51102,0.15704,0.02212,0.00882,4.8133,0.32983,1.50788,0,0.45393,0.45568,2.89055,9.91973,2.18488,0.22926,0.10648,-1.98889,-2.01684
"33","2018_Q2",26.28421875,"Down",1769131000,-762562000,1006569000,-181698000,-126713000,-54985000,824871000,71928000,-38671000,110599000,896799000,896799000,-54495000,842304000,842304000,-474432000,367872000,367872000,1746948000,1746948000,738912000,738912000,2555578000,2555578000,5041438000,19763563000,3128374000,395336000,1778192000,718440000,236406000,22891937000,27933375000,13168240000,1252231000,11916009000,1240326000,1240326000,14408566000,14408566000,6541409000,-27203000,6514206000,7010603000,13524809000,27933375000,842304000,14492000,-2050714000,-575915000,-1769833000,-4686000,-4686000,-4686000,-4686000,1243716000,-976924000,266792000,-1507727000,-1507727000,21368000,-1486359000,839363000,0,313257000,0.56896,0.46626,0.20794,0.0272,0.01317,0.85154,0.34989,1.06534,0,0.54542,0.30388,2.62296,9.65813,0.46444,0.0272,0.02316,-2.08128,-2.11784
"34","2018_Q3",30.2906349206349,"Up",2632570000,-813611000,1818959000,-163450000,-145828000,-17622000,1655509000,34199000.0000001,-39320000,73519000,1689708000,1689708000,-138731000,1550977000,1550977000,-808935000,742042000,742042000,1710251000,1710251000,917717000,917717000,2304624000,2304624000,4932592000,22008182000,3134523000,380844000,1778192000,722551000,252936000,25142705000,30075297000,14134182000,950802000,13183380000,1305519000,1305519000,15439701000,15439701000,7105225000,-57876000,7047349000,7588247000,14635596000,30075297000,1550977000,14492000,-781513000,-1674800000,-890844000,-4212000,-4212000,-4212000,-4212000.00000001,970023000,-516474000,453549000,-441507000,-441507000,-9697000,-451204000,1670001000,0,129720000,0.69094,0.62886,0.28187,0.0507,0.02467,0.174810000000003,0.31947,1.05494,0,1.0883,0.61281,3.86101,10.33586,0.19025,0.0507,0.00886,-1.0241,-1.03307
"35","2018_Q4",28.2174603174603,"Down",1926580000,-805162000,1121418000,-171115000,-168813000,-2302000,950303000,25483000,-41355000,66838000,975786000,975786000,-26798000,948988000,948988000,-506246000,442742000,442742000,1937963000,1937963000,875647000,875647000,2426198000,2426198000,5239808000,22094920000,3125629000,366368000,1778192000,711599000,269470000,25220549000,30460357000,14405597000,829496000,13576101000,1347777000,1347777000,15753374000,15753374000,7024079000,-36562000,6987517000,7719466000,14706983000,30460357000,948988000,14476000,-646548000,1003951000,1320867000,138000,138000,138000,138000,-2819000,1294373000,-971249000,349756000,349756000,-2158000,347598000,964779000,0,1995666000,0.58208,0.49326,0.22981,0.0301,0.01454,4.50751,0.33261,1.07115,0,0.64872,0.36715,2.8229,10.23839,2.92413,0.18396,0.1357,-2.00871,-2.03931
"36","2019_Q1",28.9591803278689,"Up",504978000,-293356000,211622000,-157096000,-153519000,-3577000,54525999.9999998,-103878000,-44644000,-59234000,-49352000.0000001,-49352000,-29366000,-78718000,-78718000,67850000,-10868000.0000001,-10868000.0000001,2207841000,2207841000,636238000,636238000,2331443000,2331443000,5175522000,20377031000,3372097000,468507000,1869860000,739482000,294248000,23749128000,28924650000,13769969000,875979000,12893990000,1400595000,1400595000,15170564000,15170564000,6415700000,-36476000,6379224000,7374862000,13754086000,28924650000,-78718000,15561000,128087000,1320622000,1385552000,-9617000,-9617000,-9617000,-107836000,-1874999.99999988,-293802000,-1079278000,198438000,198438000,199000,198637000,70087000,0,1410458000,0.41907,0.10798,-0.02152,-0.00079,-0.00038,-129.78082,0.34116,1.10299,0,-0.01606,-0.00905,0.74634,9.42828,2.08461,0.05618,0.10255,-31.50143,-40.49153
"37","2019_Q2",35.0934920634921,"Up",2024871000,-850213000,1174658000,-148949000,-146062000,-2887000,1025709000,88323000,-42002000,130325000,1114032000,1114032000,-41155000,1072877000,1072877000,-591573000,481304000,481304000,1570741000,1570741000,711889000,711889000,2537916000,2537916000,4820546000,21180950000,3873455000,450757000,1869860000,728873000,823965000,25054405000,29874951000,13748419000,735667000,13012752000,1979831000,1979831000,15728250000,15728250000,6501072000,-32430000,6468642000,7678059000,14146701000,29874951000,1072877000,17750000,-1427242000,467146000,130531000,-18858000,-18858000,-18858000,-18858000,-807000,-136945000,-868061000,-756388000,-756388000,-407000,-756795000,1043459000,0,1532902000,0.58011,0.50656,0.2377,0.03402,0.01611,3.18489,0.30649,1.1118,0,0.71356,0.40093,3.002,9.59017,2.27262,0.08565,0.10836,-1.50532,-1.53137
"38","2019_Q3",43.32359375,"Up",1486806000,-637750000,849056000,-180894000,-175308000,-5586000,668162000,17535000,-43596000,61131000,685697000,685697000,-38736000,646961000,646961000,-341169000,305792000,305792000,1484444000,1484444000,802066000,802066000,2536346000,2536346000,4822856000,22242040000,3907317000,433007000,1869860000,743132000,861318000,26149357000,30972213000,14914421000,929688000,13984733000,1992706000,1992706000,16907127000,16907127000,6335897000,-27542000,6308355000,7756731000,14065086000,30972213000,646961000,17750000,-104761000,-395616000,164334000,-14666000,-14666000,-14666000,-14666000,667561000,-343245000,-129061000,20607000,20607000,80000,20687000,685912000,0,314366000,0.57106,0.44939,0.20567,0.02174,0.00987,1.02803999999998,0.28526,1.20206,0,0.45393,0.25468,2.20709,9.36443,0.46666,0.05398,0.02235,-2.16419,-2.22168
"39","2019_Q4",46.48640625,"Up",1735113000,-718755000,1016358000,-175103000,-171067000,-4036000,841255000,-4912000,-53362000,48450000,836343000,1010949000,156786000,1167735000,1167735000,-388298000,779437000,779437000,2468563000,2468563000,755777000,755777000,2840144000,2840144000,6064484000,22204460000,4116827000,415257000,1869860000,938158000,893552000,26321287000,32385771000,15962978000,1069475000,14893503000,1793332000,1793332000,17756310000,17756310000,6292765000,-35163000,6714416000,7915048000,14629464000,32385774000,1167735000,17750000,-960528000,853407000,1078364000,-15617000,-15617000,-15617000,-15617000,707046000,-128010000,-31149000,1031598000,1031598000,3893000,1035491000,859005000,0,1540009000,0.58576,0.48484,0.44921,0.05328,0.02407,1.9758,0.34154,1.21374,0,1.15304,1.15476,2.5668,9.9328,2.27817,0.09499,0.10527,-2.87375,-2.93438
"40","2020_Q1",49.9879032258065,"Up",2091480000,-320854000,1770626000,-192200000,-186971000,-5229000,1578426000,-17765000,-60688000,42923000,1560661000,1007337000,-28943000,978394000,978394000,-495245000,483149000,483149000,2172441000,2172441000,975075000,975075000,2946083000,2946083000,6093599000,22281682000,4210225000,397508000,1869860000,1089305000,853552000,26491907000,32585506000,15682926000,806159000,14876767000,1256534000,1256534000,16939460000,17482454000,6428654000,-28495000,7009784000,8093268000,15103052000,32585506000,978394000,17749000,10196771000,-10603036000,589878000,-11139000,-11139000,-11139000,-11139000,-312109000,21873999.9999999,-893108000,-314369000,-314369000,-6524000,-320893000,1596175000,0,-8989057000,0.84659,0.75469,0.23101,0.03199,0.01483,-18.60514,0.35973,1.15754,0,0.71108,0.71079,3.07815,10.3167,-13.22971,0.06941,-0.57453,-1.36103,-1.37633
"41","2020_Q2",48.0233333333333,"Down",-3075964000,841890000,-2234074000,-162171000,-157566000,-4605000,-2396245000,-369018000,-41644000,-327374000,-2765263000,-2765858000,158703000,-2607155000,-2607155000,1540663000,-1066492000,-1066492000,2068326000,2068326000,696729000,696729000,3024115000,3024115000,5789170000,16430701000,4726623000,379758000,1869860000,1392352000,1084653000,21157324000,26946494000,13358848000,1000708000,12358140000,1403729000,1403729000,14762577000,15368386000,6298100000,-41533000,5384619000,6193489000,11578108000,26946494000,-2607155000,17750000,3987543000,-398671000,999467000,-12428000,-12428000,-12428000,-12428000,-74717000,-262217000,-1117716000,-130677000,-130677000,-6645000,-137322000,-2378495000,0,-2948297000,0.7263,0.77902,0.34672,-0.09211,-0.03958,2.76448,0.39215,1.32737,0,-1.57694,-1.57694,-4.54819,7.96182,-4.35942,-0.02345,-0.24198,0.86959,0.86315
"42","2020_Q3",49.16859375,"Up",2516069000,-960271000,1555798000,-173134000,-169051000,-4083000,1382664000,119021000,-39276000,158297000,1501685000,1501761000,-147415000,1354346000,1354346000,-786080000,568266000,568266000,1976512000,1976512000,498600000,498600000,2774713000,2774713000,5249825000,18973373000,4621183000,362008000,1869860000,1319301000,1070014000,23594556000,28844381000,14309819000,919195000,13390624000,1400586000,1400586000,15710405000,16348351000,6272047000,-36758000,5660994000,6835036000,12496030000,28844381000,1354346000,17750000,2706292000,-3587073000,491315000,-13025000,-13025000,-13025000,-13025000,-1059999.99999994,-74105000,-549132000,-70842000,-70842000,4226000,-66616000,1400414000,0,-2052269000,0.61834,0.54953,0.22585,0.04548,0.0197,-3.61146,0.33416,1.30828,0,0.838420000000001,0.83842,3.71223,8.35228,-3.02794,0.07935,-0.15626,-1.41138,-1.4295
"43","2020_Q4",53.9484375,"Up",3032898000,-1553082000,1479816000,-173315000,-171041000,-2274000,1306501000,69212000,-39540000,108752000,1375713000,1801111000,-100960000,1700151000,1700151000,-905432000,794719000,794719000,2628895000,2628895000,477601000,477601000,2902522000,2902522000,6009018000,14423456000,4609091000,344258000,1869860000,1305707000,1089266000,19032547000,25041565000,9724315000,804009000,8920306000,1196164000,1196164000,10920479000,11541887000,6243729000,-27407000,6179890000,7319788000,13499678000,25041565000,1700151000,17750000,-658823000,-923942000,135136000,-45443000,-45443000,-45443000,-45443000,890165000,-123683000,295008000,384701000,384701000,9699000,394400000,1324251000,0,455826000,0.48792,0.43078,0.26203,0.05887,0.03174,0.57357,0.55025,0.85497,0,1.08707,1.08579,4.14859,8.45325,0.62351,0.08967,0.03228,-1.98519,-2.01216
"44","2021_Q1",64.7526229508197,"Up",3628924000,-1071811000,2557113000,-216026000,-214124000,-1902000,2341087000,45165000,-45702000,90867000,2386252000,2080506000,-266342000,1814164000,1814164000,-1065294000,748870000,748870000,1999484000,1999484000,866158000,866158000,3286487000,3286487000,6152129000,15617142000,4499981000,347955000,1901485000,1242576000,1007965000,20117123000,26269252000,9795017000,717104000,9077913000,1883726000,1883726000,11678743000,11678743000,7000,6316274000,6652043000,7938466000,14590509000,26269252000,1814164000,17803000,1.73e+09,-3251940000,310027000,-40754000,-40754000,-40754000,-95924000,-1522000,-211321000,-872196000,-658093000,-658093000,8436000,-649657000,2358890000,0,-667462000,0.70465,0.64512,0.20636,0.05133,0.02851,-0.891290000000001,0.52678,0.80043,0,1.06588,1.06522,5.16511,9.46797,-0.95001,0.09652,-0.04575,-0.84764,-0.85408
"45","2021_Q2",84.2474603174603,"Up",5298872000,-768990000,4529882000,-187505000,-185122000,-2383000,4342377000,75370000,-44983000,120353000,4417747000,3370688000,447000,3371135000,3371135000,-1623263000,1747872000,1747872000,2862422000,2862422000,975610000,975610000,3124603000,3124603000,6962635000,17943309000,4804042000,340478000,1890185000,1402271000,1171108000,22747351000,29709986000,10789121000,838930000,9950191000,2095677000,2095677000,12884798000,12884798000,7000,6435375000,7844150000,8981038000,16825188000,29709986000,3371135000,18778000,81616000,-1174845000,2296684000,-20741000,-20741000,-20741000,-20741000,-51366000,-55952000,-1362446000,913497000,913497000,-6246000,907251000,4361155000,0,3165122000,0.85488,0.81949,0.32986,0.10388,0.05883,1.81084,0.54038,0.7658,0,2.46515,2.4621,7.47338,11.06316,4.464,0.17848,0.18812,-0.65634,-0.65918
"46","2021_Q3",110.85828125,"Up",5291354000,-868958000,4422396000,-208831000,-205057000,-3774000,4213565000,82794000,-44322000,127116000,4296359000,3145748000,-288250000,2857498000,2857498000,-1548346000,1309152000,1309152000,2467444000,2467444000,582542000,582542000,3269505000,3269505000,6319491000,22163322000,4814379000,321780000,1890202000,1322144000,1280253000,26977701000,33297192000,12589492000,1205182000,11384310000,2160686000,2160686000,14750178000,14750178000,7000,6272355000,8406156000,10140858000,18547014000,33297192000,2857498000,18698000,-283401000,-1693211000,899584000,-14070000,-14070000,-14070000,-14070000,0,-258001000,-1281263000,-395749000,-395749000,1162000,-394587000,4232263000,0,2813232000,0.83578,0.79631,0.24741,0.07059,0.03932,2.1489,0.42843,0.79529,0,1.84639,1.8441,7.46277,11.8558,3.9677,0.12576,0.15168,-0.58301,-0.5856
"47","2021_Q4",128.30296875,"Up",6224265000,-1188838000,5035427000,-219255000,-217995000,-1260000,4816172000,79899000,-52413000,132312000,4896071000,3664897000,-458904000,3205993000,3205993000,-1804098000,1401895000,1401895000,5011433000,5011433000,496265000,496265000,3831850000,3831850000,9339548000,25104195000,4594349000,303082000,1890202000,1116612000,1284453000,29698544000,39038092000,15798796000,871661000,14927135000,2361431000,2361431000,18160227000,18160227000,7000,6022271000,9054043000,11823822000,20877865000,39038092000,3205993000,18698000,-23479000,-1597545000,1603667000,-9645000,-9645000,-9645000,-9645000,1973969000,-91540000,957179000,2551201000,2551201000,-3157000,2548044000,4834870000,0,3686584000,0.809,0.77377,0.22523,0.06715,0.03591,2.62971,0.51429,0.86983,0,1.9298,1.9298,8.56811,12.46349,5.07483,0.11146,0.17658,-1.03652,-1.04054
"48","2022_Q1",118.448064516129,"Down",5762657000,-1745292000,4017365000,-312632000,-309673000,-2959000,3704733000,25293000,-56550000,81843000,3730026000,3378063000,-437694000,2940369000,2940369000,-1541891000,1398478000,1398478000,30784781000,2119738000,636616000,636616000,4736861000,4736861000,36158258000,23176408807.2299,5038150000,284384000,1890202000,1581637000,1281927000,5038150000,41196408000,16590402000,937169000,15653233000,2899960000,2899960000,19490362000,19490362000,7000,5775101000,9422893000,12283153000,21706046000,41196408000,2940369000,18697000,417513000,-4190526000,-813947000,-19860000,-19860000,-19860000,-19860000,248575000,-939701000,-2090060000,-2923867000,-2923867000,-1565000,-2925432000,3723430000,0,-49261999.9999995,0.69714,0.64289,0.24268,0.06443,0.03395,-0.0352299999999999,1.85519,0.89792,0,1.9251,1.9251,7.93268,12.97124,-0.0678099999999988,0.12888,-0.00227,-8.26786,-8.30958
"49","2022_Q2",106.220322580645,"Down",5126280000,-1415125000,3711155000,-242866000,-240674000,-2192000,3468289000,-15871000,-66747000,50876000,3452418000,2980895000,-483281000,2497614000,2497614000,-1280740000,1216874000,1216874000,33937041000,3868567000,517465000,517465000,4115007000,4115007000,38569513000,13206977421.6896,4774565000,265686000,1890202000,1327454000,1291223000,4774565000,43344078000,18131357000,1053128000,17078229000,2971694000,2971694000,21103051000,21103051000,6999.99999999627,5854042000,9659967000,12581060000,22241027000,43344078000,2497614000,18698000,1702756000,-1470567000,2748501000,-56152000,-56152000,-56152000,-56152000,1184663000,-134733000,-908114000,1784235000,1784235000,-4752000,1779483000,3486987000,0,2443549000,0.72395,0.67657,0.23738,0.05471,0.02807,2.00805,1.82767,0.94883,0,1.65713,1.65569,6.98092,13.15486,3.3276,0.14275,0.10987,-9.73248,-9.78495
"50","2022_Q3",99.366,"Down",629220000,-1767291000,-1138071000,-293723000,-289288000,-4435000,-1431794000,-173968000,-69642000,-104326000,-1605762000,-219232000,-36514000.0000001,-255746000,-255746000,226353000,-29393000,-29393000,31507138000,4183380000,774137000,774137000,4021234000,4021234000,36302509000,-7977085156.6207,5328799000,246988000,1890202000,1646400000,1545209000,5328799000,41631308000,17122386000,991620000,16130766000,3174824000,3174824000,20297210000,20297210000,7000,5828060000,8631167000,12702931000,21334098000,41631308000,-255746000,18698000,4596866000,-2470127000,1889691000,-45244000,-45244000,-45244000,-45244000,524506000,-361450000,-1500612000,343835000,343835000,-10394000,333441000,-1413096000,0,-3891953000,-1.8087,-2.27551,-0.0467099999999999,-0.00138,-0.00071,132.41088,1.78855,0.9514,0,-0.04155,-0.04155,0.8895,12.20156,-5.50191,0.0766,-0.18243,22.29653,22.00536
