"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",14.6117741935484,"Up",564716000,-428232000,136484000,-79551000,-79551000,56933000,-20681000,-6722000,-13959000,36252000,-41320000,-7284000,-48604000,-48604000,-144000,-48748000,-48748000,1098408000,471781000,626627000,274027000,274027000,381245000,110792000,110792000,1864472000,848871000,3015684000,-2166813000,364458000,84463000,138588000,1213329000,3077801000,456847000,174107000,19033000,263707000,456850000,445682000,604311000,257789000,257789000,286797000,59725000,1049993000,1506843000,1967586000,-307417000,-94652000,1565517000,5441000,1570958000,3077801000,-48604000,40220000,82574000,9249000,83439000,-48829000,-41578000,56000,-90351000,-6096999.99999999,-1e+05,-21141000,-28053000,-28053000,-11753000,-39806000,97153000,445685000,64857000,0.24169,0.10082,-0.08632,-0.03103,-0.01584,-1.33045,4.08115,0.95919,0.14481,-0.33128,-0.32348,3.83764,10.63877,0.44075,5,-0.01512,0.02475,-6.71851,-11.46476
"29","2017_Q2",14.7679365079365,"Up",604801000,-443052000,161749000,-92702000,-92702000,69047000,-10076000,-6790000,-3286000,58971000,50442000,-13493000,36949000,36949000,-230000,36719000,36719000,1138270000,499386000,638884000,310208000,310208000,400516000,104911000,104911000,1953905000,835427000,3032080000,-2196653000,360416000,80577000,138252000,1195843000,3149748000,455092000,170821000,11846000,272425000,455103000,467014000,607882000,257096000,257096000,288511000,62275000,1074896000,1529999000,1968288000,-279457000,-74753000,1614078000,5671000,1619749000,3149748000,36949000,40212000,19498000,-52985000,43674000,-15725000,-4356000,-5971000,-26052000,20008000,-3226000,7646000,25268000,25268000,2337000,27605000,109259000,467025000,54042000,0.26744,0.11416,0.06071,0.02267,0.01166,1.47177,4.29332,0.94459,0.14827,0.24953,0.24366,4.11004,10.96878,0.36725,6,0.01702,0.02006,-6.14361,-9.72157
"30","2017_Q3",15.8722222222222,"Up",643164000,-469327000,173837000,-88351000,-88351000,85486000,-9296000,-7076000,-2220000,76190000,75709000,-19300000,56409000,56409000,-219000,56190000,56190000,1187204000,561032000,626172000,327131000,327131000,418794000,117055000,117055000,2050184000,846653000,3112750000,-2266097000,362007000,76945000,142853000,1208660000,3258844000,474918000,181906000,9630000,283382000,474929000,438373000,621761000,267879000,267879000,288516000,65366000,1060134000,1535063000,1970552000,-232418000,-19503000,1718631000,5150000,1723781000,3258844000,56409000,40168000,8903000,-20888000,84592000,-32054000,41160000,-693000,8412999.99999999,-30001000,-740000,-38622000,54383000,54383000,7263000,61646000,125654000,438384000,92012000,0.27028,0.13291,0.08736,0.0326,0.01724,1.63752,4.31682,0.89052,0.13452,0.384,0.36231,4.39536,11.74506,0.62881,7,0.02347,0.03305,-5.95938,-8.75956
"31","2017_Q4",19.3425396825397,"Up",677941000,-487794000,190147000,-91487000,-91487000,98660000,-9228000,-6938000,-2290000,89432000,86188000,-21605000,64583000,64583000,-179000,64404000,64404000,1243570000,575385000,668185000,329422000,329422000,437576000,112394000,112394000,2122962000,852840000,3151271000,-2298431000,358452000,73154000,142753000,1211292000,3334254000,490572000,181988000,18085000,290499000,490597000,609827000,631089000,273851000,273851000,289526000,67712000,1240916000,1731513000,1767782000,-177075000,10158000,1600865000,1876000,1602741000,3334254000,64583000,40939000,10059000,1998000,117579000,-35527000,-25168000,1000.00000000093,-60694000,5015000,-4500000,-46100000,10785000,10785000,3568000,14353000,139599000,609852000,127675000,0.28048,0.14553,0.095,0.04018,0.01932,1.98241,4.3273,1.08034,0.18291,0.44013,0.41527,4.63302,10.94025,0.87253,7,0.02583,0.0449,-4.53956,-6.42325
"32","2018_Q1",18.1862295081967,"Down",673462000,-496086000,177376000,-95291000,-95291000,82085000,-9929000,-7046000,-2883000,72156000,67025000,-244526000,-177501000,-177501000,-156000,-177657000,-177657000,1295168000,748032000,547136000,340027000,340027000,429659000,130336000,130336000,2195190000,905758000,3217280000,-2311522000,361141000,69754000,148645000,1266899000,3462089000,562531000,222373000,50226000,289932000,562535000,622540000,844615000,281701000,281701000,336465000,226449000,1467155000,2029690000,1766907000,-362254000,25714000,1430367000,2032000,1432399000,3462089000,-177501000,41827000,233138000,25468000,122932000,-85441000,126493000,2474000,43526000,11979000,-9.31322574615479e-10,-122000,166336000,166336000,6311000,172647000,123912000,622544000,308465000,0.26338,0.12189,-0.2638,-0.12403,-0.05131,-1.7363,3.90232,1.41699,0.17982,-1.23093,-1.11382,4.66622,9.9106,2.13726,4,-0.05792,0.10638,-5.42824,-8.19424
"33","2018_Q2",19.00203125,"Up",716795000,-511495000,205300000,-101238000,-101238000,104062000,-12043000,-7677000,-4366000,92019000,92019000,-29474000,62545000,62545000,-179000,62366000,62366000,1340812000,839591000,501221000,376537000,376537000,460648000,116948000,116948000,2294945000,907335000,3265884000,-2358549000,368230000,73072000,148111000,1275565000,3570510000,528987000,191935000,38676000,298376000,529043000,657375000,868986000,283754000,283754000,342207000,243025000,1526361000,2055404000,1768184000,-307833000,52544000,1512895000,2211000,1515106000,3570510000,62545000,40558000,16512000,-72756000,46859000,-28089000,53951000,-935000,12855000,34052000,-2297000,22020000,81734000,81734000,9825000,91559000,144620000,657431000,73249000,0.28641,0.14518,0.08701,0.04116,0.01747,1.1745,4.33792,1.35661,0.18413,0.43212,0.391,4.96647,10.48241,0.50752,6,0.02371,0.02408,-4.72536,-6.56706
"34","2018_Q3",21.5444444444444,"Up",761030000,-533792000,227238000,-103945000,-103945000,123293000,-8425000,-8372000,-53000,114868000,97559000,5703000,103262000,103262000,-165000,103097000,103097000,1149746000,1007056000,142690000,395745000,395745000,479921000,118809000,118809000,2144221000,896625000,3227585000,-2330960000,361341000,70599000,143097000,1257966000,3402187000,550649000,212111000,39065000,299473000,550772000,759142000,706484000,268287000,268287000,207072000,231125000,1465626000,2016398000,1608364000,-217008000,-7417999.99999999,1383938000,1851000,1385789000,3402187000,103262000,40616000,-22603000,-129964000,-8689000.00000001,-40179000,343215000,0,300228000,-72924000,-16146000,-101328000,190211000,190211000,-22746000,167465000,163909000,759265000,-11937000,0.29859,0.16201,0.13547,0.0744,0.0303,-0.11578,3.89312,1.45505,0.22317,0.71405,0.65393,5.27091,9.58519,-0.0826799999999999,4,0.04045,-0.00418999999999999,-2.3823,-3.1671
"35","2018_Q4",17.3239682539683,"Down",780972000,-544676000,236296000,-98198000,-98198000,138098000,-11290000,-10813000,-477000,126808000,126808000,-48737000,78071000,78071000,-195000,77876000,77876000,1063108000,928105000,135003000,395442000,395442000,500301000,124949000,124949000,2083800000,908867000,3273072000,-2364205000,356967000,67234000,141981000,1265834000,3349634000,562284000,198674000,45664000,317946000,562288000,667772000,660889000,269610000,269610000,151499000,239780000,1328661000,1890949000,1609514000,-151404000,-1471000,1456639000,2046000,1458685000,3349634000,78071000,40714000,31482000,-79546000,70721000,-49668000,7626000,-673000,-42715000,-96119000,0,-108377000,-80371000,-80371000,1420000,-78951000,178812000,667776000,98335000,0.30257,0.17683,0.09972,0.05339,0.02325,1.26271,3.70593,1.29634,0.19936,0.53937,0.50917,5.40907,10.08879,0.68108,6,0.03234,0.03528,-2.21088,-2.86269
"36","2019_Q1",18.427868852459,"Up",775892000,-556202000,219690000,-100023000,-100023000,119667000,-10003000,-9818000,-185000,109664000,100390000,2269000,102659000,102659000,-240000,102419000,102419000,764318000,686032000,78286000,397020000,397020000,479660000,142888000,142888000,1783886000,969001000,3342177000,-2373176000,353311000,65688000,140143000,1322312000,3106198000,644088000,218322000,54436000,371330000,644106000,496525000,580897000,260984000,260984000,85471000,234442000,1077422000,1721528000,1450433000,-61258000,-6791000,1382384000,2286000,1384670000,3106198000,102659000,39975000,-16701000,23682000,149615000,-56402000,55913000.0000001,-450000,-939000,-375989000,0,-388247000,-239571000,-239571000,-2502000,-242073000,159642000,496543000,124653000,0.28315,0.15423,0.132,0.07397,0.03297,1.21709,2.76955,1.24328,0.15986,0.70852,0.70493,5.36749,9.5631,0.86233,8,0.04658,0.05063,-1.67735,-2.23767
"37","2019_Q2",16.3465079365079,"Down",745159000,-5.34e+08,211159000,-103424000,-103424000,107735000,-6480000,-8392000,1912000,101255000,99948000,-24307000,75641000,75641000,-182000,75459000,75459000,757837000,749426000,8411000,391960000,391960000,480227000,141555000,141555000,1771579000,948814000,3288758000,-2339944000,460657000,67524000,242505000,1409471000,3181050000,559451000,192221000,70653000,296577000,574229000,493036000,662173000,254835000,254835000,86209000,321129000,1155209000,1729438000,1439545000,24922000,-15323000,1449144000,2468000,1451612000,3181050000,75641000,40428000,7233000,-43784000,79518000,-35972000,69535000,2893000,24594000,-22695000,-2659000,-37631000,66481000,66481000,-3087000,63394000,148163000,493054000,92714000,0.28337,0.14458,0.10127,0.05198,0.02372,1.22867,3.08514,1.19139,0.155,0.52201,0.51937,5.15488,10.02493,0.64138,7,0.03366,0.03557,-1.78711,-2.45772
"38","2019_Q3",15.295625,"Down",685240000,-510639000,174601000,-95112000,-95112000,79489000,-8601000,-8204000,-397000,70888000,70888000,-26153000,44735000,44735000,-258000,44477000,44477000,791069000,790906000,163000,365728000,365728000,463496000,125104000,125104000,1745397000,948220000,3328766000,-2380546000,462513000,64883000,246895000,1410733000,3156130000,496233000,160222000,43979000,292032000,511596000,519863000,632593000,256805000,256805000,64878000,310910000,1152456000,1664052000,1440609000,55659000,-6316000,1489952000,2126000,1492078000,3156130000,44735000,40918000,-2535000,-26817000,56301000,-33712000,8189000,0,-25523000,28022000,-6043000,8256000,39034000,39034000,2446000,41480000,120407000,519903000,86031000,0.2548,0.116,0.06491,0.02981,0.01409,1.93428,3.41167,1.11526,0.16473,0.30754,0.30668,4.73808,10.30225,0.59486,5,0.02201,0.03253,-2.25208,-3.41137
"39","2019_Q4",18.1721875,"Up",628329000,-478250000,150079000,-91796000,-91796000,58283000,-6846000,-8564000,1718000,51437000,44182000,-13917000,30265000,30265000,-227000,30038000,30038000,787526000,731483000,56043000,335189000,335189000,444653000,123712000,123712000,1691080000,927678000,3309546000,-2381868000,453428000,62265000,240854000,1381106000,3072186000,464163000,141472000,25945000,296746000,481102000,496262000,606971000,248357000,248357000,47246000,311368000,1103233000,1584335000,1441494000,71956000,-27952000,1485498000,2353000,1487851000,3072186000,30265000,40956000,16004000,-11023000,76202000,-30097000,-57399000,1128000,-86368000,-28034000,0,-41757000,-51923000,-51923000,-7500000,-59423000,99239000,496269000,72036000,0.23885,0.09276,0.04781,0.02019,0.00978,2.39816,3.51501,1.06485,0.16154,0.20769,0.20712,4.34445,10.27116,0.49808,5,0.01689,0.0278,-2.9349,-4.99729
"40","2020_Q1",17.781935483871,"Down",609577000,-474216000,135361000,-94299000,-94299000,41062000,-12175000,-8523000,-3652000,28887000,11280000,2869000,14149000,14149000,-187000,13962000,13962000,802955000,694133000,108822000,328187000,328187000,431680000,141294000,141294000,1704116000,951525000,3377152000,-2425627000,465134000,60659000,253833000,1416659000,3120775000,500209000,173915000,17731000,308563000,520428000,499321000,613337000,272402000,272402000,22021000,318914000,1112658000,1633086000,1439615000,72180000,-26646000,1485149000,2540000,1487689000,3120775000,14149000,42159000,11591000,16524000,84423000,-56283000,-131956000,80578000,-107661000,-5171999.99999999,0,-18893000,-42131000,-42131000,4781000,-37350000,83221000,499323000,40593000,0.22206,0.06736,0.0229,0.00939,0.00447,2.90739,3.27445,1.09773,0.16,0.09643,0.09609,4.21002,10.25712,0.28035,4,0.01065,0.01561,-3.6485,-7.39448
"41","2020_Q2",14.7411111111111,"Down",612841000,-465601000,147240000,-99832000,-99832000,47408000,-8354000,-8552000,198000,39054000,36134000,-8750000,27384000,27384000,-165000,27219000,27219000,821428000,680703000,140725000,325704000,325704000,453188000,124871000,124871000,1725191000,924482000,3351239000,-2426757000,466831000,60468000,256075000,1391313000,3116504000,469041000,153999000,24030000,291012000,490273000,552096000,604309000,265284000,265284000,20627000,318398000,1156405000,1646678000,1430725000,84570000,-48174000,1467121000,2705000,1469826000,3116504000,27384000,41520000,12162000,-46588000,34478000,-24275000,-35463000,-1507000,-61245000,34236000,-1991000,18504000,-8263000,-8263000,-5167000,-13430000,88928000,552295000,26815000,0.24026,0.07736,0.04441,0.01852,0.00873,0.98516,3.51884,1.12032,0.17722,0.18799,0.18734,4.23256,10.13261,0.1852,4,0.0156,0.01021,-3.02641,-5.67695
"42","2020_Q3",15.13296875,"Up",581717000,-451047000,130670000,-89127000,-89127000,41543000,-9914000,-8430000,-1484000,31629000,29740000,-4845000,24895000,24895000,-242000,24653000,24653000,757176000,599930000,157246000,285529000,285529000,449188000,131125000,131125000,1623018000,921177000,3395633000,-2474456000,480651000,58583000,271427000,1401828000,3024846000,481932000,148727000,40642000,292563000,503376000,438494000,584252000,270735000,270735000,4231000,309286000,1022746000,1526122000,1427241000,95462000,-26326000,1496377000,2347000,1498724000,3024846000,24895000,40638000,7157000,17741000,90431000,-24327000,-13579000,978000,-36928000,-124874000,-625000,-139242000,-85739000,-85739000,4966000,-80773000,82181000,438495000,80440000,0.22463,0.07141,0.04238,0.01645,0.00815,3.26289,3.22427,1.01828,0.14496,0.1702,0.16982,4.01616,10.33096,0.55536,4,0.01523,0.0319,-3.87779,-7.67111
"43","2020_Q4",17.6871875,"Up",640160000,-488451000,151709000,-90219000,-90219000,61490000,-12312000,-7414000,-4898000,49178000,45724000,-12063000,33661000,33661000,-177000,33484000,33484000,711960000,682422000,29538000,342691000,342691000,440203000,120490000,120490000,1615344000,917224000,3451251000,-2534027000,501265000,67839000,276020000,1418489000,3033833000,481346000,159016000,22699000,299631000,503274000,392290000,599100000,277758000,277758000,8670000,312672000,991390000,1494664000,1424801000,115184000,-3340000,1536645000,2524000,1539169000,3033833000,33661000,41618000,18627000,-29576000,64330000,-21906000,-108135000,241016000,85123000,-57649000,0,-71392000,78061000,78061000,4431000,82492000,103108000,392294000,63689000,0.23699,0.09605,0.05231,0.02175,0.01104,1.90207,3.20967,0.97109,0.12931,0.23115,0.23061,4.41925,10.60801,0.43967,6,0.01866,0.02517,-3.1003,-5.19867
"44","2021_Q1",22.553606557377,"Up",667180000,-514896000,152284000,-92272000,-92272000,60012000,-12729000,-7159000,-5570000,47283000,46730000,-8887000,37843000,37843000,-276000,37567000,37567000,778350000,619874000,158476000,338632000,338632000,448251000,132103000,132103000,1697336000,943165000,3536563000,-2593398000,513972000,66795000,200464000,1457137000,3154473000,540349000,196203000,20470000,323676000,562423000,395056000,617979000,300113000,300113000,1852000,316014000,1013035000,1575458000,1423666000,138990000,13559000,1576215000,2800000,1579015000,3154473000,37843000,42454000,202000,45200000,125699000,-52688000,-135910000,9564000,-179034000,-3510000,-5.82076609134674e-11,-17252000,-70587000,-70587000,8039000,-62548000,102466000,395056000,103865000,0.22825,0.08995,0.05631,0.02379,0.01191,2.76479,3.0179,0.99775,0.12524,0.25914,0.25826,4.60226,10.87285,0.71647,7,0.01979,0.04007,-3.74069,-6.38696
"45","2021_Q2",23.1928571428571,"Up",764632000,-561683000,202949000,-105685000,-105685000,97264000,-10107000,-4376000,-5731000,87157000,87157000,-15514000,71643000,71643000,-208000,71435000,71435000,781195000,643847000,137348000,385238000,385238000,473956000,140536000,140536000,1780925000,917268000,3505216000,-2587948000,512369000,64123000,290553000,1429637000,3210562000,566771000,206741000,26715000,333315000,588046000,453213000,600842000,287407000,287407000,1856000,311579000,1054055000,1642101000,1359765000,217214000,-11526000,1565453000,3008000,1568461000,3210562000,71643000,42146000,11236000,-67703000,57322000,-28327000,-12853000,29866000,-11314000,-3e+05,-1963000,-16020000,29988000,29988000,-6015000,23973000,139410000,453213000,58894000,0.26542,0.1272,0.09342,0.04554,0.02225,0.82444,3.02855,1.04695,0.14116,0.49276,0.49109,5.27449,10.79861,0.40626,6,0.03248,0.02246,-2.35264,-3.37208
"46","2021_Q3",21.00859375,"Down",819120000,-589848000,229272000,-103900000,-103900000,125372000,-8192000,-4443000,-3749000,117180000,117180000,-23799000,93381000,93381000,-189000,93192000,93192000,855794000,726759000,129035000,398651000,398651000,507879000,149346000,149346000,1911670000,914994000,3548938000,-2633944000,524119000,61799000,304329000,1439113000,3350783000,617572000,224226000,31617000,361729000,639114000,454031000,598220000,288159000,288159000,1869000,308192000,1052251000,1691365000,1360613000,296629000,-221000,1657021000,2397000,1659418000,3350783000,93381000,41733000,4384000,-22037000,117461000,-32149000,-14635000,24160000,-22624000,0,-8e+05,-14557000,80280000,80280000,2632000,82912000,167105000,454031000,136718000,0.2799,0.15306,0.11377,0.05616,0.02781,1.46706,2.99113,1.01925,0.1355,0.64285,0.64066,5.65035,11.43025,0.94309,7,0.03944,0.05042,-2.40425,-3.20457
"47","2021_Q4",20.050625,"Down",813663000,-587927000,225736000,-102215000,-102215000,123521000,-7106000,-4427000,-2679000,116415000,116415000,-19333000,97082000,97082000,-262000,96820000,96820000,915937000,831760000,84177000,378523000,378523000,532668000,146870000,146870000,1973998000,924957000,3565950000,-2640993000,525323000,59583000,308057000,1450280000,3424278000,624151000,221666000,40648000,361837000,645734000,454848000,595517000,283049000,283049000,1843000,310625000,1050365000,1696099000,1361461000,379672000,-15613000,1725520000,2659000,1728179000,3424278000,97082000,41216000,3254000,-5883000,135669000,-56423000,27488000,17001000,-11934000,0,0,-13757000,109978000,109978000,-4977000,105001000,164737000,454848000,121764000,0.27743,0.15181,0.11899,0.05602,0.02827,1.25763,3.05698,0.98144,0.13283,0.66772,0.66564,5.61147,11.90014,0.83975,6,0.0398,0.04382,-2.79894,-3.73288
"48","2022_Q1",19.7624193548387,"Down",843072000,-613116000,229956000,-108311000,-108311000,121645000,-7787000,-4292000,-3495000,113858000,113858000,-77027000,36831000,36831000,-308000,36523000,36523000,920851000,774108000,146743000,396458000,396458000,536500000,156689000,156689000,2010498000,979479000,3618615000,-2639136000,553280000,67714000,225260000,1532759000,3543257000,507581000,254049000,35443000,218089000,693667000,566347000,536523000,271672000,271672000,69003000,195848000,1102870000,1796537000,1362311000,401694000,-20252000,1743753000,2967000,1746720000,3543257000,36831000,41942000,70425000,-2546000,146652000,-100156000,-140603000,76995000,-184611000,0,0,-14480000,-52439000,-52439000,-5213000,-57652000,163587000,566347000,137912000,0.27276,0.14429,0.04332,0.02091,0.01031,3.77603,2.89836,1.02852,0.15984,0.25176,0.25107,5.81156,12.02025,0.95067,5,0.0179,0.0484,-2.16707,-2.91425
"49","2022_Q2",18.7161290322581,"Down",853793000,-594685000,259108000,-112855000,-112855000,146253000,-9973000,-4222000,-5751000,136280000,136280000,-32330000,103950000,103950000,-377000,103573000,103573000,885809000,789248000,96561000,418288000,418288000,602887000,163227000,163227000,2070211000,970407000,3621217000,-2650810000,539551000,65546000,215476000,1509958000,3580169000,653303000,235755000,51005000,366543000,676383000,456484000,631180000,259531000,259531000,71435000,300214000,1087664000,1764047000,1364052000,490776000,-32177000,1812778000,3344000,1816122000,3580169000,103950000,40650000,16929000,-127944000,33585000,-35837000,-7753000,56475000,12885000,1515381.76913091,-2123000,-26465000,20005000,20005000,-4865000,15140000,186903000,456484000,55452000,0.30348,0.1713,0.12131,0.05703,0.02893,0.53539,3.06071,0.97133,0.1275,0.7142,0.71127,5.88746,12.50028,0.38238,7,0.04065,0.0191,-2.29705,-2.9355
"50","2022_Q3",19.33015625,"Up",863512000,-602289000,261223000,-110400000,-110400000,150823000,-2927000,-4307000,1380000,147896000,147896000,-35127000,112769000,112769000,-381000,112388000,112388000,846705000,765593000,81112000,429778000,429778000,633848000,160089000,160089000,2070420000,970568000,3599582000,-2629014000,522605000,62698000,206431000,1493173000,3563593000,681368000,243496000,62592000,375280000,704102000,546312000,472768000,242464000,242464000,49542000,180762000,1019080000,1723182000,1365121000,588803000,-80344000,1837419000,2992000,1840411000,3563593000,112769000,40317000,6210000.00000001,-84569000,74727000,-59486000,-16000,10089000,-49413000,6e+06,-733000,-35360000,-10046000,-10046000,-13609000,-23655000,191140000,546312000,82212000,0.30251,0.17466,0.13015,0.06107,0.03154,0.7315,2.94051,0.9363,0.1533,0.77499,0.77181,5.95447,12.67019,0.56691,4,0.04432,0.02875,-1.57159,-1.99169
