"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q2",35.4328125,"Up",89693000,-82683000,7010000,-11658000,-10770000,-888000,-4648000,-212000,-212000,-4860000,-4860000,-17666000,-22526000,-22526000,-22526000,-22526000,33966000,33966000,54823000,54823000,267228000,13691000,3587000,369708000,188999000,45908000,5933000,29889000,5297000,234907000,604615000,58886000,40737000,18149000,2500000,2500000,61386000,232542000,202471000,19704000,8626000,232542000,293928000,249352000,134082000,-70871000,310687000,310687000,604615000,-22526000,5877000,31650000,-21254000,-6253000,-3183000,-3183000,-2754000,-230000,-3051000,-12487000,-12487000,125000,-12362000,1229000,0,-5542000,0.07816,-0.05182,-0.25115,-0.0725,-0.03726,0.24603,6.02268,0.94606,0,-1.81502,-1.81502,7.22696,25.03341,-0.44654,0.2219,-0.0364,-0.0102,-0.12226,-27.6371,7.30766
"31","2018_Q3",33.6714285714286,"Down",110206000,-98754000,11452000,-13249000,-12284000,-965000,-1797000,-212000,-212000,-2009000,-2009000,-59000,-2068000,-2068000,-2068000,-2068000,17534000,17534000,65737000,65737000,267870000,14518000,3669000,365659000,187465000,44763000,5802000,28731000,5441000,232228000,597887000,54318000,34235000,20083000,2500000,2500000,56818000,230864000,201452000,19079000,8592000,230864000,287682000,250063000,129256000,-67245000,310205000,310205000,597887000,-2068000,5836000,4687000,-19239000,-10784000,-3155000,-3155000,-2755000,6999.99999999997,-2790000,-16729000,-16729000,297000,-16432000,4039000,0,-18296000,0.10391,-0.01631,-0.01876,-0.00667,-0.00346,8.8472,6.43562,0.92739,0,-0.16647,-0.16647,8.87158,24.97151,-1.47283,0.22178,0.00127,-0.03381,-1.33221,-4.34117,9.75737
"32","2018_Q4",27.4953968253968,"Down",113114000,-99844000,13270000,-14704000,-13686000,-1018000,-1434000,-210000,-210000,-1644000,-1644000,2357000,713000.000000002,713000.000000002,713000.000000002,713000.000000002,14579000,14579000,66839000,66839000,271666000,8693000,2243000,361777000,183693000,51994000,5671000,35937000,5597000,235687000,597464000,58938000,37546000,21392000,2500000,2500000,61438000,229312000,200559000,18454000,8558000,229312000,290750000,250666000,127213000,-69296000,306714000,306714000,597464000,713000.000000002,5926000,-3004000,216000,3851000,-3447000,-3447000,-2752000,0,-2783000,-2379000,-2379000,-576000,-2955000,4492000,0,-1096000,0.11732,-0.01268,0.0063,0.00231999999999999,0.00119,-1.53717,5.88849,0.94795,0,0.0573999999999998,0.0574,9.10559,24.69023,-0.0882300000000003,0.22153,0.00646,-0.00203999999999999,3.85975,-3.24555,10.16667
"33","2019_Q1",28.8908196721311,"Up",122313000,-98210000,24103000,-11204000,-10290000,-914000,12899000,-8440000,-202000,4459000,4459000,-2329000,2130000,2130000,2130000,2130000,9802000,9802000,73437000,73437000,273045000,10065000,2825000,366349000,179400000,42945000,5539000,25454000,7163000,222345000,588694000,59698000,37140000,22558000,2500000,2500000,62198000,193276000,165085000,17829000,8443000,193276000,255474000,251066000,126588000,-42565000,333220000,333220000,588694000,2130000,5515000,6455000,-14651000,-551000,-1300000,-1300000,-2752000,2.18278728425503e-11,-2870000,-4721000,-4721000,-56000,-4777000,18414000,0,4792000,0.19706,0.10546,0.01741,0.00639,0.00362,2.24977,5.89004,0.76668,0,0.17146,0.17146,9.84607,26.82387,0.38575,0.22153,0.00927,0.0091,1.29202,-0.53231,-0.7599
"34","2019_Q2",28.9852380952381,"Up",107069000,-95734000,11335000,-11962000,-11128000,-834000,-626999.999999998,-1077000,-221000,-1704000,-1704000,101000,-1603000,-1603000,-1603000,-1603000,11609000,11609000,64948000,64948000,281041000,5729000,3549000,363327000,177290000,41917000,5434000,24964000,6730000,219207000,582534000,58269000,36422000,21847000,2500000,2500000,60769000,193141000,165609000,17204000,8409000,193141000,253910000,251731000,122226000,-43156000,328624000,328624000,582534000,-1603000,4655000,2982000,1062000,7096000,-2271000,-2271000,-2752000,-93000,-2879000,1946000,1946000,-139000,1807000,4028000,1.13686837721616e-13,2718000,0.10587,-0.00586,-0.01497,-0.00488,-0.00275,-1.69557,5.97882,0.77265,-2.11758236813575e-22,-0.12895,-0.12895,8.61321,26.4363,0.21865,0.22139,0.0022,0.00521,-1.71678,-2.88208,18.51515
"35","2019_Q3",28.6946875,"Down",127474000,-112791000,14683000,-11522000,-10663000,-859000,3161000,-1122000,-266000,2039000,2039000,-530000,1509000,1509000,1509000,1509000,10780000,10780000,81088000,81088000,272025000,6081000,3630000,369974000,175577000,42181000,5384000,24811000,7197000,217758000,587732000,63880000,40823000,23057000,2500000,2500000,66380000,191660000,164790000,16579000,8372000,191660000,258040000,252438000,120977000,-41546000,329692000,329692000,587732000,1509000,4796000,2905000,-4249000,4961000,-3138000,-3138000,-2753000,1.45519152283669e-11,-2790000,-967000,-967000,138000,-829000,7957000,0,1100000,0.11518,0.0248,0.01184,0.00458,0.00257,0.72896,5.57358,0.78267,0,0.12122,0.12122,10.24003,26.48428,0.08836,0.22115,0.00817,0.00211,1.82439,-1.35478,-3.41031
"36","2019_Q4",32.93359375,"Up",126032000,-107857000,18175000,-11815000,-10985000,-830000,6360000,-1072000,-216000,5288000,5288000,-1486000,3802000,3802000,3802000,3802000,22045000,22045000,77719000,77719000,269138000,6074000,3703000,374976000,172212000,40635000,5334000,23834000,6678000,212847000,587823000,64972000,43040000,21932000,2500000,2500000,67472000,190211000,164001000,15954000,8337000,190211000,257683000,253129000,122019000,-42769000,330140000,330140000,587823000,3802000,4844000,3743000,3823000,16212000,-1907000,-1907000,-2753000,-62000,-2850000,11455000,11455000,-190000,11265000,11204000,0,14606000,0.14421,0.05046,0.03017,0.01152,0.00647,3.84166,5.55751,0.78053,-3.3881317890172e-21,0.30539,0.29486,10.12326,26.51782,1.1732,0.22113,0.0126,0.02807,0.724090000000001,-1.9676,-3.46619
"37","2020_Q1",24.1609677419355,"Down",129640000,-108330000,21310000,-12488000,-11419000,-1069000,8822000,2371000,-197000,11193000,7747000,-1710000,6037000,6037000,6037000,6037000,31038000,31038000,76979000,76979000,258802000,5054000,3297000,371873000,169966000,51961000,5284000,34132000,7756000,221927000,593800000,57580000,34497000,23083000,2500000,2500000,60080000,237445000,211491000,15329000,8609000,237445000,297525000,253856000,125296000,-80638000,296275000,296275000,593800000,6037000,4831000,4090000,-180000,14778000,-2725000,-2725000,-2753000,0,-2797000,9256000,9256000,-263000,8993000,13653000,0,12458000,0.16438,0.06805,0.04657,0.02038,0.01017,2.06361,6.18963,1.00422,0,0.48487,0.49686,10.41211,23.7955,1.00057,0.22111,0.01647,0.02334,0.45602,-2.27335,-3.51825
"38","2020_Q2",20.6342857142857,"Down",108453000,-89710000,18743000,-12389000,-11507000,-882000,6354000,-1937000,-237000,4417000,4417000,-1149000,3268000,3268000,3268000,3268000,33619000,33619000,66034000,66034000,282019000,4125000,3668000,385797000,167400000,53770000,5233000,33584000,10164000,221170000,606967000,62543000,40197000,21865000,2500000,2500000,65043000,238298000,210382000,14704000,11196000,238298000,303341000,255012000,139010000,-87959000,303626000,303626000,606967000,3268000,4803000,4075000,-5118000,7028000,-2296000,-2296000,-2760000,224000,-2576000,2156000,2156000,425000,2581000,11157000,1.45519152283669e-11,4892000,0.17282,0.05859,0.03013,0.01076,0.00538,1.49694,5.93141,0.99906,-2.71050543121376e-20,0.26228,0.26141,8.70414,24.36819,0.39262,0.22151,0.01112,0.00903,0.84455,-3.01327,-5.291
"39","2020_Q3",19.096875,"Down",111563000,-92267000,19296000,-11813000,-10785000,-1028000,7483000,1414000,-286000,8897000,5497000,-1429000,4068000,4068000,4068000,4068000,52406000,52406000,65970000,65970000,280337000,4817000,4440000,403530000,164720000,54534000,5184000,34666000,9895000,219254000,622784000,50440000,28310000,22060000,32500000,2500000,82940000,236232000,209233000,14079000,10904000,236232000,319172000,255909000,140297000,-90157000,303612000,303612000,622784000,4068000,4936000,2647000,-17872000,-6221000,-1804000,-1804000,-2763000,0,27195000,19170000,19170000,-383000,18787000,12419000,0,-5828000,0.17296,0.06707,0.03646,0.0134,0.00653,-1.43265,4.86532,1.05125,0,0.32612,0.32564,8.94378,24.33997,-0.46722,0.2215,0.01265,-0.0108,0.6792,-4.21982,-7.00334
"40","2020_Q4",19.6990625,"Up",80576000,-77937000,2639000,-10691000,-9824000,-867000,-8052000,-406000,-406000,-8458000,-10158000,2061000,-8097000,-8097000,-8097000,-8097000,65466000,65466000,52285000,52285000,263885000,8887000,3816000,390523000,162634000,50855000,5134000,31669000,9263000,213489000,604012000,42225000,19986000,21960000,32500000,2500000,74725000,234163000,208100000,13454000,10557000,234163000,308888000,256767000,129408000,-88614000,295124000,295124000,604012000,-8097000,4999000,6721000,15251000,18874000,-3042000,-3042000,-2762000,0,-2820000,13012000,13012000,48000,13060000,-3053000,2.3283064365387e-10,7095000,0.03275,-0.09993,-0.10049,-0.02744,-0.01341,-0.87625,5.22614,1.04664,-4.33680868994202e-19,-0.64899,-0.65214,6.45834,23.65483,0.56868,0.22138,-0.01008,0.0134,-0.34111,21.44317,8.1304
"41","2021_Q1",25.8313114754098,"Up",79938000,-75984000,3954000,-9127000,-8191000,-936000,-5173000,-359000,-359000,-5532000,-7254000,1537000,-5717000,-5717000,-5717000,-5717000,47238000,47238000,51118000,51118000,246124000,7055000,3285000,351535000,159819000,49370000,5056000,30551000,8974000,209189000,560724000,35715000,17555000,18160000,2500000,2500000,38215000,212499000,195820000,12829000,1719000,221008000,259223000,257596000,120943000,-74601000,301501000,301501000,560724000,-5717000,4912000,2407000,14914000,16516000,-2232000,-2232000,-2773000,0,-32930000,-18646000,-18646000,418000,-18228000,-261000,8509000,10884000,0.04946,-0.06471,-0.07152,-0.01896,-0.0102,-1.9038,9.19887,0.85977,0.01518,-0.45831,-0.45831,6.40837,24.17035,0.87253,0.2223,-0.00563,0.02083,-0.48504,148.38697,7.48676
"42","2021_Q2",31.492380952381,"Up",72177000,-71190000,987000,-10520000,-9733000,-787000,-9533000,-3e+05,-3e+05,-9833000,-10192000,2165000,-8027000,-8027000,-8027000,-8027000,61263000,61263000,40380000,40380000,236313000,8167000,3946000,346123000,156942000,51336000,5920000,32096000,8531000,208278000,554401000,35877000,18063000,17537000,2500000,2500000,38377000,209697000,193649000,12204000,1622000,218133000,256510000,258655000,110134000,-68223000,297891000,297891000,554401000,-8027000,4923000,1123000,20434000,18453000,-1127000,-1127000,-2795000,-238000,-4080000,13246000,13246000,779000,14025000,-4610000,8436000,12532000,0.01367,-0.13208,-0.11121,-0.02695,-0.01448,-1.56123,9.01902,0.86109,0.01522,-0.64252,-0.64252,5.7774,23.84463,1.00312,0.22373,-0.01014,0.02429,-0.3482,11.45922,5.54149
"43","2021_Q3",35.974375,"Up",82063000,-73678000,8385000,-12121000,-11257000,-864000,-3736000,-297000,-297000,-4033000,-4392000,760000,-3632000,-3632000,-3632000,-3632000,69820000,69820000,46097000,46097000,226865000,7682000,4617000,350464000,152696000,52260000,5812000,33591000,8068000,204956000,555420000,43950000,23689000,20095000,2500000,2500000,46450000,206732000,191470000,11579000,1519000,215079000,261529000,259809000,103721000,-66964000,293891000,293891000,555420000,-3632000,4896000,1237000,10171000,12672000,-976000,-976000,-2809000,-5.82076609134674e-11,-2855000,8841000,8841000,-284000,8557000,1160000,8347000,9595000,0.10218,-0.04553,-0.04426,-0.01236,-0.00654,-2.6418,7.54497,0.88988,0.01503,-0.29026,-0.29026,6.55822,23.48685,0.7668,0.22449,-0.00162,0.01885,-0.7734,-52.99397,16.45423
"44","2021_Q4",39.61125,"Up",88143000,-74485000,13658000,-12306000,-11475000,-831000,1352000,-294000,-294000,1058000,699000,-277000,422000,422000,422000,422000,74164000,74164000,51946000,51946000,230726000,5753000,4575000,362589000,149870000,51149000,5703000,33066000,7591000,201019000,563608000,54043000,31488000,22333000,2500000,2500000,56543000,203747000,189294000,10954000,1315000,212053000,268596000,260967000,101329000,-64609000,295012000,295012000,563608000,422000,4914000,3264000,464999.999999998,9065000,-2052000,-2052000,-2791000,0,-2856000,4157000,4157000,187000,4344000,6266000,8306000,4956000,0.15495,0.01534,0.00479,0.00143,0.00075,11.74408,6.41262,0.91046,0.01474,0.03375,0.03375,7.04975,23.5953,0.39638,0.22323,0.00634,0.00977,6.61374,-10.51037,-48.71154
"45","2022_Q1",38.6608064516129,"Down",95278000,-78578000,16700000,-11926000,-11005000,-921000,4774000,-279000,-279000,4495000,4102000,-1548000,2554000,2554000,2554000,2554000,47726000,47726000,57964000,57964000,248495000,7421000,6129000,361606000,147248000,37601000,5586000,16397000,10829000,184849000,546455000,71713000,47680000,23654000,2500000,2500000,74213000,120620000,106168000,10329000,664000,128921000,203134000,262070000,101015000,-12341000,343321000,343321000,546455000,2554000,4834000,4696000,-29009000,-16925000,-1794000,-1794000,-2780000,-4748000,-7652000,-26371000,-26371000,-67000,-26438000,9608000,8301000,-19647000,0.17528,0.05011,0.02681,0.00744,0.00467,-7.69264,4.87254,0.59167,0.01519,0.20648,0.20291,7.70297,27.75657,-1.58841,0.22476,0.0113,-0.0416,1.08849,-4.10335,-8.25827
"46","2022_Q2",38.251935483871,"Down",99430000,-81653000,17777000,-12267000,-11362000,-905000,5510000,-292000,-292000,5218000,6306000,-1647000,4659000,4659000,4659000,4659000,8440000,8440000,94912000,94912000,357556000,3514000,3514000,464422000,142772000,25101000,4909000,5680000,9723000,167873000,632295000,78379000,54886000,22665000,2500000,2500000,80879000,93359000,81851000,7829000,576000,175928000,256807000,266206000,135040000,-11092000,375488000,375488000,632295000,4659000,4754000,3173000,-36420000,-23834000,-3335000,-3335000,-2811000,-6485000,-6354000,-33523000,-33523000,59000,-33464000,10264000,82569000,-27844000,0.17879,0.05542,0.04686,0.01241,0.00737,-5.97639,5.74218,0.68393,0.13059,0.37667,0.37014,8.03864,30.35718,-2.25111,0.22726,0.01355,-0.0505,0.60335,7.22223,13.45354
"47","2022_Q3",37.4653125,"Down",117056000,-93643000,23413000,-12726000,-11782000,-944000,10687000,-508000,-508000,10179000,11267000,-2783000,8484000,8484000,8484000,8484000,12202000,12202000,75351000,75351000,292097000,7177000,5176000,386827000,145658000,33028000,5264000,12311000,10664000,178686000,565513000,71884000,50046000,21453000,2500000,2500000,95884000,116208000,102858000,9079000,846000,124319000,220203000,264111000,108619000,-13202000,345310000,345310000,565513000,8484000,4820000,3737000,-30016000,-12975000,-4394000,-4394000,-2776000,-86000,15576000,-1793000,-1793000,-267000,-2060000,15507000,29611000,-16120000,0.20002,0.0913,0.07248,0.02457,0.015,-1.90005,4.03432,0.6377,0.05236,0.68591,0.67403,9.46366,27.91737,-1.30326,0.22443,0.02293,-0.03282,0.3272,1.12265,1.62899
