"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",359.881147540984,"Up",160954000,-5080000,155874000,-153001000,-141834000,-5433000,-5734000,2873000,-3161000,-2980000,-288000,-3048000,-3336000,-3182000,-6518000,-1208000,-1208000,-7726000,-7726000,-7726000,368550000,368550000,53444000,53444000,16047000,11881000,4091000,438041000,36431000,218987000,81125000,113368000,2428000,1910000,255418000,693459000,86433000,9250000,77183000,61083000,61083000,147516000,12870000,12870000,251069000,398585000,1087724000,-85085000,-708354000,294285000,294874000,693459000,-6518000,6197000,15996000,22780000,38455000,-2120000,-2113000,-9363000,537000,-10585000,25757000,-2442000,23315000,23315000,9070000,238199000,32912000,0.96844,0.01785,-0.048,-0.0262,-0.01114,-4.2599,2.96945,1.35171,0.34349,-0.64442,-0.55691,13.42514,24.54625,2.74518,-0.01415,0.06028,-14.37166,-45.37104
"31","2018_Q2",277.27421875,"Down",181035000,-5696000,175339000,-160752000,-148858000,-6260000,-5634000,14587000,-2954000,-2988000,11633000,763000,12396000,23461000,35857000,-4333000,-4333000,31524000,31524000,31524000,346470000,346470000,64769000,64769000,17810000,13551000,4084000,429049000,37560000,240170000,77035000,113368000,2428000,1933000,277730000,706779000,82876000,4726000,78150000,45806000,45806000,128682000,6862000,6862000,248194000,376876000,1100890000,-96085000,-675457000,329348000,329903000,706779000,35857000,5836000,-12032000,-11986000,17675000,-3456000,-3466000,-10042000,2057000,-33652000,-19443000,-2644000,-22087000,-22087000,20423000,241332000,-18480000,0.96854,0.08058,0.17413,0.09556,0.0446,-0.58622,3.33418,1.14238,0.34145,2.60744,2.12311,14.97395,27.24136,-1.52854,0.05453,-0.03197,-5.14802,-7.20765
"32","2018_Q3",237.702698412698,"Down",184101000,-6043000,178058000,-160269000,-148705000,-5967000,-5597000,17789000,-2995000,-2924000,14794000,334000,15128000,29721000,44849000,-2302000,-2302000,42547000,42547000,42547000,293301000,293301000,80135000,80135000,14080000,13856000,49000,387516000,37876000,283941000,81654000,124903000,2428000,1793000,321817000,709333000,81787000,11066000,70721000,26065000,26065000,107852000,9573000,9573000,254053000,361905000,1110839000,-131088000,-632910000,346841000,347428000,709333000,44849000,5791000,-35796000,-17255000,-2411000,-3291000,-14974000,-36164000,-1162000,-38239000,-55624000,-1580000,-57204000,-57204000,23580000,244480000,-26687000,0.96718,0.09663,0.23111,0.12246,0.05998,-0.62724,3.59303,1.04167,0.34466,3.42679,3.00749,14.82772,27.935,-2.1494,0.07074,-0.04437,-2.07044,-2.74445
"33","2018_Q4",227.015714285714,"Down",197057000,-10838000,186219000,-161584000,-147380000,-6608000,-7596000,24635000,-2462000,-2393000,22173000,-4345000,17828000,10534000,28362000,-2634000,-2634000,25728000,25728000,25728000,265194000,265194000,79444000,79444000,16633000,16411000,47000,361271000,40448000,341920000,95970000,166330000,2428000,1708000,382368000,743639000,82066000,13355000,68711000,26315000,26315000,108381000,11096000,11096000,258792000,367173000,1125339000,-142268000,-607182000,375889000,376466000,743639000,28362000,7754000,9787000,-940000,44963000,-3893000,-61353000,-7576000,2341000,-8591000,-24981000,-3128000,-28109000,-28109000,32389000,247696000,17022000,0.945,0.12501,0.13056,0.06834,0.0346,0.66161,3.33334,0.97532,0.33309,2.01016,1.85762,15.39628,29.36862,1.32995,0.0405,0.0268,-0.54025,-0.71029
"34","2019_Q1",301.85262295082,"Up",202672000,-13822000,188850000,-176716000,-156567000,-8123000,-12026000,12134000,-4036000,-4132000,8098000,-9706000,-1608000,1859000,251000,-3551000,-3551000,-3300000,-3300000,-3300000,105102000,105102000,91072000,91072000,37997000,16428000,56000.0000000001,234171000,23175000,638769000,205699000,348347000,3266000,2168000,661944000,896115000,108264000,15074000,93190000,28689000,28689000,261953000,37011000,36117000,287954000,549907000,1134381000,-177691000,-610482000,346208000,346208000,896115000,251000,11472000,24274000,27724000,63721000,-4267000,-303245000,-37705000,-1019000,85325000,-154199000,-5884000,-160083000,-160083000,23606000,375943000,45204000,0.9318,0.05987,-0.01628,-0.00953,-0.00368000000000001,-13.69818,0.89394,1.58837,0.41953,-0.25962,-0.24367,15.94461,27.23688,3.55629,-0.00435,0.05954,11.4734,22.32083
"35","2019_Q2",382.556825396825,"Up",262390000,-17670000,244720000,-232083000,-206008000,-10166000,-15909000,12637000,-5400000,-5468000,7237000,-14439000,-7202000,7752000,550000,-1062000,-1062000,-512000,-512000,-512000,64565000,64565000,119707000,119707000,34694000,12899000,38000,218966000,25823000,747716000,223872000,419952000,3266000,13303000,773539000,992505000,118188000,12181000,106007000,47071000,47071000,350259000,35810000,34916000,290058000,640317000,1144849000,-181667000,-610994000,352188000,352188000,992505000,550000,15909000,24305000,-17495000,23269000,-4960000,-110405000,-7561000,-3585000,49408000,-37728000,-2827000,-40555000,-40555000,28546000,439248000,-1661000,0.93266,0.04816,-0.00195,-0.00145,-0.00052,3.24414,0.62515,1.81811,0.44257,-0.04026,-0.03609,20.63139,27.69209,-0.1306,-0.00062,-0.00201,13.12559,29.64968
"36","2019_Q3",340.810625,"Down",278421000,-16310000,262111000,-246594000,-219580000,-10175000,-16839000,15517000,-5024000,-5095000,10493000,-3201000,7292000,5689000,12981000,-763000,-763000,12218000,12218000,12218000,51332000,51332000,139778000,139778000,14725000,12440000,58000,205835000,28874000,745889000,209592000,419984000,3266000,20033000,774763000,980598000,147770000,17447000,130323000,45357000,45357000,308127000,41002000,40291000,298584000,606711000,1154330000,-181667000,-598776000,373887000,373887000,980598000,12981000,16839000,12940000,1846000.00000001,44606000,19253000,19567000,-4061000,-4061000,-74061000,-9888000,-3325000,-13213000,-13213000,32356000,372582000,47766000,0.94142,0.05573,0.04388,0.03268,0.01246,3.90948,0.66802,1.62271,0.37995,0.95408,0.8114,21.74145,29.19624,3.72997,0.01552,0.06066,9.92861,20.7031
"37","2019_Q4",330.90671875,"Down",310605000,-17671000,292934000,-257815000,-231141000,-10200000,-16474000,35119000,-4841000,-4845000,30278000,-3926000,26352000,-1889000,24463000,-20199000,-20199000,4264000,4264000,4264000,50497000,50497000,140843000,140843000,13173000,12914000,259000,204513000,31192000,743486000,195337000,419935000,7953000,29278000,774678000,979191000,129110000,19492000,109618000,64676000,64676000,278786000,50168000,49457000,311141000,589927000,1165753000,-181977000,-594512000,389264000,389264000,979191000,24463000,16474000,21746000,-19678000,43005000,-110962000,-5349000,-2123000,-1813000,-32126000,5530000,-6164000,-634000,-634000,51593000,345973000,-77158000,0.94311,0.11307,0.01373,0.01095,0.00435,-18.09522,0.73358,1.51549,0.35333,0.33077,0.2912,24.09472,30.19657,-5.98542,0.00543,-0.09824,5.72706,8.41357
"38","2020_Q1",282.898225806452,"Down",255187000,-16728000,238459000,-221727000,-195298000,-9412000,-17017000,16732000,-4482000,-4863000,12250000,-7711000,4539000,-3073000,1466000,392000.000000007,392000.000000007,1858000,1858000,1858000,60243000,60243000,113487000,113487000,15696000,15516000,96000.0000000001,189426000,31363000,727180000,181580000,420139000,7948000,29849000,758543000,947969000,115628000,2873000,112755000,115078000,115078000,230706000,50546000,50546000,314937000,545643000,1178141000,-183161000,-592654000,402326000,402326000,947969000,1466000,17017000,28561000,-750000,46294000,100705000,-4873000,-131000,1053000,-30899000,10522000,-939000,9583000,9583000,33749000,264391000,136777000,0.93445,0.06557,0.00728,0.00462,0.00196,73.61518,0.82107,1.35622,0.2789,0.1438,0.12736,19.74979,31.13737,10.58564,0.00259,0.19069,6.04901,12.20105
"39","2020_Q2",241.540952380952,"Down",283084000,-14252000,268832000,-255718000,-227620000,-10963000,-17135000,13114000,-4834000,-4834000,8280000,7635000,15915000,3061000,18976000,-4575000,-4575000,14401000,14401000,14401000,51208000,51208000,119559000,119559000,17552000,17375000,93000,188319000,31473000,716828000,167823000,420139000,9476000,28665000,828301000,1016620000,111703000,6056000,105647000,180583000,180583000,292286000,32907000,32907000,300777000,593063000,1184970000,-183161000,-578252000,423557000,423557000,1016620000,18976000,17135000,5641000,-12450000,29302000,-4189000,-84189000,-5087000,-5087000,46601000,-8286000,-752000,-9038000,-9038000,30249000,267870000,10549000,0.94965,0.04633,0.05087,0.034,0.01417,0.73252,0.6443,1.4002,0.26349,1.11145,1.01716,21.84796,32.68943,0.81415,0.01988,0.01456,7.16262,16.52143
"40","2020_Q3",317.49515625,"Up",184326000,-13464000,170862000,-170528000,-142410000,-10812000,-17306000,334000,-4948000,-4955000,-4614000,-7882000,-12496000,3880000,-8616000,-21141000,-21141000,-29757000,-29757000,-29757000,101764000,101764000,77037000,77037000,25832000,25654000,94000,204633000,34735000,768209000,154067000,420139000,16759000,93084000,882944000,1087577000,97361000,8792000,88569000,212035000,212035000,309396000,100826000,100826000,372204000,681600000,1197147000,-183161000,-608009000,405977000,405977000,1087577000,-8616000,17306000,24352000,25572000,58614000,-4919000,-4919000,-981000,-981000.000000001,-1319000,52376000,-1819000,50557000,50557000,17640000,271378000,34413000,0.92696,0.00181,-0.16144,-0.0733,-0.02736,-1.15647000000001,0.6614,1.67891,0.24953,-2.29164,-2.16415,14.1953,31.26508,2.65021,-0.03824,0.04422,9.61531,507.82635
"41","2020_Q4",297.0890625,"Down",220251000,-13220000,207031000,-216477000,-188375000,-11477000,-16625000,-9446000,-16617000,-16617000,-26063000,-6671000,-32734000,7925000,-24809000,166000,166000,-24643000,-24643000,-24643000,187261000,187261000,96631000,96631000,28869000,27585000,112000,312761000,48877000,761951000,140977000,420139000,16731000,91455000,890828000,1203589000,111228000,4895000,106333000,25368000,25368000,136596000,102464000,102464000,705984000,842580000,1176822000,-183161000,-632652000,361009000,361009000,1203589000,-24809000,16625000,28393000,-11909000,8300000,-11278000,-11278000,4647000,4647000,152093000,149115000,-63600000,85515000,85515000,7179000,603520000,-23933000,0.93998,-0.04289,-0.11189,-0.06826,-0.02047,0.97119,2.28968,2.33396,0.50143,-1.89067,-2.22651,16.89819,27.69748,-1.8362,-0.0231,-0.02243,57.98287,-44.06722
"42","2021_Q1",284.584262295082,"Down",222329000,-13558000,208771000,-214697000,-188100000,-10384000,-16213000,-5926000,-9525000,-9894000,-15451000,2239000,-13212000,5095000,-8117000,-139000.000000004,-139000.000000004,-8256000,-8256000,-8256000,169932000,169932000,89841000,89841000,36636000,27949000,117000,296409000,62381000,750200000,128502000,420139000,15892000,89443000,892581000,1188990000,111307000,10111000,101196000,536000.000000015,536000.00000003,111843000,100974000,100974000,712386000,824229000,1188831000,-183161000,-640909000,364761000,364761000,1188990000,-8117000,16213000,33691000,-26704000,15083000,-21763000,-21763000,-2489000,-2489000,-4085000.00000003,-10765000,-6558999.99999999,-17324000,-17324000,10287000,611412000,-43275000,0.93902,-0.02665,-0.03713,-0.02263,-0.00694,5.24164,2.65022,2.25964,0.51423,-0.63255,-0.63255,17.03409,27.94675,-3.31558,-0.00766,-0.04018,42.9163,-74.4988200000001
"43","2021_Q2",210.304761904762,"Down",272750000,-13895000,258855000,-259949000,-232451000,-12468000,-15030000,-1094000,29857000,-10215000,28763000,-813000,27950000,-8638000,19312000,-263000,-263000,19049000,19049000,19049000,162091000,162091000,123067000,123067000,37273000,28638000,79000,322431000,71572000,727921000,117189000,420139000,15982000,87025000,920746000,1243177000,120672000,7230000,113442000,9849000,9849000,130521000,97711000,97711000,717213000,847734000,1200464000,-183161000,-621860000,395443000,395443000,1243177000,19312000,15030000,2176000,-27593000,8925000,-10553000,-11733000,-4801000,-4801000,-5e+06,-7808000,-71000,-7879000,-7879000,13936000,619502000,-15572000,0.94906,-0.00401,0.06984,0.04817,0.01532,-0.81747,2.47034,2.14376,0.49832,1.45746,1.34917,20.8684,30.25578,-1.19143,0.01712,-0.014,32.82226,-418.10878
"44","2021_Q3",175.36078125,"Down",270014000,-13934000,256080000,-254060000,-225017000,-13290000,-15753000,2020000,-9840000,-9840000,-7820000,8528000,707999.999999993,9092000,9800000,-3199000,-3199000,6601000,6601000,6601000,203164000,203164000,124076000,124076000,18294000,18211000,83000,345534000,74701000,725149000,105880000,420139000,17044000,85407000,921103000,1266637000,112999000,6623000,106376000,5129000,5129000,279851000,100542000,100542000,566418000,846269000,1218788000,-183161000,-615259000,420368000,420368000,1266637000,9800000,15753000,14403000,5699000,45655000,-13032000,-13032000,4801000,4801000,29999.9999999963,32653000,8424000,41077000,41077000,17773000,627599000,1348000,0.9484,0.00748,0.02445,0.0157,0.00521,0.20421,1.23471,2.01316,0.49548,0.50505,0.46753,20.65907,32.16282,0.10314,0.00575,0.00117,23.88089,210.11634
"45","2021_Q4",132.95203125,"Down",297450000,-15020000,282430000,-275138000,-246601000,-13384000,-15153000,7292000,-11826000,-11826000,-4534000,127000,-4407000,1000,-4406000,-54000,-54000,-4460000,-4460000,-4460000,215277000,215277000,131705000,131705000,25456000,25348000,108000,372438000,74929000,715909000,95534000,420139000,17093000,86464000,912091000,1284529000,118862000,4198000,114664000,13000,13000,282731000,98725000,98725000,570716000,853447000,1233962000,-183161000,-619719000,431082000,431082000,1284529000,-4406000,15153000,30263000,-6697000,34313000,-6930000,-6930000,-6666000,-6666000,-10222000,17161000,-5023000,12138000,12138000,22445000,635847000,8817000,0.9495,0.02452,-0.01499,-0.01035,-0.00347,-1.97691,1.31729,1.97978,0.495,-0.33803,-0.32326,22.54434,32.67258,0.66826,-0.00383,0.00756,18.7378,57.67553
"46","2022_Q1",118.22564516129,"Down",258285000,-14448000,243837000,-251828000,-223393000,-13723000,-14712000,-7991000,68214000,-14986000,60223000,-38000,60185000,-11753000,48432000,-507000,-507000,47925000,47925000,47925000,251231000,251231000,97658000,97658000,25490000,25379000,111000,374379000,72477000,694360000,85763000,420139000,16589000,84288000,924977000,1299356000,108423000,1692000,106731000,1000,-2493939.30736835,274432000,98781000,96516000,576932000,851364000,1242955000,-223169000,-571794000,447992000,447992000,1299356000,48432000,14712000,-42403000,21622000,42363000,-4550000,41762000,-47765000,-7757000,-48155000,35970000,-13000,35957000,35957000,6721000,644159000,35546000,0.94406,-0.03094,0.18555,0.10698,0.03688,0.7417,1.3642,1.9004,0.49575,3.55263,4.10282,19.1464,33.20919,2.63499,0.04024,0.02985,58.46273,-49.1713200000001
"47","2022_Q2",74.1127419354839,"Down",283178000,-15561000,267617000,-266953000,-240130000,-14052000,-12771000,664000,-7506000,-7505000,-6842000,-3598000,-10440000,-383000,-10823000,-3000,-3000,-10826000,-10826000,-10826000,196658000,196658000,114294000,114294000,27115000,26995000,120000,338067000,70680000,707585000,77847000,420139000,16166413.5307137,81776000,951405000,1289472000,117790000,9909000,107881000,4000,4000,287278000,96365000,94100000,661346000,948624000,1145199000,-266178000,-538173000,340848000,340848000,1289472000,-10823000,12771000,19838000,-11786000,1e+07,-3465000,-18465000,-46094000,-3085000,-46098000,-54563000,-1000,-54564000,-54564000,13435000,734465000,-1433000,0.94505,0.00234,-0.03823,-0.03176,-0.0084,0.13237,1.17679,2.78313,0.56959,-0.81941,-0.7985,21.43339,25.79837,-0.10846,-0.00924,-0.00122,40.03029,809.9503
"48","2022_Q3",39.0221875,"Down",261923000,-14574000,247349000,-251115000,-224826000,-14318000,-11971000,-3766000,-6481000,-6765000,-10247000,-127999.999999999,-10375000,2337000,-8038000.00000001,0,0,-8038000,-8038000,-8038000,279108000,279108000,115441000,115441000,27544000,27419000,125000,422093000,68315000,699114000,70772000,420139000,16285240.5921411,78029000,942009000,1364102000,102775000,7850000,94925000,-5573390.2508181,10359567.9221051,105266000,95098000,92833000,908350000,1013616000,1162875000,-266178000,-546211000,350486000,350486000,1364102000,-8038000.00000001,11971000,21301000,-19135000,6099000,-2881000,-4321000,3085000,3085000,80682000,82460000,-5000,82455000,82455000,8205000,815743000,-16148000,0.94436,-0.01438,-0.03069,-0.02293,-0.00589000000000001,2.00896,4.00978,2.89203,0.59801,-0.63177,-0.63177,20.58658,27.54743,-1.2692,-0.00637,-0.0128,65.40341,-142.49469
