"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",13.8716393442623,"Up",199112000,-108745000,90367000,-115460000,-115460000,-25093000,439000,-36000,382000,93000,-24654000,-29938000,5577000,-24361000,-24361000,-24361000,-28272000,172128000,172128000,83518000,83518000,130347000,39056000,22596000,3652000,12808000,425049000,35032000,83614000,56427000,10174000,15325000,118646000,543695000,156342000,66381000,5515000,84446000,157018000,18379000,18379000,18379000,175397000,373140000,-334312000,190431000,-43394000,368298000,368298000,543695000,-24361000,8429000,3334000,30447000,17849000,1163000,540000,1703000,-389000,-24355000,-27744000,-8192000,-8192000,2142000,-6050000,-16664000,676000,9368999.99999999,0.45385,-0.12602,-0.14199,-0.07676,-0.052,-0.331390000000001,2.70701,0.47624,0.00124,-0.41581,-0.41581,2.92846,2.73363,0.1378,-0.06524,0.02419,10.28877,6.83266
"31","2018_Q2",17.01265625,"Up",283148000,-143275000,139873000,-113951000,-113951000,25922000,1290000,166000,1071000,53000,27212000,27212000,-10758000,16454000,16454000,16454000,12523000,101953000,101953000,169954000,169954000,148187000,43675000,21981000,7781000,13913000,463769000,30746000,78368000,53023000,10097000,13514000,109114000,572883000,188341000,87751000,15142000,85448000,188622000,17413000,17413000,17413000,206035000,376904000,-355209000,202954000,-41165000,366848000,366848000,572883000,16454000,7643000,2828000,-73526000,-46601000,-1652000,-692000,-2344000,-4e+05,-20061000,-23461000,-72406000,-72406000,2176000,-70230000,33565000,281000,-30855000,0.49399,0.09155,0.04423,0.03414,0.02186,-2.46387,2.45872,0.56164,0.000490000000000001,0.17474,0.17474,3.95083,2.56019,-0.43053,0.04037,-0.08024,-3.02911,-3.92223
"32","2018_Q3",19.2071428571429,"Up",328004000,-146604000,181400000,-144336000,-144336000,37064000,313000,14000,283000,16000,37377000,37377000,-3e+06,34377000,34377000,34377000,30426000,171514000,171514000,149496000,149496000,129903000,50928000,25865000,9946000,15117000,501841000,27038000,75495000,49146000,12202000,12503000,102533000,604374000,206555000,79101000,21666000,105788000,206570000,15262000,15262000,15262000,221832000,379667000,-360032000,233380000,-54789000,382542000,382542000,604374000,34377000,7231000,5359000,40495000,87462000,-1560000,484000,-1076000,-268999.999999999,-5885000,-9154000,77232000,77232000,-8359000,68873000,44295000,15000.0000000009,86230000,0.55304,0.113,0.09276,0.07954,0.05034,2.83409,2.4294,0.57989,2e-05,0.42573,0.42573,4.58959,2.77367,1.20657,0.08402,0.21676,-3.87175,-4.6271
"33","2018_Q4",23.3920634920635,"Up",261064000,-122005000,139059000,-125164000,-125164000,13895000,689000,296000,233000,160000,14584000,14584000,-4092000,10492000,10492000,10492000,6520000,203046000,203046000,110478000,110478000,117684000,49023000,25856000,11872000,11295000,480231000,24216000,73499000,48196000,12567000,11102000,97715000,577946000,181601000,57125000,24683000,99793000,181612000,14013000,14013000,14013000,195625000,383186000,-371107000,239900000,-54946000,382321000,382321000,577946000,10492000,6661000,7209000,20647000,45009000,-687000,239000,-448000,-11000,-11100000,-14111000,30450000,30450000,1050000,31500000,20556000,11000,44608000,0.53266,0.05322,0.02497,0.01705,0.01128,6.84172,2.64427,0.51168,2e-05,0.08959,0.08959,3.58733,2.70746,0.61297,0.02402,0.11255,-9.87716,-14.61209
"34","2019_Q1",27.3808196721311,"Up",215989000,-116167000,99822000,-111577000,-111577000,-11755000,-79000.0000000001,-150000,-269000,340000,-11834000,-14016000,3130000,-10886000,-10886000,-10886000,-118685000,123367000,123367000,97627000,97627000,124491000,34813000,22123000,3041000,9649000,380298000,22211000,66392000,45690000,8663000,10425000,88603000,468901000,184491000,77231000,5089000,102171000,184491000,14102000,14102000,134102000,318593000,481236000,-397491000,121215000,-54652000,150308000,150308000,468901000,-10886000,7715000,7119000,24344000,28292000,-6224000,-18000,-6242000,120018000,-26085000,-102076000,-80026000,-80026000,358000,-79668000,-4040000,1.2e+08,10950000,0.46216,-0.05442,-0.5495,-0.78961,-0.25311,-0.0922599999999996,2.06134,2.1196,0.25592,-2.05426,-2.05426,3.73845,2.60161,0.18953,-0.37506,0.0385,0.83342,0.28643
"35","2019_Q2",23.1615873015873,"Down",295949000,-158334000,137615000,-105037000,-105037000,32578000,-1032000,-1622000,-1087200.00823987,590000,31546000,30329000,-5619000,24710000,24710000,24710000,24710000,86333000,86333000,176288000,176288000,139209000,29686000,14980000,3755000,10951000,431516000,29874000,227816000,44724000,8510000,173003000,257690000,689206000,177225000,89555000,9466000,78204000,221843000,129418000,129418000,344418000,566261000,485036000,-452196000,145698000,-55593000,122945000,122945000,689206000,24710000,6136000,17653000,-112214000,-63715000,-10328000,-141249.412327028,-10328000,9.5e+07,-53478000,36875000,-37168000,-37168000,-22000,-37190000,38714000,2.15e+08,-78209000,0.465,0.11008,0.08349,0.20098,0.03585,-3.16507,1.94514,4.60581,0.31195,0.33002,0.33002,3.95257,1.642,-1.04453,0.05926,-0.16734,3.32353,3.94951
"36","2019_Q3",24.2265625,"Up",358899000,-169520000,189379000,-141548000,-141548000,47831000,-2894000,-2290000,-1771643.59735104,-604000,44937000,44676000,-5478000,39198000,39198000,39198000,39198000,107822000,107822000,168933000,168933000,134602000,38408000,19893000,5873000,12642000,449765000,36237000,228139000,44995000,8446000,173098000,264376000,714141000,212928000,100705000,12281000,99942000,258322000,128883000,128883000,343883000,602205000,488834000,-507193000,184896000,-54601000,111936000,111936000,714141000,39198000,5729000,18793000,20163000,83883000,-8134000,-255665.109215769,-8134000,0,-54997000,-54970000,20779000,20779000,432000,21211000,53560000,2.15e+08,71067000,0.52767,0.13327,0.10922,0.35018,0.05489,1.81303,1.7411,5.3799,0.30106,0.54545,0.54545,4.99421,1.55763,0.98892,0.08599,0.15591,2.00108,2.24076
"37","2019_Q4",34.92859375,"Up",312766000,-148942000,163824000,-123940000,-123940000,39884000,-2372000,-2338000,-1968265.38778669,-34000,37512000,38097000,-2421000,35676000,35676000,35676000,35676000,87909000,87909000,121716000,121716000,139839000,41799000,23427000,7380000,10992000,391263000,42266000,251986000,47222000,10174000,193056000,294252000,685515000,187966000,85938000,13266000,88762000,233452000,149539000,149539000,334539000,567991000,492503000,-532220000,220572000,-63331000,117524000,117524000,685515000,35676000,5643000,18662000,-6960000,53021000,-14088000,-315748.251496625,-14088000,-3e+07,-2.5e+07,-56640000,-17707000,-17707000,-2709000,-20416000,45527000,1.85e+08,26900000,0.52379,0.12752,0.11407,0.30356,0.05204,0.75401,1.67599,4.83298,0.26987,0.50757,0.50757,4.44978,1.67204,0.38271,0.07892,0.0595,2.1326,2.43433
"38","2020_Q1",31.8551612903226,"Down",262979000,-136741000,126238000,-117882000,-117882000,8356000,-3029000,-1785000,-1323000,79000,5327000,6220000,13693000,19913000,19913000,19913000,19913000,108253000,108253000,108199000,108199000,172028000,36902000,25350000,1341000,10211000,425382000,47405000,266015000,47095000,24747000,192595000,313420000,738802000,208638000,95754000,4207000,108677000,257223000,144674000,144674000,349674000,606897000,496007000,-546208000,240485000,-58379000,131905000,131905000,738802000,19913000,6705000,2437000,-12286000,16769000,-3410000,-276000,-3686000,2e+07,-13715000,6097000.00000001,19180000,19180000,1730000,20910000,15061000,2.05e+08,-14328000,0.48003,0.03177,0.07572,0.15096,0.02695,-0.71953,1.65375,4.60102,0.27748,0.28424,0.28424,3.75373,1.8828,-0.20452,0.04135,-0.02975,6.42368,11.57815
"39","2020_Q2",26.457619047619,"Down",281160000,-146998000,134162000,-113350000,-113350000,20812000,-2034000,-1824000,-231000,21000,18778000,18778000,-7687000,11091000,11091000,11091000,11091000,107038000,107038000,172398000,172398000,195755000,38810000,21508000,3174000,14128000,514001000,47019000,275220000,46393000,24108000,203167000,322239000,836240000,186005000,104893000,9803000,71309000,236031000,156180000,156180000,506180000,742211000,500302000,-587940000,251576000,-69909000,94029000,94029000,836240000,11091000,6907000,24835000,-127747000,-84914000,-16051000,-116000,-16167000,1.45e+08,-41732000,103124000,2043000,2043000,-3496000,-1453000,27719000,3.5e+08,-108392000,0.47717,0.07402,0.03945,0.11795,0.01326,-9.77297,2.17768,7.89343,0.41854,0.16023,0.16023,4.06195,1.35845,-1.56595,0.01848,-0.18059,8.76518,11.67413
"40","2020_Q3",38.67421875,"Up",331549000,-151616000,179933000,-123338000,-123338000,56595000,-1901000,-2121000,-687000,907000,54694000,54694000,1857000,56551000,56551000,56551000,56551000,151370000,151370000,160279000,160279000,146804000,35477000,19545000,3809000,12123000,493930000,52136000,264818000,43773000,24218000,195246000,316954000,810884000,183811000,83221000,6357000,94233000,232979000,146021000,146021000,421021000,6.54e+08,503063000,-587940000,308127000,-66366000,156884000,156884000,810884000,56551000,6592000,28677000,33361000,125181000,-7843000,0,-7843000,-7.5e+07,0,-74247000,43091000,43091000,1136000,44227000,63187000,2.75e+08,86848000,0.5427,0.1707,0.17057,0.36046,0.06974,1.53575,2.12006,4.16869,0.33914,0.83029,0.83029,4.86785,2.30339,1.27511,0.09786,0.15028,1.95657,2.18447
"41","2020_Q4",57.08609375,"Up",361736000,-154967000,206769000,-134683000,-134683000,72086000,-2002000,-1459000,-516000,-27000,70084000,70084000,-8195000,61889000,61889000,61889000,61889000,123562000,123562000,139474000,139474000,174119000,35154000,15570000,8426000,11158000,472309000,56321000,273415000,40147000,23273000,208346000,329736000,802045000,228869000,119108000,9467000,100294000,278610000,160448000,160448000,295448000,574058000,508160000,-587983000,370016000,-62206000,227987000,227987000,802045000,61889000,6752000,21340000,28392000,118373000,-8865000,-52000,-8917000,-1.4e+08,-43000,-139828000,-30372000,-30372000,2490000,-27882000,78838000,1.35e+08,106560000,0.5716,0.19928,0.17109,0.27146,0.07716,1.72179,1.69523,2.51794,0.16832,0.90354,0.90354,5.28113,3.32847,1.55571,0.11824,0.20358,0.145079999999999,0.15867
"42","2021_Q1",76.2337704918033,"Up",411506000,-182422000,229084000,-143382000,-143382000,85702000,-1208000,-1123000,306000,-391000,84494000,63423000,119907000,183330000,183330000,183330000,183330000,135802000,135802000,149847000,149847000,175121000,32071000,17856000,1857000,12358000,492841000,57467000,568415000,37636000,350784000,178276000,625882000,1118723000,244520000,112778000,5038000,126704000,291584000,356506000,356506000,536506000,828090000,482490000,-688849000,553346000,-56354000,290633000,290633000,1118723000,183330000,7368000,-280818000,198382000,108262000,-9274000,439000,-8835000,4.5e+07,-132117000,-87087000,12340000,12340000,-4000,12336000,93070000,1.8e+08,162271000,0.5567,0.20826,0.44551,0.6308,0.16387,0.88513,1.69022,2.84926,0.1609,2.68215,2.68215,6.02039,4.252,2.37405,0.22164,0.19618,0.47489,0.51572
"43","2021_Q2",98.4077777777778,"Up",460098000,-206879000,253219000,-128533000,-128533000,124686000,-2098000,-1605000,-504000,11000,122588000,122588000,-24190000,98398000,98398000,98398000,98398000,255869000,255869000,228717000,228717000,196477000,46119000,20904000,3830000,21385000,727182000,70150000,564991000,34762000,336590000,191988000,635141000,1362323000,277418000,141942000,24317000,111159000,325748000,369241000,369241000,710344000,1036092000,525395000,-783926000,651744000,-66982000,326231000,326231000,1362323000,98398000,8054000,21042000,-97344000,30150000,-7983000,352456.296872726,-7983000,1.7e+08,-60462000,102243000,124410000,124410000,-2437000,121973000,132740000,341103000,51603000,0.55036,0.271,0.21386,0.30162,0.07223,0.52443,2.23235,3.17595,0.25038,1.47197,1.47197,6.88275,4.88019,0.77195,0.09493,0.04978,0.64211,0.68359
"44","2021_Q3",137.2975,"Up",640773000,-245592000,395181000,-199859000,-199859000,195322000,-4756000,-4641000,-117000,2000,190566000,190566000,128388000,318954000,318954000,318954000,318954000,197853000,197853000,233262000,233262000,209089000,38311000,21052000,1352000,15907000,678515000,76949000,738338000,33731000,515667000,187271000,815287000,1493802000,335196000,166817000,11814000,156565000,380922000,367733000,367733000,754116000,1135038000,530463000,-1078857000,970698000,-63540000,358764000,358764000,1493802000,318954000,7695000,-149877000,35444000,212216000,-13346000,5999.99999999977,-13340000,44999999.9999999,-301157000,-257587000,-58711000,-58711000,643999.999999999,-58067000,203017000,386383000,96727000,0.61673,0.30482,0.49776,0.88904,0.21352,0.30326,1.78124,3.16375,0.25866,4.73324,4.77133,9.50899,5.32401,1.43542,0.2866,0.08692,0.92864,0.96523
"45","2021_Q4",154.03640625,"Up",625919000,-226123000,399796000,-196728000,-196728000,203068000,-5332000,-5871000,537000,2000,197736000,197736000,-44247000,153489000,153489000,153489000,153489000,436601000,436601000,229298000,229298000,212496000,41657000,2.2e+07,1255000,18402000,920052000,91318000,733695000,31634000,517929000,182502000,825013000,1745065000,304967000,133446000,22315000,149206000,350215000,356064000,356064000,1042019000,1392234000,541054000,-1236003000,1124187000,-76407000,352831000,352831000,1745065000,153489000,8083000,23296000,-72069000,112799000,-14429000,-15000,-14444000,3.05e+08,-157147000,142324000,240679000,240679000,-2114000,238565000,211151000,685955000,168900000,0.63873,0.32443,0.24522,0.435020000000001,0.08796,1.1004,2.62711,3.94589,0.39308,2.60827,2.36366,10.63638,5.99573,2.87015,0.11004,0.12109,1.18093,1.22793
"46","2022_Q1",94.585,"Down",586626000,-214602000,372024000,-212036000,-212036000,159988000,-7029000,-8755000,-56000,1782000,152959000,152959000,1894000,154853000,154853000,154853000,154853000,213197000,213197000,182629000,182629000,213520000,57223000,22605000,22301000,12317000,666569000,108398000,770101000,28802000,567201000,172498000,878499000,1545068000,345311000,162145000,16279000,166887000,388243000,371353000,371177000,1142743000,1530986000,496142000,-1684262000,1279040000,-76838000,14082000,14082000,1545068000,154853000,8144000,-40440000,89443000,2.12e+08,-20158000,0,-20157999.9999999,85000000.0000001,-501353000,-416618000,-224776000,-224776000,-43000,-224819000,168132000,771390000,235523000,0.63418,0.27273,0.26397,10.99652,0.10022,1.52095,1.71689,108.71936,0.49926,2.63145,2.57496,9.96866,0.2393,4.00229,0.13386,0.20359,3.31997,3.48897
"47","2022_Q2",60.7033870967742,"Down",660148000,-335224000,324924000,-206247000,-206247000,118677000,-19617000,-19150000,480000,-947000,99060000,99060000,-26300000,72760000,72760000,72760000,72760000,171969000,171969000,375750000,375750000,407589000,83230000,42061000,24536000,16633000,1038538000,135649000,3296473000,1895980000,547733000,210293000,3432122000,4470660000,456198000,202919000,67310000,185969000,530785000,739449000,409499000,3590705000,4121490000,774671000,-1690312000,1351800000,-86989000,349170000,349170000,4470660000,72760000,7895000,32201000,-181621000,-68765000,-39786000,85000,-2071466000,2155163000,-6288000,2099484000,-40747000,-40747000,-810000,-41557000,126572000,2876429000,-68535000,0.4922,0.17977,0.11022,0.208380000000004,0.01628,-0.94193,1.95661,11.80368,0.6434,1.23643,1.20988,11.21804,5.93352,-1.16463,0.01835,-0.01728,21.36697,22.78841
"48","2022_Q3",69.4271875,"Up",964581000,-466848000,497733000,-249769000,-249769000,247964000,-33660000,-32877000,-1202000,419000,214304000,214304000,-53989000,160315000,160315000,160315000,160315000,187352000,187352000,423490000,423490000,501527000,55938000,36941000,2223000,16774000,1168307000,140278000,3278057000,1804067000,513582000,246265000,3418335000,4586642000,526758000,225302000,58702000,242754000,602144000,749026000,436205000,3492533000,4094677000,783971000,-1690780000,1512115000,-113341000,491965000,491965000,4586642000,160315000,8859000,23338000,-39003000,153509000,-16958000,-105000,-25563000,-109486000,-468000,-111863000,16083000,16083000,-880000,15203000,256823000,2768910000,254851000,0.51601,0.25707,0.1662,0.32587,0.03495,1.58969,1.94025,8.32311,0.60369,2.60294,2.57592,15.66132,7.98774,4.13786,0.03998,0.06356,10.0519,10.41102
