"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","deferred_tax_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",38.927619047619,"Up",1.829e+09,-8.08e+08,1.021e+09,-6.33e+08,-2.62e+08,-3.71e+08,3.88e+08,-9.5e+07,-1.02e+08,-1.07e+08,5e+06,4e+06,3e+06,2.93e+08,2e+06,2.95e+08,-9.6e+07,1.99e+08,1.99e+08,1.99e+08,1.99e+08,4.33e+08,4.33e+08,9.61e+08,7.75e+08,1.18e+08,7.03e+08,1.2e+08,2.03e+08,3.61e+08,2.215e+09,1.5857e+10,2.2063e+10,-6.206e+09,6.6e+07,6.6e+07,3.485e+09,3.485e+09,1.9408e+10,2.1623e+10,7.19e+08,4.79e+08,2.4e+08,8.12e+08,3.95e+08,2.6e+08,1.35e+08,1.926e+09,9.233e+09,9.129e+09,6.057e+09,2.462e+09,3.595e+09,1.529e+10,1.7216e+10,4.93e+09,3e+06,4.927e+09,-5.11e+08,-4.9e+07,4.37e+09,3.7e+07,4.407e+09,2.1623e+10,1.99e+08,2.62e+08,1.11e+08,7.4e+07,6.46e+08,-3.65e+08,1.9e+07,-3.46e+08,-9.4e+07,2.1e+07,3e+06,3e+06,-2.4e+07,-9.4e+07,2.06e+08,2.06e+08,2.06e+08,6.5e+08,1.0045e+10,4.55e+08,0.55823,0.21214,0.1088,0.04516,0.0092,2.28643,1.15005,3.90651,0.46455,0.71097,0.71097,6.53448,15.61272,1.62558,0.33583,0.01429,0.02219,0.47236,14.78769,24.7732
"30","2017_Q3",40.0252380952381,"Up",1.449e+09,-6.3e+08,8.19e+08,-5.78e+08,-1.97e+08,-3.81e+08,2.41e+08,-1.03e+08,-1.08e+08,-1.1e+08,2e+06,3e+06,2000000.00000001,1.38e+08,2e+06,1.4e+08,-4.7e+07,9.3e+07,9.3e+07,9.2e+07,9.2e+07,4.18e+08,4.18e+08,8.59e+08,6.66e+08,1.21e+08,8.13e+08,1.17e+08,1.79e+08,4.99e+08,2.211e+09,1.6119e+10,2.243e+10,-6.311e+09,6.8e+07,6.8e+07,3.469e+09,3.469e+09,1.9656e+10,2.1867e+10,8.74e+08,5.99e+08,2.75e+08,8.4e+08,4.01e+08,2.56e+08,1.45e+08,2.115e+09,9.19e+09,9.091e+09,6.076e+09,2.511e+09,3.565e+09,1.5266e+10,1.7381e+10,5.009e+09,3e+06,5.006e+09,-5.12e+08,-4.8e+07,4.449e+09,3.7e+07,4.486e+09,2.1867e+10,9.3e+07,1.97e+08,6.8e+07,1.15e+08,4.73e+08,-3.81e+08,-7.9e+07,-4.6e+08,-9.4e+07,-1.1e+07,7.3e+07,7.3e+07,-3e+06,-3.5e+07,-2.2e+07,-2.2e+07,-2.2e+07,4.38e+08,1.003e+10,2.19e+08,0.56522,0.16632,0.06349,0.02051,0.00421,2.38043,1.04539,3.8745,0.45868,0.32822,0.32822,5.16946,15.87228,0.78131,0.33535,0.00903,0.01064,1.02174,21.94521,39.88382
"31","2017_Q4",41.3531746031746,"Up",1.527e+09,-6.38e+08,8.89e+08,-5.59e+08,-1.93e+08,-3.66e+08,3.3e+08,-1.02e+08,-1.08e+08,-1.11e+08,3e+06,3e+06,3e+06,2.28e+08,1e+06,2.29e+08,-5.7e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,1.42e+08,1.42e+08,8.28e+08,6.31e+08,1.26e+08,1.025e+09,1.18e+08,1.57e+08,7.19e+08,2.121e+09,1.6444e+10,2.2847e+10,-6.403e+09,7.1e+07,7.1e+07,3.484e+09,3.484e+09,1.9999e+10,2.212e+10,8.31e+08,6.24e+08,2.07e+08,9.8e+08,4.5e+08,9e+07,3.6e+08,2.261e+09,9.121e+09,9.024e+09,6.166e+09,2.589e+09,3.577e+09,1.5287e+10,1.7548e+10,5.016e+09,3e+06,5.013e+09,-4.34e+08,-4.7e+07,4.535e+09,3.7e+07,4.572e+09,2.212e+10,1.72e+08,1.93e+08,9.7e+07,-3.82e+08,8e+07,-4.62e+08,-8.6e+07,-5.48e+08,-9.4e+07,3.02e+08,4e+06,4e+06,-1.2e+07,2e+08,-2.68e+08,-2.68e+08,-2.68e+08,5.23e+08,1.0101e+10,-2.64e+08,0.58219,0.21611,0.11264,0.03762,0.00778,-1.53488,0.93808,3.83815,0.45665,0.6108,0.6108,5.42259,16.1044,-0.9375,0.33381,0.01276,-0.01267,0.54651,19.04207,30.17879
"32","2018_Q1",37.7,"Down",1.778e+09,-7.68e+08,1.01e+09,-6.31e+08,-2.29e+08,-4.02e+08,3.79e+08,-1.57e+08,-1.08e+08,-1.1e+08,2e+06,5e+06,-5.4e+07,2.22e+08,0,2.22e+08,-2.24e+08,-2000000.00000003,-2e+06,-3000000.00000003,-2999999.99999994,1.82e+08,1.82e+08,1.23e+09,1.032e+09,1.33e+08,9.3e+08,8.3e+07,2.57e+08,5.88e+08,2.475e+09,1.6761e+10,2.3271e+10,-6.51e+09,6.4e+07,6.4e+07,3.75e+09,3.75e+09,2.0575e+10,2.305e+10,9.56e+08,7.25e+08,2.31e+08,1.103e+09,7.25e+08,3.6e+08,3.65e+08,2.784e+09,9.214e+09,9.123e+09,6.574e+09,1.356e+09,5.218e+09,1.5788e+10,1.8572e+10,5.022e+09,3e+06,5.019e+09,-5.31e+08,-5e+07,4.441e+09,3.7e+07,4.478e+09,2.305e+10,-2e+06,2.29e+08,2.6e+08,18999999.9999999,5.06e+08,-4.57e+08,-5.7e+07,-5.14e+08,-9.5e+07,1.6e+08,3000000.00000001,3000000.00000001,-2.9e+07,3.9e+07,3.1e+07,3.1e+07,3.1e+07,6.08e+08,1.0317e+10,3.94e+08,0.56805,0.21316,-0.00169000000000002,-0.00067,-0.00013,-131.33333,0.88901,4.14739,0.44759,-0.01066,-0.0106599999999999,6.31841,15.78181,1.40014,0.3376,0.00431,0.01844,-31.66667,16.66941,26.74142
"33","2018_Q2",39.16921875,"Up",1.953e+09,-9.14e+08,1.039e+09,-6.76e+08,-2.79e+08,-3.97e+08,3.63e+08,-8.3e+07,-1.09e+08,-1.11e+08,2e+06,3e+06,2.3e+07,2.8e+08,1e+06,2.81e+08,-4e+07,2.41e+08,2.41e+08,2.41e+08,2.41e+08,1.95e+08,1.95e+08,1.203e+09,1.002e+09,1.36e+08,6.73e+08,1.01e+08,2.07e+08,3.63e+08,2.207e+09,1.6904e+10,2.3586e+10,-6.682e+09,6.7e+07,6.7e+07,3.69e+09,3.69e+09,2.0661e+10,2.2868e+10,7.97e+08,5.34e+08,2.63e+08,1.286e+09,3.99e+08,2.65e+08,1.34e+08,2.482e+09,9.082e+09,8.996e+09,6.671e+09,1.412e+09,5.259e+09,1.5753e+10,1.8235e+10,5.04e+09,3e+06,5.037e+09,-3.83e+08,-6.1e+07,4.596e+09,3.7e+07,4.633e+09,2.2868e+10,2.41e+08,2.79e+08,4.7e+07,1.41e+08,7.08e+08,-4.22e+08,-3.4e+07,-4.56e+08,-1.01e+08,-1.09e+08,3e+06,3e+06,-2.2e+07,-2.29e+08,2.3e+07,2.3e+07,2.3e+07,6.42e+08,1.0368e+10,4.01e+08,0.532,0.18587,0.1234,0.05202,0.01054,1.6639,0.8892,3.93589,0.45338,0.854,0.854,6.92062,16.28632,1.42098,0.3579,0.01578,0.0185,0.41909,15.84579,28.02479
"34","2018_Q3",42.5926984126984,"Up",1.492e+09,-6.39e+08,8.53e+08,-5.98e+08,-2.04e+08,-3.94e+08,2.55e+08,-9.1e+07,-1.08e+08,-1.12e+08,4e+06,4e+06,1.3e+07,1.64e+08,1e+06,1.65e+08,-2.5e+07,1.4e+08,1.4e+08,1.39e+08,1.39e+08,4.77e+08,4.77e+08,9.14e+08,7.08e+08,1.43e+08,7.52e+08,9.3e+07,1.87e+08,4.72e+08,2.286e+09,1.7237e+10,2.4045e+10,-6.808e+09,7.4e+07,7.4e+07,3.715e+09,3.715e+09,2.1026e+10,2.3312e+10,9.35e+08,6.23e+08,3.12e+08,1.216e+09,3.84e+08,2.67e+08,1.17e+08,2.535e+09,9.353e+09,9.272e+09,6.715e+09,1.446e+09,5.269e+09,1.6068e+10,1.8603e+10,5.079e+09,3e+06,5.076e+09,-3.46e+08,-6.1e+07,4.672e+09,3.7e+07,4.709e+09,2.3312e+10,1.4e+08,2.04e+08,3.5e+07,3.29e+08,7.08e+08,-4.5e+08,-1.02e+08,-5.52e+08,-1.03e+08,2.09e+08,3.3e+07,3.3e+07,-2.1e+07,1.18e+08,2.74e+08,2.74e+08,2.74e+08,4.59e+08,1.0569e+10,3.63e+08,0.57172,0.17091,0.09316,0.02952,0.00596,2.61151000000001,0.90178,3.95052,0.45337,0.49186,0.49186,5.27955,16.5322,1.2845,0.36447,0.011,0.01651,0.741009999999999,21.98693,39.57647
"35","2018_Q4",44.4631746031746,"Up",1.599e+09,-6.66e+08,9.33e+08,-6.39e+08,-2.06e+08,-4.33e+08,2.94e+08,-9.4e+07,-1.12e+08,-1.14e+08,2e+06,-1e+06,1.9e+07,2e+08,2e+06,2.02e+08,-3.3e+07,1.69e+08,1.69e+08,1.69e+08,1.69e+08,3.23e+08,3.23e+08,9.47e+08,7.1e+08,1.4e+08,9.64e+08,1.03e+08,1.67e+08,6.68e+08,2.374e+09,1.779e+10,2.4699e+10,-6.909e+09,7.2e+07,7.2e+07,3.677e+09,3.677e+09,2.1539e+10,2.3913e+10,9.51e+08,6.8e+08,2.71e+08,1.971e+09,5.2e+08,1.07e+08,4.13e+08,3.442e+09,8.944e+09,8.869e+09,6.741e+09,1.483e+09,5.258e+09,1.5685e+10,1.9127e+10,5.086e+09,3e+06,5.083e+09,-2.78e+08,-5.9e+07,4.749e+09,3.7e+07,4.786e+09,2.3913e+10,1.69e+08,2.06e+08,5.5e+07,-2.81e+08,1.49e+08,-5.54e+08,-2.53e+08,-8.07e+08,-1.01e+08,6.37e+08,3e+06,3e+06,-1.6e+07,5.23e+08,-1.35e+08,-1.35e+08,-1.35e+08,5e+08,1.0915e+10,-3.02e+08,0.58349,0.18386,0.10569,0.03531,0.00707,-1.78698,0.68972,3.99645,0.45645,0.59675,0.59675,5.64619,16.76907,-1.06638,0.35664,0.01203,-0.01346,0.59763,21.184,36.02721
"36","2019_Q1",46.7555737704918,"Up",1.829e+09,-8.39e+08,9.9e+08,-7.4e+08,-2.44e+08,-4.96e+08,2.5e+08,-1.26e+08,-1.18e+08,-1.21e+08,3e+06,3e+06,-1.1e+07,1.24e+08,2e+06,1.26e+08,-1.7e+07,1.09e+08,1.09e+08,1.08e+08,1.08e+08,1.53e+08,1.53e+08,1.197e+09,9.64e+08,1.43e+08,9.75e+08,1.01e+08,2.79e+08,5.95e+08,2.468e+09,1.8126e+10,2.5163e+10,-7.037e+09,6.9e+07,6.9e+07,3.866e+09,3.866e+09,2.2061e+10,2.4529e+10,9.86e+08,7.23e+08,2.63e+08,9.96e+08,6.42e+08,3.98e+08,2.44e+08,2.624e+09,1.0684e+10,1.0615e+10,6.429e+09,1.586e+09,4.843e+09,1.7113e+10,1.9737e+10,5.091e+09,3e+06,5.088e+09,-2.71e+08,-6.5e+07,4.755e+09,3.7e+07,4.792e+09,2.4529e+10,1.09e+08,2.44e+08,-1.31e+08,-8.4e+07,1.38e+08,-6.48e+08,-1.43e+08,-7.91e+08,-1.02e+08,6e+08,2e+06,2e+06,-3.8e+07,4.62e+08,-1.91e+08,-1.91e+08,-1.91e+08,4.94e+08,1.168e+10,-2.21e+08,0.54128,0.13669,0.05905,0.02254,0.0044,-2.0463,0.94055,4.11874,0.47617,0.38082,0.38082,6.44922,16.76657,-0.77927,0.35966,0.00917,-0.00965,0.94444,23.33401,46.108
"37","2019_Q2",50.1244444444444,"Up",2.059e+09,-9.42e+08,1.117e+09,-7.58e+08,-2.98e+08,-4.6e+08,3.59e+08,-1e+08,-1.2e+08,-1.21e+08,1e+06,-1e+06,2.1e+07,2.59e+08,2e+06,2.61e+08,-4.8e+07,2.13e+08,2.13e+08,2.13e+08,2.13e+08,2.34e+08,2.34e+08,1.247e+09,9.97e+08,1.48e+08,7.47e+08,9.7e+07,2.26e+08,3.85e+08,2.376e+09,1.8315e+10,2.5551e+10,-7.236e+09,6.2e+07,6.2e+07,4.04e+09,4.04e+09,2.2417e+10,2.4793e+10,7.91e+08,5.44e+08,2.47e+08,8.42e+08,4.73e+08,2.95e+08,1.78e+08,2.106e+09,1.1196e+10,1.1105e+10,6.596e+09,1.642e+09,4.954e+09,1.7792e+10,1.9898e+10,5.09e+09,3e+06,5.087e+09,-1.66e+08,-6.6e+07,4.858e+09,3.7e+07,4.895e+09,2.4793e+10,2.13e+08,2.98e+08,5.9e+07,4.7e+07,6.17e+08,-6.02e+08,-7.3e+07,-6.75e+08,-1.08e+08,2.87e+08,3e+06,3e+06,-3.2e+07,1.5e+08,9.2e+07,9.2e+07,9.2e+07,6.57e+08,1.2038e+10,1.5e+08,0.5425,0.17436,0.10345,0.04351,0.00859,0.70423,1.12821,4.06496,0.48554,0.75106,0.75106,7.26023,17.12976,0.52891,0.38082,0.01364,0.00638,0.50704,17.96651,32.88022
"38","2019_Q3",54.5875,"Up",1.445e+09,-5.98e+08,8.47e+08,-6.3e+08,-2.16e+08,-4.14e+08,2.17e+08,-1.07e+08,-1.29e+08,-1.31e+08,2e+06,2e+06,2e+07,1.1e+08,3e+06,1.13e+08,-2e+07,9.3e+07,9.3e+07,9.2e+07,9.2e+07,3.12e+08,3.12e+08,9.98e+08,7.49e+08,1.47e+08,7.97e+08,8.3e+07,2.04e+08,4.7e+08,2.254e+09,1.8106e+10,2.5236e+10,-7.13e+09,6.4e+07,6.4e+07,4.868e+09,4.868e+09,2.3038e+10,2.5292e+10,8.32e+08,6.27e+08,2.05e+08,1.077e+09,4.77e+08,2.95e+08,1.82e+08,2.386e+09,1.1322e+10,1.1236e+10,6.696e+09,1.665e+09,5.031e+09,1.8018e+10,2.0404e+10,5.1e+09,3e+06,5.097e+09,-1.82e+08,-6.7e+07,4.851e+09,3.7e+07,4.888e+09,2.5292e+10,9.4e+07,2.16e+08,1e+07,2.48e+08,5.68e+08,-5.91e+08,-1.44e+08,-7.35e+08,-1.1e+08,3.38e+08,3e+06,3e+06,3e+06,2.34e+08,6.7e+07,6.7e+07,6.7e+07,4.33e+08,1.2399e+10,1.1e+08,0.58616,0.15017,0.06367,0.01882,0.00364,1.19565,0.94468,4.1743,0.49023,0.32394,0.32394,5.08803,17.08099,0.38732,0.38732,0.00842,0.00459,1.19565,27.91455,55.70046
"39","2019_Q4",56.38578125,"Up",1.546e+09,-5.96e+08,9.5e+08,-5.98e+08,-2.15e+08,-3.83e+08,3.52e+08,-1.04e+08,-1.31e+08,-1.33e+08,2e+06,5e+06,2.2e+07,2.48e+08,2e+06,2.5e+08,-4.2e+07,2.08e+08,2.08e+08,2.08e+08,2.08e+08,4.03e+08,4.03e+08,8.75e+08,6.41e+08,1.42e+08,8.85e+08,8.6e+07,1.84e+08,6.15e+08,2.305e+09,1.8524e+10,2.5788e+10,-7.264e+09,6.8e+07,6.8e+07,5.112e+09,5.112e+09,2.3704e+10,2.6009e+10,7.96e+08,5.98e+08,1.98e+08,1.074e+09,2.95e+08,1.25e+08,1.7e+08,2.165e+09,1.2121e+10,1.204e+10,6.729e+09,1.704e+09,5.025e+09,1.885e+10,2.1015e+10,5.107e+09,3e+06,5.104e+09,-8.3e+07,-6.7e+07,4.957e+09,3.7e+07,4.994e+09,2.6009e+10,2.07e+08,2.15e+08,9e+06,-2.21e+08,2.1e+08,-5.88e+08,-2.14e+08,-8.02e+08,-1.08e+08,8.06e+08,3e+06,3e+06,-1e+07,6.91e+08,9.9e+07,9.9e+07,9.9e+07,5.67e+08,1.3195e+10,-2e+08,0.61449,0.22768,0.13454,0.04165,0.008,-0.96154,1.06467,4.20805,0.50732,0.72982,0.72982,5.42456,17.39298,-0.70175,0.37895,0.01268,-0.00803,0.51923,22.56085,36.34091
"40","2020_Q1",58.2125806451613,"Up",1.574e+09,-6.97e+08,8.77e+08,-6.9e+08,-2.6e+08,-4.3e+08,1.87e+08,-5e+07,-7.3e+07,-7.5e+07,2e+06,4e+06,1.9e+07,1.37e+08,3e+06,1.4e+08,-2.1e+07,1.19e+08,1.68e+08,1.67e+08,1.67e+08,1.4e+08,1.4e+08,1.128e+09,8.86e+08,1.4e+08,9.23e+08,8.6e+07,3.05e+08,5.32e+08,2.331e+09,1.8926e+10,2.6286e+10,-7.36e+09,7.1e+07,7.1e+07,5.509e+09,5.509e+09,2.4506e+10,2.6837e+10,7.74e+08,6.22e+08,1.52e+08,1.22e+09,7.1e+08,4.37e+08,2.73e+08,2.704e+09,1.2027e+10,1.2027e+10,7.051e+09,1.775e+09,4.602e+09,1.9078e+10,2.1782e+10,5.116e+09,3e+06,5.113e+09,-2.5e+07,-7.3e+07,5.018e+09,3.7e+07,5.055e+09,2.6837e+10,1.68e+08,2.6e+08,3.7e+07,-1.09e+08,3.95e+08,-2.19e+08,-3.85e+08,-6.04e+08,-1.1e+08,-5.72e+08,3e+06,3e+06,-1.9e+07,-67000000.0000001,-2.76e+08,-2.76e+08,-2.76e+08,4.47e+08,1.3247e+10,1.4e+08,0.55718,0.11881,0.1061,0.03304,0.00622,0.83832,0.86206,4.309,0.49361,0.58679,0.58679,5.53057,17.63176,0.49192,0.38651,0.01093,0.00552,0.65868,29.32215,70.09091
"41","2020_Q2",53.0093650793651,"Down",1.864e+09,-7.51e+08,1.113e+09,-7.45e+08,-3.16e+08,-4.29e+08,3.68e+08,-9.9e+07,-1.29e+08,-1.37e+08,8e+06,3e+06,2.7e+07,2.69e+08,1e+06,2.7e+08,-2.7e+07,2.43e+08,2.43e+08,2.43e+08,2.43e+08,8.34e+08,8.34e+08,1.125e+09,8.84e+08,1.43e+08,7.15e+08,1.01e+08,2.46e+08,3.68e+08,2.817e+09,1.9144e+10,2.6707e+10,-7.563e+09,7.2e+07,7.2e+07,5.414e+09,5.414e+09,2.463e+10,2.7447e+10,7.27e+08,4.9e+08,2.37e+08,1.721e+09,4.92e+08,3.3e+08,1.62e+08,2.94e+09,1.2616e+10,1.2545e+10,6.669e+09,1.841e+09,4.828e+09,1.9285e+10,2.2225e+10,5.21e+09,3e+06,5.207e+09,5.1e+07,-7.6e+07,5.185e+09,3.7e+07,5.222e+09,2.7447e+10,2.43e+08,3.16e+08,-4.55e+08,9.7e+07,2.01e+08,-5.23e+08,-3.6e+07,-5.59e+08,-1.16e+08,1.099e+09,1.01e+08,1.01e+08,-2.2e+07,1.062e+09,7.04e+08,7.04e+08,7.04e+08,6.84e+08,1.4337e+10,2.85e+08,0.5971,0.19742,0.13036,0.04653,0.00885,1.17284,0.95816,4.25603,0.52235,0.85203,0.85203,6.53576,18.18022,0.9993,0.40673,0.01369,0.01087,0.47737,19.74123,36.69293
"42","2020_Q3",56.47703125,"Up",1.32e+09,-5.21e+08,7.99e+08,-5.84e+08,-2.21e+08,-3.63e+08,2.15e+08,-8.2e+07,-1.11e+08,-1.12e+08,1e+06,-2e+06,3.1e+07,1.33e+08,3e+06,1.36e+08,-2.1e+07,1.15e+08,1.37e+08,1.36e+08,1.36e+08,1.587e+09,1.587e+09,1.001e+09,7.37e+08,1.5e+08,7.94e+08,1.62e+08,2.23e+08,4.09e+08,3.532e+09,1.9436e+10,2.7133e+10,-7.697e+09,6.8e+07,6.8e+07,5.545e+09,5.545e+09,2.5049e+10,2.8581e+10,8.72e+08,6.29e+08,2.43e+08,1.744e+09,5.07e+08,3.26e+08,1.81e+08,3.123e+09,1.3481e+10,1.3414e+10,6.726e+09,1.881e+09,4.845e+09,2.0207e+10,2.333e+10,5.22e+09,3e+06,5.217e+09,7e+07,-7.6e+07,5.214e+09,3.7e+07,5.251e+09,2.8581e+10,1.37e+08,2.23e+08,39000000.0000001,1.96e+08,5.95e+08,-4.38e+08,-1.71e+08,-6.09e+08,-1.18e+08,9.04e+08,3e+06,3e+06,-3.2e+07,7.57e+08,7.43e+08,7.43e+08,7.43e+08,4.38e+08,1.5225e+10,2.17e+08,0.6053,0.16288,0.10303,0.0259,0.00476,1.59559,1.13096,4.44296,0.5327,0.47486,0.47486,4.60894,18.20531,0.75768,0.41201,0.00934,0.00798,0.86765,31.13699,63.43256
"43","2020_Q4",58.01921875,"Up",1.507e+09,-5.86e+08,9.21e+08,-5.81e+08,-2.26e+08,-3.55e+08,3.4e+08,-1.02e+08,-1.28e+08,-1.29e+08,1e+06,0,2.6e+07,2.38e+08,0,2.38e+08,-4e+07,1.98e+08,2.1e+08,2.18e+08,2.18e+08,5.19e+08,5.19e+08,9.2e+08,6.48e+08,1.54e+08,9.01e+08,1.48e+08,1.99e+08,5.54e+08,2.494e+09,2.063e+10,2.8475e+10,-7.845e+09,6.8e+07,6.8e+07,6.088e+09,6.088e+09,2.6786e+10,2.928e+10,8.72e+08,6.62e+08,2.1e+08,1.799e+09,3.21e+08,1.28e+08,1.93e+08,2.992e+09,1.3336e+10,1.3275e+10,7.054e+09,1.937e+09,5.117e+09,2.039e+10,2.3382e+10,5.228e+09,3e+06,5.225e+09,1.71e+08,-7.9e+07,5.32e+09,5.78e+08,5.898e+09,2.928e+10,2.1e+08,2.24e+08,3e+06,-1.24e+08,3.48e+08,-7.32e+08,-3.98e+08,-1.13e+09,-1.17e+08,-1.034e+09,3e+06,3e+06,4.28e+08,-2.64e+08,-1.046e+09,-1.046e+09,-1.046e+09,5.64e+08,1.5135e+10,-2.52e+08,0.61115,0.22561,0.14466,0.03696,0.00745,-1.15596,0.83356,3.96439,0.51691,0.75879,0.75879,5.24539,18.51723,-0.87713,0.40724,0.01193,-0.00897,0.5367,25.91489,42.98824
"44","2021_Q1",53.7449180327869,"Down",1.727e+09,-6.5e+08,1.077e+09,-7.7e+08,-2.8e+08,-4.9e+08,3.07e+08,-2.56e+08,-1.37e+08,-133533324.735853,1571564.7407208,-1e+06,-1.18e+08,5.1e+07,1.14e+08,1.65e+08,-2.7e+07,1.38e+08,1.62e+08,1.58e+08,1.58e+08,3.2e+07,3.2e+07,8.53e+08,8.53e+08,1.55e+08,1.364e+09,1.04e+08,3.32e+08,4.99e+08,2.404e+09,2.1017e+10,2.8955e+10,-7.938e+09,7e+07,7e+07,6.175e+09,6.175e+09,2.7262e+10,2.9666e+10,7.92e+08,6.61e+08,1.31e+08,5.91e+08,1.691e+09,4.54e+08,1.237e+09,3.074e+09,1.18e+10,1.18e+10,8.715e+09,1.978e+09,6.585e+09,2.0515e+10,2.3589e+10,5.368e+09,3e+06,5.365e+09,2.14e+08,-8.6e+07,5.496e+09,5.81e+08,6.077e+09,2.9666e+10,1.62e+08,2.8e+08,-1.14e+08,-1.94e+08,1.32e+08,-6.18e+08,4.76e+08,-5.69e+08,-1.16e+08,1.1e+08,1.46e+08,1.46e+08,-3.6e+07,-3.52e+08,-7.89e+08,-3.73e+08,-3.73e+08,783100347.03157,1.2391e+10,46406866.0607199,0.62362,0.17776,0.09149,0.026,0.00533,-0.698655111075691,0.78204,3.88169,0.41768,0.55187,0.55187,6.03213,19.19665,0.154937264634881,0.419234515739717,0.00581,0.00143560303493599,0.249307601686949,18.945193319818,40.25733
"45","2021_Q2",58.5620634920635,"Up",2.013e+09,-8.12e+08,1.201e+09,-7.71e+08,-3.38e+08,-4.33e+08,4.3e+08,-8.1e+07,-1.23e+08,-1.24e+08,1e+06,2e+06,4e+07,3.49e+08,1e+06,3.5e+08,-4.2e+07,3.08e+08,3.42e+08,3.49e+08,3.49e+08,4.96e+08,4.96e+08,1.123e+09,8.39e+08,1.62e+08,7.32e+08,1.45e+08,2.67e+08,3.2e+08,2.513e+09,2.1207e+10,2.9385e+10,-8.178e+09,7.2e+07,7.2e+07,5.931e+09,5.931e+09,2.721e+10,2.9723e+10,6.6e+08,5.38e+08,1.22e+08,1.506e+09,7.19e+08,3.6e+08,3.59e+08,2.885e+09,1.3612e+10,1.3612e+10,6.924e+09,2.04e+09,4.733e+09,2.0536e+10,2.3421e+10,5.374e+09,3e+06,5.371e+09,4.37e+08,-8.4e+07,5.727e+09,5.75e+08,6.302e+09,2.9723e+10,3.42e+08,3.38e+08,3.5e+07,1.17e+08,8.32e+08,-4.36e+08,1.53e+08,-2.83e+08,-1.26e+08,-2e+06,9e+06,9e+06,-1.8e+07,-2.1e+08,3.39e+08,3.39e+08,3.39e+08,7.68e+08,1.5118e+10,4.91e+08,0.59662,0.21361,0.17337,0.05538,0.01174,1.40688,0.87106,3.71644,0.50863,1.20719,1.20719,6.96299,19.80975,1.69837,0.43584,0.01676,0.01732,0.36103,19.03906,34.00465
