"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",342.686290322581,"Up",942647000,-465921000,476726000,-292340000,-292340000,184386000,-99520000,-97813000,-1707000,84866000,-1708000,83158000,-19494000,63664000,61750000,61750000,61750000,751885000,748476000,396245000,396245000,319396000,319396000,1467526000,7199210000,3931593000,719231000,2986064000,226298000,11140845000,12608371000,726581000,581739000,144842000,168974000,133140000,133140000,1028695000,6590599000,623248000,623248000,7213847000,8242542000,7413591000,18584000,-2918787000,4365829000,4365829000,12608371000,61750000,209797000,56789000,39837000,16952000,-27718000,-27423000,73091000,-73386000.0000001,300618000,-362936000,-10589000,-361536000,-32045000,36000,-880000,-158201000,-219119000,-215364000,-34930000,-250294000,394183000,6759573000,23023000,0.50573,0.1956,0.06551,0.01414,0.0049,0.372840000000004,1.42659,1.88797,0.53612,0.86464,0.84752,13.1992,61.13151,0.322369999999999,0.01592,0.00196,15.24086,32.58213
"29","2017_Q2",384.504761904762,"Up",949525000,-468961000,480564000,-310326000,-310326000,170238000,-108255000,-108592000,337000,61983000,-6528000,55455000,-13393000,42062000,42062000,42062000,42062000,4938001000,4923259000,429990000,429990000,206026000,206026000,5574017000,7605829000,3998377000,710706000,3053026000,234645000,11610667000,17184684000,706135000,515959000,190176000,180001000,133932000,133932000,1020068000,9001368000,645409000,645409000,9646777000,10666845000,9601705000,61769000,-2998699000,6517839000,6517839000,17184684000,42062000,217006000,63793000,38323000,25470000,-75490000,-39664000,-65414000,29588000,247371000,-229475000,-26256000,-314359000,2271694000,2146332000,-44697000,4225246000,4158258000,4158258000,11541000,4169799000,387244000,9181369000,95672000,0.50611,0.17929,0.0443,0.00645,0.00245,2.27455,5.46436,1.63656,0.53428,0.57799,0.57331,13.04776,89.56397,1.31466,0.01163,0.00584999999999998,10.95787,24.92609
"30","2017_Q3",408.121746031746,"Up",1066421000,-522203000,544218000,-332921000,-332921000,211297000,-113321000,-114605000,1284000,97976000,-42846000,55130000,-9325000,45805000,45805000,45805000,45805000,1068019000,1063777000,545734000,545734000,235871000,235871000,1849624000,8746595000,6871329000,2382230000,4225553000,263546000,15624313000,17473937000,804974000,612593000,192381000,145959000,140502000,140502000,1091435000,9143160000,715679000,715679000,9858839000,10950274000,9648895000,107574000,-3085824000,6523663000,6523663000,17473937000,45805000,254786000,67574000,45625000,21949000,-61692000,-112236000,81585000,-31041000,306473000,-348572000,-1000.00000000373,-3938723000,-48659000,127999.999999523,-8076000,-212896999.999999,-3845147000,-3845147000,5327000,-3839820000,466083000,9289119000,65144000.0000001,0.51032,0.19814,0.04295,0.00702,0.00262,1.4222,1.69467,1.67855,0.5316,0.58782,0.58344,13.68557,83.71935,0.836,0.01223,0.00394,17.6387,38.90779
"31","2017_Q4",423.438095238095,"Up",1152261000,-582360000,569901000,-342955000,-342955000,226946000,-120613000,-119537000,-1076000,106333000,-24239000,82094000,-2194000,79900000,79900000,79900000,79900000,1629560000,1599988000,597242000,597242000,217006000,217006000,2443808000,9006171000,6847632000,2335175000,4226490000,285967000,15864688000,18308496000,862673000,657229000,205444000,144656000,149295000,149295000,1156624000,9880974000,728681000,728681000,10609655000,11766279000,9718659000,187474000,-3217547000,6542217000,6542217000,18308496000,79900000,278411000,70764000,45654000,25110000,-38565000,-50530000,28781000,-16816000,390510000,-320234000,-31669000,-363748000,662693000,21506000,-28033000,496625000,523387000,523387000,9582000,532969000,505357000,10025630000,148752000,0.49459,0.19696,0.06934,0.01221,0.00436,1.86173,2.11288,1.79852,0.54759,1.02364,1.015,14.76217,83.81548,1.90573,0.01384,0.0086,16.61414,36.99589
"32","2018_Q1",386.746885245902,"Down",1200221000,-619625000,580596000,-341428000,-341428000,239168000,-114221000,-122889000,8668000,124947000,-30794000,94153000,-28938000,65215000,65215000,65215000,65215000,1440788000,1412517000,576313000,576313000,232027000,232027000,2249128000,9394602000,7038484000,2384972000,4411762000,241750000,16442329000,18691457000,939624000,719257000,220367000,143196000,159914000,159914000,1242734000,9937223000,661710000,661710000,10598933000,11841667000,10121402000,252689000,-3377981000,6849790000,6849790000,18691457000,65215000,292277000,57974000,45898000,12076000,79413000,40656000,29536000,9221000,494879000,-432677000,1.11758708953857e-08,-783996000,-71418999.9999996,355151000,-27263000,98886000,-190231000,-190231000,4737000,-185494000.000002,531445000,10080419000,207119000,0.48374,0.19927,0.05434,0.00952,0.00349,3.17594,1.80982,1.72876,0.53931,0.82902,0.81984,15.25737,87.07545,2.63292,0.01266,0.01177,16.25687,36.12369
"33","2018_Q2",373.7334375,"Down",1215877000,-622430000,593447000,-362933000,-362933000,230514000,-124731000,-121667000,-3064000,105783000,-26130000,79653000,-16759000,62894000,62894000,62894000,62894000,2050841000,2023808000,645468000,645468000,247175000,247175000,2943484000,9696692000,7289579000,2356608000,4485155000,447816000,16998444000,19941928000,944425000,686612000,257813000,157085000,144965000,144965000,1246475000,10946746000,608156000,608156000,11554902000,12801377000,10193110000,587483000,-3494347000,7140551000,7140551000,19941928000,62894000,307568000,75911000,42536000,33375000,-145466000,-71275000,-35143000,-39048000,300907000,-349729000,-29265000,-364926000,867464000,25847000,-32287000,674025000,610006000,610006000,7903000,617909000,538082000,11103831000,59646000,0.48808,0.18959,0.05173,0.00881,0.00315,0.94836,2.36145,1.79277,0.55681,0.79371,0.78964,15.34404,90.11182,0.75272,0.01326,0.00316,16.82455,39.27306
"34","2018_Q3",407.138095238095,"Up",1261943000,-651801000,610142000,-364691000,-364691000,245451000,-121849000,-130715000,8866000,123602000,-49628000,73974000,-6356000,67618000,67618000,67618000,67618000,984507000,966308000,616472000,616472000,249846000,249846000,1850825000,10378915000,7836348000,2440087000,4870300000,525961000,18219463000,20070288000,979993000,710584000,269409000,311315000,142312000,142312000,1433620000,11078691000,633450000,633450000,11712141000,13145761000,10253235000,655101000,-3838177000,6924527000,6924527000,20070288000,67618000,307331000,76121000,49725000,26396000,87658000,32834000,10818000,44006000,538728000,-520239000,-25156000,-1365074000,-32885000.0000002,7634999.99999994,728000,-206282000,-1032628000,-1032628000,-33743000,-1066371000,552782000,11390006000,126557000,0.48349,0.1945,0.05358,0.00976,0.00337,1.87165,1.29102,1.89843,0.56751,0.85077,0.84785,15.87769,87.12398,1.59233,0.01316,0.00668,18.82387,42.39339
"35","2018_Q4",364.577142857143,"Down",1283751000,-660309000,623442000,-364822000,-364822000,258620000,-123910000,-127654000,3744000,134710000,8625000,143335000,-18510000,124825000,124825000,124825000,124825000,885901000,870486000,662401000,662401000,258685000,258685000,1806987000,10682826000,7798258000,2383377000,4852549000,562332000,18481084000,20288071000,1015431000,739117000,276314000,322064000,123824000,123824000,1461319000,11032519000,634060000,634060000,11666579000,13127898000,10593041000,779926000,-4067578000,7160173000,7160173000,20288071000,124825000,305726000,49553000,47588000,1965000,-62942000,-46685000,29107000,-45364000,417162000,-533387000,-760000,-619957000,768000,290494000,-1215000,104064000,-98731000,-98731000,-5104000,-103835000,564346000,11354583000,-13473000,0.48564,0.20146,0.09723,0.01743,0.00615,-0.10794,1.23655,1.83346,0.55967,1.56281,1.55481,16.0726,89.6456,-0.16868,0.01623,-7e-04,18.55011,40.47901
"36","2019_Q1",382.98606557377,"Up",1310083000,-670935000,639148000,-367950000,-367950000,271198000,-122478000,-126976000,4498000,148720000,-12644000,136076000,-26054000,110022000,110022000,110022000,110022000,610706000,606166000,630119000,630119000,274857000,274857000,1515682000,11026020000,7702936000,2333296000,4836388000,533252000,18728956000,20244638000,936104000,756692000,179412000,451972000,126995000,126995000,1515071000,10880525000,629763000,629763000,11510288000,13025359000,10751394000,889948000,-4276902000,7219279000,7219279000,20244638000,110022000,306864000,65009000,40867000,24142000,76734000,32195000,30713000,13826000,558629000,-863083000,75778000,-725571000,18042000,64196000,724999.999999999,-100895000,-267837000,-267837000,-2962999.99999999,-270800000,578062000,11332497000,-182233000,0.48787,0.20701,0.08398,0.01524,0.00543,-1.65633,1.0004,1.80425,0.55978,1.36633,1.35655,16.26947,89.65376,-2.26309,0.01532,-0.0095,18.54782,39.53492
"37","2019_Q2",453.81,"Up",1363218000,-682030000,681188000,-384761000,-384761000,296427000,-118810000,-118644000,-166000,177617000,-17301000,160316000,-42569000,117747000,117747000,118078000,118078000,1647677000,1633844000,703835000,703835000,274259000,274259000,2625771000,10898210000,8967110000,2243106000,4808085000,1915919000,19865320000,22491091000,1009912000,746771000,263141000,373284000,302155000,302155000,1685351000,10520368000,1860584000,1860584000,12380952000,14066303000,12043140000,1002053000,-4475280000,8425112000,8424788000,22491091000,117747000,313178000,76599000,49023000,27576000,-86383000,-84350000,-11463000,9430000,421141000,-363967000,-9297000,-378467000,-49492000,1241027000,0,986932000,1029606000,1029606000,-1695000,1027911000,609605000,10893652000,201824000,0.49969,0.21745,0.08662,0.01402,0.00525,1.70924,1.558,1.66963,0.48435,1.44325,1.4384,16.6624,102.97885,2.46686,0.01524,0.00953,15.16716,31.19141
"38","2019_Q3",510.78578125,"Up",1384977000,-698179000,686798000,-391857000,-391857000,294941000,-100605000,-112785000,12180000,194336000,-3160000,191176000,-47324000,143852000,143852000,143527000,143527000,1630748000,1613529000,752680000,752680000,605073000,251451000,2988501000,10992740000,8905264000,2204405000,4768880000,1931979000,19898004000,22886505000,1113363000,768670000,344693000,373724000,397318000,397318000,1884405000,10367694000,1885177000,1885177000,12252871000,14137276000,12450699000,1145580000,-4702312000,8749242000,8749229000,22886505000,143852000,319224000,71214000,61519000,9695000,8633000.00000003,-42370000,7476000,43527000,542923000,-444171000,-11490000,-523092000,-179832000,348121000,-9.31322574615479e-10,-40160000.0000002,-20329000,-20328999.9999998,2106000,-18223000,614165000,10741418000,225951000,0.49589,0.21296,0.10363,0.0164,0.00627,1.57428,1.58591,1.61583,0.46933,1.70027,1.6915,16.40696,103.64681,2.6767,0.01647,0.01057,14.83424,30.88981
"39","2019_Q4",536.43015625,"Up",1396810000,-704339000,692471000,-403386000,-403386000,289085000,-107045000,-110473000,3428000,182040000,-3402000,178638000,-57827000,120811000,120811000,120850000,120850000,1421967000,1402400000,746571000,746571000,684719000,305246000,2853257000,11229197000,8759879000,2127843000,4648913000,1983123000,19989076000,22842333000,1090640000,755150000,335490000,371255000,374588000,374588000,1836483000,10352006000,1892813000,1892813000,12244819000,14081302000,12635536000,1266430000,-4996554000,8761111000,8761031000,22842333000,120811000,321891000,70153000,63871000,6282000,-13861000,3331000,10647000,-27839000,498994000,-556705000,-2905000,-576462000,-37257000,123846000,0,-126163000,-203631000,-203631000,-13528000,-217159000,610976000,10723261000,98237000,0.49575,0.20696,0.08652,0.01379,0.00529,0.81288,1.55365,1.60727,0.46945,1.42125,1.40971,16.42707,103.03432,1.15531,0.01561,0.0046,15.22367,32.17495
"40","2020_Q1",573.52935483871,"Up",1417135000,-725636000,691499000,-406060000,-406060000,285439000,-97749000,-110085000,12336000,187690000,-25223000,162467000,-37632000,124835000,124835000,124995000,124995000,1879939000,1869577000,689134000,689134000,303543000,303543000,2872616000,12152597000,8940402000,2102389000,4781858000,2056155000,21092999000,23965615000,1062253000,760718000,301535000,720827000,374783000,374783000,2157863000,9599107000,3368263000,3368263000,12967370000,15125233000,12696519000,-2777044000,-934613000,8840606000,8840382000,23965615000,124835000,330544000,75999000,62126000,13873000,-1708000.00000001,96480000,-34588000,-63600000,529670000,-525058000,3169000,-466546000,658485000,0,-66652000,381473000,444597000,444597000,21883000,466480000,615983000,10319934000,126849000,0.48796,0.20142,0.0882,0.01414,0.00522,1.01483,1.33123,1.71093,0.43061,1.46534,1.45264,16.61335,103.64012,1.48708,0.01489,0.00563,13.70167,29.56847
"41","2020_Q2",651.316984126984,"Up",1444542000,-736282000,708260000,-442047000,-442047000,266213000,-97895000,-103065000,5170000,168318000,-19170000,149148000,-30191000,118957000,118957000,118792000,118792000,1197172000,1171339000,687153000,687153000,435784000,435784000,2320109000,12177044000,9093545000,2108539000,4927459000,2057547000,21270589000,23590698000,1034718000,717574000,317144000,374874000,428881000,428881000,1838473000,11212885000,1870046000,1870046000,13082931000,14921404000,12893541000,1509317000,-5606196000,8669364000,8669294000,23590698000,118957000,335869000,84017000,64499000,19518000,-22013000,15306000,-25681000,-11638000,516830000,-437314000,-38940000,-954541000,-131189000,132183000,-4619000,-237104000,-674815000,-674815000,-25287000,-700102000,602082000,11587759000,172946000,0.4903,0.18429,0.08224,0.0137,0.00504,1.45587,1.26198,1.72118,0.4912,1.38855,1.37899,16.88516,101.33562,2.02155,0.01592,0.00782,17.25776,39.0311
"42","2020_Q3",731.26421875,"Up",1470121000,-739344000,730777000,-435014000,-435014000,295763000,-102517000,-106795000,4278000,193246000,-15143000,178103000,-44753000,133350000,133350000,133304000,133304000,4807119000,4785050000,691589000,691589000,482709000,330521000,5981417000,12663827000,9147386000,2074689000,5016350000,2056347000,21811213000,27792630000,1080530000,745517000,335013000,2303357000,471884000,471884000,3855771000,11681114000,1867487000,1867487000,13548601000,17404372000,14652033000,1642621000,-5779332000,10388280000,10388258000,27792630000,133350000,348593000,95546000,75844000,19702000,-2802999.99999999,-29539000,116999.999999996,26619000,574686000,-528142000,-1341000,-529444000,2142145000,1683106000,-26266000,3562977000,3608219000,3608219000,12411000,3620630000,644356000,13984471000,158164000,0.49709,0.20118,0.09068,0.01283,0.0048,1.18649,1.55129,1.67539,0.50317,1.52691,1.51506,16.8393,118.9911,1.81167,0.01407,0.00603,14.24267,31.02941
"43","2020_Q4",721.80671875,"Down",1519767000,-767979000,751788000,-452077000,-452077000,299711000,-98122000,-98284000,162000,201589000,-104855000,96734000,-29903000,66831000,66831000,66687000,66687000,2659231000,2645045000,705509000,705509000,679288000,384364000,4044028000,13110554000,9282132000,2047122000,5125230000,2109780000,22392686000,26436714000,1185931000,822062000,363869000,2122267000,487985000,487985000,3796183000,10083022000,2001543000,2001543000,12084565000,15880748000,14950611000,1709308000,-5981419000,10555814000,10555966000,26436714000,66831000,360688000,177227000,75248000,101979000,-72584000,-23871000,61410000,-110123000,532162000,-607180000,3969000,-603211000,-1998246000,228204000,-77785000,-2088517000,-2159566000,-2159566000,18513000,-2141053000,660399000,12205289000,10538000,0.49467,0.19721,0.04388,0.00632,0.00252,0.15802,1.06529,1.50443,0.46168,0.75078,0.7439,17.10987,118.83966,0.11864,0.01241,0.000430000000000001,14.45499,31.85088
"44","2021_Q1",668.121639344262,"Down",1564115000,-830735000,733380000,-480199000,-480199000,253181000,-92365000,-89668000,-2697000,160816000,-68576000,92240000,-41304000,50936000,50936000,50994000,50994000,1609401000,1604869000,676738000,676738000,323016000,323016000,2609155000,14503084000,9894602000,2170945000,5472553000,2251104000,24397686000,27006841000,1146017000,844862000,301155000,232475000,646258000,646258000,2024750000,10305531000,4042442000,4042442000,14347973000,16372723000,15028357000,-3358972000,-913368000,10633988000,10634118000,27006841000,50936000,378219000,127422000,79361000,48061000,129571000,63516000,-10045000,76100000,686148000,-575653000,-62099000,-1339776000,-138808000,0,-45266000,-421829999.999999,-1075458000,-1075458000,35065000,-1040393000,631400000,10538006000,226622000,0.46888,0.16187,0.0326,0.0048,0.00189,4.44409,1.28863,1.53964,0.3902,0.57218,0.56745,17.55027,119.31845,2.54283,0.01145,0.00899,14.14096,35.2657
"45","2021_Q2",726.311904761905,"Up",1596064000,-811217000,784847000,-484283000,-484283000,300564000,-95902000,-88952000,-6950000,204662000,-15960000,188702000,-32628000,156074000,156074000,156362000,156362000,1757219000,1752990000,684642000,684642000,407856000,407856000,2849717000,14768661000,9698612000,2092253000,5387601000,2218758000,24467273000,27316990000,1093934000,742300000,351634000,229905000,509741000,509741000,1833580000,10914434000,3992301000,3992301000,14906735000,16740315000,15166497000,-3463029000,-1008848000,10576834000,10576675000,27316990000,156074000,395017000,107551000,78350000,29201000,-267484000,-17620000,-76362000,-173502000,391158000,-617335000,-18349000,-635684000,647332000,40034000,-11673000,412654000,168128000,168128000,-22019000,146109000,695581000,11144339000,-156610000,0.49174,0.18832,0.09797,0.01478,0.00572,-1.00159,1.55418,1.58276,0.40796,1.75039,1.74041,17.86705,118.40181,-1.75316,0.01631,-0.00609,13.49537,31.23168
"46","2021_Q3",815.30625,"Up",1657919000,-865120000,792799000,-507615000,-507615000,285184000,-126234000,-86857000,-39377000,158950000,-108990000,49960000,18527000,68487000,68487000,68339000,68339000,1799727000,1799727000,726382000,726382000,621953000,394880000,3148062000,15143898000,9638402000,2047515000,5411123000,2179764000,24782300000,27930362000,1072296000,767963000,304333000,42580000,568495000,568495000,1683371000,11638684000,3961835000,3961835000,15600519000,17283890000,15360816000,-3655960000,-941114000,10646472000,10646472000,27930362000,68487000,416241000,213583000,94335000,119248000,-99114000.0000001,-39709000,19161000,-78566000,599197000,-726132000,-2595000,-728727000,445744000,99599000,-112614000,174676000,45146000,45146000,4965000.00000001,50111000,701425000,11681264000,-142348000,0.47819,0.17201,0.04122,0.00642,0.00245,-2.08297,1.87009,1.62344,0.41823,0.76502,0.76066,18.55949,119.18137,-1.59351,0.01242,-0.00541,14.0878,34.64969
"47","2021_Q4",789.56671875,"Down",1675176000,-885650000,789526000,-517622000,-517622000,271904000,-77050000,-78532000,1482000,194854000,10396000,205250000,-53224000,152026000,152026000,152216000,152216000,1379100000,1379100000,792101000,792101000,728162000,492832000,2899363000,15307049000,9567719000,1994023000,5401744000,2171952000,24874768000,27774131000,1191059000,844056000,347003000,67571000,522506000,522506000,1781136000,11561402000,3863020000,3863020000,15424422000,17205558000,15488938000,-3765718000,-1041761000,10568763000,10568573000,27774131000,152026000,418931000,90192000,94710000,-4518000,3597000,-53984000,67169000,-9588000,664746000,-610995000,-52138000,-821631000,-41619000,37594000,0,-266387000,-423272000,-423272000,-7085000,-430357000,690835000,11628973000,136661000,0.47131,0.16231,0.09087,0.0144,0.00548,0.89781,1.62782,1.62799,0.4187,1.69857,1.6875,18.69324,117.93652,1.525,0.01591,0.00524,14.83693,37.69666
"48","2022_Q1",710.973225806452,"Down",1706378000,-910435000,795943000,-533509000,-533509000,262434000,-84899000,-79097000,-5801999.99999999,177535000,-12495000,165040000,-41899000,123141000,123141000,123274000,123274000,1536358000,1536358000,681809000,681809000,738934000,462739000,2957101000,15445775000,9515822000,1935267000,5372071000,2208484000,24961597000,27918698000,1066478000,879144000,187334000,33087000,506389000,506389000,1605954000,11570721000,3860259000,3860259000,15430980000,17036934000,15984688000,-3904647000,-1085751000,10882082000,10881764000,27918698000,123141000,426101000,112596000,96379000,16217000,230267000,109440000,54628000,66199000,892105000,-790302000,-30394000,-820696000,-45994000,398271000,-1.49011611938477e-08,92822000.0000001,164231000,164231000,-6335000,157896000,688535000,11603808000,170399000,0.46645,0.1538,0.07224,0.01133,0.00442,1.38228,1.84134,1.56564,0.41563,1.36079,1.35077,18.83627,120.12454,1.88099,0.01453,0.00647,14.62155,38.36184
"49","2022_Q2",687.901774193548,"Down",1734447000,-915875000,818572000,-545198000,-545198000,273374000,-87408000,-77859000,-9549000,185966000,-5529000,180437000,-32744000,147693000,147693000,147453000,147453000,1695305000,1695305000,780404000,780404000,587087000,471894000,3062796000,15512991000,9447446000,1877541000,5316079000,2253826000,24960437000,28023233000,1047765000,811157000,236608000,31993000,527256000,527256000,1607014000,11645355000,3828054000,3828054000,15473409000,17080423000,16145515000,-4041767000,-1052914000,10942885000,10942810000,28023233000,147693000,435340000,102541000,89952000,12589000,-104451000,-100727000,-75980000,72256000,581123000,-220201000,-38558000,-258759000,84244000,43876000,-7366000,-168915000,153449000,153449000,4593000,158042000,708714000,11677348000,416806000,0.47195,0.15761,0.08501,0.01347,0.00526,2.8267,1.90589,1.56088,0.4167,1.63401,1.62479,19.22038,121.26424,4.61886,0.01653,0.01576,14.08473,36.51424
"50","2022_Q3",669.70775,"Down",1817154000,-930257000,886897000,-564075000,-564075000,322822000,-92556000,-86318000,-6238000,230266000,-5389000,224877000,-8635000,216242000,216242000,216322000,216322000,1891311000,1891311000,812769000,812769000,585867000,514313000,3289947000,15455180000,10293087000,1982434000,5585330000,2725323000,25748267000,29038214000,1085740000,841473000,244267000,34086000,489118000,489118000,1608944000,12733087000,4066589000,4066589000,16799676000,18408620000,16259402000,-4112070000,-1418756000,10629784000,10629594000,29038214000,216242000,433270000,114934000,104682000,10252000,37135000,-26302000,55128000,8309000,801581000,-459063000,-26391000,-1369122000,1155706000,0,-10365000,862293000,294752000,294752000,-101129000,193623000,756092000,12767173000,342799000,0.48807,0.17765,0.11904,0.02035,0.00745,1.58467,2.04479,1.73183,0.43967,2.37622,2.37034,19.96083,116.76462,3.76553,0.01818,0.01248,14.38431,33.68997
