"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",32.0165079365079,"Up",79981000,-56464000,23517000,-17120000,-11279000,-4963000,-878000,6397000,-402000,-602000,2e+05,5995000,5830000,-1599000,4231000,4231000,4231000,4231000,15329000,15329000,41267000,41267000,41098000,3590000,3590000,101284000,40115000,73791000,33828000,35121000,53000,113906000,215190000,37456000,22426000,15030000,37909000,17271000,4705000,3305000,9261000,81756000,119665000,32315000,69790000,-6580000,95525000,95525000,215190000,4231000,2831000,-2945000,1574000,5691000,-3333000,-3333000,-588000,492000,2850000,2850000,-524000,2326000,9228000,64938000,9068000,0.29403,0.07998,0.0529,0.04429,0.01966,2.14322999999999,2.67177,1.25271,0.30177,0.30556,0.30274,5.77626,6.89886,0.65489,0.02674,0.05102,5.37592,7.75504
"33","2018_Q4",30.3403174603175,"Down",80092000,-56330000,23762000,-16852000,-11288000,-4692000,-872000,6910000,-599000,-623000,24000,6311000,6627000,-1767000,4860000,4860000,4860000,4860000,11357000,11357000,45230000,45230000,44887000,3490000,3490000,104964000,43026000,74123000,33075000,34938000,129000,117149000,222113000,42638000,24587000,18051000,43075000,16534000,4238000,3164000,9132000,78555000,121630000,32867000,74366000,-6750000,100483000,100483000,222113000,4860000,2832000,918000,-4710000,3900000,-5026000,-5026000,1000,-2721000,-3847000,-3847000,-125000,-3972000,9742000,62458000,1773000,0.29668,0.08628,0.06068,0.04837,0.02188,0.36481,2.43677,1.21045,0.2812,0.34948,0.34582,5.75932,7.22561,0.12749,0.02863,0.00988,5.24543,7.39522
"34","2019_Q1",27.2981967213115,"Down",73962000,-52392000,21570000,-17448000,-11124000,-5303000,-1021000,4122000,-827000,-862000,35000,3295000,2533000,103000,2636000,2636000,2636000,2636000,8673000,8673000,43247000,43247000,54971000,4003000,4003000,110894000,48035000,126372000,68354000,52639000,341000,174407000,285301000,44589000,25867000,18722000,44589000,16383000,4293000,3860000,8230000,138899000,183488000,-3.72529029846191e-09,76718000,-8518000,101813000,101813000,285301000,2636000,3122000,1715000,-1307000,6166000,-3752000,-67853000,-837000,59007000,-2680000,-2680000,-3999.99999999994,-2684000,7244000,122516000,2082000,0.29164,0.05573,0.03564,0.02589,0.00924,0.78983,2.48703,1.80221,0.42943,0.18882,0.18559,5.29795,4.88521,0.14914,0.01211,0.00865,15.71549,27.61839
"35","2019_Q2",23.6795238095238,"Down",93896000,-66234000,27662000,-20282000,-13043000,-5807000,-1432000,7380000,-1162000,-1180000,18000,6218000,6165000,-1695000,4470000,4470000,4470000,4470000,10184000,10184000,53795000,53795000,52962000,3733000,3733000,120674000,48083000,143260000,66788000,52362000,424000,191343000,312017000,45169000,26225000,18944000,45169000,30999000,4316000,3604000,23079000,160050000,205219000,0,80901000,-9667000,106798000,106798000,312017000,4470000,3659000,767000,-11335000,-2439000,-2505000,-2505000,-63000,6505000,1561000,1561000,-50000,1511000,11039000,129051000,-1106000,0.2946,0.0786,0.04761,0.04185,0.01433,-0.24743,2.67161,1.92156,0.4136,0.31906,0.31787,6.70207,5.08451,-0.07894,0.01675,-0.00414,10.76791,16.10664
"36","2019_Q3",24.10703125,"Up",92630000,-64208000,28422000,-20811000,-13705000,-5676000,-1430000,7611000,-1434000,-1435000,999.999999999996,6177000,6174000,-1729000,4445000,4445000,4445000,4445000,10463000,10463000,51799000,51799000,52420000,4201000,4201000,118883000,49780000,141887000,65446000,53153000,506000,191667000,310550000,45174000,25032000,20142000,45174000,30888000,4328000,3516000,23044000,154176000,199350000,35697000,85058000,-9555000,111200000,111200000,310550000,4445000,3668000,203000,2975000,11291000,-3896000,-3896000.00000001,-647000,-7124999.99999999,270000,270000,9000,279000,11279000,123288000,12087000,0.30683,0.08217,0.04799,0.03997,0.01431,2.71924,2.63167,1.79272,0.397,0.31471,0.31315,6.55834,7.87312,0.85578,0.01903,0.04555,10.0031,14.82394
"37","2019_Q4",27.648125,"Up",96633000,-66603000,30030000,-21210000,-14076000,-5705000,-1429000,8820000,-1499000,-1359000,-140000,7321000,7313000,-2695000,4618000,4618000,4618000,4618000,8578000,8578000,56004000,56004000,51376000,4082000,4082000,120040000,49471000,138731000,63762000,52523000,456000,188202000,308242000,48248000,24677000,23571000,48248000,29712000,4279000,3317000,22116000,146198000,194446000,36437000,89388000,-12029000,113796000,113796000,308242000,4618000,3744000,1553000,-1763000,8152000,-2879000,-2879000,-7000,-6893000,-1620000,-1620000,-265000,-1885000,12564000,116486000,10617000,0.31076,0.09127,0.04779,0.04058,0.01498,2.29905,2.48798,1.70872,0.3779,0.32703,0.3252,6.84321,8.05864,0.75186,0.01885,0.04084,8.58867,12.23447
"38","2020_Q1",26.6395161290323,"Down",87925000,-61455000,26470000,-20725000,-13400000,-5898000,-1427000,5745000,-1507000,-1160000,-347000,4238000,4189000,-7e+05,3489000,3489000,3489000,3489000,13416000,13416000,44429000,44429000,53385000,4413000,4413000,115643000,53008000,137177000,62497000,52935000,490000,190185000,305828000,46641000,23640000,23001000,46641000,30228000,5139000,3399000,21690000,139993000,186634000,37136000,92589000,-10531000,119194000,119194000,305828000,3489000,3786000,1623000,8628000,17526000,-5602000,-5602000,-29000,-7264000,4660000,4660000,178000,4838000,9531000,109765000,13257000,0.30105,0.06534,0.03968,0.02927,0.01141,3.79966,2.47943,1.5658,0.35891,0.24687,0.24384,6.22126,8.43374,0.93802,0.01455,0.05115,10.10901,16.77093
"39","2020_Q2",20.6887301587302,"Down",92382000,-64340000,28042000,-21080000,-13405000,-6234000,-1441000,6962000,-1113000,-1054000,-59000,5849000,5602000,-1567000,4035000,4035000,4035000,4035000,20383000,20383000,55420000,55420000,60090000,4858000,4858000,140751000,52973000,150266000,68287000,59082000,650000,203239000,343990000,53323000,31299000,22024000,53323000,32730000,5115000,5120000,22495000,168974000,222297000,39406000,96334000,-14047000,121693000,121693000,343990000,4035000,3750000,411000,-11162000,-2966000,-1696000,-16237000,-657000,26322000,7119000,7119000,-152000,6967000,10712000,136244000,-579000,0.30354,0.07536,0.04368,0.03316,0.01173,-0.14349,2.63959,1.8267,0.39607,0.28457,0.28268,6.51518,8.58232,-0.04083,0.01388,-0.00199,10.816,16.64191
"40","2020_Q3",26.29765625,"Up",86661000,-60201000,26460000,-21232000,-13552000,-6197000,-1483000,5228000,-918000,-901000,-17000,4310000,4133000,-1237000,2896000,2896000,2896000,2896000,19019000,19019000,49595000,49595000,61453000,3699000,3699000,133766000,53465000,151268000,67378000,59501000,846000,204733000,338499000,49663000,27453000,22210000,49663000,34104000,5205000,4649000,24250000,162556000,212219000,39786000,98938000,-12444000,126280000,126280000,338499000,2896000,3877000,1426000,1366000,9565000,-1918000,-2105000,-541000,-9047000.00000001,-1587000,-1587000,223000,-1364000,9105000,128452000,9790000,0.30533,0.06033,0.03342,0.02293,0.00856,3.38052,2.69347,1.68054,0.37948,0.20334,0.2028,6.08468,8.86642,0.68738,0.012,0.03389,12.019,20.9321
"41","2020_Q4",29.128125,"Up",94653000,-66513000,28140000,-21675000,-13742000,-6434000,-1499000,6465000,-1075000,-844000,-231000,5390000,5382000,-1369000,4013000,4013000,4013000,4013000,20227000,20227000,51265000,51265000,61643000,6620000,6620000,139755000,54058000,150038000,66366000,60460000,895000,204096000,343851000,52133000,29312000,22821000,52133000,32939000,5229000,4721000,22989000,157326000,209459000,40674000,102659000,-8941000,134392000,134392000,343851000,4013000,4055000,341000,12000,8421000,-2946000,-2946000,-17000,-4685000,790000,790000,418000,1208000,10520000,124387000,8955000,0.2973,0.0683,0.0424,0.02986,0.01167,2.2315,2.68074,1.55857,0.36175,0.28123,0.27923,6.63324,9.41813,0.62756,0.01481,0.0307,9.90114,16.11137
"42","2021_Q1",32.8449180327869,"Up",92998000,-67065000,25933000,-21121000,-12994000,-6622000,-1505000,4812000,-1112000,-917000,-195000,3700000,3659000,-960000,2699000,2699000,2699000,2699000,23131000,23131000,47377000,47377000,62978000,8728000,8728000,142214000,55428000,151555000,65859000,61860000,330000,206983000,349197000,52530000,27668000,24862000,52530000,33532000,5340000,4659000,23533000,153611000,206141000,41278000,105065000,-3287000,143056000,143056000,349197000,2699000,4303000,1804000,1012000,9818000,-2811000,-2811000,-218000,-5101000,1906000,1906000,998000,2904000,9115000,120079000,8276000,0.27886,0.05174,0.02902,0.01887,0.00773,3.06632,2.70729,1.44098,0.34387,0.18903,0.18737,6.51315,10.01898,0.57961,0.01006,0.0279,10.63609,20.14713
"43","2021_Q2",34.9930158730159,"Up",101677000,-71609000,30068000,-23437000,-14966000,-6959000,-1512000,6631000,-742000,-861000,119000,5889000,5870000,6057000,11927000,11927000,11927000,11927000,24725000,24725000,56252000,56252000,61429000,7150000,7150000,149556000,54808000,155621000,63856000,60902000,7456000,210429000,359985000,55696000,32382000,23314000,55696000,31359000,5045000,4658000,21656000,151241000,206937000,42936000,116698000,-6586000,153048000,153048000,359985000,11927000,4431000,-5307000,-5484000,5567000,-3076000,-3076000,-256000,-256000,2235000,2235000,-641000,1594000,11062000,119882000,-3555000,0.29572,0.06522,0.1173,0.07793,0.03313,-0.29806,2.68522,1.35211,0.33302,0.83371,0.82608,7.1073,10.69817,-0.2485,0.0392,-0.01168,8.60215,14.35032
"44","2021_Q3",32.5728125,"Down",101537000,-70320000,31217000,-24328000,-15577000,-7240000,-1511000,6889000,-797000,-807000,9999.99999999997,6092000,5937000,-1303000,4634000,4634000,4634000,4634000,23384000,23384000,52090000,52090000,67776000,8516000,8516000,151766000,55153000,153539000,62412000,61114000,7320000,208692000,360458000,59348000,33406000,25942000,59348000,30740000,5096000,4439000,21205000,143131000,202479000,42590000,120964000,-5575000,157979000,157979000,360458000,4634000,4459000,887000.000000002,923999.999999999,10904000,-2809000,-2809000,-1344000,-9609000,-1514000,-1514000,173000,-1341000,11348000,112391000,10766000,0.30744,0.06785,0.04564,0.02933,0.01286,2.32326,2.55722,1.28168,0.3118,0.32167,0.31967,7.04824,10.96619,0.74733,0.01759,0.03575,7.84341,12.92016
"45","2021_Q4",36.82796875,"Up",103509000,-71488000,32021000,-23257000,-14985000,-6768000,-1504000,8764000,-748000,-777000,29000,8016000,7922000,-1950000,5972000,5972000,5972000,5972000,19209000,19209000,55723000,55723000,72239000,10365000,10365000,157536000,55215000,150859000,60643000,60583000,7188000,206074000,363610000,62446000,35131000,27315000,62446000,29440000,5139000,4230000,20071000,138752000,201198000,43792000,126568000,-7948000,162412000,162412000,363610000,5972000,4427000,1421000,-8371000,3449000,-3876000,-3876000,-1e+05,-3440000,-3867000,-3867000,-308000,-4175000,13191000,109312000,2894000,0.30935,0.08467,0.0577,0.03677,0.01642,0.48459,2.52276,1.23881,0.30063,0.41435,0.41186,7.18164,11.26844,0.20079,0.02098,0.00961,6.83064,10.28104
"46","2022_Q1",34.8703225806452,"Down",96793000,-69043000,27750000,-22709000,-14140000,-6851000,-1718000,5041000,-626000,-791000,165000,4415000,3384000,-1823000,1561000,1561000,1561000,1561000,22463000,22463000,51239000,51239000,89733000,12522000,12522000,175957000,56983000,237845000,103786000,106633000,5321000,294828000,470785000,78370000,36714000,41656000,78370000,45693000,3932000,5040000,36721000,204653000,283023000,68097000,127757000,-8092000,187762000,187762000,470785000,1561000,4790000,2115000,-2984000,5482000,-3955000,-51209000,-228000,49137000,3410000,3410000,-156000,3254000,9831000,158960000,4715000,0.28669,0.05208,0.01613,0.00831,0.00332,3.0205,2.24521,1.50735,0.33765,0.10751,0.10711,6.66664,12.93216,0.32475,0.00491,0.01202,13.88435,27.07737
"47","2022_Q2",24.5406451612903,"Down",114785000,-81325000,33460000,-28346000,-16527000,-9385000,-2434000,5114000,-1083000,-1038000,-45000,4031000,3183000,-679000,2504000,2504000,2504000,2504000,16919000,16919000,68600000,68600000,97165000,11243000,11243000,193927000,65513000,235022000,101344000,106568000,5336000,300535000,494462000,78767000,38792000,39975000,78767000,43405000,3886000,5781000,33738000,222024000,300791000,70522000,129873000,-6724000,193671000,193671000,494462000,2504000,5657000,2740000,-24297000,-13396000,-2478000,-2293000,-137000,10221000,-5468000,-5468000,-76000,-5544000,10771000,178619000,-15325000,0.2915,0.04455,0.02181,0.01293,0.00506,-6.12021,2.46203,1.5531,0.36124,0.17376,0.17267,7.9651,13.43911,-1.06342,0.00602,-0.03687,15.01253,31.61908
"48","2022_Q3",29.79265625,"Up",122722000,-82948000,39774000,-30840000,-18403000,-9792000,-2645000,8934000,-1246000,-1525000,279000,7688000,6271000,-1691000,4580000,4580000,4580000,4580000,28846000,28846000,69806000,69806000,112255000,11403000,11403000,222310000,65945000,287860000,125943000,125006000,4427000,353805000,576115000,93424000,47129000,46295000,93424000,52511000,3841000,8263000,40407000,281412000,374836000,81662000,134066000,-14449000,201279000,201279000,576115000,4580000,6874000,1836000,-184000,13106000,-3876000,-48630000,-1103000,48560000,13036000,13036000,-1109000,11927000,15808000,228901000,13439000,0.3241,0.0728,0.03732,0.02275,0.00795,2.93428,2.37958,1.86227,0.39732,0.29245,0.28326,7.83615,12.85224,0.85812,0.0111,0.02784,12.6553,22.39255
