"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",3.87984126984127,"Down",11048000,-10777000,270999.999999999,-8289000,-5339000,-2950000,-8018000,-741000,55000,-796000,-8759000,1307000,-7452000,171000,-7281000,-7281000,-7281000,-7281000,30320000,30320000,8193000,8193000,15983000,3323000,3323000,0,57819000,36438000,6291000,3496000,538000,546000,42729000,100548000,14016000,14016000,17293000,16069000,31309000,8587000,8325000,137000,8587000,39896000,1039669000,-978090000,718000,60652000,60652000,100548000,-7281000,3337000,-1532000,-2633000,-8109000,-405000,-107000,573000,83000,-7453000,-7453000,196000,-7257000,-4681000,0,-7890000,0.0245299999999999,-0.72574,-0.65903,-0.12005,-0.07241,1.08364,1.84672,0.65779,0,-0.382,-0.382,0.57964,3.18216,-0.41396,-0.10516,-0.11395,6.47725,3.78149
"31","2017_Q4",3.81650793650794,"Down",14933000,-9917000,5016000,-8595000,-5487000,-3023000,-3579000,-230000,49000,-279000,-3809000,127000,-3682000,-567000,-4249000,-4249000,-4249000,-4249000,22113000,22113000,12052000,12052000,17129000,2822000,2822000,-1.16415321826935e-10,54116000,36684000,5971000,3315000,545000,392000,42655000,96771000,15486000,15486000,15336000,14194000,30822000,8604000,8425000,54000,8604000,39426000,1040559000,-982339000,770000,57345000,57345000,96771000,-4249000,1557000,998000,-5001000,-6695000,-1636000,156000,-1540000,0,-8235000,-8235000,28000,-8207000,-2022000,0,-8092000,0.3359,-0.23967,-0.28454,-0.0741,-0.04391,1.90445,1.75576,0.68752,0,-0.21299,-0.21299,0.74856,2.87458,-0.40563,-0.06443,-0.1227,10.9362,6.17854
"32","2018_Q1",5.12819672131148,"Up",13499000,-10505000,2994000,-8602000,-5613000,-2904000,-5608000,-298000,53000,-351000,-5906000,-745000,-6651000,657000,-5994000,-5994000,-5994000,-5994000,34084000,34084000,7365000,7365000,19780000,5947000,2947000,3e+06,67176000,12513000,8486000,3230000,542000,2995000,20999000,88175000,12625000,12625000,14700000,13483000,27325000,8621000,8454000,57000,8621000,35946000,1041324000,-988333000,883000,52229000,52229000,88175000,-5994000,2220000,1772000,-2591000,-4593000,16483000,754000,17453000,90000.0000000005,12950000,12950000,-184000,12766000,-3388000,0,9847000,0.22179,-0.41544,-0.44403,-0.11476,-0.06798,-1.64281,2.45841,0.68824,0,-0.29849,-0.29849,0.67223,2.60092,0.49036,-0.0985,0.16182,10.06021,6.07775
"33","2018_Q2",6.53578125,"Up",12607000,-8714000,3893000,-8711000,-5786000,-2840000,-4818000,810000,201000,609000,-4008000,-774000,-4782000,45000,-4737000,-4737000,-4737000,-4737000,26750000,26750000,11532000,11532000,18353000,7709000,4709000,3e+06,64344000,11554000,8548000,3145000,516000,3168000,20102000,84446000,15144000,15144000,13114000,11433000,28258000,8248000,8040000,98000,8248000,36506000,1042194000,-993037000,667000,47940000,47940000,84446000,-4737000,1150000,943000,-4242000,-6886000,-115000,-51000,-166000,-238000,-7290000,-7290000,-44000,-7334000,-3668000,0,-8070000,0.3088,-0.38217,-0.37574,-0.09881,-0.0561,1.70361,2.27702,0.76149,0,-0.23489,-0.23489,0.62513,2.37715,-0.40016,-0.08431,-0.14362,7.2928,5.5521
"34","2018_Q3",5.96603174603175,"Down",14876000,-11252000,3624000,-7523000,-5175000,-2263000,-3899000,557000,232000,325000,-3342000,28909000,25567000,-3009000,22558000,22558000,22558000,22558000,56169000,56169000,7622000,7622000,16235000,6339000,3339000,3e+06,86365000,10582000,8558000,3060000,506000,3273000,19140000,105505000,15304000,15304000,11456000,10057000,26760000,8099000,7891000,98000,8099000,34859000,1043178000,-970479000,-11000,70646000,70646000,105505000,22558000,1157000,524000,6242000,30481000,-165000.000000002,-79999.9999999999,-245000,-87000,30149000,30149000,-730000,29419000,-2742000,0,6344000,0.24361,-0.2621,1.5164,0.31931,0.21381,0.28123,3.22739,0.49343,0,1.11052,1.09606,0.73234,3.47787,0.31231,0.28647,0.08056,20.48468,14.406
"35","2018_Q4",8.54666666666667,"Up",14135000,-10398000,3737000,-7902000,-5347000,-2470000,-4165000,460000,336000,124000,-3705000,22582000,18877000,-1584000,17293000,17293000,17293000,17293000,80042000,80042000,8055000,8055000,14006000,7091000,4091000,3e+06,109194000,9808000,9502000,2975000,1438000,3370000,19310000,128504000,17681000,17681000,13804000,9929000,31485000,8340000,8133000,97000,8340000,39825000,1044032000,-953187000,-65000,88679000,88679000,128504000,17293000,1148000,2292000,3458000,24191000,-291000,-75000,-239000,-60000,23892000,23892000,-18000,23874000,-3017000,0,1734000,0.26438,-0.29466,1.22342,0.19501,0.13457,0.10027,3.46813,0.44909,3.3881317890172e-21,0.84691,0.82884,0.69225,4.34296,0.08492,0.17824,0.01787,26.53033,19.21777
"36","2019_Q1",13.6008196721311,"Up",14589000,-11826000,2763000,-8106000,-5720000,-2301000,-5343000,889000,348000,541000,-4454000,-2067000,-6521000,-1832000,-8353000,-8353000,-8353000,-8353000,77483000,77483000,7855000,7855000,12119000,8013000,3053000,3603000,105470000,8972000,4888000,2890000,1685714.64302778,279000,13860000,119330000,15885000,15885000,14197000,7557000,30082000,8055000,7962000,93000,8055000,38137000,1044838000,-961539000,-5000,81193000,81193000,119330000,-8353000,1154000,3406000,-1279000,-5072000,2757000,62000,2819000,86000,-2167000,-2167000,157000,-2010000,-4189000,-5.6843418860808e-14,-878999.999999999,0.18939,-0.36623,-0.57255,-0.10288,-0.07,0.10523,3.50608,0.46971,0,-0.40864,-0.39231,0.71371,3.97207,-0.0429999999999999,-0.09359,-0.00985,18.49678,14.50178
"37","2019_Q2",10.6415873015873,"Down",13770000,-12193000,1577000,-7813000,-5255000,-2473000,-6236000,-38000,505000,-543000,-6274000,2946000,-3328000,-211000,-3539000,-3539000,-3539000,-3539000,73952000,73952000,10736000,10736000,11924000,4102000,4102000,0,100714000,8747000,10689000,2805000,1411000,4754000,19436000,120150000,15819000,15819000,12924000,10806000,28743000,12994000,7883000,3408000,12994000,41737000,1045462000,-965078000,413000,78413000,78413000,120150000,-3539000,1149000,-2620000,-856000,-5866000,2165000,94000,2259000,-283000,-3890000,-3890000,359000,-3531000,-5087000,0,-3567000,0.11452,-0.45287,-0.25701,-0.04513,-0.02945,1.00791,3.50395,0.53227,0,-0.17252,-0.17252,0.67125,3.82241,-0.17388,-0.03872,-0.03902,14.53745,11.85888
"38","2019_Q3",8.5025,"Down",14012000,-10248000,3764000,-7883000,-5400000,-2398000,-4119000,1854000,335000,1519000,-2265000,1146000,-1119000,294000,-825000,-825000,-825000,-825000,52829000,52829000,10073000,10073000,15497000,5036000,5036000,0,83435000,8610000,15398000,2720000,1291000,9668000,34008000,117443000,18724000,18724000,9325000,8345000,28049000,12708000,7667000,3284000,12708000,40757000,1046051000,-965903000,-856000,76686000,76686000,117443000,-825000,1113000,-1630000,-3277000,-4619000,-9e+05,-28000,-10928000,-122000,-15669000,-15669000,-433000,-16102000,-3006000,0,-7477000,0.26863,-0.29396,-0.0588800000000001,-0.01076,-0.00702,9.06303,2.97462,0.53148,0,-0.03994,-0.03936,0.67828,3.71217,-0.36194,-0.00923,-0.08364,17.57452,12.82569
"39","2019_Q4",8.0546875,"Down",17915000,-16329000,1586000,-8205000,-6071000,-2049000,-6619000,-670000,261000,-931000,-7289000,556000,-6733000,-112000,-6845000,-6845000,-6845000,-6845000,50481000,25481000,16491000,16491000,18591000,3704000,3704000,2.3283064365387e-10,89267000,8840000,15337000,2635000,1373000,9610000,34224000,123491000,19379000,19379000,15656000,15220000,35035000,11268000,7923000,3170000,11268000,46303000,1052849000,-972748000,-247000,77188000,77188000,123491000,-6845000,1050000,238000,-1737000,-7294000,-1190000,-29000,-26219000,6079000,-27434000,-27434000,104000,-27330000,-5569000,0,-8384000,0.08853,-0.36947,-0.38208,-0.08868,-0.05543,1.22484,2.54794,0.59987,-5.29395592033938e-23,-0.32309,-0.32273,0.84561,3.64335,-0.39573,-0.07738,-0.09478,9.06464,7.62668
"40","2020_Q1",6.85903225806452,"Down",18141000,-15623000,2518000,-8673000,-5943000,-2645000,-6155000,434000,226000,208000,-5721000,0,-5721000,-166000,-5887000,-5887000,-5887000,-5887000,54848000,24699000,16987000,16987000,18975000,3467000,2959000,508000,94277000,8565000,16221000,3550000,1551000,9401000,29832000,124109000,22091000,22091000,18869000,18430000,40960000,10930000,7712000,3038000,10930000,51890000,1053736000,-978635000,-216000,72219000,72219000,124109000,-5887000,996000,869000,5304000,1282000,-1704000,-29000,-1733000,102000,-348999.999999993,-348999.999999993,-22000,-371000,-5159000,2.8421709430404e-14,-1393000,0.1388,-0.33929,-0.32451,-0.08152,-0.04743,0.236620000000001,2.30168,0.71851,0,-0.27277,-0.27262,0.84056,3.34626,-0.06454,-0.0708,-0.01675,10.63152,8.91113
"41","2020_Q2",6.53857142857143,"Down",21213000,-16173000,5040000,-8257000,-5637000,-2499000,-3217000,-12000,158000,-170000,-3229000,0,-3229000,-188000,-3417000,-3417000,-3417000,-3417000,50969000,20709000,8203000,8203000,17061000,4123000,3615000,508000,80356000,8331000,15913000,3429000,1580000,9185000,29314000,109670000,14265000,14265000,15168000,14724000,29433000,10818000,7661000,2926000,10818000,40251000,1054733000,-982052000,-219000,69419000,69419000,109670000,-3417000,1e+06,1666000,-2364000,-3115000,-637000,128000,-509000,-376000,-4e+06,-4e+06,12000,-3988000,-2217000,0,-5030000,0.23759,-0.15165,-0.16108,-0.04922,-0.03116,1.47205,2.73013,0.57983,8.470329472543e-22,-0.15755,-0.15755,0.97805,3.20065,-0.23191,-0.04259,-0.06269,22.99008,15.84364
"42","2020_Q3",11.18453125,"Up",21116000,-15595000,5521000,-8727000,-5887000,-2719000,-3206000,-314000,162000,-476000,-3520000,-1.16415321826935e-10,-3520000,-192000,-3712000,-3712000,-3712000,-3712000,51437000,41246000,16810000,16810000,14155000,4004000,3496000,508000,86406000,8140000,16681000,3309000,1631000,10022000,24821000,111227000,18470000,18470000,14115000,13547000,32585000,12222000,8409000,3461000,12222000,44807000,1055782000,-985764000,-262000,66420000,66420000,111227000,-3712000,1009000,1847000,-2582000,-3438000,-689000,-65000,24252000,-195000,20619000,20619000,41000,20660000,-2197000,4.54747350886464e-13,-5276000,0.26146,-0.15183,-0.17579,-0.05589,-0.03337,1.42134,2.65171,0.6746,0,-0.1698,-0.1698,0.96592,3.03829,-0.24134,-0.0472,-0.06709,23.41238,16.04398
"43","2020_Q4",17.7346875,"Up",23632000,-19676000,3956000,-10474000,-7085000,-3030000,-6518000,-221000,53000,-274000,-6739000,-2740000,-9479000,1546000,-7933000,-7933000,-7933000,-7933000,78148000,67909000,12083000,12083000,14176000,5263000,4634000,629000,109670000,9547000,55830000,9964000,1386000,9821000,65377000,175047000,17015000,17015000,22994000,15683000,40009000,12120000,8695000,3355000,12120000,52129000,1120613000,-993697000,-405000,122918000,122918000,175047000,-7933000,1802000,2215000,5598000,1682000,-248000,-68000,-26316000,51220000,26586000,26586000,20000,26606000,-4716000,0,-912000,0.1674,-0.27581,-0.33569,-0.06454,-0.04532,0.11496,2.74113,0.4241,1.35525271560688e-20,-0.31131,-0.31131,0.92736,4.82353,-0.03579,-0.05875,-0.00675,16.57082,11.98957
"44","2021_Q1",24.7490163934426,"Up",21164000,-18227000,2937000,-10101000,-6713000,-2767000,-7164000,202000,53000,149000,-6962000,-320000,-7282000,-334000,-7616000,-7616000,-7616000,-7616000,72954000,67814000,13267000,13267000,13306000,5703000,3546000,2157000,105230000,8997000,54639000,9153000,1223000,9629000,63636000,168866000,19810000,19810000,15653000,7991000,35463000,16811000,13266000,3271000,16811000,52274000,1121775000,-1001313000,-277000,116592000,116592000,168866000,-7616000,1541000,1899000,366000,-3810000,-190000,86000,5042000,179000,1411000,1411000,-14000,1397000,-5623000,-7.27595761418343e-12,-5113000,0.13877,-0.3385,-0.35986,-0.06532,-0.0451,0.67135,2.96732,0.44835,0,-0.28758,-0.28758,0.79915,4.40252,-0.19307,-0.05709,-0.03833,12.97421,10.18342
"45","2021_Q2",15.998253968254,"Down",25420000,-22051000,3369000,-10768000,-7142000,-3041000,-7399000,-32000,32000,-64000,-7431000,-1e+05,-7531000,2128000,-5403000,-5403000,-5403000,-5403000,55234000,50070000,23908000,23908000,22155000,8219000,5906000,2313000,109516000,15067000,67584000,13312000,1149000,9652000,82651000,192167000,33439000,33439000,15918000,8072000,49429000,24042000,20550000,3219000,24185000,73614000,1129248000,-1006716000,-340000,118553000,118553000,192167000,-5403000,1268000,-88000,-1606000,-5829000,-224000,-5000,-11708000,-46000,-17583000,-17583000,-5000,-17588000,-6131000,215000,-10089000,0.13253,-0.29107,-0.21255,-0.04557,-0.02812,1.8673,2.21562,0.62094,0.00112,-0.22627,-0.22627,1.06453,4.96474,-0.42251,-0.03783,-0.07065,8.9739,7.436
"46","2021_Q3",13.86140625,"Down",27908000,-24647000,3261000,-9993000,-6697000,-2669000,-6732000,49000,25000,24000,-6683000,2430000,-4253000,-181000,-4434000,-4434000,-4434000,-4434000,48501000,48501000,25177000,25177000,21574000,7247000,4924000,2323000,102499000,14611000,67263000,12645000,1054000,10093000,81874000,184373000,27891000,27891000,13072000,7647000,41035000,27109000,23871000,3035000,27234000,68269000,1131209000,-1011150000,-316000,116104000,116104000,184373000,-4434000,1363000,-585000,-2249000,-5905000,-286000,-25000,4878000,107000,-920000,-920000,-42000,-962000,-5369000,197000,-7723000,0.11685,-0.24122,-0.15888,-0.03819,-0.02405,1.74177,2.49784,0.588,0.00107,-0.1627,-0.1627,1.02407,4.26038,-0.28339,-0.03092,-0.05385,8.99683,7.17528
"47","2021_Q4",14.41453125,"Up",26799000,-23227000,3572000,-10062000,-6777000,-2657000,-6490000,57000,12000,45000,-6433000,2110000,-4323000,-1000,-4324000,-4324000,-4324000,-4324000,43887000,43887000,21049000,21049000,20942000,9055000,6404000,2651000,94933000,14118000,66245000,11955000,1030000,9789000,80363000,175296000,24332000,24332000,10677000,7366000,35081000,27067000,24112000,2866000,27180000,62261000,1132444000,-1015474000,-296000,113035000,113035000,175296000,-4324000,1378000,-523000,-722000,-4191000,-2e+05,-26000,-226000,-12000,-4429000,-4429000,-4000,-4433000,-5112000,185000,-6033000,0.13329,-0.24217,-0.16135,-0.03825,-0.02467,1.39524,2.70611,0.55081,0.00106,-0.15867,-0.15867,0.98338,4.14777,-0.22138,-0.03082,-0.043,8.5489,6.73374
"48","2022_Q1",8.56241935483871,"Down",28308000,-25018000,3290000,-9608000,-6878000,-2103000,-6318000,-27000,6000,-33000,-6345000,1410000,-4935000,-97000,-5032000,-5032000,-5032000,-5032000,40584000,40584000,20280000,20280000,23666000,9806000,7052000,2754000,94336000,13656000,65895000,11311000,1224000,9889000,79551000,173887000,29140000,29140000,24752000,22812000,53964000,10444000,7222000,2925000,10534000,64498000,1133825000,-1020506000,-291000,109389000,109389000,173887000,-5032000,1332000,-204000,852000,-3052000,-228000,121000,-106999.999999999,93000,-3066000,-3066000,-4000,-3070000,-4986000,162000,-4265000,0.11622,-0.22319,-0.17776,-0.046,-0.02894,0.84758,1.74813,0.58962,0.00093,-0.18498,-0.18498,1.04062,4.02121,-0.15678,-0.04194,-0.03554,8.1071,6.39791
"49","2022_Q2",5.79274193548387,"Down",22679000,-20458000,2221000,-10920000,-7562000,-2678000,-8699000,191000,24000,167000,-8508000,-170000,-8678000,-32000,-8710000,-8710000,-8710000,-8710000,33355000,33355000,21731000,21731000,32924000,10200000,6433000,3767000,98210000,13397000,64901000,10599000,1091000,9740000,78298000,176508000,35404000,35404000,8902000,6711000,44378000,30146000,27044000,2805000,30217000,74595000,1134996000,-1029216000,-228000,101913000,101913000,176508000,-8710000,1401000,1483000,-37000,-5863000,-441000,-55000,-496000,-20000,-6379000,-6379000,-17000,-6396000,-7298000,143000,-7744000,0.09793,-0.38357,-0.38406,-0.08547,-0.04935,0.88909,2.21303,0.73195,0.00081,-0.31604,-0.31604,0.8229,3.69786,-0.28099,-0.06588,-0.05858,4.55084,3.81791
"50","2022_Q3",5.17515625,"Down",27680000,-25710000,1970000,-10352000,-7350000,-2314000,-8382000,118000,45000,73000,-8264000,-1631000,-9895000,14000,-9881000,-9881000,-9881000,-9881000,27811000,27811000,20391000,20391000,36342000,10435000,6861000,3574000,94979000,12798000,63970000,9911000,1023000,9565000,76768000,171747000,36082000,36082000,30726000,28824000,66880000,9426000,6630000,2593000,9484000,76364000,1136321000,-1039097000,1798000,95383000,95383000,171747000,-9880000,1398000,3311000,-538000,-5709000,-119000,-44000,-163000,115000,-5757000,-5757000,21000,-5736000,-6984000,130000,-7655000,0.07117,-0.30282,-0.35697,-0.10359,-0.05753,0.77472,1.42014,0.8006,0.00076,-0.35458,-0.35458,0.99329,3.42279,-0.2747,-0.09416,-0.07295,3.96349,3.30243
