"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",28.74234375,"Up",217300000,-150400000,66900000,-28500000,-24100000,-4400000,38400000,-3100000,-4100000,1e+06,35300000,-9e+05,34400000,-9100000,7e+05,2.6e+07,2.6e+07,2.6e+07,2.6e+07,143800000,143800000,126600000,126600000,108100000,26700000,6e+06,405200000,307100000,465200000,206900000,25700000,838300000,1243500000,112600000,42400000,66900000,3700000,116300000,506800000,104100000,33300000,44300000,26500000,610900000,727200000,59200000,574700000,-117600000,516300000,516300000,1243500000,2.6e+07,2.6e+07,11300000,1700000,-4400000.00000001,34600000,-5200000,-5200000,2e+06,-3200000,-12200000,-72200000,0,-1.16415321826935e-10,-84400000,-5.3e+07,-5.3e+07,-3400000,-56400000,49700000,510500000,49200000,0.30787,0.17671,0.11965,0.05036,0.02091,1.89231,3.48409,1.40848,0.41053,0.85771,0.85392,7.16849,17.03218,1.62306,0.40246,0.03378,0.04351,0.46923,7.37827,9.54948
"27","2016_Q4",30.9715873015873,"Up",209300000,-146200000,63100000,-3.1e+07,-26800000,-4200000,32100000,-3200000,-3900000,7e+05,28900000,-1300000,27600000,-10700000,1800000,18700000,18700000,18700000,18700000,89500000,89500000,1.37e+08,1.37e+08,110900000,25700000,5600000,363100000,308900000,465300000,203500000,2.7e+07,841800000,1204900000,127200000,47100000,70700000,3200000,130400000,441100000,1.08e+08,33100000,48300000,26600000,549100000,679500000,60300000,581200000,-116100000,525400000,525400000,1204900000,18700000,18700000,11200000,-3e+06,3900000,30800000,-7800000,-7800000,1500000,-6300000,-12200000,-66800000,0,0,-7.9e+07,-54500000,-54500000,2e+05,-54300000,43300000,444300000,50100000,0.30148,0.15337,0.08935,0.03559,0.01552,2.67914,2.78451,1.2933,0.36874,0.61683,0.61394,6.90385,17.33055,1.65257,0.40242,0.02867,0.04649,0.65241,8.194,11.05296
"28","2017_Q1",33.2262903225806,"Up",198700000,-135500000,63200000,-35400000,-30800000,-4600000,27800000,-4100000,-4e+06,-1e+05,23700000,-21600000,2100000,12500000,2400000,1.7e+07,1.7e+07,1.7e+07,1.7e+07,107400000,107400000,115100000,115100000,119400000,22400000,5100000,364300000,307400000,438200000,177500000,27500000,809400000,1173700000,132800000,50300000,77200000,3e+06,135800000,437400000,92200000,33100000,29800000,29300000,529600000,665400000,62300000,585300000,-139300000,508300000,508300000,1173700000,1.7e+07,1.7e+07,11200000,1.5e+07,3400000,46700000,-10300000,-10300000,2900000,-7400000,-12800000,-3800000,-99999.9999999999,-1e+05,-16700000,22600000,22600000,-4700000,17900000,3.9e+07,440400000,19600000,0.31807,0.13991,0.08556,0.03344,0.01448,1.15294,2.68262,1.30907,0.37522,0.5607,0.55693,6.55362,16.76501,0.64646,0.42218,0.02863,0.01883,0.75294,8.53846,11.97842
"29","2017_Q2",30.7803174603175,"Down",233300000,-169900000,63400000,-34700000,-30300000,-4400000,28700000,-6900000,-5800000,-1100000,21800000,-1100000,20700000,-7100000,1e+05,13700000,13700000,13700000,13700000,99800000,99800000,141700000,141700000,136800000,25200000,8200000,403500000,342900000,676400000,307100000,28500000,1.084e+09,1487500000,1.41e+08,66200000,70400000,2900000,143900000,723200000,102700000,33400000,3e+07,39300000,825900000,969800000,63700000,5.85e+08,-1.31e+08,517700000,517700000,1487500000,13700000,13700000,16600000,1900000,-19300000,1.3e+07,-11100000,-11100000,-1400000,-305900000,0,285800000,-1100000,-1100000,284100000,-8800000,-8800000,1200000,-7600000,45300000,726100000,2.2e+07,0.27175,0.12302,0.05872,0.02646,0.00921,1.60584,2.80403,1.87329,0.48813,0.45118,0.44937,7.68326,17.0494,0.72453,0,0.01017,0.01634,0,13.82561,21.8223
"30","2017_Q3",30.2549206349206,"Down",255300000,-178400000,76900000,-3.5e+07,-30400000,-4600000,41900000,-8400000,-6800000,-1600000,33500000,-1600000,31900000,-9900000,3e+05,22300000,22300000,22300000,22300000,97800000,97800000,153200000,153200000,141700000,2.7e+07,8e+06,419700000,354100000,673400000,303600000,2.9e+07,1091300000,1.511e+09,130400000,58800000,71100000,4300000,134700000,716800000,114800000,3.5e+07,32900000,46900000,831600000,966300000,64600000,594500000,-114400000,544700000,544700000,1.511e+09,22300000,22300000,15300000,3e+06,-8700000,31900000,-8200000,-8200000,1600000,-4900000,-25800000,-6e+06,1e+05,1e+05,-31700000,-4700000,-4700000,2700000,-2e+06,57200000,721100000,50200000,0.30121,0.16412,0.08735,0.04094,0.01476,2.25112,3.11581,1.774,0.47723,0.73324,0.73003,8.39446,17.91016,1.65062,0.84832,0.03484,0.03636,1.15695,10.89685,14.87589
"31","2017_Q4",34.4885714285714,"Up",257800000,-181800000,7.6e+07,-35200000,-31300000,-3900000,40800000,-4100000,-7400000,3300000,36700000,-1500000,35200000,-9500000,0,25700000,25800000,25800000,25800000,100600000,100600000,163200000,163200000,143900000,25800000,6900000,433500000,359800000,673700000,301100000,30200000,1098500000,1.532e+09,1.38e+08,56900000,79200000,3500000,141500000,690500000,130900000,35500000,40300000,55100000,821400000,962900000,66800000,607300000,-1.05e+08,569100000,569100000,1.532e+09,25700000,25800000,14800000,1700000,6200000,48400000,-1200000,-8200000,2800000,1600000,-12900000,-35600000,-1e+05,-1e+05,-48600000,1400000,1400000,1400000,2800000,55600000,6.94e+08,70100000,0.2948,0.15826,0.10008,0.04533,0.01684,2.71705,3.0636,1.69197,0.453,0.84805,0.84398,8.47391,18.70636,2.30419,0.42402,0.02776,0.05029,0.5,10.67266,14.54412
"32","2018_Q1",33.9798360655738,"Down",235700000,-169700000,6.6e+07,-44600000,-39700000,-4900000,21400000,-3800000,-6900000,3100000,17600000,-3900000,13700000,-43100000,2100000,-27300000,-27300000,-27300000,-27300000,106900000,106900000,149400000,149400000,155200000,21600000,5400000,433100000,361900000,6.79e+08,297200000,39500000,1109400000,1542500000,1.42e+08,59400000,78600000,5100000,147100000,679100000,169600000,30700000,42300000,96600000,848700000,995800000,69400000,566700000,-89400000,546700000,546700000,1542500000,-27300000,-27300000,12800000,42300000,9900000,37700000,-9700000,-9700000,4e+05,-9300000,-13200000,-1.1e+07,-1e+05,-1e+05,-24300000,4100000,4100000,2200000,6300000,34200000,684200000,77500000,0.28002,0.09079,-0.11583,-0.04994,-0.0177,-2.83883,2.94426,1.82147,0.44357,-0.8972,-0.89234,7.74615,17.967,2.547,0.43381,-0.01007,0.05534,-0.48352,16.88012,26.97664
"33","2018_Q2",34.5103125,"Up",261900000,-189900000,7.2e+07,-36600000,-32500000,-4100000,35400000,-6500000,-6200000,-3e+05,28900000,-4e+05,28500000,-7300000,-3e+05,20900000,20500000,20500000,20500000,96100000,96100000,164500000,164500000,152900000,21800000,8100000,435300000,363700000,677400000,294200000,39300000,1111900000,1547200000,135300000,61200000,68800000,3800000,139100000,670800000,175200000,3e+07,45300000,99900000,8.46e+08,985100000,70900000,569800000,-78600000,562100000,562100000,1547200000,20900000,20500000,15600000,3900000,-18400000,2.2e+07,-6e+06,-6e+06,-1200000,-7200000,-13200000,-11100000,-2500000,-2500000,-26800000,-1.2e+07,-1.2e+07,1200000,-10800000,5.1e+07,674600000,33900000,0.27491,0.13517,0.07827,0.03647,0.01325,1.65366,3.1294,1.75254,0.43601,0.67238,0.6695,8.5901,18.4364,1.11189,0.43295,0.02387,0.02401,0.6439,11.34314,16.34181
"34","2018_Q3",34.0028571428571,"Down",270400000,-1.93e+08,77400000,-34700000,-30600000,-4100000,42700000,-7100000,-6600000,-499999.999999999,35600000,-6e+05,3.5e+07,-8700000,-5e+05,25800000,25800000,25800000,25800000,73900000,73900000,159400000,159400000,153700000,19400000,7200000,406400000,346700000,665200000,284700000,4e+07,1078700000,1485100000,133200000,60800000,69900000,3e+06,136200000,639800000,166600000,28700000,45600000,92300000,806400000,942600000,71900000,582200000,-111600000,542500000,542500000,1485100000,25800000,25800000,15400000,5e+06,-12300000,34100000,-7700000,-7700000,-1e+05,-7800000,-13200000,-31100000,-2e+05,-2e+05,-44500000,-18200000,-18200000,-4e+06,-22200000,58100000,642800000,46800000,0.28624,0.15791,0.09541,0.04756,0.01737,1.81395,2.98385,1.73751,0.43283,0.84408,0.84023,8.84649,17.74859,1.53112,0.43186,0.02885,0.03462,0.51163,9.79174,13.32319
"35","2018_Q4",25.4834920634921,"Down",260300000,-1.95e+08,65300000,-33800000,-30200000,-3600000,31500000,3900000,-7300000,11200000,35400000,-4e+05,3.5e+07,5600000,3e+05,40900000,4.1e+07,4.1e+07,4.1e+07,90500000,90500000,1.61e+08,1.61e+08,150900000,19300000,5300000,421700000,343700000,659300000,2.79e+08,39800000,1065600000,1487300000,133100000,58600000,73400000,3200000,136300000,637600000,144700000,28900000,44700000,71100000,782300000,918600000,73100000,609800000,-114200000,568700000,568700000,1487300000,40900000,4.1e+07,15800000,-1.9e+07,-6e+05,37100000,-6100000,-6100000,2800000,-3300000,-13300000,0,-1e+05,-1e+05,-16800000,1.7e+07,1.7e+07,-4e+05,16600000,47300000,640800000,3.5e+07,0.25086,0.12101,0.15751,0.07209,0.02757,0.85366,3.09391,1.61526,0.43085,1.3412,1.33451,8.515,18.60345,1.14493,0.43507,0.0401,0.02585,0.32439,11.63425,17.46984
"36","2019_Q1",28.7003278688525,"Up",248700000,-184900000,63800000,-36700000,-33300000,-3400000,27100000,-8500000,-8100000,-4e+05,18600000,-3e+05,18300000,-3e+05,-10800000,7200000,7200000,7200000,7200000,93800000,93800000,154600000,154600000,151500000,29300000,5100000,429200000,340300000,645100000,272800000,33900000,1037300000,1466500000,140200000,65700000,72900000,3300000,143500000,618800000,146300000,28200000,4.8e+07,70100000,765100000,908600000,74200000,608200000,-124500000,557900000,557900000,1466500000,7200000,7200000,14800000,16900000,7e+06,45900000,-7200000,-7200000,-2e+06,-9200000,-13500000,-18900000,-2e+05,-2e+05,-32800000,3900000,3900000,-6e+05,3300000,41900000,622100000,4.2e+07,0.25653,0.10897,0.02895,0.01291,0.00491,5.83333,2.99094,1.62861,0.42421,0.23544,0.23435,8.13245,18.24323,1.37339,0.44145,0.01561,0.03167,1.875,12.60859,19.49446
"37","2019_Q2",28.8312698412698,"Up",2.58e+08,-190100000,67900000,-37500000,-34200000,-3300000,30400000,-8400000,-7800000,-6e+05,2.2e+07,0,2.2e+07,-4400000,-2e+05,17400000,17400000,17400000,17400000,83400000,83400000,164200000,164200000,154500000,28300000,7800000,430400000,333400000,669700000,266600000,64400000,1055300000,1485700000,136600000,72100000,63100000,3100000,139700000,617200000,166700000,2.8e+07,4.7e+07,91700000,783900000,923600000,75100000,610800000,-123800000,562100000,562100000,1485700000,17400000,17400000,14400000,3200000,-2.2e+07,1.3e+07,-7300000,-7300000,-3e+05,-7600000,-13600000,-8e+05,-9e+05,-9e+05,-15300000,-9900000,-9900000,-5e+05,-10400000,44800000,620300000,19900000,0.26318,0.11783,0.06744,0.03096,0.01171,1.14368,3.08089,1.64312,0.41751,0.56824,0.56647,8.4257,18.35692,0.64989,0.44415,0.02298,0.01475,0.78161,11.98438,17.66118
"38","2019_Q3",29.78796875,"Up",269900000,-190900000,7.9e+07,-34400000,-30700000,-3700000,44600000,-17800000,-15100000,-2700000,26800000,-4e+05,26400000,-5200000,-700000.000000002,20500000,20500000,20500000,20500000,87800000,87800000,166600000,166600000,154200000,33100000,6900000,441700000,333400000,663300000,262300000,62600000,1047700000,1489400000,140200000,60900000,77900000,1900000,142100000,604700000,1.7e+08,28600000,4.7e+07,94400000,774700000,916800000,76700000,617600000,-121700000,572600000,572600000,1489400000,20500000,20500000,14500000,12600000,-5600000,4.2e+07,-7900000,-7900000,-1700000,-9600000,-13600000,-14500000,-99999.9999999999,-1e+05,-28200000,4200000,4200000,2e+05,4400000,59100000,606600000,50800000,0.2927,0.16525,0.07595,0.0358,0.01376,2.47805,3.10837,1.60112,0.40728,0.66859,0.66418,8.80254,18.67482,1.6568,0.44355,0.02527,0.03765,0.66341,8.77834,11.63229
"39","2019_Q4",36.28171875,"Up",256400000,-184200000,72200000,-3.6e+07,-32900000,-3100000,36200000,-5e+06,-6700000,1700000,31200000,-1600000,29600000,-3200000,1300000,27700000,27700000,27700000,27700000,84900000,84900000,156900000,156900000,149400000,27700000,5500000,418900000,3.2e+08,6.64e+08,254500000,69600000,1031300000,1450200000,142600000,64100000,77400000,1900000,144500000,559700000,171200000,2.8e+07,46900000,96300000,730900000,875400000,78200000,631700000,-135100000,574800000,574800000,1450200000,27700000,27700000,14500000,3200000,18500000,63900000,-4800000,-4800000,-8e+05,-5600000,-13600000,-45600000,0,0,-59200000,-9e+05,-9e+05,-2e+06,-2900000,50700000,561600000,67600000,0.28159,0.14119,0.10803,0.04819,0.0191,2.44043,2.89896,1.52296,0.38726,0.90337,0.89841,8.36187,18.74572,2.20461,0.44353,0.03158,0.0517,0.49097,9.40237,13.16851
"40","2020_Q1",29.5845161290323,"Down",238500000,-167600000,70900000,-44400000,-4.1e+07,-3400000,26500000,-5900000,-6500000,6e+05,20600000,-1700000,18900000,-2400000,3699999,20199999,20199999,20199999,20199999,1.03e+08,1.03e+08,143200000,143200000,161400000,19900000,7400000,427500000,330300000,661500000,251200000,69200000,1044200000,1471700000,155700000,66400000,86500000,1900000,157600000,540800000,175600000,31600000,48200000,95800000,716400000,8.74e+08,81900000,638400000,-122600000,597700000,597700000,1471700000,20200000,20200000,14300000,-399998.999999998,7300000,41400001,6100000,-8600000,1900000,8e+06,-13600000,-19600000,1e+05,99999.9999999999,-33100000,16300001,16300001,1800000,18100001,40800000,542700000,56600000,0.29727,0.11111,0.0847,0.0338,0.01373,2.80198,2.71256,1.46227,0.36876,0.65876,0.6529,7.77795,19.49217,1.84584,0.44352,0.02568,0.04301,0.67327,10.77696,16.59245
"41","2020_Q2",26.9874603174603,"Down",261500000,-187200000,74300000,-40100000,-36900000,-3200000,34200000,-6300000,-6900000,6e+05,27900000,-1e+05,27800000,-5300000,2796576.13770018,22500000,22500000,22500000,22500000,126700000,126700000,170400000,170400000,159500000,17100000,11200000,473700000,324900000,805100000,329800000,74100000,1181500000,1655200000,140500000,67700000,69800000,1900000,142400000,752800000,1.68e+08,31300000,45100000,91600000,920800000,1063200000,84100000,646200000,-138300000,5.92e+08,5.92e+08,1655200000,22500000,22500000,15300000,1e+06,-33700000,5100000,-7400000,-7400000,1700000,-176300000,-13700000,211600000,-1e+06,-1e+06,196900000,25700000,25700000,-2e+06,23700000,49500000,754700000,13700000,0.28413,0.13078,0.08604,0.03801,0.01359,0.60889,3.32654,1.79595,0.45596,0.73261,0.72792,8.5145,19.27566,0.44608,0.44608,0.0239,0.00904,0.60889,12.68687,18.36257
"42","2020_Q3",28.55828125,"Up",254200000,-179900000,74300000,-38300000,-34700000,-3600000,3.6e+07,-8400000,-8100000,-3e+05,27600000,-1600000,2.6e+07,-5400000,899999.999999999,21500000,21500000,21500000,21500000,63900000,63900000,151300000,151300000,172100000,17100000,8900000,404400000,325500000,795600000,321200000,72400000,1173700000,1578100000,134100000,53100000,77600000,2600000,136700000,666400000,167600000,32200000,46400000,8.9e+07,8.34e+08,970700000,90300000,654100000,-1.37e+08,607400000,607400000,1578100000,21500000,21500000,17200000,2e+06,3500000,44200000,-7500000,-7500000,-1300000,-7500000,-13700000,-86700000,1e+05,1e+05,-100300000,-63600000,-63600000,799999.999999999,-62800000,53200000,6.69e+08,54600000,0.29229,0.14162,0.08458,0.0354,0.01362,2.53953,2.9583,1.59812,0.42393,0.69822,0.6934,8.2552,19.72545,1.77315,0.44491,0.02438,0.03781,0.63721,11.37406,16.80833
"43","2020_Q4",33.02609375,"Up",279300000,-199100000,80200000,-37200000,-33600000,-3600000,4.3e+07,-8800000,-7800000,-1e+06,34200000,-6e+06,28200000,-4800000,1100000,24500000,24500000,24500000,24500000,66300000,66300000,166500000,166500000,172800000,16800000,7200000,422400000,327700000,7.87e+08,317400000,65900000,1168200000,1590600000,156600000,66900000,86800000,2700000,159300000,630200000,172600000,33600000,48700000,90300000,802800000,962100000,91900000,664800000,-128199999,628500001,628500001,1590600001,24500000,24500000,19800000,2700000,11200000,58200000,-5800000,-5800000,-9e+05,-6700000,-13800000,-36800000,0,0,-50600000,9e+05,9e+05,1500000,2400000,62800000,632900000,7.3e+07,0.28715,0.15396,0.08772,0.03898,0.0154,2.97959,2.6516,1.53079,0.3979,0.7926,0.78668,9.03565,20.33263,2.36163,0.44644,0.02671,0.05091,0.56327,9.02229,13.17674
"44","2021_Q1",40.97,"Up",279400000,-199900000,79500000,-5.2e+07,-48600000,-3400000,27500000,-8e+06,-7700000,-3e+05,19500000,-4200000,15300000,-2900000,2900000,15300000,15300000,15300000,15300000,54700000,54700000,148500000,148500000,179700000,13500000,7300000,396400000,3.39e+08,849500000,314700000,69200000,1188500000,1584900000,164100000,60500000,100900000,2800000,166900000,590500000,177900000,36500000,45100000,96300000,768400000,935300000,95300000,666200000,-111900000,649600000,649600000,1584900000,15300000,15300000,19900000,5600000,13300000,54100000,-8900000,-9400000,-3700000,-12600000,-13800000,-40700000,-1e+05,-1e+05,-54600000,-13100000,-13100000,1500000,-11600000,47400000,593300000,54700000,0.28454,0.09843,0.05476,0.02355,0.00965,3.57516,2.37507,1.43981,0.37435,0.49491,0.48794,9.03771,21.01252,1.76937,0.44639,0.02048,0.0385,0.90196,11.36287,19.58545
"45","2021_Q2",41.9168253968254,"Up",288200000,-207400000,80800000,-45600000,-41800000,-3800000,35200000,-5500000,-2900000,-2600000,29700000,-1700000,2.8e+07,-7400000,1e+06,21600000,21600000,21600000,21600000,63700000,63700000,172900000,172900000,173300000,18200000,14900000,428100000,324100000,775300000,304800000,68500000,1159400000,1587500000,154999999,66599999,83500000,2700000,157699999,615200000,161700000,35300000,4.5e+07,81400000,776900000,934599999,97700000,670900000,-115700000,652900000,652900000,1587499999,21600000,21600000,16900000,4700000,-30500000,12700000,-7100000,-7100000,-2e+05,-7300000,-13800000,24400000,-3100000,-3100000,4500000,9900000,9900000,-9e+05,9e+06,52100000,617900000,21900000,0.28036,0.12214,0.07495,0.03308,0.01361,1.01389,2.71465,1.43146,0.38923,0.69735,0.6892,9.30452,21.07883,0.70704,0.44553,0.02471,0.01529,0.63889,10.63724,15.74432
"46","2021_Q3",35.4628125,"Down",377800000,-289700000,88100000,-69900000,-64500000,-5400000,18200000,-13400000,-13100000,-300000.000000001,4800000,-2300000,2500000,-3500000,2800000,1800000,1800000,1800000,1800000,65900000,65900000,229400000,229400000,2.47e+08,36400000,17700000,578700000,476300000,1304300000,541700000,95900000,1844600000,2423300000,226100000,113400000,106900000,18300000,244400000,1262600000,263300000,43300000,112200000,107800000,1525900000,1770300000,100400000,658900000,-106300000,6.53e+08,6.53e+08,2423300000,1800000,1800000,2.8e+07,-2200000,-20500000,7100000,-9200000,-9200000,-2e+06,-641700000,-13800000,661500000,0,0,636200000,1600000,1600000,6e+05,2200000,46200000,1280900000,2e+07,0.23319,0.04817,0.00476,0.00276,0.00074,11.11111,2.36784,2.71103,0.52858,0.05811,0.0574299999999999,12.19725,21.08206,0.6457,0.44553,0.0071,0.0091,7.66667,26.2987,66.75824
"47","2021_Q4",31.628125,"Down",383600000,-298400000,85200000,-60300000,-54600000,-5700000,24900000,-11600000,-15300000,3700000,13300000,-1900000,11400000,-1500000,2300000,12200000,12200000,12200000,12200000,73600000,73600000,242200000,242200000,261300000,32700000,15600000,609800000,467500000,1342500000,526500000,90500000,1.81e+09,2419800000,228600000,116700000,104300000,1.8e+07,246600000,1288200000,249300000,39500000,109300000,100500000,1537500000,1784100000,102400000,657200000,-123900000,635700000,635700000,2419800000,12200000,-10354011.861932,25400000,-9800000,-20100000,7700000,-7500000,-7500000,-1700000,-9300000,-13900000,24300000,0,0,10300000,8700000,8700000,-1e+06,7700000,50300000,1306200000,24200000,0.22211,0.06491,0.0318,0.01919,0.00504,1.98361,2.47283,2.80651,0.5398,0.39327,0.38876,12.36538,20.49184,0.78009,0.44807,0.01191,0.01104,1.13934,24.50497,49.50201
"48","2022_Q1",29.2967741935484,"Down",390400000,-314200000,76200000,-61100000,-55700000,-5400000,15100000,20300000,-14800000,35100000,35400000,-4200000,31200000,21800000,3e+05,53300000,53300000,53300000,53300000,74700000,74700000,2.38e+08,2.38e+08,259500000,22400000,12400000,594600000,463900000,1361800000,513900000,101100000,1825700000,2420300000,227900000,1.16e+08,109300000,3200000,231100000,1267100000,239900000,3.9e+07,95100000,105800000,1.507e+09,1738100000,104800000,696400000,-1.19e+08,682200000,682200000,2420300000,53300000,-7978007.54850215,22400000,-54800000,9700000,30600000,23200000,-12100000,-1400000,21800000,-13800000,-3.7e+07,-3e+05,-3e+05,-51100000,1300000,1300000,-2e+05,1100000,37500000,1270300000,48600000,0.19518,0.03868,0.13653,0.07813,0.02202,0.911819999999999,2.57291,2.54779,0.52485,1.71283,1.69426,12.54575,21.92293,1.56179,0.44347,0.03061,0.02217,0.25891,31.88267,79.17881
"49","2022_Q2",26.2029032258065,"Down",406800000,-314200000,92600000,-68800000,-63600000,-5200000,23800000,-9e+06,-14500000,5500000,14800000,-13200000,1600000,-2100000,2100000,1600000,1600000,1600000,1600000,56100000,56100000,278500000,278500000,272400000,3.1e+07,20600000,6.38e+08,450400000,1353500000,496700000,106600000,1803900000,2441900000,240500000,122800000,116300000,2900000,243400000,1273500000,223600000,37700000,92500000,93400000,1497100000,1740500000,108500000,681200000,-88300000,701400000,701400000,2441900000,1600000,1600000,25100000,23700000,-45400000,5e+06,-8700000,-8700000,-9e+05,-9600000,-13900000,5400000,-2900000,-2900000,-13600000,-18200000,-18200000,-4e+05,-18600000,48900000,1276400000,-3100000,0.22763,0.05851,0.00393,0.00228,0.000659999999999997,-1.9375,2.6212,2.48147,0.52271,0.05152,0.05087,13.09926,22.58559,-0.09982,0.44759,0.00704,-0.00141,8.6875,24.95501,51.27311
"50","2022_Q3",24.185,"Down",426400000,-326800000,99600000,-69400000,-6.4e+07,-5400000,30200000,-13100000,-20400000,7300000,17100000,-2400000,14700000,-4600000,1700000,11800000,11800000,11800000,11800000,56300000,56300000,2.77e+08,2.77e+08,276400000,4.4e+07,16100000,653700000,426200000,1315400000,476800000,107400000,1741600000,2395300000,240900000,123300000,112900000,1900000,242800000,1252700000,205300000,35800000,85200000,84300000,1.458e+09,1700800000,112300000,678700000,-96500000,694500000,694500000,2395300000,11800000,11800000,25800000,-7e+06,-17600000,1.3e+07,-9099999.99999999,-9100000,36700000,27600000,-14200000,-13300000,-1e+05,-1e+05,-37900000,2700000,2700000,-2500000,199999.999999996,5.6e+07,1254600000,33900000,0.23358,0.07083,0.02767,0.01699,0.00493,2.87288,2.69234,2.44896,0.52378,0.37997,0.37515,13.73039,22.3634,1.0916,0.45725,0.01207,0.01574,1.20339,21.39821,39.67881
