"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",18.84953125,"Up",58241000,-13954000,44287000,-47930000,-34254000,-13252000,-424000,-3643000,129000,129000,-3514000,-3692000,489000,-3203000,-3203000,-3203000,-3203000,57480000,57480000,45897000,45897000,13410000,13194000,116787000,36328000,95945000,12937000,80595000,791000,1622000,132273000,249060000,43813000,5602000,38211000,52374000,52374000,96187000,6756000,2679000,6756000,102943000,313758000,-165662000,-1976000,146117000,146117000,249060000,-3203000,3358000,3619000,-4451000,-677000,-4595000,-3623000,4604000,5949000,4604000,304000,304000,1061000,1365000,-285000,0,-9820000,0.76041,-0.06255,-0.055,-0.02192,-0.01286,3.06588,1.21417,0.70452,0,-0.05589,-0.05589,1.01625,2.5496,-0.17135,-0.02095,-0.06424,201.68421,15.7782
"32","2018_Q3",24.5852380952381,"Up",61660000,-16036000,45624000,-51534000,-36891000,-14219000,-424000,-5910000,31000.0000000001,30999.9999999999,-5879000,-7785000,-536000,-8321000,-8321000,-8321000,-8321000,69747000,69747000,38109000,38109000,17101000,16885000,124957000,38066000,95398000,12321000,80473000,817000,1787000,133464000,258421000,45459000,6207000,39252000,47375000,47375000,92834000,5735000,2584000,5735000,98569000,337300000,-173983000,-3462000,159852000,159852000,258421000,-8321000,3428000,4887000,-1324000,-1330000,-5069000,-5198000,19718000,19718000,19718000,13190000,13190000,-923000,12267000,-2482000,0,-8339000,0.73993,-0.09585,-0.13495,-0.05205,-0.0322,1.00216,1.34603,0.61663,8.67361737988404e-19,-0.14186,-0.14186,1.05122,2.72526,-0.14217,-0.05025,-0.05036,28.10113,11.80152
"33","2018_Q4",20.5504761904762,"Down",64213000,-15689000,48524000,-52628000,-38720000,-13484000,-424000,-4104000,-213000,-213000,-4317000,-5039000,-2004000,-7043000,-7043000,-7043000,-7043000,66351000,66351000,51727000,51727000,18722000,18722000,136800000,39788000,101266000,13249000,85467000,732000,1818000,141054000,277854000,47727000,6603000,41124000,56117000,56117000,103844000,7112000,3972000,7112000,110956000,351765000,-181026000,-3838000,166898000,166898000,277854000,-7043000,3557000,5264000,-6879000,-5101000,-4168000,-5062000,7045000,7045000,7045000,-3118000,-3118000,-278000,-3396000,-547000,0,-9590000,0.75567,-0.06391,-0.10968,-0.0422,-0.02535,1.36164,1.31736,0.66481,0,-0.11731,-0.11731,1.06956,2.77994,-0.15974,-0.04047,-0.05511,121.29982,16.1674
"34","2019_Q1",24.9739344262295,"Up",65724000,-16800000,48924000,-54502000,-39352000,-14752000,-398000,-5578000,-418000,-440000,-5996000,-7658000,1193000,-6465000,-6465000,-6465000,-6465000,66449000,66449000,46023000,46023000,22613000,22613000,135085000,43735000,111283000,13832000,95031000,713000,1707000,155018000,290103000,58836000,8174000,50662000,55015000,55015000,113851000,5523000,4205000,5523000,119374000,362654000,-187491000,-4431000,170729000,170729000,290103000,-6465000,3845000,5037000,9470000,11887000,-8106000,-13890000,2559000,2559000,2559000.00000001,556000.000000007,556000.000000007,-458000,98000,-1733000,-7.45058059692383e-09,-1562000,0.74439,-0.08487,-0.09837,-0.03787,-0.02229,0.24161,1.18651,0.6992,-1.38777878078145e-17,-0.10631,-0.10631,1.08078,2.8075,-0.0256899999999999,-0.03668,-0.00886,38.34334,11.91269
"35","2019_Q2",28.447619047619,"Up",66402000,-18649000,47753000,-65837000,-47203000,-18173000,-461000,-18084000,66000,66000,-18018000,-18297000,-593000,-18890000,-18890000,-18890000,-18890000,237787000,237787000,51285000,51285000,29290000,29290000,318362000,48432000,125417000,13077000,94987000,714000,16639000,173849000,492211000,43228000,7331000,35897000,72437000,66210000,115665000,14213000,12886000,185507000,301172000,402061000,-206381000,-4638000,191039000,191039000,492211000,-18890000,3881000,9180000,-19862000,-25691000,-8335000,-8337000,6489000,7198000,205489000,171461000,171461000,-123000,171338000,-14203000,171294000,-41807000,0.71915,-0.27234,-0.28448,-0.09888,-0.03838,2.21318,2.75245,1.57649,0.34801,-0.30754,-0.30754,1.08107,3.11026,-0.68065,-0.05017,-0.11103,4.68162,3.6769
"36","2019_Q3",35.39875,"Up",70959000,-18049000,52910000,-73726000,-53106000,-20182000,-438000,-20816000,-2267000,-2267000,-23083000,-23288000,-699000,-23987000,-23987000,-23987000,-23987000,224727000,224727000,51467000,51467000,35317000,35317000,311511000,58294000,126214000,12652000,95016000,710000,17836000,184508000,496019000,53528000,8320000,45208000,75801000,69359000,129329000,15557000,13641000,189374000,318703000,412318000,-230368000,-4631000,177316000,177316000,496019000,-23987000,3762000,12920000,4084000,-3221000,-13047000,-13338000,3755000,3755000,3497000,-13062000,-13062000,2000,-13060000,-17054000,173817000,-25318000,0.74564,-0.29335,-0.33804,-0.13528,-0.04836,1.05549,2.40867,1.79737,0.35042,-0.38468,-0.38468,1.13797,2.84361,-0.40602,-0.06541,-0.06904,2.98522,2.44571
"37","2019_Q4",38.26796875,"Up",75175000,-20120000,55055000,-76757000,-55733000,-20577000,-447000,-21702000,-1810000,3063000,-23512000,-24937000,-935000,-25872000,-25872000,-25872000,-25872000,205153000,205153000,53787000,53787000,41806000,41806000,300746000,66859000,124324000,12303000,94928000,717000,16376000,191183000,491929000,59442000,9152000,50290000,78130000,72115000,137572000,14903000,12540000,191295000,328867000,425612000,-256240000,-6307000,163062000,163062000,491929000,-25872000,4162000,1123000,9055000,-11532000,-12177000,-12579000,6808000,6808000,5777000,-18334000,-18334000,-1240000,-19574000,-17540000,176392000,-19727000,0.73236,-0.28869,-0.34416,-0.15866,-0.05259,0.76248,2.1861,2.01682,0.35857,-0.41049,-0.41049,1.19274,2.58717,-0.31299,-0.07301,-0.05567,1.63974,1.32527
"38","2020_Q1",32.3237096774194,"Down",79073000,-22060000,57013000,-81400000,-57739000,-23213000,-448000,-24387000,-2183000,351000,-26570000,-26704000,-618000,-27322000,-27322000,-27322000,-27322000,176523000,176523000,87620000,87620000,13964000,13964000,278107000,76236000,158367000,11812000,94987000,2179000,49389000,234603000,512710000,75080000,12302000,62778000,95353000,88751000,170433000,14730000,12937000,193742000,364175000,436624000,-283562000,-4524000,148535000,148535000,512710000,-27322000,7493000,29551000,-28436000,-18714000,-14947000,-14252000,3105000,3299000,3087999.99999999,-29878000,-29878000,1248000,-28630000,-16894000,179012000,-59659000,0.72102,-0.30841,-0.34553,-0.18394,-0.05329,2.18355,1.63177,2.45178,0.34915,-0.42982,-0.42982,1.24394,2.33668,-0.93852,-0.07982,-0.1743,-0.14733,-0.10206
"39","2020_Q2",31.0396825396825,"Down",78088000,-22820000,55268000,-85270000,-59149000,-25716000,-405000,-30002000,-3458000,-667000,-33460000,-36650000,-352000,-37002000,-37002000,-37002000,-37002000,171479000,171479000,61082000,61082000,15722000,15722000,248283000,82816000,158360000,11339000,94945000,1934000,50142000,241176000,489459000,55281000,10652000,44629000,92435000,85874000,147716000,13679000,12328000,195357000,343073000,474674000,-321292000,-6993000,146386000,146386000,489459000,-37001000,5538000,16040000,19716000,4293000,-11030000,-11030000,3098000,3098000,3098000,-3639000,-3639000,-1405000,-5044000,-24464000,181678000,-15426000,0.70777,-0.38421,-0.47385,-0.25277,-0.0756,0.4169,1.68081,2.34362,0.37118,-0.57466,-0.57466,1.21276,2.27347,-0.23958,-0.10827,-0.04514,-0.4169,-0.33994
"40","2020_Q3",50.04828125,"Up",91603000,-27706000,63897000,-78340000,-50971000,-26965000,-404000,-14443000,-4519000,-1308000,-18962000,-18965000,339000,-18626000,-18626000,-18626000,-18626000,173177000,173177000,75187000,75187000,19315000,19315000,267679000,91238000,159240000,11109000,94989000,2107000,51035000,250478000,518157000,76831000,10868000,65963000,98286000,92090000,175117000,15337000,10821000,199726000,374843000,488298000,-339919000,-5062000,143314000,143314000,518157000,-18627000,5736000,22843000,-1939000,8013000,-13229000,-13229000,6025000,6025000,6025000.00000001,809000,809000,889000,1698000,-8707000,184389000,-24214000,0.69754,-0.15767,-0.20333,-0.12997,-0.03595,1.30001,1.52857,2.61554,0.35586,-0.28368,-0.28368,1.39516,2.18274,-0.36879,-0.0543,-0.07059,-1.2877,-0.77629
"41","2020_Q4",57.3203125,"Up",94804000,-27692000,67112000,-75812000,-47666000,-27736000,-410000,-8700000,-3668000,-509000,-12368000,-38810000,1e+05,-38710000,-38710000,-38710000,-38710000,198694000,198694000,66483000,66483000,20112000,20112000,285289000,91081000,151955000,11040000,95086000,2194000,43635000,243036000,528325000,109767000,9629000,100138000,96654000,90359000,206421000,11062000,9421000,198209000,404630000,505097000,-378629000,-2770000,123695000,123695000,528325000,-38710000,5949000,38992000,19118000,25349000,-9904000,-9904000,8024000,8024000,8024000,23469000,23469000,2048000,25517000,-2751000,187147000,6363000,0.7079,-0.09177,-0.40832,-0.31295,-0.07327,-0.16438,1.38207,3.27119,0.35423,-0.58239,-0.58239,1.42633,1.861,0.09573,-0.12025,0.01977,4.19738,1.32724
"42","2021_Q1",61.7547540983607,"Up",102125000,-28050000,74075000,-80961000,-52544000,-27997000,-420000,-6886000,-4032000,1141000,-10918000,-10703000,-2553000,-13256000,-13256000,-13256000,-13256000,654152000,654152000,80423000,80423000,14236000,14236000,748811000,106055000,151566000,10927000,95192000,2032000,43415000,257621000,1006432000,113985000,14115000,99870000,94566000,88848000,208551000,15515000,13484000,553947000,762498000,635742000,-391885000,80000,243934000,243934000,1006432000,-13256000,8383000,10421000,-9597999.99999999,-4050000,-9313000,-9313000,8208000,8208000,466696000,453333000,453333000,2125000,455458000,1497000,538432000,-14861000,0.72534,-0.06743,-0.1298,-0.05434,-0.01317,1.12108,3.59054,3.12584,0.53499,-0.19773,-0.19773,1.52334,3.63863,-0.22167,-0.01661,-0.01863,-77.30127,16.80511
"43","2021_Q2",56.1811111111111,"Down",107891000,-33519000,74372000,-85269000,-51439000,-33455000,-375000,-10897000,-8417000,712000,-19314000,-22046000,851000,-21195000,-21195000,-21195000,-21195000,668225000,668225000,92263000,92263000,19965000,19965000,780453000,111314000,152770000,11058000,95087000,3620000,43005000,264084000,1044537000,109972000,13626000,96346000,113512000,108415000,223484000,13877000,11581000,561036000,784520000,674766000,-413080000,-1666000,260017000,260017000,1044537000,-21195000,6605000,24094000,15725000,25229000,-11437000,-11437000,3874000,3874000,3015000,16807000,16807000,-2734000,14073000,-4292000,547159000,-855000,0.68933,-0.101,-0.19645,-0.08151,-0.02029,0.04034,3.49221,3.01719,0.52383,-0.31214,-0.31214,1.58893,3.82931,-0.01259,-0.02581,-0.00104,28.20736,11.11003
"44","2021_Q3",62.9196875,"Up",119605000,-40063000,79542000,-92627000,-54727000,-37526000,-374000,-13085000,-6943000,2338000,-20028000,-20521000,-598000,-21119000,-21119000,-21119000,-21119000,664334000,664334000,89807000,89807000,19348000,19348000,773489000,115647000,154621000,10970000,95116000,3600000,44935000,270268000,1043757000,105673000,8106000,97567000,110382000,107671000,216055000,9978000,7707000,566010000,782065000,696995000,-434199000,-1101000,261692000,261692000,1043757000,-21119000,6973000,23183000,-3652000,5385000,-13110000,-13110000,5127000,5127000,4256000,-3469000,-3469000,852000.000000001,-2617000.00000006,-6112000,556032000,-22276000,0.66504,-0.1094,-0.17657,-0.0807,-0.02023,1.05478,3.58006,2.98849,0.53272,-0.31102,-0.31102,1.76144,3.85398,-0.32806,-0.02552,-0.02691,17.71957,8.27681
"45","2021_Q4",46.24625,"Down",118327000,-38795000,79532000,-100267000,-58045000,-41734000,-488000,-20735000,-9490000,-48000,-30225000,-30269000,-2538000,-32807000,-32807000,-32807000,-32807000,633042000,633042000,83160000,83160000,26489000,26489000,742691000,118726000,207492000,18134000,139149000,3534000,46675000,326218000,1068909000,120195000,14599000,105596000,106162000,102905000,226357000,15384000,13210000,580443000,806800000,733275000,-467006000,-4157000,262109000,262109000,1068909000,-32807000,6893000,30076000,866000,5028000,-11205000,-36174000,4126000,4126000,3250000,-27896000,-27896000,-3190000,-31086000,-13842000,565059000,-21643000,0.67214,-0.17523,-0.27726,-0.12517,-0.03069,0.65971,3.28106,3.07811,0.52863,-0.47002,-0.47002,1.69526,3.75521,-0.31008,-0.03894,-0.02569,4.91136,3.27866
"46","2022_Q1",26.9385483870968,"Down",123801000,-44503000,79298000,-124450000,-77967000,-45675000,-808000,-45152000,-9262000,292000,-54414000,-54542000,4689000,-49853000,-49853000,-49853000,-49853000,521846000,521846000,93804000,93804000,20626000,20626000,636276000,124726000,425654000,85554000,291215000,5034000,43851000,550380000,1186656000,121239000,16942000,104297000,102188000,98808000,223427000,39554000,37451000,613792000,837219000,871863000,-516859000,-5564000,349437000,349437000,1186656000,-49853000,12561000,30469000,-25572000,-32395000,-12561000,-79528000,2274000,2983000,1322000,-110601000,-110601000,-389000.000000001,-110990000,-32591000,574238000,-75413000,0.64053,-0.36471,-0.40269,-0.14267,-0.04201,1.51271,2.8478,2.39591,0.48391,-0.71424,-0.71424,1.77368,5.00634,-1.08043,-0.05176,-0.07829,-1.60756,-1.16035
"47","2022_Q2",18.7525806451613,"Down",130197000,-49567000,80630000,-145780000,-87867000,-56072000,-1841000,-65150000,-430000,60000,-65580000,-65557000,193000,-65364000,-65364000,-65364000,-65364000,480676000,480676000,108521000,108521000,30114000,30114000,619311000,131766000,450206000,90182000,305426000,5190000,49408000,584762000,1204073000,132837000,26059000,106778000,117187000,112323000,250024000,39117000,36507000,773703000,1023727000,719591000,-531979000,-7263000,180346000,180346000,1204073000,-65364000,7224000,39617000,-4349000,-22872000,-13873000,-19899000,1921000,1921000,1001000,-41770000,-41770000,6e+05,-41170000,-57926000,734586000,-76341000,0.61929,-0.5004,-0.50204,-0.36244,-0.05429,1.16794,2.47701,5.67646,0.61008,-0.91289,-0.91289,1.81836,2.51875,-1.06619,-0.06851,-0.08002,-4.38335,-3.89731
"48","2022_Q3",12.7721875,"Down",132565000,-45049000,87516000,-145962000,-90229000,-55752000,19000,-58446000,-4890000,-3266000,-63336000,-74197000,-1214000,-75411000,-75411000,-75411000,-75411000,425944000,425944000,121728000,121728000,26799000,26799000,574471000,133709000,442842000,86002000,303268000,4600000,48972000,580202000,1154673000,143531000,22615000,120916000,114694000,110594000,258225000,40163000,37622000,775693000,1033918000,740210000,-607390000,-12062000,120755000,120755000,1154673000,-75411000,7127000,45853000,-19064000,-41495000,-12453000,-13536000,-1026000,-1026000,-1955000,-56986000,-56986000,978000,-56008000,-51319000,735530000,-81622000,0.66017,-0.44089,-0.56886,-0.6245,-0.06531,1.08236,2.22469,8.56211,0.637,-0.97568,-0.97568,1.71515,1.56235,-1.05604,-0.08412,-0.09105,-6.03258,-5.29696
