"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"35","2019_Q3",11.4346875,"Down",7636213,-8744455,-2133153,-3623976,-2987326,-1575550,-2061334,-2061334,130000,-1931334,-1931334,-1931334,-1931334,504982,504982,6385694,6385694,2038063,751525,8928739,196571271,447177687,-250606416,196870594,205799333,1939183,487756,1939183,27342930,22030007,5312923,71442930,73382113,3111733,-5417894,134723381,132417220,132417220,205799333,-1931334,3623976,1945050,1413619,5051311,-2713744,-4100718,-674278,2600000,-2827126,-2827126,-901404,49189,49189,49189,2048426,44100000,618301,-0.20633,-0.25292,-0.01459,-0.00938,-0.32014,4.60438,0.55417,0.21429,-0.11427,-0.11427,0.45181,7.8347,0.03658,0.03989,-0.00617,0.00303,-0.34913,21.2822,-27.66971
"36","2019_Q4",12.301875,"Up",16342394,-9407702,-1809439,-4383043,-3215220,6445913,5919236,5919236,-1315000,4604236,4604236,4604236,4604236,1530477,1530477,5503962,5503962,4437522,1438138,11471961,194708209,449662590,-254954381,195137570,206609531,2443841,563642,2443841,28646603,23238007,5408596,70146603,72590444,3219383,-7863078,138662782,134019087,134019087,206609531,4604236,4383043,-4471512,756130,5271897,4828074,1515934,-664835,-2600000,-2497501,-2497501,-5762336,1025495,1025495,1025495,10828956,41500000,17728160,0.39443,0.281739999999999,0.03436,0.02228,3.8504,4.69423,0.54164,0.20086,0.27687,0.27687,0.98272,8.05902,1.06605,0.03998,0.02581,0.08683,0.1444,3.69099,6.20075
"37","2020_Q1",6.27338709677419,"Down",-3245342,-8037094,-2683811,-6375878,1022595,-9717398,-10161356,-74390780,18237000,-56153780,-56153780,-56153780,-56153780,6160691,6160691,4377646,4377646,3939118,177037,14477455,111427021,370034542,-258607521,112167492,126644947,3098626,665160,3098626,11367569,5976007,5391562,46792569,49891195,3249493,-8344042,81848301,76753752,76753752,126644947,-56153780,6375878,54567753,1882882,6672733,6224399,5681996,-660701,-6075000,-988814,-988814,-7724515,4630214,4630214,4630214,-3341520,35425000,-13471239,2.99426,17.30289,-0.73161,-0.4434,0.2399,4.67222,0.65002,0.27972,-3.40638,-3.40638,-0.19687,4.65601,-0.81719,0.04008,-0.44917,-0.10904,-0.01177,-8.75778,-3.01154
"38","2020_Q2",3.53349206349206,"Down",11311287,-7464132,-2174661,-3373518,-1915953,3847155,3460516,-27441814,6987000,-20454814,-20454814,-20454814,-20454814,268706.999999999,268706.999999999,4321486,4321486,3468293,776672,8058486,118817133,378972624,-260155491,119019676,127078162,2494583,670175,2494583,12116639,6634007,5482632,47116639,49611222,3315187,-8268763,82420516,77466940,77466940,127078162,-596719.999999993,2260649,321679,-1514227,471381.000000001,-128083,-7997829,-225887,-1750000,-24242,-180704.010901406,-2000129,-9526577,-9526577,-9526577,6107804,3.5e+07,-2521506,0.34012,-1.80835,-0.26405,-0.16096,0.12327,3.23039,0.64042,0.27542,-1.23814,-1.23814,0.68468,4.68913,-0.15263,0.01367,-0.16237,-0.02024,-0.01104,5.68638,9.02779
"39","2020_Q3",2.0303125,"Down",10576531,-6687681,-2223028,-2955701,-1508952,3888850,3529115,2146114,-254000,1892114,1892114,1892114,1892114,498777,498777,3913347,3913347,8220197,601412,12632321,85979877,347579406,-261599529,86131629,98763950,2056639,810095,2056639,6266956,1312007,4954949,38266956,40323595,3545892,-7552883,62447346,58440355,58440355,98763950,-17965980,4068570,18647345,887026,5636961,3364377,980107,-1094012,-1675000,16607,-7634.99999999977,-2752405,3864663,3864663,3864663,7957420,3.2e+07,12462823,0.36769,0.1789,0.03238,0.01916,6.58672,6.14222,0.69,0.324,0.11414,0.11414,0.63805,3.5255,0.75184,0.066,0.03088,0.12887,0.5782,3.95872,8.1004
"40","2020_Q4",1.73046875,"Down",2705383,-5655555,-1908790,-2464568,-1282197,-2950172,-3117676,-4433155,877940,-3555215,-3555215,-3555215,-3555215,10690395,10690395,2943220,2943220,4156315,351088,17789930,80871948,344462749,-263590801,82231905,100021835,2295000,997637,4454050,7447866,1329007,5693154,34447866,38901916,11026915,-6151096,56244100,61119919,61119919,100021835,-3555214.99999999,2464568,-74690,4882735,3717398,25038.0000000009,-24962,-166132,-2e+06,0,0,-2166132,1526304,1526304,1526304,-485604,28750000,3544229,-1.09048,-1.31413,-0.05817,-0.03554,-0.996910000000002,3.9941,0.63649,0.28744,-0.21563,-0.21563,0.16408,3.707,0.21496,0.01008,-0.03482,0.03642,-0.0467299999999999,-37.18998,-6.12154
"41","2021_Q1",2.92983606557377,"Up",375182,-5395769,-1718422,-2519996,-1157351,-5020587,-5393497,-2512182,678060,-1834122,-1834122,-1834122,-1834122,10690395,10690395,2943220,2943220,4156315,351088,17789930,80871948,344462749,-263590801,82231905,100021835,2295000,997637,4454050,7447866,1329007,5693154,34447866,38901916,11026915,-6151096,56244100,61119919,61119919,100021835,-1834122,2519996,2573884,-1979203,1280555,564400,580166,-166133,-1250000,8220726,0,6804593,8665314,8665314,8665314,-2500591,28750000,-4593454,-13.38174,-4.88862,-0.03001,-0.01834,2.50444,3.9941,0.63649,0.28744,-0.09936,-0.09936,0.02033,3.31111,-0.24885,0.009,-0.01714,-0.0472,-0.09058,-7.22213,-3.59711
"42","2021_Q2",2.91793650793651,"Down",16602247,-5614275,-2095557,-1583760,-1934958,10987972,10811253,7444249,-762000,6682249,6682249,6682249,6682249,1270482,1270482,4712793,4712793,3201119,752248,9184394,85440276,351303412,-265863136,86682926,95867320,2054573,672507,5184775,7083929,1041007,5417743,30583929,35768704,11531017,-5835125,54402724,60098616,60098616,95867320,6682249,1583760,75445.0000000009,296535.999999999,8637990,4393815,-7250012,-332210,2500000,-32507,-5056.61370565101,-2267139,-879161,-879161,-879161,12571732,23500000,18024083,0.661840000000003,0.402489999999999,0.11119,0.0697,2.69731,1.77142,0.59517,0.24513,0.29557,0.29557,0.73434,2.65825,0.79723,0.01469,0.07735,0.19876,0.04972,1.76821,2.02308
"43","2021_Q3",2.834375,"Down",-4373635,-4969007,-1695016,-2454706,-819285,-9342642,-9735686,-8826692,1048000,-7778692,-7778692,-7778692,-7778692,-1939.47483693808,-1939.47483693808,5098931.74579333,5098931.74579333,2582814.85925691,625523.759101096,7679807.1302133,91858193.1153265,354689364.305204,-262831171.189878,92899506.480984,100579313.611197,2130553.6963508,919912.141337119,6350906.9496355,6862375.48662266,567126.220898116,5327458.7920607,28179160.8131859,34530067.7628214,17655070.5515854,-5708962.97268902,54103138.2694796,66049245.8483759,66049245.8483759,100579313.611197,-7778692,2454706,2567593,-1204490,-3960883,-4797913,-1088590,-122726,-7750000,32507,-9834.57978858433,-3491279,-8540752,-8540752,-8540752,-6887936,0,-13938339,2.13613,1.77854,0.0847261770354409,0.0528296271395732,1.79186,0.93328229733779,0.527497550473689,0.208793363657147,-0.34406,-0.34406,-0.19345,2.79985669116984,-0.61651,0.00543,0.059694470419978,0.195816550561352,-0.01578,-10.647123491279,-24.9610582190815
"44","2021_Q4",2.7353125,"Down",5671489,-6074658,-2275104,-2137707,-1661847,-403169,-623608,-2172594,816000,-1356594,-1356594,-1356594,-1356594,2908500,2908500,5114387,5114387,2860356,480600,10883243,97744090,356763016,-259018926,98931366,109814609,2497740,1173258,9383041,6936117,212007,5369936,26836117,36219158,26347508,-5785433,53033376,73595451,73595451,109814609,-1356594,2137707,4967379,-185265.999999999,5563226,240709.999999999,-11162051,-302756,-3600000,11086117,-2741,7236843,1638018,1638018,1638018,1734538,19900000,973982,-0.0710900000000003,-0.2392,-0.01843,-0.01235,-0.71796,1.15988,0.49214,0.18121,-0.0600000000000001,-0.0600000000000001,0.25086,3.25523,0.04308,0.01339,-0.01049,0.00969999999999999,-0.22317,9.79598,-42.14486
"45","2022_Q1",2.4791935483871,"Down",4071567,-5465018,-2142205,-1569631,-1753182,-1393451,-1598376,-3313251,-450949,-3764200,-3764200,-3764200,-3764200,2438511,2438511,6428982,6428982,3356024,942082,12223517,102807311,360450972,-257643661,104787497,117011014,2916104,772717,15136379,7434047,343906,5393662,24934047,40070426,33759601,-5785433,48966420,76940588,76940588,117011014,-3764200,1569631,8663738,-12767415,-6298246,418816,-868266,-302756,-2400000,599279,0,6696523,-469989,-469989,-469989,176180,17500000,-11721470,-0.34224,-0.92451,-0.04892,-0.03217,3.11393,0.80756,0.5208,0.14956,-0.1665,-0.1665,0.18009,3.40319,-0.51846,0.01339,-0.03398,-0.11506,-0.08043,85.48921,-10.80877
"46","2022_Q2",3.43370967741935,"Up",18270158,-6573444,-3137401,-1802114,-1633929,11696714,11059016,4327133,-981000,3346133,3346133,3346133,3346133,1502116.39034362,1502116.39034362,8084535.28977978,8084535.28977978,3107570.14312992,1345704.74310982,12694221.8232533,108716929.047139,350481575.910349,-241764646.86321,110990373.416901,123684595.240154,2995096.63823881,408590.82468866,19063248.1547917,7321480.28859647,512788.447857821,5125272.32800783,25172033.2339595,44235281.3887511,38319618.5550433,-5731536.35131471,46861231.6476748,79449313.8514033,79449313.8514033,123684595.240154,3346133,1802114,3320008,1673559,10141814,1050626,-12633388,-726462,5e+06,-52460,-52460,1210417,-1281157,-1281157,-1281157,13498828,0,17204013,0.64021,0.18315,-0.0415769448986528,-0.0275923061755389,5.14146,0.535197070624231,0.559236135544992,0.142662046923503,0.148,0.148,0.80811,3.49846376660256,0.76096,0.03213,-0.030513939300648,-0.141974638637245,0.2171,110.081887614029,15.7519370039895
"47","2022_Q3",3.1725,"Down",294456,-5533058,-1702420,-1902762,-1927876,-5238602,-5007835,-870339,186000,-684339,-684339,-684339,-684339,1703675,1703675,9451366,9451366,1188312,1188312,12343353,116897051,313857954,-196960903,117998284,130341637,2362984,602415,17291335,5709179,370906,4306634,29709179,47000514,38171205,-5608607,50778525,83341123,83341123,130341637,-684339,1902762,7569574,-2995491,5792506,5550998,-1683262,-123227,1500000,52460,52460,-3562923,546321,546321,546321,-3335840,2.4e+07,-966333,-17.79078,-2.32408,-0.00821000000000001,-0.00525,1.41207,0.71385,0.56395,0.18413,-0.03027,-0.03027,0.01302,3.68629,-0.04274,0.00545,-0.00496,-0.00854999999999995,-0.18007,-6.68387,-4.25616
