"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",176.339047619048,"Down",643642000,-445164000,198478000,-81398000,-81398000,-81398000,117080000,-32529000,-32529000,-33141000,612000,84551000,84551000,-28183000,56368000,56368000,56368000,56368000,61360000,61360000,154475000,154475000,37093000,339658000,21317000,318341000,592586000,139677000,375763000,-236086000,83972000,16058000,3230000,64684000,223649000,816235000,222592000,109756000,92406000,32313000,143625000,143625000,398530000,3128048000,55001000,55001000,3183049000,3581579000,2309000,437000,-2766231000,-1422000,-2765344000,-2765344000,816235000,56368000,10281000,40403000,115329000,-13662000,-197000,-13859000,985328000,-1022350000,-54073000,47397000,47397000,313000,47710000,127361000,3160361000,0.30837,0.1819,0.08758,-0.02038,0.06906,1.48693,-1.29517,3.87188,1.2266,1.18227,14.00602,-60.17549,6,0.12526,24.33242,26.46909
"32","2018_Q1",207.738032786885,"Up",891509000,-610657000,280852000,-105601000,-105601000,-105601000,175251000,-38695000,-38695000,-39158000,463000,136556000,136556000,-43229000,93327000,93327000,93327000,93327000,35768000,35768000,173677000,173677000,39961000,330374000,18389000,311985000,579780000,169586000,406865000,-237279000,79268000,15423000,2750000,61095000,256973000,836753000,224984000,106894000,118090000,32324000,140977000,140977000,398285000,3121490000,52362000,52362000,3173852000,3572137000,6083000,429000,-2739437000,-2030000,-2735384000,-2735384000,836753000,93327000,14315000,-308999.999999985,113162000,-44310000,-858000.000000001,-45168000,-6078000.00000012,-91200000,-97278000,-29284000,-29284000,-283000,-29567000,189566000,3153814000,0.31503,0.19658,0.10468,-0.03412,0.11153,1.45569,-1.3059,3.76911,2.03085,1.95745,19.39975,-59.52354,8,0.19823,16.44834,17.79189
"33","2018_Q2",242.40296875,"Up",785371000,-485506000,299865000,-166389000,-166389000,-84178000,133476000,-29806000,-29806000,-30286000,480000,103670000,103670000,-14843000,88827000,88827000,88827000,88827000,44609000,44609000,174416000,174416000,41229000,276169000,18718000,257451000,536423000,169525000,412774000,-243249000,92352000,15423000,4069000,72860000,261877000,798300000,225128000,88979000,112143000,32342000,127296000,127296000,384766000,3117193000,67205000,67205000,3184398000,3569164000,563000,426000,-2768591000,-2836000,-2770864000,-2770864000,798300000,88827000,11069000,-15701000,83676000,-13647000,3508000,-10139000,-6659000,-101163000,-107822000,-34285000,-34285000,48000,-34237000,144545000,3149535000,0.38181,0.16995,0.1131,-0.03206,0.11127,1.39415,-1.28811,3.9453,2.07433,2.00162,18.34031,-64.70638,6,0.19922,21.48069,23.26205
"34","2018_Q3",271.470476190476,"Up",779396000,-485816000,293580000,-167435000,-167435000,-86506000,126145000,-34948000,-34948000,-36127000,1179000,91197000,91197000,-13789000,77408000,77408000,77408000,77408000,157788000,157788000,182816000,182816000,40161000,302149000,33361000,268788000,682914000,177191000,425553000,-248362000,94460000,15351000,3158000,75951000,271651000,954565000,203161000,79417000,100185000,35598000,138656000,138656000,377415000,3436966000,69389000,69389000,3506355000,3883770000,1155000,418000,-2926921000,-3439000,-2929205000,-2929205000,954565000,77408000,12241000,-30756000,71036000,-23320000,-10325000,-33645000,328414000,-242442000,77765000,115156000,115156000,-180000,114976000,138386000,3472564000,0.37668,0.16185,0.09932,-0.02643,0.08109,1.80945,-1.32588,3.63785,1.84112,1.77602,18.53761,-69.66993,6,0.12633,23.95312,26.27751
"35","2018_Q4",252.925396825397,"Down",785965000,-490686000,295279000,-162847000,-162847000,-80369000,132432000,-33184000,-33184000,-33976000,792000,99248000,99248000,-15153000,84095000,84095000,84095000,84095000,84600000,84600000,170244000,170244000,41420000,309385000,22382000,287003000,605649000,206999000,454164000,-247165000,99466000,14919000,2914000,81633000,306465000,912114000,206503000,87509000,95729000,35847000,134081000,134081000,376431000,3437632000,71809000,71809000,3509441000,3885872000,2330000,416000,-2972565000,-3523000,-2973758000,-2973758000,912114000,84095000,12460000,17302000,107807000,-19894000,-1685000,-21579000,-9704000,-132305000,-142009000,-55781000,-55781000,-103000,-55884000,144892000,3473479000,0.37569,0.1685,0.107,-0.02828,0.0922,1.60892,-1.30672,3.80816,2.00915,1.94075,18.77783,-71.04732,9,0.14714,23.389,25.58958
"36","2019_Q1",250.300819672131,"Down",1082135000,-668180000,413955000,-234319000,-234319000,-121411000,179636000,-45073000,-45073000,-45956000,883000,134563000,134563000,-22921000,111642000,111642000,111642000,111642000,25438000,25438000,190091000,190091000,45975000,305447000,25710000,279737000,566951000,234939000,487121000,-252182000,96777000,14919000,5526000,76332000,340434000,907385000,214490000,92546000,121944000,35893000,129360000,129360000,379743000,3495691000,71872000,71872000,3567563000,3947306000,979000,410000,-3036471000,-4429000,-3039921000,-3039921000,907385000,111642000,17895000,31484000,131652000,-54660000,31766000,-22894000,53861000,-197636000,-150737000,-41979000,-41979000,-303000,-42282000,197531000,3531584000,0.38254,0.166,0.10317,-0.03673,0.12304,1.49299,-1.29849,3.89205,2.66729,2.57648,25.85375,-72.62805,8,0.19811,17.74985,19.51806
"37","2019_Q2",263.948571428571,"Up",835963000,-513674000,322289000,-178785000,-178785000,-89664000,143504000,-34361000,-34361000,-35054000,693000,109143000,109143000,-16493000,92650000,92650000,92650000,92650000,83114000,83114000,194064000,194064000,45668000,267697000,19544000,248153000,590543000,227867000,488119000,-260252000,329865000,14919000,4054000,310892000,557732000,1148275000,229277000,84888000,117233000,35909000,146827000,146827000,412013000,3447819000,263608000,263608000,3711427000,4123440000,5875000,411000,-2976848000,-4192000,-2975165000,-2975165000,1148275000,92650000,13790000,730000,96998000,-12222000,262000,-11960000,-46898000,-8234000,-55132000,29906000,29906000,124000,30030000,157294000,3483728000,0.38553,0.17166,0.11083,-0.03114,0.08069,1.43331,-1.38595,3.03388,2.26719,2.19537,20.45643,-72.80378,7,0.11999,21.61948,23.697
"38","2019_Q3",239.59078125,"Down",811647000,-494976000,316671000,-177748000,-177748000,-89248000,138923000,-32944000,-32944000,-33866000,922000,105979000,105979000,-13620000,92359000,92359000,92359000,92359000,108259000,108259000,182904000,182904000,44281000,308003000,37578000,270425000,643447000,214135000,463319000,-249184000,319585000,13542000,3245000,302798000,533720000,1177167000,211337000,82456000,101526000,35919000,165650000,165650000,412906000,3414988000,253559000,253559000,3668547000,4081453000,11200000,412000,-2911278000,-4208000,-2904286000,-2904286000,1177167000,92359000,14060000,-13447000,104555000,-5325000,14758000,9433000,-29265000,-29899000,-59164000,54824000,54824000,-13000,54811000,152983000,3450907000,0.39016,0.17116,0.11379,-0.0318,0.07846,1.55834,-1.40532,2.93154,2.25138,2.18669,19.78504,-70.79607,6,0.11542,21.8498,24.06116
"39","2019_Q4",267.30140625,"Up",820812000,-504561000,316251000,-173222000,-173222000,-83728000,143029000,-32784000,-32784000,-33752000,968000,110245000,110245000,-23872000,86373000,86373000,86373000,86373000,66706000,66706000,185403000,185403000,51010000,302220000,15438000,286782000,605339000,216210000,470879000,-254669000,338723000,13542000,3888000,321293000,554933000,1160272000,225825000,95657000,103162000,35935000,159485000,159485000,421245000,3407101000,267575000,267575000,3674676000,4095921000,484000,409000,-2932195000,-3938000,-2935649000,-2935649000,1160272000,86373000,13132000,31360000,123043000,-15391000,14781000,-610000,-11395000,-120614000,-132009000,-9576000,-9576000,28000,-9548000,156161000,3443036000,0.38529,0.17425,0.10523,-0.02942,0.07444,1.43702,-1.39524,2.96744,2.11873,2.06027,20.13454,-72.01155,6,0.11145,21.62083,23.60591
"40","2020_Q1",299.862741935484,"Up",1150352000,-703064000,447288000,-243337000,147462000,-119653000,203951000,-46681000,-46681000,-48146000,1465000,157270000,157270000,-27943000,129327000,129327000,129327000,129327000,190615000,190615000,210260000,210260000,52955000,333787000,19129000,314658000,787617000,242881000,495329000,-252448000,339612000,15093000,10073000,314446000,594475000,1382092000,251463000,111101000,140362000,43394000,158974000,158974000,453831000,4071055000,272965000,272965000,4344020000,4797851000,632000.000000002,389000,-3412649000,-3742000,-3415759000,-3415759000,1382092000,129327000,18948000,-19444000,172354000,-40369000,15652000,-24717000,670473000,-632911000,23513000,171150000,171150000,61999.9999999999,171212000,222899000,4114449000,0.38883,0.17729,0.11242,-0.03786,0.09357,1.73549,-1.40462,2.97697,3.17239,3.08487,28.21817,-83.78866,7,0.1331,17.60364,19.2391
"41","2020_Q2",358.977142857143,"Up",873102000,-532945000,340157000,-184323000,-184323000,-88489000,155834000,-38538000,-38538000,-39470000,932000,117296000,117296000,4306000,121602000,121602000,121602000,121602000,200801000,200801000,219199000,219199000,49010000,325364000,26025000,299339000,794374000,240717000,499848000,-259131000,354785000,15061000,9042000,330682000,595502000,1389876000,241580000,94502000,116093000,43390000,167199000,167199000,452169000,4061198000,268699000,268699000,4329897000,4782066000,12864000,390000,-3398986000,-6068000,-3392190000,-3392190000,1389876000,121602000,14032000,-21647000,95358000,-17467000,-426000,-17893000,-10849000,-69565000,-82058000,-4593000,-4593000,-961000,-5554000,169866000,4104588000,0.3896,0.17848,0.13928,-0.03585,0.08749,1.75681,-1.40973,2.9532,3.14494,3.06817,22.58066,-87.73074,7,0.12394,22.98157,25.05093
"42","2020_Q3",388.746875,"Up",920023000,-562932000,357091000,-193508000,-193508000,-88068000,163583000,-39087000,-39087000,-39727000,640000,124496000,124496000,-5828000,118668000,118668000,118668000,118668000,247952000,247952000,232114000,232114000,66850000,380193000,28873000,351320000,927109000,257384000,524874000,-267490000,397195000,15061000,8214000,373920000,654579000,1581688000,247632000,102896000,113392000,42999000,169237000,169237000,459868000,4128576000,276150000,276150000,4404726000,4864594000,32644000,393000,-3311015000,-4535000,-3282906000,-3282906000,1581688000,118668000,14757000,-15543000,116470000,-16265000,-53000,-56318000,46808999.9999999,-15490000,31136000,91288000,91288000,708000,91996000,178340000,4171575000,0.38813,0.1778,0.12898,-0.03615,0.07503,2.01603,-1.4818,2.63742,3.06906,2.99414,23.79416,-84.90437,5,0.10188,22.0008,23.98552
"43","2020_Q4",384.4975,"Down",967719000,-605738000,361981000,-199800000,-199800000,-91652000,162181000,-38408000,-38408000,-38605000,197000,123773000,123773000,-24644000,99129000,99129000,99129000,99129000,330719000,330719000,229403000,229403000,65499000,330900000,26288000,304612000,956521000,262264000,536258000,-273994000,402163000,15061000,6030000,381072000,664427000,1620948000,246191000,88188000,126745000,43662000,198672000,198672000,488525000,4062175000,281779000,281779000,4343954000,4832479000,34518000,394000,-3242627000,-3422000,-3211531000,-3211531000,1620948000,99129000,15327000,5862000,158571000,-17431000,573000,-16858000,-68803000,-29102000,-102662000,39051000,39051000,496000,39547000,177508000,4105837000,0.37406,0.16759,0.10244,-0.03087,0.06115,1.95798,-1.50473,2.53299,2.54346,2.50068,24.82984,-82.40181,6,0.08429,21.26731,23.27719
"44","2021_Q1",361.820327868852,"Down",1356567000,-821303000,535264000,-291220000,171018000,-138404000,244044000,-54479000,-54479000,-54364000,-115000,189565000,189565000,-37668000,151897000,151897000,151897000,151897000,168821000,168821000,244560000,244560000,66683000,389320000,24169000,365151000,869384000,297364000,579989000,-282625000,347169000,15061000,1904000,330204000,697784000,1567168000,264551000,94499000,170052000,2854999.99999999,203413000,203413000,470819000,4116018000,280736000,274637000,4396754000,4867573000,5511000,389000,-3303492000,-2424000,-3300405000,-3300405000,1567168000,151897000,20922000,20214000,222395000,-37431000,-427000,-37858000,-11215000,-281388000,-292822000,-108285000,-108285000,518000,-107767000,264966000,4118873000,0.39457,0.1799,0.11197,-0.04602,0.09692,1.84654,-1.47484,2.62823,3.89739,3.83184,34.80694,-84.68214,8,0.13819,14.90777,16.18582
"45","2021_Q2",416.751428571429,"Up",983698000,-594547000,389151000,-202613000,-91253000,-91253000,186538000,-36900000,-39400000,-39422000,22000,149638000,149638000,-31877000,117761000,117761000,117761000,117761000,267719000,267719000,235789000,235789000,63775000,358519000,20372000,338147000,925802000,293369000,585443000,-292074000,361161000,15034000,1698000,344429000,737030000,1662832000,280912000,95042000,148730000,2931000,217992000,217992000,501835000,4116858000,280219000,272744000,4397077000,4898912000,7e+06,388000,-3240842000,-2238000,-3236080000,-3236080000,1662832000,117761000,16465000,4912000,152851000,-16561000,121000,-56440000,-704000,-21371000,-23119000,73292000,73292000,161000,73453000,203003000,4119789000,0.3956,0.18963,0.11971,-0.03639,0.07082,1.84483,-1.51384,2.47757,3.0429,3.00346,25.41841,-83.61915,7,0.10118,18.97543,20.65032
"46","2021_Q3",498.64234375,"Up",1032472000,-624782000,407690000,-216788000,-100448000,-100448000,190902000,-45809000,-45809000,-45877000,68000,145093000,145093000,-28474000,116619000,116619000,116619000,116619000,292095000,292095000,235954000,235954000,59182000,393619000,43785000,349834000,980850000,295532000,598036000,-302504000,362911000,15034000,1663000,346214000,740943000,1721793000,278067000,104515000,138100000,54769000,221518000,221518000,554354000,5026765000,281244000,272817000,5308009000,5862363000,8140000,369000,-4146702000,-2008000,-4140570000,-4140570000,1721793000,116619000,17176000,9575000,142564000,-16602000,172000,-16430000,968157000,-1031036000,-78104000,48030000,48030000,141000,48171000,208078000,5081534000,0.39487,0.1849,0.11295,-0.02816,0.06773,1.76936,-1.41583,2.9513,3.01339,2.97434,26.67871,-106.99085,5,0.09542,23.01752,25.08847
"47","2021_Q4",501.63765625,"Up",997990000,-612790000,385200000,-204920000,-96342000,-111405796.324827,180280000,-45475000,-45475000,-51888258.7839039,32685.980081009,134805000,134805000,-14403000,120402000,120402000,120402000,120402000,295352000,295352000,238906000,238906000,64563000,427175000,34094000,393081000,1025996000,293375000,604710000,-311335000,362485000,15034000,1584000,345867000,738360000,1764356000,297976000,111780000,151130000,54846000,243532000,243532000,596354000,5014705000,280810000,270200000,5295515000,5891869000,481000,366000,-4125582000,-2412000,-4127513000,-4127513000,1764356000,120402000,16578000,-4166000,189186000,-17489000,13000,-17476000,-13646000,-107550000,-126926000,44784000,44784000,-244000,44540000,196858000,5069551000,0.38598,0.18064,0.12064,-0.02917,0.06824,1.72045,-1.42746,2.87332,3.28719,3.2427,27.24689,-112.68842,6,0.09846,24.25199,26.48213
"48","2022_Q1",431.100161290323,"Down",1343213000,-837012000,506201000,-283513000,-140290000,-106074115.843071,222688000,-26519000,-60777000,-50616655.589757,6909.26005155117,196169000,196169000,-40484000,155685000,155685000,155685000,155685000,148160000,148160000,255327000,255327000,68328000,388725000,27242000,361483000,860540000,324065000,642531000,-318466000,361371000,15034000,2109000,344228000,811276000,1671816000,291673000,91547000,199208000,55588000,243480000,243480000,590741000,5014638000,275973000,272051000,5290611000,5881352000,1201000,363896.486163064,-4207917000,-2820000,-4209536000,-4209536000,1671816000,155685000,22704000,-25975000,169605000,-43504000,209000,-52377000,-14019000,-280662000,-294684000,-177456000,-177456000,-374000,-177830000,245392000,5070226000,0.37686,0.16579,0.1159,-0.03698,0.09312,1.45671,-1.39715,3.03277,4.25048,4.19295,36.67209,-114.92779,4,0.13697,20.05797,22.10297
"49","2022_Q2",366.762096774194,"Down",1011149000,-642525000,368624000,-204083000,-97494000,-97494000,164541000,-46823000,-46823000,-46872000,49000,117718000,117718000,-26754000,90964000,90964000,90964000,90964000,164962000,164962000,246978000,246978000,77711000,371586000,27857000,343729000,861237000,319647000,648937000,-329290000,367298000,16153000,2247000,348898000,812785000,1674022000,301989000,92353000,169004000,55632000,237203000,237203000,594824000,5002092000,275748000,270883000,5277840000,5872664000,3905000,360000,-4200341000,-2206000,-4198642000,-4198642000,1674022000,90964000,18976000,11474000,78789000,-12454000,-8182000,-20636000,-13861000,-47446000,-62096000,-3943000,-3943000,374000,-3569000,183517000,5057724000,0.36456,0.16273,0.08996,-0.02167,0.05434,1.44789,-1.39871,3.0213,2.51711,2.48073,27.98,-116.1827,3,0.08016,26.66108,29.73582
"50","2022_Q3",377.445,"Up",1065182000,-678917000,386265000,-208151000,-97070000,-97070000,178114000,-44632000,-44632000,-44851000,219000,133482000,133482000,-30989000,102493000,102493000,102493000,102493000,114353000,114353000,274957000,274957000,70201000,386359000,45645000,340714000,845870000,313812000,653319000,-339507000,385108000,16153000,2386000,366569000,824760000,1670630000,270887000,99465000,130798000,55654000,248908000,248908000,575449000,4989578000,285912000,279611000,5275490000,5850939000,3948000,359000,-4180367000,-3890000,-4180309000,-4180309000,1670630000,102493000,18117000,11985000,74626000,-20210000,933000,-19277000,-13667000,-89351000,-104624000,-49275000,-49275000,-1009000,-50284000,196231000,5045232000,0.36263,0.16721,0.09622,-0.02452,0.06135,1.46993,-1.39964,3.01996,2.83613,2.79514,29.47518,-115.67539,4,0.08906,25.12793,27.68384
