"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2020_Q2",1.43412698412698,"Down",3282525,-2585511,697014,-793362,-793362,-96348,-57246,-57898,652,-153594,-153594,37360,-116234,-116234,-116234,-116234,1802039,1802039,916529,916529,1297447,5616353,5616353,9632368,4055392,6229601,15861969,2084510,555979,1528531,621251,516337,3222098,3231247,3231247,6453345,8851497,535536,9408624,9408624,15861969,-116234,169237,-31418,-390828,-369243,-41768,-41768,-26618,1282200,871189,871189,871183,72889,3852498,-397067,0.21234,-0.02935,-0.03541,-0.01235,-0.00732999999999999,3.4161,2.98947,0.6859,0.24288,-0.00396,-0.00396,0.1118,0.32046,-0.01352,-0.00877000000000001,28.13125,-21.2818
"38","2020_Q3",1.2278125,"Down",4713933,-3585073,1128860,-696016,-696016,432844,-50778,-51582,804,382066,382066,-111302,270764,270764,270764,270764,1091613,1091613,1378617,1378617,1091156,6265837,6265837,9827223,4198417,6250011,16077234,1875105,210373,1664732,258780,636195,2770080,3571354,3571354,6341434,8908914,806300,9735800,9735800,16077234,270764,169995,199810,-1010852,-370283,-313020,-313020,-26996,-26996,-710299,-710299,-710426,602839,3830134,-609731,0.23947,0.09182,0.05744,0.02781,0.01684,-2.25189,3.54763,0.65135,0.23823,0.0092,0.00829,0.16017,0.33079,-0.02072,0.01996,4.54271,6.32681
"39","2020_Q4",1.27484375,"Up",3569718,-2864274,705444,-716361,-716361,-10917,-50624,-50405,-219,-61541,-61541,13369,-48172,-48172,-48172,-48172,1255320,1255320,1173376,1173376,1198484,5756677,5756677,9383857,4208329,6241231,15625088,1816543,510434,1306109,3088553,308358,5213454,717559,717559,5931013,8914109,758128,9694075,9694075,15625088,-48172,182190,-91668,357570,399920,-192102,-192102,-27738,-44066,163752,163752,163707,171273,3806112,323372,0.19762,-0.00306,-0.01349,-0.00497000000000001,-0.00308,-6.71286,1.79993,0.61182,0.24359,-0.00163,-0.00155,0.12101,0.32862,0.01096,-0.00357,14.89314,-233.6532
"40","2021_Q1",1.33770491803279,"Up",4029382,-3096416,932966,-635297,-635297,297669,-39089,-42452,3363,258580,258580,-44307,214273,214273,214273,214273,2130711,2130711,608059,608059,1271156,5911845,5911845,9921771,4063209,6082248,16004019,2027118,500848,1526270,2474963,218152,4720233,1341938,1341938,6062171,8947609,972401,9941848,9941848,16004019,214273,182627,212916,365640,975456,9582,-61041.0000000001,-39089,-39089,875326,875326,875391,480296,3816901,899825,0.23154,0.07387,0.05318,0.02155,0.01339,4.19943,2.10197,0.60976,0.2385,0.00728,0.00691,0.13691,0.33781,0.03057,0.01557,3.51073,5.66465
"41","2021_Q2",1.26206349206349,"Down",3412229,-2579561,832668,-732608,-732608,100060,-19488,-29878,10390,80572,1397672,-26580,1371092,1371092,1371092,1371092,2236375,2236375,1155403,1155403,1032144,5191638,5191638,9615560,3884729,5875160,15490720,1236440,169769,1066671,2449979,428367,4114786,29451.9999999998,29452,4144238,8981109,2343493,11346482,11346482,15490720,1371092,182678,-1318147,-98575,137048,-4198,-4198,-27166,-27166,105684,105684,105664,282738,2479431,206545,0.24402,0.02932,0.40182,0.12084,0.08851,0.15064,2.33683,0.36524,0.16006,0.04648,0.04415,0.11567,0.38464,0.007,0.09917,0.85965,2.42910000000001
"42","2021_Q3",1.4753125,"Up",4797410,-3866703,930707,-1173689,-1173689,-242982,-55893,-56894,1001,-298875,-298875,78462,-220413,-220413,-220413,-220413,281315,281315,2649309,2649309,1692531,9918510,9918510,14541665,12306401,22148287,36689952,5098913,2778020,2320893,3790525,1644097,10533535,3331444,9500086,20033621,14512512,2123080,16656331,16656331,36689952,-220413,333126,-71170.0000000002,-1245035,-1203492,-358788,-8154598,4800434,7403043,-1955047,-1955047,-1955060,90144,7121969,-1592141,0.194,-0.05065,-0.04594,-0.01323,-0.00601,7.22344,1.38051,1.20276,0.19411,-0.00747,-0.00710000000000001,0.16263,0.56465,-0.05397,-0.00736,75.88585,-28.15292
"43","2021_Q4",1.99546875,"Up",6511325,-6033267,478058,-1623883,-1623883,-1145825,-92722,-94721,1999,-1238547,-1238547,333867,-904680,-904680,-904680,-904680,562459,562459,2430255,2430255,1720408,10701811,10701811,15414933,12071530,21971234,37386167,5103888,2570133,2533755,4882456,2332557,12318901,3210468,9237316,21556217,14591621,1218400,15829950,15829950,37386167,-904680,462713,-204664,64423,-582208,-73545,-73545,961443,936889,281136,281136,281144,-683112,8092924,-1026101,0.07342,-0.17597,-0.13894,-0.05715,-0.0242,1.13421,1.25132,1.36174,0.21647,-0.02885,-0.02885,0.20763,0.50478,-0.03272,-0.03021,-11.02376,-6.57209
"44","2022_Q1",1.73516129032258,"Down",7561531,-6426407,1135124,-1407906,-1407906,-272782,-129657,-87882,-41775,-402439,-402439,-193394,-595833,-595833,-595833,-595833,1052139,1052139,3009249,3009249,2234675,9771690,9771690,16067753,13153165,21784806,37852559,6862787,3426921,3435866,4686887,1765319,13314993,3114936,9273798,22588791,14641201,622567,15263768,15263768,37852559,-595833,481922,150874,1869528,1906491,-502473,-502473.000000001,-1354005,-914362.000000001,489656,489656,489681,209140,7801823,1769589,0.15012,-0.03607,-0.0788,-0.03904,-0.01574,-2.96994,1.20674,1.4799,0.20611,-0.0184,-0.0184,0.23352,0.47139,0.05465,-0.02039,32.27352,-24.74388
"45","2022_Q2",1.57596774193548,"Down",7076357,-6259139,817218,-1375227,-1375227,-558009,-116870,-83645,-33225,-674879,-674879,173714,-501165,-501165,-501165,-501165,573638,573638,2507367,2507367,2899867,9530707,9530707,15511579,12936156,22136141,37647720,7366414,3908129,3458285,3713069,1786402,12865885,2990063,9967125,22833010,14693308,121402,14814710,14814710,37647720,-501165,585361,-123280,1487819,1448735,-203981,-762981,-1157987,-1164255,-478501,-478501,-478501,27352,6703132,1137476,0.11549,-0.07886,-0.07082,-0.03383,-0.01331,-2.26966,1.20564,1.54124,0.17805,-0.01461,-0.01461,0.20626,0.43182,0.03316,-0.01759,224.09674,-10.98458
"46","2022_Q3",1.50015625,"Down",8522647,-6782975,1739672,-1827095,-1827095,-87423,613876,-83730,697606,526453,526453,-135509,390944,390944,390944,390944,235384,235384,2040420,2040420,2516604,10229773,10229773,15022181,12864843,21779893,36802074,6176130,3699475,2476655,3703138,1806405,11685673,2863808,9663898,21349571,14940157,512346,15452503,15452503,36802074,390944,531241,447587,-1195241,174531,-295360,-310503,-163868,-202282,-338254,-338254,-338254,443818,6566946,-911274,0.20412,-0.01026,0.04587,0.0253,0.01062,-2.33096,1.28552,1.38163,0.17844,0.01139,0.01086,0.2482,0.45001,-0.02654,0.01357,14.26612,-72.42444
