"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",39.0547619047619,"Down",813538000,-720866000,92672000,-72694000,-65814000,19978000,-408000,260000,-668000,19570000,19570000,-7146000,12424000,12424000,12424000,12424000,62187000,62187000,565242000,565242000,514238000,59739000,59739000,1201406000,56409000,374001000,201066000,39823000,430410000,1631816000,442687000,437226000,5461000,585274000,113934000,123889000,121726000,237823000,823097000,55997000,830210000,-77488000,808719000,808719000,1631816000,12424000,12424000,6880000,5887000,23202000,48393000,-6767000,-6767000,-27794000,2297000,2297000,-8000,-25505000,16121000,16121000,995000,17116000,26858000,113934000,50439000,0.11391,0.02456,0.01527,0.01536,0.00761,4.0598,2.05272,1.01778,0.06982,0.49181,0.48913,32.20402,32.01326,1.99664,0.01187,0.0482,1.92669,2.5902
"32","2018_Q1",34.1691803278689,"Down",917291000,-816435000,100856000,-78745000,-72469000,22111000,1309000,1447000,-138000,23420000,23420000,-4450000,18970000,18970000,18970000,18970000,56094000,56094000,637293000,637293000,531314000,56322000,56322000,1281023000,56566000,380714000,200881000,48829000,437280000,1718303000,520885000,513155000,7730000,656275000,97300000,127583000,125575000,224883000,881158000,61169000,849180000,-73204000,837145000,837145000,1718303000,18970000,18970000,6276000,4049000,-18543000,10752000,-2404000,-2404000.00000001,-16696000,3455000,3455000,-892000.000000002,-14133000,-5785000,-5785000,-308000,-6093000,28387000,97300000,11890000,0.10995,0.0241,0.02068,0.02266,0.01104,0.62678,1.95196,1.05258,0.05663,0.74859,0.74064,36.1979,33.0352,0.4692,0.01786,0.0112,1.45158,1.8636
"33","2018_Q2",37.69609375,"Up",924559000,-818642000,105917000,-98319000,-90068000,7598000,-818000,-704000,-114000,6780000,6780000,-2633000,4147000,4147000,4147000,4147000,23616000,23616000,661393000,661393000,597344000,72153000,72153000,1354506000,79128000,516499000,302930000,45768000,595627000,1950133000,542502000,534919000,7583000,697965000,285737000,113455000,98930000,399192000,1097157000,62939000,853327000,-63290000,852976000,852976000,1950133000,4147000,4147000,8864000,22030000,-72427000,-37386000,-1310000,-144112000,188322000,231000,231000,-41192000,147361000,-34137000,-34137000,1659000,-32478000,16462000,285763000,-54642000,0.11456,0.00822,0.00449,0.00486,0.00213,-13.17627,1.94065,1.28627,0.14654,0.16305,0.16213,36.3513,33.53684,-2.14838,0.00331,-0.04364,15.92437,34.50211
"34","2018_Q3",40.9249206349206,"Up",1032212000,-919241000,112971000,-90630000,-81676000,22341000,-2031000,-1704000,-327000,20310000,20310000,-12341000,7969000,7969000,7969000,7969000,35435000,35435000,717336000,717336000,581802000,76667000,76667000,1411240000,76626000,517416000,302912000,54267000,594042000,2005282000,520388000,515302000,5086000,656718000,360828000,126949000,115839000,487777000,1144495000,64896000,861296000,-65405000,860787000,860787000,2005282000,7969000,7969000,9902000,5880000,-73614000,-49863000,-1986000,-2952000,74918000,1895000,1895000,-11679000,65134000,12319000,12319000,-5e+05,11819000,32243000,360932000,-31016000,0.10945,0.02164,0.00772,0.00926,0.00397,-3.89208,2.14893,1.32959,0.17999,0.31244,0.31071,40.46938,33.74841,-1.21603,0.00591,-0.023,10.09512,14.56949
"35","2018_Q4",37.6607936507937,"Down",895637000,-791749000,103888000,-85947000,-77493000,17941000,-2148000,-1898000,-250000,15793000,15793000,-5144000,10649000,10649000,10649000,10649000,35361000,35361000,664091000,664091000,569538000,71923000,71923000,1340913000,74582000,512480000,303458000,52501000,587062000,1927975000,504188000,496688000,7500000,641467000,281687000,127025000,116443000,408712000,1050179000,66501000,871945000,-60650000,877796000,877796000,1927975000,10649000,10649000,9438000,8660000,55338000,84085000,-2011000,-2011000,-79164000,0,-4.65661287307739e-10,-3072000,-82236000,-162000,-162000,88000,-74000,27379000,282158000,85850000,0.11599,0.02003,0.01189,0.01213,0.00552,8.06179,2.09039,1.19638,0.14635,0.41643,0.41588,35.02413,34.32645,3.35719,0.00827,0.06671,9.0141,13.75603
"36","2019_Q1",37.3765573770492,"Down",993852000,-880503000,113349000,-93590000,-85281000,19759000,-1717000,-1130000,-587000,18042000,18042000,-7654000,10388000,10388000,10388000,10388000,25530000,25530000,678940000,678940000,595948000,61744000,61744000,1362162000,73042000,510091000,298174000,52912000,583133000,1945295000,575912000,562564000,13348000,710311000,248878000,119730000,117961000,368608000,1078919000,68220000,882333000,-84177000,866376000,866376000,1945295000,10388000,10388000,9291000,-7953000,19309000,31035000,-2852000,-2852000,-32883000,147000,147000,-15000,-32751000,-4568000,-4568000,-5263000,-9831000,29050000,249429000,53161000,0.11405,0.01988,0.01045,0.01199,0.00534,5.11754,1.9177,1.24532,0.12822,0.40616,0.40479,38.85877,33.87457,2.07855,0.00841,0.04303,7.70737,11.33149
"37","2019_Q2",33.9855555555556,"Down",972900000,-860685000,112215000,-90783000,-82515000,21432000,-2208000,-2176000,-32000,19224000,19224000,-4902000,14322000,14322000,14322000,14322000,18858000,18858000,677499000,677499000,672696000,64643000,64643000,1433696000,71625000,516078000,311334000,52068000,587703000,2021399000,638256000,629242000,9014000,776159000,281524000,85819000,84169000,367343000,1143502000,70035000,896655000,-88793000,877897000,877897000,2021399000,14322000,14322000,9268000,4999000,-22875000,5714000,-990000,-14197000,32265000,440000,440000,-30173000,2532000,-5951000,-5951000,-721000,-6672000,30700000,281859000,11737000,0.11534,0.02203,0.01472,0.01631,0.00709,0.81951,1.84717,1.30255,0.13944,0.55947,0.55609,38.00539,34.29419,0.45849,0.0115,0.00942,8.56681,12.27142
"38","2019_Q3",31.12421875,"Down",1046021000,-925544000,120477000,-90772000,-82799000,29705000,-3056000,-2855000,-201000,26649000,26649000,-6668000,19981000,19981000,19981000,19981000,22749000,22749000,708531000,708531000,704444000,59785000,59785000,1495509000,73354000,526870000,326675000,50727000,600224000,2095733000,607051000,604630000,2421000,736559000,372075000,87596000,85638000,459671000,1196230000,70912000,916636000,-88045000,899503000,899503000,2095733000,19981000,19981000,8935000,1088000,-87488000,-57484000,-4790000,-23766000,90385000,761000,1069000,-6847000,84299000,3049000,3049000,842000,3891000,38640000,372410000,-46970000,0.11518,0.0284,0.0191,0.02221,0.00953,-2.35073,2.0304,1.32988,0.1777,0.77929,0.77596,40.79645,35.08202,-1.8319,0.0147,-0.03455,9.0492,11.77112
"39","2019_Q4",33.98296875,"Up",893357000,-783341000,110016000,-91211000,-82790000,18805000,-3008000,-2987000,-21000,15797000,15797000,-4081000,11716000,11716000,11716000,11716000,20400000,20400000,632539000,632539000,760711000,52544000,52544000,1466194000,71282000,524679000,319042000,51963000,595961000,2062155000,586785000,585121000,1664000,713475000,347337000,90280000,88673000,437617000,1151092000,72903000,928352000,-90192000,911063000,911063000,2062155000,11716000,11716000,9363000,4747000,1397000,27223000,-5197000,-5175000,-24561000,2.3283064365387e-10,2.3283064365387e-10,8000,-24553000,-2505000,-2505000,156000,-2349000,28168000,347672000,28449000,0.12315,0.02105,0.01311,0.01286,0.00568,2.42822,2.055,1.26346,0.1686,0.45584,0.45481,34.75827,35.44716,1.10688,0.00868,0.02109,11.61857,17.40346
"40","2020_Q1",29.1806451612903,"Down",337521000,-287426000,50095000,-1449000,3810000,48646000,-2825000,-3326000,501000,45821000,21967000,-3127000,18840000,11578000,11578000,11578000,23818000,23818000,654983000,654983000,697343000,101171000,101171000,1477315000,63363000,526583000,319538000,54382000,589946000,2067261000,562411000,558101000,4310000,700886000,351831000,100415000,99020000,452246000,1153132000,64287000,939930000,-90088000,914129000,914129000,2067261000,18840000,18840000,6086000,-474000,16127000,40579000,5180000,5180000,-20693000,-9175000,0,-1096000,-30964000,14795000,3137000,281000,3418000,54732000,360506000,79166000,0.14842,0.14413,0.0343,0.01267,0.0056,6.83762,2.10778,1.26145,0.17439,0.45179,0.45101,13.17052,35.67054,3.08916,0.00842,0.05757,6.15157,6.92119
"41","2020_Q2",23.6647619047619,"Down",842701000,-744176000,98525000,-79012000,-71004000,19513000,-2884000,-2510000,-374000,16629000,16629000,-4338000,12291000,11530000,11530000,11530000,25877000,25877000,706428000,706428000,715224000,101608000,101608000,1549137000,63309000,606079000,364867000,94962000,669388000,2218525000,662807000,656150000,6657000,805385000,365304000,142085000,140828000,507389000,1312774000,60089000,951460000,-105798000,905751000,905751000,2218525000,12291000,12291000,8518000,5120000,1701000,27630000,-939000,-50019000,-41264000,-6077000,602554.488586527,-12000,-47353000,-69742000,2488000,-429000,2059000,28031000,370330000,33131000,0.11692,0.02316,0.01368,0.01273,0.0052,2.87346,1.92347,1.44938,0.16693,0.45147,0.45009,32.99663,35.46541,1.29727,0.00813,0.02336,12.28829,17.65249
"42","2020_Q3",22.67,"Down",823999000,-725680000,98319000,-73669000,-65367000,24650000,-2533000,-2571000,38000,22117000,16033000,-4407000,11626000,11366000,11366000,11366000,42005000,42005000,645270000,645270000,742979000,109075000,109075000,1539329000,61625000,609176000,369537000,97160000,670801000,2210130000,673533000,672906000,627000,832287000,349683000,100580000,99332000,450263000,1282550000,61095000,962825000,-96340000,927580000,927580000,2210130000,11626000,11626000,9081000,1262000,33135000,55104000,-1793000,-1643000,-6548000,720000,720000,-36823000,-42651000,10810000,15955000,173000,16128000,33731000,357745000,69480000,0.11932,0.02992,0.01379,0.01225,0.00514,6.11297,1.84952,1.38268,0.16187,0.44969,0.4482,32.60135,36.69951,2.74896,0.0082,0.05013,9.36053,12.80892
"43","2020_Q4",24.01109375,"Up",744585000,-660006000,84579000,-73399000,-64973000,11180000,-1881000,-2019000,138000,9299000,8513000,-2797000,5716000,1712000,1712000,1712000,34596000,34596000,618758000,618758000,666458000,116221000,116221000,1436033000,60891000,576877000,338358000,81656000,637768000,2073801000,609406000,608417000,989000,770196000,313552000,92375000,91298000,405927000,1176123000,62314000,964538000,-129174000,897678000,897678000,2073801000,5716000,5716000,8986000,1184000,9463000,25349000,-3843000,-3828000,1615000,34000.0000000005,34000,0,1649000,23170000,-5514000,-1895000,-7409000,20166000,320596000,28583000,0.11359,0.01502,0.0023,0.00191000000000001,0.000830000000000005,16.69568,1.8645,1.31018,0.15459,0.06755,0.06752,29.37914,35.41974,1.1278,0.00130999999999999,0.02181,14.18229,25.5814
"44","2021_Q1",28.9727868852459,"Up",636449000,-562303000,74146000,-66441000,-58191000,7705000,489000,702000,-213000,8194000,-112951000,4091000,-108860000,-217262000,-217262000,-217262000,29485000,29485000,443185000,443185000,454885000,275912000,94681000,1203467000,55641000,432986000,214288000,72521000,488627000,1692094000,536812000,454240000,5886000,719007000,210889000,83952000,80068000,294841000,1013848000,63765000,747276000,-132795000,678246000,678246000,1692094000,-108860000,-108860000,8743000,112203000,61864000,73950000,187999.999999999,182000.000000002,-64330000,-1000,-5.82076609134674e-11,0,-64331000,9801000,1350000,-1491000,-141000,16448000,218728000,74409000,0.1165,0.01211,-0.34137,-0.32033,-0.1284,-0.342490000000002,1.67379,1.49481,0.12926,-8.56914,-8.62836,25.10251,26.75105,2.9348,-0.22149,0.07586,11.50553,24.56106
"45","2021_Q2",29.7655555555556,"Up",757342000,-676563000,80779000,-70361000,-62112000,10418000,-1796000,-1432000,-364000,8622000,-162000,47000,-115000,-11819000,-11819000,-11819000,49889000,49889000,509779000,509779000,423088000,269119000,92216000,1251875000,52264000,429205000,215170000,72177000,481469000,1733344000,783472000,544856000,1820000,838165000,140956000,82996000,78967000,223952000,1062117000,64945000,735457000,-129175000,671227000,671227000,1733344000,-115000,-115000,8710000,1956000,60674000,71225000,-748000,-748000,-70255000,543479.335723339,372649.616854138,-34485820.6952859,-70255000,222000,22551000,-1439000,21112000,19128000,148799000,79007000,0.10666,0.01376,-0.01561,-0.01761,-0.00682000000000002,-6.68474,1.49359,1.58235,0.08585,-0.46603,-0.46603,29.86247,26.4669,3.1153,-0.01309,0.08749,5.17095,9.49414
"46","2021_Q3",30.70375,"Up",810896000,-724852000,86044000,-68429000,-60468000,17615000,-1386000,-1266000,-120000,16229000,15744000,-4683000,11061000,-14194000,-14194000,-14194000,67187000,67187000,534583000,534583000,421003000,96358000,96358000,1119131000,48183000,429805000,217956000,72022000,477988000,1597119000,681743000,589292000,859000,689586000,144081000,81313000,77040000,225394000,914980000,65924000,721263000,-105048000,682139000,682139000,1597119000,11061000,11061000,8349000,-4388000,29427000,44449000,-706000,33650000,2801000,759771.674012173,655733.400210658,-42429000,-39628000,38471000,8294000,3326000,11620000,25964000,151924000,59368000,0.10611,0.02172,-0.0174999999999999,-0.02081,-0.00889,-4.18261,1.6229,1.34134,0.09512,-0.558929999999999,-0.55543,31.93133,26.86115,2.33778,-0.01551,0.06486,3.26363,4.8105
"47","2021_Q4",35.250625,"Up",729873000,-641757000,88116000,-68120000,-60101000,19996000,-530000,-831000,301000,19466000,18907000,-5121000,13786000,13098000,13098000,13098000,49321000,49321000,509404000,509404000,459652000,99424000,99424000,1117801000,45316000,419505000,217093000,68835000,464821000,1582622000,614854000,521552000,5333000,622697000,191008000,78342000,74033000,269350000,892047000,68895000,734361000,-112681000,690575000,690575000,1582622000,13786000,13786000,8358000,3811000,-86207000,-60252000,-829000,-829000,46605000,439000,439000,0,47044000,-14037000,-14037000,-3829000,-17866000,28354000,198851000,-53561000,0.12073,0.0274,0.01795,0.01897,0.00828,-4.08925,1.7951,1.29175,0.12565,0.51453,0.51292,28.67194,27.12818,-2.10406,0.01353,-0.05534,5.27368,7.478
"48","2022_Q1",33.0462903225806,"Down",852695000,-756918000,95777000,-72549000,-64757000,23228000,-236000,-303000,67000.0000000001,22992000,23046000,-2389000,20657000,23710000,23710000,23710000,62718000,62718000,568984000,568984000,470081000,117860000,117860000,1219643000,42836000,409205000,218877000,63615000,452041000,1671684000,725096000,634805000,2501000,732939000,135331000,72223000,68269000,207554000,940493000,71253000,758071000,-98133000,731191000,731191000,1671684000,20657000,20657000,8090000,5509000,27089000,61345000,-80000,-79999.9999999963,-55997000,12000,12000,-3.72529029846191e-09,-55985000,5280000,7749000,5648000,13397000,31318000,143174000,60716000,0.11232,0.02724,0.02781,0.03243,0.01418,2.56078,1.66404,1.28625,0.08565,0.93332,0.93039,33.56538,28.78251,2.39002,0.02505,0.06414,2.569,3.46375
"49","2022_Q2",35.0520967741936,"Up",857583000,-756011000,101572000,-71244000,-63854000,30328000,-897000,-634000,-263000,29431000,29431000,-7358000,22073000,22073000,22073000,22073000,55491000,55491000,589532000,589532000,493541000,117849000,117849000,1256413000,40763000,400175000,216948000,61925000,440938000,1697351000,683630000,602229000,9039000,692415000,188571000,70271000,66425000,258842000,951257000,74817000,780144000,-108867000,746094000,746094000,1697351000,22073000,30565568.1362831,7650000,1481000,-88163000,-56959000,-1090000,-1090000,53866000,994000,994000,-13905786.355335,54860000,-3189000,-3189000,-4038000,-7227000,37978000,197356000,-43917000,0.11844,0.03536,0.02574,0.02958,0.013,-1.98963,1.81454,1.27498,0.11627,0.86273,0.8524,33.51898,29.16138,-1.71651,0.02177,-0.04332,3.73545,4.67769
"50","2022_Q3",30.2121875,"Down",864079000,-756426000,107653000,-76155000,-69161000,31498000,-1089000,-546000,-543000,30409000,30409000,-7257000,23152000,23252000,23252000,23252000,34123000,34123000,613186000,613186000,562397000,124633000,124633000,1334339000,39239000,397292000,216755000,63824000,436531000,1770870000,737043000,653190000,2283000,746766000,187143000,68436000,64574000,255579000,1002345000,75583000,803396000,-110454000,768525000,768525000,1770870000,-21973000,56108704.4088494,7229000,5598000,-54398000,-63544000,-1555000,1570000,-798000,-63000,120000,-2634000,-3495000,-65469000,-65469000,-1024000,-66493000,38727000,196866000,-9969000,0.12459,0.03645,0.02691,0.03026,0.01313,-0.42874,1.78682,1.30425,0.11117,0.90881,0.89793,33.77287,30.03811,-0.38964,0.02249,-0.00964,4.20231,5.16677
