"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q2",7.01222222222222,"Down",16425000,-11308000,5117000,-35251000,-19766000,-15485000,-30134000,-190000,435000,-30324000,-30324000,-30324000,-30324000,-30324000,-30324000,82872000,38205000,44667000,7279000,7279000,19650000,2787000,2787000,112588000,33613000,39376000,39376000,72989000,185577000,19898000,8740000,10261000,6428000,3833000,45097000,45630000,45630000,45630000,90727000,1107274000,-1012430000,6000,94850000,94850000,185577000,-30324000,1796000,4881000,-1666000,-25313000,-1253000,-1253000,-1253000,39237000,37984000,6689999.99999999,6689999.99999999,6690000,19361000,19361000,19361000,-28338000,14938000,0.31154,-1.83464,-1.84621,-0.3197,-0.1634,2.49657,0.95653,0.08049,-0.20046,-0.20046,0.10858,0.62701,-0.19511,2.39728,2.2544
"35","2019_Q3",5.593125,"Down",24621000,-15008000,9613000,-33993000,-19083000,-14910000,-24380000,-216000,428000,-24596000,-24596000,-24596000,-24596000,-24596000,-24596000,66844000,30358000,36486000,12123000,12123000,17404000,2538000,2538000,98909000,33457000,38216000,38216000,71673000,170582000,22118000,8011000,12102000,6707000,5395000,49453000,45375000,45375000,45375000,94828000,1112763000,-1037026000,17000,75754000,75754000,170582000,-24596000,1790000,4759000,488000,-17559000,-613000,-613000,-613000,8425000,7812000,1400000,1400000,1400000,-8347000,-8347000,-8347000,-22590000,15233000,0.39044,-0.99021,-0.99898,-0.32468,-0.14419,2.00006,1.25179,0.0893,-0.16099,-0.16099,0.16115,0.49582,-0.18037,2.28468,2.11694
"36","2019_Q4",5.0825,"Down",21915000,-15001000,6914000,-35028000,-20066000,-14962000,-28114000,-1009000,-345000,-29123000,-29123000,-29123000,-29123000,-29123000,-29123000,49204000,33084000,16120000,9966000,9966000,15067000,2704000,2704000,76941000,31618000,37551000,37551000,69169000,146110000,23934000,8111000,11213000,6379000,4834000,50693000,44403000,44403000,44403000,95096000,1117152000,-1066149000,11000,51014000,51014000,146110000,-29123000,1897000,5040000,4926000,-17260000,-829000,-829000,-829000,20488000,19659000,326999.999999999,326999.999999999,327000,2726000,2726000,2726000,-26217000,15546000,0.31549,-1.28287,-1.32891,-0.57088,-0.19932,1.51778,1.86412,0.1064,-0.19035,-0.19035,0.14324,0.33344,-0.26246,1.28382,1.1972
"37","2020_Q1",4.09451612903226,"Down",27930000,-14998000,12932000,-30849000,-16576000,-14273000,-17917000,-174000,504000,-18091000,-91000,-91000,-91000,-91000,-91000,49099000,29627000,19472000,15266000,15266000,13312000,3369000,3069000,81046000,30070000,36869000,36869000,66939000,147985000,21610000,8368000,11672000,7610000,4062000,49153000,43915000,43915000,43915000,93068000,1121152000,-1066240000,5000,54917000,54917000,147985000,-91000,1782000,-13119000,-6752000,-18180000,-141000,-141000,-141000,-3267000,-3408000,131000,131000,18131000,-3457000,-3457000,-3457000,-16135000,15871000,0.46301,-0.6415,-0.00326,-0.00165999999999999,-0.000610000000000027,1.64885,1.6947,0.10725,-0.00059,-0.00059,0.18248,0.358810000000004,-0.000789999999999957,2.05937,1.85455
"38","2020_Q2",3.40396825396825,"Down",15598000,-8110000,7488000,-40197000,-24947000,-15250000,-32709000,-29000,238000,-32738000,1262000,1262000,1262000,1262000,1262000,142591000,68862000,73729000,7325000,7325000,16124000,3490000,3490000,169530000,29076000,36158000,36158000,65234000,234764000,22186000,4223000,109788000,105107000,4681000,131974000,42387000,42387000,42387000,174361000,1125383000,-1065010000,30000,60403000,60403000,234764000,1262000,1657000,-29213000,101657000,75363000,-117000,-117000,-117000,-54210000,-54327000,198999.999999999,198999.999999999,18199000,39235000,39235000,39235000,-31052000,0,0.48006,-2.097,0.0809100000000001,0.02089,0.00538,1.28457,2.88663,0,0.00821999999999688,0.00810000000000142,0.101649999999994,0.39363,0.01228,4.59201,4.35938
"39","2020_Q3",5.756875,"Up",17077000,-10464000,6613000,-30137000,-15127000,-15010000,-23524000,438000,438000,-23086000,-23086000,-23086000,-23086000,-23086000,-23086000,119963000,43342000,76621000,11346000,11346000,16768000,2862000,2862000,150939000,27733000,34976000,34976000,62709000,213648000,19639000,7436000,111223000,104932000,6291000,130862000,41394000,41394000,41394000,172256000,1129245000,-1088096000,243000,41392000,41392000,213648000,-23086000,1589000,3823000,-6115000,-23789000,-319000,-319000,-319000,-2540000,-2859000,628000,628000,628000,-26020000,-26020000,-26020000,-21935000,0,0.38725,-1.37753,-1.35188,-0.55774,-0.10806,1.15342,4.16158,0,-150.66339,-150.66339,111.44757,270.13163,-0.27886,5.46902,5.0996
"40","2020_Q4",16.99328125,"Up",19082000,-12018000,7064000,-31239000,-14772000,-16467000,-24175000,467000,467000,-23708000,-23708000,-23708000,-23708000,-23708000,-23708000,208550000,69028000,139522000,11806000,11806000,15940000,3212000,3212000,239508000,26568000,34242000,34242000,60810000,300318000,20485000,5406000,109783000,104982000,4801000,130268000,40554000,40554000,40554000,170822000,1241182000,-1111804000,118000,129496000,129496000,300318000,-23708000,1581000,5763000,-1444000,-17808000,-536000,-536000,-536000,-63105000,-63641000,107135000,107135000,107135000,25686000,25686000,25686000,-22594000,7.45058059692383e-09,0.37019,-1.2669,-1.24243,-0.18308,-0.07894,1.83858,1.31913,0,-0.0499900000000082,-0.0499900000000082,0.0402300000000082,0.27304,-0.13942,9.23033,8.62668
"41","2021_Q1",35.0011475409836,"Up",27136000,-15735000,11401000,-35378000,-17953000,-17425000,-23977000,912000,912000,-23065000,74935000,74935000,74935000,74935000,74935000,318814000,81611000,237203000,16837000,16837000,14230000,5706000,4870000,355587000,24899000,33494000,33494000,58393000,413980000,20929000,3579000,17573000,8722000,8851000,38502000,39987000,39987000,39987000,78489000,1372275000,-1036869000,85000,335491000,335491000,413980000,74935000,1601000,6058000,-96857000,-14263000,-67000,-67000,-67000,-98428000,-98495000,125877000,125877000,125877000,13119000,13119000,13119000,-22376000,0,0.42014,-0.88359,2.76146,0.22336,0.18101,9.23555,0.23395,0,0.40252,0.33261,0.14576,1.80213999999997,0.19957,14.24803,13.29666
"42","2021_Q2",29.0852380952381,"Down",28997000,-16020000,12977000,-46687000,-26139000,-20548000,-33710000,-1725000,64000,-35435000,-87435000,-87435000,-87435000,-87435000,-87435000,1160319000,932398000,227921000,12906000,12906000,16268000,6459000,5623000,1195952000,24207000,32729000,32729000,56936000,1252888000,18143000,3471000,15594000,9607000,5987000,33737000,42924000,42924000,938598000,972335000,1404783000,-1124304000,74000,280553000,280553000,1252888000,-87435000,1606000,63594000,-869000,-23104000,-401000,-401000,-401000,8571000,8169999.99999994,22343000,22343000,865721000,850787000,850787000,850787000,-32104000,895674000,0.44753,-1.16253,-3.01531,-0.31165,-0.06979,35.44927,3.46578,0.71489,-0.448870000000002,-0.448870000000002,0.14886,1.44028,-0.07172,8.24337,7.85064
"43","2021_Q3",29.626875,"Up",30610000,-16857000,13753000,-51326000,-29059000,-22267000,-37573000,-3428000,161000,-41001000,-41001000,-41001000,-41001000,-41001000,-41001000,1144373000,459794000,684579000,19936000,19936000,17985000,6842000,6542000,1189136000,2.5e+07,31645000,31645000,56645000,1245781000,27668000,4761000,17765000,9534000,8231000,45433000,46341000,46341000,942103000,987536000,1423556000,-1165305000,-6000,258245000,258245000,1245781000,-41001000,1592000,17975000,5722000,-15712000,-1569000,-1569000,-1569000,-459239000,-460808000,2968000,2968000,2880000,-473640000,-473640000,-473640000,-35981000,895762000,0.4493,-1.22747,-1.33946,-0.15877,-0.03291,26.1734,3.82403,0.71904,-0.21049,-0.21049,0.15714,1.32576,-0.03416,6.90951,6.61675
"44","2021_Q4",24.13296875,"Down",34887000,-19523000,15364000,-59114000,-31606000,-27508000,-43750000,-3806000,-133000,-47556000,-78282000,16542000,16542000,16542000,16542000,1079890000,425388000,654502000,23946000,23946000,18276000,7693000,7193000,1129805000,31119000,873231000,50492000,904350000,2034155000,35780000,4960000,19828000,9773000,10055000,55608000,241825000,241825000,1137740000,1193348000,1989543000,-1148763000,27000,840807000,840807000,2034155000,16542000,1899000,-64085000,4988000,-40656000,-1119000,-2543303.19332177,-2543303.19332177,29266000,-291646000,299656000,299656000,299656000,-32646000,-32646000,-32646000,-41851000,895915000,0.44039,-1.25405,0.47416,0.01967,0.00813,20.31731,1.41929,0.44044,0.08181,0.0768899999999995,0.17254,4.15842,0.00836,4.39595,4.20514
"45","2022_Q1",11.5135483870968,"Down",36019000,-19253000,16766000,-111025000,-37320000,-42576000,-94259000,-3478000,1000,-97737000,-68154000,-69329000,-69329000,-69329000,-69329000,1044400000,460725000,583675000,24241000,24241000,24599000,7894000,7394000,1101134000,32504000,873332000,52379000,905836000,2006970000,47263000,11002000,24446000,10977000,13469000,71709000,248207000,223158000,1144274000,1215983000,2010166000,-1218092000,-1087000,790987000,790987000,2006970000,-69329000,2483000,23974000,11164000,-31708000,-2842000,-3187129.30484113,-3187129.30484113,68595000,65753000,1684000,1684000,1324000,35369000,35369000,35369000,-91776000,896067000,0.46548,-2.61692,-1.92479,-0.08765,-0.03454,15.35559,1.5373,0.44648,-0.34288,-0.32227,0.17814,3.91202,-0.03582,1.61625,1.57367
"46","2022_Q2",6.07629032258065,"Down",33173000,-19018000,14155000,-92741000,-39804000,-52937000,-78586000,-3976000,-279000,-82562000,-81499000,-81499000,-81499000,-81499000,-81499000,962775000,428574000,534201000,27852000,27852000,29625000,8936000,8436000,1029188000,35510000,871968000,51243000,907478000,1936666000,37096000,17607000,23914000,12729000,11185000,61010000,244858000,244858000,1141078000,1202088000,2038254000,-1299591000,-4085000,734578000,734578000,1936666000,-81499000,2496000,24353000,-24379000,-79029000,-3638000,-3638000,-3638000,45691000,42053000,5592000.00000003,5592000.00000003,5215000,-31761000,-31761000,-31761000,-76090000,896220000,0.4267,-2.36897,-2.45679,-0.11095,-0.04208,16.86917,1.63643,0.46276,-0.36922,-0.36922,0.15029,3.32795,-0.04345,0.87469,0.84691
"47","2022_Q3",5.73703125,"Down",35467000,-19274000,16193000,-89600000,-39252000,-50348000,-73407000,-3425000,256000,-76832000,-71394000,-71394000,-71394000,-71394000,-71394000,899151000,310445000,588706000,27058000,27058000,36121000,7957000,7657000,970287000,37957000,867898000,47401000,905855000,1876142000,38057000,12883000,46339000,32084000,14255000,84396000,213486000,213486000,1109860000,1194256000,2058328000,-1370985000,-5457000,681886000,681886000,1876142000,-71394000,2551000,15819000,-7539000,-60563000,-4019000,-4019000,-4019000,-56262000,-60281000,848000,848000,455000,-120389000,-120389000,-120389000,-70856000,896374000,0.45657,-2.06973,-2.01297,-0.1047,-0.03805,11.49684,1.7514,0.47778,-0.31801,-0.31801,0.15798,3.03737,-0.03985,0.0391900000000001,0.03783
