"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2018_Q2",69.81765625,"Up",257133000,-165862000,91271000,-70747000,-55647000,-15100000,20524000,-4249000,-4249000,16275000,-1130000,15145000,-4988000,10157000,10157000,10157000,10157000,192028000,192028000,203068000,203068000,271309000,64130000,34425000,730535000,151170000,469819000,145036000,282656000,42127000,620989000,1351524000,117383000,86112000,31271000,127682000,127682000,461351000,243416000,75377000,55054000,318793000,780144000,212931000,374029000,-15580000,571380000,571380000,1351524000,10157000,20375000,13421000,-8846000,35107000,-24898000,-24898000,-23719000,-83632000,-108530000,110448000,3718000,3718000,95364000,21941000,21941000,437000,22378000,40899000,459702000,12143000,0.35496,0.07982,0.0395,0.01778,0.00751999999999999,1.19553,1.58347,1.36537,0.34014,0.5409,0.51845,13.69331,30.42816,0.64666,0.00918,0.01097,6.54476,13.042
"30","2018_Q3",77.6207936507937,"Up",277528000,-175898000,101630000,-75186000,-60098000,-15088000,26444000,-5282000,-5282000,21162000,-8297000,12865000,-59816000,-46951000,-46951000,-46951000,-46951000,211973000,211973000,208454000,208454000,281033000,33461000,31051000,734921000,143270000,468568000,139104000,285880000,43584000,611838000,1346759000,111247000,74606000,36641000,162654000,162654000,471180000,245181000,100324000,61943000,345505000,816685000,218343000,327078000,-15347000,530074000,530074000,1346759000,-46951000,21281000,57306000,17958000,49594000,-8179000,-8179000,-8290000,1.49011611938477e-08,-8179000,-19402000,109999.999999998,109999.999999999,-21048000,20367000,20367000,-422000,19945000,47725000,442460000,117320000,0.3662,0.09528,-0.16918,-0.08857,-0.03486,-2.49878,1.55975,1.5407,0.32854,-2.47501,-2.58583,14.62984,27.94275,6.1845,-0.04376,0.10935,4.82948,8.71604
"31","2018_Q4",72.1442857142857,"Down",267299000,-169714000,97585000,-75780000,-59846000,-15934000,21805000,-4786000,-4786000,17019000,-13901000,3118000,-565000,2553000,2553000,2553000,2553000,194001000,194001000,216680000,216680000,304293000,63696000,61362000,778670000,113667000,503694000,147057000,300716000,55921000,617361000,1396031000,136819000,101571000,35248000,191410000,191410000,558481000,247029000,108135000,66493000,355164000,913645000,166633000,329631000,-13878000,482386000,482386000,1396031000,2553000,13712000,13534000,1264000,31063000,-5605000,-5605000,-4423000,-19552000,-25157000,32647000,-56904000,2780000,-24273000,-18367000,-18367000,395000,-17972000,35517000,477281000,31741000,0.36508,0.08158,0.00955,0.00529,0.00182999999999999,12.43282,1.39426,1.89401,0.34188,0.13747,0.13747,14.39336,25.97523,1.70917,0.00239,0.02973,7.9759,12.99152
"32","2019_Q1",83.6995081967213,"Up",287326000,-186160000,101166000,-79068000,-64001000,-15067000,22098000,-4976000,-4976000,17122000,-11396000,5726000,-612000,5114000,5114000,5114000,5114000,84814000,84814000,210744000,210744000,313552000,41587000,41587000,650697000,115524000,489470000,142001000,292213000,55256000,604994000,1255691000,147063000,106892000,40171000,180997000,180997000,443322000,248980000,73953000,58951000,322933000,766255000,169475000,334745000,-14784000,489436000,489436000,1255691000,5114000,14386000,-12937000,10782000,17345000,-6969000,-6969000,-6766000,-608999.999999993,-7578000,-115241000,-2960000,288000,-118491000,-108724000,-108724000,-463000,-109187000,36484000,364242000,40909000,0.35209,0.07691,0.0178,0.01045,0.00407,7.99941,1.46778,1.56559,0.29007,0.28334,0.28334,15.91922,27.11707,2.26655,0.00551,0.0441,7.65892,12.64495
"33","2019_Q2",100.77253968254,"Up",266249000,-170336000,95913000,-75460000,-61707000,-13753000,20453000,-5332000,-5332000,15121000,-4196000,10925000,-1523000,9402000,9402000,9402000,9402000,86411000,86411000,222170000,222170000,343974000,49468000,49468000,702023000,119764000,506141000,145230000,304717000,56194000,625905000,1327928000,147607000,116887000,30720000,195064000,195064000,510997000,250958000,78671000,63619000,329629000,840626000,156760000,344147000,-13605000,487302000,487302000,1327928000,9402000,14147000,4346000,-30716000,-2821000,-12268000,-12268000,-7875000,-18259000,-30527000,52819000,-5555000,2289000,34639000,1291000,1291000,306000,1597000,34600000,419284000,-6861000,0.36024,0.07682,0.03531,0.01929,0.00708,-0.72974,1.37383,1.72506,0.31574,0.51973,0.50181,14.71802,26.93765,-0.37927,0.00954,-0.00696000000000001,9.62061,16.27502
"34","2019_Q3",108.006875,"Up",303205000,-192861000,110344000,-79902000,-67097000,-12805000,30442000,-5620000,-5620000,24822000,1265000,26087000,-6980000,19107000,19107000,19107000,19107000,95967000,95967000,226086000,226086000,315200000,43949000,43949000,681202000,121270000,495205000,140202000,305164000,49839000,616475000,1297677000,134663000,98339000,36324000,184144000,184144000,469914000,253184000,78383000,63576000,331567000,801481000,151926000,363254000,-18984000,496196000,496196000,1297677000,19107000,14136000,11456000,-1034000,43665000,-983000,-983000,-4765000,0,-983000.000000011,-17235000,-12665000,520000,-31558000,11124000,11124000,-1568000,9555999.99999999,44578000,404291000,49541000,0.36393,0.1004,0.06302,0.03851,0.01472,2.59282,1.44963,1.61525,0.31155,1.05645,1.02604,16.76462,27.43536,2.73919,0.01952,0.05061,6.91651,10.12824
"35","2019_Q4",98.81765625,"Down",304284000,-192968000,111316000,-80973000,-67278000,-13695000,30343000,-5594000,-5594000,24749000,1777000,26526000,-6900000,19626000,19626000,19626000,19626000,107649000,107649000,218433000,218433000,297704000,35050000,35050000,658836000,124916000,500363000,136432000,307461000,56470000,625279000,1284115000,125944000,89891000,36053000,173854000,173854000,425500000,255411000,77396000,62381000,332807000,758307000,160384000,382880000,-17456000,525808000,525808000,1284115000,19626000,14118000,8842000,4314000,46900000,-9311000,-9311000,-8265000,-12000,-9323000,-25445000,3356000,3356000,-26344000,11233000,11233000,449000,11682000,44461000,381113000,46364000,0.36583,0.09972,0.0645,0.03733,0.01528,2.36238,1.54838,1.44217,0.29679,1.08557,1.05087,16.8308,29.08391,2.56452,0.01994,0.0471,6.15065,9.01242
"36","2020_Q1",85.4622580645161,"Down",308377000,-195356000,113021000,-82658000,-66402000,-16256000,30363000,-5064000,-5064000,25299000,-2673000,22626000,-5965000,16661000,16661000,16661000,16661000,96316000,96316000,238440000,238440000,273711000,32432000,32432000,640899000,127385000,496580000,132954000,307108000,56518000,623965000,1264864000,137021000,93500000,43521000,156183000,156183000,382008000,257752000,73377000,65398000,331129000,713137000,168913000,399541000,-16727000,551727000,551727000,1264864000,16661000,13833000,4130000,-3256000,31368000,-7653000,-7653000,-6507000,0,-7653000,-36858000,2987000,2987000,-35051000,-11336000,-11336000,3000.00000000023,-11333000,44196000,346556000,39252000,0.3665,0.09846,0.05403,0.0302,0.01317,2.35592,1.67771,1.29255,0.27399,0.91882,0.88406,17.0064,30.42668,2.16467,0.01715,0.0404,5.66205,8.24161
"37","2020_Q2",73.051746031746,"Down",290852000,-191641000,99211000,-76423000,-62177000,-14246000,22788000,-4736000,-4736000,18052000,2099000,20151000,592000,20743000,20743000,20743000,20743000,85142000,85142000,245093000,245093000,268761000,38140000,38140000,637136000,128293000,524673000,129633000,306713000,88327000,652966000,1290102000,132736000,100942000,31794000,166165000,166165000,394702000,260007000,93829000,85997000,353836000,748538000,141049000,420284000,-19769000,541564000,541564000,1290102000,20743000,13539000,8308000,-17752000,24838000,-8114000,-8114000,-6026000,-137069.243540833,-8114000,6945000,-8365000,4897000,-27479000,-10755000,-10755000,-419000,-11174000,36327000,355808000,9869000,0.3411,0.07835,0.07132,0.0383,0.01608,0.47577,1.61422,1.38218,0.2758,1.13604,1.09734,15.92924,29.66011,0.5405,0.02093,0.00996,7.45082,11.87757
"38","2020_Q3",74.61390625,"Up",305342000,-194569000,110773000,-78783000,-63902000,-14881000,31990000,-4844000,-4844000,27146000,929000,28075000,-7089000,20986000,20986000,20986000,20986000,95056000,95056000,257385000,257385000,252535000,43313000,43313000,648289000,129588000,524049000,127464000,309429000,87156000,653637000,1301926000,144529000,106344000,38185000,147570000,147570000,383936000,262326000,97948000,90416000,360274000,744210000,133566000,441270000,-17120000,557716000,557716000,1301926000,20986000,13422000,9422000,-9041000,34789000,-7332000,-7332000,-5567000,-171000,-7503000,-3983999.99999999,-12532000,1200000,-18387000,8899000,8899000,1015000,9914000,45412000,354163000,36128000,0.36278,0.10477,0.06873,0.03763,0.01612,1.72153,1.68853,1.33439,0.27203,1.14609,1.12447,16.67533,30.45798,1.97302,0.02078,0.03578,5.70569,8.09962
"39","2020_Q4",85.48140625,"Up",292883000,-183776000,109107000,-80934000,-65576000,-15358000,28173000,-4706000,-4706000,23467000,-4548000,18919000,639000,19558000,19558000,19558000,19558000,101026000,101026000,257505000,257505000,241317000,38522000,38522000,638370000,128518000,519706000,129471000,308639000,81596000,648224000,1286594000,141374000,103797000,37577000,138685000,138685000,375962000,264777000,93579000,86698000,358356000,734318000,116872000,460828000,-25424000,552276000,552276000,1286594000,19558000,10846000,13337000,2185000,45926000,-9380000,-9380000,-4469000,-3350000,-12730000,3908000,-22480000,2301000,-22668000,10528000,10528000,-4558000,5970000,39019000,360680000,31185000,0.37253,0.09619,0.06678,0.03541,0.0152,1.59449,1.69796,1.32962,0.28034,1.07562,1.05645,16.10752,30.37321,1.71506,0.01943,0.03098,6.65455,9.21641
"40","2021_Q1",94.9081967213115,"Up",276967000,-175419000,101548000,-73129000,-60306000,-12823000,28419000,-4479000,-4479000,23940000,-4963000,18977000,-5012000,13965000,13965000,13965000,13965000,76102000,76102000,269840000,269840000,241226000,30541000,30541000,617709000,127936000,522896000,128279000,310627000,83990000,650832000,1268541000,242020000,84940000,157080000,28155000,28155000,330101000,267072000,99216000,93370000,366288000,696389000,122553000,474793000,-25194000,572152000,572152000,1268541000,13965000,11951000,12079000,-14368000,23627000,4438000,3769000,-4995000,-18778000,-14340000,-36069000,-2295000,-2295000,-36196000,-26909000,-26909000,1985000,-24924000,40370000,326998000,35452000,0.36664,0.10261,0.05042,0.02441,0.01101,2.53863,1.87127,1.21714,0.25777,0.77536,0.76224,15.37766,31.76681,1.96835,0.01399,0.03551,6.21491,8.82846
"41","2021_Q2",97.3263492063492,"Up",254908000,-159157000,95751000,-70699000,-58617000,-12082000,25052000,-4189000,-4189000,20863000,-8359000,12504000,-3160000,9344000,9344000,9344000,9344000,76925000,76925000,253149000,253149000,255434000,29285000,29285000,614793000,127705000,528450000,134781000,315511000,78158000,656155000,1270948000,124421000,92605000,31816000,157618000,157618000,333937000,269356000,110115000,106962000,379471000,713408000,95084000,484137000,-21681000,557540000,557540000,1270948000,9344000,10002000,12089000,22397000,53832000,-3780000,-3780000,-3780000,-3e+06,-12341000,-8147000,-22714000,2102000,-41846000,-355000,-355000,1178000,823000,35054000,321254000,56831000,0.37563,0.09828,0.03666,0.01676,0.00735,6.08208,1.84104,1.27956,0.25277,0.51764,0.50963,14.12154,30.88693,3.14836,0.00945,0.05747,6.97007,9.75287
"42","2021_Q3",97.37890625,"Up",276009000,-173928000,102081000,-69885000,-56101000,-13784000,32196000,-4233000,-4233000,27963000,162000,28125000,-8087000,20038000,20038000,20038000,20038000,72575000,72575000,263071000,263071000,266190000,32588000,32588000,634424000,127875000,538504000,132076000,318287000,88141000,666379000,1300803000,240547000,90029000,150518000,73899000,73899000,333393000,271667000,108107000,104900000,379774000,713167000,100816000,504175000,-17355000,587636000,587636000,1300803000,20038000,11160000,10453000,-6004000.00000001,35647000,-4728000,-4728000,-4728000,-1.86264514923096e-09,-8142000,-33077000,483000,483000,-33564000,-6059000,-6059000,1709000,-4350000,43356000,290614000,40711000,0.36985,0.11665,0.0726,0.0341,0.0154,2.03169,1.90293,1.21362,0.22341,1.11788,1.10117,15.39799,32.78304,2.27119,0.02032,0.04127,5.02904,6.77224
"43","2021_Q4",93.81171875,"Down",283787000,-179768000,104019000,-71838000,-57906000,-13932000,32181000,-4167000,-4167000,28014000,285000,28299000,-9526000,18773000,18773000,18773000,18773000,80613000,80613000,290653000,290653000,294208000,43930000,43930000,709404000,118004000,556959000,127608000,320304000,109047000,674963000,1384367000,305458000,141263000,164195000,38463000,38463000,344767000,276421000,123359000,116202000,399780000,744547000,105724000,548842000,-14746000,639820000,639820000,1384367000,18773000,10271000,9268000,3262000,41574000,-2647000,-3641000,-3641000,0,-5680000,-18141000,2582000,2817000,-16004000,19890000,19890000,0,19890000,42452000,277267000,52593000,0.36654,0.1134,0.06615,0.02934,0.01356,2.80152,2.05763,1.16368,0.20028,1.04486,1.02573,15.7949,35.61084,2.9272,0.01804,0.05055,4.63238,6.11087
"44","2022_Q1",84.0533870967742,"Down",332198000,-214131000,118067000,-82021000,-68123000,-13898000,36046000,-4142000,-4142000,31904000,-2192000,29712000,-3818000,25894000,25894000,25894000,25894000,80613000,80613000,290653000,290653000,294208000,43930000,43930000,709404000,118004000,556959000,127608000,320304000,109047000,674963000,1384367000,305458000,141263000,164195000,38463000,38463000,344767000,276421000,123359000,116202000,399780000,744547000,105724000,548842000,-14746000,639820000,639820000,1384367000,25894000,12422000,15415000,-45718000,8013000,-4605000,-4747000,-4747000,-13751000,-8530000,47000,-12302000,115000,-12511000,-13028000,-13028000,1176000,-11852000,48468000,277267000,1963000.00000001,0.35541,0.10851,0.07795,0.04047,0.0187,0.0758100000000002,2.05763,1.16368,0.20028,1.44008,1.41668,18.47495,35.58312,0.10917,0.02489,0.00189,4.0574,5.45564
"45","2022_Q2",82.0582258064516,"Down",279257000,-179927000,99330000,-72140000,-57323000,-14817000,27190000,-2016000,-2016000,25174000,-2510000,22664000,-3612000,19052000,19052000,19052000,19052000,54663000,54663000,292004000,292004000,320673000,62870000,62870000,730210000,116814000,563615000,127262000,319345000,117008000,680429000,1410639000,309270000,140544000,168726000,34564000,34564000,656788000,692000,129847000,125162000,130539000,787327000,53377000,586850000,-16915000,623312000,623312000,1410639000,19052000,9697000,6246000,-46014000,-11019000,-3474000,-11448024.8594397,-12910226.7757387,-54396010.1452321,-7834000,25796000,-14086000,2145000,-7205000,-26058000,-26058000,108000,-25950000,36887000,313646000,-8989000,0.35569,0.09737,0.06822,0.03057,0.01351,-0.47181,1.11179,1.26313,0.22234,1.07981,1.05225,15.82739,35.32733,-0.50947,0.01786,-0.00843,7.02098,9.52494
"46","2022_Q3",87.59890625,"Up",276681000,-176908000,99773000,-69856000,-54879000,-14977000,29917000,-2217000,-2217000,27700000,-831000,26869000,-7072000,19797000,19797000,19797000,19797000,86332000,86332000,288037000,288037000,334242000,61179000,61179000,769790000,116115000,557201000,126643000,320319000,110239000,673316000,1443106000,286065000,128164000,157901000,39521000,39521000,694455000,602000,127901000,123375000,128503000,822958000,30909000,606647000,-17408000,620148000,620148000,1443106000,19797000,9493000,4707000,-19532000,14465000,-3669000,-27972074.578319,-32358680.3272161,-132686030.435696,-7557000,55478000,-28893000,156000,24839000,31747000,31747000,-78000,31669000,39410000,369471000,23281000,0.36061,0.10813,0.07155,0.03192,0.01372,1.17599,1.10848,1.32703,0.25602,1.12203,1.09339,15.68139,35.14801,1.31949,0.01772,0.02083,7.18445,9.46415
