"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",21.46609375,"Up",408742000,-206143000,202599000,-143403000,-126487000,-16916000,59196000,-58000,-58000,59138000,59194000,-10669000,48525000,48525000,48525000,48525000,84319000,84319000,113438000,96459000,16979000,15885000,27062000,27062000,240704000,136272000,673720000,238083000,364606000,42366000,809992000,1050696000,123696000,30624000,93072000,175377000,117934000,57443000,299073000,88860000,88860000,88860000,387933000,293265000,418406000,-48908000,662763000,662763000,1050696000,48525000,16916000,7307000,72748000,-5957000,-43154000,76000,-49035000,-39827000,-39827000,-16114000,-16114000,-6617000,-22731000,76112000,0,0.49566,0.14482,0.11872,0.07322,0.04618,0.80483,0.58533,0,0.09886,0.09886,0.83269,1.35019,0.08114,4,0.11755,0.82075,-1.10783,-1.4244
"34","2018_Q3",24.457619047619,"Up",480461000,-230772000,249689000,-159745000,-143379000,-16366000,89944000,-75000,-75000,89869000,90177000,-24635000,65542000,65542000,65542000,65542000,87885000,87885000,134031000,115672000,18359000,16098000,50458000,50458000,288472000,137654000,679056000,246423000,359107000,46723000,816710000,1105182000,133363000,32073000,101290000,185868000,124784000,61084000,319231000,90140000,90101000,90140000,409371000,296429000,453408000,-54026000,695811000,695811000,1105182000,65542000,16366000,-24147000,57761000,-8061000,-11465000,349000,-19177000,-21315000,-30653000,7931000,7931000,-4365000,3566000.00000001,106310000,-2.3283064365387e-10,0.51969,0.1872,0.13641,0.0942,0.0593,0.90365,0.58834,0,0.13351,0.13351,0.97869,1.41735,0.04342,4,0.11051,0.32521,-0.82669,-0.97711
"35","2018_Q4",24.5536507936508,"Up",487739000,-236287000,251452000,-161939000,-145072000,-16867000,89513000,63000,63000,89576000,89890000,-23262000,66628000,66628000,66628000,66628000,118652000,118652000,142759000,122375000,20384000,16093000,25576000,25576000,303080000,136857000,689636000,250914000,365480000,47857000,826493000,1129573000,131542000,29991000,101551000,177839000,123916000,53923000,309381000,85434000,85376000,85434000,394815000,299894000,489501000,-54637000,734758000,734758000,1129573000,66628000,16867000,-730000,82765000,-5284000,-17166000,577000,-21873000,-30535000,-30730000,30162000,30162000,605000,30767000,106380000,0,0.51555,0.18353,0.13661,0.09068,0.05899,0.97963,0.53734,0,0.1357,0.1357,0.9934,1.49652,0.06219,6,0.11846,0.45829,-1.11536,-1.32553
"36","2019_Q1",24.7765573770492,"Up",444623000,-221235000,223388000,-152403000,-135760000,-16643000,70985000,290000,290000,71275000,71472000,-20504000,50968000,50968000,50968000,50968000,115485000,115485000,122470000,104016000,18454000,15788000,32278000,32278000,286021000,136885000,671218000,243258000,368481000,47290000,808103000,1094124000,132618000,27168000,105450000,166411000,116005000,50406000,299029000,83187000,83187000,83187000,382216000,412694000,370292000,-71078000,711908000,711908000,1094124000,50968000,14526000,52530000,86127000,-6037000,-4984000,-269000,-11290000,-70606000,-74202000,635000,635000,-3802000,-3167000,85511000,0,0.50242,0.15965,0.11463,0.07159,0.04658,0.9565,0.53689,-1.73472347597681e-18,0.10381,0.10381,0.90559,1.44998,0.14381,6,0.1529,1.3853,-1.35053,-1.62689
"37","2019_Q2",24.6331746031746,"Down",429069000,-217258000,211811000,-156213000,-139530000,-16683000,55598000,274000,274000,55872000,56053000,-11827000,44226000,44226000,44226000,44226000,116607000,116607000,123851000,104593000,19258000,16572000,32909000,32909000,289939000,136806000,845327000,239423000,370492000,229177000,982133000,1272072000,114289000,27496000,86793000,238423000,123935000,114488000,352712000,200236000,200236000,200236000,552948000,407462000,380398000,-68736000,719124000,719124000,1272072000,44226000,16683000,513000,61422000,-6086000,-7041000,569000,-12558000,-43453000,-46260000,2604000,2604000,-1482000,1122000,72281000,0,0.49365,0.12958,0.10307,0.0615,0.03477,0.82203,0.76892,0,0.09003,0.09003,0.87341,1.46384,0.08845,4,0.09537,0.98252,-1.61325,-2.09732
"38","2019_Q3",22.00875,"Down",523957000,-253333000,270624000,-182018000,-161886000,-20132000,88606000,-1899000,-1899000,86707000,86959000,-22664000,64295000,64295000,64295000,64295000,98466000,98466000,152294000,130696000,21598000,17579000,51506000,51506000,319845000,201196000,1208736000,397523000,563075000,242864000,1409932000,1729777000,145286000,37644000,107642000,256555000,133672000,122883000,414341000,227797000,227797000,563172000,977513000,410446000,410326000,-68508000,752264000,752264000,1729777000,64295000,20132000,-3672999.99999999,80754000,-6864000,-403026000,528000,-409362000,-35080000,310369000,-18239000,-18239000,98000,-18141000,108738000,347875000,0.5165,0.16911,0.12271,0.08547,0.03717,0.77194,1.29943,0.20111,0.13088,0.13088,1.06656,1.5313,0.07141,3,0.07483,0.54561,2.29367,2.81481
"39","2019_Q4",22.79015625,"Up",556466000,-268718000,287748000,-188858000,-167168000,-21690000,98890000,-2826000,-2826000,96064000,46139000,-2078000,44061000,44061000,44061000,44061000,104362000,104362000,155886000,132065000,23821000,17500000,46440000,46440000,324188000,197549000,1243056000,397495000,570759000,274802000,1440605000,1764793000,141448000,32932000,108516000,256932000,132915000,124017000,410880000,233516000,225545000,547016000,957896000,413650000,419993000,-26746000,806897000,806897000,1764793000,44061000,21690000,35963000,101714000,-5139000,-21182000,273000,-26048000,-34495000,-64709000,10957000,10957000,-5061000,5896000,120580000,3.26e+08,0.5171,0.17771,0.07918,0.05461,0.02497,0.78901,1.18714,0.18472,0.0897,0.0897,1.1329,1.64275,0.07023,4,0.05749,0.78289,1.8381,2.24126
"40","2020_Q1",23.8096774193548,"Up",505985000,-254284000,251701000,-177401000,-154795000,-22606000,74300000,-51783000,-2466000,22517000,72009000,-21244000,50765000,50765000,50765000,50765000,94276000,94276000,145033000,122766000,22267000,19476000,51002000,51002000,309787000,195533000,1239056000,113064000,572847000,550965000,1434589000,1744376000,147618000,35234000,112384000,249917000,122825000,127092000,410035000,239591000,229664000,518591000,928626000,580559000,256300000,-21109000,815750000,815750000,1744376000,50765000,22606000,38589000,75683000,-7299000,691000,-531000,-7139000.00000006,-50817000,-87713999.9999999,-19170000,-19170000,9084000,-10086000,96906000,291500000,0.49745,0.14684,0.10033,0.06223,0.0291,0.75551,1.13837,0.16711,0.10336,0.10336,1.03019,1.66087,0.10346,3,0.07542,1.00102,2.03521,2.65443
"41","2020_Q2",25.8998412698413,"Up",487901000,-251152000,236749000,-179459000,-157862000,-21597000,57290000,-2165000,-2165000,55125000,55400000,-12132000,43268000,43268000,43268000,43268000,92582000,92582000,145375000,123166000,22209000,21527000,45346000,45346000,304830000,194854000,1271795000,394538000,596067000,279229000,1466649000,1771479000,135872000,36844000,99028000,269496000,129352000,140144000,417868000,245940000,231683000,553240000,971108000,412632000,426450000,-38711000,800371000,800371000,1771479000,43268000,21597000,8491000,91963000,-5739000,-47586000,273000,-53052000,-47348000,-21088000,17823000,17823000,-19517000,-1694000,78887000,319800000,0.48524,0.11742,0.08868,0.05406,0.02442,0.72949,1.21332,0.18053,0.08803,0.08803,0.99263,1.62835,0.09633,3,0.06633,1.0943,2.8803,3.9661
"42","2020_Q3",33.50640625,"Up",553329000,-255622000,297707000,-193178000,-171253000,-21925000,104529000,-1460000.00000001,-1460000,103069000,103520000,-28162000,75358000,75358000,75358000,75358000,134829000,134829000,152582000,129297000,23285000,34064000,41626000,41626000,363101000,191141000,1282140000,390718000,602310000,287007000,1473281000,1836382000,166317000,48037000,118280000,299356000,139541000,159815000,478173000,252879000,238397000,495379000,973552000,416399000,475594000,-29163000,862830000,862830000,1836382000,75358000,21925000,10895000,142809000,-5087000,-8444000,217000,-13314000,-26268000,-96890000,32605000,32605000,9641999.99999999,42247000,126454000,2.55e+08,0.53803,0.18891,0.13619,0.08734,0.04104,0.75935,1.12832,0.13886,0.15328,0.15328,1.12546,1.75498,0.05343,6,0.07414,0.34858,0.95031,1.14964
"43","2020_Q4",37.65703125,"Up",583698000,-275474000,308224000,-190410000,-168006000,-22404000,117814000,-866000,-866000,116948000,108902000,-29323000,79579000,79579000,79579000,79579000,95440000,95440000,162483000,138392000,24091000,30386000,43527000,43527000,331836000,186825000,1287405000,389942000,619656000,275642000,1474230000,1806066000,176715000,56393000,120322000,276799000,139734000,137065000,469139000,249836000,234592000,404211000,873350000,426910000,528959000,-23153000,932716000,932716000,1806066000,79579000,22404000,17338000,105835000,-4303000,-23850000,-12000,-28165000,-26214000,-127520000,-49850000,-49850000,10461000,-39389000,140218000,1.7e+08,0.52805,0.20184,0.13634,0.08532,0.04406,0.70733,0.93635,0.09413,0.16187,0.16187,1.18727,1.89719,0.05332,6,0.07822,0.32941,0.53174,0.63286
"44","2021_Q1",34.9045901639344,"Down",536292000,-266344000,269948000,-173493000,-160088000,-13405000,96455000,-8881000,-591000,87574000,94894000,-26343000,68551000,68551000,68551000,68551000,98477000,98477000,150053000,126337000,23716000,30843000,35404000,35404000,314777000,178052000,1353071000,109044000,653176000,580074000,1531123000,1845900000,187282000,64596000,122686000,268041000,131253000,136788000,472511000,246217000,235605000,432029000,904540000,593369000,358888000,-10897000,941360000,941360000,1845900000,68551000,13405000,4109000,95178000,-4e+05,-67733000,269000,-67864000,-68932000,-35775000,-8461000.00000001,-8461000.00000001,11498000,3037000,109860000,2.03e+08,0.50336,0.17986,0.12782,0.07282,0.03714,0.66618,0.96089,0.10997,0.13944,0.13944,1.09087,1.91482,0.14021,6,0.09887,1.00556,0.95142,1.08365
"45","2021_Q2",34.1036507936508,"Down",535554000,-261552000,274002000,-185804000,-162208000,-23596000,88198000,31654000,-606000,119852000,119852000,-27209000,92643000,92643000,92643000,92643000,117322000,117322000,144847000,122445000,22402000,32645000,39229000,39229000,334043000,143899000,1398938000,108761000,659795000,617535000,1542837000,1876880000,176652000,66586000,110066000,312386000,140378000,172008000,507788000,283907000,274902000,380157000,887945000,587948000,412142000,-11155000,988935000,988935000,1876880000,92643000,23596000,-27692000,119486000,57275000,-16978000,-154000,40143000,-48731000,-141657000,17972000,17972000,873000,18845000,111794000,1.15e+08,0.51162,0.16469,0.17299,0.09368,0.04936,0.65784,0.89788,0.06127,0.1883,0.1883,1.08852,2.01002,0.09905,6,0.10187,0.52601,-0.02077,-0.02633
"46","2021_Q3",36.6190625,"Up",638204000,-297862000,340342000,-206788000,-183482000,-23306000,133554000,385000,-506000,133939000,133939000,-35085000,98854000,98854000,98854000,98854000,128528000,128528000,168299000,142868000,25431000,29952000,49546000,49546000,376325000,134911000,1410457000,108517000,664118000,625011000,1545368000,1921693000,197742000,74815000,122927000,302252000,151379000,150873000,518744000,283015000,273685000,352265000,871009000,590921000,470653000,-10890000,1050684000,1050684000,1921693000,98854000,23306000,5340000,99719000,-90000.0000000075,-11407000,-21000.0000000001,-11518000,-41290000,-76237000,11964000,11964000,-758000.000000001,11206000,156860000,8.8e+07,0.53328,0.20927,0.15489,0.09409,0.05144,0.72545,0.82899,0.04579,0.20096,0.20096,1.29743,2.13598,0.08394,6,0.09858,0.41769,-0.25837,-0.30346
"47","2021_Q4",34.38921875,"Down",650199000,-305474000,344725000,-217878000,-194261000,-23617000,126847000,225000,-222000,127072000,127072000,-33219000,93853000,93853000,93853000,93853000,117655000,117655000,180160000,152866000,27294000,26976000,48663000,48663000,373454000,131549000,1399810000,108231000,665645000,613452000,1531359000,1904813000,169584000,38509000,131075000,289162000,151645000,137517000,477496000,276438000,263150000,325688000,803184000,594533000,524561000,-17465000,1101629000,1101629000,1904813000,93853000,23617000,11259000,79706000,-6249000,-11307000,35000,-17521000,-40254000,-66794000,-4609000,-4609000,-6264000,-10873000,150464000,6.8e+07,0.53018,0.19509,0.14435,0.08519,0.04927,0.78211,0.72909,0.0357,0.19065,0.19115,1.32081,2.23784,0.08177,8,0.09274,0.4289,-0.33001,-0.39146
"48","2022_Q1",32,"Down",600343000,-297729000,302614000,-203577000,-187538000,-16039000,99037000,2585000,504000,101622000,101622000,-30407000,71215000,71215000,71215000,71215000,105301000,105301000,165731000,165731000,26813869.2546382,28926000,52422000,52422000,352380000,133257000,1488806000,108976000,786504000,581647000,1669160000,2021540000,178844000,44568000,134276000,293568000,145122000,148446000,491162000,282911000,282911000,419161000,910323000,597540000,530088000,-16411000,1111217000,1111217000,2021540000,71215000,16039000,8985000,102894000,-3692000,-106406000,29000,-110069000,-89075000,-5471000,-12646000,-12646000,292000,-12354000,115076000,1.55e+08,0.50407,0.16497,0.11862,0.06409,0.03523,0.71744,0.81921,0.07667,0.14472,0.14434,1.21996,2.2581,0.18101,7,0.10347,1.25079,0.43188,0.50182
"49","2022_Q2",33.9714516129032,"Up",590680000,-295378000,295302000,-203632000,-178785000,-24847000,91670000,711000,-568000,92381000,92381000,-19936000,72445000,72445000,72445000,72445000,258338000,258338000,164252000,137621000,26631000,29062000,44860000,44860000,496512000,132680000,1455759000,109520000,730139000,606010000,1634631000,2131143000,152601000,38586000,114015000,313296000,156516000,156780000,480897000,261934000,261934000,542717000,1023614000,597244000,524159000,-13874000,1107529000,1107529000,2131143000,72445000,24847000,11162000,87532000,-6705000,-13223000,43253.6150132573,-19928000,-55639000,82093000,149697000,149697000,3340000,153037000,116517000,295783000,0.49994,0.15519,0.12265,0.06541,0.03399,1.03247,0.92423,0.13879,0.14723,0.14723,1.20047,2.25089,0.11308,5,0.07692,0.76802,0.32137,0.40848
"50","2022_Q3",35.793125,"Up",714049000,-336780000,377269000,-244312000,-219987000,-24325000,132957000,1031000,-880000,133988000,133988000,-33689000,100299000,100299000,100299000,100299000,220964000,220964000,192577000,162755000,29822000,29515000,63942000,63942000,506998000,130424000,1477099000,111040000,742019000,614036000,1660484000,2167482000,184374000,50702000,133672000,318370000,165220000,153150000,517744000,284313000,284313000,504171000,1021915000,601487000,575229000,-31149000,1145567000,1145567000,2167482000,100299000,24325000,7541000,127285000,-5886000,-36357000,139000,-42104000,-49805000,-112733000,-27552000,-27552000,-9822000,-37374000,157282000,234858000,0.52835,0.1862,0.14047,0.08755,0.04627,0.97924,0.89206,0.10836,0.20372,0.20368,1.45036,2.32684,0.10116,5,0.09017,0.49657,0.08834,0.1045
