"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"31","2018_Q2",28.5859375,"Down",28009000,-23397000,4612000,-2544000,-2544000,2068000,-130000,-219000,1938000,2189000,-660000,1529000,1529000,1529000,1529000,47794000,47794000,16744000,16744000,4112000,2377000,1735000,68650000,56320000,116108000,100550000,172428000,241078000,5675000,2586000,3089000,6769000,1596000,12444000,23713000,21382000,2331000,48713000,61157000,63222000,-34654000,151353000,179921000,179921000,241078000,2.5e+07,0.16466,0.07383,0.05459,0.0085,0.00634,5.51671,0.33991,0.1037,0.26173,0.26173,4.79442,30.79784,0.04304,-11.02224
"32","2018_Q3",27.8222222222222,"Down",32234000,-23140000,9094000,-2848000,-2848000,6246000,-67000,-255000,6179000,5966000,-1795000,4171000,4171000,4171000,4171000,52911000,52911000,18564000,18564000,3645000,1851000,1794000,75120000,56101000,114950000,99392000,171051000,246171000,6022000,2400000,3622000,8902000,1644000,14924000,23833000,22167000,1666000,48833000,63757000,63775000,-35108000,153747000,182414000,182414000,246171000,2.5e+07,0.28212,0.19377,0.1294,0.02287,0.01694,5.0335,0.34952,0.10156,0.71495,0.71495,5.5252,31.2674,0.02573,-4.46862
"33","2018_Q4",26.6426984126984,"Down",31648000,-23429000,8219000,-2813000,-2813000,5406000,-51000,201000,5355000,5270000,-1575000,3695000,3695000,3695000,3695000,48794000,48794000,18924000,18924000,3843000,2110000,1733000,71561000,56152000,114848000,99290000,1.71e+08,242561000,5604000,2216000,3388000,8129000,1527000,13733000,24670000,22952000,1718000,44670000,58403000,64346000,-35856000,155668000,184158000,184158000,242561000,2e+07,0.2597,0.17082,0.11675,0.02006,0.01523,5.21088,0.31714,0.08245,0.63466,0.63466,5.43593,31.6314,0.0239,-5.3263
"34","2019_Q1",25.4545901639344,"Down",32938000,-23761000,9177000,-3215000,-3154000,5962000,-44000,-42000,5918000,5965000,-1670000,4295000,4295000,4295000,4295000,44729000,44729000,19984000,19984000,3882000,2556000,1326000,68595000,59103000,120779000,101940000,179882000,248477000,8959000,2613000,3072000,9206000,1307000,23165000,25313000,23732000,1581000,40313000,63478000,64871000,-36561000,156689000,184999000,184999000,248477000,2e+07,0.27861,0.18101,0.1304,0.02322,0.01729,2.96115,0.34313,0.08049,0.73823,0.73823,5.6614,31.7977,0.01865,-4.14777
"35","2019_Q2",23.7009523809524,"Down",27816000,-23163000,4653000,-2685000,-2685000,1968000,-45000,-45000,1923000,1920000,-550000,1370000,1370000,1370000,1370000,39170000,39170000,16928000,16928000,3575000,1937000,1638000,59673000,58739000,127041000,108067000,185780000,245453000,6662000,2026000,4636000,7755000,1539000,14417000,30710000,23912000,6798000,45710000,60127000,65317000,-36266000,156275000,185326000,185326000,245453000,1.5e+07,0.16728,0.07075,0.04925,0.00739,0.00558,4.13907,0.32444,0.06111,0.23455,0.23455,4.7622,31.72847,0.02782,-12.2815
"36","2019_Q3",23.15640625,"Down",32191000,-22879000,9312000,-2706000,-2706000,6606000,-24000,-24000,6582000,6584000,-1850000,4734000,4734000,4734000,4734000,38512000,38512000,18937000,18937000,3924000,2106000,1818000,61373000,59240000,126539000,107565000,185779000,247152000,8528000,1840000,4904000,9038000,1664000,17566000,30992000,24432000,6560000,40992000,58558000,65882000,-36513000,159225000,188594000,188594000,247152000,1e+07,0.28927,0.20521,0.14706,0.0251,0.01915,3.49385,0.3105,0.04046,0.80992,0.809919999999999,5.50744,32.26587,0.02062,-4.31608
"37","2019_Q4",23.7715625,"Up",31274000,-23600000,7674000,-2788000,-2788000,4886000,-7000,-18000,4879000,4794000,-1460000,3334000,3334000,3334000,3334000,41072000,41072000,18039000,18039000,4329000,2714000,1615000,63440000,59234000,126325000,107351000,185559000,248999000,8691000,2037000,4873000,8515000,1461000,17206000,31390000,24832000,6558000,41390000,58596000,66414000,-36789000,160778000,190403000,190403000,248999000,1e+07,0.24538,0.15623,0.10661,0.01751,0.01339,3.68709,0.30775,0.04016,0.57148,0.57148,5.36064,32.63678,0.02208,-6.35939
"38","2020_Q1",23.2856451612903,"Down",31791000,-23050000,8741000,-3393000,-3281000,5348000,-33000,-38000,5315000,5401000,-1560000,3841000,3841000,3841000,3841000,44034000,44034000,18962000,18962000,3724000,2478000,1246000,66720000,58711000,126963000,1.08e+08,185674000,252394000,16349000,2117000,12435000,1152000,1152000,17501000,32541000,25152000,7389000,42541000,60042000,66888000,-37358000,162822000,192352000,192352000,252394000,1e+07,0.27495,0.16822,0.12082,0.01997,0.01522,3.81235,0.31215,0.03962,0.66042,0.660420000000001,5.46613,33.0729,0.02393,-6.36387
"39","2020_Q2",21.0398412698413,"Down",26051000,-21142211.1054027,7196539.41020102,-23884000,-3015000,2167000,213000,0,2380000,2380000,-7e+05,1680000,1680000,1680000,1680000,46292000,46292000,16984000,16984000,3565000,2313000,1252000,66841000,57976000,126703000,107597000,184679000,251520000,8910000,1926000,5065000,7169000,1143000,16079000,32528000,25267000,7261000,42528000,58607000,67326000,-36996000,162583000,192913000,192913000,251520000,1e+07,0.242444859590077,0.08318,0.06449,0.00871,0.00668,4.15704,0.3038,0.03976,0.2864,286.39618,4.44102,32.88663,0.01477,-16.74758
"40","2020_Q3",18.6665625,"Down",16866000,-19410804.3870383,4244067.98029662,19083000,-3070000,-4902000,-57000,-57000,-4959000,-8716000,3805000,-4911000,-4911000,-4911000,-4911000,48909000,48909000,10164000,10164000,4607000,2949000,1658000,63680000,56860000,122513000,103407000,179373000,243053000,6677000,1842000,4835000,8033000,1562000,14710000,29750000,22652000,7098000,39750000,54460000,67938000,-37017000,157672000,188593000,188593000,243053000,1e+07,0.175022896254791,-0.29064,-0.29118,-0.02604,-0.02021,4.32903,0.28877,0.04114,-0.83691,-0.418740000000014,2.87423,32.13923,-0.0131,7.93737
