"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q3",4.85746031746032,"Up",125436000,-86807000,38629000,-40074000,-40074000,-1445000,-2e+05,-282000,-1645000,-1645000,649000,-996000.000000004,43898000,-1000.00000000001,43897000,43897000,16738000,16738000,160656000,160656000,25365000,7770000,4723000,12872000,202759000,14880000,4466000,85374000,4965000,51942000,3695000,24772000,104720000,307479000,97075000,87384000,9691000,4532000,15316000,5334000,9982000,116923000,32374000,38231000,15866000,2670000,19695000,70605000,187528000,194497000,-30041000,-39802000,-6681000,117973000,1978000,119951000,307479000,-996000,1660000,5711000,-5589000,4037000,-1202000,128045000,-124789000,801000,801000,-128044000,4038000,4038000,-5954000,-1916000,215000,36906000,-7225000,0.30796,-0.01152,0.34996,0.36596,0.14276,-0.16459,1.73412,1.56337,0.12003,0.84495,0.84495,2.41446,2.27081,-0.13907,0.22501,-0.03703,93.80465,-13.95709
"29","2017_Q4",5.27063492063492,"Up",123192000,-85875000,37317000,-38945000,-38945000,-1628000,-1035000,-1035000,-2663000,-2663000,1068000,-1595000,-4239000,-55000,-4294000,-4294000,14933000,14933000,155562000,155562000,23640000,7628000,4515000,11497000,194135000,13940000,4469000,77601000,4556000,53041000,3573000,16431000,96010000,290145000,95040000,82717000,12323000,2695000,14191000,3761000,10430000,111926000,31443000,27736000,9511000,2874000,15351000,59179000,171105000,195896000,-30041000,-44097000,-5150000,116608000,2432000,119040000,290145000,-1595000,1756000,2414000,3348000,-1399000,-353000,-293000,-2383000,1126000,1126000,-1257000,-2949000,-2949000,1208000,-1741000,128000,34138000,2055000,0.30292,-0.01322,-0.03486,-0.03607,-0.0148,-0.47857,1.73449,1.43737,0.11766,-0.08199,-0.08199,2.35229,2.22658,0.03924,-0.02374,0.01136,150.03906,-11.79668
"30","2018_Q1",5.64508196721312,"Up",118988000,-85692000,33296000,-38704000,-38704000,-5408000,2764000,-965000,-2644000,-2644000,-3471000,-6115000,-9880000,-2999.99999999999,-9883000,-9883000,21353000,21353000,147611000,147611000,29447000,9053000,2139000,18255000,198411000,12004000,3639000,79241000,3908000,52658000,4052000,18623000,94884000,293295000,99715000,83221000,16494000,3241000,22918000,13945000,8973000,125874000,34541000,22210000,7212000,933000,14065000,56751000,182625000,197110000,-30041000,-53983000,-4011000,109075000,1595000,110670000,293295000,-6115000,1512000,1919000,7353000,2252000,43000,-933000,2855999.99999999,77000,77000,2758000,4077000,4077000,1274000,5351000,-3896000,37782000,6971000,0.27983,-0.04545,-0.08306,-0.0893,-0.0337,-0.70535,1.57627,1.65018,0.12882,-0.18819,-0.18819,2.2657,2.07695,0.13274,-0.05791,0.04085,-4.21689000000003,-3.03791
"31","2018_Q2",5.59609375,"Down",113897000,-79212000,34685000,-32787000,-32787000,1898000,-534000,-1334000,1364000,-6574000,-1095000,-7669000,-8151000,2000,-8149000,-8149000,17820000,17820000,140408000,140408000,32616000,8612000,2343000,21661000,190844000,12067000,4300000,78276000,3525000,53030000,4065000,17656000,94643000,285487000,95232000,78642000,16590000,2782000,17145000,8651000,8494000,115159000,37413000,27954000,11887000,942000,15125000,65367000,180526000,200163000,-29986000,-62132000,-3590000,104455000,506000,104961000,285487000,-7669000,1291000,1896000,-1062000,-6026000,-986000,-1108000,1980000,2350000,2350000,4330000,-2804000,-2804000,-601000,-3405000,3189000,40195000,2236000,0.30453,0.01666,-0.07155,-0.07764,-0.02854,-0.27439,1.65722,1.71993,0.14079,-0.15378,-0.15378,2.14932,1.97115,0.0422,-0.04707,0.01292,7.01631,11.78872
"32","2018_Q3",5.79333333333333,"Up",112148000,-78946000,33202000,-37858000,-37858000,-4656000,-115000,-1246000,-4771000,-4771000,-2293000,-7064000,-7445000,-38000,-7483000,-7483000,22584000,22584000,144816000,144816000,33864000,8597000,1240000,24027000,201264000,11938000,4413000,71604000,2919000,49479000,4917000,14289000,87955000,289219000,97692000,82674000,15018000,3753000,18550000,8716000,9834000,119995000,42092000,20208000,10082000,667000,9459000,62300000,182295000,207166000,-28231000,-69615000,-2959000,106361000,563000,106924000,289219000,-7064000,1216000,-1540000,-1301000,-9070000,-1014000,-1637000,5740000,8670000,8670000,14410000,3703000,3703000,-941000,2762000,-3440000,45845000,-3462000,0.29606,-0.04152,-0.06672,-0.06998,-0.02587,0.46265,1.67727,1.7049,0.15851,-0.1363,-0.1363,2.04269,1.93729,-0.06306,-0.04326,-0.02001,-6.76191999999999,-4.99592
"33","2018_Q4",3.23173076923077,"Down",101935000,-68811000,33124000,-41478000,-41478000,-8354000,-590000,-1275000,-8944000,-8944000,460000,-8484000,-8484000,-60000,-8544000,-8544000,23083000,23083000,137927000,137927000,37941000,8427000,1315000,28199000,198951000,11502000,3799000,67959000,2433000,48404000,3839000,13283000,83260000,282211000,91673000,83346000,8327000,2986000,19444000,10210000,9234000,114103000,44843000,23305000,13458000,403000,9444000,68148000,182251000,208013000,-28231000,-78159000,-2278000,99345000,615000,99960000,282211000,-8484000,926000,5473000,3055000,970000,-328000,-328000,1782000,698000,698000,2480000,3122000,3122000,996000,4118000,-7428000,47829000,-5161000,0.32495,-0.08195,-0.08382,-0.08547,-0.03028,0.60405,1.74361,1.82324,0.16948,-0.15401,-0.15401,1.83746,1.79077,-0.09303,-0.04994,-0.03016,-3.33145,-2.96217
"34","2019_Q1",3.19819672131148,"Down",100699000,-71019000,29680000,-35915000,-35915000,-6235000,251000,-1455000,-5984000,-5984000,-1311000,-7295000,-7295000,10000,-7285000,-7285000,18711000,18711000,117469000,117469000,46915000,5554000,758000,40603000,183095000,10787000,3015000,67872000,1316000,48869000,4521000,13166000,81674000,264769000,88862000,80036000,8826000,3364000,16813000,11169000,5644000,109039000,44587000,16698000,5105000,418000,11175000,61285000,170324000,210090000,-28231000,-85444000,-2575000,93840000,605000,94445000,264769000,-7295000,1997000,820000,-7293000,-11771000,1000,1000,117000,90000,89999.9999999991,206999.999999999,-11563000,-11563000,4275000,-7288000,-4238000,47951000,-10219000,0.29474,-0.06192,-0.07234,-0.07713,-0.02751,1.40275,1.67917,1.80342,0.18111,-0.13078,-0.13078,1.80769,1.68456,-0.18345,-0.04579,-0.06423,-6.89948,-4.68966
"35","2019_Q2",2.63920634920635,"Down",98683000,-67247000,31436000,-31311000,-31311000,125000,-1098000,-1512000,-973000,-973000,-1095000,-2068000,-2068000,-67000,-2135000,-2135000,25746000,25746000,112609000,112609000,44655000,5288000,957000,38410000,183010000,10984000,3068000,86165000,1165000,48340000,4777000,31883000,100217000,283227000,96716000,86868000,9848000,3778000,19779000,9097000,10682000,120273000,45081000,27109000,3752000,326000,23031000,72190000,192463000,210331000,-28231000,-87579000,-4381000,90140000,624000,90764000,283227000,-2068000,791000,1902000,7833000,8458000,-873000,-873000,926000,34000,34000,960000,8545000,8545000,-1033000,7512000,916000,48859000,8971000,0.31856,0.00127,-0.02163,-0.02352,-0.00754,-4.20187,1.52162,2.12048,0.17251,-0.03816,-0.03816,1.7639,1.6112,0.16035,-0.0128,0.0538,25.23253,184.904
"36","2019_Q3",2.91578125,"Up",98257000,-66955000,31302000,-27415000,-27415000,3887000,-694000,-1411000,3193000,3193000,-1493000,1700000,1700000,-83000,1617000,1617000,18739000,18739000,109491000,109491000,53044000,6423000,1362000,45259000,181274000,11021000,2573000,85896000,1026000,48736000,4846000,31288000,99490000,280764000,87842000,77671000,10171000,3002000,22125000,9730000,12395000,112969000,48379000,25058000,2600000,345000,22113000,73437000,186406000,211245000,-28231000,-85962000,-3513000,93539000,819000,94358000,280764000,1700000,794000,190000,-9706000,-7022000,-702000,-702000,2861000,113000,113000,2974000,-4750000,-4750000,99000,-4651000,4681000,51381000,-4234000,0.31857,0.03956,0.01646,0.01714,0.00576,-2.61843,1.60463,1.97552,0.183,0.02886,0.02886,1.75359,1.66939,-0.0755600000000001,0.00947,-0.02479,6.9733,8.39774
"37","2019_Q4",2.9903125,"Up",95670000,-64086000,31584000,-27437000,-27437000,4147000,-156000,-1485000,3991000,2167000,340000,2507000,2507000,-26000,2481000,2481000,17350000,17350000,110575000,110575000,53750000,7651000,1458000,44641000,181675000,11597000,2665000,83028000,929000,47041000,3665000,31393000,97290000,278965000,81715000,74160000,7555000,3266000,21202000,10660000,10542000,106183000,48680000,26220000,3419000,308000,22493000,74900000,181083000,212499000,-28231000,-83481000,-3756000,97031000,851000,97882000,278965000,2507000,850000,2454000,-6531000,-720000,-1383000,-1383000,511000,20000,20000,531000,-1572000,-1572000,764000,-808000,4997000,51946000,-3257000,0.33013,0.04335,0.02593,0.02535,0.00889,-1.31278,1.71096,1.85001,0.18621,0.04387,0.04387,1.6916,1.71566,-0.05759,0.01409,-0.0185,6.92335,8.34242
"38","2020_Q1",2.85290322580645,"Down",83827000,-51299000,32528000,-23583000,-23583000,8945000,-852000,-1387000,8093000,8758000,3357000,12115000,12115000,6000,12121000,12121000,15915000,15915000,103892000,103892000,51497000,9340000,2256000,39901000,171304000,11895000,1711000,84641000,232000,48024000,3800000,32585000,98247000,269551000,68324000,65172000,3152000,1792000,21385000,10773000,10612000,91501000,41150000,26672000,3041000,419000,23212000,67822000,159323000,212765000,-28231000,-71360000,-3817000,109357000,871000,110228000,269551000,12115000,1389000,-8932000,4691000,9263000,-978000,-978000,-9423000,27000,27000,-9396000,-1111000,-1111000,933000,-178000,10334000,42942000,10690000,0.38804,0.10671,0.1446,0.10996,0.04497,0.88194,1.87215,1.44539,0.15931,0.2142,0.2142,1.48141,1.93258,0.18892,0.0674,0.05944,2.61535,3.02146000000001
"39","2020_Q2",1.6768253968254,"Down",93308000,-65048000,28260000,-28098000,-28098000,162000,-930000,-1299000,-768000,-4819000,-1603000,-6422000,-6422000,-159000,-6581000,-6581000,16083000,16083000,108109000,108109000,58503000,11879000,2176000,44448000,182695000,10167000,1628000,77065000,205000,44591000,3074000,29195000,88860000,271555000,69980000,66394000,3586000,3071000,20636000,9090000,11546000,93687000,50470000,24168000,1437000,418000,22313000,74638000,168325000,213269000,-29056000,-77941000,-3913000,102359000,871000,103230000,271555000,-6422000,2424000,6536000,-13470000,-10932000,-833000,-833000,10739000,50000,50000,10789000,-976000,-976000,-513000,-1489000,2586000,53541000,-10114000,0.30287,0.00174,-0.07053,-0.06375,-0.02423,1.53685,1.95006,1.63058,0.19716,-0.11639,-0.11639,1.65021,1.81029,-0.17887,-0.03637,-0.0559,14.48492,231.22222
"40","2020_Q3",1.44453125,"Down",94449000,-65032000,29417000,-26857000,-26857000,2560000,-4129000,-1296000,-1569000,-1834000,-102000,-1936000,-1936000,-18000,-1954000,-1954000,23198000,23198000,105435000,105435000,58935000,12658000,1542000,44735000,187568000,9771000,2667000,74876000,178000,44431000,2929000,27338000,87314000,274882000,68802000,66914000,1888000,1828000,21477000,7628000,13849000,92107000,53570000,22012000,1321000,418000,20273000,75582000,167689000,214167000,-29056000,-79895000,1279000,106495000,698000,107193000,274882000,-1936000,251000,4087000,3976000,6377999.99999999,-139000,-139000,2120000,151000,151000,2271000,8510000,8501000,-333000,8168000,2811000,55398000,6750000,0.31146,0.0271,-0.02069,-0.01823,-0.00711000000000001,-3.45445,2.03641,1.56437,0.20153,-0.03464,-0.03464,1.67436,1.88791,0.11966,-0.01058,0.03656,11.455,12.57812
"41","2020_Q4",1.64328125,"Up",88652000,-59998000,28654000,-25588000,-25588000,3066000,-444000,-1275000,2622000,3316000,-1071000,2245000,2245000,-131000,2114000,2114000,33270000,33270000,104764000,104764000,56260000,12148000,1822000,42290000,194294000,9485000,3055000,75603000,165000,45253000,3104000,27081000,88143000,282437000,70403000,68452000,1951000,3261000,22274000,9180000,13094000,95938000,54362000,21625000,1887000,418000,19320000,75987000,171925000,214602000,-29056000,-77781000,1673000,109438000,1074000,110512000,282437000,2245000,705000,4268000,602000,7820000,-129000,-129000,1984000,20000,20000,2004000,9695000,9695000,749000,10444000,3771000,57623000,5315000,0.32322,0.03458,0.02385,0.01913,0.00748,2.51419,2.0252,1.55571,0.20402,0.03728,0.03728,1.5635,1.93009,0.09374,0.01114,0.02801,6.45797,7.94292
"42","2021_Q1",2.5872131147541,"Up",92115000,-59095000,33020000,-28672000,-28672000,4348000,-2146000,-1354000,2202000,2901000,-4358000,-1457000,-1457000,-304000,-1761000,-1761000,34229000,34229000,121471000,121471000,27203000,9378000,2298000,15527000,182903000,9443000,2805000,76848000,2253000,46397000,3698000,24500000,89096000,271999000,64620000,62401000,2219000,987000,13968000,3305000,10663000,79575000,48294000,34842000,7488000,1210000,26144000,83136000,162711000,215016000,-29056000,-79542000,1318000,107736000,1552000,109288000,271999000,-1457000,658000,-785000,10628000,9044000,-742000,-1792000,-8605000,24000,24000,-8581000,-1329000,-780000,87999.9999999998,-692000,5006000,49281000,19250000,0.35846,0.0472,-0.01912,-0.01611,-0.00647,-10.93129,2.2985,1.48883,0.18118,-0.03103,-0.03103,1.62291,1.89813,0.33915,-0.0091,0.09953,3.00679,3.46182
"43","2021_Q2",2.66714285714286,"Up",87086000,-59855000,27231000,-27686000,-27686000,-455000,-757000,-1347000,-1212000,-1499000,-1076000,-2575000,-2575000,-116000,-2691000,-2691000,18935000,18935000,106786000,106786000,54524000,11343000,644000,42537000,180245000,9593000,3352000,83026000,2793000,45178000,3612000,31443000,95971000,276216000,65603000,63350000,2253000,2165000,16371000,3436000,12935000,84139000,50606000,35908000,8194000,1309000,26405000,86514000,170653000,215508000,-29056000,-82233000,840000,105059000,504000,105563000,276216000,-2575000,694000,2214000,-17059000,-16726000,-812000,-812000,3371000,11000,11000,3382000,-14156000,-14156000,-541000,-14697000,239000,52771000,-16556000,0.31269,-0.00522,-0.0309,-0.02549,-0.00974,6.15236,2.14223,1.6166,0.19105,-0.04723,-0.04723,1.52841,1.84385,-0.29057,-0.01385,-0.08523,141.57322,-74.36484
"44","2021_Q3",2.32640625,"Down",101546000,-70263000,31283000,-27098000,-27098000,4185000,-841000,-1504000,3344000,1391000,-1793000,-402000,-402000,-91000,-493000,-493000,20978000,20978000,106594000,106594000,66055000,14732000,1077000,50246000,193627000,9248000,3104000,82915000,2780000,45629000,3672000,30834000,95267000,288894000,73162000,71335000,1827000,23817000,19370000,3180000,16190000,116349000,29602000,36722000,7798000,1316000,27608000,66324000,182673000,216482000,-29056000,-82726000,1021000,105721000,5e+05,106221000,288894000,-402000,595000,2321000,1053000,3567000,-275000,-958000,854000,84000,84000,938000,3547000,3547000,-1564000,1983000,4780000,53419000,7351000,0.30807,0.04121,-0.00485,-0.00464,-0.00171,-14.91075,1.66419,1.71974,0.18491,-0.00865,-0.00865,1.7822,1.85547,0.12901,-0.00251,0.03744,6.78682000000003,7.75172999999998
"45","2021_Q4",2.06203125,"Down",96604000,-64196000,32408000,-28121000,-28121000,4287000,-675020,-1226000,3611980,3100980,-1784000,1316980,1316980,-58000,1258980,1258980,26293000,26293000,115049000,115049000,59157000,13494000,1026000,44637000,200499000,8816000,2511000,82475000,2767000,44903000,3880000,30925000,93802000,294301000,81251000,80230000,1021000,22780000,18742000,4339000,14403000,122773000,29442000,35259000,7527000,1299000,26433000,64701000,187474000,216948000,-29056000,-81467000,-66000,106359000,468000,106827000,294301000,1318000,567000,749000,3532000,6166000,-110000,-108000,-1058000,23000,23000,-1035000,5023000,5023000,-549000,4474000,4854000,52222000,10060000,0.33547,0.04438,0.01303,0.01179,0.00428,7.9906,1.63309,1.75493,0.17744,0.02224,0.02224,1.70669,1.87903,0.17773,0.00648,0.05177,5.34178,6.04829
"46","2022_Q1",1.90064516129032,"Down",92202000,-59446000,32756000,-30685000,-30685000,2071000,-940980,-1350000,1130020,754020,-3036000,-2281980,-2281980,-64000,-2345980,-2345980,21821000,21821000,119516000,119516000,49146000,9937000,2163000,37046000,190483000,8895000,2038000,81641000,3002000,44127000,2165000,32347000,92574000,283057000,66466000,63856000,1912597.70635492,25841000,15117000,4088000,11029000,107424000,29302000,43092000,9541000,959000,32592000,72394000,179818000,217477000,-29056000,-83813000,-1813000,102795000,444000,103239000,283057000,-2283000,585000,1538000,-5510000,-5670000,-5e+05,-497000,2822000,75000,75000,2897000,-3270000,-5381000,2654000,-2727000,2656000,55143000,-318000,0.35526,0.02246,-0.02544,-0.02272,-0.00829,0.135549999999998,1.77319,1.74176,0.19481,-0.04145,-0.04145,1.62892,1.81607,-0.00562000000000001,-0.01164,-0.00158,12.54593,16.08981
"47","2022_Q2",1.45532258064516,"Down",102238000,-70402000,31836000,-29543000,-29543000,2293000,-719000,-1326000,1574000,-162000,-438000,-6e+05,-6e+05,56000,-544000,-544000,23935000,23935000,123300000,123300000,43050000,10735000,2115000,30200000,190285000,8946000,1535000,81206000,2989000,43366000,2099000,32752000,91687000,281972000,69585000,66109000,3476000,9282000,13499000,3610000,9889000,92366000,51089000,37963000,5341000,952000,31670000,89052000,181418000,217885000,-29056000,-84357000,-4451000,100021000,533000,100554000,281972000,-6e+05,589000,1197000,-4529000,-3343000,-732000,-732000,5295000,21000,21000,5316000,1241000,1241000,-1306000,-65000,2882000,60371000,-1941000,0.31139,0.02243,-0.00532,-0.00541,-0.00193,3.56801,2.06012,1.80418,0.2141,-0.0095,-0.0095,1.78457,1.74587,-0.03388,-0.00274,-0.00976,12.64261,15.8901
"48","2022_Q3",2.476875,"Up",105728000,-68301000,37427000,-32254000,-32254000,5173000,-1252000,-1381000,3921000,2731000,-1341000,1390000,1390000,42000,1432000,1432000,20333000,20333000,131117000,131117000,44725000,10981000,2381000,31363000,196175000,8734000,1124000,78727000,2976000,41805000,2071000,31875000,88585000,284760000,72616000,68808000,3808000,28989000,17919000,4406000,13513000,119524000,28979000,35912000,5381000,936000,29595000,64891000,184415000,218304000,-29056000,-82927000,-6463000,99858000,487000,100345000,284760000,1390000,596000,2636000,-4984000,-362000,-406000,-406000,-2123000,35000,35000,-2088000,-2856000,-2856000,-376000.000000001,-3232000,5769000,57968000,1720000,0.35399,0.04893,0.01354,0.01427,0.00503,1.20112,1.6413,1.83781,0.20357,0.025,0.025,1.84549,1.74303,0.03002,0.00737,0.00886,6.52366,7.27528
