"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",41.3053968253968,"Up",1.348e+09,-1.291e+09,-1.11e+08,-4.1e+07,-7.59e+08,-3.8e+08,-2.81e+08,-5.7e+07,-7.9e+07,2.2e+07,-3.38e+08,-2.567e+09,1.974e+09,-5.93e+08,-5.93e+08,-3.1e+07,-6.24e+08,-6.35e+08,2.526e+09,2.526e+09,3.72e+08,2.52e+08,2.52e+08,4.083e+09,2.0279e+10,4.7855e+10,-2.7576e+10,2.238e+09,3.6e+08,1.48e+09,3.98e+08,2.2517e+10,2.66e+10,2.092e+09,4.21e+08,1.671e+09,1.22e+08,2.214e+09,6.592e+09,3.366e+09,5.84e+08,2.782e+09,9.958e+09,1.2172e+10,6.165e+09,8.438e+09,-1.472e+09,1.3132e+10,1.296e+09,1.4428e+10,2.66e+10,-5.93e+08,7.59e+08,2.62e+08,-3.4e+08,8.8e+07,9.1e+07,-1e+06,9e+07,-9.1e+07,-1.9e+07,-3.4e+07,-1.44e+08,3.4e+07,3.4e+07,3.4e+07,4.78e+08,6.714e+09,-1.745e+09,-0.20846,-0.47107,-0.04401,-0.02387,2.74803,1.84417,0.84364,0.25241,-2.01908,-2.01908,4.28617,41.75199,-5.54849,0.28935,-0.0222,-0.0712,-0.14331,8.76151,-14.90391
"32","2018_Q1",45.1334426229508,"Up",1.663e+09,-1.526e+09,-1.33e+08,-3.56e+08,-6.46e+08,-3.91e+08,-3.39e+08,-7.6e+07,-8e+07,4e+06,-4.15e+08,-2.477e+09,-1.58e+08,-2.635e+09,-2.635e+09,-4.2e+07,-2.677e+09,-2.689e+09,4.847e+09,4.847e+09,2.32e+08,4.01e+08,4.01e+08,6.157e+09,1.6192e+10,3.2504e+10,-1.6312e+10,7.63e+08,3.6e+08,21000000.0000005,3.82e+08,1.6955e+10,2.3112e+10,1.855e+09,4.35e+08,1.42e+09,5.8e+08,2.435e+09,6.397e+09,1.926e+09,4.29e+08,1.497e+09,8.323e+09,1.0758e+10,6.139e+09,5.597e+09,-6.86e+08,1.1051e+10,1.303e+09,1.2354e+10,2.3112e+10,-2.635e+09,6.46e+08,2.481e+09,-1.49e+08,3.43e+08,1.959e+09,-2.3283064365387e-10,1.959e+09,-9e+07,2.8e+08,-6.1e+07,1.9e+07,2.321e+09,2.321e+09,2.321e+09,3.07e+08,6.977e+09,2.275e+09,-0.20385,-1.61696,-0.21766,-0.11635,-0.84604,2.52854,0.87081,0.30188,-8.57462,-8.57462,5.30293,35.23597,7.25446,0.28699,-0.12227,0.10702,-0.03347,6.93811,-6.28319
"33","2018_Q2",55.2875,"Up",1.346e+09,-8.94e+08,-1.1e+08,-4e+07,-4.17e+08,-3.27e+08,9.4e+07,-6.6e+07,-1.03e+08,3.7e+07,2.8e+07,8e+06,-7.3e+07,-6.5e+07,-6.5e+07,-4.1e+07,-1.06e+08,-1.17e+08,3.726e+09,3.726e+09,2.39e+08,3.2e+08,3.2e+08,5.014e+09,1.6181e+10,3.2906e+10,-1.6725e+10,8.77e+08,3.6e+08,2.2e+07,4.95e+08,1.7058e+10,2.2072e+10,1.708e+09,3.75e+08,1.333e+09,1.96e+08,1.904e+09,6.372e+09,1.859e+09,4.25e+08,1.434e+09,8.231e+09,1.0135e+10,6.009e+09,5.166e+09,-5.71e+08,1.0605e+10,1.332e+09,1.1937e+10,2.2072e+10,-6.5e+07,4.17e+08,4.5e+07,-1.87e+08,2.1e+08,-3.94e+08,-4e+06,-4.22e+08,-8.9e+07,-4.34e+08,-1.5e+07,-9.09e+08,-1.121e+09,-1.121e+09,-1.121e+09,5.11e+08,6.568e+09,3e+06,0.06984,-0.08692,-0.0098,-0.0053,-0.02564,2.6334,0.84904,0.29757,-0.37803,-0.37803,4.34895,34.26171,0.00969,0.28756,-0.00137,0.00015,-0.76068,5.56164,30.23404
"34","2018_Q3",61.2588888888889,"Up",1.534e+09,-9.65e+08,-1.29e+08,-6.2e+07,-4.44e+08,-3.3e+08,1.19e+08,-7.7e+07,-9.8e+07,2.1e+07,4.2e+07,27000000.0000002,-1.14e+08,-86999999.9999995,-8.7e+07,-4.3e+07,-1.3e+08,-1.42e+08,2.908e+09,2.908e+09,2.31e+08,7.71e+08,3.5e+08,4.694e+09,1.5869e+10,3.204e+10,-1.6171e+10,9.01e+08,3.6e+08,1.8e+07,5.23e+08,1.677e+10,2.1464e+10,1.858e+09,3.63e+08,1.495e+09,86999999.9999999,1.945e+09,6.352e+09,1.831e+09,4.24e+08,1.407e+09,8.183e+09,1.0128e+10,5.801e+09,4.692e+09,-5.22e+08,9.972e+09,1.364e+09,1.1336e+10,2.1464e+10,-86999999.9999995,4.44e+08,1.06e+08,-3.8e+07,4.25e+08,-4.66e+08,-1e+06,-4.84e+08,-8.7e+07,-1.57e+08,4e+06,-7.59e+08,-8.18e+08,-8.18e+08,-8.18e+08,5.63e+08,6.439e+09,1.73e+08,0.07757,-0.0925699999999999,-0.01253,-0.00662,-1.21831,2.41337,0.89344,0.29999,-0.477309999999998,-0.477310000000001,5.1563,33.51597,0.581510000000001,0.29244,-0.00281,0.00882000000000001,-0.61268,6.27176,29.67227
"35","2018_Q4",53.1842857142857,"Down",1.793e+09,-1.114e+09,-1.43e+08,-1.69e+08,-4.89e+08,-3.13e+08,1.88e+08,-7.8e+07,-9.9e+07,2.1e+07,1.1e+08,1.24e+08,-1.21e+08,3e+06,3e+06,-4.5e+07,-4.2e+07,-5.3e+07,3.004e+09,3.004e+09,2.63e+08,3.43e+08,3.43e+08,4.501e+09,1.6013e+10,3.2619e+10,-1.6606e+10,9.53e+08,3.6e+08,1e+07,5.83e+08,1.6966e+10,2.1467e+10,1.873e+09,3.83e+08,1.49e+09,8.5e+07,1.958e+09,6.609e+09,1.854e+09,4.25e+08,1.429e+09,8.463e+09,1.0421e+10,5.741e+09,4.41e+09,-5.02e+08,9.65e+09,1.396e+09,1.1046e+10,2.1467e+10,3e+06,4.89e+08,1.89e+08,-2.58e+08,4.23e+08,3.4e+07,-3e+06,5e+06,-8.6e+07,-1.9e+07,3e+06,-3.32e+08,9.6e+07,9.6e+07,9.6e+07,6.77e+08,6.694e+09,5.74e+08,0.10485,-0.02956,-0.0048,-0.00247,-10.83019,2.29877,0.94342,0.31183,-0.18009,-0.18009,6.09242,32.78627,1.95039,0.29222,0.00168,0.02929,-1.62264,5.45052,19.62766
"36","2019_Q1",51.5877049180328,"Down",1.65e+09,-2.821e+09,-1.862e+09,-9.1e+07,-5.33e+08,-3.35e+08,1.28e+08,-6.7e+07,-9.9e+07,3.2e+07,6.1e+07,6.1e+07,-2.7e+07,3.4e+07,3.4e+07,-3.8e+07,-3999999.99999997,-16000000.0000001,2.694e+09,2.694e+09,2.45e+08,1.52e+09,1.52e+09,4.459e+09,1.6083e+10,3.3222e+10,-1.7139e+10,8.91e+08,3.6e+08,2.1e+07,5.1e+08,1.6974e+10,2.1433e+10,2.136e+09,4.95e+08,1.641e+09,6.7e+07,2.203e+09,6.605e+09,1.737e+09,4.21e+08,1.316e+09,8.342e+09,1.0545e+10,5.677e+09,4.257e+09,-3.06e+08,9.629e+09,1.259e+09,1.0888e+10,2.1433e+10,3.4e+07,5.33e+08,2.1e+07,2.93e+08,8.81e+08,-6.64e+08,-6.8e+07,-6.65e+08,-8.3e+07,-2.3e+07,-1.75e+08,-5.26e+08,-3.1e+08,-3.1e+08,-3.1e+08,6.61e+08,6.672e+09,3.17e+08,0.07758,-0.00970000000000004,-0.00147,-0.000750000000000001,-19.8125,2.02406,0.9685,0.3113,-0.0548900000000001,-0.0548899999999999,5.66038,33.02916,1.08748,0.28473,0.00347,0.01643,-5.1875,6.01815,31.07812
"37","2019_Q2",58.2304761904762,"Up",1.572e+09,-1.332e+09,-4.95e+08,-3.4e+07,-4.98e+08,-3.05e+08,2.4e+08,-7.1e+07,-9.8e+07,2.7e+07,1.69e+08,1.69e+08,-9.4e+07,7.5e+07,7.5e+07,-4.3e+07,3.2e+07,2.8e+07,2.3e+09,2.3e+09,2.74e+08,1.26e+09,1.26e+09,3.834e+09,1.5898e+10,3.3446e+10,-1.7548e+10,1.984e+09,3.6e+08,2.2e+07,1.602e+09,1.7882e+10,2.1716e+10,1.857e+09,3.99e+08,1.458e+09,4.14e+08,2.271e+09,7.236e+09,1.656e+09,4.2e+08,1.236e+09,8.892e+09,1.1163e+10,5.785e+09,4.207e+09,-6.5e+08,9.342e+09,1.211e+09,1.0553e+10,2.1716e+10,7.5e+07,4.98e+08,6.2e+07,-3.97e+08,2.38e+08,-6.71e+08,-2e+06,-6.8e+08,-8.8e+07,1.96e+08,-3.5e+07,4.8e+07,-3.94e+08,-3.94e+08,-3.94e+08,7.38e+08,7.65e+09,-2.36e+08,0.15267,0.01781,0.00265,0.00129,-8.42857,1.68824,1.0578,0.35227,0.09415,0.09343,5.28581,31.41224,-0.79354,0.2959,0.00584,-0.01188,3.14286,7.24932,22.29167
"38","2019_Q3",58.916875,"Up",1.66e+09,-1.434e+09,-5.66e+08,-4.3e+07,-4.94e+08,-3.31e+08,2.26e+08,-8.2e+07,-9.7e+07,1.5e+07,1.44e+08,1.66e+08,-1.32e+08,3.4e+07,3.4e+07,-4e+07,-5999999.99999999,-6000000.00000001,2.208e+09,2.208e+09,2.78e+08,1.198e+09,1.198e+09,3.684e+09,1.6107e+10,3.4098e+10,-1.7991e+10,1.904e+09,3.6e+08,2.1e+07,1.523e+09,1.8011e+10,2.1695e+10,1.989e+09,3.53e+08,1.636e+09,3.43e+08,2.332e+09,7.152e+09,1.68e+09,4.18e+08,1.262e+09,8.832e+09,1.1164e+10,5.817e+09,4.125e+09,-6.48e+08,9.294e+09,1.237e+09,1.0531e+10,2.1695e+10,3.4e+07,4.94e+08,3.2e+07,1.15e+08,6.75e+08,-6.02e+08,999999.999999993,-6.17e+08,-7.6e+07,-41000000.0000001,-3.3e+07,-1.5e+08,-9.2e+07,-9.2e+07,-9.2e+07,7.2e+08,7.495e+09,3.65e+08,0.13614,-0.00361,-0.000570000000000001,-0.00028,-60.83333,1.57976,1.06011,0.34547,-0.01985,-0.0197,5.49305,30.75447,1.20781,0.25149,0.00355,0.01852,-12.66667,7.34306,23.39381
"39","2019_Q4",62.10203125,"Up",1.58e+09,-1.475e+09,-5.13e+08,-5e+07,-5.44e+08,-3.68e+08,1.05e+08,-1.55e+08,-9e+07,-6.5e+07,-5e+07,-5e+07,-1.16e+08,-1.66e+08,-1.66e+08,-4.6e+07,-2.12e+08,-2.12e+08,1.863e+09,1.863e+09,2.89e+08,1.246e+09,1.246e+09,3.398e+09,1.6449e+10,3.4955e+10,-1.8506e+10,1.784e+09,3.6e+08,1.8e+07,1.406e+09,1.8233e+10,2.1631e+10,2.07e+09,3.96e+08,1.674e+09,2.74e+08,2.344e+09,7.14e+09,1.97e+09,4.11e+08,1.559e+09,9.11e+09,1.1454e+10,5.848e+09,3.836e+09,-7.76e+08,8.908e+09,1.269e+09,1.0177e+10,2.1631e+10,-1.66e+08,5.44e+08,1.44e+08,-7.9e+07,4.43e+08,-7.09e+08,-2e+06,-7.21e+08,-7.7e+07,1.3e+07,-3e+06,-6.7e+07,-3.45e+08,-3.45e+08,-3.45e+08,6.49e+08,7.414e+09,-2.3e+07,0.06646,-0.13418,-0.02083,-0.0098,0.10849,1.44966,1.12548,0.34275,-0.70083,-0.71165,5.22314,29.44793,-0.07603,0.25455,-0.0069,-0.00118,-0.36321,8.55316,52.86667
"40","2020_Q1",51.5762903225806,"Down",1.683e+09,-1.668e+09,-5.59e+08,-1.06e+08,-5.86e+08,-4.17e+08,1.5e+07,-7.9e+07,-9.5e+07,1.6e+07,-6.4e+07,-6.4e+07,-1.19e+08,-1.83e+08,-1.83e+08,-3.9e+07,-2.22e+08,-2.22e+08,1.545e+09,1.545e+09,2.61e+08,1.35e+09,1.35e+09,3.156e+09,1.6814e+10,3.582e+10,-1.9006e+10,1.812e+09,3.6e+08,8e+07,1.372e+09,1.8626e+10,2.1782e+10,2.311e+09,4.11e+08,1.9e+09,1.99e+08,2.51e+09,7.733e+09,1.833e+09,4.15e+08,1.418e+09,9.566e+09,1.2076e+10,5.896e+09,3.535e+09,-6.99e+08,8.732e+09,9.74e+08,9.706e+09,2.1782e+10,-1.83e+08,5.86e+08,1.17e+08,-2.34e+08,2.86e+08,-8.25e+08,-3.3e+07,-8.25e+08,-7.5e+07,5.67e+08,-3.11e+08,2.21e+08,-3.18e+08,-3.18e+08,-3.18e+08,6.01e+08,7.932e+09,-3.39e+08,0.00890999999999999,-0.13191,-0.02287,-0.01019,1.52703,1.25737,1.24418,0.36415,-0.7334,-0.7334,5.55996,28.84704,-1.11992,0.24777,-0.00755,-0.01741,-0.337839999999998,10.62729,425.8
"41","2020_Q2",43.9660317460317,"Down",1.354e+09,-1.575e+09,-4.8e+08,-1.89e+08,-5.61e+08,-3.45e+08,-2.21e+08,-9.8e+07,-1.13e+08,1.5e+07,-3.19e+08,-2.445e+09,7.9e+07,-2.366e+09,-2.366e+09,-6.7e+07,-2.433e+09,-2.433e+09,2.08e+09,2.08e+09,2.3e+08,1.96e+09,8.62e+08,4.27e+09,1.4811e+10,3.1704e+10,-1.6893e+10,1.636e+09,3.6e+08,7.7e+07,1.199e+09,1.6447e+10,2.0717e+10,1.798e+09,4.31e+08,1.367e+09,1.49e+08,1.947e+09,8.781e+09,1.811e+09,3.28e+08,1.483e+09,1.0592e+10,1.2539e+10,5.94e+09,1.021e+09,2.39e+08,7.2e+09,9.78e+08,8.178e+09,2.0717e+10,-2.366e+09,5.61e+08,2.307e+09,-5.7e+07,4.45e+08,-8.18e+08,-25819662.2894807,-8.18e+08,-8.1e+07,1.059e+09,-7e+07,9.08e+08,5.35e+08,5.35e+08,5.35e+08,3.4e+08,8.93e+09,-6.14e+08,-0.16322,-1.7969,-0.29751,-0.11744,0.25236,2.19312,1.53326,0.43105,-8.00329,-8.00329,4.45395,23.68421,-2.01974,0.26645,-0.12432,-0.03245,-0.03329,20.14706,-30.99548
"42","2020_Q3",45.84890625,"Up",8.57e+08,-9.95e+08,-1.45e+08,-3.1e+07,-5.09e+08,-3.1e+08,-1.38e+08,-1.34e+08,-1.19e+08,-1.5e+07,-2.72e+08,-2.72e+08,9e+06,-2.63e+08,-262999999.999999,-5.7e+07,-3.2e+08,-3.2e+08,1.646e+09,1.646e+09,3.6e+08,1.109e+09,6.59e+08,3.115e+09,1.4825e+10,3.2209e+10,-1.7384e+10,1.606e+09,3.6e+08,7.8e+07,1.168e+09,1.6431e+10,1.9546e+10,1.451e+09,3.07e+08,1.144e+09,1.13e+08,1.564e+09,8.783e+09,1.833e+09,3.19e+08,1.514e+09,1.0616e+10,1.218e+10,5.957e+09,6.25e+08,-1.87e+08,6.395e+09,9.71e+08,7.366e+09,1.9546e+10,-2.63e+08,5.09e+08,5.5e+07,-3.5e+07,2.66e+08,-5.68e+08,-2e+06,-5.7e+08,-7.6e+07,10000000.0000001,-7.9e+07,-1.3e+08,-4.34e+08,-4.34e+08,-4.34e+08,3.71e+08,8.896e+09,-2.41e+08,-0.16103,-0.3734,-0.04344,-0.01637,0.75312,1.99169,1.65354,0.45513,-1.04918,-1.04918,2.80984,20.96721,-0.79016,0.24918,-0.01348,-0.01332,-0.2375,19.54178,-52.53623
"43","2020_Q4",44.1203125,"Down",1.135e+09,-1.236e+09,-3.05e+08,-7.1e+07,-5.18e+08,-3.42e+08,-1.01e+08,-8.5e+07,-1.18e+08,3.3e+07,-1.86e+08,-1.78e+08,-5e+06,-1.83e+08,-1.83e+08,-6e+07,-2.43e+08,-2.43e+08,1.285e+09,1.285e+09,4.22e+08,1.429e+09,9.46e+08,3.136e+09,1.4235e+10,3.0166e+10,-1.5931e+10,1.598e+09,3.6e+08,6.7e+07,1.171e+09,1.5833e+10,1.8969e+10,1.319e+09,2e+08,1.119e+09,1.07e+08,1.426e+09,8.838e+09,1.823e+09,3.16e+08,1.507e+09,1.0661e+10,1.2087e+10,5.975e+09,3.04e+08,-3.63e+08,5.916e+09,9.66e+08,6.882e+09,1.8969e+10,-1.83e+08,5.18e+08,1.33e+08,-3.32e+08,1.36e+08,-4.26e+08,0,-4.26e+08,-7.6e+07,7.1e+07,-6.6e+07,-7.1e+07,-3.61e+08,-3.61e+08,-3.61e+08,4.17e+08,8.945e+09,-3.36e+08,-0.08899,-0.2141,-0.03531,-0.01281,1.38272,2.19916,1.75632,0.47156,-0.79646,-0.79646,3.72009,19.39036,-1.10128,0.2491,-0.00946,-0.01904,-0.31276,18.3693,-75.84158
"44","2021_Q1",62.3359016393443,"Up",1.321e+09,-1.254e+09,-3.63e+08,-6e+07,-4.86e+08,-3.45e+08,6.7e+07,-1.01e+08,-1.18e+08,1.7e+07,-3.4e+07,45000000.0000001,-7.2e+07,-2.7e+07,-2.7e+07,-7e+07,-9.7e+07,-9.7e+07,1.739e+09,1.739e+09,3.78e+08,9.64e+08,9.64e+08,3.081e+09,1.4115e+10,3.0519e+10,-1.6404e+10,1.625e+09,3.6e+08,5.9e+07,1.206e+09,1.574e+10,1.8821e+10,1.532e+09,2e+08,1.332e+09,9.1e+07,1.623e+09,8.984e+09,1.879e+09,3.42e+08,1.537e+09,1.0863e+10,1.2486e+10,5.684e+09,1.3e+08,-7.55e+08,5.366e+09,9.69e+08,6.335e+09,1.8821e+10,-2.7e+07,4.86e+08,7.3e+07,-45999999.9999999,4.86e+08,1.08e+08,-1e+06,1.07e+08,-7.6e+07,5e+06,-6.8e+07,-1.39e+08,4.54e+08,4.54e+08,4.54e+08,5.53e+08,9.075e+09,6.87e+08,0.05072,-0.0734299999999999,-0.01531,-0.00515,-7.08247,1.89834,1.97096,0.48217,-0.31793,-0.31793,4.32973,16.58145,2.25172,0.2491,-0.00121,0.03974,-0.78351,13.26582,109.49254
"45","2021_Q2",78.9533333333333,"Up",1.898e+09,-1.343e+09,-6.12e+08,-3.3e+07,-3.96e+08,-3.02e+08,5.55e+08,-9.6e+07,-1.17e+08,2.1e+07,4.59e+08,4.59e+08,-1.23e+08,3.36e+08,3.36e+08,-8.4e+07,2.52e+08,2.52e+08,1.866e+09,1.866e+09,2.19e+08,1.437e+09,1.208e+09,3.522e+09,1.3863e+10,3.0642e+10,-1.6779e+10,1.566e+09,3.6e+08,4.1e+07,1.165e+09,1.5429e+10,1.8951e+10,1.594e+09,1.72e+08,1.422e+09,9.6e+07,1.69e+09,8.925e+09,1.693e+09,3.24e+08,1.369e+09,1.0618e+10,1.2308e+10,6.087e+09,3.05e+08,-7.76e+08,5.616e+09,1.027e+09,6.643e+09,1.8951e+10,3.36e+08,3.96e+08,8.3e+07,-2.24e+08,5.91e+08,-3.85e+08,-1494463.46080207,-3.85e+08,-8e+07,-1.5e+07,-6.6e+07,-7.9e+07,1.27e+08,1.27e+08,1.27e+08,9.51e+08,9.021e+09,4.65e+08,0.29241,0.13277,0.03793,0.0133,1.84524,2.08402,1.85278,0.47602,0.82407,0.81871,6.20667,18.36494,1.5206,0.26161,0.01913,0.02679,0.31746,7.52366,12.89189
"46","2021_Q3",72.26578125,"Down",1.579e+09,-1.198e+09,-4.06e+08,-4.8e+07,-3.85e+08,-3.59e+08,3.81e+08,-9.9e+07,-1.18e+08,1.9e+07,2.82e+08,1.35e+08,-1.22e+08,1.3e+07,1.3e+07,-8.6e+07,-7.3e+07,-7.3e+07,2.43e+09,2.43e+09,2.41e+08,1.298e+09,1.07e+09,3.969e+09,1.3657e+10,2.9942e+10,-1.6285e+10,1.54e+09,3.6e+08,2.1e+07,1.159e+09,1.5197e+10,1.9166e+10,1.926e+09,1.78e+08,1.748e+09,6.01e+08,2.527e+09,8.343e+09,1.764e+09,3.18e+08,1.446e+09,1.0107e+10,1.2634e+10,6.169e+09,1.55e+08,-8.36e+08,5.488e+09,1.044e+09,6.532e+09,1.9166e+10,1.3e+07,3.85e+08,2.61e+08,1.26e+08,7.85e+08,-58000000.0000001,-2e+06,-60000000.0000002,-7.7e+07,-6.9e+07,-7.8e+07,-1.61e+08,5.64e+08,5.64e+08,5.64e+08,7.66e+08,8.944e+09,9.56e+08,0.24129,-0.04623,-0.01118,-0.00381,-13.09589,1.57064,1.93417,0.46666,-0.23872,-0.23717,5.16351,17.94637,3.12623,0.2518,0.000230000000000001,0.05545,-1.05479,8.50392,17.09711
"47","2021_Q4",79.8296875,"Up",1.759e+09,-1.358e+09,-5.98e+08,-3.6e+07,-3.49e+08,-3.75e+08,4.01e+08,-1.02e+08,-1.25e+08,2.3e+07,2.99e+08,3.28e+08,-1.43e+08,1.85e+08,1.85e+08,-7e+07,1.15e+08,1.15e+08,2.419e+09,2.419e+09,2.62e+08,1.211e+09,1.211e+09,3.892e+09,1.3954e+10,3.056e+10,-1.6606e+10,1.644e+09,3.6e+08,2.6e+07,1.258e+09,1.5598e+10,1.949e+10,2.147e+09,2.1e+08,1.937e+09,6.02e+08,2.749e+09,8.608e+09,1.877e+09,3.46e+08,1.531e+09,1.0485e+10,1.3234e+10,5.903e+09,1.92e+08,-7.96e+08,5.609e+09,6.47e+08,6.256e+09,1.949e+10,1.85e+08,3.49e+08,9.7e+07,-1.6e+07,6.15e+08,-3.68e+08,-2e+06,-3.7e+08,-7.7e+07,2.87e+08,-4.66e+08,-2.56e+08,-1.1e+07,-1.1e+07,-1.1e+07,7.5e+08,9.21e+09,5.09e+08,0.22797,0.06538,0.01838,0.0059,4.42609,1.41579,2.11541,0.47255,0.37447,0.37205,5.72778,17.25497,1.65744,0.25073,0.01107,0.02935,0.66957,9.05467,16.93516
"48","2022_Q1",93.7201612903226,"Up",2.237e+09,-1.566e+09,-7.58e+08,-4.5e+07,-3.98e+08,-3.65e+08,6.71e+08,-1.03e+08,-1.21e+08,1.8e+07,5.68e+08,5.68e+08,-2.12e+08,3.56e+08,3.56e+08,-9.1e+07,2.65e+08,2.65e+08,2.713e+09,2.713e+09,2.23e+08,1.41e+09,1.41e+09,4.346e+09,1.4182e+10,3.1178e+10,-1.6996e+10,1.987e+09,3.6e+08,7.1e+07,1.556e+09,1.6169e+10,2.0515e+10,2.458e+09,2.2e+08,2.238e+09,6.06e+08,3.064e+09,8.535e+09,1.89e+09,3.83e+08,1.507e+09,1.0425e+10,1.3489e+10,6.327e+09,3.79e+08,-4.06e+08,6.3e+09,7.26e+08,7.026e+09,2.0515e+10,3.56e+08,3.98e+08,1.32e+08,13000000.0000001,8.99e+08,-5.09e+08,-1e+06,-5.1e+08,-7.7e+07,-5.3e+07,-74999999.9999999,-9.5e+07,2.94e+08,2.94e+08,2.94e+08,1.069e+09,9.141e+09,7.85e+08,0.29996,0.11846,0.03772,0.01292,2.96226,1.41841,1.91987,0.44558,0.83436,0.84746,7.04328,19.8358,2.4716,0.24244,0.01894,0.04347,0.29057,6.0131,9.57973
"49","2022_Q2",112.170161290323,"Up",2.313e+09,-1.546e+09,-7.92e+08,-4.3e+07,-3.37e+08,-3.74e+08,7.67e+08,-8.7e+07,-1.23e+08,3.6e+07,6.8e+08,7.02e+08,-1.97e+08,5.05e+08,5.05e+08,-8.8e+07,4.17e+08,4.17e+08,1.37e+09,1.37e+09,2.43e+08,1.653e+09,1.653e+09,3.266e+09,1.4489e+10,3.1782e+10,-1.7293e+10,2.043e+09,3.6e+08,6.5e+07,1.618e+09,1.6532e+10,1.9798e+10,2.19e+09,3.12e+08,1.878e+09,1.13e+08,2.303e+09,8.51e+09,1.937e+09,4.16e+08,1.521e+09,1.0447e+10,1.275e+10,6.394e+09,6.8e+08,-7.66e+08,6.308e+09,7.4e+08,7.048e+09,1.9798e+10,5.05e+08,3.37e+08,1.1e+08,-1.108e+09,-1.56e+08,-5.22e+08,1497668.82560087,-5.22e+08,-1.19e+08,-5.06e+08,-7.3e+07,-6.65e+08,-1.343e+09,-1.343e+09,-1.343e+09,1.104e+09,8.623e+09,-3.29e+08,0.3316,0.18029,0.05917,0.02106,-0.78897,1.41815,1.80902,0.43555,1.34995,1.34343,7.48786,20.42085,-1.06507,0.38524,0.03044,-0.01868,0.28537,6.56975,9.45632
"50","2022_Q3",110.2359375,"Down",2.955e+09,-1.785e+09,-9.38e+08,-3.3e+07,-3.91e+08,-4.23e+08,1.17e+09,-9.1e+07,-1.21e+08,3e+07,1.079e+09,1.082e+09,-3.28e+08,7.54e+08,7.54e+08,-8.7e+07,6.67e+08,6.67e+08,2.159e+09,2.159e+09,3.17e+08,1.493e+09,1.493e+09,3.969e+09,1.4818e+10,3.2402e+10,-1.7584e+10,2.393e+09,3.6e+08,1.47e+08,1.886e+09,1.7211e+10,2.118e+10,2.241e+09,3.59e+08,1.882e+09,1.14e+08,2.355e+09,8.979e+09,2.088e+09,5.44e+08,1.544e+09,1.1067e+10,1.3422e+10,6.546e+09,1.075e+09,-4.85e+08,7.136e+09,6.22e+08,7.758e+09,2.118e+10,7.54e+08,3.91e+08,3.18e+08,4.6e+07,1.509e+09,-6.59e+08,5993006.47680261,-6.59e+08,-1.16e+08,3.79e+08,-2.87e+08,-6.1e+07,7.89e+08,7.89e+08,7.89e+08,1.561e+09,9.093e+09,1.276e+09,0.39594,0.22572,0.08598,0.03149,1.91304,1.68535,1.73009,0.42932,2.14289,2.14289,9.49359,22.92598,4.09943,0.37268,0.04134,0.06737,0.17391,4.44202,5.9265
