"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",8.37428571428571,"Down",91266000,-24278000,66988000,-64802000,-64802000,2186000,-1807000,-1807000,379000.000000001,379000,-440999.999999998,-62000,-62000,66999.9999999981,66999.9999999981,46898000,46898000,8158000,8158000,41281000,8059000,7061000,104396000,68025000,22042000,8997000,12382000,90067000,194463000,55258000,4224000,2071000,48963000,2578000,1553000,57836000,11971000,2996000,1545000,737000,14967000,72803000,132594000,-653000,-10398000,121543000,121660000,194463000,-62000,2411000,-360999.999999998,3735000,5723000,376000,376000,648000,-332000,5767000,5767000,-1172000,4595000,4597000,11971000,9149000,0.73399,0.02395,0.000729999999999998,0.000550000000000011,0.000340000000000002,136.55224,1.80503,0.59841,0.06156,0.00351000000000012,0.00345000000000003,4.77707,6.36184,0.47888,0.000490000000000014,0.06696,-7.59778,-15.97758
"33","2018_Q4",8.19952380952381,"Down",88828000,-23161000,65667000,-62154000,-62154000,3513000,-353000,-353000,3160000,3160000,-1821000,1339000,1339000,1497000,1497000,47859000,47859000,8106000,8106000,43041000,5978000,5978000,104984000,67133000,19410000,7584000,11086000,86543000,191527000,57423000,4240000,1754000,51429000,3537000,2014000,60960000,4028000,3053000,1602000,688000,7081000,68041000,133069000,844000,-10386000,123527000,123486000,191527000,1339000,2301000,311000,817000,4768000,1226000,1226000,254000,-4733000,1261000,1261000,-3e+05,961000,5814000,4028000,9678000,0.73926,0.03955,0.01685,0.01212,0.00782,6.46493,1.72218,0.551,0.02103,0.07812,0.07724,4.63515,6.44578,0.50501,0.01147,0.07412,-7.53887,-12.4768
"34","2019_Q1",8.04213114754098,"Down",97374000,-25539000,71835000,-73064000,-73064000,-1229000,-731000,-731000,-1960000,-1960000,-852000,-2812000,-2812000,-2916000,-2916000,50638000,50638000,7751000,7751000,42048000,6388000,6388000,106825000,65369000,20822000,9056000,11148000,86191000,193016000,63960000,5219000,3378000,55363000,2727000,1197000,66687000,2192000,3569000,1308000,705000,5761000,72448000,133684000,-2072000,-11107000,120505000,120568000,193016000,-2812000,2493000,1163000,6784000,7628000,-902000,-902000,0,-1933000,4793000,4793000,-2014000,2779000,1264000,2192000,7998000,0.73772,-0.01262,-0.02995,-0.02419,-0.01511,-2.74280000000001,1.60189,0.60089,0.01136,-0.15177,-0.15887,5.06813,6.27206,0.41628,-0.02308,0.06331,-38.32753,39.41904
"35","2019_Q2",8.86761904761905,"Up",91272000,-23429000,67843000,-64865000,-64865000,2978000,-48000,-48000,2930000,2930000,-1201000,1729000,1729000,1757000,1757000,45404000,45404000,8259000,8259000,42937000,6697000,6697000,103297000,63366000,42116000,8786000,32721000,105482000,208779000,55489000,4911000,1286000,49292000,6850000,1232000,62339000,2128000,22290000,1405000,19337000,24418000,86757000,133725000,-315000,-11423000,121987000,122022000,208779000,1729000,2496000,2022000,-10856000,-4609000,-387000,-387000,0,-189000,-5185000,-5185000,-49000,-5234000,5474000,2128000,-4568000,0.74331,0.03263,0.01925,0.0144,0.00842,-2.59989,1.65702,0.71099,0.01019,0.09119,0.08971,4.73697,6.33107,-0.23708,0.012,-0.03119,-7.90574,-14.5319
"36","2019_Q3",8.64046875,"Down",90724000,-23865000,66859000,-62321000,-62321000,4538000,306000,306000,4844000,4844000,-2215000,2629000,2629000,2689000,2689000,46341000,46341000,8727000,8727000,43928000,6593000,6593000,105589000,63343000,47319000,8724000,37979000,110662000,216251000,54544000,3998000,2173000,48373000,9061000,2235000,63605000,2157000,25751000,1432000,22763000,27908000,91513000,134342000,2374000,-11953000,124763000,124738000,216251000,2629000,2491000,1814000,-3469000,3465000,-2387000,-2387000,-3.63797880709171e-12,-4000,1074000,1074000,-137000,937000,7029000,2157000,3388000,0.73695,0.05002,0.02964,0.02156,0.01243,1.25995,1.66007,0.73364,0.00997,0.13938,0.13714,4.70267,6.46708,0.17562,0.01762,0.0222,-6.28596,-9.73645
"37","2019_Q4",8.90203125,"Up",88524000,-22784000,65740000,-61039000,-61039000,4701000,-1243000,-1243000,3458000,3458000,-2107000,1351000,1351000,1317000,1317000,50530000,50530000,7488000,7488000,45282000,5224000,5224000,108524000,62218000,44005000,8533000,34926000,106223000,214747000,54525000,4061000,2516000,47948000,7874000,1324000,62399000,1463000,24119000,1166000,21455000,25582000,87981000,135080000,3691000,-12014000,126757000,126766000,214747000,1351000,2546000,3369000,-610000,6656000,-1700000,-1700000,60000,60000,5016000,5016000,-827000,4189000,7247000,1463000,7044000,0.74262,0.0531,0.01488,0.01039,0.00613,5.34852,1.73919,0.69404,0.00681,0.06819,0.06698,4.58365,6.5633,0.36473,0.00864,0.04624,-6.77066,-10.43757
"38","2020_Q1",8.5941935483871,"Down",91695000,-23862000,67833000,-63925000,-63925000,3908000,502000,1247000,4410000,4410000,-3190000,1220000,1220000,1002000,1002000,53629000,53629000,7319000,7319000,46666000,5091000,5091000,112705000,59512000,40851000,4899000,35952000,100363000,213068000,50222000,4406000,1392000,44424000,7725000,1266000,57947000,404767.007438608,25685000,1150000,22880000,25685000,83632000,135741000,4693000,-11225000,129209000,129436000,213068000,1220000,3066000,5500000,-6753000,3033000,-628000,-628000,197000,70000,2475000,2475000,624000,3099000,6974000,0,2783000,0.73977,0.04262,0.01093,0.00774,0.0047,2.77745,1.94497,0.64613,0,0.05169,0.05061,4.73069,6.6661,0.14358,0.00646,0.01794,-7.68985,-13.72288
"39","2020_Q2",8.23714285714286,"Down",95926000,-24681000,71245000,-64083000,-64083000,7162000,-2410000,-2410000,4752000,4752000,-1746000,3006000,3006000,2962000,2962000,64145000,64145000,5874000,5874000,45354000,4860000,4860000,120233000,59079000,36130000,4389000,31206000,95209000,215442000,51956000,4897000,1210000,45849000,7691000,1660000,59647000,1426000,21801000,991000,19339000,23227000,82874000,135976000,7655000,-11334000,132297000,132568000,215442000,3006000,2602000,4653000,3255000,13516000,-1209000,-1209000,111634.12767676,-159000,12148000,12148000,-1632000,10516000,9764000,1426000,13556000,0.74271,0.07466,0.03088,0.02234,0.01375,4.57664,2.01574,0.62514,0.00662,0.15226,0.15121,4.93117,6.80085,0.69686,0.01901,0.08701,-6.42349,-8.75719
"40","2020_Q3",10.140625,"Up",87286000,-23017000,64269000,-57669000,-57669000,6600000,1509000,1509000,8109000,8109000,-1976000,6133000,6133000,5754000,5754000,70255000,70255000,7075000,7075000,50166000,6577000,6577000,134073000,57722000,35134000,3977000,30646000,92856000,226929000,51734000,4100000,2038000,45596000,7798000,1845000,61939000,4331000,21424000,1035000,18744000,25755000,87694000,136661000,13409000,-11485000,138585000,139235000,226929000,6133000,2468000,780000,-8477000,903999.999999996,-1001000,-1001000,-4586.46585729695,5323000,5226000,5226000,884000,6110000,9068000,6738000,1566000,0.7363,0.07561,0.06592,0.04133,0.02536,0.27216,2.1646,0.62983,0.02969,0.29521,0.28971,4.47827,7.1102,0.08034,0.03437,0.00936000000000001,-7.00452,-9.62379
"41","2020_Q4",11.72078125,"Up",100250000,-27175000,73075000,-67604000,-67604000,5471000,671000,671000,6142000,6142000,1027000,7169000,7169000,6755000,6755000,82260000,82260000,8977000,8977000,47846000,5894000,5894000,144977000,57181000,35262000,4087000,30906000,92443000,237420000,54601000,5909000,345000,48347000,7840000,1580000,65751000,2146000,21286000,1017000,18216000,23432000,89183000,137776000,20164000,-10767000,147173000,148237000,237420000,7169000,2764000,926000,1570000,12429000,-1277000,-1277000,192000,-139000,11013000,11013000,992000,12005000,8235000,5456000,7501000,0.72893,0.05457,0.06738,0.04557,0.02845,1.11044,2.20494,0.60162,0.02298,0.34579,0.33758,5.13181,7.53381,0.38398,0.0386,0.04287,-9.32653,-14.03838
"42","2021_Q1",16.4806557377049,"Up",101743000,-26403000,75340000,-73091000,-73091000,2249000,1569000,401000,3818000,3818000,2832000,6650000,6650000,5866000,5866000,92069000,92069000,7375000,7375000,47683000,6938000,6938000,154065000,54355000,41078000,8693000,32385000,95433000,249498000,60064000,6486000,2387000,51191000,8284000,2092000,69654000,2418000,20192000,989000,17812000,22610000,92264000,139311000,26030000,-9955000,155386000,157234000,249498000,6650000,2909000,-3194000,4445000,10810000,-1418000,-1418000,280000,-1147000,8245000,8245000,1564000,9809000,5158000,3724000,5353000,0.74049,0.0221,0.05766,0.03731,0.02351,0.91255,2.21186,0.58679,0.01493,0.29824,0.28738,5.17276,7.90005,0.27215,0.03238,0.02955,-17.12776,-39.2819
"43","2021_Q2",19.7603174603175,"Up",102421000,-26979000,75442000,-67807000,-67807000,7635000,-1933000,-1933000,5702000,5702000,-1550000,4152000,4152000,4016000,4016000,91253000,91253000,9858000,9858000,46510000,7178000,7178000,154799000,52552000,38480000,7915000,30565000,91032000,245831000,74387000,6939000,1678000,45912000,7523000,1673000,83126000,2110000,19097000,971000,16885000,21207000,104333000,139402000,10188000,-10076000,139514000,141498000,245831000,4152000,2736000,4549000,-8702000,2735000,-983000,-983000,-914000,-1311000,441000,441000,-1257000,-816000,10371000,3326000,2236000,0.73659,0.07455,0.03921,0.02838,0.01634,0.55677,1.86222,0.73735,0.01353,0.20289,0.19846,5.17435,7.0483,0.11296,0.0245,0.01364,-8.47816,-11.51631
"44","2021_Q3",16.790625,"Down",108978000,-28463000,80515000,-71029000,-71029000,9486000,529000,529000,10015000,10015000,-3221000,6794000,6794000,6540000,6540000,74902000,74902000,9979000,9979000,50957000,7851000,7851000,143689000,52191000,37310000,7043000,30267000,89501000,233190000,56409000,7781000,2528000,46100000,7357000,1969000,64992000,1800000,19245000,984000,16657000,21045000,86037000,138308000,16728000,-10121000,144915000,147153000,233190000,6794000,2805000,3569000,-5191000,7977000,-1915000,-1915000,-586000,-22319000,-16257000,-16257000,-94000,-16351000,12291000,3026000,8406000,0.73882,0.08705,0.06001,0.04444,0.02805,1.28532,2.21087,0.58468,0.01298,0.327,0.3199,5.4489,7.24575,0.4203,0.15581,0.04962,-5.84786,-7.57706
"45","2021_Q4",16.97671875,"Up",114746000,-29419000,85327000,-75321000,-75321000,10006000,-886000,-886000,9120000,9120000,-3662000,5458000,5458000,4858000,4858000,75535000,75535000,9189000,9189000,57376000,8627000,8627000,150727000,52538000,36487000,5842000,30645000,89025000,239752000,62594000,7580000,3540000,51474000,6608000,1513000,70437000,1488000,20197000,950000,17673000,21685000,92122000,134252000,21586000,-11046000,144792000,147630000,239752000,5458000,2735000,4363000,-2987000,9569000,-1728000,-1728000,-4500000,-5845000,1996000,1996000,-1363000,633000,12741000,2723000,11688000,0.74362,0.0872,0.04234,0.03291,0.02026,2.40593,2.13988,0.62401,0.01136,0.24416,0.23884,5.767,7.27708,0.58743,0.02848,0.06853,-5.71478,-7.27683
"46","2022_Q1",17.6885483870968,"Up",117939000,-30606000,87333000,-79790000,-79790000,7543000,-558000,2756000,6985000,6985000,6818000,13803000,13803000,13439000,13439000,86184000,86184000,8871000,8871000,60852000,8760000,8760000,164667000,50857000,43350000,13590000,29760000,94207000,258874000,67080000,9702000,2647000,54731000,8346000,3694000,76670000,1174000,19626000,964000,17096000,20800000,97470000,133382000,35025000,-10205000,158202000,161404000,258874000,13803000,2886000,-4502000,2140000,14327000,-1986000,-1986000,-3660000,-2246000,10095000,10095000,554000,10649000,10429000,2418000,3765000,0.74049,0.06396,0.11395,0.08326,0.05191,0.280149999999999,2.14774,0.60389,0.00934,0.67553,0.65958,5.92837,7.95225,0.18925,0.07326,0.02052,-8.03203,-11.10513
"47","2022_Q2",13.8962903225806,"Down",110494000,-34460000,76034000,-74725000,-74725000,1309000,-314000,-314000,995000,995000,-3681000,-2686000,-2686000,-2950000,-2950000,66541000,66541000,7272000,7272000,63928000,10896000,10896000,148637000,49587000,40438000,9836000,30602000,90025000,238662000,60544000,8434000,2976000,49134000,6573000,2036000,68370000,857000,19657000,888000,17638000,20514000,88884000,125417000,32075000,-11180000,146312000,149778000,238662000,-2686000,2766000,6307000,-14311000,-7924000,-1518000,-1518000,-8766000,-9374000,-18816000,-18816000,-827000,-19643000,4075000,2110000,-8073000,0.68813,0.01185,-0.0267,-0.0197,-0.01236,2.73661,2.17401,0.59344,0.00884,-0.14938,-0.1467,5.5952,7.40895,-0.4088,-0.0172,-0.04706,-15.81129,-49.22154
"48","2022_Q3",9.93203125,"Down",104161000,-29471000,74690000,-68935000,-68935000,5755000,-442000,-442000,5313000,5313000,-4361000,952000,952000,516000,516000,56344000,56344000,10540000,10540000,70643000,9618000,9618000,147145000,49099000,36815000,7794000,29021000,85914000,233059000,61691000,9423000,2227000,50041000,6165000,1829000,69119000,537000,18924000,743000,16969000,19461000,88580000,121623000,32591000,-13637000,140577000,144479000,233059000,952000,2685000,4597000,-9653000,-1419000,-2239000,-2239000,-3205000,-4644000,-8302000,-8302000,-1895000,-10197000,8440000,1800000,909000,0.71706,0.05525,0.00495000000000001,0.00357,0.00221000000000001,1.76163,2.12886,0.6131,0.00772,0.02613,0.0256600000000001,5.27451,7.11854,0.04603,0.00312000000000002,0.0055,-6.46256,-9.47767
