"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",21.5357142857143,"Up",351605000,-294738000,56867000,-41696000,-41696000,15171000,-2729000,-2905000,-2905000,258000,-82000,12442000,-542000,11900000,-95000,11805000,11688000,-690000,10998000,10998000,7018000,7018000,100001000,100001000,156946000,25769000,19087000,6682000,289734000,387273000,199436000,5145000,166895000,12793000,14603000,586709000,876443000,110921000,56878000,54043000,648000,1721000,1721000,113290000,202070000,72153000,17028000,55125000,274223000,387513000,54207000,469120000,-38528000,484799000,4131000,488930000,876443000,11688000,12990000,3680000,-24501000,3857000,-4170000,-21000,-4191000,-5158000,4854000,-1130000,-1434000,-1768000,-1768000,-154000,-1922000,28161000,202718000,-415000,0.16174,0.04315,0.03128,0.02249,0.01255,-0.03773,2.55745,0.79257,0.2313,0.40391,0.40391,12.91289,17.80451,-0.01524,0.18943,5,0.02115,-0.00054,0.46899,6.94933,12.89961
"28","2017_Q1",19.7191935483871,"Down",390663000,-336726000,53937000,-35195000,-35195000,18742000,-767000,-2110000,-2110000,880000,463000,17975000,-1247000,16728000,75000,16803000,16661000,-527000,16134000,16134000,26819000,26819000,113952000,113952000,132972000,26063000,24809000,1254000,299806000,392820000,198803000,4931000,166847000,13616000,13409000,591623000,891429000,123313000,58439000,64874000,8374000,1967000,1967000,133654000,184144000,72199000,16682000,55517000,256343000,389997000,57736000,480100000,-40115000,497721000,3711000,501432000,891429000,16661000,12687000,3765000,14937000,48050000,-11672000,-17999.9999999999,-11690000,-5169000,-10198000,-1354000,-16721000,19639000,19639000,162000,19801000,31429000,192518000,34619000,0.13807,0.04797,0.0413,0.03218,0.0181,2.14572,2.24315,0.77777,0.21597,0.59032,0.59032,14.29377,18.21086,1.26666,0.18913,7,0.02781,0.04519,0.32038,5.27217,8.84105000000001
"29","2017_Q2",16.8485714285714,"Down",334161000,-295892000,38269000,-37492000,-37492000,777000,-892000,-1741000,-1741000,412000,437000,-115000,-602000,-717000,62000,-655000,-708000,-618000,-1326000,-1326000,8100000,8100000,112665000,112665000,148094000,25419000,23967000,1452000,294278000,385750000,198866000,4775000,166432000,13766000,13893000,584616000,878894000,123171000,68867000,54304000,701000,2038000,2038000,125910000,186944000,71973000,16856000,55117000,258917000,384827000,57844000,473630000,-41214000,490260000,3807000,494067000,878894000,-708000,12543000,3517000,-9425000,5927000,-10530000,-55000,-10585000,-5185000,-4860000,-3876000,-13921000,-18579000,-18579000,-140000,-18719000,13320000,187645000,-6697000,0.11452,0.00233,-0.00397,-0.00268,-0.00151,5.05053,2.33721,0.7789,0.2135,-0.04844,-0.04844,12.20813,17.911,-0.24467,0.18943,6,0.00512,-0.00889,-3.91026,13.47935,231.07465
"30","2017_Q3",22.4979365079365,"Up",382084000,-326804000,55280000,-43823000,-43823000,11457000,480000,-2097000,-2097000,2220000,357000,11937000,494000,12431000,-637000,11794000,11699000,-662000,11037000,11037000,9830000,9830000,132790000,132790000,168889000,19989000,18547000,1442000,331498000,384883000,204069000,4779000,166534000,13057000,19699000,588952000,920450000,133005000,72641000,60364000,676000,1342000,1342000,135023000,208801000,73942000,17489000,56453000,282743000,417766000,60007000,479432000,-40894000,498545000,4139000,502684000,920450000,11699000,12598000,-34000.0000000005,-23958000,305000,-9435000,-5689000,-15124000,-4937000,21820000,-386000.000000001,16497000,1678000.00000001,1678000.00000001,52000,1730000,24055000,209477000,-8701000,0.14468,0.02999,0.02889,0.02196,0.01199,-0.788350000000001,2.45512,0.83107,0.22758,0.40102,0.39061,13.88286,18.11442,-0.31615,0.17938,6,0.02032,-0.01107,0.447310000000001,8.29961,17.42577
"31","2017_Q4",25.2685714285714,"Up",477088000,-411109000,65979000,-48451000,-48451000,17528000,-939000,-2131000,-2131000,668000,524000,16589000,951000,17540000,-161000,17379000,17252000,-687000,16565000,16565000,15209000,15209000,127457000,127457000,165832000,25771000,23582000,2189000,334269000,382825000,204131000,4599000,166273000,13385000,19874000,586956000,921225000,142442000,69411000,73031000,641000,1903000,1903000,144986000,183802000,74879000,18565000,56314000,258681000,403667000,63619000,490760000,-41322000,513057000,4501000,517558000,921225000,17252000,12318000,3084000,12396000,45050000,-8790000,-7000,-8797000,-5200000,-25177000,-327000,-30704000,5549000,5549000,-170000,5379000,29846000,184443000,33613000,0.1383,0.03674,0.03472,0.03201,0.01798,2.02916,2.30553,0.77995,0.20021,0.60012,0.6035,17.28392,18.587,1.21773,0.18839,6,0.02802,0.04327,0.31391,5.67024,9.65507
"32","2018_Q1",30.3565573770492,"Up",494258000,-430703000,63555000,-41804000,-41804000,21751000,-2298000,-2112000,-2112000,374000,-560000,19453000,-17000,19436000,-586000,18850000,18735000,-5e+05,18235000,18235000,7287000,7287000,138998000,138998000,166942000,24723000,22357000,2366000,337950000,390629000,205176000,4424000,167835000,11204000,21713000,595805000,933755000,173532000,94674000,78849000,721000,2007000,2007000,176260000,144403000,75599000,19147000,56452000,220002000,396262000,65109000,503770000,-35293000,533586000,3907000,537493000,933755000,18735000,12381000,2569000,15403000,49088000,-11027000,139000.000000001,-10888000,-5074000,-40204000,-1268000,-46546000,-8346000,-8346000,424000,-7922000,34132000,145124000,39094000,0.12859,0.04401,0.03689,0.03393,0.01953,2.1439,1.91734,0.73724,0.15542,0.65947,0.61839,17.87487,19.29717,1.41384,0.1835,6,0.03074,0.05156,0.27826,4.03835,6.33704
"33","2018_Q2",27.91546875,"Down",483279000,-406251000,77028000,-51043000,-51043000,25985000,-760000,-2059000,-2059000,450000,849000,25225000,-12000,25213000,-5957000,19256000,19221000,-857000,18364000,18364000,9194000,9194000,144578000,144578000,216365000,25283000,24591000,692000,395420000,386847000,203646000,4248000,167203000,11521000,20674000,590493000,985913000,163613000,97176000,64260000,657000,7214000,7214000,171484000,184225000,78587000,19712000,58875000,262812000,434296000,67262000,516842000,-36920000,547184000,4433000,551617000,985913000,19221000,12522000,4909000,-52242000,-15590000,-13623000,11000,-13612000,-5478000,39787000,-3182000,31127000,1925000,1925000,-18000,1907000,38507000,184882000,-21401000,0.15939,0.05377,0.038,0.03329,0.01863,-1.16538,2.30587,0.78731,0.18752,0.66308,0.64071,17.45005,19.7575,-0.77274,0.1978,5,0.02925,-0.02626,0.2983,4.5625,6.76113
"34","2018_Q3",26.355873015873,"Down",559443000,-472462000,86981000,-53638000,-53638000,33343000,-2074000,-2281000,-2281000,106000,101000,31269000,-91000,31178000,10577000,41755000,41919000,-903000,41016000,41016000,15007000,15007000,194338000,194338000,221945000,28772000,26977000,1795000,460062000,386680000,204955000,4669000,168384000,11454000,20448000,591635000,1051697000,182989000,106588000,75271000,793000,6537000,6537000,190319000,210031000,64251000,4722000,59529000,274282000,464601000,66715000,552977000,-37029000,582663000,4433000,587096000,1051697000,41919000,12160000,-11479000,-37641000,4959000.00000001,-11500000,-8000,-13808000,-5155000,24780000,-1123000,14901000,6052000,6052000,-239000,5813000,45503000,210824000,-14215000,0.15548,0.0596,0.07332,0.06986,0.039,-0.34657,2.41732,0.79135,0.20046,1.47566,1.42357,20.12747,20.96287,-0.51142,0.18547,6,0.05355,-0.01649,0.12568,4.30339,5.87281
"35","2018_Q4",23.1715873015873,"Down",652416000,-549164000,103252000,-54185000,-54185000,49067000,-1308000,-2483000,-2483000,772000,403000,47759000,1395000,49154000,-10650000,38504000,38447000,-1046000,37401000,37401000,10090000,10090000,190195000,190195000,234437000,4.2e+07,38303000,3697000,476722000,393387000,207161000,4507000,168194000,11635000,22825000,600548000,1077270000,209010000,118099000,90911000,1146000,6684000,6684000,216840000,171545000,69323000,9337000,59986000,240868000,457708000,67116000,585128000,-37269000,614975000,4587000,619562000,1077270000,38447000,12327000,7774000,5724000,64272000,-17576000,1000,-17575000,-5088000,-40240000,-1034000,-51539000,-4842000,-4842000,-75000,-4917000,61394000,172691000,60192000,0.15826,0.07521,0.05733,0.06037,0.03472,1.60937,2.1985,0.73876,0.1603,1.35183,1.31398,23.58102,22.22774,2.17559,0.1839,7,0.04932,0.06986,0.13604,2.64848,3.31386
"36","2019_Q1",21.1298360655738,"Down",669577000,-582608000,86969000,-50011000,-50011000,36958000,-1040000,-2160000,-2160000,625000,495000,35918000,390000,36308000,23620000,59928000,60202000,-532000,59670000,59670000,4723000,4723000,169418000,169418000,205877000,68341000,63673000,4668000,448359000,415711000,240747000,4358000,168065000,11532000,26459000,656458000,1104817000,246856000,128495000,118361000,1139000,6682000,6682000,254677000,106237000,73793000,11742000,62051000,180030000,434707000,63631000,639684000,-37237000,666078000,4032000,670110000,1104817000,60202000,12663000,-24218000,57388000,106035000,-28410000,6999.99999999997,-28403000,-5015000,-65303000,-3729000,-82630000,-4998000,-4998000,-369000,-5367000,49621000,107376000,54979000,0.12989,0.0552,0.08912,0.08905,0.05401,0.92138,1.7605,0.64871,0.09719,2.17591,2.09973,24.41662,24.28903,2.00485,0.18288,8,0.07599,0.06458,0.08405,2.06874,2.77756
"37","2019_Q2",21.4436507936508,"Up",564020000,-490132000,73888000,-51419000,-51419000,22469000,-1398000,-1906000,-1906000,485000,23000,21071000,-265000,20806000,-4116000,16690000,16618000,-430000,16188000,16188000,11216000,11216000,193439000,193439000,200562000,41455000,37791000,3664000,446672000,422686000,239846000,4187000,167693000,11855000,26635000,662532000,1109204000,182060000,110235000,71825000,1156000,10812000,10812000,194028000,167394000,71799000,14470000,57329000,239193000,433221000,59618000,650695000,-38399000,671914000,4069000,675983000,1109204000,16618000,13297000,6563000,-48084000,-11606000,-25930000,641000,-25289000,-5554000,61160000,-7810000,43701000,6806000,6806000,-313000,6493000,35766000,168550000,-34132000,0.131,0.03984,0.0287,0.02395,0.01459,-2.10848,2.3021,0.64088,0.15196,0.58855,0.57072,20.50609,24.42879,-1.24094,0.20193,4,0.02373,-0.03725,0.34309,4.39898,7.00227
"38","2019_Q3",21.8596875,"Up",473565000,-414688000,58877000,-39489000,-39489000,19388000,-1562000,-2067000,-2067000,184000,321000,17826000,-536000,17290000,-3855000,13435000,13297000,-405000,12892000,12892000,13173000,13173000,165307000,165307000,198565000,41908000,36724000,5184000,418953000,428777000,239522000,4117000,169439000,10703000,25715000,668299000,1087252000,159827000,95730000,64097000,1215000,9908000,9908000,170950000,161866000,73589000,16137000,57452000,235455000,406405000,55910000,658424000,-37727000,676607000,4240000,680847000,1087252000,13297000,13193000,7644000,799000,34933000,-13969000,1.16415321826935e-10,-15522000,-5020000,-6281999.99999999,-355000,-17649000,1762000,1762000,195000,1957000,32581000,163081000,23266000,0.12433,0.04094,0.02722,0.01894,0.01186,1.80469,2.45073,0.59691,0.14999,0.46658,0.45856,17.1389,24.48724,0.84203,0.18168,6,0.01952,0.02536,0.38939,4.60109,7.732
"39","2019_Q4",19.47328125,"Down",547396000,-474598000,72798000,-48575000,-48575000,24223000,-1954000,-2294000,-2294000,311000,29000,22269000,-75000,22194000,-5762000,16432000,16440000,-750000,15690000,15690000,8119000,8119000,167988000,167988000,202192000,39050000,35071000,3979000,417349000,437456000,237817000,4027000,168946000,10632000,25684000,675273000,1092622000,169935000,100386000,69549000,1234000,5769000,5769000,176938000,140895000,81085000,20343000,60742000,221980000,398918000,59518000,668933000,-39423000,689028000,4676000,693704000,1092622000,16440000,13154000,8851000,1260000,39705000,-19460000,1260000,-18200000,-5026000,-21134000,-341000,-26501000,-4996000,-4996000,-58000,-5054000,37377000,142129000,24939000,0.13299,0.04425,0.02866,0.02262,0.01436,1.58948,2.35873,0.57506,0.13008,0.57038,0.55888,19.89952,25.04828,0.90661,0.18271,6,0.02259,0.0272,0.32033,3.58536,5.53235
"40","2020_Q1",15.4814516129032,"Down",547800000,-479117000,68683000,-51922000,-51922000,16761000,-1259000,-1999000,-1999000,472000,268000,15502000,448000,15950000,-3937000,12013000,11967000,-392000,11575000,11575000,12377000,12377000,145617000,145617000,187320000,120974000,115107000,5867000,466288000,456400000,238058000,4482000,169237000,10276000,25213000,694458000,1160746000,260879000,110297000,150582000,1321000,6030000,6030000,268230000,103775000,87445000,25466000,61979000,191220000,459450000,60364000,675363000,-38763000,696964000,4332000,701296000,1160746000,11967000,13692000,6941000,49108000,81708000,-31184000,630000,-30554000,-5015000,-38049000,-757000,-46817000,4337000,4337000,-78999.9999999999,4258000,30453000,105096000,52314000,0.12538,0.0306,0.02113,0.01651,0.00997,4.51957,1.73839,0.65514,0.09054,0.42146,0.40849,19.94611,25.37737,1.90482,0.1826,5,0.01856,0.05853,0.43326,3.04466,5.53183
"41","2020_Q2",14.445873015873,"Down",405584000,-364760000,40824000,-46774000,-46774000,-5950000,-1018000,-1423000,-1423000,199000,206000,-6968000,-2159000,-9127000,2534000,-6593000,-6565000,-430000,-6995000,-6995000,9624000,9624000,115012000,115012000,177934000,37310000,31533000,5777000,339880000,456714000,361998000,3811000,169292000,10434000,150164000,818712000,1158592000,131600000,72172000,59428000,1431000,24400000,24400000,157431000,126875000,189250000,22232000,167018000,316125000,473556000,56671000,662707000,-38525000,680853000,4183000,685036000,1158592000,-6565000,14087000,936000,2675000,11133000,-23971000,745484.778332887,-23971000,-5653000,22149000,-6424000,10072000,-2766000,-2766000,13000,-2753000,8137000,128306000,-15693000,0.10065,-0.01467,-0.01725,-0.01021,-0.00604,2.24346,2.15891,0.69129,0.11074,-0.25422,-0.25422,14.74047,24.74479,-0.57034,0.20545,4,-0.00134,-0.01565,-0.80815,14.58547,-19.94655
"42","2020_Q3",17.92328125,"Up",439482000,-380520000,58962000,-46426000,-46426000,12536000,-1228000,-1320000,-1320000,190000,-98000,11308000,-5035000,6273000,-1770000,4503000,4504000,-621000,3883000,3883000,10326000,10326000,158767000,158767000,183566000,33680000,28004000,5676000,386339000,454022000,356886000,3655000,169118000,9670000,146700000,810908000,1197247000,157905000,92476000,65429000,1411000,23442000,23442000,182758000,140521000,189020000,23352000,165668000,329541000,512299000,58273000,661418000,-39040000,680651000,4297000,684948000,1197247000,4504000,14385000,5089000,-18458000,5520000,-12521000,630000,-11891000,-5081000,13619000,-507000,7117000,746000,746000,-44000,702000,26921000,141932000,-2288000,0.13416,0.02852,0.00883999999999999,0.00567,0.00324,-0.58924,2.11394,0.74794,0.11855,0.14007,0.14007,15.85376,24.55362,-0.0825399999999997,0.18329,6,0.00882,-0.00225,1.30852,4.8886,10.49825
"43","2020_Q4",23.52375,"Up",402683000,-356217000,46466000,-45544000,-45544000,922000,-2437000,-2656000,-2656000,309000,-90000,-1515000,-4937000,-6452000,1804000,-4648000,-4717000,-278000,-4995000,-4995000,307655000,307655000,134538000,134538000,161543000,49491000,32186000,17305000,653227000,459312000,361557000,4129000,168595000,9905000,152238000,820869000,1474096000,139175000,68480000,70695000,1401000,24692000,24692000,165268000,426791000,207690000,32666000,175024000,634481000,799749000,60363000,651162000,-40899000,670626000,3721000,674347000,1474096000,-4717000,14743000,13859000,15298000,39183000,-22056000,0,-22056000,-5069000,286289000,-854000,280366000,297493000,297493000,-164000,297329000,15665000,428192000,7103000,0.11539,0.00229,-0.0124,-0.00741,-0.00339,-1.42202,3.95253,1.18596,0.29048,-0.18018,-0.18018,14.52523,24.19024,0.25621,0.18284,4,6e-05,0.00542,-1.01481,7.69467,130.73427
"44","2021_Q1",35.0318032786885,"Up",464594000,-402228000,62366000,-49132000,-49132000,13234000,-3276000,-3270000,-3270000,136000,-142000,9958000,-2591000,7367000,-2734000,4633000,4578000,1329000,5907000,3962000,17887000.0000001,17887000.0000001,139147000,139147000,157269000,48328000,30075000,18253000,362631000,487004000,380292000,4585000,169627000,10057000,168871000,867296000,1229927000,195418000,106676000,88742000,2184000,26062000,26062000,223664000,102235000,223592000,38292000,185300000,325827000,549491000,63715000,649863000,-36871000,676707000,3729000,680436000,1229927000,4578000,14958000,11640000,37585000,68761000,-23457000,2520000,-20937000,-5081000,-330387000,-2591000,-338059000,-290235000,-290235000,467000,-289768000,28192000,104419000,45054000,0.13424,0.02849,0.00853,0.00582,0.00322,11.37153,1.62132,0.80756,0.0849,0.14288,0.14288,16.75481,24.40431,1.6248,0.18324,6,0.00897,0.04468,1.28243,3.06938,6.53861000000003
"45","2021_Q2",48.0507936507937,"Up",492107000,-420094000,72013000,-49906000,-49906000,22107000,-1218000,-1780000,-1780000,727000,-165000,20889000,-64000,20825000,-5719000,15106000,15064000,-960000,14104000,14104000,7258000,7258000,166215000,166215000,185347000,42210000,28812000,13398000,401030000,495376000,381127000,4434000,169686000,10930000,169994000,876503000,1277533000,183728000,116507000,67221000,2171000,27521000,27521000,213420000,141172000,234393000,41840000,192553000,375565000,588985000,62764000,658710000,-36892000,684582000,3966000,688548000,1277533000,15064000,14826000,7081000,-44402000,-7431000,-31827000,80000,-31747000,-5680000,38933000,-4693000,28560000,-10618000,-10618000,-11000,-10629000,36933000,143343000,-33577000,0.14634,0.04492,0.02866,0.02048,0.01104,-2.38067,1.87906,0.8554,0.1122,0.50721,0.49514,17.69723,24.61905,-1.2075,0.20427,4,0.01855,-0.03149,0.40272,3.68465,6.15574
"46","2021_Q3",46.8959375,"Down",600111000,-487025000,113086000,-54142000,-54142000,58944000,-1012000,-1224000,-1224000,454000,-242000,57932000,-814000,57118000,-11469000,45649000,45679000,-1091000,44588000,44588000,11326000,11326000,210480000,210480000,252268000,41159000,34621000,6538000,515233000,502484000,387612000,4283000,170100000,10382000,176646000,890096000,1405329000,228856000,142717000,86139000,2372000,33254000,33254000,264482000,168441000,238367000,42175000,196192000,406808000,671290000,67158000,697966000,-35282000,729842000,4197000,734039000,1405329000,45679000,14469000,4636000,-59963000,4820999.99999999,-23257000,867000,-22390000,-5148000,27483000.0000001,-884000,21451000,3881999.99999994,3881999.99999994,186000,4068000,73413000,170813000,1662000,0.18844,0.09822,0.0743,0.06074,0.03173,0.0372699999999999,1.94808,0.91452,0.12155,1.59294,1.54492,21.43943,26.07417,0.05938,0.18392,5,0.04351,0.00144999999999999,0.11546,2.17246,2.70574
"47","2021_Q4",49.90265625,"Up",820718000,-678297000,142421000,-61887000,-61887000,80534000,-547000,-1383000,-1383000,950000,-114000,79987000,-104000,79883000,-14401000,65482000,65436000,-1801000,63635000,63635000,17927000,17927000,266007000,266007000,257229000,44026000,43517000,509000,585189000,510762000,389787000,4132000,171233000,11343000,175879000,900549000,1485738000,260860000,153454000,106240000,2834000,33010000,33010000,296704000,150939000,235512000,42415000,193097000,386451000,683155000,72500000,756262000,-30731000,798031000,4552000,802583000,1485738000,65436000,14326000,11642000,-38200000,53204000,-21646000,145000,-21501000,-5239000,-17397000,-2910000,-25546000,6157000,6157000,444000,6601000,94860000,153773000,49415000,0.17353,0.09813,0.07754,0.07929,0.04283,0.77654,1.9723,0.8512,0.1035,2.28091,2.21934,29.41747,28.60429,1.77121,0.18778,6,0.05779,0.04146,0.08233,1.43207,1.68682
"48","2022_Q1",44.196935483871,"Down",845615000,-719941000,125674000,-76528000,-76528000,49146000,1043000,-898000,-898000,1875000,66000,50189000,-25999.9999999999,50163000,-6346000,43817000,43796000,3852000,47648000,42785000,27818000,27818000,214098000,214098000,256427000,44771000,43934000,837000,543114000,562674000,375731000,3980000,170304000,12582935.6375016,173886000,951249000,1494363000,303036000,179917000,119598000,3654000,46160000,46160000,352850000,71299000,230435000,40593000,189842000,301734000,654584000,76606000,793712000,-34554000,835764000,4015000,839779000,1494363000,43796000,14978000,-1424000,82120000,139470000,-42136000,125000,-42011000,-5192000,-80343000,-1751000,-87286000,10173000,10173000,-282000,9891000,64124000,74953000,110454000,0.14862,0.05812,0.0506,0.05095,0.02863,2.58161,1.53922,0.77947,0.05016,1.53357,1.49217,30.30987,29.95677,3.95907,0.1861,7,0.0419,0.09645,0.12135,0.73506,0.95908
"49","2022_Q2",41.8375806451613,"Down",798118000,-683244000,114874000,-55267000,-55267000,59607000,-1183000,-1372000,1588937.76523646,236000,-47000,58424000,-22000,58402000,-11097000,47305000,47276000,-1077000,46199000,46199000,19081000,19081000,303541000,303541000,313872000,35934000,35296000,638000,672428000,579872000,467468000,23100000,232367000,13261000,172165000,1047340000,1719768000,301874000,196847000,102158000,3501000,43263000,43263000,348638000,256215000,240159000,51272000,188887000,496374000,845012000,71465000,834504000,-35279000,870690000,4066000,874756000,1719768000,47276000,17220000,15868000,-114633000,-34269000,-39719000,10643000,-143015000,-5568000,184777000,-10603000,168606000,-8678000,-8678000,-59000,-8737000,76827000,259716000,-66428000,0.14393,0.07468,0.05788,0.05281,0.02686,-1.43787,1.92873,0.966,0.15102,1.64158,1.55946,28.35938,30.93807,-2.36037,0.19785,4,0.03766,-0.04832,0.12052,3.13217,4.03703
"50","2022_Q3",33.0928125,"Down",783198000,-670539000,112659000,-61081000,-61081000,51578000,-1365000,-1901000,7436813.29570937,591000,-55000,50213000,-4000,50209000,-12073000,38136000,38165000,-550000,37615000,37615000,17823000,17823000,280254000,280254000,323931000,37297000,36104000,1193000,659305000,597262000,467762000,23220000,232537000,13009000,173014000,1065024000,1724329000,286864000,191418000,93010000,7451000,34856000,34856000,329171000,254126000,236383000,53291000,183092000,490509000,819680000,68454000,866776000,-34438000,900792000,3857000,904649000,1724329000,38165000,18596000,8310000,-18087999.9999999,46983000,-29690000,406000,-29284000,-5273000,-5078000,-759000.000000002,-18975000,-1276000,-1276000,18000,-1258000,70174000,261577000,34469000,0.14384,0.06586,0.04803,0.04158,0.02181,0.916360000000001,2.00293,0.90608,0.1517,1.33657,1.2697,27.82923,32.00768,1.22478,0.18736,5,0.03058,0.02457,0.14018,3.47357,4.72593
