"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",83.454126984127,"Up",300826000,219211000,227586000,-8375000,81615000,-4867000,75729000,10753000,-10980000,289846000,-186823000,-186823000,103023000,103023000,103023000,-9892000,93131000,93131000,93131000,91115000,503961000,4587942000,11826832000,12552001000,-154303000,12706304000,520639000,5475000,654952000,338170000,30989972000,26403269000,15229018000,11174251000,1134089000,98512000,165059000,27800929000,144486000,952535000,2133259000,57675000,3189043000,3189043000,30989972000,93131000,34567000,10980000,-3106000,31410000,166982000,-9140000,698396000,-196294000,492962000,-38377000,73052000,-98727000,789696000,725644000,1385588000,1385588000,1385588000,137590000,1232601000,169752000,0.34247,0.30288,0.02857,0.00294,1.86305,8.71764,0.03977,1.43111,1.41121,4.72496,47.81975,2.66623,0.60277,0.00418,0.00548,0.42119,5.29573,7.0726
"32","2018_Q1",91.107868852459,"Up",313989000,223914000,234295000,-10381000,90075000,-23999.9999999991,77991000,12108000,-8102000,305887000,-196280000,-196280000,109607000,109607000,109607000,-9083000,100524000,100524000,100524000,98508000,545542000,4507505000,12122682000,12990301000,-155364000,13145665000,520958000,5073000,654952000,400867000,31747880000,26872389000,15675296000,11197093000,1284008000,98552000,195068000,28450017000,144486000,954003000,2187069000,79512000,3297863000,3297863000,31747880000,100524000,35471000,8102000,-5716000,44254000,182635000,-7321000,-373860000,-441929000,-822975000,-38434000,149905000,20893000,469120000,601484000,-38855999.9999995,-38855999.9999995,-38855999.9999995,145078000,1382560000,191094000,0.34908,0.31373,0.02987,0.0031,1.93988,8.6268,0.04355,1.55599,1.53176,4.95963,49.80938,3.01844,0.60709,0.00431,0.00602,0.39016,5.76943,7.63654
"33","2018_Q2",98.96921875,"Up",321193000,229748000,243326000,-13578000,91445000,-19000,78575000,12889000,-6945000,314248000,-196611000,-196611000,117637000,117637000,117637000,-11157000,106480000,106480000,106480000,104464000,434155000,4246793000,11984755000,13214144000,-149885000,13364029000,521202000,4685000,654952000,398546000,31459232000,26677778000,15743616000,10934162000,1168419000,98591000,271014000,28215802000,144486000,957178000,2234301000,-53354000,3243430000,3243430000,31459232000,106480000,36390000,6945000,7636000,53257000,210708000,-5135000,-20639000,-227417000,-253191000,-38567000,-115603000,19165000,-194611000,-329616000,-372099000,-372099000,-372099000,154027000,1267010000,213306000,0.36625,0.32524,0.03221,0.00332,2.04191,8.69937,0.04027,1.64125,1.61553,5.0463,48.68787,3.35128,0.60593,0.00455,0.00678,0.36919,5.4072,7.07987
"34","2018_Q3",97.9307936507936,"Down",322336000,237270000,257951000,-20681000,85066000,-60000,73538000,11588000,-8251000,314085000,-188908000,-188908000,125177000,125177000,125177000,-13836000,111341000,111341000,111341000,109326000,509191000,2806279000,12157344000,13561536000,-150226000,13711762000,539861000,4316000,654952000,453735000,30687214000,25996499000,15470501000,10525998000,1113683000,98630000,168890000,27377702000,144486000,960763000,2297099000,-63319000,3309512000,3309512000,30687214000,111341000,37127000,8251000,11229000,-124655000,43293000,-26801000,-252679000,-354766000,-633862000,-45092000,-54751000,6213000,-681279000,-774909000,-1365478000,-1365478000,-1365478000,162304000,1212313000,24684000,0.38834,0.33917,0.03303,0.00356,0.22578,8.27243,0.03951,1.71259,1.68455,5.04939,49.58008,0.38667,0.70637,0.00503,8e-04,0.41245,4.33213,5.61702
"35","2018_Q4",86.3388888888889,"Down",329322000,241665000,268716000,-27051000,87657000,-34000,76486000,11205000,-2650000,326672000,-193668000,-193668000,133004000,133004000,133004000,-15160000,117844000,117844000,117844000,115828000,505333000,2914156000,12495194000,13677260000,-137578000,13814838000,541236000,3980000,654952000,431291000,31223402000,26348854000,15508341000,10840513000,1220004000,98669000,247629000,27915156000,144486000,963559000,2369259000,-141235000,3308246000,3308246000,31223402000,117844000,37683000,2650000,14278000,33712000,206167000,-10880000,-390890000,-115050000,-516820000,-45109000,106307000,1119000,352355000,414672000,104019000,104019000,104019000,170687000,1318673000,208679000,0.40387,0.35172,0.03501,0.00371,1.80163,8.43805,0.04223,1.81287,1.78432,5.15435,49.51729,3.26612,0.70602,0.00515,0.00668,0.38945,4.7651,6.11515
"36","2019_Q1",88.676393442623,"Up",336327000,249209000,281205000,-31996000,87118000,-43000,76053000,11108000,-3839000,332488000,-199625000,-199625000,132863000,132863000,132863000,-13610000,119253000,119253000,119253000,117237000,678791000,3276988000,12700937000,13967601000,-132132000,14099733000,552330000,3649000,654952000,457718000,32292966000,27149204000,16151710000,10997494000,1503790000,98708000,172347000,28924049000,144486000,967946000,2440002000,-63600000,3368917000,3368917000,32292966000,119253000,-61028000,3839000,115279000,-75123000.0000001,102220000,-19460000,-199749000,-290238000,-509447000,-44744000,283771000,-95860000,800350000,943517000,536290000,536290000,536290000,71835000,1602498000,-9138000.00000003,0.39504,0.34858,0.0348,0.00363,-0.0779399999999992,8.58556,0.04962,1.84799,1.8241,5.30148,50.82634,-0.14404,0.70529,0.00502,-0.000279999999999998,0.38165,12.85873,6.95233
"37","2019_Q2",87.8955555555556,"Down",343254000,246469000,281321000,-34852000,96785000,0,83235000,13550000,-11003000,332251000,-201800000,-201800000,130451000,130451000,130451000,-13955000,116496000,116496000,116496000,114480000,521599000,1759855000,13300844000,14269989000,-136350000,14406339000,750256000,3324000,654952000,403747000,31664566000,26294863000,16165955000,10128908000,1363405000,98747000,313973000,28070988000,144486000,971600000,2495268000,93774000,3593578000,3593578000,31664566000,116496000,41448000,11003000,-5766000,-17049000,146132000,-39372000,-436484000,-309609000,-785465000,-44618000,-140399000,4366000,-854341000,-1034992000,-1674325000,-1674325000,-1674325000,171899000,1462152000,129433000,0.38004,0.33351,0.03186,0.00362,1.13062,7.81143,0.04618,1.81688,1.79357,5.44769,54.73962,2.0542,0.70812,0.00502,0.00409,0.38974,5.47154,7.21001
"38","2019_Q3",80.3559375,"Down",336069000,253431000,288137000,-34706000,82638000,169000,75165000,7304000,-6400000,329669000,-203209000,-203209000,126460000,126460000,126460000,-14874000,111586000,111586000,111586000,109571000,526830000,1418580000,13525597000,14324220000,-134929000,14459149000,915497000,3019000,654952000,450168000,31818863000,25985023000,15848586000,10136437000,1455777000,98786000,537970000,28077556000,144486000,975964000,2558296000,219438000,3741307000,3741307000,31818863000,111586000,40983000,6400000,-219000,-12967000,145783000,-54568000,-59084999.9999998,-56807000,-170460000,-46841000,92358000,-47044000,-309840000,-311367000,-336044000,-336044000,-336044000,167443000,1554563000,114782000,0.37629,0.32604,0.02929,0.00344,1.04756,7.50475,0.04886,1.7451,1.72411,5.35244,57.2852,1.82809,0.74602,0.00492,0.00361,0.42749,6.13781,8.12694
"39","2019_Q4",84.93390625,"Up",342231000,253007000,286273000,-33266000,89224000,96000,80498000,8630000,-8001000,334230000,-208864000,-208864000,125366000,125366000,125366000,-13530000,111836000,111836000,111836000,109820000,653969000,2253932000,13655170000,14498369000,-136559000,14634928000,987503000,2745000,654952000,391536000,33098176000,27083582000,16333338000,10750244000,1336940000,98826000,697371000,29216719000,144486000,978639000,2617500000,305383000,3881457000,3881457000,33098176000,111836000,41714000,8001000,-3734000,135464000,293281000,-66236000,-7245000,-178771000,-252252000,-46720000,-118852000,-11525000,1098559000,921462000,962491000,962491000,962491000,167080000,1435766000,249838000,0.36632,0.32089,0.02829,0.00332,2.27498,7.52726,0.04338,1.75537,1.73884,5.47023,59.73183,3.99342,0.74677,0.00473,0.00755,0.42542,4.67918,6.23612
"40","2020_Q1",75.0816129032258,"Down",346353000,251098000,278054000,-26956000,95255000,28000.0000000075,81148000,14079000,-8355000,337998000,-220806000,-220806000,117192000,117192000,117192000,-13511000,103681000,103681000,103681000,101665000,581857000,3206324000,13511050000,14618165000,-132167000,14750332000,1011947000,2481000,654952000,440652000,34027428000,27639564000,16765935000,10873629000,1831641000,98865000,545690000,30115760000,144486000,983892000,2667534000,267370000,3911668000,3911668000,34027428000,103681000,-70054000,8355000.00000001,126399000,-119487000,48894000,-37839000,-18676517000,-124364000,-178573000,-46890000,494687000,6180000.00000001,555982000,1009959000,880280000,880280000,880280000,47138000,1930506000,-96676999.9999999,0.33836,0.29353,0.02599,0.00299,-0.950940000000001,7.69896,0.05673,1.62385,1.60785,5.53213,60.17135,-1.54417,0.74895,0.00437,-0.00284,0.46122,28.61065,11.50803
"41","2020_Q2",64.7826984126984,"Down",457436000,244521000,265980000,-21459000,212915000,108989000,86229000,17697000,-175197000,282239000,-224163000,-224163000,58076000,58076000,58076000,-3323000,54753000,54753000,54753000,47223000,572129000,3623456000,12666125000,15074379000,-263881000,15338260000,1035881000,2224000,654952000,518159000,34147305000,28140867000,16938659000,11202208000,1307292000,98904000,773576000,30320639000,0,986404000,2635588000,363815000,3826666000,3826666000,34147305000,54753000,15518000,175197000,-105055000,108515000,248928000,-31740000,1045251000,-622514000,390997000,-46950000,-524364000,-162510000,501303000,-232521000,407404000,407404000,407404000,73594000,1406196000,153692000,0.12696,0.10323,0.01234,0.00138,3.2546,7.92351,0.04118,0.75385,0.74898,7.30231,61.0872,2.45347,0.74949,0.00276,0.0045,0.99422,11.33336,14.36165
"42","2020_Q3",65.79109375,"Up",323412000,245811000,254994000,-9183000,77601000,0,69937000,7664000,-31975000,291437000,-199679000,-199679000,91758000,91758000,91758000,1314000,93072000,93072000,93072000,93072000,558422000,6041146000,12789236000,17721876000,-250061000,17971937000,1044261000,1983000,654952000,565677000,39377553000,32679096000,18007107000,14671989000,1725712000,98943000,865001000,35368752000,1.49011611938477e-08,989676000,2678686000,488264000,4008801000,4008801000,39377553000,93072000,15971000,31975000,2896000,-185882000,-41968000,-17234000,219143000,-2671105000,-2469196000,-44871000,418406000,3382999.99999994,4538229000,4915147000,2403983000,2403983000,2403983000,107729000,1824655000,-96700999.9999999,0.28372,0.28778,0.02322,0.00236,-1.03899,8.82278,0.04634,1.48686,1.48227,5.16664,64.04227,-1.54484,0.71683,0.0035,-0.00246,0.48211,11.75387,13.7997
"43","2020_Q4",74.49296875,"Up",327024000,243423000,251166000,-7743000,83601000,0,74610000,8991000,-20302000,306722000,-202150000,-202150000,104572000,104572000,104572000,-9516000,95056000,95056000,95056000,95056000,499396000,6676284000,12770820000,17960402000,-263475000,18223877000,1055064000,1771000,654952000,482551000,40101240000,33499503000,18653733000,14845770000,1745009000,98982000,672720000,36016214000,82249056.9147559,992119000,2724681000,505145000,4085026000,4085026000,40101240000,95056000,16263000,20302000,71562000,64955000,268138000,-29765000,-1364889000,-258031000,-489430000,-44957000,19283000,2671000,820407000,797404000,576112000,576112000,576112000,120835000,1843991000,165541000,0.31977,0.29067,0.02327,0.00237,1.74151,8.81664,0.04598,1.51538,1.51086,5.21342,65.12355,2.63906,0.71671,0.00349,0.00413,0.47295,11.12753,12.85808
"44","2021_Q1",98.4445901639344,"Up",333583000,242246000,248895000,-6649000,91337000,-3.72529029846191e-09,27664000,63673000,-13756000,319827000,-222912000,-222912000,96915000,96915000,96915000,-8645000,88270000,88270000,88270000,88270000,529454000,9759399000,12597678000,17218132000,-263177000,17481309000,1045578000,1563000,654952000,584561000,42391317000,35015761000,19898710000,15117051000,2116997000,235378000,730165000,38098301000,145452000,997810000,2750723000,512970000,4293016000,4293016000,42391317000,88270000,16618000,13756000,25432000,-94931000.0000001,49144999.9999999,-10622000,214414000,732790000,936582000,-45822000,508330000,148680000,1516258000,2127446000,3113173000,3113173000,3113173000,113533000,2352375000,16625000,0.29053,0.26461,0.02056,0.00208,0.18834,8.87448,0.05549,1.4024,1.39535,5.29984,65.89498,0.264130000000001,0.728,0.00316,0.000390000000000001,0.51911,16.05631,18.80948
"45","2021_Q2",112.24253968254,"Up",334117000,240881000,246611000,-5730000,93236000,-8241508.76298961,85017000,8219000,-63000,334054000,-210142000,-210142000,123912000,123912000,123912000,-7897000,116015000,116015000,116015000,113864000,536604000,11265665000,12414376000,17628393000,-261258000,17889651000,1040572000,1361000,654952000,504864000,44046787000,36925180000,20821531000,16103649000,1923424000,235432000,694833000,39778869000,145452000,1000336000,2797064000,387748000,4267918000,4267918000,44046787000,116015000,16941000,63000,36133000,50613000,219765000,-12711000,16550000,-406836000,-402029000,-48275000,-193573000,28109000,1909419000,1695680000,1513416000,1513416000,1513416000,140853000,2158856000,186652000,0.37086,0.34079,0.02668,0.00259,1.63925,9.32044,0.04901,1.79861,1.78426,5.27777,65.11917,2.94839,0.76256,0.00368,0.00424,0.42397,11.51734,13.09197
"46","2021_Q3",107.87484375,"Down",348403000,257156000,263034000,-5878000,91247000,-10979478.3506528,81777000,9469999.99999999,0,348403000,-215254000,-215254000,133149000,133149000,133149000,-15081000,118068000,118068000,118068000,116399000,516219000,14668176000,12867886000,16341038000,-255288000,16596326000,1031853000,1176000,654952000,616373000,46697673000,38734140000,22274605000,16459535000,2243589000,235485000,1110642000,42323856000,145452000,1003581000,2862966000,412990000,4373817000,4373817000,46697673000,118068000,17119000,9.31322574615479e-10,29682000,-36044000,128825000,-8806000,-118538000,1291635000,1164832000,-47941000,320165000,7285000.00000001,1808960000,2088469000,3382126000,3382126000,3382126000,150268000,2479074000,120499000,0.38217,0.33409,0.02661,0.00249,1.03522,9.67664,0.05309,1.82994,1.81529,5.47735,66.47537,1.8944,0.75369,0.00352,0.00258,0.41187,13.06236,14.74179
"47","2021_Q4",125.128125,"Up",339311000,246122000,252235000,-6113000,93189000,-8210458.7629896,80130000,13059000,-3636072.51888568,339311000,-218003000,-218003000,121308000,121308000,121308000,-13333000,107975000,107975000,107975000,106307000,638296000,15615675000,13705725000,15582520000,-250150000,15832670000,1023170000,1019000,654952000,638968000,47860325000,39612767000,22461184000,17151583000,2227229000,235539000,1412428000,43487963000,145452000,1005566000,2920074000,350283000,4372362000,4372362000,47860325000,107975000,17490000,0,27470000,51088000,204023000,-7729000,-705342000,764630000,51994000,-49782000,-16360000,1074000,878627000,813559000,1069576000,1069576000,1069576000,138798000,2462768000,195490000,0.35751,0.3133,0.02431,0.00222,1.83892,9.9461,0.05146,1.67007,1.65848,5.33054,66.4043,3.07113,0.78207,0.00326,0.00408,0.46829,13.1448,15.04
"48","2022_Q1",136.16,"Up",349764000,240708000,246889000,-6181000,109056000,69000,39659000,69328000,0,349764000,-238595000,-238595000,111169000,111169000,111169000,-10148000,101021000,101021000,101021000,99352000,555778000,16027222000,15889108000,16087731000,-248666000,16336397000,1050331000,866000,654952000,612502000,50878490000,42695696000,24272678000,18423018000,2766724000,222189000,754326000,46438935000,145452000,1010563000,2956966000,347318000,4439555000,4439555000,50878490000,101021000,17739000,0,27372000,-50452000,95680000,-28751000,-4807810000,-503505000,-3339812000,-49945000,526092000,14085000,3082929000,3573161000,329029000,329029000,329029000,128908000,2988913000,59853000,0.31784,0.28405,0.02238,0.00195,0.60243,10.46027,0.05875,1.55142,1.54389,5.4617,67.05413,0.934629999999999,0.77991,0.00293,0.00118,0.50271,18.87497,21.88681
"49","2022_Q2",125.67435483871,"Down",350461000,249071000,256261000,-7190000,101390000,13862347.938316,91857000,9533000,21099217.556657,350461000,-238732000,-238732000,111729000,111729000,111729000,-12627000,99102000,99102000,99102000,97433000,772095000,13684988000,18068993000,16295702000,-246835000,16542537000,1046410000,720000,654952000,772191000,51296051000,44430929000,26316499000,18114430000,1877818000,222243000,988769000,47519759000,145452000,1012675000,3002642000,-371790000,3776292000,3776292000,51296051000,99102000,17551000,980608.109685495,27230000,188942000,332825000,-10830000,-3040581000,-209490000,-3259700000,-50112000,-888906000,4743000,1735233000,800958000,-2125917000,-2125917000,-2125917000,129280000,2100061000,320019000,0.31881,0.27801,0.0258,0.0019,3.2845,12.58371,0.04094,1.52527,1.51432,5.48633,56.83934,5.00977,0.78448,0.00288,0.00624,0.51432,10.27201,11.8856
"50","2022_Q3",129.80390625,"Up",386135000,288208000,306602000,-18394000,97927000,33173035.0519584,88220000,9707000,69852580.1510854,386135000,-246347000,-246347000,139788000,139788000,139788000,-20674000,119114000,119114000,119114000,117445000,743098000,12915487000,18942616000,16496394000,-239632000,16736026000,1046495000,589000,654952000,985257000,51784888000,45601765000,26817834000,18783931000,1707885000,222296000,905967000,48437913000,145452000,1016093000,3070109000,-874206000,3346975000,3346975000,51784888000,119114000,17855000,2878824.32905648,23272000,-198012000,-37770999.9999999,-15625000,-1504043000,-192660000,-1712197000,-50184000,-169933000,751000,1170836000,951470000,-798498000,-798498000,-798498000,157643000,1930181000,-35320000,0.36202,0.30416,0.03509,0.00227,-0.30074,14.47215,0.03727,1.83855,1.82535,6.04479,50.11855,-0.55292,0.78561,0.00324,-0.00068,0.4273,7.5302,8.49202
