"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",49.8395081967213,"Up",193836000,-62251000,131585000,-78493000,-41379000,-28514000,53092000,-1172000,-2459000,1287000,51920000,51920000,-17972000,33948000,33948000,33948000,33948000,178300000,178300000,143700000,143700000,142800000,20600000,17200000,485400000,407200000,177600000,49100000,6100000,584800000,1070200000,84500000,41800000,42700000,15600000,100100000,13500000,44300000,2.7e+07,57800000,157900000,618400000,337100000,-3700000,912300000,912300000,1070200000,33948000,12701000,-3276000,34113000,77486000,-12419000,-12419000,-12419000,-207519000,-8203000,-32719000,-162752000,-162752000,74000,-162678000,65793000,13500000,105459000,0.67885,0.2739,0.17514,0.03721,0.03172,3.10649,4.84915,0.17308,0.01261,0.76638,0.66657,4.3759,20.59541,2.38076,6,0.03499,0.10871,-2.50483,-3.10405
"33","2018_Q2",52.10171875,"Up",117800000,-54300000,63500000,-7.3e+07,-4e+07,-29100000,-9500000,1e+05,-2e+05,3e+05,-9400000,-9400000,4500000,-4900000,-4900000,-4900000,-4900000,163606000,163606000,122090000,122090000,155196000,35757000,27670000,476649000,411269000,180549000,49130000,3078000,591818000,1068467000,77569000,46216000,31353000,9301000,86870000,13469000,86848000,27483000,100317000,187187000,624534000,299639000,-3251000,881280000,881280000,1068467000,-4900000,12300000,4e+06,-12400000,-1e+06,-11600000,-11600000,-11600000,-11600000,-2e+06,-2100000,-14700000,-14700000,177399.762899793,-14700000,2800000,13469000,-25700000,0.53905,-0.08065,-0.0416,-0.00556,-0.00459,5.2449,5.48692,0.2124,0.01261,-0.09883,-0.09883,2.37595,17.77488,-0.51835,3,-0.00499,-0.02618,-53.62036,15.80389
"34","2018_Q3",58.3498412698413,"Up",220200000,-85100000,135100000,-68300000,-39700000,-24700000,66800000,-1e+06,-1e+06,-1.16415321826935e-10,65800000,65800000,-15700000,50100000,50100000,50100000,50100000,190237000,190237000,189489000,189489000,139373000,22209000,21166000,541308000,419157000,178426000,49130000,4869000,597583000,1138891000,84211000,41629000,39811000,12602000,96813000,13482000,90250000,26995000,103732000,200545000,632620000,349783000,-4415000,938346000,938346000,1138891000,50100000,12400000,19100000,-4.7e+07,34600000,-1.1e+07,-13600000,-13600000,-1.1e+07,3200000,3200000,26800000,26800000,-1e+05,26700000,79200000,13482000,36900000,0.61353,0.30336,0.22752,0.05339,0.04399,0.736530000000001,5.59127,0.21372,0.01184,1.00405,0.95432,4.41301,18.80533,0.73951,5,0.04808,0.03541,-2.23175999999999,-2.64603
"35","2018_Q4",64.4655555555556,"Up",173700000,-69400000,104300000,-8.3e+07,-42100000,-3.7e+07,21300000,3e+05,-6e+05,9e+05,21600000,21600000,-6e+05,2.1e+07,2.1e+07,2.1e+07,2.1e+07,339358000,339358000,76955000,76955000,125745000,21090000,20047000,563148000,435075000,175400000,49130000,5757000,610475000,1173623000,88270000,38874000,49232000,13744000,102014000,13495000,91465000,26122000,104960000,206974000,640229000,370728000,-4666000,966649000,966649000,1173623000,2.1e+07,12400000,9800000,130800000,1.74e+08,-26100000,-26100000,-26100000,-26100000,1700000,1700000,149600000,149600000,-5e+05,149100000,33700000,13495000,1.39e+08,0.60046,0.12263,0.1209,0.02172,0.01789,6.61905,5.5203,0.21411,0.0115,0.41814,0.4076,3.45864,19.24751,2.76771,5,0.0196,0.12971,-9.66953,-15.29873
"36","2019_Q1",58.9865573770492,"Down",1043700000,-315200000,728500000,-373300000,-181500000,-143700000,355200000,-2.6e+07,-29500000,3500000,329200000,329200000,-90300000,238900000,238900000,238900000,238900000,112200000,112200000,262500000,262500000,205800000,40300000,31500000,620800000,510200000,1098400000,259700000,63700000,1608600000,2229400000,169600000,80700000,88900000,20700000,200400000,784500000,233600000,166100000,1018100000,1218500000,688700000,367300000,-5500000,1010900000,1010900000,2229400000,-3500000,25100000,3100000,-190500000,-165800000,-20800000,-20800000,-20800000,-848500000,-9300000,785900000,-228400000,-228400000,4e+05,-2.28e+08,380300000,794600000,259300000,0.698,0.34033,0.2289,0.23632,0.10716,1.08539,3.0978,1.20536,0.35642,4.71203,4.59423,20.5858,19.93886,5.1144,4,0.11716,0.12716,1.79437,1.92117
"37","2019_Q2",47.9234920634921,"Down",190600000,-91800000,98800000,-1.26e+08,-65400000,-46100000,-27200000,-10600000,-9600000,-1e+06,-37800000,-37800000,11800000,-2.6e+07,-2.6e+07,-2.6e+07,-2.6e+07,137200000,137200000,121500000,121500000,2.11e+08,58800000,58600000,528500000,513400000,1111800000,267700000,8.7e+07,1625200000,2153700000,165100000,78600000,86500000,73200000,248400000,732400000,185400000,54300000,917800000,1166200000,690300000,341300000,-4500000,987500000,987500000,2153700000,-2.6e+07,26600000,-2300000,106500000,104800000,-21400000,-21400000,-21400000,-21400000,-6300000,-58200000,25200000,25200000,511725.143515737,25200000,-6e+05,742500000,72700000,0.51836,-0.14271,-0.13641,-0.02633,-0.01207,-2.79615,2.12762,1.18096,0.34476,-0.50757,-0.50757,3.7209,19.27803,1.41925,3,-0.01357,0.03796,-1008.83333,-22.25368
"38","2019_Q3",46.583125,"Down",243300000,-100900000,142400000,-149600000,-7.1e+07,-63900000,-7200000.00000006,-8e+06,-9400000,1400000,-15200000,-15200000,5599999.99999999,-9600000,-9599999.99999994,-9600000,-9600000,177400000,177400000,218100000,218100000,2.32e+08,65200000,6.5e+07,692700000,520500000,1108100000,268300000,97400000,1628600000,2321300000,2.24e+08,124500000,99500000,67100000,301200000,830400000,200800000,58200000,1031200000,1332400000,701900000,331700000,-5e+06,988900000,988900000,2321300000,-9600000,28500000,25800000,-80499999.9999999,-35800000,-14100000,-14100000,-14100000,-24100000,-8e+05,100100000,40200000,40200000,-1107.7175335018,40200000,21300000.0000001,840500000,-78900000,0.58529,-0.02959,-0.03946,-0.00970999999999998,-0.00414000000000001,8.21875,2.2998,1.34736,0.36208,-0.18686,-0.18686,4.73569,19.24833,-1.53574,1,-0.00473,-0.03886,31.13146,-92.09722
"39","2019_Q4",54.23796875,"Up",311800000,-1.08e+08,203800000,-1.33e+08,-64900000,-53400000,70800000,-11900000,-10300000,-1600000,58900000,58900000,-15700000,43200000,43200000,43200000,43200000,139200000,139200000,281200000,281200000,230200000,49400000,49200000,7e+08,529100000,1104700000,268600000,108400000,1633800000,2333800000,198900000,91300000,107600000,66300000,275300000,813300000,210200000,149100000,1023500000,1298800000,708900000,374900000,-9100000,1.035e+09,1.035e+09,2333800000,43200000,27700000,7100000,-81100000,-3100000,-15300000,-15300000,-15300000,-15300000,-3e+06,-19700000,-38100000,-38100000,-99999.9999999999,-38200000,98500000,823400000,17800000,0.65362,0.22707,0.13855,0.04174,0.01851,0.41204,2.54268,1.25488,0.35282,0.83721,0.79558,6.04264,20.05814,0.34496,4,0.02088,0.0086,6.94619,9.66384
"40","2020_Q1",57.6285483870968,"Up",360300000,-132800000,227500000,-149800000,-72200000,-62800000,77700000,-6200000,-9100000,2900000,71500000,71500000,-24600000,46900000,46900000,46900000,46900000,167800000,167800000,270700000,270700000,222500000,25200000,2.5e+07,686200000,542300000,1098800000,266600000,119300000,1641100000,2327300000,196700000,94800000,101900000,6699999.99999999,216300000,798400000,224100000,160200000,1022500000,1238800000,716200000,421800000,-9900000,1088500000,1088500000,2327300000,46900000,27900000,34600000,12700001,122100001,-36100000,-36100000,-36100000,-36100000,-39500001,-58100001,27900000,27900000,5e+05,28400000,105600000,811300000,106800001,0.63142,0.21565,0.13017,0.04309,0.02015,2.27719,3.17245,1.13808,0.3486,0.90541,0.88994,6.9556,21.01351,2.06178,5,0.02208,0.05028,6.09375,8.28185
"41","2020_Q2",74.5196825396825,"Up",192500000,-76900000,115600000,-127200000,-69700000,-42700000,-11600000,-9700000,-8600000,-1100000,-21300000,-21300000,8800000,-12500000,-12500000,-12500000,-12500000,181500000,181500000,162500000,162500000,248100000,34500000,24100000,626600000,549200000,1102900000,266400000,110800000,1652100000,2278700000,173200000,84200000,8.9e+07,7600000,207100000,762900000,233900000,1.7e+08,996800000,1203900000,726300000,409300000,-21200000,1074800000,1074800000,2278700000,-12500000,28200000,3700000,38400000,57800000,-24200000,-24200000,-24200000,-24200000,2800000,-2e+07,13600000,13600000,1e+05,13700000,16600000,789200000,2.2e+07,0.60052,-0.06026,-0.06494,-0.01163,-0.00549,-1.76,3.02559,1.12012,0.34634,-0.24038,-0.24038,3.70192,20.66923,0.42308,6,-0.00596,0.01049,36.60843,-52.38793
"42","2020_Q3",107.799375,"Up",394700000,-129800000,264900000,-138900000,-7.6e+07,-47900000,1.26e+08,-5300000,-6400000,1100000,120700000,120700000,-2.8e+07,92700000,92700000,92700000,92700000,268800000,268800000,258600000,258600000,236200000,32300000,32100000,795900000,580100000,1090100000,266300000,130600000,1670200000,2466100000,177600000,84800000,92800000,8.7e+07,293700000,758100000,215500000,151600000,973600000,1267300000,758600000,5.02e+08,-22200000,1198800000,1198800000,2466100000,92700000,28600000,27300000,-20700000,127900000,-35100000,-35100000,-35100000,-45100000,7499999.99999999,4699999.99999999,87500000,87500000,-2e+05,87300000,154600000,787200000,126800000,0.67114,0.31923,0.23486,0.07733,0.03759,1.36785,2.70991,1.05714,0.31921,1.76236,1.70404,7.5038,22.79087,2.41065,8,0.04211,0.0576,3.35317,4.11428999999999
"43","2020_Q4",91.780625,"Down",385200000,-1.49e+08,236200000,-174900000,-75500000,-84400000,61300000,-6300000,-7600000,1300000,5.5e+07,5.5e+07,-15500000,39500000,39500000,39500000,39500000,4.15e+08,4.15e+08,196100000,196100000,270100000,77600000,77400000,958800000,606500000,1.051e+09,266500000,106400000,1657500000,2616300000,214600000,102800000,111800000,53800000,299300000,848500000,2.17e+08,1.53e+08,1065500000,1364800000,7.71e+08,541500000,-21400000,1251500000,1251500000,2616300000,39500000,28800000,68900000,-3.2e+07,105200000,-45700000,-45700000,-45700000,-45700000,-7100000,87100000,146600000,146600000,-4e+05,146200000,90100000,879400000,27900000,0.61319,0.15914,0.10254,0.03156,0.0151,0.70633,3.20347,1.09053,0.33612,0.74669,0.7261,7.28166,23.65784,0.52741,5,0.01682,0.01188,5.15427,7.57586
"44","2021_Q1",102.419180327869,"Up",5.83e+08,-168300000,414700000,-156600000,-82100000,-59500000,258100000,-5300000,-8700000,3400000,252800000,252800000,-67400000,185400000,185400000,185400000,185400000,621300000,621300000,230900000,230900000,3.07e+08,36700000,36500000,1195900000,644100000,1043200000,266700000,113400000,1687300000,2883200000,267600000,136100000,131500000,83100000,384500000,8.41e+08,210700000,1.02e+08,1051700000,1436200000,7.85e+08,726900000,-25300000,1.447e+09,1.447e+09,2883200000,185400000,28900000,7699999.99999999,23100000,245100000,-3.6e+07,-3.6e+07,-3.6e+07,-3.6e+07,3400000,-2300000,206800000,206800000,-5e+05,206300000,2.87e+08,874800000,341500000,0.71132,0.44271,0.31801,0.12813,0.0643,1.84196,3.11027,0.99254,0.30341,3.47842,3.40809,10.93809,27.14822,6.40713,7,0.07321,0.13485,0.883279999999998,0.98218
"45","2021_Q2",64.2434920634921,"Down",3.43e+08,-99300000,243700000,-148300000,-80900000,-52500000,95400000,-10200000,-8500000,-1700000,85200000,85200000,-15500000,69700000,69700000,69700000,69700000,547800000,547800000,184400000,184400000,406500000,42400000,42200000,1181100000,692900000,1026100000,266500000,111400000,1.719e+09,2900100000,222200000,142200000,8e+07,1.22e+08,370200000,833100000,1.74e+08,120700000,1007100000,1377300000,790200000,796600000,-24400000,1522800000,1522800000,2900100000,69700000,28700000,14400000,-107700000,5100000,-56100000,-56100000,-56100000,-56100000,-6e+06,-22200000,-73200000,-73200000,-3e+05,-73500000,124100000,859100000,-24200000,0.7105,0.27813,0.20321,0.04577,0.02403,-0.3472,3.19044,0.90445,0.29623,1.30769,1.2789,6.43527,28.57036,-0.45403,7,0.02727,-0.00947,2.50846,3.2631
"46","2021_Q3",60.5575,"Down",397500000,-227800000,169700000,-155200000,-91200000,-48900000,14500000,-7300000,-8600000,1300000,7199999.99999997,7200000,-2600000,4600000,4600000,4600000,4600000,447500000,447500000,261899999,261899999,386400000,66299999,66099999,1162099998,743500000,1009600000,266600000,109900000,1753100000,2915199998,248800000,151800000,9.7e+07,100200000,377800000,825200000,168500000,115300000,993700000,1371500000,804500000,801200000,-22400000,1543700000,1543700000,2915200000,4600000.00000003,33200000,1e+07,-77500000,-29700000,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,1900000,-3800000,-100500000,-100500000,2e+05,-100300000,47700000,8.54e+08,-94199999.9999999,0.42692,0.03648,0.01157,0.00298,0.00158,-20.47826,3.07597,0.88845,0.29295,0.0862999999999998,0.0843999999999998,7.45779,28.96248,-1.76735,3,0.00179,-0.03671,8.52201,28.03448
"47","2021_Q4",45.2384375,"Down",3.29e+08,-217500000,111500000,-146200000,-82100000,-49600000,-34700000,-10800000,-8400000,-2400000,-45500000,-45500000,12800000,-32700000,-32700000,-32700000,-32700000,403800000,403800000,254600000,254600000,364600000,88500000,88300000,1111500000,768700000,987300000,266500000,102200000,1.756e+09,2867500000,251500000,135200000,116300000,82300000,365400000,817300000,162100000,63800000,979400000,1344800000,816900000,768500000,-23100000,1522700000,1522700000,2867500000,-32700000,32700000,105400000,-88700000,16700000,-55200000,-60055513.5652504,-60055513.5652504,-55200000,6e+05,-5e+06,-43500000,-43500000,-2e+05,-43700000,-2e+06,848900000,-158700000,0.33891,-0.10547,-0.09939,-0.02148,-0.0114,4.85321,3.04187,0.88317,0.29604,-0.61007,-0.60556,6.13806,28.40858,-2.96082,4,-0.01291,-0.06264,-222.55,-12.82709
"48","2022_Q1",44.1058064516129,"Down",723199999,-212900000,510299999,-191200000,-94200000,-8.3e+07,319099999,-9900000,-9e+06,-9e+05,309199999,267499999,-78200000,189299999,189299999,189299999,189299999,576100000,576100000,274700000,274700000,350800000,70500000,70300000,1272100000,800100000,886800000,224900000,57300000,1686900000,2.959e+09,269300000,128900000,140400000,72900000,373800000,809400000,156800000,61900000,966200000,1.34e+09,829500000,957800000,-16100000,1.619e+09,1.619e+09,2.959e+09,189300000,29200000,-7000001,117500000,328999999,-46700000,-44980781.3597048,-44980781.3597048,-46700000,4400000,-1.1e+08,172299999,172299999,0,172299999,348299999,8.41e+08,497299999,0.70561,0.44123,0.26175,0.11692,0.06397,2.62705,3.40316,0.82767,0.28422,3.53172,3.50556,13.49254,30.20522,9.27799,7,0.07234,0.19004,0.760550000000023,0.830150000000001
"49","2022_Q2",34.1408064516129,"Down",307500000,-155900000,151600000,-145200000,-84800000,-46400000,6400000,-10199999,-8199999,-2e+06,-3799999,-3799999,1e+05,-3699999,-3699999,-3699999,-3699999,435800000,435800000,181800000,181800000,400700000,8.2e+07,81800000,1100300000,807500000,872600000,224900000,57100000,1680100000,2780400000,1.93e+08,107300000,85700000,24600000,249200000,801500000,154400000,53700000,955900000,1205100000,834900000,954100000,-9300000,1575300000,1575300000,2780400000,-3700000,30900000,13900000,-78400000,-37300000,-32200000,-32200000,-32200000,-32200000,-4500000,-70500000,-1.4e+08,-1.4e+08,-3e+05,-140300000,37300000,833100000,-73400000,0.49301,0.02081,-0.01203,-0.00235,-0.00133,19.83784,4.41533,0.765,0.29963,-0.06916,-0.06839,5.74766,29.44486,-1.37196,2,-0.00144,-0.02864,10.65147,62.07812
"50","2022_Q3",27.8284375,"Down",242700000,-169800000,72900000,-144900000,-81100000,-49800000,-7.2e+07,-10800001,-7800001,-3e+06,-82800001,-82800001,26400000,-56400001,-56400001,-56400001,-56400001,358100000,358100000,1.75e+08,1.75e+08,425500000,125600000,125400000,1084200000,798400000,852800000,224900000,51300000,1651200000,2735400000,220900000,106200000,114700000,24200000,276700000,793600000,151900000,58500000,945500000,1222200000,849300000,897700000,-6100000,1513200000,1513200000,2735400000,-56400000,44500000,16900000,-20600000,-15600000,-32100000,-32100000,-32100000,-32100000,2100000,-30700000,-78400000,-78400000,7e+05,-77700000,-27500000,825200000,-106600000,0.30037,-0.29666,-0.23239,-0.03727,-0.02062,1.89007,3.91832,0.80769,0.30167,-1.128,-1.128,4.854,30.264,-2.132,3,-0.02265,-0.04281,-16.98545,-6.4875
