"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",18.3431746031746,"Down",2.479e+09,-6.58e+08,1.821e+09,-1.426e+09,-6.61e+08,-1.01e+08,-6.64e+08,3.95e+08,-4.7e+08,-4.67e+08,-2e+06,-7.5e+07,-1.257e+09,-1.332e+09,1.13e+08,-1.219e+09,-1.219e+09,-1.218e+09,-1.218e+09,658500000,658500000,2708400000,2708400000,1300100000,1006800000,1006800000,5673800000,1.462e+09,38625400000,20509400000,17450100000,452300000,213600000,40087400000,45761200000,3750500000,358700000,3391800000,3896800000,30386200000,7204600000,5.839e+09,1175300000,37590800000,41487600000,10360300000,-4614100000,-1578900000,4167300000,4273600000,45761200000,-1.219e+09,7.08e+08,1.139e+09,-5.8e+07,5.7e+08,-7.1e+07,2e+06,-6.9e+07,-6.44e+08,-85000000.0000001,-6.97e+08,-1.96e+08,-1.96e+08,3e+06,-1.93e+08,1.103e+09,30445200000,8.61e+08,0.73457,0.15934,-0.49133,-0.28501,-0.02662,-0.7069,1.45602,9.70788,0.66531,-3.48498,-3.48498,7.09299,11.92361,2.46352,-0.02905,0.02054,27.00517,75.40937
"28","2017_Q1",13.7566129032258,"Down",2.403e+09,-6.65e+08,1.738e+09,-1.416e+09,-6.65e+08,-9.3e+07,-6.58e+08,3.22e+08,-6.03e+08,-4.65e+08,-4.5e+07,-2.81e+08,-7.9e+07,-3.6e+08,-1.52e+08,-5.12e+08,-5.12e+08,-5.15e+08,-5.15e+08,5.42e+08,5.42e+08,2.517e+09,2.517e+09,1.061e+09,9.57e+08,6.96e+08,5.077e+09,1.312e+09,3.714e+10,1.8884e+10,1.5794e+10,1.46e+08,2.316e+09,3.8452e+10,4.3529e+10,3.551e+09,3.24e+08,3.227e+09,3.609e+09,2.9845e+10,6.817e+09,5.434e+09,1.383e+09,3.6662e+10,4.0271e+10,1.0389e+10,-5.129e+09,-2.108e+09,3.152e+09,3.258e+09,4.3529e+10,-5.12e+08,7.07e+08,3.78e+08,-6.1e+07,5.12e+08,6e+06,-4.65661287307739e-10,6000000.00000003,-5.19e+08,-5.6e+07,-5.75e+08,-5.7e+07,-5.7e+07,-6e+07,-1.17e+08,1.029e+09,2.9846e+10,1.126e+09,0.72326,0.134,-0.21432,-0.15807,-0.01183,-2.18641,1.40676,12.36065,0.68566,-1.47227,-1.47227,6.86964,9.01086,3.21898,-0.0129,0.02821,28.47813,91.00621
"29","2017_Q2",11.9873015873016,"Down",2.109e+09,-5.96e+08,1.513e+09,-1.392e+09,-6.61e+08,-9.6e+07,-6.35e+08,1.21e+08,-2.02e+08,-4.71e+08,2.9e+07,-8.1e+07,-2.14e+08,-2.95e+08,9.24e+08,6.29e+08,6.29e+08,6.28e+08,6.28e+08,1.21e+09,1.21e+09,2.097e+09,2.097e+09,1.111e+09,9.15e+08,6.75e+08,5.333e+09,1.328e+09,3.5672e+10,1.8186e+10,1.5753e+10,1.42e+08,1.591e+09,3.7e+10,4.2333e+10,3.852e+09,3.68e+08,3.484e+09,4.247e+09,2.8198e+10,5.894e+09,4.49e+09,1.207e+09,3.4092e+10,3.8339e+10,1.0415e+10,-4.502e+09,-2.02e+09,3.893e+09,3.994e+09,4.2333e+10,6.29e+08,6.74e+08,-9.41e+08,5.92e+08,9.54e+08,1.148e+09,0,1.148e+09,-1.386e+09,-5.6e+07,-1.442e+09,6.6e+08,6.6e+08,8e+06,6.68e+08,7.95e+08,2.8544e+10,1.611e+09,0.7174,0.05737,0.29777,0.15724,0.01483,2.56529,1.25571,9.59915,0.67427,1.79531,1.79173,6.02916,11.12922,4.60549,0.01634,0.04192,34.38239,225.90083
"30","2017_Q3",15.1228571428571,"Up",2.233e+09,-6.46e+08,1.587e+09,-1.376e+09,-6.59e+08,-9.4e+07,-6.23e+08,2.11e+08,-3.98e+08,-4.56e+08,3.9e+07,-1.87e+08,-54999999.9999999,-2.42e+08,2.05e+08,-3.7e+07,-3.7e+07,-38000000.0000001,-38000000.0000001,1.214e+09,1.214e+09,2.096e+09,2.096e+09,1.084e+09,1.598e+09,7.1e+08,5.992e+09,1.373e+09,3.4368e+10,1.7516e+10,1.5892e+10,1.4e+08,8.2e+08,3.5741e+10,4.1733e+10,3.63e+09,3.71e+08,3.259e+09,4.465e+09,2.7648e+10,5.591e+09,4.273e+09,1.117e+09,3.3239e+10,3.7704e+10,1.0435e+10,-4.539e+09,-1.965e+09,3.931e+09,4.029e+09,4.1733e+10,-3.7e+07,6.67e+08,-3.98e+08,35999999.9999999,2.68e+08,7.8e+08,0,7.8e+08,-2.28e+08,-2.1e+07,-2.49e+08,7.99e+08,7.99e+08,1.6e+07,8.15e+08,8.78e+08,2.8461e+10,1.489e+09,0.7107,0.09449,-0.01702,-0.00943,-0.00091,-39.18421,1.34199,9.35815,0.68198,-0.108539999999999,-0.10854,6.37818,11.22822,4.25307,-0.001,0.0391,31.03303,129.1327
"31","2017_Q4",15.8584126984127,"Up",2.219e+09,-6.59e+08,1.56e+09,-1.361e+09,-6.23e+08,-8.1e+07,-6.57e+08,1.99e+08,-1.12e+08,-4.56e+08,1.9e+07,8.7e+07,-4.87e+08,-4e+08,1.7e+09,1.3e+09,1.3e+09,1.301e+09,1.301e+09,9.64e+08,9.64e+08,2.229e+09,2.229e+09,1.071e+09,1.68e+09,7.36e+08,5.944e+09,1.398e+09,3.2632e+10,1.6023e+10,1.5573e+10,1.66e+08,8.7e+08,3.403e+10,3.9974e+10,3.803e+09,4.07e+08,3.396e+09,4.728e+09,2.6216e+10,3.608e+09,2.237e+09,1.173e+09,2.9824e+10,3.4552e+10,1.0454e+10,-3.239e+09,-1.888e+09,5.327e+09,5.422e+09,3.9974e+10,1.3e+09,6.98e+08,-1.55e+09,4.2e+07,4.9e+08,8.71e+08,-2e+06,8.69e+08,-1.412e+09,-1.8e+07,-1.43e+09,-7.1e+07,-7.1e+07,1.5e+07,-5.6e+07,8.97e+08,2.7141e+10,1.1e+08,0.70302,0.08968,0.5863,0.23995,0.03255,0.08455,1.25719,6.37256,0.67897,3.7129,3.69288,6.33276,15.20263,0.31393,0.03597,0.00304,29.18283,131.54271
"32","2018_Q1",18.6122950819672,"Up",2.163e+09,-6.47e+08,1.516e+09,-1.504e+09,-6.39e+08,-9e+07,-7.75e+08,1.2e+07,-6.56e+08,-4.45e+08,2e+07,-6.44e+08,-1.6e+08,-8.04e+08,1.316e+09,5.12e+08,5.12e+08,5.13e+08,5.13e+08,7.2e+08,7.2e+08,2.13e+09,2.13e+09,1.048e+09,8.48e+08,7.71e+08,4.746e+09,1.403e+09,3.1348e+10,1.5211e+10,1.5593e+10,4.33e+08,1.11e+08,3.2751e+10,3.7497e+10,4.059e+09,3.65e+08,3.694e+09,4.268e+09,2.5235e+10,2.05e+09,1.18e+09,8.7e+08,2.7285e+10,3.1553e+10,1.047e+10,-2.725e+09,-1.896e+09,5.849e+09,5.944e+09,3.7497e+10,5.12e+08,8.19e+08,-9.27e+08,1.74e+08,5.78e+08,1.18e+08,-3e+06,1.15e+08,-1.76e+09,-1.07e+08,-1.867e+09,-1.174e+09,-1.174e+09,2e+06,-1.172e+09,8.31e+08,2.5444e+10,-1.93e+08,0.70088,0.00555,0.23717,0.08631,0.01368,-0.37622,1.112,5.30838,0.67856,1.46362,1.44793,6.17118,16.68759,-0.55064,0.01534,-0.00577,29.75211,2060.33333
"33","2018_Q2",20.67765625,"Up",1.995e+09,-5.73e+08,1.422e+09,-1.426e+09,-5.91e+08,-9.2e+07,-7.43e+08,-4e+06,-3.97e+08,-4.13e+08,2.7e+07,-4.01e+08,-2.293e+09,-2.694e+09,1.15e+08,-2.579e+09,-2.579e+09,-2.581e+09,-2.581e+09,9.09e+08,9.09e+08,1.94e+09,1.94e+09,1.042e+09,8.33e+08,8.33e+08,4.724e+09,1.411e+09,2.9663e+10,1.4464e+10,1.3432e+10,1.66e+09,1.07e+08,3.1074e+10,3.5798e+10,3.988e+09,4.28e+08,3.56e+09,3.99e+09,2.5266e+10,2.019e+09,1.139e+09,8.8e+08,2.7285e+10,3.1275e+10,1.0485e+10,-4.209e+09,-1.852e+09,4.424e+09,4.523e+09,3.5798e+10,-2.579e+09,7.86e+08,2.008e+09,2.23e+08,4.38e+08,-5.5e+07,2e+06,-4.8e+07,-2.51e+08,-3.7e+07,-2.88e+08,1.02e+08,1.02e+08,1e+07,1.12e+08,7.82e+08,2.5268e+10,8.35e+08,0.71278,-0.00201,-1.29373,-0.57064,-0.0721,-0.32352,1.18396,6.91466,0.70585,-7.35957,-7.35957,5.68862,12.61477,2.38095,-0.08114,0.02625,31.14962,-6089.75
"34","2018_Q3",22.8973015873016,"Up",2.128e+09,-5.94e+08,1.534e+09,-1.477e+09,-6.42e+08,-9.4e+07,-7.41e+08,5.7e+07,-4.41e+08,-4.32e+08,-9e+06,-3.84e+08,-3.5e+08,-7.34e+08,-1.38e+08,-8.72e+08,-8.72e+08,-8.73e+08,-8.73e+08,8.38e+08,8.38e+08,1.973e+09,1.973e+09,9.93e+08,8.35e+08,8.35e+08,4.639e+09,1.355e+09,2.8454e+10,1.3393e+10,1.3283e+10,1.654e+09,1.24e+08,2.9809e+10,3.4448e+10,3.844e+09,4.17e+08,3.427e+09,4.074e+09,2.4858e+10,1.958e+09,1.13e+09,8.28e+08,2.6816e+10,3.089e+10,1.0505e+10,-4.97e+09,-2.068e+09,3.467e+09,3.558e+09,3.4448e+10,-8.72e+08,7.84e+08,4.7e+08,-1.6e+08,2.22e+08,-8.9e+07,-2e+06,-9.1e+07,-1.12e+08,-6.5e+07,-1.77e+08,-4.6e+07,-4.6e+07,-2.5e+07,-7.1e+07,8.41e+08,2.5088e+10,7.3e+08,0.72086,0.02679,-0.41024,-0.24536,-0.02534,-0.8362,1.13868,8.68184,0.72829,-2.48506,-2.48506,6.0575,9.86906,2.078,-0.02853,0.02385,28.83472,425.4386
"35","2018_Q4",23.7873015873016,"Up",2.136e+09,-5.82e+08,1.554e+09,-1.379e+09,-6.14e+08,-1.07e+08,-6.58e+08,1.75e+08,-4.02e+08,-4.17e+08,0,-2.27e+08,-7.3e+07,-3e+08,-5.1e+07,-3.51e+08,-3.51e+08,-3.5e+08,-3.5e+08,9.73e+08,9.73e+08,2.041e+09,2.041e+09,9.71e+08,7.57e+08,7.57e+08,4.742e+09,1.341e+09,2.7694e+10,1.2655e+10,1.329e+10,1.641e+09,1.08e+08,2.9035e+10,3.3777e+10,3.864e+09,4.4e+08,3.424e+09,4.162e+09,2.4433e+10,1.945e+09,1.131e+09,8.14e+08,2.6378e+10,3.054e+10,1.0526e+10,-5.32e+09,-2.053e+09,3.153e+09,3.237e+09,3.3777e+10,-3.51e+08,7.03e+08,1.31e+08,3.9e+07,5.22e+08,5e+06,0,5e+06,-3.67e+08,-2e+07,-3.86e+08,1.41e+08,1.41e+08,-6e+06,1.35e+08,8.78e+08,2.4731e+10,9.73e+08,0.72753,0.08193,-0.16386,-0.10812,-0.01036,-2.78,1.13936,9.43466,0.73218,-0.99573,-0.99573,6.07681,8.97013,2.76814,-0.0117,0.03253,27.05923,135.760000000001
"36","2019_Q1",23.8827868852459,"Up",2.121e+09,-6.02e+08,1.519e+09,-1.248e+09,-6.26e+08,-1.2e+08,-5.02e+08,2.71e+08,-3.91e+08,-4.12e+08,5e+06,-1.2e+08,-3.06e+08,-4.26e+08,8.4e+07,-3.42e+08,-3.42e+08,-3.44e+08,-3.44e+08,7.21e+08,7.21e+08,1.865e+09,1.865e+09,9.34e+08,6.91e+08,6.89e+08,4.211e+09,1.353e+09,2.6928e+10,1.2001e+10,1.3142e+10,1.676e+09,1.09e+08,2.8281e+10,3.2492e+10,3.608e+09,4.11e+08,3.197e+09,3.836e+09,2.4077e+10,1.764e+09,8.85e+08,8.79e+08,2.5841e+10,2.9677e+10,1.0534e+10,-5.664e+09,-2.137e+09,2.733e+09,2.815e+09,3.2492e+10,-3.42e+08,5.46e+08,2.16e+08,-1.01e+08,3.19e+08,-6.2e+07,0,-6.2e+07,-4.3e+08,-7.1e+07,-5.02e+08,-2.45e+08,-2.45e+08,-5e+06,-2.5e+08,8.17e+08,2.4305e+10,5.7e+08,0.71617,0.12777,-0.16219,-0.1222,-0.01059,-1.65698,1.09776,10.54245,0.74803,-0.97811,-0.97811,6.03071,7.77083,1.6207,-0.01191,0.01973,28.86659,87.02583
"37","2019_Q2",23.7420634920635,"Down",2.016e+09,-5.37e+08,1.479e+09,-1.193e+09,-5.87e+08,-1.17e+08,-4.89e+08,2.86e+08,-3.98e+08,-4.02e+08,0,-1.12e+08,-1e+07,-1.22e+08,7.4e+07,-4.8e+07,-4.8e+07,-5.2e+07,-5.2e+07,7.82e+08,7.82e+08,1.786e+09,1.786e+09,1.012e+09,6.95e+08,6.93e+08,4.275e+09,1.341e+09,2.6935e+10,1.1683e+10,1.3121e+10,1.754e+09,3.77e+08,2.8276e+10,3.2551e+10,3.684e+09,4.29e+08,3.255e+09,3.941e+09,2.3924e+10,1.907e+09,8.8e+08,1.027e+09,2.5831e+10,2.9772e+10,1.0525e+10,-5.716e+09,-2.116e+09,2.693e+09,2.779e+09,3.2551e+10,-4.8e+07,5.32e+08,-7.3e+07,2e+06,4.13e+08,-2.2e+07,-1e+06,-2.03e+08,-1.07e+08,-4.3e+07,-1.5e+08,6e+07,6e+07,1e+06,6.1e+07,8.18e+08,2.4181e+10,7.24e+08,0.73363,0.14187,-0.02579,-0.01871,-0.0016,-13.92308,1.08475,10.71321,0.74287,-0.14802,-0.14802,5.73868,7.66581,2.06092,-0.0018,0.02508,28.60513,81.81469
"38","2019_Q3",22.8771875,"Down",2.152e+09,-5.94e+08,1.558e+09,-1.256e+09,-6.51e+08,-1.17e+08,-4.88e+08,3.02e+08,-4.12e+08,-4.06e+08,3e+06,-1.1e+08,-6.9e+07,-1.79e+08,9e+06,-1.7e+08,-1.7e+08,-1.71e+08,-1.71e+08,8.78e+08,8.78e+08,1.829e+09,1.829e+09,1.06e+09,7e+08,6.98e+08,4.467e+09,1.372e+09,2.6515e+10,1.1196e+10,1.316e+10,1.799e+09,3.6e+08,2.7887e+10,3.2354e+10,3.649e+09,5.27e+08,3.122e+09,3.705e+09,2.4023e+10,1.938e+09,8.84e+08,1.054e+09,2.5961e+10,2.9666e+10,1.0549e+10,-5.887e+09,-2.061e+09,2.601e+09,2.688e+09,3.2354e+10,-1.7e+08,5.31e+08,1.04e+08,-1.25e+08,3.4e+08,-5.5e+07,-3e+06,-5.9e+07,-1.49e+08,-3.9e+07,-1.88e+08,9.3e+07,9.3e+07,3e+06,9.6e+07,8.33e+08,2.4079e+10,6.44e+08,0.72398,0.14033,-0.07946,-0.06362,-0.00529,-3.76608,1.20567,11.03646,0.74424,-0.48566,-0.48566,6.1119,7.38711,1.82903,-0.00596,0.02244,27.85234,76.8245
"39","2019_Q4",25.99609375,"Up",2.209e+09,-5.84e+08,1.625e+09,-1.246e+09,-6.48e+08,-1.23e+08,-4.75e+08,3.79e+08,-4.05e+08,-4.04e+08,9e+06,-2.6e+07,-4e+07,-6.6e+07,1.8e+07,-4.8e+07,-4.8e+07,-4.9e+07,-4.9e+07,8.25e+08,8.25e+08,1.747e+09,1.747e+09,1.1e+09,6.33e+08,6.31e+08,4.305e+09,1.39e+09,2.5972e+10,1.065e+10,1.3052e+10,1.868e+09,4.02e+08,2.7362e+10,3.1667e+10,3.635e+09,4.37e+08,3.198e+09,3.735e+09,2.3466e+10,1.906e+09,8.79e+08,1.027e+09,2.5372e+10,2.9107e+10,1.0574e+10,-5.936e+09,-2.156e+09,2.482e+09,2.56e+09,3.1667e+10,-4.8e+07,5.2e+08,3.5e+07,8e+06,5.15e+08,-7.2e+07,-1e+06,-7.3e+07,-4.62e+08,-1.2e+07,-4.74e+08,-3.2e+07,-3.2e+07,-2.1e+07,-5.3e+07,8.99e+08,2.3566e+10,8.17e+08,0.73563,0.17157,-0.02218,-0.01914,-0.00155,-16.67347,1.15261,11.36992,0.74418,-0.13909,-0.13909,6.27022,7.04513,2.31905,-0.00175,0.02915,25.29588,60.00264
"40","2020_Q1",24.1129032258065,"Down",2.224e+09,-6.35e+08,1.589e+09,-1.227e+09,-6.68e+08,-1.14e+08,-4.45e+08,3.62e+08,-1.803e+09,-3.88e+08,-4e+06,-1.441e+09,-2.9e+07,-1.47e+09,-4.7e+07,-1.517e+09,-1.517e+09,-1.516e+09,-1.516e+09,3.243e+09,3.243e+09,1.839e+09,1.839e+09,1.107e+09,7.8e+08,7.79e+08,6.969e+09,1.466e+09,2.5428e+10,1.0201e+10,1.3126e+10,1.69e+09,4.11e+08,2.6894e+10,3.3863e+10,5.014e+09,5.03e+08,4.511e+09,6.248e+09,2.4661e+10,1.818e+09,7.05e+08,1.113e+09,2.6479e+10,3.2727e+10,1.0601e+10,-7.452e+09,-2.086e+09,1.063e+09,1.136e+09,3.3863e+10,-1.517e+09,4.92e+08,1.434e+09,-1.76e+08,2.33e+08,-1.29e+08,-1e+06,-8.4e+07,2.272e+09,-1.7e+07,2.255e+09,2.404e+09,2.404e+09,1.3e+07,2.417e+09,8.54e+08,2.5895e+10,5.96e+08,0.71448,0.16277,-0.68165,-1.33451,-0.04477,-0.393139999999999,1.1154,28.80898,0.7647,-4.29827,-4.29827,6.30564,3.01389,1.68982,-0.05255,0.02066,26.52459,62.57459
"41","2020_Q2",17.6207936507937,"Down",2.012e+09,-5.19e+08,1.493e+09,-1.191e+09,-6.33e+08,-1.22e+08,-4.36e+08,3.02e+08,-4.38e+08,-3.89e+08,-1.3e+07,-1.36e+08,-4.2e+07,-1.78e+08,2.6e+07,-1.52e+08,-1.52e+08,-1.52e+08,-1.52e+08,9.12e+08,9.12e+08,1.712e+09,1.712e+09,1.124e+09,1.756e+09,7.45e+08,5.504e+09,1.45e+09,2.4911e+10,9.726e+09,1.3034e+10,1.74e+09,4.11e+08,2.6361e+10,3.1865e+10,4.882e+09,4.44e+08,4.438e+09,4.886e+09,2.4424e+10,1.765e+09,6.9e+08,1.075e+09,2.6189e+10,3.1075e+10,1.0605e+10,-7.605e+09,-2.281e+09,7.19e+08,7.9e+08,3.1865e+10,-1.52e+08,4.81e+08,7.3e+07,-1.41e+08,2.61e+08,-5.1e+07,0,-4e+07,-1.462e+09,-5.9e+07,-1.521e+09,-1.3e+09,-1.3e+09,-2.1e+07,-1.321e+09,7.83e+08,2.4428e+10,5.65e+08,0.74205,0.1501,-0.07555,-0.19241,-0.00477,-3.71711,1.12648,39.33544,0.76661,-0.43011,-0.43011,5.69327,2.03452,1.59875,-0.00563,0.02094,30.03321,77.86755
"42","2020_Q3",17.2240625,"Down",1.664e+09,-4.95e+08,1.169e+09,-1.07e+09,-5.26e+08,-1.08e+08,-4.36e+08,9.9e+07,-5.01e+08,-3.83e+08,0,-4.02e+08,-3.5e+07,-4.37e+08,1.12e+08,-3.25e+08,-3.25e+08,-3.26e+08,-3.26e+08,8.96e+08,8.96e+08,1.369e+09,1.369e+09,1.226e+09,1.787e+09,7.76e+08,5.278e+09,1.496e+09,2.4622e+10,9.297e+09,1.3084e+10,1.874e+09,3.67e+08,2.6118e+10,3.1396e+10,4.717e+09,4.47e+08,4.27e+09,4.718e+09,2.4357e+10,1.775e+09,6.94e+08,1.081e+09,2.6132e+10,3.085e+10,1.0628e+10,-7.931e+09,-2.223e+09,4.74e+08,5.46e+08,3.1396e+10,-3.25e+08,4.8e+08,6.1e+07,-1.6e+07,2e+08,-7.1e+07,4e+06,-6.7e+07,-1.22e+08,-3.1e+07,-1.53e+08,-19999999.9999995,-19999999.9999995,4000000.00000001,-1.6e+07,5.79e+08,2.4358e+10,3.8e+08,0.70252,0.0595,-0.19591,-0.59707,-0.01038,-1.16564,1.11869,56.50183,0.77583,-0.91779,-0.91779,4.68468,1.33446,1.06982,-0.01222,0.01424,40.52159,236.9899
"43","2020_Q4",18.65296875,"Up",2.138e+09,-5.9e+08,1.548e+09,-1.066e+09,-5.72e+08,-1.03e+08,-3.91e+08,4.82e+08,-4.03e+08,-3.72e+08,-1.3e+07,7.9e+07,-4e+06,7.5e+07,-5e+06,7e+07,7e+07,7.1e+07,7.1e+07,9.77e+08,9.77e+08,1.733e+09,1.733e+09,1.224e+09,1.737e+09,7.26e+08,5.671e+09,1.55e+09,2.4341e+10,8.923e+09,1.316e+10,1.913e+09,3.45e+08,2.5891e+10,3.1562e+10,4.732e+09,3.79e+08,4.353e+09,4.732e+09,2.4343e+10,1.832e+09,6.5e+08,1.182e+09,2.6175e+10,3.0907e+10,1.0654e+10,-7.86e+09,-2.207e+09,5.87e+08,6.55e+08,3.1562e+10,7e+07,4.36e+08,3e+06,-2.53e+08,2.56e+08,-1e+08,0,-7e+07,-1.02e+08,-1.5e+07,-1.17e+08,6.9e+07,6.9e+07,1.2e+07,8.1e+07,9.18e+08,2.4343e+10,5.7e+08,0.72404,0.22544,0.03321,0.1084,0.00225,8.02817,1.19844,47.18626,0.77128,0.19972,0.19972,6.01406,1.6512,1.60338,0.00265,0.02124,25.45316,48.47718
"44","2021_Q1",29.3309836065574,"Up",2.213e+09,-6.45e+08,1.568e+09,-1.137e+09,-6.36e+08,-1.19e+08,-3.82e+08,4.31e+08,-7.11e+08,-3.77e+08,-4e+06,-2.8e+08,-1.14e+08,-3.94e+08,2.42e+08,-1.52e+08,-1.52e+08,-1.53e+08,-1.53e+08,6.05e+08,6.05e+08,1.577e+09,1.577e+09,1.094e+09,2.066e+09,8.55e+08,5.342e+09,1.567e+09,2.429e+10,8.445e+09,1.3044e+10,2.137e+09,6.64e+08,2.5857e+10,3.1199e+10,4.913e+09,3.37e+08,4.576e+09,4.913e+09,2.3925e+10,1.756e+09,5.28e+08,1.228e+09,2.5681e+10,3.0594e+10,1.0681e+10,-8.013e+09,-2.133e+09,5.35e+08,6.05e+08,3.1199e+10,-1.52e+08,4.28e+08,1.15e+08,3e+06,3.94e+08,-8.7e+07,0,-8.4e+07,-5.01e+08,-2e+06,-5.03e+08,-1.93e+08,-1.93e+08,2.1e+07,-1.72e+08,8.59e+08,2.3925e+10,5.33e+08,0.70854,0.19476,-0.06914,-0.25289,-0.0049,-3.48366,1.08732,50.5686,0.76685,-0.4299,-0.4299,6.21804,1.50323,1.49761,-0.00582,0.02028,27.14785,54.10673
"45","2021_Q2",30.2963492063492,"Up",2.027e+09,-5.74e+08,1.453e+09,-1.075e+09,-6.06e+08,-1.12e+08,-3.57e+08,3.78e+08,-3.35e+08,-3.66e+08,1e+06,4.3e+07,-6.34e+08,-5.91e+08,-1.6e+07,-6.07e+08,-6.07e+08,-6.1e+08,-6.1e+08,6.79e+08,6.79e+08,1.499e+09,1.499e+09,1.076e+09,2.138e+09,9.24e+08,5.392e+09,1.556e+09,2.3249e+10,7.997e+09,1.2485e+10,2.15e+09,6.17e+08,2.4805e+10,3.0197e+10,4.898e+09,3.42e+08,4.556e+09,4.898e+09,2.3738e+10,1.685e+09,5.2e+08,1.165e+09,2.5423e+10,3.0321e+10,1.0682e+10,-8.623e+09,-2.256e+09,-1.97e+08,-1.24e+08,3.0197e+10,-6.07e+08,4.03e+08,5.31e+08,1.16e+08,4.43e+08,-6.6e+07,-3e+06,-5.6e+07,-2.03e+08,-4e+07,-2.43e+08,1.44e+08,1.44e+08,-1.3e+07,1.31e+08,7.81e+08,2.3738e+10,8.47e+08,0.71682,0.18648,-0.30094,4.91935,-0.0202,-1.38852,1.10086,-244.52419,0.7861,-1.70964,-1.70964,5.68105,-0.55213,2.37388,-0.02411,0.03348,29.52497,61.00265
"46","2021_Q3",28.3575,"Down",2.1e+09,-6.12e+08,1.488e+09,-1.672e+09,-6.85e+08,-1.15e+08,-3.6e+08,-1.84e+08,-3.85e+08,-3.62e+08,7e+06,-5.69e+08,-1.01e+08,-6.7e+08,7.7e+07,-5.93e+08,-5.93e+08,-5.95e+08,-5.95e+08,6.42e+08,6.42e+08,1.609e+09,1.609e+09,1.086e+09,2.113e+09,8.99e+08,5.45e+09,1.59e+09,2.3002e+10,7.624e+09,1.2527e+10,2.255e+09,5.96e+08,2.4592e+10,3.0042e+10,5.517e+09,4.42e+08,5.075e+09,5.517e+09,2.3439e+10,1.697e+09,5.16e+08,1.181e+09,2.5136e+10,3.0653e+10,1.0713e+10,-9.218e+09,-2.182e+09,-6.87e+08,-6.11e+08,3.0042e+10,-5.93e+08,4.04e+08,5.64e+08,2e+07,3.95e+08,-6.2e+07,4.65661287307739e-10,-4.3e+07,-3.18e+08,-7e+07,-3.88e+08,-35999999.9999999,-35999999.9999999,7000000.00000001,-29000000.0000001,2.2e+08,2.3439e+10,1.01e+08,0.70857,-0.08762,-0.28333,0.97381,-0.01981,-0.16975,0.98786,-50.16858,0.78021,-1.6676,-1.6676,5.88565,-1.92545,0.28307,-0.02426,0.00412,103.62273,-123.89674
"47","2021_Q4",26.77,"Down",2.111e+09,-5.82e+08,1.529e+09,-1.112e+09,-6.53e+08,-1.21e+08,-3.38e+08,4.17e+08,-1.63e+08,-3.49e+08,3e+06,2.54e+08,-3.8e+07,2.16e+08,-2.5e+07,1.91e+08,1.91e+08,1.88e+08,1.88e+08,6.9e+08,6.9e+08,1.73e+09,1.73e+09,1.058e+09,1.846e+09,6.32e+08,5.324e+09,1.584e+09,2.2344e+10,7.258e+09,1.2477e+10,2.266e+09,3.43e+08,2.3928e+10,2.9252e+10,5.437e+09,4.55e+08,4.982e+09,5.437e+09,2.2358e+10,1.592e+09,5.13e+08,1.079e+09,2.395e+10,2.9387e+10,1.0749e+10,-9.03e+09,-1.923e+09,-2.04e+08,-1.35e+08,2.9252e+10,1.91e+08,3.82e+08,8.8e+07,-9.7e+07,5.64e+08,-6.3e+07,0,5.88e+08,-1.103e+09,-5.4e+07,-1.157e+09,-5e+06,-5e+06,-9e+06,-1.4e+07,7.99e+08,2.2358e+10,6.64e+08,0.7243,0.19754,0.08906,-1.39259,0.00643,3.53191,0.97922,-217.68148,0.76432,0.52441,0.52441,5.88842,-0.56904,1.85216,0.00789,0.02788,27.1189,51.96163
