"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",50.23421875,"Down",5373500000,-2186200000,3187300000,-2193400000,-1811700000,-235500000,-146200000,993900000,55700000,-16500000,64100000,8100000,1049600000,1049600000,-361900000,687700000,687700000,-1e+05,687600000,687600000,2379900000,2263500000,116400000,764400000,764400000,1242600000,340800000,340800000,4727700000,4122500000,366900000,3726400000,1572300000,416900000,8215800000,12943500000,2.334e+09,6.48e+08,1.686e+09,1686300000,237500000,4420100000,1947900000,592100000,592100000,2.54e+09,6960100000,42600000,6.164e+09,-225100000,5981500000,1900000,5983400000,12943500000,687700000,247300000,2.55e+08,4.46e+08,1.636e+09,-331800000,-60300000,85300000,-145600000,1800000,-360100000,-2.97e+08,0,-197400000,-34300000,-528700000,747200000,747200000,-13800000,733400000,1241200000,2347700000,1717300000,0.59315,0.18496,0.12796,0.11492,0.05312,2.49753,1.06959,1.16323,0.18138,0.46275,0.45739,3.61633,4.02551,1.15573,0.19988,6,0.11034,0.19245,0.43194,-0.02594,-0.0324
"26","2016_Q3",49.58609375,"Down",4993300000,-2010300000,2.983e+09,-2184300000,-1796900000,-247800000,-139600000,798700000,61700000,-18300000,65600000,14400000,860400000,860400000,-285500000,574900000,574900000,1e+05,5.75e+08,5.75e+08,1417600000,1294400000,123200000,743700000,743700000,1293100000,429100000,429100000,3883500000,4246900000,6.05e+08,3.784e+09,1.625e+09,401200000,8635900000,12519400000,2358400000,662700000,1695700000,1443900000,240400000,4351200000,2447600000,624200000,624200000,3071800000,7.423e+09,42600000,5241200000,-189200000,5094600000,1800000,5096400000,12519400000,574900000,2.62e+08,54700000,-342100000,549500000,-336400000,-2.71e+08,162400000,-433400000,14700000,-592700000,-294800000,648800000,-1307500000,19200000,-934300000,-977500000,-977500000,8400000,-969100000,1060700000,2996500000,667700000,0.5974,0.15995,0.11515,0.11282,0.04593,1.16122,0.89251,1.45652,0.23935,0.3906,0.38679,3.39196,3.46077,0.45357,0.20026,5,0.09978,0.0766,0.5127,1.48855,1.97684
"27","2016_Q4",49.2980952380952,"Down",5237900000,-2060400000,3177500000,-2237900000,-1852800000,-247600000,-137500000,939600000,133800000,-21800000,82600000,7.3e+07,1073400000,1073400000,-318800000,754600000,754600000,-4e+05,754200000,754200000,2316300000,2141800000,174500000,747300000,747300000,1325100000,467500000,467500000,4856200000,4359200000,819500000,3798300000,1705100000,391100000,8.977e+09,13833200000,2390200000,675700000,1714500000,1455200000,238600000,4245200000,3202400000,661600000,661600000,3.864e+09,8109200000,148400000,5.702e+09,-128600000,5721800000,2200000,5.724e+09,13833200000,754600000,258900000,66500000,1400000,1081400000,-361500000,-281800000,161900000,-443700000,-1400000,-605300000,-2.93e+08,605700000,35400000,20800000,368900000,8.45e+08,8.45e+08,2400000,847400000,1198500000,3602200000,1157200000,0.60664,0.17938,0.14399,0.13176,0.05452,1.53434,1.14393,1.4167,0.2604,0.51471,0.50984,3.57463,3.90487,0.78974,0.19996,6,0.10485,0.11586,0.38849,1.07292,1.36856
"28","2017_Q1",50.6046774193548,"Up",5711200000,-2252100000,3459100000,-2337600000,-2011800000,-249900000,-75900000,1121500000,88300000,-24700000,105900000,7100000,1209800000,1215200000,-413500000,801700000,801700000,-8e+05,800900000,800900000,2263200000,2128800000,134400000,768800000,768800000,1378500000,347400000,347400000,4757900000,4533800000,1141700000,3879100000,1719600000,403300000,9554600000,14312500000,2729700000,730600000,1999100000,1417200000,2.46e+08,4546800000,3185300000,689700000,689700000,3.875e+09,8421800000,42600000,5949800000,-108400000,5.884e+09,6700000,5890700000,14312500000,801700000,261900000,119700000,247700000,1.431e+09,-410600000,-291900000,271100000,-5.63e+08,37700000,-664800000,-293200000,0,-365400000,-120100000,-778700000,-12500000,-12500000,-500000.000000002,-12999999.9999998,1383400000,3585200000,1.634e+09,0.60567,0.19637,0.14023,0.13596,0.05596,2.0402,1.04643,1.42968,0.25049,0.5474,0.54203,3.90349,4.0216,1.11681,0.2004,7,0.10763,0.16074,0.36609,0.95562,1.17878
"29","2017_Q2",54.3022222222222,"Up",5732900000,-2.295e+09,3437900000,-2389700000,-1994600000,-249700000,-145400000,1048200000,84700000,-23800000,84400000,24100000,1132900000,1132900000,-381400000,751500000,751500000,3e+05,751800000,751800000,2175400000,2034600000,140800000,865100000,865100000,1218700000,3.57e+08,3.57e+08,4616200000,4478500000,1278300000,3644300000,1.599e+09,394900000,9401100000,14017300000,2607400000,662500000,1944900000,1789900000,211600000,4397300000,3185700000,631200000,631200000,3816900000,8214200000,42600000,5996300000,-242300000,5796600000,6500000,5803100000,14017300000,751500000,263200000,94500000,420600000,1529800000,-307400000,-173800000,149600000,-323400000,79700000,-401500000,-3.64e+08,-4e+08,-356900000,-68200000,-1189100000,-60800000,-60800000,-33400000,-94200000,1311400000,3185700000,1.806e+09,0.59968,0.18284,0.13114,0.12955,0.05363,2.40223,1.04978,1.41548,0.22727,0.51581,0.51125,3.93338,3.97708,1.23911,0.24974,7,0.11599,0.18773,0.48417,0.7704,0.96384
"30","2017_Q3",49.9785714285714,"Down",5294100000,-2141200000,3152900000,-2301400000,-1913100000,-253600000,-134700000,851500000,119600000,-22900000,84200000,58300000,971100000,980700000,-327600000,653100000,653100000,-2.3283064365387e-10,653100000,653100000,2394900000,2163900000,2.31e+08,7.91e+08,7.91e+08,1323600000,409900000,409900000,4919400000,4564500000,1070100000,3673900000,1635800000,3.68e+08,9308500000,14227900000,2417500000,686900000,1730600000,1557600000,217900000,4000100000,3942500000,673900000,673900000,4616400000,8616500000,42500000,5768900000,-206400000,5.605e+09,6400000,5611400000,14227900000,653100000,266600000,16900000,-474700000,461900000,-330500000,158700000,3.21e+08,-162300000,8e+06,-163800000,-363800000,775200000,-591700000,-1199999.99999999,-181500000,116600000,116600000,12700000,129300000,1118100000,3967500000,640500000,0.59555,0.16084,0.12336,0.11639,0.0459,0.98071,1.22982,1.53553,0.27885,0.44942,0.44586,3.64306,3.85701,0.44075,0.25034,4,0.09918,0.06247,0.55704,1.40649,1.84686
"31","2017_Q4",51.2760317460317,"Up",5661500000,-2249100000,3412400000,-2349300000,-1.954e+09,-252700000,-142600000,1063100000,109100000,-23500000,100900000,31700000,1172200000,1.052e+09,-361100000,690900000,690900000,3e+05,691200000,691200000,3006100000,2716200000,289900000,791100000,791100000,1357300000,354800000,354800000,5509300000,4699800000,708300000,3605300000,1549100000,365300000,9013400000,14522700000,2472800000,702200000,1770600000,1553700000,211500000,4026500000,3935500000,711200000,711200000,4646700000,8673200000,42500000,5.986e+09,-185100000,5843400000,6100000,5849500000,14522700000,690900000,266600000,141300000,68500000,1167300000,-387400000,254300000,361100000,-106800000,28900000,-104200000,-3.62e+08,-2.5e+07,-1.34e+08,-6e+05,-521600000,541500000,541500000,10800000,552300000,1329700000,3935500000,1371900000,0.60274,0.18778,0.12209,0.11816,0.04759,1.98481,1.36826,1.48273,0.27099,0.47745,0.47362,3.91069,4.03633,0.94764,0.25005,6,0.10034,0.1307,0.52373,0.69895,0.87424
"32","2018_Q1",52.6826229508197,"Up",5698300000,-2.349e+09,3349300000,-2415300000,-2082300000,-255400000,-77600000,9.34e+08,167300000,-22300000,121900000,67700000,1101300000,1151900000,-362500000,789400000,789400000,-8e+05,788600000,788600000,2690900000,2462300000,228600000,870400000,870400000,1.364e+09,358100000,358100000,5283400000,4919500000,542300000,3620400000,1539200000,362800000,9082200000,14365600000,2.717e+09,782500000,1934500000,1503700000,215200000,4220700000,3932600000,755300000,750900000,4687900000,8908600000,42500000,5563200000,-155600000,5450100000,6900000,5.457e+09,14365600000,789400000,270700000,-42600000.0000001,75299999.9999999,1092800000,-494100000,140900000,222800000,-81900000,87300000,-180500000,-360600000,1.19209289550781e-07,-809100000,-17200000,-1186900000,-274600000,-274600000,20700000,-253900000,1204700000,3932600000,1148400000,0.58777,0.16391,0.13839,0.14451,0.0549,1.45625,1.25178,1.63251,0.27375,0.54779,0.54337,3.95825,3.78584,0.79772,0.25049,5,0.11328,0.1132,0.45727,1.03071,1.32944
"33","2018_Q2",51.9959375,"Down",6073700000,-2502900000,3570800000,-2516500000,-2116100000,-258800000,-141600000,1054300000,151700000,-25900000,89400000,88200000,1.206e+09,3005900000,-755800000,2250100000,2250100000,1e+05,2250200000,2250200000,3.768e+09,3661400000,106600000,851800000,851800000,1313200000,950500000,950500000,6883500000,5378700000,363500000,5892800000,3674800000,526300000,1.1635e+10,18518500000,4613200000,852100000,3761100000,1.878e+09,2.1e+08,6841100000,4566500000,1.352e+09,1.352e+09,5918500000,12759600000,42500000,5834900000,-125300000,5752100000,6800000,5758900000,18518500000,2250100000,272400000,-1002900000,314400000,1.834e+09,-429300000,280900000,316100000,-35200000,146300000,3.95e+08,-428100000,998300000,-1546700000,-63200000,-1039700000,1189300000,1189300000,9800000,1199100000,1326700000,4916400000,1967600000,0.58791,0.17358,0.37048,0.39073,0.12151,0.87441,1.0062,2.21563,0.26549,1.58353,1.56852,4.27424,4.04792,1.38466,0.30127,4,0.22269,0.16359,0.19025,0.86561,1.08925
"34","2018_Q3",48.7530158730159,"Down",6031800000,-2.516e+09,3515800000,-2661300000,-2195300000,-331600000,-134400000,854500000,53100000,-35100000,52700000,35500000,907600000,815600000,-155800000,659800000,659800000,3e+05,660100000,660100000,2242500000,2.142e+09,100500000,869600000,869600000,1375900000,1.169e+09,1.169e+09,5.657e+09,5576800000,293100000,6026600000,3793500000,541800000,11896500000,17553500000,3131300000,869700000,2261600000,1.706e+09,2.22e+08,5.187e+09,6185100000,1463700000,1463700000,7648800000,12835800000,42500000,4635800000,32900000,4711200000,6500000,4717700000,17553500000,659800000,345200000,48500000,-5.99e+08,454500000,-467400000,55800000.0000001,72600000,-16800000,-122100000,-1633900000,-419800000,1598200000,-1539100000,-12100000,-372800000,-1552200000,-1552200000,32800000,-1519400000,1199700000,6534800000,289100000,0.58288,0.14167,0.10944,0.13992,0.03761,0.43796,1.09061,2.72077,0.37228,0.47322,0.46929,4.32418,3.37745,0.20726,0.30095,3,0.08492,0.02273,0.63596,3.57781,5.02317
"35","2018_Q4",58.0334920634921,"Up",6310400000,-2554800000,3755600000,-2771800000,-2293800000,-3.3e+08,-1.48e+08,983800000,57500000,-45400000,71400000,31500000,1041300000,1026900000,-174900000,8.52e+08,8.52e+08,5e+05,852500000,852500000,1976600000,1892100000,84500000,854800000,854800000,1387400000,1364600000,1364600000,5583400000,5689600000,261400000,5647700000,3647600000,404700000,11598700000,17182100000,3241800000,921100000,2320700000,1.66e+09,215400000,5551600000,6149100000,1484700000,1484700000,7633800000,13185400000,42500000,4150900000,-202700000,3990700000,6e+06,3996700000,17182100000,8.52e+08,343900000,90100000,-70100000,1215900000,-511100000,3.5e+07,52500000,-17500000,18300000,-457800000,-412300000,3e+08,-844200000,1300000,-955200000,-197100000,-197100000,-52800000,-249900000,1327700000,6798900000,921400000,0.59514,0.1559,0.13509,0.2133,0.04962,1.08082,1.00573,3.29907,0.3957,0.61905,0.61397,4.58238,2.8979,0.66909,0.2994,5,0.10299,0.07503,0.48364,3.63207,4.90171
"36","2019_Q1",64.0991803278689,"Up",6303600000,-3.57e+08,5946600000,-5032700000,-4575200000,-326600000,-130900000,913900000,6e+07,-63900000,87700000,36200000,973900000,931600000,-175500000,756100000,756100000,-6e+05,755500000,755500000,8937800000,8756300000,181500000,693100000,693100000,1400500000,1462800000,1462800000,12494200000,5929100000,267700000,5465400000,3541600000,412200000,11662200000,24156400000,3477700000,1179300000,2298400000,1856600000,213700000,5684200000,9090200000,8206200000,1430500000,17296400000,22980600000,42400000,1457400000,-330300000,1169500000,6300000,1175800000,24156400000,756100000,344400000,64500000,7268399999,8433399999,-568600000,-104600000,17800000,-122400000,8400000,-664800000,-483200000,2687600000,-3049600000,-29900000,-875100000,6893499999,6893499999,-29300000,6864199999,1258300000,9440100000,8133599999,0.94337,0.14498,0.11985,0.64254,0.03128,10.76585,2.19806,19.54465,0.39079,0.56473,0.56017,4.71192,0.8742,6.07983,0.36119,6,0.06581,0.43213,0.63958,0.39919,0.549619999999999
"37","2019_Q2",73.4833333333333,"Up",6632700000,-2758700000,3.874e+09,-2882900000,-2456300000,-333400000,-93200000,991100000,17600000,-7.5e+07,67800000,24800000,1008700000,965500000,-205100000,760400000,760400000,2e+05,760600000,760600000,4991800000,4761600000,230200000,721400000,721400000,1354600000,608500000,608500000,7676300000,6039300000,2.65e+08,6000700000,3560300000,472700000,1.2305e+10,19981300000,3664500000,1100500000,2.564e+09,1.763e+09,208800000,5427500000,9130700000,8301900000,1478200000,17432600000,22860100000,42300000,-2.584e+09,-343200000,-2884900000,6100000,-2878800000,19981300000,760400000,350800000,-242500000,1510300000,2.379e+09,-431400000,-76600000,32100000,-108700000,-2400000,-510400000,-446700000,-3.5e+08,-5006300000,-55600000,-5858600000,-3.99e+09,-3.99e+09,-4700000,-3994700000,1341900000,9130700000,2625900000,0.58408,0.14943,0.11467,-0.26421,0.03807,3.45241,1.41433,-7.94084,0.45696,0.6124,0.60683,5.34034,-2.32279,2.11425,0.35966,5,0.08295,0.18043,0.5873,3.08436,4.17607
"38","2019_Q3",87.23125,"Up",6.306e+09,-2603800000,3702200000,-2863800000,-2425200000,-356200000,-82400000,838400000,3500000,-73900000,62300000,15100000,841900000,819900000,-161300000,658600000,658600000,4400000,6.63e+08,6.63e+08,2131700000,2055100000,76600000,703600000,703600000,1.443e+09,6.74e+08,6.74e+08,4952300000,6135500000,251900000,6302200000,3603500000,464500000,12689600000,17641900000,3.666e+09,1096700000,2569300000,1532400000,2.21e+08,5273400000,9141500000,8262200000,1500300000,17403700000,22677100000,42300000,-4807700000,-271500000,-5036900000,1700000,-5035200000,17641900000,658600000,372700000,-219300000,-421600000.000001,390400000,-414200000,144700000,186200000,-41500000,20400000,-200600000,-447800000,7.5e+07,-2545900000,-600000.000000007,-2919300000,-2729500000,-2729500000,2.3e+07,-2706500000,1211100000,9216500000,536600000,0.58709,0.13295,0.10514,-0.13167,0.03758,0.80935,0.93911,-4.50371,0.52242,0.53502,0.53006,5.08877,-4.06464,0.43302,0.36136,4,0.08927,0.04312,0.67541,5.84989,8.45038
"39","2019_Q4",80.5609375,"Down",6822900000,-2808600000,4014300000,-2931400000,-2498900000,-342900000,-89600000,1082900000,29900000,-86400000,7.6e+07,40300000,1112800000,1676900000,-303700000,1373200000,1373200000,-4e+05,1372800000,1372800000,4835400000,4763300000,72100000,790600000,790600000,1517200000,591600000,591600000,7734800000,6187800000,222600000,6749200000,3564700000,4.58e+08,13159600000,20894400000,4384100000,1145400000,3238700000,1511700000,211500000,5895800000,11159100000,8158500000,1440600000,19317600000,25213400000,42300000,-4013900000,-3.49e+08,-4320600000,1600000,-4.319e+09,20894400000,1373200000,360100000,-1026700000,462800000,1169400000,-435100000,37300000,63400000,-26100000,-33400000,204500000,-436200000,1.921e+09,-62200000,-67500000,1355100000,2.729e+09,2.729e+09,-20800000,2708200000,1.443e+09,11159100000,1774400000,0.58836,0.15872,0.2012,-0.31785,0.0657,1.29254,1.31192,-5.83779,0.53407,1.13342,1.12249,5.63317,-3.56721,1.46499,0.36014,5,0.12061,0.1183,0.31774,4.38233,5.8396
"40","2020_Q1",76.7990322580645,"Down",6.747e+09,-355800000,6391200000,-5387900000,-4937300000,-344800000,-105800000,1003300000,12500000,-95700000,91900000,16300000,1015800000,1003900000,-201500000,802400000,802400000,399999.999999999,802800000,802800000,2757100000,2686600000,70500000,879200000,879200000,1529400000,488200000,488200000,5653900000,6431700000,2.2e+08,6.914e+09,3490800000,479600000,13565700000,19219600000,2943400000,1189700000,1753700000,1933600000,1933600000,6168700000,1.1167e+10,8114900000,1370500000,19281900000,25450600000,42300000,-5771200000,-503300000,-6232200000,1200000,-6.231e+09,19219600000,802400000,365700000,-157100000,97200000.0000001,1108200000,-525900000,62300000,76400000,-14100000,-40800000,-504300000,-430600000,2.38418579101562e-07,-2198100000,-5399999.99999999,-2634100000,-2030200000,-2030200000,-46500000,-2076700000,1.369e+09,12458700000,1141800000,0.94727,0.1487,0.11899,-0.12884,0.04177,1.42227,0.91655,-4.08451,0.64823,0.67326,0.66589,5.65834,-5.2266,0.95756,0.36112,6,0.086,0.07961,0.53637,7.08663,9.66969
"41","2020_Q2",71.7352380952381,"Down",7097100000,-2236400000,4860700000,-3708500000,-3255700000,-3.51e+08,-101800000,1152200000,-2100000,-91900000,73900000,15900000,1150100000,1143800000,-258500000,885300000,885300000,4e+05,885700000,885700000,3108900000,3040500000,68400000,908100000,908100000,1408700000,4.74e+08,4.74e+08,5899700000,6390900000,199800000,15240900000,3515900000,8843200000,21831600000,27731300000,2723400000,1085600000,1637800000,3541500000,1847400000,8675500000,10653200000,15161700000,8412900000,25814900000,34490400000,42300000,-6414800000,-387400000,-6759900000,8e+05,-6759100000,27731300000,885300000,369200000,402100000,179500000,1836100000,-394300000,26600000,64600000,-3.8e+07,-18600000,-386300000,-484200000,497900000,-1058300000,-78400000,-1.123e+09,326800000,326800000,27100000,353900000,1521400000,13063800000,1565100000,0.68489,0.16235,0.1248,-0.13104,0.03194,1.76708,0.68004,-5.10281,0.47109,0.75034,0.74366,6.01245,-5.72679,1.32591,0.4102,6,0.06382,0.07291,0.54669,6.54325,8.63991
"42","2020_Q3",76.5565625,"Up",5995700000,-1997800000,3997900000,-3579200000,-3127900000,-356400000,-94900000,418700000,-29100000,-99200000,6.8e+07,2100000,389600000,390300000,-65500000,324800000,324800000,3600000,328400000,328400000,2625200000,2572300000,52900000,9.41e+08,9.41e+08,1492200000,691500000,691500000,5749900000,6.387e+09,198800000,15143200000,3.493e+09,8840900000,2.1729e+10,27478900000,2536700000,997700000,1.539e+09,3285900000,1849600000,8265800000,11658700000,15087300000,8401800000,2.6746e+10,35011800000,42300000,-7050600000,-521800000,-7530100000,-2800000,-7532900000,27478900000,324800000,377700000,4.38e+08,-2501800000,-1361300000,-3.64e+08,6300001,33400000,-27099999,-3900000,-361599999,-4.81e+08,2348900000,-575200000,-19600000,1273100000,-449799999,-449799999,-18400000,-468199998.999999,796400000,14101900000,-2003900000,0.66679,0.06983,0.05477,-0.0436,0.01195,-6.10201,0.69563,-4.64785,0.51319,0.28025,0.27816,5.11666,-6.4261,-1.7101,0.41048,4,0.03737,-0.09253,1.46468,14.41072,27.41032
"43","2020_Q4",92.08296875,"Up",4222100000,-1.484e+09,2738100000,-3432200000,-2937700000,-360900000,-133600000,-694100000,-39900000,-1.21e+08,68400000,12700000,-7.34e+08,-812100000,1.34e+08,-678100000,-678100000,-3e+05,-678400000,-678400000,4195800000,3965900000,229900000,881100000,881100000,1583800000,920300000,920300000,7.581e+09,6295600000,223400000,15040600000,3510100000,8764800000,21559600000,29140600000,2372500000,860800000,1511700000,3352500000,1889200000,8.002e+09,14645600000,15117300000,8474700000,29762900000,37764900000,116600000,-8208300000,-529900000,-8621600000,-2700000,-8624300000,29140600000,-678100000,377100000,441900000,-508600000,-367700000,-380100000,-186800001,45500000,-232300001,-16900000,-583800001,-4.79e+08,2817300000,33500000,-28900000,2342900000,1391399999,1391399999,2200000,1393599999,-3.17e+08,16922600000,-1339700000,0.64852,-0.1644,-0.16068,0.07866,-0.02328,1.97479,0.94739,-4.37889,0.58072,-0.58052,-0.57663,3.61296,-7.37772,-1.14641,0.40989,4,-0.00852,-0.05721,-0.70607,-40.14763,-18.33569
"44","2021_Q1",101.683606557377,"Up",6203100000,-1976700000,4226400000,-3585300000,-3122300000,-3.63e+08,-1e+08,641100000,-3700000,-124900000,112200000,9e+06,637400000,442400000,-49700000,392700000,392700000,-99999.9999999995,392600000,392600000,4632100000,4350900000,281200000,883400000,883400000,1551400000,739500000,739500000,7806400000,6241400000,684800000,14641900000,3597200000,8702700000,21568100000,29374500000,2952800000,997900000,1856700000,2705300000,2705300000,7346800000,14659600000,15167500000,8.569e+09,29827100000,37173900000,375100000,-7815600000,-364600000,-7805100000,5700000,-7799400000,29374500000,392700000,379200000,564300000,154500000,1490700000,-345200000,-29599999.9999999,116900000,-146500000,-5e+06,-379800000,-479300000,-497600000,199900000,-2700000.00000001,-779700000,331200000,331200000,53800000,3.85e+08,1020300000,16348300000,879300000,0.68134,0.10335,0.06329,-0.05034,0.01337,2.23968,1.06256,-4.76625,0.55655,0.33544,0.33297,5.29998,-6.66875,0.75128,0.40952,6,0.03676,0.03708,1.22084,11.48309,18.27515
"45","2021_Q2",109.95746031746,"Up",6749400000,-2049100000,4700300000,-3797300000,-3339400000,-366100000,-91800000,9.03e+08,-22500000,-120700000,82700000,15500000,880500000,808300000,-186100000,622200000,622200000,205033.276772595,622200000,622200000,5263600000,5028100000,235500000,8.88e+08,8.88e+08,1471500000,734400000,734400000,8357500000,6177900000,686900000,14746100000,3706800000,8740500000,21610900000,29968400000,3502500000,1050600000,2302200000,3138800000,3138800000,7883900000,14673500000,1.5315e+10,8717300000,29988500000,37872400000,489800000,-8253600000,-145900000,-7909700000,5700000,-7.904e+09,29968400000,622200000,388400000,532100000,2.93e+08,1835700000,-324200000,69400000,204900000,-135500000,-17700000,-272500000,-528200000,-451800000,102800000,-88600000,-965800000,597400000,597400000,79800000,677200000,1291400000,15916100000,1446300000,0.6964,0.13379,0.09219,-0.07872,0.02076,2.32449,1.06007,-4.79155,0.5311,0.52953,0.52595,5.74417,-6.73166,1.23089,0.44953,6,0.04932,0.062,0.84892,8.2488,11.79679
"46","2021_Q3",114.33625,"Up",6668100000,-1992400000,4675700000,-3.742e+09,-3287800000,-366500000,-87700000,933700000,-20900000,-115100000,7.7e+07,17200000,912800000,889800000,-230400000,659400000,659400000,-463658.613684229,659400000,659400000,4003700000,3880700000,1.23e+08,880200000,880200000,1503600000,5.92e+08,5.92e+08,6979500000,6123100000,784200000,14484900000,3658900000,8611700000,21392200000,28371700000,3568299999,1033599999,2417700000,2918500000,2918500000,6505099999,14630300000,14884600000,8352500000,29514900000,36019999999,596600000,-8124300000,-126300000,-7.654e+09,5700000,-7648300000,28371699999,659400000,384500000,394799999,-554900000,883799999,-323700000,19600000,205800000,-186200000,-2400000,-306500000,-529800000,-1211900000,31600000,-1500000,-1711600000,-1134300001,-1134300001,-13100000,-1147400001,1318200000,14648600000,6.7e+08,0.7012,0.14002,0.09889,-0.08622,0.02324,1.01608,1.07293,-4.70954,0.51631,0.55995,0.55655,5.66245,-6.49966,0.56895,0.4499,6,0.05434,0.03061,0.80346,8.07533,11.40077
"47","2021_Q4",110.559375,"Down",7496400000,-2.206e+09,5290400000,-3887500000,-3461800000,-354400000,-71300000,1402900000,28100000,-113400000,105600000,35900000,1.431e+09,1411200000,-257100000,1154100000,1154100000,-8e+05,1153300000,1153300000,4906700000,4753100000,153600000,911200000,911200000,1548200000,565600000,565600000,7931700000,6151400000,821199999,14572500000,3.672e+09,8651500000,21545099999,29476799999,3864200000,1.127e+09,2532400000,2936700000,2936700000,7799800000,13619200000,14852100000,8360700000,28471300000,36271100000,730500000,-7501600000,-29700000,-6800800000,6500000,-6794300000,29476800000,1154100000,373300000,333200001,-111700000,1748900001,-337800000,-27200000,18400000,-45600000,-42200000,-407200000,-530200000,-13400000,57200000,-4100000,-490500000,851200001,851200001,21200000,872400001,1776200000,14618100000,1583800000,0.70573,0.18714,0.15385,-0.16975,0.03913,1.37328,1.01691,-5.33846,0.49592,0.98045,0.97415,6.37286,-5.78152,1.34643,0.45074,8,0.07424,0.06985,0.45972,5.46751,6.92238
"48","2022_Q1",92.9677419354839,"Down",8146700000,-2491200000,5655500000,-4237900000,-3774500000,-354700000,-108700000,1417600000,20900000,-120600000,1.2e+08,21500000,1438500000,2247600000,-4.83e+08,1764600000,1764600000,-2e+05,1764400000,1764400000,6617900000,6455700000,162200000,9.4e+08,9.4e+08,1603900000,594600000,594600000,9756400000,6369500000,550200000,14716500000,3677300000,8814500000,21636200000,31392600000,4305100000,1211600000,3093500000,2847400000,2847400000,8151400000,13616900000,14938800000,8475800000,28555700000,36707100000,847300000,-6315700000,147200000,-5321200000,6700000,-5314500000,31392600000,1764600000,377900000,-494200000,-127600000,1520700000,-484300000,-5100000,59600000,-64700000,-18900000,666700000,-530800000,-4100000,54599999.9999999,-2799999.99999999,-483100000,1704300000,1704300000,-1700000,1702600000,1795500000,14615800000,1666600000,0.69421,0.17401,0.21658,-0.332,0.0562,0.94457,1.1969,-6.90697,0.46558,1.4964,1.48531,6.90925,-4.51293,1.41345,0.45017,7,0.09469,0.06875,0.30084,4.45441,5.64186
"49","2022_Q2",76.1256451612903,"Down",8050400000,-2526900000,5523500000,-4393499999,-3925799999,-3.66e+08,-101700000,1130000001,-75100000,-115300000,40300000,-1e+05,1054900001,1062400001,-246300000,816100001,816100001,-2e+05,815900001,815900001,4056800000,3969400000,87400000,1031099999,1031099999,1637100000,530100000,530100000,7255099999,6.398e+09,551500000,14629300000,3675700000,8791400000,21578800000,28833899999,4397800000,1289400000,3108400000,3323999999,3323999999,8921099999,13586300000,14776800000,8329100000,28363100000,37284199999,42300000,-8.753e+09,253500000,-8457200000,6900000,-8450300000,28833899999,816100000,386400000,4.7e+08,198399999,1870899999,-416800000,57200000,118200000,-6.1e+07,-41400000,-4.01e+08,-5.76e+08,2e+08,-3479600000,-113600000,-3969200000,-2499300001,-2499300001,1.3e+07,-2486300001,1516400001,14785600000,1544300000,0.68611,0.14037,0.10135,-0.09655,0.0283,1.89276,0.81325,-4.41217,0.51279,0.69197,0.68684,6.82758,-7.17259,1.30973,0.48851,6,0.06593,0.07315,0.70597,7.07518,9.49451
