"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",3.83190476190476,"Down",9857000,-6116000,3741000,-5882000,-5232000,-650000,-2141000,96000,107000,-2045000,-2360000,-55000,-2415000,-2415000,-2415000,-2886000,7986000,7986000,11243000,14917000,2476000,34146000,12837000,17350000,10140000,4611000,30187000,64333000,5639000,2177000,3229000,1469000,616000,7108000,10410000,123397000,-16860000,-66859000,-4494000,53923000,53923000,64333000,-2415000,2131000,-72000,-1495000,-1851000,364000,603000,-62000,-1310000,-1310000,-1e+05,-1410000,-10000,0,-1086000,0.37953,-0.21721,-0.29279,-0.05352,-0.04486,0.3763,4.80388,0.19305,0,-0.23814,-0.23814,0.81335,2.90321,-0.08961,-0.0422,-0.01898,798.6,3.73003
"36","2019_Q3",3.745,"Down",8898000,-6016000,2882000,-5446000,-4795000,-651000,-2564000,-26000,-15000,-2590000,-3088000,-48000,-3136000,-3136000,-3136000,-3635000,7489000,7489000,13115000,14122000,3323000,34726000,11841000,16480000,9909000,3972000,28321000,63047000,6804000,1977000,4650000,1125000,405000,7929000,11033000,123593000,-16860000,-70494000,-4535000,52014000,52014000,63047000,-3136000,1829000,-95000.0000000001,-250000,-1652000,249000,19000,1098000,-535000,-535000,35000,-500000.000000001,-735000,4.54747350886464e-13,-688000,0.32389,-0.28815,-0.40852,-0.06989,-0.05766,0.18927,4.37962,0.21212,-6.7762635780344e-21,-0.29969,-0.29969,0.73361,2.6139,-0.05672,-0.0569,-0.01248,10.18912,2.92083
"37","2019_Q4",2.49390625,"Down",2284000,-346000,1938000,-2462000,-511000,-509000,-524000,75000,53000,-449000,364000,178000,542000,-2028000,-2028000,-2550000,4650000,4650000,13559000,14617000,1521000,32826000,14021000,15649000,9453000,3597000,29670000,62496000,8722000,3483000,5174000,577000,210000,9299000,12418000,123862000,-16860000,-73044000,-4420000,50078000,50078000,62496000,-2028000,1846000,180000,-742000,-744000,-91000,-1800000,-292000,-2836000,-2836000,-4000,-2840000,1322000,0,311000,0.84851,-0.22942,-1.11646,-0.05092,-0.0408,-0.12196,3.53006,0.24797,0,-0.20976,-0.20976,0.18788,2.42971,0.02558,-0.03812,0.00585,-3.5174,8.87405
"38","2020_Q1",2.41338709677419,"Down",8880000,-4487000,4393000,-4694000,-3602000,-684000,-301000,-45000,-45000,-346000,-1106000,-428000,-1534000,-3708000,-3708000,-4266000,3090000,3090000,12656000,17044000,1987000,39413000,5419000,13396000,8136000,2729000,18815000,58228000,3648000,1767000,1565000,4800000,731000,8448000,10576000,124105000,-16860000,-77310000,-4387000,47652000,47652000,58228000,-3708000,1962000,3205000,-3029000,-1570000,106000,-910000,1005000,-1475000,-1475000,-90000,-1565000,1661000,-3.63797880709171e-12,-834000,0.49471,-0.0338999999999999,-0.48041,-0.08952,-0.07326,0.1955,4.66536,0.22194,-1.0842021724855e-19,-0.35062,-0.35062,0.72984,2.09978,-0.06855,-0.07449,-0.01675,-1.86032999999997,10.26578
"39","2020_Q2",1.29444444444444,"Down",3187000,-2703000,484000,-4094000,-2954000,-730000,-3610000,56000,56000,-3554000,-6085000,-342000,-6427000,-6642000,-6642000,-7201000,4705000,4705000,13783000,10511000,2515000,28999000,12002000,10202000,7703000,2499000,22204000,51203000,6983000,3292000,3071000,1568000,602000,8551000,10653000,124335000,-16860000,-84511000,-4518000,40550000,40550000,51203000,-6642000,1701000,1933000,3937000,929000,1349000,1239000,-559000,1609000,1609000,-138000,1471000,-1909000,0,3719000,0.15187,-1.13273,-2.25949,-0.17758,-0.14064,-0.51646,3.3913,0.26271,0,-0.5916,-0.5916,0.26183,1.51545,0.30554,-0.15573,0.08719,2.46464,1.30332
"40","2020_Q3",2.2421875,"Up",5086000,-3069000,2017000,-4443000,-2988000,-7e+05,-2426000,0,0,-2426000,-2426000,530000,-1896000,-6604000,-6604000,-7163000,2638000,2638000,13309000,12735000,1646000,28682000,5157000,9653000,7241000,2412000,14810000,43492000,3832000,988000,2226000,2288000,370000,6120000,9804000,124554000,-16860000,-91674000,-4436000,33688000,33688000,43492000,-6604000,1509000,2547000,-946999.999999999,-3495000,359000,359000,1048000,-2088000,-2088000,21000,-2067000,-917000,-5.82076609134674e-11,-2035000,0.39658,-0.477,-1.40838,-0.21263,-0.1647,0.2841,4.6866,0.29102,0,-0.588,-0.588,0.4175,0.95091,-0.16705,-0.17671,-0.05445,2.87677,1.08739
"41","2020_Q4",2.228125,"Down",6541000,-4267000,2274000,-4547000,-2973000,-662000,-2273000,12000,12000,-2261000,-2261000,-109000,-2370000,-3590000,-3590000,-4149000,2664000,2664000,11880000,6718000,1278000,26871000,4954000,8968000,6831000,2137000,13922000,40793000,4600000,1441000,2468000,1618000,205000,6218000,9839000,125958000,-16860000,-95823000,-4425000,30954000,30954000,40793000,-3590000,710000,-463000,1106000,-2237000,972000,972000,1291000,26000,26000,0,26000,-1563000,1607000,624000,0.34765,-0.3475,-0.63431,-0.13404,-0.10171,-0.1504,4.32149,0.31786,0.03939,-0.33691,-0.33691,0.53114,0.71864,0.05067,-0.12,0.01805,0.67626,0.46502
"42","2021_Q1",2.34524590163934,"Up",6401000,-3867000,2534000,-6022000,-3733000,-704000,-3488000,794000,794000,-2694000,-2694000,-615000,-3309000,-3470000,-3470000,-4047000,4611000,4611000,11453000,5980000,1659000,26791000,4751000,8221000,6750000,1471000,12972000,39763000,5178000,1704000,2912000,2658000,208000,7836000,9347000,128398000,-16860000,-99870000,-4356000,30416000,30416000,39763000,-3470000,707000,123000,1083000,-1557000,746000,637000,2734000,1814000,1814000,133000,1947000,-2781000,850000,-337000,0.39588,-0.54491,-0.63224,-0.13305,-0.10178,0.08327,3.41896,0.30731,0.02138,-0.3311,-0.3311,0.52368,0.59822,-0.02757,-0.10925,-0.01056,1.35239,1.07827
"43","2021_Q2",2.21809523809524,"Down",4194000,-3651000,543000,-5336000,-3817000,-666000,-4793000,947000,947000,-3846000,-3846000,145000,-3701000,-3984000,-3984000,-4568000,2001000,2001000,12169000,5641000,1555000,23460000,4586000,7475000,6337000,1138000,12061000,35521000,6082000,2142000,3038000,2200000,563000,8282000,8953000,128560000,-16862000,-104438000,-4299000,26568000,26568000,35521000,-3984000,668000,-935000,1444000,-2807000,-8000,179000,-33000,-2661000,-2661000,51000,-2610000,-4125000,0,-2834000,0.12947,-1.14282,-1.08918,-0.17194,-0.1286,0.6204,2.83265,0.33698,0,-0.33181,-0.33181,0.30464,0.21508,-0.20585,-0.14655,-0.10404,0.48509,0.41748
"44","2021_Q3",1.96140625,"Down",6807000,-4583000,2224000,-4823000,-3378000,-557000,-2599000,57000,56999.9999999999,-2542000,-2542000,-197000,-2739000,-2660000,-2660000,-3342000,2056000,2056000,11928000,4502000,1190000,23586000,4440000,8023000,6455000,1568000,12463000,36049000,5801000,2148000,2651000,1731000,459000,7532000,8731000,128676000,-16862000,-107780000,-4322000,27318000,27318000,36049000,-2660000,558000,218000,-2500000,-4384000,478000,1052000,3416000,83999.9999999995,83999.9999999995,-29000,55000,-2041000,0,-3866000,0.32672,-0.38181,-0.49097,-0.12234,-0.09271,1.15679,3.13144,0.31961,0,-0.24275,-0.24275,0.49444,-0.02092,-0.28082,-0.09671,-0.13557,1.00735,0.79107
"45","2021_Q4",1.6634375,"Down",8347000,-5177000,3170000,-5223000,-3903000,-494000,-2053000,33000,33000,-2020000,-2020000,-59000,-2079000,-2578000,-2578000,-3266000,622000,622000,11498000,1745000,1157000,23343000,4346000,7614000,6190000,1424000,11960000,35303000,7646000,3190000,3396000,1483000,314000,9129000,10443000,128859000,-16862000,-111046000,-4339000,24860000,24860000,35303000,-2578000,495000,-322000,-1632000,-4037000,2578000,2578000,-39000,-1498000,-1498000,64000,-1434000,-1558000,0,-553000,0.37978,-0.24596,-0.39128,-0.13138,-0.09251,0.16932,2.55702,0.42007,0,-0.23713,-0.23713,0.60604,-0.24599,-0.04015,-0.09872,-0.02113,0.39923,0.30297
"46","2022_Q1",1.31,"Down",3759000,-3674000,85000.0000000005,-5184000,-3663000,-492000,-5099000,-111000,-111000,-5210000,-5210000,150000,-5060000,-5863000,-5863000,-6810000,5114000,5114000,14006000,1999000,1840000,29245000,4272000,8503000,6018000,2485000,12775000,42020000,8645000,2046000,5762000,2054000,232000,10699000,11757000,166862000,-16862000,-117856000,-1881000,30263000,30263000,42020000,-5863000,493000,1039000,-1575000,-5906000,1555000,1555000,8843000,4492000,4492000,-1.45519152283669e-11,4492000,-4606000,0,-4776000,0.02261,-1.35648,-1.81165,-0.22503,-0.16207,0.70132,2.73343,0.38849,0,-0.7766,-0.7766,0.42867,3.45113,-0.54465,-0.19546,-0.15249,1.11029,1.00294
"47","2022_Q2",1.04145161290323,"Down",9087000,-5798000,3289000,-5765000,-4272000,-479000,-2476000,-118000,-118000,-2594000,-2594000,-211000,-2805000,-2419000,-2419000,-3366000,23834373.4625549,23834373.4625549,22661817.8172311,10242944.3707886,3612432.57549665,48616472.7774678,4161022.75857676,13260305.541102,6527796.77826645,6731013.66486155,17421328.2996787,66037801.0771465,5376795.94040066,-4814822.22928935,10143013.9128267,4112100.56235659,276501.127524152,9488896.50319421,10077576.7095707,282626997.729379,-16861769.1453709,-131920414.796816,5654004.71842868,55960224.3675757,55960224.3675757,66037801.0771465,-2419000,479000,372000,-1954000,-3522000,176000,176000,-948000,-4294000,-4294000,-3000,-4297000,-1997000,0,-3564000,0.36195,-0.27248,-0.37042,-0.418169424336104,-0.3290073975276,1.05882,5.51319944535492,-0.0531302350244821,0.00158437388417584,-0.24436,-0.24436,0.65967,15.2223753618186,-0.25873,-0.419815367821592,-0.948030085388625,5.98438603672418,5.2578649448432
"48","2022_Q3",0.77046875,"Down",8713000,-5175000,3538000,-5089000,-3789000,-467000,-1551000,-76000,-76000,-1627000,-1627000,-131000,-1758000,-1920000,-1920000,-2867000,64198120.3876646,64198120.3876646,40592453.4516932,31105833.1123657,6858297.72648995,87971418.3324033,3981068.27573029,24140916.6233059,8195390.33479935,15941040.9945846,28121984.8990361,116093403.231439,-5130612.17879801,-20614466.687868,17028041.73848,8255301.68706977,551503.382572455,3124689.50958265,3072730.12871223,513906993.188137,-16861307.4361126,-156859244.390447,20735014.155286,113020673.102727,113020673.102727,116093403.231439,-1920000,467000,61000,2417000,1025000,-65000,-65000,-947000,13000,13000,3000,16000,-1084000,0,1399000,0.40606,-0.17801,-0.32905,-0.736768273008311,-0.627392192582801,-0.48797,12.5203683360648,-1.15466070507345,0.00475312165252752,-0.20802,-0.20802,0.6322,38.9790060854558,0.10151,-0.814666103464777,-2.79952025616587,17.4710781101725,15.1175048345296
