"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"31","2017_Q4",62.5993650793651,"Up",386018000,-46014000,340004000,-146202000,-20693000,-125509000,193802000,40887000,1554000,39333000,234689000,-93920000,140769000,-39030000,101739000,101739000,101739000,101739000,684971000,684971000,273535000,273535000,106470000,106470000,1064976000,148106000,87990000,450325000,389379000,42225000,17045000,686421000,1751397000,189797000,4429000,185368000,3134000,3134000,192931000,85925000,69704000,16221000,125925000,318856000,1004483000,448356000,-20298000,1432541000,1432541000,1751397000,101739000,29791000,131530000,-25352000,-25352000,-10071000,4301000,0,-101182000,0,-51929000,12499000,-64428000,-11929000,18419000,18419000,24610000,4e+07,0.8808,0.50205,0.26356,0.07102,0.05809,5.51998,0.22258,0.02284,0.63134,0.63134,2.39543,8.8896,0,0.06528,0,-3.32799
"32","2018_Q1",69.9175409836066,"Up",408219000,-48436000,359783000,-155564000,-16907000,-138657000,204219000,45256000,1919000,43337000,249475000,-97023000,152452000,-30308000,122144000,122144000,122144000,122144000,744247000,744247000,282706000,282706000,112855000,112855000,1139808000,146428000,94017000,473116000,338983000,59492000,18884000,713561000,1853369000,270326000,5268000,265058000,4723000,4723000,275049000,71481000,48472000,23009000,101481000,376530000,1029280000,467467000,-19908000,1476839000,1476839000,1853369000,122144000,-31138000,143516000,-17677000,-17677000,-5207000,-6104000,-355000,-24239000,0,-49903000,11942000,-61845000,-59903000,59374000,59374000,59278000,3e+07,0.88135,0.50027,0.29921,0.08271,0.0659,4.14402,0.25496,0.01619,0.74716,0.74716,2.4971,9.03393,0,0.07739,0,-3.49746
"33","2018_Q2",62.4915625,"Down",405598000,-45205000,360393000,-148448000,-18976000,-129472000,211945000,42852000,2245000,40607000,254797000,-96039000,158758000,-18920000,139838000,139838000,139838000,139838000,748299000,748299000,308270000,308270000,114738000,114738000,1171307000,145280000,88623000,488495000,340074000,54482000,38209000,722398000,1893705000,177081000,8463000,168618000,4998000,4998000,182079000,77972000,54384000,23588000,97972000,280051000,1086892000,544923000,-18161000,1613654000,1613654000,1893705000,139838000,-35664000,104174000,-18498000,-18498000,-5611000,3122000,-7872542.55861121,-15376000,-47179000,-30106000,57889000,-87995000,-87285000,1513000,1513000,4054000,2e+07,0.88855,0.52255,0.34477,0.08666,0.07384,6.43296,0.17355,0.01056,0.85568,0.85568,2.48188,9.87403,0.28869,0.10926,0.33738,-3.43626
"34","2018_Q3",58.4596825396825,"Down",404830000,-45209000,359621000,-151997000,-19299000,-132698000,207624000,44103000,3030000,41073000,251727000,-97473000,154254000,-32577000,121677000,121677000,121677000,121677000,693442000,693442000,314631000,314631000,122124000,122124000,1130197000,144330000,94758000,521421000,346666000,51810000,55336000,760509000,1890706000,201351000,7519000,193832000,5587000,5587000,206938000,92886000,56871000,36015000,92886000,299824000,1096339000,522764000,-28221000,1590882000,1590882000,1890706000,121677000,37025000,158702000,-18786000,-18786000,-7060000,-13453000,-10500000,-48533000,-47139000,-89308000,12069000,-101377000,-156447000,-46278000,-46278000,-54855000,0,0.88833,0.51287,0.30056,0.07648,0.06436,5.46152,0.18846,0,0.75005,0.75005,2.49548,9.80664,0.29058,0.10026,0.38741,-3.33989
"35","2018_Q4",49.6907936507937,"Down",408682000,-45276000,363406000,-153018000,-19660000,-133358000,210388000,45086000,3360000,41726000,255474000,-97879000,157595000,-29276000,128319000,128319000,128319000,128319000,741965000,741965000,327614000,327614000,123972000,123972000,1193551000,145865000,90034000,509878000,342737000,44682000,55746000,745777000,1939328000,216836000,9161000,207675000,5054000,5054000,221890000,86928000,60158000,26770000,86928000,308818000,1102792000,556581000,-28863000,1630510000,1630510000,1939328000,128319000,26703000,155022000,-17739000,-17739000,-8981000,4640000,-4e+05,-13499000,0,-92482000,8709000,-101191000,-92482000,49041000,49041000,48525000,0,0.88921,0.5148,0.31398,0.0787,0.06617,5.37902,0.1894,-8.67361737988404e-19,0.79944,0.79944,2.54613,10.15824,0,0.07472,0,-3.52665
"36","2019_Q1",47.5567213114754,"Down",405057000,-44798000,360259000,-159287000,-19752000,-139535000,200972000,40502000,4117000,36385000,241474000,-97875000,143599000,-27565000,116034000,116034000,116034000,116034000,754525000,754525000,315336000,315336000,120951000,120951000,1190812000,145863000,116788000,518205000,341170000,52342000,58162000,780856000,1971668000,290554000,10920000,279634000,5154000,5154000,295708000,82813000,57795000,25018000,82813000,378521000,1108177000,517970000,-3.3e+07,1593147000,1593147000,1971668000,116034000,3334000,170503000,-18293000,-18293000,-7443000,-29893000,2224000,-45962000,-7.45058059692383e-09,-107506000,9315000,-116821000,-107506000,17035000,17035000,12563000,9.31322574615479e-10,0.8894,0.49616,0.28646,0.07283,0.05885,4.02699,0.23759,0,0.73084,0.73084,2.55125,10.03443,-2.77555756156289e-17,0.06923,0,-3.75438
"37","2019_Q2",51.2893650793651,"Up",400820000,-43805000,357015000,-155383000,-20010000,-135373000,201632000,41417000,4100000,37317000,243049000,-96792000,146257000,-32276000,113981000,113981000,113981000,113981000,669323000,669323000,333724000,333724000,124561000,124561000,1127608000,146753000,115163000,563597000,338485000,56422000,102324000,825513000,1953121000,179102000,5242000,173860000,4979000,4979000,192529000,124042000,56909000,67133000,124042000,316571000,1112889000,552381000,-28720000,1636550000,1636550000,1953121000,113981000,-54082000,59899000,-17254000,-17254000,-7317000,1528000,-2493354.44921429,-15726000,-50760000,-81884000,8893000,-90777000,-132644000,-88471000,-88471000,-85199000,8448000,0.89071,0.50305,0.28437,0.06965,0.05836,5.85682,0.19344,0.00433,0.72812,0.72812,2.56048,10.45445,0.32426,0.09312,0.44534,-3.27763
"38","2019_Q3",55.25390625,"Up",409586000,-46177000,363409000,-151266000,-20203000,-131063000,212143000,41979000,4147000,37832000,254122000,-91776000,162346000,-35806000,126540000,126540000,126540000,126540000,682266000,682266000,335144000,335144000,120131000,120131000,1137541000,150045000,112105000,553108000,335012000,50203000,101833000,815258000,1952799000,183967000,5494000,178473000,4705000,4705000,196931000,121367000,55793000,65574000,121367000,318298000,1123577000,541664000,-30740000,1634501000,1634501000,1952799000,126540000,31206000,157746000,-20173000,-20173000,-10922000,5593000,0,-14580000,-49985000,-77240000,15379000,-92619000,-127225000,15941000,15941000,12946000,8259000,0.88726,0.51794,0.30895,0.07742,0.0648,5.77634,0.19474,0.00423,0.81552,0.81552,2.63968,10.53395,0.32214,0.10006,0.39501,-3.17714
"39","2019_Q4",59.44265625,"Up",416254000,-44978000,371276000,-156388000,-20356000,-136032000,214888000,41622000,4013000,37609000,256510000,-93640000,162870000,-30702000,132168000,132168000,132168000,132168000,767809000,767809000,349332000,349332000,122996000,122996000,1240137000,154584000,107113000,538771000,329755000,41437000,101669000,800468000,2040605000,202631000,8712000,193919000,5529000,5529000,216048000,121250000,56339000,64911000,121250000,337298000,1139138000,599949000,-35780000,1703307000,1703307000,2040605000,132168000,31722000,163890000,-19909000,-19909000,-12276000,4632000,2538000,-12739000,0,-61873000,17592000,-79465000,-61873000,89278000,89278000,85123000,7888000,0.89195,0.51624,0.31752,0.07759,0.06477,5.7401,0.19803,0.00387,0.85697,0.85697,2.69897,11.04416,0,0.07213,0,-3.53636
"40","2020_Q1",57.1532258064516,"Down",423225000,-46458000,376767000,-160317000,-20286000,-140031000,216450000,42825000,3692000,39133000,259275000,-99307000,159968000,-31231000,128737000,128737000,128737000,128737000,841446000,841446000,340358000,340358000,123041000,123041000,1304845000,160859000,122905000,562761000,27987000,67413000,400050000,846525000,2151370000,277224000,4423000,272801000,7185000,7185000,293565000,119027000,55722000,63305000,119027000,412592000,1160397000,601885000,-23504000,1738778000,1738778000,2151370000,128737000,312000,163587000,14239000,14239000,-12582000,-15300000,-34074000,-35135000,0,-64445000,19046000,-83491000,-64878000,63574000,63574000,73638000,9156000,0.89023,0.51143,0.30418,0.07404,0.05984,4.44482,0.23729,0.00426,0.83774,0.83774,2.7541,11.31494,0,0.06896,-5.55111512312578e-17,-3.84518
"41","2020_Q2",50.2836507936508,"Down",414762000,-45337000,369425000,-158960000,-20550000,-138410000,210465000,32958000,3051000,29907000,243423000,-104226000,139197000,-29955000,109242000,109242000,109242000,109242000,746870000,746870000,358130000,358130000,128150000,128150000,1233150000,173255000,114311000,537315000,317493000,45285000,107445000,824881000,2058031000,192858000,13086000,179772000,5978000,5978000,207551000,116214000,53991000,62223000,116214000,323765000,1172128000,597486000,-35348000,1734266000,1734266000,2058031000,109242000,-10270000,98972000,-20674000,-20674000,-20674000,8280000,-4958000,-17352000,-52452000,-111965000,18593000,-130558000,-165050000,-83430000,-83430000,-94576000,8715000,0.89069,0.50744,0.26338,0.06299,0.05308,5.94143,0.18669,0.00423,0.71696,0.71696,2.72211,11.38209,0.34425,0.08697,0.48014,-3.50726
"42","2020_Q3",51.08078125,"Up",400646000,-44182000,356464000,-153173000,-20780000,-132393000,203291000,29495000,1219000,28276000,232786000,-101076000,131710000,-30644000,101066000,101066000,101066000,101066000,758276000,758276000,351614000,351614000,123009000,123009000,1232899000,182273000,110110000,528318000,310486000,41094000,109906000,820701000,2053600000,221491000,10780000,210711000,6349000,6349000,236125000,108850000,50219000,58631000,108850000,344975000,1175875000,566929000,-34179000,1708625000,1708625000,2053600000,101066000,64094000,165160000,-13768000,-13768000,-13768000,2802000,-9075000,-20041000,-51462000,-82852000,5994000,-88846000,-134314000,10805000,10805000,11406000,8285000,0.88972,0.50741,0.25226,0.05915,0.04921,5.22138,0.2019,0.00403,0.67558,0.67558,2.67815,11.42144,0.344,0.08354,0.50919,-3.68925
"43","2020_Q4",52.8290625,"Up",424927000,-45126000,379801000,-162407000,-21145000,-141262000,217394000,29161000,856000,28305000,246555000,-105281000,141274000,-30178000,111096000,111096000,111096000,111096000,767698000,767698000,378170000,378170000,129040000,129040000,1274908000,180531000,121771000,508407000,303451000,33117000,105285000,810709000,2085617000,236255000,13038000,223217000,5815000,5815000,250515000,105669000,47578000,58091000,105669000,356184000,1175587000,581244000,-27398000,1729433000,1729433000,2085617000,111096000,21296000,132392000,-8671000,-8671000,-8671000,-12072000,-6107000,-26850000,0,-102469000,5206000,-107675000,-102469000,3073000,3073000,9422000,8445000,0.8938,0.5116,0.26145,0.06424,0.05327,5.08915,0.20595,0.00405,0.75112,0.75112,2.87291,11.69263,0,0.06026,0,-3.49252
"44","2021_Q1",57.0185245901639,"Up",443723000,-46973000,396750000,-163917000,-21459000,-142458000,232833000,31479000,833000,30646000,264312000,-107799000,156513000,-30631000,125882000,125882000,125882000,125882000,784626000,784626000,385219000,385219000,131132000,131132000,1300977000,189052000,111585000,565642000,24304000,98433000,375444000,866279000,2167256000,307611000,7766000,299845000,1085000,1085000,317275000,110074000,55159000,54915000,110074000,427349000,1191435000,565270000,-16798000,1739907000,1739907000,2167256000,125882000,-42435000,92158000,-11335000,-11335000,-11335000,13449000,-5367000,-3253000,0,-80302000,19620000,-99922000,-80302000,8603000,8603000,16928000,8579000,0.89414,0.52473,0.2837,0.07235,0.05808,4.10047,0.24562,0.00396,0.86139,0.86139,3.03633,11.90592,0,0.06773,0,-3.33306
"45","2021_Q2",60.7193650793651,"Up",455686000,-50164000,405522000,-169634000,-22661000,-146973000,235888000,34172000,822000,33350000,270060000,-102719000,167341000,-37871000,129470000,129470000,129470000,129470000,782582000,782582000,406028000,406028000,136241000,136241000,1324851000,184253000,121596000,520201000,298347000,51743000,102916000,826050000,2150901000,204764000,5529000,199235000,11148000,1335000,215912000,105881000,50892000,54989000,105881000,321793000,1209860000,634651000,-15403000,1829108000,1829108000,2150901000,129470000,7103000,136573000,-4218000,-4218000,-4218000,-9078000,-17360000,-30656000,-53127000,-55683000,15523000,-71206000,-109512000,-3595000,-3595000,-2044000,0,0.88992,0.51765,0.28412,0.07078,0.06019,6.13607,0.17593,-8.67361737988404e-19,0.89102,0.89102,3.13604,12.58797,0.36562,0.09437,0.41034,-3.3176
"46","2021_Q3",59.73390625,"Down",475651000,-55827000,419824000,-175029000,-23147000,-151882000,244795000,35813000,748000,35065000,280608000,-108397000,172211000,-38433000,133778000,133778000,133778000,133778000,780928000,780928000,409568000,409568000,120860000,120860000,1311356000,184042000,136971000,507321000,289660000,47420000,103305000,828334000,2139690000,221275000,9291000,211984000,11624000,1280000,232899000,101185000,47644000,53541000,101185000,334084000,1220897000,599231000,-14522000,1805606000,1805606000,2139690000,133778000,54646000,188424000,-11251000,-11251000,-11251000,-8269000,-5911000,-25431000,-52389000,-112772000,13344000,-126116000,-168424000,-5431000,-5431000,-4404000,9.31322574615479e-10,0.88263,0.51465,0.28125,0.07409,0.06252,5.63058,0.18503,0,0.95211,0.92066,3.38525,12.85065,0.37286,0.09763,0.39161,-3.19013
"47","2021_Q4",60.71453125,"Up",485322000,-55619000,429703000,-184588000,-23082000,-161506000,245115000,35796000,791000,35005000,280911000,-104565000,176346000,-38301000,138045000,138045000,138045000,138045000,793883000,793883000,442187000,442187000,134544000,134544000,1370614000,183802000,146972000,490413000,31992000,39872000,351912000,821187000,2191801000,241815000,10772000,231043000,1235000,1235000,253462000,100251000,47434000,52817000,100251000,353713000,1229478000,629153000,-20543000,1838088000,1838088000,2191801000,138045000,20839000,158884000,-7051000,-14787211.2182342,-14810066.7803117,-16764000,-7640000,-31455000,0,-109454000,9035000,-118489000,-109454000,17975000,17975000,12955000,10412000,0.8854,0.50506,0.28444,0.0751,0.06298,5.40757,0.19244,0.00475,0.98248,0.96924,3.45408,13.08183,0,0.07084,0,-3.19634
"48","2022_Q1",58.621935483871,"Down",501650000,-56458000,445192000,-189330000,-23743000,-165587000,255862000,34877000,725000,34152000,290739000,-112964000,177775000,-32475000,145300000,145300000,145300000,145300000,831407000,831407000,441609000,441609000,131213000,131213000,1404229000,178869000,136457000,635147000,68782000,107918000,338232000,950473000,2354702000,334694000,10312000,324382000,9721000,9721000,355743000,98196000,48876000,49320000,138196000,493939000,1247992000,632614000,-19843000,1860763000,1860763000,2354702000,145300000,-55419000,149220000,-3979000,-12346588.9570581,-12361133.4056529,12947000,-6150000,-77341000,-7.45058059692383e-09,-74929000,17329000,-92258000,-34929000,36950000,36950000,37524000,51328000,0.88746,0.51004,0.28964,0.07809,0.06171,3.94731,0.26545,0.0218,1.03411,1.02018,3.57028,13.2432,0,0.07228,0,-3.04883
"49","2022_Q2",55.5406451612903,"Down",581443000,-53128000,528315000,-196035000,-24985000,-171050000,332280000,33057000,598000,32459000,365337000,-117970000,247367000,-57059000,190308000,190308000,190308000,190308000,907831000,907831000,437844000,437844000,135308000,135308000,1480983000,180458000,141987000,569178000,65339000,52778000,330921000,891623000,2372606000,258505000,8037000,250468000,15422000,15422000,285146000,84377000,36561000,47816000,114377000,399523000,1267692000,733572000,-28181000,1973083000,1973083000,2372606000,190308000,70119000,260427000,-9283000,-9283000,-9283000,-13888000,-8589000,-31760000,-55503000,-80281000,19874000,-100155000,-146652000,82015000,82015000,76424000,41219000,0.90863,0.57147,0.3273,0.09645,0.08021,5.19377,0.20249,0.01737,1.36833,1.34679,4.18064,14.18668,0.39907,0.11713,0.29165,-2.60808
"50","2022_Q3",54.2053125,"Down",481670000,-50023000,431647000,-192722000,-24794000,-167928000,238925000,31455000,1642000,29813000,270380000,-125685000,144695000,-33419000,111276000,111276000,111276000,111276000,771673000,771673000,466902000,466902000,136956000,136956000,1375531000,178946000,127682000,552770000,61669000,46865000,324372000,859398000,2234929000,229057000,10305000,218752000,13510000,13510000,253560000,59281000,22833000,36448000,59281000,312841000,1274326000,693525000,-45763000,1922088000,1922088000,2234929000,111276000,-41088000,70188000,-10538000,-10538000,-10538000,7905000,-8123000,-10756000,-54327000,-101194000,8975000,-110169000,-185521000,-126089000,-126089000,-136158000,10993000,0.89615,0.49603,0.23102,0.05789,0.04979,5.42487,0.16276,0.00492,0.80673,0.79647,3.49201,13.93474,0.39386,0.08312,0.48822,-3.18376
