"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q3",33.2049206349206,"Down",465411000,-369673000,95738000,-66599000,-66599000,29139000,-984000,-1013000,-1041000,28000,28155000,-472000,27683000,-9711000,17972000,17972000,17972000,17972000,34465000,34465000,391536000,391536000,10571000,60597000,5611000,54986000,497169000,74539000,321447000,83269000,203223000,5238000,395986000,893155000,219170000,124326000,94844000,1225000,155021000,155021000,375416000,103513000,17314000,2289000,15025000,120827000,496243000,312103000,-59219000,144028000,396912000,396912000,893155000,17972000,5020000,6669000,-18534000,11127000,-6256000,-83397000,-89653000,-2797000,88190000,-1059000,560000,-1619000,-2787000,81547000,3021000,3021000,3021000,34159000,104738000,19080000,0.20571,0.06261,0.03862,0.04528,0.02012,1.06165,1.32431,1.25026,0.11727,0.48158,0.47666,12.47115,10.63565,0.51127,0.07495,0.04002,0.03677,0.15563,2.05723,2.41165
"29","2017_Q4",39.4425396825397,"Up",480851000,-379993000,100858000,-66707000,-66707000,34151000,-935000,-945000,-961000,16000,33216000,2653000,35869000,-13585000,22284000,22284000,22284000,22284000,29496000,29496000,390497000,390497000,10778000,64606000,11622000,52984000,495377000,74883000,314327000,78527000,203771000,4747000,389210000,884587000,223271000,122203000,101068000,708000,149823000,149823000,373802000,80984000,17872000,2289000,15583000,98856000,472658000,312723000,-64312000,163518000,411929000,411929000,884587000,22284000,5117000,6157000,10954000,44512000,-5005000,-11150000,-16155000,-2794000,-23039000,-5093000,0,-5093000,-2400000,-33326000,-4969000,-4969000,-4969000,39268000,81692000,58802000,0.20975,0.07102,0.04634,0.0541,0.02519,2.63875,1.32524,1.14743,0.09235,0.5985,0.59228,12.91465,11.06355,1.5793,0.07504,0.04903,0.11496,0.12538,1.32922,1.52839
"30","2018_Q1",40.5347540983607,"Up",461072000,-367341000,93731000,-70033000,-70033000,23698000,243000,-749000,-764000,15000,23941000,2076000,26017000,-18478000,7539000,7539000,7539000,7539000,36542000,36542000,382867000,382867000,10303000,59645000,8294000,51351000,489357000,87591000,304172000,76044000,200584000,4578000,391763000,881120000,233456000,132011000,101445000,613000,139659000,139659000,373728000,59926000,29521000,2263000,27258000,89447000,463175000,313195000,-63519000,168269000,417945000,417945000,881120000,7539000,5338000,9303000,26218000,48398000,-18062000,-7.45058059692383e-09,-18062000,-2788000,-21160000,657999.999999999,756000,-97999.9999999991,0,-23290000,7046000,7046000,7046000,29036000,60539000,55670000,0.20329,0.0514,0.01635,0.01804,0.00856,7.38427,1.30939,1.10822,0.06871,0.20278,0.20031,12.40141,11.24143,1.49735,0.07499,0.02033,0.10959,0.36981,0.82646,1.01262
"31","2018_Q2",43.10921875,"Up",464941000,-375888000,89053000,-70023000,-70023000,19030000,-661000,-699000,-713000,14000,18369000,364000,18733000,-2074000,16659000,16659000,16659000,16659000,25219000,25219000,429632000,429632000,11029000,25913000,6135000,19778000,491793000,88298000,302627000,78332000,203199000,4206000,390925000,882718000,216547000,128249000,88298000,1113000,148376000,148376000,366036000,64880000,22664000,4835000,17829000,87544000,453580000,316318000,-69322000,182142000,429138000,429138000,882718000,16659000,5413000,15259000,-33480000,3851000,-5222000,-6719000,-11941000,-2786000,4454000,-4055000,238000,-4293000,-846000,-3233000,-11323000,-11323000,-11323000,24443000,65993000,-12185000,0.19154,0.04093,0.03583,0.03882,0.01887,-0.73144,1.34356,1.05696,0.07476,0.44792,0.44273,12.5011,11.53845,-0.32762,0.07491,0.03755,-0.02353,0.16724,1.66813,2.14262
"32","2018_Q3",51.8993650793651,"Up",535043000,-423860000,111183000,-71208000,-71208000,39975000,3263000,-722000,-736000,14000,43238000,106000,43344000,-10797000,32547000,32547000,32547000,32547000,28001000,28001000,497833000,497833000,11986000,24003000,5183000,18820000,561823000,91898000,305445000,77968000,205162000,5177000,397343000,959166000,244026000,145374000,98652000,1113000,173173000,173173000,418312000,57864000,22015000,4835000,17180000,79879000,498191000,316646000,-67386000,211715000,460975000,460975000,959166000,32547000,5556000,7676000,-12112000,33667000,-8240000,-6949000,-15189000,-2974000,-8523000,-616000,1921000,-2537000,-3583000,-15696000,2782000.00000001,2782000.00000001,2782000.00000001,45531000,58977000,35976000,0.2078,0.07471,0.06083,0.0706,0.03393,1.10536,1.34307,1.08073,0.06149,0.87445,0.86547,14.37515,12.38514,0.96658,0.0799,0.06554,0.06638,0.09138,0.68033,0.77488
"33","2018_Q4",49.6273015873016,"Down",594536000,-466668000,127868000,-75297000,-75297000,52571000,-1088000,-1127000,-1152000,25000,51483000,653000,52136000,-13595000,38541000,38541000,38541000,38541000,19248000,19248000,538112000,538112000,12795000,29524000,6329000,23195000,599679000,102960000,357301000,98712000,231190000,7381000,460261000,1059940000,266299000,150880000,115419000,3279000,176268000,176268000,445846000,93672000,27655000,4835000,22820000,121327000,567173000,316765000,-71084000,247086000,492767000,492767000,1059940000,38541000,5661000,4778000,-18496000,30484000,-7520000,-51619000,-59139000,-3170000,27975000,-4003000,740000,-4743000,-9e+05,19902000,-8753000,-8753000,-8753000,58232000,96951000,45811000,0.21507,0.08842,0.06483,0.07821,0.03636,1.18863,1.34504,1.151,0.09147,1.03338,1.02318,15.94101,13.21233,1.22831,0.085,0.06756,0.0742,0.08225,1.33437,1.47806
"34","2019_Q1",48.4395081967213,"Down",588359000,-470184000,118175000,-80458000,-80458000,37717000,-1010000,-1089000,-1109000,20000,36707000,-2244000,34463000,-9307000,25156000,25156000,25156000,25156000,45620000,45620000,518546000,518546000,12416000,33118000,6544000,26574000,609700000,99618000,353246000,95275000,235182000,5155000,452864000,1062564000,299941000,176167000,123774000,3279000,163838000,163838000,467058000,73639000,23820000,1387000,22433000,97459000,564517000,316890000,-87747000,268904000,498047000,498047000,1062564000,25156000,5970000,9059000,39003000,79188000,-4588000,-4852999.99999999,-9440999.99999999,-3338000,-20033000,-16754000,206000,-16960000,-3250000,-43375000,26372000,26372000,26372000,43687000,76918000,87409000,0.20086,0.06411,0.04276,0.05051,0.02367,3.47468,1.30541,1.13346,0.07239,0.67806,0.67144,15.85873,13.42445,2.35604,0.08997,0.04759,0.14598,0.13269,0.71641,0.82981
"35","2019_Q2",50.0739682539683,"Up",538473000,-431808000,106665000,-78905000,-78905000,27760000,-1022000,-1037000,-1062000,25000,26738000,61000,26799000,-6933000,19866000,19866000,19866000,19866000,29130000,29130000,485761000,485761000,12908000,29473000,7476000,21997000,557272000,102774000,419986000,91073000,235860000,75568000,522760000,1080032000,238865000,136115000,102750000,2755000,168223000,168223000,409843000,74483000,80511000,1387000,79124000,154994000,564837000,320102000,-90171000,285264000,515195000,515195000,1080032000,19866000,5833000,11740000,-36448000,991000,-8487000,-1313000,-9800000,-3506000,-30000,-2521000,8e+05,-3321000,-1624000,-7681000,-16490000,-16490000,-16490000,33593000,77238000,-4409000,0.19809,0.05155,0.03689,0.03856,0.01839,-0.22194,1.35972,1.09636,0.07151,0.53804,0.53354,14.58367,13.95323,-0.11941,0.09495,0.03473,-0.00655,0.17648,1.43208,1.733
"36","2019_Q3",42.526875,"Down",650302000,-530286000,120016000,-84506000,-84506000,35510000,-2834000,-2983000,-3050000,67000,32676000,-1570000,31106000,-6933000,24173000,24173000,24173000,24173000,36787000,36787000,636277000,636277000,12734000,40784000,7250000,33534000,726582000,108343000,609671000,173996000,332562000,85937000,718014000,1444596000,286346000,165119000,121227000,10380000,230324000,230324000,527050000,284667000,100791000,1387000,99404000,385458000,912508000,320290000,-93947000,305745000,532088000,532088000,1444596000,24173000,6180000,16037000,-20781000,25609000,-6561000,-194985000,-201546000,-3692000,192809000,-4556000,20000,-4576000,-967000,183594000,7656999.99999999,7656999.99999999,7656999.99999999,41690000,295047000,21281000,0.18455,0.05461,0.03717,0.04543,0.01673,0.88036,1.37858,1.71496,0.20424,0.65433,0.64943,17.60285,14.40295,0.57605,0.09994,0.03003,0.02293,0.15273,6.19477,7.27288
"37","2019_Q4",47.5371875,"Up",706918000,-564216000,142702000,-90006000,-90006000,52696000,-2694000,-2697000,-2779000,82000,50002000,-1296000,48706000,-12473000,36233000,36233000,36233000,36233000,40363000,40363000,656987000,656987000,12667000,40385000,8788000,31597000,750402000,108129000,608929000,166736000,332200000,89739000,717058000,1467460000,317764000,176624000,141140000,13847000,246121000,246121000,577732000,228167000,103931000,1387000,102544000,332098000,909830000,320568000,-101243000,338305000,557630000,557630000,1467460000,36233000,6209000,10422000,20251000,73115000,-6146000,1439000,-4707000,-3673000,-53033000,-7239000,181000,-7420000,-887000,-64832000,3576000,3576000,3576000,58905000,242014000,85483000,0.20186,0.07454,0.05125,0.06498,0.02469,2.35926,1.29888,1.6316,0.16492,0.98441,0.97784,19.20607,15.15011,2.32247,0.09979,0.04416,0.09461,0.10137,3.42333,3.82669
"38","2020_Q1",43.3698387096774,"Down",719584000,-587024000,132560000,-86588000,-86588000,45972000,-2356000,-2376000,-2426000,50000,43616000,1515000,45131000,-11079000,34052000,34052000,34052000,34052000,50788000,50788000,674579000,674579000,10053000,54764000,14396000,40368000,790184000,109796000,605032000,159974000,332447000,90688000,714828000,1505012000,338632000,196195000,142437000,20817000,248548000,248548000,607997000,205318000,106393000,1425000,104968000,311711000,919708000,320579000,-103960000,368685000,585304000,585304000,1505012000,34052000,33350000,-15030000,-10059000,42313000,-8397000,0,-8396999.99999997,-3672000,-15530000,-2884000,1349000,-4233000,-1405000,-23491000,10425000,10425000,10425000,79322000,226135000,71945000,0.18422,0.06389,0.04732,0.05818,0.02263,2.1128,1.29965,1.57133,0.15025,0.92676,0.91998,19.58425,15.92967,1.95806,0.09994,0.0411,0.07839,0.10784,2.21057,3.81421
"39","2020_Q2",34.9177777777778,"Down",700131000,-583038000,117093000,-92924000,-92924000,24169000,-2528000,-2553000,-2617000,64000,21641000,2826000,24467000,-6751000,17716000,17716000,17716000,17716000,133264000,133264000,694806000,694806000,10312000,40061000,14612000,25449000,878443000,113974000,625650000,167675000,347391000,88781000,739624000,1618067000,307959000,184627000,123332000,850000,290816000,290816000,599625000,333113000,92286000,1425000,90861000,425399000,1025024000,323514000,-112513000,382042000,593043000,593043000,1618067000,17716000,12691000,13973000,-22460000,21920000,-6807000,-8729000,-15536000,-3844000,99808000,-8985000,1067722.00772872,-8985000,-10887000,76092000,82476000,82476000,82476000,36860000,333963000,14344000,0.16724,0.03452,0.0253,0.02987,0.01095,0.80966,1.46499,1.72841,0.2064,0.48307,0.48004,19.09066,16.17067,0.39112,0.10482,0.02115,0.01407,0.21698,5.4449,8.30398
"40","2020_Q3",47.8196875,"Up",743468000,-597773000,145695000,-85045000,-85045000,60650000,-2526000,-2526000,-2554000,28000,58124000,-3559000,54565000,-15070000,39495000,39495000,39495000,39495000,53253000,53253000,672180000,672180000,12212000,54860000,10453000,44407000,792505000,121569000,761369000,210164000,420782000,104590000,882938000,1675443000,349417000,202075000,147342000,85000,331984000,331984000,681486000,231442000,134082000,3365000,130717000,365524000,1047010000,322830000,-112104000,417707000,628433000,628433000,1675443000,39495000,18083000,2518000,81770000,141866000,-6354000,-93269000,-99623000,-3830000,-116507000,-1465000,556000,-2021000,-452000,-122254000,-80011000,-80011000,-80011000,78733000,231527000,169219000,0.19597,0.08158,0.05312,0.06285,0.02357,4.28457,1.16291,1.66606,0.13819,1.07963,1.07507,20.32333,17.17875,4.62574,0.1047,0.04358,0.17023,0.09697,2.26429,2.93939
"41","2020_Q4",51.225625,"Up",714099000,-566903000,147196000,-90888000,-90888000,56308000,-1741000,-1726000,-1733000,7000,54567000,3800000,58367000,-8279000,50088000,50088000,50088000,50088000,70540000,70540000,655370000,655370000,12700000,72686000,10313000,62373000,811296000,119131000,747542000,201998000,420782000,103106000,866673000,1677969000,345784000,176484000,169300000,70000,309489000,309489000,655343000,222213000,132287000,3365000,128922000,354500000,1009843000,322715000,-118551000,463962000,668126000,668126000,1677969000,50088000,15350000,5652000,-18476000,52614000,-4408000,-10947000,-15355000,-3833000,-9265000,-6772000,999000,-7771000,-102000,-19972000,17287000,17287000,17287000,71658000,222283000,57053000,0.20613,0.07885,0.07014,0.07497,0.02985,1.13906,1.23797,1.51146,0.13247,1.37017,1.36298,19.53439,18.27678,1.5607,0.10485,0.05272,0.05579,0.07653,2.1176,2.69487
"42","2021_Q1",63.1911475409836,"Up",698961000,-561962000,136999000,-88920000,-88920000,48079000,-1435000,-1477000,-1481000,4000,46644000,7497000,54141000,-11301000,42840000,42840000,42840000,42840000,54896000,54896000,709352000,709352000,13472000,34132000,15510000,18622000,811852000,117206000,828297000,231807000,464392000,102697000,945503000,1757355000,375175000,204145000,171030000,20156.9651525585,317729000,317729000,692904000,235733000,132289000,1339000,130950000,368022000,1060926000,322862000,-129243000,502810000,696429000,696429000,1757355000,42840000,14505000,-11237000,24002000,70110000,-4292000,-72996000,-77288000,-3992000,6430000,-10754000,589000,-11343000,-150000,-8465999.99999999,-15644000,-15644000,-15644000,62584000,235733000,93595000,0.196,0.06879,0.06129,0.06151,0.02438,2.18476,1.17167,1.52338,0.13414,1.17835,1.17174,19.22546,19.15582,2.5744,0.1098,0.044,0.08793,0.09318,2.88951,3.76125
"43","2021_Q2",80.7671428571429,"Up",669761000,-546292000,123469000,-88214000,-88214000,35255000,-1563000,-1494000,-1497000,3000,33692000,1536000,35228000,-8737000,26491000,26491000,26491000,26491000,52116000,52116000,670824000,670824000,15653000,23979000,13812000,10167000,762572000,115039000,837919000,230408000,472778000,104922000,952958000,1715530000,337195000,184499000,152696000,1617021.40918518,354493000,354493000,691688000,171752000,128987000,1339000,127648000,300739000,992427000,326554000,-128589000,525138000,723103000,723103000,1715530000,26491000,15976000,6257000,35923000,84647000,-4314000,-10716000,-15030000,-4163000,-67500000,520000,1405000,-885000,-1254000,-72397000,-2780000,-2780000,-2780000,51231000,171752000,91577000,0.18435,0.05264,0.03955,0.03664,0.01544,3.45691,1.10248,1.37246,0.10012,0.73006,0.7258,18.45783,19.92788,2.52376,0.11473,0.02994,0.08944,0.15715,2.33523,3.39345
"44","2021_Q3",73.89078125,"Down",713895000,-587440000,126455000,-87549000,-87549000,38906000,-1196000,-1357000,-1360000,3000,37710000,5072000,42782000,-9817000,32965000,32965000,32965000,32965000,53659000,53659000,722585000,722585000,18837000,24319000,11350000,12969000,819400000,113589000,821961000,221584000,472046000,104379000,935550000,1754950000,370609000,207453000,163156000,4235000,346566000,346566000,721410000,156272000,125256000,1339000,123917000,281528000,1002938000,326590000,-128503000,553925000,752012000,752012000,1754950000,32965000,15698000,7836000,-31077000,25422000,-4918000,-1026000,-5944000,-4178000,-11265000,-118000,2044000,-2162000,-2374000,-17935000,1543000,1543000,1543000,54604000,160507000,28426000,0.17713,0.0545,0.04618,0.04384,0.01878,0.86231,1.13583,1.33367,0.09146,0.90848,0.90318,19.67412,20.72458,0.78339,0.11514,0.03579,0.02739,0.12674,1.95678,2.74631
"45","2021_Q4",91.86765625,"Up",833896000,-674684000,159212000,-95287000,-95287000,63925000,-1565000,-1585000,-1586000,1000,62360000,-1064000,61296000,-14999000,46297000,46297000,46297000,46297000,67721000,67721000,790591000,790591000,19908000,26491000,11519000,14972000,904711000,115538000,931085000,268099000,526964000,113210000,1046623000,1951334000,394227000,236387000,157840000,5958000,342077000,342077000,742262000,266772000,170511000,1339000,169172000,437283000,1179545000,326904000,-150987000,595872000,771789000,771789000,1951334000,46297000,18326000,5939000,-27977000,42585000,-4830000,-93801000,-98631000,-4350000,99558000,-22484000,0,-22484000,-2616000,70108000,14062000,14062000,14062000,82251000,272730000,64443000,0.19093,0.07666,0.05552,0.05999,0.02373,1.39195,1.21886,1.52833,0.13977,1.27554,1.27071,22.97487,21.26375,1.77548,0.11985,0.04168,0.05304,0.09396,2.49248,3.20702
"46","2022_Q1",89.2740322580645,"Down",856084000,-702013000,154071000,-105259000,-105259000,48812000,-1660000,-1736000,-1753000,17000,47152000,3816000,50968000,-13373000,37595000,37595000,37595000,37595000,58776000,58776000,893088000,893088000,21853000,53604000,23704000,29900000,1027321000,128554000,1053239000,304781000,592114000,133439000,1181793000,2209114000,406986000,254788000,152198000,2788000,426780000,426780000,836554000,385242000,181652000,1745000,179907000,566894000,1403448000,327472000,-150580000,628774000,805666000,805666000,2209114000,37595000,18944000,4781000,-33823000,27497000,-5167000,-121950000,-127117000,-4693000,98511000,662000,2185000,-1523000,-3805000,90675000,-8945000,-8945000,-8945000,67756000,388030000,42139000,0.17997,0.05702,0.04392,0.04666,0.01702,1.12087,1.22804,1.74197,0.17565,1.03579,1.03187,23.58618,22.1971,1.16098,0.1293,0.03075,0.03064,0.12483,4.85941,6.74535
"47","2022_Q2",85.7224193548387,"Down",885216000,-732072000,153144000,-117776000,-117776000,35368000,-2070000,-2126000,-2129000,3000,33298000,4411000,37709000,49053000,86762000,86762000,86762000,86762000,115615000,115615000,949410000,949410000,24918000,49686000,31373000,18313000,1139629000,127711000,1041073000,291990000,593947000,134559000,1168784000,2308413000,411646000,267246000,144400000,407000,445146000,445146000,857199000,412079000,160727000,1745000,158982000,572806000,1430005000,332389000,-164844000,710863000,878408000,878408000,2308413000,86762000,20837000,6805000,-50675000,63729000,-8136000,3000,-9369000,-4673000,24703000,-14097000,16041848.0693411,-14097000,-3454000,2479000,56839000,56839000,56839000,56205000,412486000,-51659000,0.173,0.03995,0.09801,0.09877,0.03759,-0.59541,1.32948,1.62795,0.17869,2.3904,2.38135,24.3888,24.20123,-1.42327,0.12875,0.06299,-0.03559,0.05386,5.28193,8.39377
"48","2022_Q3",97.8340625,"Up",1017948000,-842956000,174992000,-118724000,-118724000,56268000,-3021000,-3020000,-3026000,6000,53247000,268000,53515000,-11269000,42246000,42246000,42246000,42246000,69129000,69129000,1093383000,1093383000,31246000,44465000,28836000,15629000,1238223000,132646000,1068753000,296538000,6.11e+08,144621000,1201399000,2439622000,452844000,293964000,158880000,2448000,512888000,512888000,968180000,403192000,171405000,1745000,169660000,574597000,1542777000,331786000,-183024000,748083000,896845000,896845000,2439622000,42246000,20616000,13258000,-31557000,44563000,-10520000,-39376000,-49896000,-5026000,-12524000,-18757000,48482544.2080234,-18757000,-4846000,-41153000,-46486000,-46486000,-46486000,76884000,405640000,46076000,0.17191,0.05528,0.0415,0.04711,0.01732,1.09066,1.27892,1.72023,0.16627,1.17448,1.17113,28.29992,24.93314,1.28096,0.13973,0.03207,0.03126,0.11897,4.37687,5.9805
