"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",53.5265079365079,"Down",703780000,-389218000,314562000,-227917000,86645000,-2840000,-2786000,-2950000,164000,-54000,83805000,83805000,-30246000,53559000,53559000,53559000,53559000,35602000,35602000,429862000,429862000,464592000,45771000,45771000,975827000,318981000,756709000,101103000,623296000,32310000,1075690000,2051517000,219890000,124304000,95586000,94072000,497962000,101574000,101574000,372634000,870596000,614318000,-508761000,1096710000,-21346000,1180921000,1180921000,2051517000,53559000,15368000,5781000,-54012000,20696000,-13011000,-13011000,-25515000,5113000,16119000,16289000,-170000,-4141000,3543999.99999999,3543999.99999999,-64000,3480000.00000001,102013000,365132000,65236000,0.44696,0.12311,0.0761,0.04535,0.02611,1.21802,1.95964,0.73722,0.17798,0.94595,0.93615,12.4301,20.85733,1.15219,0.45064,5,0.04799,0.03959,0.47639,3.23027,3.80322
"31","2017_Q4",61.924126984127,"Up",743923000,-414423000,329500000,-227724000,101776000,-3194000,-3192000,-3361000,169000,-2000,98582000,98582000,-35746000,62836000,62836000,62836000,62836000,27578000,27578000,436729000,436729000,466478000,49692000,49692000,980477000,317297000,753269000,99005000,623061000,31203000,1070566000,2051043000,211333000,112160000,99173000,314171000,525504000,101574000,101574000,302550000,828054000,618783000,-508320000,1133785000,-21259000,1222989000,1222989000,2051043000,62836000,15922000,4826000,-21109000,62475000,-12415000,-12415000,-25622000,-34171000,1621000,1636000,-15000,-58172000,-8112000,-8112000,88000,-8024000,117698000,515147000,119920000,0.44292,0.13681,0.08447,0.05138,0.03064,1.90846,1.86578,0.67707,0.25116,1.10668,1.0973,13.10208,21.53946,2.11205,0.45126,4,0.04808,0.06518,0.40776,4.14254,4.79061
"32","2018_Q1",68.9983606557377,"Up",753770000,-420320000,333450000,-233471000,99979000,-1919000,-2963000,-3125000,162000,1044000,98060000,98060000,-37312000,60748000,60748000,60748000,60748000,16083000,16083000,471795000,471795000,464959000,52742000,52742000,1005579000,316305000,777028000,110429000,633728000,32871000,1093333000,2098912000,225739000,121266000,104473000,331986000,557725000,115056000,115056000,316047000,873772000,627061000,-553470000,1168812000,-17263000,1225140000,1225140000,2098912000,60748000,16243000,19728000,-9009000,87710000,-8625000,-50970000,-25584000,17729000,-40425000,5365000,-45790000,-48280000,-11540000,-11540000,45000,-11495000,116222000,532977000,135900000,0.44238,0.13264,0.08059,0.04958,0.02894,2.23711,1.803,0.7132,0.25393,1.07357,1.06951,13.32102,21.65132,2.4017,0.45213,6,0.04609,0.07255,0.42115,4.44747,5.17003
"33","2018_Q2",68.06578125,"Down",768561000,-433492000,335069000,-235791000,99278000,-3482000,-3074000,-3237000,163000,-408000,95796000,95796000,-36211000,59585000,59585000,59585000,59585000,20252000,20252000,479391000,479391000,469432000,54441000,54441000,1023516000,311846000,772850000,107731000,633529000,31590000,1084696000,2108212000,240444000,124917000,115527000,291679000,532123000,115056000,115056000,316058000,848181000,634009000,-5.57e+08,1201128000,-18106000,1260031000,1260031000,2108212000,59585000,15749000,5718000,927000,81979000,-9028000,-9766000,-27087000,-40394000,-654000,3364000,-4018000,-68135000,4078000,4078000,91000,4169000,115027000,492681000,143137000,0.43597,0.12917,0.07753,0.04729,0.02826,2.40223,1.92346,0.67314,0.2337,1.05859,1.05453,13.65433,22.38583,2.54299,0.48123,7,0.0464,0.07664,0.45459,4.10711,4.75865
"34","2018_Q3",64.5784126984127,"Down",768987000,-431764000,337223000,-239120000,98103000,-3260000,-3337000,-3550000,213000,77000.0000000002,94843000,94843000,22709000,117552000,117552000,117552000,117552000,31608000,31608000,501067000,501067000,498987000,56253000,56253000,1087915000,308124000,769183000,105306000,633405000,30472000,1077307000,2165222000,234088000,133688000,100400000,260347000,494435000,73856000,73856000,324752000,819187000,652506000,-574073000,1285681000,-18079000,1346035000,1346035000,2165222000,117552000,15558000,-35743000,-61159000,36208000,-8233000,-8233000.00000001,-32786000,18465000,-2304999.99999999,15405000,-17710000,-16626000,11349000,11349000,6999.99999999999,11356000,113661000,511243000,21560000,0.43853,0.12757,0.15287,0.08733,0.05429,0.18341,2.20032,0.60859,0.23612,2.08282,2.06623,13.6251,23.84938,0.38201,0.58091,7,0.07785,0.01116,0.27891,4.21987,4.8891
"35","2018_Q4",63.0609523809524,"Down",828345000,-467344000,361001000,-245619000,115382000,-3565000,-3424000,-3532000,108000,-141000,111817000,111817000,-32748000,79069000,79069000,79069000,79069000,39993000,39993000,510832000,510832000,512303000,53057000,53057000,1116185000,311264000,828283000,125773000,672785000,29725000,1139547000,2255732000,244276000,133679000,110597000,284217000,528493000,76881000,76881000,328185000,856678000,663464000,-577230000,1331788000,-18968000,1399054000,1399054000,2255732000,79069000,15826000,5337000,11818000,112050000,-13533000,-98640000,-32760000,23704000,4108000,7764000,-3656000,-4948000,8462000,8462000,-77000,8385000,131208000,535521000,162241000,0.43581,0.13929,0.09545,0.05652,0.03505,2.05189,2.11201,0.61233,0.2374,1.40144,1.39199,14.68176,24.79713,2.87559,0.58065,7,0.0556,0.08066,0.41432,3.77666,4.29467
"36","2019_Q1",63.3265573770492,"Up",837985000,-478317000,359668000,-251878000,107790000,-4057000,-3981000,-4144000,163000,-76000.0000000001,103733000,103733000,-30716000,73017000,73017000,73017000,73017000,46217000,46217000,523892000,523892000,518496000,58902000,58902000,1147507000,311685000,829535000,122724000,674998000,31813000,1141220000,2288727000,266426000,145133000,121293000,224097000,490523000,99714000,99714000,410950000,901473000,657814000,-576748000,1325822000,-19634000,1387254000,1387254000,2288727000,73017000,16021000,27462000,-7079000,109421000,-14125000,-15280000,-32797000,225000,-54814000,2171000,-56985000,-87877000,6264000,6264000,-40000,6224000,123811000,535333000,133323000,0.42921,0.12863,0.08713,0.05263,0.0319,1.82592,2.33935,0.64983,0.2339,1.29753,1.28939,14.89116,24.65178,2.36918,0.58281,7,0.05232,0.06593,0.44917,3.95051,4.53768
"37","2019_Q2",59.7415873015873,"Down",831597000,-473612000,357985000,-254985000,1.03e+08,-3892000,-3894000,-4056000,162000,2000,99108000,99108000,-24876000,74232000,74232000,74232000,74232000,11615000,11615000,531406000,531406000,527984000,60928000,60928000,1131933000,307586000,825279000,119762000,674464000,31053000,1132865000,2264798000,266137000,154896000,111241000,210979000,477116000,99714000,99714000,411370000,888486000,660249000,-579451000,1316489000,-20975000,1376312000,1376312000,2264798000,74232000,15846000,7129000,-20341000,76866000,-10053000,-10053000,-34858000,-13247000,-53244000,10283000,-63527000,-101349000,-34536000,-34536000,-66000,-34602000,118846000,522635000,113328000,0.43048,0.12386,0.08926,0.05394,0.03278,1.52667,2.37245,0.64556,0.23076,1.33747,1.32958,14.98319,24.79752,2.04187,0.62805,7,0.05458,0.0567,0.46958,4.29985,4.96136
"38","2019_Q3",54.71375,"Down",823004000,-471190000,351814000,-255833000,95981000,-4612000,-4375000,-4539000,164000,-237000,91369000,91369000,-22939000,68430000,68430000,68430000,68430000,31167000,31167000,540756000,540756000,572593000,99387000,99387000,1243903000,307310000,806903000,123062000,677501000,6340000,1114213000,2358116000,259329000,162673000,96656000,308562000,567891000,99714000,99714000,384380000,952271000,670111000,-599603000,1349972000,-20237000,1400243000,1405845000,2358116000,68430000,16230000,7342000,-70290000,21712000,-13103000,-24728000,-34693000,70247000,-14234000,6664000,-20898000,22479000,19463000,19463000,89000,19552000,112211000,593228000,51757000,0.42748,0.11662,0.08315,0.04868,0.02902,0.75635,2.19039,0.67737,0.25157,1.24107,1.23504,14.92626,25.39524,0.93868,0.6292,3,0.04913,0.02466,0.50699,5.00897,5.85596
"39","2019_Q4",58.17953125,"Up",866546000,-497891000,368655000,-258154000,110501000,-4482000,-4387000,-4565000,178000,-95000,106019000,106019000,-26505000,79514000,79514000,79514000,79514000,38771000,38771000,546486000,546486000,560800000,69715000,69715000,1215772000,306564000,802012000,119778000,676845000,5389000,1108576000,2324348000,239770000,146815000,92955000,246298000,486068000,99714000,99714000,384405000,870473000,675738000,-599116000,1394551000,-22730000,1448443000,1453875000,2324348000,79514000,16463000,7034000,-14389000,88622000,-12800000,14225000,-34757000,-3.5e+07,2013000,2052000,-39000,-95089000,7758000,7758000,-154000,7604000,126964000,530989000,126280000,0.42543,0.12752,0.09176,0.05469,0.03421,1.58815,2.50124,0.59873,0.22845,1.44157,1.43449,15.71025,26.25989,2.28942,0.63014,5,0.05482,0.06058,0.43712,3.87683,4.45442
"40","2020_Q1",55.3435483870968,"Down",842670000,-489081000,353589000,-256350000,97239000,-3881000,-3716000,-3730000,14000,-165000,93358000,86633000,-20012000,66621000,66621000,66689000,66689000,32286000,32286000,541091000,541091000,559136000,67099000,67099000,1199612000,310854000,800771000,116668000,677266000,6837000,1111625000,2311237000,271463000,160110000,111353000,175453000,446916000,114011000,114011000,380442000,827358000,659282000,-104607000,946651000,-22776000,1478550000,1483879000,2311237000,66621000,16838000,20254000,37513000,141226000,-15817000,-15817000,-41401000,-119370000,1094000,1241000,-147000,-131670000,-6261000,-6261000,-224000,-6485000,114077000,441884000,155785000,0.41961,0.11539,0.07914,0.04494,0.02885,2.33599,2.6842,0.55756,0.19119,1.20853,1.20456,15.27074,26.79406,2.82311,0.75026,6,0.05299,0.07637,0.62081,3.59054,4.21228
"41","2020_Q2",55.7455555555556,"Up",823601000,-476405000,347196000,-256898000,90298000,-3040000,-3161000,-3171000,10000,121000,87258000,87258000,-21806000,65452000,65452000,65418000,65418000,27778000,27778000,536878000,536878000,539433000,66731000,66731000,1170820000,312317000,856628000,113740000,677325000,65563000,1168945000,2339765000,243912000,142733000,101179000,138877000,403828000,151988000,114011000,419571000,823399000,668724000,-106690000,970139000,-21310000,1510863000,1516366000,2339765000,65452000,17025000,12371000,-9736000,85112000,-12689000,-12689000,-41536000,-3.8e+07,2555000,5564000,-3009000,-77161000,-4738000,-4738000,230000,-4508000,107323000,406460000,106704000,0.42156,0.10964,0.07943,0.04314,0.02796,1.63111,2.8993,0.54301,0.17372,1.1835,1.17989,14.90006,27.33357,1.93042,0.75144,6,0.05155,0.05143,0.63493,3.52843,4.19369
"42","2020_Q3",58.0046875,"Up",786094000,-455042000,331052000,-248870000,82182000,-3497000,-3427000,-3495000,68000,-70000,78685000,74173000,-18617000,55556000,55556000,55500000,55500000,44867000,44867000,536902000,536902000,556402000,74376000,74376000,1212547000,311267000,853219000,110644000,677039000,65536000,1164486000,2377033000,262611000,155304000,107307000,410360000,694558000,152129000,114010000,419662000,1114220000,681714000,-105758000,703396000,-22053000,1257299000,1262813000,2377033000,55556000,17288000,11799000,-13940000,70703000,-13048000,-15334000,-41645000,271600000,9829000,10028000,-199000,-38261000,17108000,17108000,-19000,17089000,99470000,677893000,91099000,0.42114,0.10454,0.0706,0.04395,0.02335,1.64142,1.74578,0.88233,0.28518,1.00059,0.99738,14.17228,22.66751,1.6424,0.75081,4,0.04642,0.04353,0.75036,6.36399,7.70273
"43","2020_Q4",69.15296875,"Up",834972000,-481010000,353962000,-242751000,111211000,-5838000,-5278000,-5451000,173000,-560000,105373000,104014000,-25900000,78114000,78114000,77703000,77703000,353393000,353393000,544446000,544446000,575093000,83022000,83022000,1555954000,307150000,846606000,107197000,676262000,63147000,1153756000,2709710000,259641000,126938000,132703000,310482000,592011000,150173000,114010000,817407000,1409418000,686039000,-104589000,739035000,-25582000,1294903000,1300292000,2709710000,78114000,17041000,13431000,-49460000,59126000,-10183000,-10183000,-41670000,300600000,1197000,1225000,-28000,260251000,309194000,309194000,-668000,308526000,128252000,977716000,94509000,0.42392,0.13319,0.09306,0.05976,0.02868,1.21629,2.62825,1.08392,0.36082,1.39847,1.39621,15.02748,23.30513,1.70093,0.74996,3,0.04916,0.03892,0.53627,4.86794,5.61386
"44","2021_Q1",79.1729508196721,"Up",747732000,-436620000,311112000,-227034000,84078000,-4115000,-4474000,-4820525.74020647,121413.364959032,359000,79963000,68805000,-16169000,52636000,52636000,52496000,52496000,125211000,125211000,491743000,491743000,543106000,77710000,77710000,1237770000,301979000,842681000,104873000,677579000,60229000,1144660000,2382430000,264670000,125775000,138895000,122248000,408733000,156106000,121727000,653124000,1061857000,690796000,-103948000,749515000,-21418000,1314945000,1320573000,2382430000,52636000,17725000,21556000,89881000,181798000,-11071000,-11071000,-41686000,-637823000,802000,1010000,-208000,-399447000,-228720000,-228720000,538000,-228182000,101803000,619266000,196782000,0.41607,0.11244,0.07021,0.03975,0.02203,3.74851,3.02831,0.80409,0.25993,0.94446,0.9403,13.45253,23.65732,3.54033,0.74998,4,0.04494,0.09389,0.79408,4.85305,5.87615
"45","2021_Q2",85.6790476190476,"Up",771904000,-448586000,323318000,-238705000,84613000,-2684000,-3335000,-3356000,20999.9999999999,651000,81929000,51224000,-12447000,38777000,38777000,38454000,38454000,53104000,53104000,493693000,493693000,521299000,80222000,80222000,1148318000,297780000,840555000,102552000,677891000,60112000,1138335000,2286653000,470305000,143520000,129073000,23225000,513989000,174872000,121716000,641777000,1155766000,702398000,-106197000,547957000,-19683000,1124475000,1130887000,2286653000,38777000,17105000,11379000,35969000,103230000,-7893000,-7893000,-41815000,-130516000,3404000,6563000,-3159000,-167658000,-72321000,-72321000,214000,-72107000,101718000,490130000,142241000,0.41886,0.10962,0.04982,0.034,0.01682,3.69899,2.23413,1.022,0.21434,0.69089,0.68852,13.86845,20.20293,2.55558,0.75127,3,0.0447,0.0792,1.0874,4.29645,5.165
"46","2021_Q3",80.216875,"Down",773995000,-479244000,294751000,-245115000,49636000,-3622000,-3564000,-3580000,16000,-58000,46014000,24399000,-6051000,18348000,18348000,18085000,18085000,20242000,20242000,527233000,527233000,532536000,105342000,105342000,1185353000,293342000,823546000,99756000,678406000,45384000,1116888000,2302241000,310578000,170487000,140091000,222680000,553214000,168805000,121721000,630490000,1183704000,712807000,-105645000,523757000,-18806000,1112113000,1118537000,2302241000,18348000,17466000,57965000,-78075000,15704000,-12061000,-12061000,-41870000,1434000.00000006,5951000,6311000,-360000.000000002,-37146000,-33503000,-33503000,641000,-32862000,67102000,684365000,-16983000,0.38082,0.06413,0.02337,0.01617,0.00786,-0.93907,2.14267,1.05826,0.29726,0.32388,0.32187,13.86119,19.91642,-0.30414,0.74983,3,0.03041,-0.00860999999999999,2.31518,9.89722,13.37987
"47","2021_Q4",79.4046875,"Down",866294000,-499823000,366471000,-257336000,109135000,-2550000,-3681000,-3696000,15000,1131000,106585000,126076000,-31141000,94935000,94935000,94434000,94434000,27429000,27429000,564963000,564963000,598328000,116947000,116947000,1307667000,296200000,820451000,97610000,679920000,42921000,1116651000,2424318000,341699000,195858000,145841000,412547000,768816000,157166000,121715000,503624000,1272440000,735619000,-104951000,528766000,-14780000,1144654000,1151878000,2424318000,94935000,17004000,7386000,-98899000,20426000,-17644000,-17644000,-42022000,73121000,-27974000,19207000,-47181000,4517000,7299000,7299000,-112000,7187000,126139000,759005000,40737000,0.42303,0.12598,0.10901,0.08198,0.03895,0.43138,1.70088,1.10467,0.31308,1.69391,1.68575,15.53918,20.53228,0.73072,0.75377,5,0.06598,0.0197,0.44499,5.79976,6.7034
"48","2022_Q1",77.8954838709677,"Down",831031000,-482056000,348975000,-253312000,95663000,-4534000,-3864000,-2532607.58307096,-39305.6273511714,-670000,91129000,86680000,-20803000,65877000,65877000,65934000,65934000,40536000,40536000,560373000,560373000,624169000,89167000,89167000,1314245000,298416000,849454000,101854000,692704000,54896000,1147870000,2462115000,345568000,186330000,159238000,202433000,561928000,154699000,108827000,738315000,1300243000,740924000,-104384000,532315000,-17984000,1150871000,1161872000,2462115000,65877000,17271000,1128000,826000.000000015,85102000,-16148000,-38148000,-41592000,27076000,-18839000,1722000,-20561000,-33460000,13494000,13494000,-387000,13107000,112934000,786049000,118415000,0.41993,0.11511,0.07934,0.05675,0.02678,1.79596,2.33881,1.11909,0.31926,1.18269,1.17699,14.90665,20.6438,2.12407,0.74606,6,0.05114,0.05632,0.63081,6.60132,7.79312
"49","2022_Q2",79.6167741935484,"Up",848547000,-495951000,352596000,-256581000,96015000,-4122000,-3709000,626927.250787125,-179416.882053514,-413000,91893000,86610000,-20353000,66257000,66257000,66067000,66067000,62875000,62875000,578654000,578654000,622624000,84255000,84255000,1348408000,298975000,848961000,98419000,691867000,58675000,1147936000,2496344000,368088000,177823000,190265000,204484000,586275000,158717000,108827000,717035000,1303310000,756371000,-108138000,556586000,-22065000,1182754000,1193034000,2496344000,66257000,17407000,11853000,-37713000,57804000,-15262000,-15262000,-51520625.8372084,-23361000,3567000,8126000,-4559000,-19794000,22748000,22748000,-409000,22339000,113422000,762802000,80800000,0.41553,0.11315,0.07786,0.05538,0.02647,1.223,2.29996,1.09243,0.30557,1.18158,1.17754,15.17593,21.15309,1.44508,0.922613723171364,5,0.03124,0.03821,1.54339911567716,6.171,7.28977
"50","2022_Q3",77.26484375,"Down",862522000,-496247000,366275000,-265973000,100302000,-3505000,-3596000,6499354.50157425,-437833.764107028,91000.0000000001,96797000,93663000,-23509000,70154000,70154000,69931000,69931000,41754000,41754000,619913000,619913000,657710000,97435000,97435000,1416812000,300232000,847871000,96061000,692482000,59328000,1148103000,2564915000,332485000,191436000,141049000,251269000,597171000,148261000,108851000,732443000,1329614000,766204000,-107401000,584283000,-19121000,1223974000,1235301000,2564915000,70154000,17578000,10482000,-98597000,-383000,-15917000,-15917000,-83586000,73919000,5932000,6186000,-253999.999999999,-5122000,-21422000,-21422000,301000,-21121000,117880000,835451000,26875000,0.42466,0.11629,0.08108,0.05661,0.02726,0.38431,2.37254,1.07635,0.32572,1.25069,1.24641,15.42587,21.89013,0.48065,1.4949,6,0.06918,0.01211,1.19526,6.73309,7.91307
