"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q3",14.9515625,"Down",77006000,-63680000,13326000,-10103000,-10103000,3223000,-9000.00000000003,133000,-142000,3214000,4275000,-1276000,2944000,2944000,2933000,2933000,41487000,14768000,26719000,24362000,24362000,50601000,2698000,2461000,119148000,51325000,43887000,3614000,945000,103063000,222211000,35095000,24121000,2044000,8930000,36458000,18284000,2225000,8939000,18284000,54742000,162918000,167469000,222211000,2944000,2287000,-493000,3798000,8536000,-59000,-1339000,4e+06,3592000,0,-5898000,6230000,6230000,-55000,6175000,5510000,0,10525000,0.17305,0.04185,0.03809,0.01751,0.0132,3.58848,3.26809,0.32688,-3.46944695195361e-18,0.23438,0.23234,6.15359,13.01886,0.84106,0.02185,0.05666,-7.5294,-12.87217
"35","2019_Q4",13.90625,"Down",77226000,-63103000,14123000,-10038000,-10038000,4085000,-38000,251000,-289000,4047000,4262000,-1225000,3060000,3060000,3154000,3154000,39962000,26418000,13544000,26142000,26142000,55415000,2954000,2954000,124473000,50129000,43472000,3224000,972000,100435000,224908000,39102000,28492000,642000,9968000,39594000,18082000,2225000,9075000,18082000,57676000,162775000,167232000,224908000,3060000,2232000,583000,-4390000,1485000,-244000,-858000,13150000,13850000,-61000,-3773000,11562000,11562000,88000,11650000,6317000,0,2908000,0.18288,0.0529,0.04084,0.01886,0.01402,0.922,3.14373,0.34489,0,0.25354,0.25121,6.20788,13.08481,0.23376,0.02371,0.01569,-6.3261,-9.78262
"36","2020_Q1",9.86096774193548,"Down",55620000,-47859000,7761000,-5069000,-5069000,2692000,-455000,240000,-695000,2237000,2237000,-3130000,-898000,-1511000,-1586000,-1586000,45009000,40008000,5001000,23751000,23751000,50860000,3625000,2849000,123245000,48389000,41011000,1190000,643000,96481000,219726000,34793000,24455000,1022000,9316000,35192000,20287000,3176000,9780000,20287000,55479000,159933000,164247000,219726000,-1511000,2218000,3455000,1626000,5788000,-307000,-307000,10157000,8401000,659000,-587000,13602000,13602000,-12000,13590000,4910000,-1.16415321826935e-10,9359000,0.13954,0.0484,-0.02851,-0.00966,-0.00722,-5.90101,3.50207,0.33778,-8.67361737988404e-19,-0.12807,-0.12777,4.49128,12.91449,0.75573,-0.00188,0.05072,-9.1668,-16.71954
"37","2020_Q2",6.58968253968254,"Down",74847000,-61482000,13365000,-10711000,-10711000,2654000,153000,240000,-87000,2807000,2842000,-1681000,1174000,1174000,1338000,1338000,44236000,44236000,5771827.98615715,24090000,24090000,50660000,3454000,2578000,122440000,47289000,47371000,1219000,7056000,102007000,224447000,32412000,22688000,1116000,8608000,35552000,24559000,2543000,14451000,24559000,60111000,160146000,164336000,224447000,1174000,2081000,-585000,-647000,2023000,-726000,-935000,5e+06,4015000,-517000,-1758000,4280000,4280000,-52000,4228000,4735000,0,5043000,0.17856,0.03546,0.01788,0.00814,0.00596,3.76906,3.44397,0.36578,0,0.10791,0.10782,6.03654,12.91604,0.40673,0.01365,0.0267,-9.34234,-16.66767
"38","2020_Q3",10.5003125,"Up",72619000,-58516000,14103000,-10120000,-10120000,3983000,124000,211000,-87000,4107000,4107000,-1899000,2192000,2192000,2300000,2300000,47183000,47183000,10181476.1453834,24522000,24522000,55228000,3636000,2710000,130569000,46973000,46605000,1244000,6375000,101153000,231722000,38286000,27797000,1539000,8950000,40943000,24857000,3283000,13812000,24857000,65800000,161520000,165922000,231722000,2192000,2165000,909000,958000.000000001,6224000,-1321000,-1475000,0,-1541000,-456000,-1697000,2986000,2986000,-39000,2947000,6148000,2.3283064365387e-10,7684000,0.19421,0.05485,0.03167,0.01386,0.00993,3.34087000000001,3.18904,0.39657,-1.73472347597681e-18,0.18538,0.18524,5.85307,13.01846,0.61933,0.01856,0.04028,-7.67453,-11.8461
"39","2020_Q4",13.4665625,"Up",71999000,-59614000,12385000,-9952000,-9952000,2433000,-33000,234000,-267000,2400000,-5123000,973000,-4207000,-4207000,-58000,-58000,32623000,21872000,10751000,26614000,26614000,57575000,4062000,3219000,120874000,46380000,33058000,1653000,5988000,89466000,210340000,30209000,22012000,455000,7742000,32834000,17410000,2013000,7527000,17410000,50244000,159843000,160096000,210340000,-4207000,2164000,6208000,-12931000,-8766000,-1353000,-1662000,-7532000,-14510000,0,-2032000,-25308000,-25308000,-3000,-25311000,4597000,0,-10660000,0.17202,0.03379,-0.00081,-0.00036,-0.00028,183.7931,3.68137,0.31384,0,-0.00467,-0.00466,5.80216,12.88122,-0.85905,0.00702,-0.06005,-7.09658,-13.40855
"40","2021_Q1",15.3219672131148,"Up",36701000,-36056000,644999.999999998,-3641000,-3641000,-2996000,-355000,106000,-461000,-3351000,-9505000,-679000,-10249000,-27826000,-32247000,-32247000,74984000,69790000,5194000,25093000,25093000,47907000,3701000,2116000,151685000,43147000,10342000,793000,4567000,63399000,215084000,29191000,23109000,395000,5687000,40119000,15517000,1818000,5812000,45267000,85386000,129698000,129698000,215084000,-27826000,2064000,21833000,9418000,5489000,-513000,-513000,3106000,4792000,9138000,37662000,47943000,47943000,-25000,47918000,-931999.999999999,29750000,8652000,0.01757,-0.08163,-0.87864,-0.24863,-0.14993,-0.268300000000011,3.78088,0.65834,0.13832,-2.62235,-2.63262,2.98455,10.54713,0.70359,-0.17694,0.04945,48.53433,15.09813
"41","2021_Q2",14.8157142857143,"Down",64464000,-54563000,9901000,-8018000,-8018000,1883000,-359000,7000,-366000,1524000,1524000,-4324000,-2733000,-2733000,-2733000,-2733000,46061000,39986000,6075000,29893000,29893000,40402000,4329000,3547000,120685000,42051000,12621000,593000,6983000,63902000,184587000,34544000,26079000,613000,7852000,37616000,21102000,5311000,7805000,21102000,58718000,125869000,125869000,184587000,-2733000,1940000,3906000,7468000,10581000,-5e+05,-5e+05,389000,-736000,-7621000,-39684000,-29839000,-29839000,35000,-29804000,3823000,0,15115000,0.15359,0.02921,-0.0424,-0.02171,-0.01481,-5.53055,3.20834,0.4665,0,-0.22243,-0.22243,5.24652,10.24408,1.23016,-0.00981,0.10284,-12.04839,-24.4615
"42","2021_Q3",13.5603125,"Down",76851000,-62590000,14261000,-9743000,-9743000,4518000,-621000,59000,-680000,3897000,3897000,-1613000,2384000,2384000,2384000,2384000,55755000,45288000,10467000,32960000,32960000,47726000,3509000,3509000,139950000,41599000,12408000,645000,6712000,62826000,202776000,51412000,38315000,1413000,11684000,54103000,21422000,6089000,7333000,21422000,75525000,127251000,127251000,202776000,2384000,1833000,1549000,6356000,12122000,-1529000,-1541000,-3144000,-5563000,-25000,-1317000,5242000,5242000,60000,5302000,6351000,0,12791000,0.18557,0.05879,0.03102,0.01873,0.01176,5.36535,2.58673,0.59351,-1.38777878078145e-17,0.19384,0.19384,6.24856,10.34645,1.04,0.02473,0.08603,-8.77893000000001,-12.34064
"43","2021_Q4",11.19953125,"Down",79341000,-65468000,13873000,-9836000,-9836000,4037000,-920000,91000,-1011000,3117000,3117000,-899000,2082000,2082000,2082000,2082000,51320000,35987000,15333000,36397000,36397000,57794000,3116000,3116000,148627000,42385000,12222000,640000,6761000,63351000,211978000,59889000,45186000,1129000,13574000,62390000,21226000,5543000,7504000,21226000,83616000,128362000,128362000,211978000,2082000,1780000,718000,-5632000,-1052000,-2279000,-2279000,1624000,-6991000,0,-1354000,-9397000,-9397000,96000,-9301000,5817000,0,-1195000,0.17485,0.05088,0.02624,0.01622,0.00982,-0.57397,2.38222,0.65141,0,0.1692,0.16912,6.44787,10.43169,-0.09711,0.02297,-0.00799,-8.82242,-12.71241
"44","2022_Q1",8.36403225806452,"Down",79064000,-67267000,11797000,-10159000,-10159000,1638000,-115000,36000,-151000,1523000,2342000,-857000,1485000,1485000,1485000,1485000,45712000,37009000,8703000,37726000,37726000,55917000,3852000,3852000,143207000,44003000,17314000,545000,13765000,70873000,214080000,57956000,42888000,229000,14839000,61232000,23842000,5330000,10147000,23842000,85074000,129006000,129006000,214080000,1485000,1759000,-555000,-2862000,-173000,-2344000,-2344000,-3288000,2610000,7606000,-1355000,1082000,1082000,-60000,1022000,3397000,-2.3283064365387e-10,-952000,0.14921,0.02072,0.01878,0.01151,0.00694,-0.641079999999999,2.33876,0.65946,-1.73472347597681e-18,0.12076,0.12074,6.42954,10.49085,-0.0774200000000001,0.01858,-0.00623000000000001,-13.45658,-27.9072
"45","2022_Q2",6.12935483870968,"Down",83047000,-70548000,12499000,-9181000,-9181000,3318000,-163000,74000,-237000,3155000,3155000,-905000,2250000,2250000,2250000,2250000,37420000,26061000,11359000,35008000,35008000,58613000,4413000,3889000,135454000,43930000,17394000,455000,14029000,76794000,212248000,55536000,45333000,253000,9950000,58957000,23742000,4917000,10030000,23742000,82699000,129549000,129549000,212248000,2250000,1847000,-46000,-2480000,1571000,-1953000,-1953000,-8037000,-10393000,-50000,-2129000,-10951000,-10951000,3000,-10948000,5165000,0,1637000,0.15051,0.03995,0.02709,0.01737,0.0106,0.72756,2.2975,0.63836,0,0.18273,0.18123,6.74466,10.52132,0.13295,0.02352,0.01068,-7.24492,-11.27788
"46","2022_Q3",4.731875,"Down",74561000,-63834000,10727000,-9087000,-9087000,1640000,-345000,58000,-403000,1295000,1295000,-444000,851000,851000,851000,851000,28229000,16956000,11273000,32316000,32316000,63781000,4424000,3811000,128750000,43265000,19921000,452000,16653000,80575000,209325000,52366000,40701000,646000,11019000,55923000,24948000,8017000,7914000,24948000,80871000,128454000,128454000,209325000,851000,1891000,1181000,-6822000,-2899000,-1948000,-1948000,11543000,-3829000,0,-2372000,-9100000,-9100000,-4999.99999999999,-9105000,3531000,0,-4795000,0.14387,0.022,0.01141,0.00662,0.00407,-5.63455,2.30227,0.62957,0,0.06911,0.06855,6.05547,10.43239,-0.38943,0.0143,-0.03126,-7.99462,-17.2128
