"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",126.1275,"Up",20288500000,18988900000,171100000,1128500000,-1.92e+08,-125100000,1320500000,-15538800000,-3200200000,1549500000,-237500000,-187100000,1.312e+09,1.312e+09,-6.09e+08,7.03e+08,7.03e+08,7.03e+08,7.03e+08,26240500000,18863200000,1623500000,5753800000,1.676e+09,4998400000,1998300000,28945500000,63858700000,1.1524e+10,9849400000,1021300000,653300000,5.4e+08,6116500000,15263700000,6867400000,40311600000,8619100000,2600000,8616500000,15310400000,-382400000,23547100000,23547100000,63858700000,7.03e+08,225300000,712400000,37600000,73300000,601500000,-280900000,1359800000,-164600000,-263900000,-3578400000,-497800000,-3080600000,2.352e+09,-1.391e+09,-170700000,-77300000,-77300000,0,0,50900000,50900000,0,-211600000,-408700000,-439900000,-439900000,2400000,-437500000,1774800000,15803700000,1938300000,0.07637,0.03465,0.02986,0.01101,2.75718,1.71196,0.24748,2.68526,2.62804,77.49618,89.94309,7.40374,0.65202,0.01513,0.03357,0.24282,7.96016,9.11759
"26","2016_Q3",119.623125,"Down",21456200000,1.9948e+10,194900000,1313300000,-13200000,12500000,1326500000,-16805200000,-2969100000,1681900000,-233600000,-185700000,1448300000,1448300000,-667700000,780600000,780600000,780600000,780600000,26484100000,19075200000,1664400000,5744500000,1582700000,5260900000,1989800000,28745100000,64062600000,11416800000,9958900000,832800000,625100000,4.4e+08,5895100000,15130300000,6946800000,3.9829e+10,8680100000,2600000,8677500000,15918400000,-364900000,24233600000,24233600000,64062600000,780600000,225800000,-24199999.9999999,44800000,26400000,-95400000.0000001,-312600000,669600000,-128300000,-248400000,-1886300000,56000000.0000001,-1942300000,1697800000,-316800000,-170900000,-247900000,-247900000,-2.98023223876953e-08,-2.98023223876953e-08,20800000,20800000,4.65661287307739e-10,-46700000,-444700000,-91900000,-91900000,-1400000,-93300000,1907700000,15570300000,2134500000,0.07839,0.03638,0.03221,0.01218,2.73444,1.64354,0.24305,2.96806,2.91051,81.58251,92.14297,8.11597,0.64981,0.01636,0.0367,0.21893,7.33218,8.31655
"27","2016_Q4",124.715396825397,"Up",21403900000,19786100000,200900000,1416900000,77800000,88800000,1339100000,-16922500000,-3124600000,1356800000,-220300000,-172900000,1136500000,1136500000,-518700000,617800000,617800000,617800000,617800000,25815300000,18757500000,1.512e+09,5545800000,2.546e+09,5212800000,2006600000,28819200000,64399900000,11893800000,9633500000,1613400000,646900000,4.4e+08,5292200000,15170200000,6859500000,39655700000,8.744e+09,2600000,8741400000,16364100000,-363900000,24744200000,24744200000,64399900000,617800000,228300000,511400000,41900000,-18100000,487600000,-393500000,9.64e+08,-197900000,-251600000,-1147900000,242800000,-1390700000,1868800000,5.23e+08,-171100000,47700000,47700000,0,0,19500000,19500000,0,-420700000,-524600000,962400000,962400000,9e+05,963300000,1585100000,15610200000,1512400000,0.06339,0.02886,0.02497,0.00959,2.44804,1.60263,0.24239,2.34726,2.30436,81.32181,94.01292,5.7462,0.65008,0.01335,0.02559,0.27695,8.24188,9.62869
"28","2017_Q1",148.761612903226,"Up",21714400000,2.0137e+10,212100000,1365300000,17400000,28800000,1347900000,-17567500000,-3265100000,881800000,-223600000,-177300000,658200000,658200000,-289600000,368600000,368600000,368600000,368600000,25060100000,17687500000,1499900000,5872700000,4075300000,5860800000,1977900000,2.8109e+10,65083100000,11823500000,10185500000,971900000,666100000,4.4e+08,5187300000,15286900000,7.245e+09,39982700000,8807700000,2600000,8805100000,16560600000,-267900000,25100400000,25100400000,65083100000,368600000,232600000,-711600000,40700000,45400000,-797700000,3.87e+08,276600000,-221200000,-253100000,-2009400000,1.42e+08,-2151400000,2901400000,670800000,-171300000,124500000,124500000,0,0,28800000,28800000,1.16415321826935e-10,5.97e+08,5.79e+08,1526400000,1526400000,3100000,1529500000,1114400000,15726900000,1569800000,0.04061,0.01697,0.01469,0.00566,4.25882,1.59291,0.24164,1.39833,1.3723,82.37633,95.22155,5.95524,0.64985,0.00901,0.02621,0.46473,10.45549,13.21343
"29","2017_Q2",168.665079365079,"Up",22525900000,20951300000,207200000,1367400000,-8e+05,7300000,1368200000,-17542800000,-3191300000,1791800000,-276800000,-2.35e+08,1.515e+09,1.515e+09,-505100000,1009900000,1009900000,1009900000,1009900000,26342500000,18509700000,1845400000,5987400000,6772400000,5.773e+09,1957600000,2.8098e+10,68943500000,12907800000,1.0308e+10,1926100000,673700000,5.4e+08,5604200000,16602700000,7196900000,42851600000,8.896e+09,2600000,8893400000,17357700000,-161800000,26091900000,26091900000,68943500000,1009900000,220700000,1230900000,42700000,-157200000,1345400000,226700000,2688200000,-125100000,-201600000,-3811400000,155700000,-3967100000,2709500000,-1.227e+09,-172200000,1.418e+09,1819100000,-401100000,-401100000,52800000,103500000,-50700000,-64300000,1234300000,2695500000,2695500000,1600000,2697100000,2012500000,17142700000,2619200000,0.07954,0.04483,0.03871,0.01465,2.59352,1.64233,0.24865,3.81959,3.73484,85.19629,98.68343,9.9062,0.65129,0.01866,0.04135,0.17051,5.15294,5.78764
"30","2017_Q3",179.26253968254,"Up",22407200000,20813100000,200200000,1393900000,9e+06,16200000,1384900000,-17917200000,-3053800000,1436200000,-230500000,-189900000,1205700000,1205700000,-350400000,855300000,855300000,855300000,855300000,27440200000,1.9473e+10,1856100000,6111100000,4561200000,6105700000,1975700000,28154800000,68237600000,12943400000,10486600000,1837800000,6.19e+08,5.8e+08,5370200000,15712400000,7199900000,41805900000,8899600000,2600000,8.897e+09,1.7667e+10,-134900000,26431700000,26431700000,68237600000,855300000,218800000,-310300000,44400000,-52700000,-3.02e+08,-370700000,393100000,-209600000,-258200000,-3150500000,304700000,-3455200000,2318300000,-1041800000,-171800000,-860100000,-331299999.999999,-528800000,-528800000,-410800000,47500000,-458300000,-121100000,-1563800000,-2212500000,-2212500000,1300000,-2211200000,1.655e+09,16292400000,1425100000,0.0641,0.03817,0.03236,0.01253,1.6662,1.58166,0.23876,3.23243,3.15842,84.6833,99.89305,5.38587,0.64928,0.01634,0.02267,0.20087,7.08834,8.16822
"31","2017_Q4",201.340317460317,"Up",22425900000,20796600000,220600000,1408700000,108800000,114500000,1299900000,-1.8104e+10,-3010900000,1.311e+09,-191700000,-150100000,1119300000,1119300000,-372500000,746800000,746800000,746800000,746800000,26211900000,19230600000,1484900000,5496400000,6097200000,5.692e+09,2049200000,28259600000,68309900000,13076400000,10507700000,1950200000,618500000,1.18e+09,5712800000,15050700000,7341700000,42361600000,8767700000,2600000,8765100000,17306600000,-1.26e+08,25948300000,25948300000,68309900000,746800000,223500000,695400000,43900000,-28100000,679600000,7.39e+08,2404700000,-267300000,-309200000,-1781100000,446600000,-2227700000,2855200000,806800000,-1.81e+08,-60900000,-60800000,-1e+05,-1e+05,-1.099e+09,2.7e+07,-1.126e+09,-335600000,-1676500000,1.535e+09,1.535e+09,1100000,1536100000,1534500000,16230700000,2378700000,0.05846,0.0333,0.02878,0.01093,3.18519,1.63254,0.2376,2.86679,2.797,86.08791,99.6096,9.13129,0.69482,0.01482,0.038,0.24237,6.60378,7.7296
"32","2018_Q1",222.72,"Up",2.2681e+10,2.1087e+10,2.39e+08,1.355e+09,-5e+06,6999999.99999997,1.36e+09,-1.8672e+10,-3.394e+09,6.15e+08,-2.09e+08,-1.64e+08,4.06e+08,1.24e+08,1.107e+09,1.231e+09,1.231e+09,1.231e+09,1.231e+09,2.7653e+10,1.7938e+10,3.632e+09,6.083e+09,3.609e+09,6.185e+09,2.175e+09,3.0918e+10,7.054e+10,1.2519e+10,1.1012e+10,8.6e+08,6.47e+08,1.275e+09,5.591e+09,1.8657e+10,5.995e+09,4.4037e+10,8.55e+09,3e+06,8.547e+09,1.8054e+10,-1.01e+08,2.6503e+10,2.6503e+10,7.054e+10,1.231e+09,2.28e+08,-2.09e+09,3.9e+07,-1.034e+09,-1.095e+09,-6.7e+08,-1.301e+09,-1.134e+09,-1.195e+09,-1.157e+09,-4.475e+09,3.318e+09,-1.329e+09,-3.62e+09,-1.8e+08,3.156e+09,-4.17e+08,3.573e+09,-1.885e+09,-3.16e+08,4.7e+07,-3.63e+08,-2.27e+08,2.433e+09,-2.488e+09,-2.488e+09,0,-2.488e+09,8.43e+08,1.9932e+10,-2.068e+09,0.02712,0.05427,0.04645,0.01745,-1.67994,1.66159,0.28256,4.79922,4.68061,88.42495,103.32554,-8.06238,0.70175,0.02172,-0.03184,0.14622,19.36299,26.54146
"33","2018_Q2",220.2909375,"Down",2.2537e+10,2.0903e+10,2.29e+08,1.405e+09,-3.4e+07,-2.6e+07,1.439e+09,-1.7046e+10,-3.428e+09,2.063e+09,-2.64e+08,-1.84e+08,1.799e+09,1.78e+09,-4.68e+08,1.312e+09,1.312e+09,1.312e+09,1.312e+09,26370300000,1.7593e+10,2374800000,6402500000,4630600000,6255900000,2237600000,3.3806e+10,73300400000,13413300000,10630600000,2115900000,666800000,1.125e+09,6758100000,18760900000,6230700000,4.6288e+10,8491900000,2600000,8489300000,19241100000,-720600000,27012400000,27012400000,73300400000,1.312e+09,2.7e+08,1.409e+09,4.2e+07,-5.1e+07,1.418e+09,-7.76e+08,2.215e+09,-2.67e+08,-2.9e+08,-6.63e+08,-2.03e+08,-4.6e+08,3.64e+08,-5.66e+08,-1.92e+08,-8.5e+07,-2.58e+08,1.73e+08,-6.63e+08,-3.35e+08,6e+07,-3.95e+08,-1.5e+07,-6.27e+08,1.022e+09,1.022e+09,0,1.022e+09,2.333e+09,19885900000,1.758e+09,0.09154,0.05822,0.04857,0.0179,1.33994,1.71358,0.27129,5.12901,4.99239,88.10399,105.59969,6.87256,0.75059,0.0226,0.02642,0.14634,6.53892,7.39472
"34","2018_Q3",247.712063492063,"Up",22944200000,21248200000,229500000,1466500000,-4e+05,3900000,1466900000,-17727700000,-3428500000,1.788e+09,-2.85e+08,-191900000,1.503e+09,1503800000,-449900000,1053900000,1053900000,1053900000,1053900000,26363500000,17569100000,2468200000,6326200000,4.682e+09,6918300000,2392200000,34011400000,74367400000,13361800000,10627200000,2089900000,644700000,1.12e+09,6715600000,18165600000,6279400000,45642400000,9750500000,2600000,9747900000,19757300000,-782800000,2.8725e+10,2.8725e+10,74367400000,1053900000,285700000,-7400000.00000095,36100000,52899999.9999999,-96400000.0000005,-790100000,542100000,-314400000,-489200000,-2.087e+09,561700000,-2648700000,1623200000,-778200000,-196300000,-601800000,-600700000,-1100000.00000048,0,884800000,1284800000,-4e+08,200900000,287600000,51500000,51500000,-4e+05,51099999.9999995,2073700000,19285600000,1419100000,0.07793,0.04593,0.03669,0.01417,1.34652,1.58894,0.25933,4.07383,3.9845,88.69037,111.03595,5.4855,0.75879,0.01848,0.02098,0.18626,7.04229,8.16756
"35","2018_Q4",263.109841269841,"Up",23250800000,21450800000,249500000,1550500000,21400000,27100000,1529100000,-18185300000,-3545500000,1.52e+09,-2.8e+08,-188100000,1.24e+09,1241200000,-282100000,959100000,959100000,959100000,959100000,2.69e+10,1.7886e+10,2.306e+09,6.708e+09,4.26e+09,6.943e+09,2.592e+09,3.375e+10,7.4445e+10,1.2223e+10,1.0658e+10,8.96e+08,6.69e+08,1.27e+09,7.195e+09,1.8149e+10,6.514e+09,4.5351e+10,9.723e+09,3e+06,9.72e+09,2.0182e+10,-8.11e+08,2.9094e+10,2.9094e+10,7.4445e+10,959100000,288300000,-266600000,56900000,139100000,-462600000,-373900000,606900000,-379600000,-432800000,-1.291e+09,271300000,-1562300000,982800000,-687800000,-194700000,69800000,799700000,-729900000,-7.3e+08,-358800000,38200000,-3.97e+08,143100000,-340600000,-421500000,-421500000,-6e+05,-422100000,1808300000,1.9419e+10,1336900000,0.06537,0.04125,0.03297,0.01288,1.39391,1.55878,0.26085,3.69595,3.61379,89.59846,112.11561,5.15183,0.75029,0.01716,0.01988,0.203,8.38301,9.97303
"36","2019_Q1",277.379344262295,"Up",2.3373e+10,2.1819e+10,2.62e+08,1.292e+09,-1.93e+08,-2.11e+08,1.485e+09,-1.8936e+10,-3.976e+09,4.61e+08,75999999.9999999,-1.89e+08,5.37e+08,5.43e+08,-1.18e+08,4.25e+08,4.25e+08,4.25e+08,4.25e+08,2.5614e+10,1.7179e+10,1.526e+09,6.909e+09,3.934e+09,6.743e+09,2.735e+09,3.2545e+10,7.1571e+10,1.1727e+10,1.0119e+10,9.02e+08,7.06e+08,1.145e+09,5.76e+09,1.8066e+10,6.332e+09,4.303e+10,9.539e+09,3e+06,9.536e+09,1.9988e+10,-9.86e+08,2.8541e+10,2.8541e+10,7.1571e+10,4.25e+08,2.88e+08,-5.07e+08,9.1e+07,-5e+07,-5.48e+08,2.57e+08,4.63e+08,-2.47e+08,3999999.99999994,4.041e+09,-6.3e+08,4.671e+09,-3.021e+09,7.73e+08,-1.93e+08,-4.69e+08,-1.78e+08,-2.91e+08,-2.91e+08,-4.53e+08,4e+07,-4.93e+08,-4.46e+08,-1.561e+09,-3.25e+08,-3.25e+08,-1e+06,-3.26e+08,7.49e+08,1.9211e+10,8.77e+08,0.01972,0.01818,0.01489,0.00594,2.06353,1.50766,0.26842,1.64474,1.60924,90.45279,110.45279,3.39396,0.7469,0.00939,0.01333,0.45412,20.39653,33.13883
"37","2019_Q2",262.752063492063,"Down",2.4666e+10,2.2843e+10,2.1e+08,1.613e+09,6.8e+07,7.8e+07,1.545e+09,-1.9282e+10,-3.166e+09,2.218e+09,-2.74e+08,-1.87e+08,1.944e+09,1.945e+09,-3.94e+08,1.551e+09,1.551e+09,1.551e+09,1.551e+09,2.6491e+10,1.8287e+10,1.244e+09,6.96e+09,4.482e+09,7.54e+09,2.799e+09,3.3211e+10,7.4523e+10,1.2614e+10,1.0897e+10,9.98e+08,7.19e+08,1.095e+09,4.804e+09,1.8247e+10,7.765e+09,4.4525e+10,9.485e+09,3e+06,9.482e+09,2.1136e+10,-6.23e+08,2.9998e+10,2.9998e+10,7.4523e+10,1.551e+09,2.89e+08,-7.77e+08,7e+07,5.5e+07,-9.02e+08,5.67e+08,1.63e+09,-1.99e+08,-3.12e+08,-1.55e+09,-3.298e+09,1.748e+09,1.097e+09,-6.52e+08,-2.06e+08,6.7e+07,1.28e+08,-6.1e+07,-6.3e+07,-2.18e+08,7.6e+07,-2.94e+08,-7.2e+07,-4.29e+08,5.49e+08,5.49e+08,-1e+06,5.48e+08,2.507e+09,1.9342e+10,3.269e+09,0.08992,0.06288,0.0517,0.02081,2.10767,1.48427,0.25954,6.03267,5.91308,95.93932,116.67834,12.7149,0.80124,0.0252,0.04689,0.13282,5.9274,6.69973
"38","2019_Q3",264.29671875,"Up",2.5466e+10,2.3501e+10,2.85e+08,1.68e+09,4000000.00000003,1.1e+07,1.676e+09,-2.0368e+10,-3.376e+09,1.722e+09,-2.69e+08,-1.84e+08,1.453e+09,1.453e+09,-3.14e+08,1.139e+09,1.139e+09,1.139e+09,1.139e+09,2.8088e+10,1.9632e+10,1.525e+09,6.931e+09,4.078e+09,7.285e+09,2.837e+09,3.3563e+10,7.5851e+10,1.2976e+10,1.1421e+10,9e+08,6.55e+08,1.01e+09,7.185e+09,1.8286e+10,5.601e+09,4.5058e+10,9.497e+09,3e+06,9.494e+09,2.1679e+10,-3.83e+08,3.0793e+10,3.0793e+10,7.5851e+10,1.139e+09,2.97e+08,-4.4e+08,7e+07,2.4e+07,-5.34e+08,4.41e+08,1.437e+09,-1.56e+08,-2.59e+08,-2.494e+09,-1.782e+09,-7.12e+08,1.485e+09,-1.165e+09,-2.06e+08,-72000000.0000001,-6e+07,-11999999.9999999,-1e+07,-4.34e+08,2.4e+07,-4.58e+08,3.5e+07,-6.77e+08,-4.05e+08,-4.05e+08,1e+06,-4.04e+08,2.019e+09,1.9296e+10,2.618e+09,0.06762,0.04473,0.03699,0.01502,2.29851,1.46325,0.25439,4.43709,4.36566,99.2053,119.95715,10.19868,0.80249,0.01959,0.03813,0.18086,7.53739,8.8374
"39","2019_Q4",266.33671875,"Up",2.6674e+10,2.3793e+10,2.42e+08,2.639e+09,-1.2e+07,1e+06,1.391e+09,-2.0753e+10,-4.163e+09,1.758e+09,-2.69e+08,-1.85e+08,1.489e+09,1.489e+09,-3.06e+08,1.183e+09,1.183e+09,1.183e+09,1.183e+09,3.0066e+10,2.0478e+10,2.329e+09,7.259e+09,4.19e+09,7.337e+09,2.921e+09,3.3295e+10,7.7809e+10,1.3166e+10,1.1557e+10,9.48e+08,6.61e+08,7.1e+08,7.592e+09,1.952e+10,5.489e+09,4.6477e+10,9.527e+09,3e+06,9.524e+09,2.2104e+10,-2.99e+08,3.1332e+10,3.1332e+10,7.7809e+10,1.183e+09,3.01e+08,9.87e+08,8.6e+07,-1.08e+08,1.009e+09,-8.04e+08,1.667e+09,-3.71e+08,-1.55e+08,5.627e+09,6.663e+09,-1.036e+09,-6.954e+09,-1.698e+09,-2.04e+08,9.23e+08,-7e+08,1.623e+09,-8.5e+08,-6.07e+08,3.7e+07,-6.44e+08,3.2e+07,1.44e+08,1.13e+08,1.13e+08,-1e+06,1.12e+08,2.059e+09,2.023e+10,1.19e+09,0.06591,0.04435,0.03776,0.0152,1.00592,1.48337,0.26,4.6374,4.54825,104.56292,122.82242,4.66484,0.79969,0.01975,0.01695,0.17244,7.79019,9.124
"40","2020_Q1",264.41064516129,"Down",2.7407e+10,2.4036e+10,2.68e+08,3.103e+09,7e+06,-2.3e+07,1.596e+09,-2.1383e+10,-4.989e+09,1.035e+09,6.6e+07,-1.9e+08,1.101e+09,1.098e+09,-1.64e+08,9.34e+08,9.34e+08,9.34e+08,9.34e+08,2.5448e+10,2.0181e+10,1.009e+09,4.258e+09,4.937e+09,1.0391e+10,3.133e+09,3.3544e+10,7.7453e+10,1.3668e+10,1.2651e+10,1.017e+09,708729280.753023,7e+08,6.425e+09,1.9385e+10,5.547e+09,4.5725e+10,9.451e+09,3e+06,9.448e+09,2.2573e+10,-2.96e+08,3.1728e+10,3.1728e+10,7.7453e+10,9.34e+08,2.46e+08,3.97e+08,6.8e+07,1.1e+08,2.19e+08,-2.5e+08,1.327e+09,-3.51e+08,-3.51e+08,1.9452e+10,8.54e+08,1.8598e+10,-1.8378e+10,7.23e+08,-2.02e+08,-3.1e+08,-1.1e+08,-2e+08,-2e+08,-2.55e+08,5e+07,-3.05e+08,-5.37e+08,-1.304e+09,7.46e+08,7.46e+08,1e+06,7.47e+08,1.281e+09,2.0085e+10,8.44e+08,0.03776,0.03408,0.02944,0.01206,0.90364,1.44116,0.25932,3.69024,3.62156,108.28526,125.35757,3.33465,0.7981,0.01599,0.01188,0.21627,11.82514,14.63575
"41","2020_Q2",259.81873015873,"Down",2.9621e+10,2.5517e+10,2.54e+08,3.85e+09,-8.1e+07,-8.1e+07,1.587e+09,-2.1489e+10,-5.848e+09,2.284e+09,-1.94e+08,-1.94e+08,2.09e+09,2.089e+09,-5.66e+08,1.523e+09,1.523e+09,1.523e+09,1.523e+09,2.8063e+10,2.0386e+10,5.7e+08,7.107e+09,5.345e+09,8.399e+09,3.35e+09,3.7242e+10,8.2399e+10,1.4855e+10,1.3154e+10,9.47e+08,7.54e+08,1.075e+09,7.271e+09,2.0608e+10,6.897e+09,5.0706e+10,9.341e+09,3e+06,9.338e+09,2.336e+10,-1.008e+09,3.1693e+10,3.1693e+10,8.2399e+10,1.523e+09,2.7e+08,2.68e+08,6.7e+07,5.7e+07,1.44e+08,4.54e+08,2.515e+09,-2.04e+08,-2.04e+08,-3.896e+09,-3.896e+09,16518477207.6585,1.316e+09,-2.784e+09,-2.4e+08,1.528e+09,1.28e+09,2.48e+08,-5.2e+07,-4.85e+08,4.4e+07,-5.29e+08,-1.24e+08,6.79e+08,4.1e+08,4.1e+08,-2e+06,4.08e+08,2.554e+09,2.1683e+10,3.37e+09,0.07711,0.05142,0.04805,0.01848,2.21274,1.59991,0.26315,6.03407,5.93994,117.35737,125.56656,13.35182,0.95087,0.02347,0.04486,0.15758,6.39702,7.15324
"42","2020_Q3",262.9090625,"Up",2.9264e+10,2.5092e+10,5.7e+07,4.115e+09,2.9e+07,2.9e+07,1.543e+09,-1.9547e+10,-6.364e+09,3.353e+09,-2.01e+08,-2.01e+08,3.152e+09,3.149e+09,-8.73e+08,2.276e+09,2.276e+09,2.276e+09,2.276e+09,3.3177e+10,2.2538e+10,3.47e+09,7.169e+09,6.028e+09,7.916e+09,3.427e+09,3.7428e+10,8.7976e+10,1.5186e+10,1.3464e+10,9.46e+08,7.76e+08,0,7.754e+09,2.1476e+10,9.105e+09,5.3521e+10,9.363e+09,3e+06,9.36e+09,2.5346e+10,-2.54e+08,3.4455e+10,3.4455e+10,8.7976e+10,2.276e+09,2.86e+08,2e+06,6.7e+07,3e+06,-67999999.9999999,2.946e+09,5.51e+09,-2.33e+08,-2.33e+08,-2.515e+09,-7.239e+09,4.724e+09,-2.186e+09,-4.934e+09,-2.42e+08,-2.99e+08,-2.38e+09,2.081e+09,-1.03e+08,-7000000.00000012,4.8e+07,-5.5e+07,6.53e+08,1.05e+08,6.81e+08,6.81e+08,2e+06,6.83e+08,3.639e+09,2.1476e+10,7.225e+09,0.11458,0.07777,0.06606,0.02587,3.17443,1.55336,0.24411,9.02458,8.91151,116.03489,136.61776,28.6479,0.95956,0.03139,0.09006,0.10633,4.24512,4.60722
"43","2020_Q4",300.9325,"Up",3.1158e+10,2.6392e+10,2.8e+08,4.486e+09,2.29e+08,2.29e+08,1.659e+09,-2.2921e+10,-7.62e+09,6.17e+08,-1.98e+08,-1.98e+08,4.19e+08,3.89e+08,-1.67e+08,2.22e+08,2.22e+08,2.22e+08,2.22e+08,3.3719e+10,2.3265e+10,3.075e+09,7.379e+09,3.984e+09,8.328e+09,3.363e+09,3.718e+10,8.6574e+10,1.5801e+10,1.484e+10,9.61e+08,790559683.651285,1.5e+08,7.925e+09,2.0693e+10,8.084e+09,5.2653e+10,9.355e+09,3e+06,9.352e+09,2.4678e+10,-1.12e+08,3.3921e+10,3.3921e+10,8.6574e+10,2.22e+08,3.08e+08,-1.34e+08,8e+07,-1.62e+08,-5.2e+07,-1.546e+09,-1.15e+09,4.37e+08,4.37e+08,1.8913e+10,1.4898e+10,4.015e+09,-1.9261e+10,8.9e+07,-2.38e+08,-6.58e+08,1.5e+08,-8.08e+08,-8.09e+08,-7.38e+08,2e+07,-7.58e+08,6.5e+08,-9.84e+08,-2.045e+09,-2.045e+09,1e+06,-2.044e+09,9.25e+08,2.0843e+10,-1.7e+07,0.0198,0.00712,0.00654,0.00256,-0.07658,1.55222,0.24075,0.88411,0.87367,124.08602,135.08961,-0.0677,0.94783,0.00585,-0.00022,1.07207,18.22595,27.32415
"44","2021_Q1",316.317213114754,"Up",3.1824e+10,2.7108e+10,2.86e+08,4.43e+09,5e+06,5e+06,1.526e+09,-2.4088e+10,-6.932e+09,8.04e+08,-1.91e+08,-1.91e+08,6.13e+08,6.11e+08,-6e+07,5.51e+08,5.51e+08,5.51e+08,5.51e+08,2.9839e+10,2.3995e+10,1.559e+09,4.285e+09,5.741e+09,1.0958e+10,3.483e+09,3.6594e+10,8.6615e+10,6.643e+09,4.59e+09,1.259e+09,7.94e+08,369717164.426193,1.8871e+10,2.0035e+10,7.867e+09,5.3416e+10,9.247e+09,3e+06,9.244e+09,2.3802e+10,1.5e+08,3.3199e+10,3.3199e+10,8.6615e+10,5.51e+08,2.9e+08,-4.6e+08,6.9e+07,-4.38e+08,-9.1e+07,3.432e+09,3.813e+09,-1.021e+09,-1.021e+09,3.557e+09,9.78e+08,2.579e+09,-2230999999.99999,3.05e+08,-2.34e+08,-8.69e+08,1e+08,-9.69e+08,-9.68e+08,-1.294e+09,6.4e+07,-1.358e+09,3e+07,-2.367e+09,1.751e+09,1.751e+09,6e+06,1.757e+09,1.094e+09,2.0035e+10,3.565e+09,0.02526,0.01731,0.0166,0.00636,6.47005,1.60896,0.23131,2.22626,2.1926,128.58182,134.13737,14.40404,0.94545,0.01159,0.05262,0.42468,13.06581,17.77861
"45","2021_Q2",377.060634920635,"Up",3.2385e+10,2.7676e+10,2.91e+08,4.418e+09,-4e+06,90480889.2452577,1.685e+09,-2.3699e+10,-6.318e+09,2.368e+09,-1.92e+08,-1.92e+08,2.176e+09,2.176e+09,-5.09e+08,1.667e+09,1.667e+09,1.665e+09,1.665e+09,3.3217e+10,2.5113e+10,3.63e+09,4.474e+09,9.326e+09,1.2291e+10,3.533e+09,3.7316e+10,9.5683e+10,6.99e+09,5.851e+09,1.139e+09,781468428.018915,302126314.297953,1.9637e+10,2.3234e+10,1.1904e+10,6.1765e+10,9.255e+09,2e+06,9.253e+09,2.4793e+10,-1.95e+08,3.3853e+10,3.3918e+10,9.5683e+10,1.667e+09,2.82e+08,-2.9e+07,6.4e+07,3.1e+07,-1.24e+08,5.85e+08,2.505e+09,-2.04e+08,-2.04e+08,5.648e+09,9.98e+08,4.65e+09,-7.751e+09,-2.307e+09,-2.77e+08,3.212e+09,-2.5e+08,3.462e+09,-821400904.750036,-3.58e+08,8.9e+07,-4.47e+08,8.11e+08,3.388e+09,3.586e+09,3.586e+09,-1e+06,3.585e+09,2.65e+09,2.3234e+10,3.54e+09,0.07312,0.05141,0.04909,0.0174,2.12613,1.82101,0.24282,6.79592,6.7083,132.18367,138.17551,14.44898,1.13061,0.02554,0.04655,0.16637,5.2483,5.87331
