"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",14.6698412698413,"Up",580900000,-288100000,292800000,-263200000,-263200000,29600000,-19800000,-23200000,3400000,9800000,-7300000,2500000,-9e+05,1600000,44600000,42500000,42500000,8.2e+07,8.2e+07,311600000,311600000,142300000,448700000,22200000,984600000,590400000,2573500000,763900000,1.097e+09,3163900000,4148500000,453100000,453100000,2600000,974800000,1.534e+09,765900000,131900000,67500000,2299900000,3274700000,978800000,-20700000,-92700000,865400000,873800000,4148500000,1600000,49400000,-10700000,5900000,46200000,-38500000,-41400000,-3e+05,2e+06,0,-6700000,-1900000,2.3e+07,2e+06,2.5e+07,7.9e+07,1536600000,47300000,0.50405,0.05096,0.07316,0.04864,0.01024,1.11294,1.01005,3.74765,0.3704,0.30531,0.30531,4.17298,6.21673,0.33979,0.01602,0.01489,18.41266,49.14189
"30","2018_Q1",14.5396721311475,"Down",571300000,-292300000,2.79e+08,-264500000,-264500000,14500000,-26400000,-23400000,-3e+06,-11900000,-9600000,-21500000,3.1e+07,9500000,19200000,17100000,17100000,91900000,91900000,2.85e+08,2.85e+08,127600000,429400000,20700000,933900000,584200000,2.575e+09,751100000,1104700000,3159200000,4093100000,412900000,412900000,5100000,933400000,2061600000,212400000,98400000,68200000,2.274e+09,3207400000,986200000,-12200000,-94400000,879600000,885700000,4093100000,9500000,46800000,-7500000,-11500000,37300000,-2.2e+07,-2.4e+07,399999.99999994,-1300000,0,-9200000.00000006,4099999.99999994,9799999.99999994,-1e+05,9699999.99999988,61300000,2066700000,-3200000,0.48836,0.02538,0.02993,0.01931,0.00418,-0.18713,1.00054,3.62132,0.50492,0.12269,0.12269,4.0991,6.31117,-0.02296,0.00803,-0.00101,32.21533,136.1931
"31","2018_Q2",14.2740625,"Down",560800000,-287300000,273500000,-261100000,-261100000,12400000,-6e+05,-20800000,20200000,11800000,-6300000,5500000,-9e+05,4600000,3.62e+08,361400000,361400000,212300000,212300000,308100000,308100000,139700000,27300000,27300000,687400000,589800000,1934600000,758400000,1137300000,2524400000,3211800000,439800000,439800000,5800000,445600000,1288700000,213700000,136500000,77200000,1502400000,1.948e+09,985800000,340700000,-62700000,1263800000,1263800000,3211800000,4600000,47400000,-1700000,-27700000,22600000,-30100000,-57700000,-262700000,-3800000,-15300000,-290200000,-325300000,59200000,-4800000,54400000,59800000,1294500000,2900000,0.4877,0.02211,0.64444,0.28596,0.11252,0.00802,1.54264,1.54138,0.40305,2.5823,2.53908,4.00706,9.03017,0.02072,0.13341,0.00105,18.09699,87.27419
"32","2018_Q3",14.6177777777778,"Up",603600000,-302200000,301400000,-275200000,-275200000,26200000,-6400000,-18600000,12200000,19800000,-5500000,14300000,-2100000,12200000,10800000,10799999.9999999,10800000,162400000,162400000,309900000,309900000,1.41e+08,27500000,27500000,640800000,583800000,1910600000,744700000,1125500000,2494400000,3135200000,421500000,421500000,8700000,430200000,1255500000,210600000,134300000,76300000,1466100000,1896300000,985700000,333400000,-80200000,1238900000,1238900000,3135200000,12200000,48700000,1200000,-27100000,3.5e+07,-29900000,-55800000,-6e+05,-13700000,599999.999999998,-22100000,-42900000,-46200000,-3700000,-49900000,74900000,1264200000,2e+07,0.49934,0.04341,0.01789,0.00872,0.00344000000000003,1.85185,1.48954,1.53063,0.40323,0.07727,0.0762399999999999,4.31859,8.86397,0.14309,0.00708000000000003,0.00737,14.71028,42.05344
"33","2018_Q4",13.6528571428571,"Down",609300000,-298800000,310500000,-279900000,-279900000,30600000,-18300000,-18900000,6e+05,12300000,-2800000,9500000,-1e+06,8500000,1e+07,1e+07,1e+07,175700000,175700000,331900000,331900000,136600000,29700000,29700000,673900000,591500000,1894700000,732400000,1129100000,2486200000,3160100000,463400000,463400000,12100000,475500000,1262900000,207600000,132800000,74800000,1470500000,1.946e+09,9.84e+08,321200000,-91100000,1214100000,1214100000,3160100000,8500000,49600000,9800000,20600000,88500000,-38200000,-30600000,-2e+05,-22600000,1900000,-29200000,28700000,12800000,5e+05,13300000,80200000,1.275e+09,63600000,0.5096,0.05022,0.01641,0.00824,0.00316,6.36,1.41725,1.60283,0.40347,0.07205,0.07083,4.39018,8.74794,0.45826,0.00679,0.02358,13.70698,35.92484
"34","2019_Q1",13.9898360655738,"Up",17300000,120900000,138200000,-138800000,-138800000,-6e+05,-10300000,-19300000,9e+06,-10900000,-11300000,-22200000,12300000,-9900000,7e+05,7e+05,7e+05,170800000,170800000,308300000,308300000,129600000,27200000,27200000,635900000,624700000,1914900000,739200000,1143900000,2539600000,3175500000,4.69e+08,4.69e+08,3e+06,5.61e+08,1250200000,193900000,124300000,69600000,1444100000,2005100000,973300000,298800000,-101700000,1170400000,1170400000,3175500000,-9900000,2.6e+07,-6500000,40600000,50200000,-26600000,-1.24e+08,70200000,-28400000,11400000,44900000,-28900000,-2600000,-2300000,-4900000,25400000,1253200000,27100000,7.98844,-0.03468,0.04046,6e-04,0.000219999999999998,38.71429,1.13351,1.71317,0.39465,0.00507999999999992,0.00497999999999993,0.12547,8.48854,0.19655,0.00344,0.01035,42.61417,-1804
"35","2019_Q2",13.1549206349206,"Down",574100000,-291200000,282900000,-272100000,-272100000,10800000,-24800000,-19300000,-5500000,-1.4e+07,-6700000,-20700000,1e+06,-19700000,-19700000,-19700000,-19700000,153900000,153900000,289700000,289700000,120100000,39900000,39900000,603600000,625600000,2092300000,716600000,1144100000,2717900000,3321500000,456500000,456500000,46200000,565800000,1424800000,179900000,125900000,5.4e+07,1604700000,2170500000,970300000,277300000,-96600000,1.151e+09,1.151e+09,3321500000,-19700000,45200000,8800000,-10700000,23600000,-24700000,4900000,-29300000,-10600000,1400000,-46700000,-18200000,-18200000,1300000,-16900000,5.6e+07,1.471e+09,19600000,0.49277,0.01881,-0.03431,-0.01712,-0.00593,-0.99492,1.06681,1.88575,0.44287,-0.14491,-0.14491,4.22294,8.46647,0.14417,-0.0041,0.007,23.51964,121.9537
"36","2019_Q3",11.98921875,"Down",604100000,-2.91e+08,313100000,-284200000,-284200000,28900000,-16700000,-19100000,2400000,12200000,-4300000,7900000,-3500000,4400000,4400000,4400000,4400000,113400000,113400000,308400000,308400000,130100000,32900000,32900000,584800000,643700000,2.104e+09,713400000,1163700000,2747700000,3332500000,438400000,438400000,141700000,580100000,1429500000,1.83e+08,127500000,55500000,1612500000,2192600000,964400000,263100000,-87600000,1139900000,1139900000,3332500000,4400000,48900000,699999.999999996,-42500000,11500000,-28800000,-50300000,27300000,-19700000,1800000,1400000.00000001,-37400000,-40600000,1e+05,-40500000,77800000,1571200000,1e+07,0.51829,0.04784,0.00728,0.00386,0.00132,2.27272999999999,1.0081,1.9235,0.47148,0.0324600000000001,0.03246,4.45607,8.40833,0.07376,0.00428,0.00346,18.73779,50.44291
"37","2019_Q4",12.31015625,"Up",177200000,27800000,2.05e+08,-169400000,-169400000,35600000,-23900000,-19900000,-4e+06,11700000,-3700000,8e+06,-5400000,2600000,10100000,10100000,10100000,143600000,143600000,312600000,312600000,126200000,29100000,29100000,611500000,640900000,2068400000,696400000,1152200000,2709300000,3320800000,445600000,445600000,139100000,584700000,1409200000,1.85e+08,126400000,58600000,1594200000,2178900000,966300000,2.65e+08,-89400000,1141900000,1141900000,3320800000,2600000,30200000,12800000,23600000,69200000,-29300000,-17200000,-1100000,1e+05,2e+06,-7200000,44800000,31100000,-9e+05,30200000,65800000,1548300000,65500000,1.15688,0.2009,0.057,0.00884,0.00304,6.48515,1.04584,1.90814,0.46624,0.075,0.075,1.31582,8.47931,0.48638,0.00636,0.02278,21.34802,39.45787
"38","2020_Q1",12.8895161290323,"Up",4.4e+08,-179800000,260200000,-236500000,-236500000,23700000,-15900000,-19300000,3400000,7800000,-9299999,-1499999,3400000,1900001,8100001,8100001,8100001,156900000,156900000,216700000,216700000,62900000,205800000,19100000,642300000,558100000,2190500000,5.97e+08,1047500000,2748600000,3390900000,370600000,370600000,135800000,607600000,1414300000,202800000,90600000,58700000,1617100000,2224700000,969700000,2.65e+08,-68500000,1166200000,1166200000,3390900000,1900000,44300000,3e+06,51700000,100900000,-25100000,-4.9e+07,9e+06,-4e+05,-13400000,-12900000,3.9e+07,60700000,1200000,61900000,6.8e+07,1550100000,91200000,0.59136,0.05386,0.01841,0.00695,0.00239,11.25926,1.05711,1.90765,0.45714,0.06013,0.06013,3.26625,8.65705,0.677,0.00555,0.03124,20.48824,58.78481
"39","2020_Q2",10.6822222222222,"Down",474200000,-200900000,273300000,-255100000,-255100000,18200000,-26700000,-19700000,-7e+06,-8500000,-22200000,-30700000,3300000,-27400000,3500000,3500000,3500000,112200000,112200000,282700000,282700000,75300000,23900000,23900000,494100000,688700000,2536300000,947500000,1379800000,3.225e+09,3719100000,459500000,459500000,174400000,633900000,1421100000,183400000,124800000,58600000,1604500000,2238400000,1334200000,244900000,-98400000,1480700000,1480700000,3719100000,-27400000,4.5e+07,7200000,-20100000,4700000,-37600000,-460200000,23300000,-31300000,5e+06,-12800000,-468300000,-91200000,-2100000,-93300000,63200000,1595500000,2200000,0.57634,0.03838,0.00738,0.00236,0.00094,0.62857,0.77946,1.51172,0.429,0.0248,0.0248,3.35981,10.49108,0.01559,0.00408,0.00067,23.46994,81.5
"40","2020_Q3",13.50140625,"Up",456800000,-202100000,254700000,-246700000,-246700000,8e+06,-19100000,-20700000,1600000,-11100000,-1.22e+08,-133100000,1400000,-131700000,-1.36e+08,-1.36e+08,-1.36e+08,211100000,211100000,223300000,223300000,73200000,23500000,23500000,531100000,693100000,2429500000,980700000,1244900000,3122600000,3653700000,410400000,410400000,47800000,675900000,1429700000,199900000,138300000,61600000,1629600000,2305500000,1338500000,99700000,-9e+07,1348200000,1348200000,3653700000,-131700000,52800000,120500000,23900000,65500000,-30600000,-41400000,85400000,7.45058059692383e-09,1100000,7.6e+07,100100000,97800000,1100000,98900000,60800000,1477500000,52700000,0.55757,0.01751,-0.29772,-0.10088,-0.03722,-0.387499999999999,0.78577,1.71006,0.40438,-0.85037,-0.85037,2.85623,8.42989,0.32952,-0.04148,0.01742,20.82895,158.3
"41","2020_Q4",14.15828125,"Up",517500000,-213400000,304100000,-257200000,-257200000,46900000,-15600000,-20400000,4800000,31300000,-5600000,25700000,-3400000,22300000,2.2e+07,2.2e+07,2.2e+07,161900000,161900000,275100000,275100000,79300000,2.8e+07,2.8e+07,544300000,669900000,2446700000,9.82e+08,1258900000,3116600000,3660900000,428300000,428300000,56800000,633900000,1451400000,2.14e+08,140300000,73700000,1665400000,2299300000,1344400000,1.12e+08,-94800000,1361600000,1361600000,3660900000,22300000,53600000,8400000,-31100000,53200000,-23700000,-24900000,-72300000,1000001,7300000,-73599999,-45299999,-49999999,8e+05,-49199999,100500000,1508200000,49100000,0.58763,0.09063,0.04251,0.01616,0.00601,2.23182,0.85865,1.68868,0.41198,0.13741,0.13741,3.23237,8.50474,0.30669,0.01025,0.01592,13.39602,28.70576
"42","2021_Q1",15.4896721311475,"Up",5.05e+08,-223200000,281800000,-247600000,-247600000,34200000,-38900000,-20800000,-18100000,-4700000,-9700000,-14400000,-5600000,-2e+07,-21200000,-21200000,-21200000,115100000,115100000,222300000,222300000,83800000,21300000,21300000,442500000,685600000,2476600000,987600000,1284300000,3162200000,3604700000,387700000,387700000,161100000,548800000,1493100000,215900000,148100000,67800000,1.709e+09,2257800000,1352500000,81100000,-86700000,1346900000,1346900000,3604700000,-2e+07,50700000,33400000,6100000,70200000,-29600000,-40400000,-50400000,499999,-2.1e+07,-80600001,-50800001,-49500001,2700000,-46800001,84900000,1654200000,6.7e+07,0.55802,0.06772,-0.04198,-0.01574,-0.00588,-3.16038,0.8063,1.67629,0.4589,-0.13199,-0.13199,3.14416,8.38589,0.41715,-0.00357,0.02083,18.12839,45.00292
"43","2021_Q2",16.3825396825397,"Up",478400000,-213900000,264500000,-2.48e+08,-2.48e+08,16500000,-18600000,-1.9e+07,4e+05,-2100000,-3400000,-5500000,-4700000,-10200000,-10200000,-10200000,-10200000,102200000,102200000,230800000,230800000,79900000,22700000,22700000,435600000,6.76e+08,2446800000,969500000,1276800000,3122800000,3558400000,3.7e+08,3.7e+08,166800000,536800000,1464300000,220600000,152300000,68300000,1684900000,2221700000,1355800000,61100000,-80200000,1336700000,1336700000,3558400000,-10200000,53100000,9100000,-23300000,28700000,-29200000,-29200000,-3400000,-2100000,2800000,-12400000,-12900000,-12100000,-8e+05,-12900000,69600000,1631100000,21800000,0.55288,0.03449,-0.02132,-0.00763,-0.00287,-2.13725,0.81148,1.66208,0.45838,-0.0635,-0.0635,2.9782,8.3214,0.13571,-0.00016,0.00684,21.96695,92.66061
"44","2021_Q3",16.42640625,"Up",526100000,-228900000,297200000,-259900000,-259900000,37300000,-43300000,-17700000,-25600000,-6e+06,-5700000,-11700000,3400000,-8300000,-8300000,-8300000.00000001,-8300000,114200000,114200000,287200000,287200000,86300000,24800000,24800000,512500000,678400000,2.441e+09,958200000,1279900000,3119400000,3631900000,420300000,420300000,200500000,620800000,1468900000,216200000,148300000,67900000,1685100000,2305900000,1367800000,36400000,-78200000,1.326e+09,1.326e+09,3631900000,-8300000,5.2e+07,29800000,-13900000,59600000,-35999999,-36299999,10800000,1500000,-11600000,-9199999.99999999,14100001,11500001,500000.000000001,12000001,89300000,1669400000,36000001,0.56491,0.0709,-0.01578,-0.00626,-0.00229,-4.33735,0.82555,1.73899,0.45965,-0.05167,-0.05167,3.27515,8.25479,0.22411,0.000500000000000001,0.01121,17.41545,41.69437
"45","2021_Q4",16.79859375,"Up",550800000,-242400000,308400000,-263600000,-263600000,44800000,-2.1e+07,-16700000,-4300000,23800000,-2600000,21200000,-3100000,18100000,18100000,18100000,18100000,125300000,125300000,287600000,287600000,95700000,21100000,21100000,529700000,689500000,2423900000,948400000,1.277e+09,3113400000,3643100000,442100000,442100000,220900000,6.63e+08,1452200000,214400000,149600000,64800000,1666600000,2329600000,1360800000,29700000,-7.7e+07,1313500000,1313500000,3643100000,18100000,53300000,10400000,1600000,83400000,-39400000,-53500000,16700000,-25900000,1100000,-17700000,12200000,12300000,-1200000,11100000,98100000,1673100000,63400000,0.55991,0.08134,0.03286,0.01378,0.00497,3.50276,0.79894,1.77358,0.45925,0.1125,0.1125,3.42341,8.16386,0.39405,0.00865,0.01981,15.77778,34.54911
"46","2022_Q1",15.3722580645161,"Down",5.18e+08,-230700000,287300000,-262800000,-262800000,24500000,-13800000,-15400000,1600000,10700000,-8400000,2300000,-5100000,-2800000,-2800000,-2800000,-2800000,128400000,128400000,261600000,261600000,94600000,25200000,25200000,509800000,718100000,2495500000,969800000,1321400000,3213600000,3723400000,437700000,437700000,272100000,709800000,1469800000,223700000,158800000,64900000,1693500000,2403300000,1372800000,16400000,-69100000,1320100000,1320100000,3723400000,-2800000,60700000,15100000,1.4e+07,8.7e+07,-55200001,-121900001,47599999,3900000,-3300000,38499999,3599998,3499998,-4e+05,3099998,85200000,1741900000,49099999,0.55463,0.0473,-0.00541,-0.00212,-0.000750000000000002,-17.53571,0.71823,1.82054,0.46783,-0.01758,-0.0169599999999999,3.25279,8.28959,0.30832,0.0021,0.01494,18.93779,65.85714
"47","2022_Q2",13.8804838709677,"Down",526100000,-226500000,299600000,-278300000,-278300000,21300000,-19600000,-16900000,-2700000,1700000,-6e+06,-4300000,-2400000,-6700000,-6700000,-6700000,-6700000,9.8e+07,9.8e+07,270500000,270500000,105200000,31300000,31300000,5.05e+08,710600000,2464200000,944100000,1317700000,3174800000,3679800000,424700000,424700000,276500000,701200000,1450200000,223899999,159300000,64599999,1674099999,2375299999,1375500000,-1800000,-69200000,1304500000,1304500000,3679799999,-6700000,61200000,9200000,-40100000,23600000,-40700000,-40500000,-4500000,-6e+05,3800000,-12600000,-29500000,-29500000,-9e+05,-30400000,82500000,1726700000,4100000,0.56947,0.04049,-0.01274,-0.00514,-0.00182,-0.61194,0.72019,1.82085,0.46924,-0.04175,-0.04138,3.27827,8.12869,0.02555,0.00141,0.00126,19.74182,76.46479
"48","2022_Q3",13.28984375,"Down",571400000,-239100000,332300000,-291600000,-291600000,40700000,-27700000,-1.7e+07,-10700000,1.3e+07,-34100000,-21100000,-1400000,-22500000,-22500000,-22500000,-22500000,98500000,98500000,283600000,283600000,109700000,63500000,63500000,555300000,678600000,2395400000,912200000,1285600000,3.074e+09,3629300000,430200000,430200000,284800000,7.15e+08,1413900000,223600000,157900000,65700000,1637500000,2352500000,1379900000,-35700000,-67400000,1276800000,1276800000,3629300000,-15800000,-1e+06,35900000,2.4e+07,43100000,-7700000,-15100000,9300000,8e+05,-3100000,6700000,34700000,34700000,-1e+05,34600000,39700000,1698700000,57400000,0.58155,0.07123,-0.03938,-0.01762,-0.0062,-2.55111,0.77664,1.8425,0.46805,-0.13962,-0.13962,3.54579,7.9231,0.35619,-0.00694,0.01794,40.3073,39.31695
