"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",74.7473015873016,"Up",249013000,-61443000,187570000,-164843000,-140368000,-12414000,-12061000,22727000,-9404000,-9662000,258000,13323000,13268000,-1285000,11983000,11983000,12426000,12426000,134008000,134008000,172103000,172103000,223075000,34082000,12921000,563268000,203677000,803190000,279603000,486342000,5977000,31268000,1006867000,1570135000,123248000,123248000,48576000,48576000,234310000,568939000,68158000,20529000,47629000,637097000,871407000,1020728000,-65738000,-8774000,693583000,698728000,1570135000,11983000,29510000,14841000,-28164000,28170000,-35794000,-35794000,-38294000,-9946000,410000,-181000,-10127000,-20251000,-20251000,758000,-19493000,52237000,631425000,-10436000,0.75325,0.09127,0.0499,0.01778,0.00791,-0.83985,2.40394,1.24713,0.40215,0.24574,0.21503,4.92451,13.71639,-0.20638,0.00889,-0.00746,9.52231,21.88661
"30","2017_Q3",66.1714285714286,"Down",259399000,-66186000,193213000,-162888000,-138967000,-12572000,-11349000,30325000,-10445000,-9944000,-501000,19880000,18511000,-6776000,11735000,11735000,12167000,12167000,130932000,130932000,190169000,190169000,236839000,34288000,12310000,592228000,214601000,799555000,268466000,486439000,5961000,38689000,1014156000,1606384000,144251000,144251000,19271000,19271000,246824000,573532000,62422000,16110000,46312000,635954000,882778000,1033604000,-53077000,-8131000,718893000,723606000,1606384000,11735000,29178000,15819000,-17838000,38894000,-34591000,-34591000,-46508000,4471000,4959000,-20824000,3647000,-3967000.00000001,-3967000.00000001,691000,-3276000,59503000,656834000,13850000,0.74485,0.1169,0.0469,0.01681,0.00757,1.13832,2.39939,1.21997,0.40889,0.23819,0.20859,5.07809,14.07331,0.27113,0.00843,0.0096,8.83824,17.34219
"31","2017_Q4",56.7138095238095,"Down",247051000,-65507000,181544000,-149999000,-125649000,-12720000,-11630000,31545000,-8958000,-8819000,-139000,22587000,21492000,11604000,33096000,33096000,33528000,33528000,62200000,62200000,187247000,187247000,249003000,31403000,9184000,529853000,220809000,878254000,294445000,538310000,6093000,39406000,1099063000,1628916000,126374000,126374000,19275000,19275000,185649000,578192000,104880000,29667000,75213000,683072000,868721000,1347542000,-19460000,-6855000,755914000,760195000,1628916000,33096000,30234000,8497000,-20062000,51765000,-28915000,-28915000,-76869000,-717000,148000,-111000,-44145000,-69249000,-69249000,518000,-68731000,61779000,618192000,1198000,0.73484,0.12769,0.13571,0.0441,0.02058,0.03573,2.85406,1.14276,0.37951,0.66069,0.63507,4.86829,14.89574,0.02361,0.0226,0.000810000000000003,8.99969,17.62536
"32","2018_Q1",50.71,"Down",271222000,-75305000,195917000,-160241000,-134523000,-12719000,-12999000,35676000,-10316000,-9156000,-1160000,25360000,19092000,3949000,23041000,23041000,23477000,23477000,72803000,72803000,200220000,200220000,247138000,39902000,18792000,560063000,215326000,864751000,280774000,536926000,6440000,40611000,1080077000,1640140000,134293000,134293000,27102000,27102000,161395000,582920000,96409000,18870000,77539000,679329000,840724000,1363609000,4762000,-6933000,795571000,799416000,1640140000,23041000,32254000,13117000,-10272000,58140000,-13191000,-13191000,-13190000,4323000,4474000,-726000,-36403000,8547000.00000001,8547000.00000001,103000,8650000,67930000,582920000,40518000,0.72235,0.13154,0.08656,0.02937,0.01431,1.72586,3.47014,1.05167,0.35541,0.45942,0.45268,5.30757,15.5686,0.7929,0.01588,0.0274,7.50945,14.2986
"33","2018_Q2",52.38078125,"Up",260522000,-73814000,186708000,-173682000,-146766000,-14491000,-12425000,13026000,-19036000,-9333000,-9703000,-6010000,-37258000,10126000,-27132000,-27132000,-27132000,-27132000,73741000,73741000,188107000,188107000,257982000,37979000,21102000,557809000,227573000,885750000,287600000,563046000,5277000,29827000,1113323000,1671132000,126404000,126404000,49860000,49860000,231264000,587716000,89756000,4900000,84856000,677472000,908736000,1358819000,-22370000,-4353000,762396000,762396000,1671132000,-27132000,32090000,4924000,17490000,27372000,-31766000,-31766000,-74557000,-1819000,336000,-9041000,44140000,-3045000,-3045000,982000,-2063000,45116000,642716000,20714000,0.71667,0.05,-0.10414,-0.03559,-0.01624,-0.76345,2.412,1.19195,0.3846,-0.52965,-0.52965,5.08574,14.88299,0.40436,-0.01815,0.01386,12.61138,43.67995
"34","2018_Q3",63.6290476190476,"Up",281564000,-77056000,204508000,-173142000,-145658000,-14856000,-12628000,31366000,-12219000,-9840000,-2379000,19147000,16344000,-4813000,11531000,11531000,11531000,11531000,70078000,70078000,199907000,199907000,259819000,41775000,23588000,571579000,231733000,869025000,276318000,560751000,4955000,27001000,1100758000,1672337000,144487000,144487000,22514000,22514000,204001000,592581000,94592000,9525000,85067000,687173000,891174000,1371497000,-10839000,-8875000,781163000,781163000,1672337000,11531000,32061000,30974000,-33724000,40842000,-29304000,-29304000,-29590000,4909000,4976000,-5000,-13096000,-1844000,-1844000,-1819000,-3663000,63427000,629581000,5212000,0.72633,0.1114,0.0409500000000001,0.01476,0.0069,0.452,2.80184,1.14083,0.37647,0.22453,0.22194,5.48259,15.21074,0.10149,0.00766,0.00346,8.82121,17.83788
"35","2018_Q4",60.15,"Down",271301000,-74160000,197141000,-168814000,-141211000,-15254000,-12349000,28327000,-4666000,-8905000,4239000,23661000,13305000,2618000,15923000,15923000,15923000,15923000,75112000,75112000,191571000,191571000,271347000,41623000,23408000,579653000,237491000,858256000,262945000,560401000,4939000,29971000,1095747000,1675400000,152712000,152712000,10523000,10523000,168235000,597518000,106026000,6200000,99826000,703544000,871779000,1380580000,5084000,-10194000,803621000,803621000,1675400000,15923000,32258000,31668000,2426000,82275000,-25017000,-25017000,-34495000,-344000,251000,-9890000,-42234000,5546000,5546000,-512000,5034000,60585000,602518000,35376000,0.72665,0.10441,0.05869,0.01981,0.0095,2.22169,3.4455,1.08481,0.35963,0.30955,0.29937,5.27423,15.6228,0.68773,0.01053,0.02339,8.70522,18.61849
"36","2019_Q1",53.1516393442623,"Down",288327000,-86129000,202198000,-172563000,-142201000,-17094000,-13268000,29635000,-9524000,-9193000,-331000.000000001,20111000,16332000,-4175000,12157000,12157000,12157000,12157000,117840000,117840000,196487000,196487000,273244000,30638000,13733000,618209000,238841000,850809000,252048000,561366000,5263000,32132000,1089650000,1707859000,170485000,170485000,8975000,8975000,179460000,602526000,91348000,4964000,86384000,693874000,873334000,1397890000,17241000,-8628000,834525000,834525000,1707859000,12157000,33356000,17188000,5993000,68694000,-23516000,-23516000,-22643000,2453000,2564000,-841000,-3388000,42663000,42663000,66000,42729000,62991000,602526000,49643000,0.70128,0.10278,0.04216,0.01457,0.00712,4.08349,3.44483,1.0465,0.3528,0.23603,0.22917,5.59782,16.20217,0.96381,0.00795,0.03248,7.69453,16.35519
"37","2019_Q2",59.0166666666667,"Up",274776000,-74494000,200282000,-176276000,-145076000,-17575000,-13625000,24006000,-9470000,-9104000,-366000,14536000,10703000,-1317000,9386000,9386000,9386000,9386000,93391000,93391000,194358000,194358000,288539000,30039000,13555000,606327000,247533000,897242000,240663000,561235000,4369000,90975000,1144775000,1751102000,146779000,146779000,15002000,15002000,161781000,607607000,141708000,5641000,136067000,749315000,911096000,1402858000,26627000,-9122000,840006000,840006000,1751102000,9386000,34054000,19075000,-38040000,24475000,-40756000,-40756000,-40756000,-8177000,5292582.18456192,121000,-8056000,-24337000,-24337000,-112000,-24449000,58060000,607607000,-19419000,0.72889,0.08737,0.03416,0.01117,0.00536,-2.06893,3.74783,1.08463,0.34699,0.18164,0.17885,5.31739,16.25556,-0.37579,0.00591,-0.01222,8.85663,21.42031
"38","2019_Q3",62.50234375,"Up",292105000,-77579000,214526000,-182683000,-152853000,-17553000,-12277000,31843000,-9314000,-9323000,9000,22529000,20883000,-5921000,14962000,14962000,14962000,14962000,128377000,128377000,207992000,207992000,297136000,30805000,14617000,664310000,257438000,883562000,227545000,561420000,4885000,89712000,1.141e+09,1805310000,167025000,167025000,17613000,17613000,184638000,612762000,145186000,10269000,134917000,757948000,942586000,1413996000,41589000,-8552000,862724000,862724000,1805310000,14962000,33560000,22354000,-1920000.00000001,68956000,-31456000,-31456000,-35556000,363000,3888000,839000,1202000,34602000,34602000,383000,34985000,65403000,612762000,37948000,0.73441,0.10901,0.05122,0.01734,0.00829,2.53629,3.59791,1.09257,0.33942,0.2879,0.2852,5.62075,16.60074,0.7302,0.00923,0.02341,7.40616,15.21166
"39","2019_Q4",70.60171875,"Up",290835000,-77028000,213807000,-183626000,-152887000,-18143000,-12596000,30181000,-14730000,-9034000,-5696000,15451000,15784000,-4774000,11010000,11010000,11010000,11010000,163399000,163399000,203611000,203611000,308893000,34938000,14610000,710841000,263135000,865876000,214492000,560744000,4023000,86617000,1129011000,1839852000,177484000,177484000,15631000,15631000,193115000,617992000,152131000,13491000,138640000,770123000,963238000,1421297000,52599000,-11332000,876614000,876614000,1839852000,11010000,33631000,31155000,-8642000,67154000,-29719000,-29719000,-29719000,-1641000,0,514000,-1127000,36308000,36308000,-1285000,35023000,63812000,617992000,30225000,0.73515,0.10377,0.03786,0.01256,0.00598,2.74523,3.68092,1.09882,0.33589,0.21149,0.2075,5.58664,16.83886,0.58059,0.00669,0.01835,7.12394,15.06222
"40","2020_Q1",67.0522580645161,"Down",310354000,-83256000,227098000,-192073000,-160365000,-19109000,-12599000,35025000,-9019000,-9147000,128000.000000001,26006000,33147000,-3271000,29876000,29876000,29876000,29876000,213034000,213034000,211532000,211532000,312419000,27351000,16917000,764336000,266318000,854636000,201092000,561064000,9162000,83318000,1120954000,1885290000,183618000,183618000,23299000,21294000,206917000,623298000,139868000,14655000,125213000,763166000,970083000,1429916000,82475000,-9418000,915207000,915207000,1885290000,29876000,34348000,-4738000,15219000,74705000,-28453000,-28453000,-28453000,1392000.00000001,2527000,-54999.9999999981,1336999.99999999,47589000,47589000,1145000,48734000,69373000,623298000,59410000,0.73174,0.11285,0.09626,0.03264,0.01585,1.98855,3.69393,1.05996,0.33061,0.5732,0.54679,5.95449,17.55928,1.13985,0.0178,0.0354,5.91389,11.71346
"41","2020_Q2",57.8393650793651,"Down",259881000,-71865000,188016000,-161137000,-130231000,-18257000,-12649000,26879000,-18194000,-10786000,-7408000,8685000,10125000,-4827000,5298000,5298000,5298000,5298000,511976000,511976000,186826000,186826000,324675000,34922000,17294000,1058399000,280058000,882064000,191136000,559299000,9354000,122275000,1162122000,2220521000,131565000,131565000,21890000,21890000,782136000,361633000,190553000,23905000,166648000,552186000,1334322000,1478356000,87773000,-13227000,886199000,886199000,2220521000,5298000,34972000,25436000,-60481000,5225000,-30606000,-30606000,-30606000,-78818000,5102663.93517684,-32809000,326059000,300678000,300678000,-1736000,298942000,61851000,990314000,-24409000,0.72347,0.10343,0.02039,0.00598,0.00239,-4.60721,1.35322,1.50567,0.44598,0.1022,0.09861,5.01343,17.09588,-0.47088,0.00256,-0.01181,7.73370999999999,17.79597
"42","2020_Q3",53.88625,"Down",203612000,-80505000,123107000,-158525000,-126444000,-19406000,-12675000,-35418000,-27882000,-16220000,-11662000,-63300000,-65185000,15170000,-50015000,-50015000,-50015000,-50015000,926827000,796773000,182135000,182135000,312205000,36348000,17693000,1457515000,279162000,913292000,177607000,559088000,10036000,166561000,1192454000,2649969000,145713000,145713000,13579000,13185000,793434000,746719000,214926000,9657000,160333000,961645000,1755079000,1536218000,37758000,-12175000,894890000,894890000,2649969000,-50015000,35166000,45217000,-2486000,27882000,-23949000,-23949000,-154045000,3663000,3871000,-30461000,409920000,283757000,283757000,1040000,284797000,-251999.999999993,1380861000,-41857000,0.60462,-0.17395,-0.24564,-0.05589,-0.01887,0.83689,1.83697,1.96122,0.52109,-0.97638,-1.01378,3.97486,17.46979,-0.81712,-0.02008,-0.01681,-1801.72222,-12.8193
"43","2020_Q4",49.18328125,"Down",295282000,-84633000,210649000,-180490000,-146260000,-20404000,-13826000,30159000,-20601000,-20852000,251000,9558000,6451000,-579000,5872000,5872000,5872000,5872000,982149000,774544000,205255000,205255000,305634000,28898000,15576000,1521936000,281339000,853296000,165499000,558985000,9291000,119521000,1134635000,2656571000,165397000,165397000,15548000,14788000,820627000,756167000,180393000,8236000,172157000,936560000,1757187000,1533471000,43630000,-10152000,899384000,899384000,2656571000,5872000,35959000,39026000,-766000,80091000,-27112000,-27112000,-103579000,-654000,0,-93013000,-266000,-23754000,-23754000,1525000,-22229000,66118000,1395849000,38819000,0.71338,0.10214,0.01989,0.00652999999999999,0.00221,6.61087,1.8546,1.95377,0.52543,0.11456,0.11456,5.7607,17.54622,0.75733,0.00237,0.01568,6.25700000000006,13.7173
"44","2021_Q1",59.983606557377,"Up",291807000,-84628000,207179000,-178607000,-144260000,-21771000,-12576000,28572000,-19171000,-21136000,1965000,9401000,1064000,628000,1692000,1692000,1692000,1692000,1030014000,856869000,207071000,207071000,300623000,24476000,19749000,1562184000,286369000,844529000,152264000,559553000,15755000,116957000,1130898000,2693082000,175895000,175895000,15164000,15164000,836362000,766226000,171576000,2807000,168769000,937802000,1774164000,1550001000,45322000,-7585000,918918000,918918000,2693082000,1692000,34840000,-30099000,66280000,72713000,-27922000,-27922000,6296000,1314000,2299000,-329000,943000.00000006,79951999.9999999,79951999.9999999,2373000,82325000,63412000,1411529000,101142000,0.70999,0.09791,0.00580000000000001,0.00184,0.00063,59.7766,1.86783,1.93071,0.52413,0.03295,0.0329500000000001,5.68337,17.89607,1.96989,0.00068,0.04042,6.01645,13.35276
"45","2021_Q2",68.2739682539682,"Up",271249000,-71811000,199438000,-181515000,-145954000,-22224000,-13337000,17923000,-20469000,-7943000,-12526000,-2546000,-8130000,620000,-7510000,-7510000,-7510000,-7510000,233857000,233857000,205026000,205026000,315749000,26928000,21895000,781560000,286156000,1097069000,296514000,636422000,47301000,116832000,1383225000,2164785000,166422000,166422000,58454000,58454000,224876000,879473000,225049000,3042000,131007000,1104522000,1329398000,1411170000,102284000,-9139000,835387000,835387000,2164785000,-7510000,36432000,25778000,-23061000,31639000,-26270000,-26270000,-2655000,-55000,4877159.57518136,-649770000,-649825000,-620841000,-620841000,-2171000,-623012000,54355000,879473000,4404000,0.73526,0.06608,-0.02769,-0.00899,-0.00347,-0.58642,3.47552,1.59136,0.40626,-0.14617,-0.14617,5.27937,16.2581,0.08572,-0.00387,0.00226999999999999,11.87777,36.02165
"46","2021_Q3",61.6575,"Down",294828000,-78280000,216548000,-194249000,-157397000,-21764000,-15088000,22299000,-3110000,-4379000,1269000,19189000,7636000,-5837000,1799000,1799000,1799000,1799000,204138000,204138000,216915000,216915000,319734000,24961000,20971000,765748000,295779000,1084946000,278097000,636727000,46699000,123423000,1380725000,2146473000,176924000,176924000,16808000,16808000,193732000,881381000,230459000,2798000,134695000,1111840000,1305572000,1420277000,104083000,-7622000,840901000,840901000,2146473000,1799000,37522000,13515000,-5079000.00000001,47757000,-28413000,-28413000,-74638000,-3106000,3803000,-330000,-3436000,-30317000,-30317000,598000,-29719000.0000001,59821000,881381000,32166000,0.73449,0.07563,0.0061,0.00214,0.00084,17.87993,3.95261,1.55259,0.41062,0.03501,0.03501,5.7383,16.36542,0.62605,0.00092,0.01647,11.32116,30.371
"47","2021_Q4",54.3521875,"Down",270836000,-88652000,182184000,-184266000,-146056000,-23405000,-14805000,-2082000,-17379000,-4297000,-13082000,-19461000,-24012000,2373000,-21639000,-21639000,-21639000,-21639000,234578000,234578000,199366000,199366000,311414000,25003000,19380000,770361000,302195000,1061477000,256416000,633121000,48851000,123089000,1363672000,2134033000,178267000,178267000,17095000,17095000,195362000,883180000,231295000,2683000,228612000,1114475000,1309837000,1425242000,82444000,-7309000,824196000,824196000,2134033000,-21639000,37864000,20007000,29142000,65374000,-32147000,-30494772.7954344,-33146000,-345000,0,-367000,-712000,31516000,31516000,-1076000,30440000,35782000,883180000,30404000,0.67267,-0.00769,-0.0799,-0.02625,-0.01014,-1.40506,3.94325,1.58923,0.41385,-0.4188,-0.4188,5.24175,15.95024,0.58844,-0.01116,0.01568,18.12649,-311.52834
"48","2022_Q1",53.1145161290323,"Down",302075000,-83535000,218540000,-199990000,-160678000,-25233000,-14079000,18550000,-5397000,-4277000,-1120000,13153000,-33878000,-2858000,-36736000,-36736000,-36736000,-36736000,246091000,246091000,214398000,214398000,315845000,26090000,20665000,802424000,303664000,1047987000,242675000,633467000,48003000,123842000,1351651000,2154075000,183038000,182210000,17853000,17853000,200891000,884984000,272993000,3049000,269944000,1157977000,1358868000,1435039000,45708000,-7792000,795207000,795207000,2154075000,-36736000,37706000,60517000,-24083000,37404000,-25626000,-31808873.5970946,-25626000,911000,2415000,-287000,624000.00000003,12402000,12402000,-889000,11513000,56256000,884984000,9405000,0.72346,0.06141,-0.12161,-0.0462,-0.01705,-0.256020000000008,3.99433,1.70882,0.41084,-0.71099,-0.71099,5.84635,15.39041,0.18202,-0.01881,0.00482,11.35689,34.44167
"49","2022_Q2",53.6359677419355,"Up",290762000,-79097000,211665000,-196671000,-160281000,-23358000,-13032000,14994000,11908000,-4336000,16244000,26902000,23842000,-4641000,19201000,19201000,19201000,19201000,205312000,205312000,231425000,231425000,324403000,31074000,25538000,792214000,313689000,1054598000,233301000,636703000,61294000,123300000,1368287000,2160501000,172632000,172632000,76097000,76097000,248729000,886793000,213058000,12807000,200251000,1099851000,1348580000,1441783000,64909000,-11741000,811921000,811921000,2160501000,19201000,36801000,-9744000,-39719000,6539000,-33223000,-33223000,-34170000,-5345000,5786705.70430409,-7360000,-12705000,-40336000,-40336000,-443000,-40779000,51795000,886793000,-16506000,0.72797,0.05157,0.06604,0.02365,0.00889,-0.85964,3.18505,1.66097,0.41046,0.37114,0.37114,5.62022,15.69263,-0.31905,0.01004,-0.00863,13.15727,45.4502499999999
"50","2022_Q3",48.4709375,"Down",310451000,-85758000,224693000,-199246000,-160696000,-25913000,-12637000,25447000,-33771000,-4090000,-29681000,-8324000,-7e+05,-193000,-893000,-893000,-893000,-893000,225985000,225985000,233573000,233573000,331708000,32044000,26812000,823310000,326484000,1024394000,208323000,629889000,61115000,125067000,1350878000,2174188000,185023000,185023000,70590000,70590000,255613000,888609000,203397000,11716000,191681000,1092006000,1347619000,1453013000,64016000,-7210000,826569000,826569000,2174188000,-893000,36484000,35894000,-9932000,61553000,-35522000,-35522000,-40523000,3496000,3716000,-461000,3035000,24065000,24065000,-3392000,20673000,61931000,888609000,16670000,0.72376,0.08197,-0.00287999999999998,-0.00108,-0.00041,-18.66741,3.22092,1.63038,0.40871,-0.01717,-0.01717,5.96769,15.88762,0.32044,-0.00047,0.00869,10.69939,26.03938
