"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",49.9066666666667,"Up",345043000,-259543000,85500000,-60446000,-57705000,25054000,-162000,-484000,24892000,24892000,-6889000,18003000,18003000,18003000,18003000,75647000,75647000,418610000,332357000,56606000,577790000,18037000,18037000,179369000,79119000,197406000,775196000,231197000,213601000,17596000,340385000,12656000,22878000,35534000,375919000,143000,133561000,-45380000,311221000,-268000,399277000,399277000,775196000,18003000,4367000,-23000,9600000.00000001,31947000,-5516000,-6122000,-5777000,-305000,-305000,-7715999.99999999,18109000,18109000,58000,18167000,29421000,65286000,40394000,0.2478,0.07261,0.05218,0.04509,0.02322,2.24374,1.69746,0.9415,0.08422,0.66707,0.66202,12.78505,14.78931,1.49674,6,0.03693,0.08287,-0.35216,-0.413549999999999
"35","2018_Q4",40.3098412698413,"Down",345664000,-262751000,82913000,-62447000,-59728000,20466000,278000,-443000,20744000,20744000,-5880000,14864000,14864000,14864000,14864000,84334000,84334000,452963000,358940000,51395000,613162000,17843000,17843000,167184000,68058000,185027000,798189000,245284000,224828000,20456000,361231000,8461000,19320000,27781000,389012000,143000,135418000,-51899000,326085000,-570000,409177000,409177000,798189000,14864000,4474000,-1083000,1002000,19257000,-6576000,-10072000,11106000,-6126000,-6126000,-520000,8665000,8665000,22000,8687000,24940000,66567000,25246000,0.23987,0.05921,0.043,0.03633,0.01862,1.69847,1.69742,0.95072,0.0834,0.55162,0.54719,12.82803,15.17977,0.93691,6,0.03002,0.051,-0.71239,-0.86812
"36","2019_Q1",41.5565573770492,"Up",325434000,-244162000,81272000,-66257000,-62683000,15015000,5011000,-545000,20026000,20026000,-4974000,15052000,15052000,15052000,15052000,79816000,79816000,404994000,341227000,50493000,560103000,17328000,17328000,208767000,59032000,226095000,786198000,224170000,202884000,21286000,328851000,10502000,22592000,33094000,361945000,143000,137243000,-53999000,341137000,-271000,424253000,424253000,786198000,15052000,5298000,454000,16435000,37239000,1505000,-48196000,9147999.99999999,-2493000,-2493000,6655000,-4302000,-4302000,-216000,-4518000.00000001,20313000,48647000,43227000,0.24973,0.04614,0.04625,0.03548,0.01915,2.87184,1.70321,0.85313,0.06188,0.56202,0.556,12.15122,15.83564,1.61403,7,0.03038,0.08724,-1.53444,-2.07586
"37","2019_Q2",41.5574603174603,"Up",381372000,-288733000,92639000,-69250000,-65787000,23389000,-673000,-628000,22716000,22716000,-6528000,16188000,16188000,16188000,16188000,35604000,35604000,506531000,408112000,58205000,626232000,30211000,30211000,218370000,71097000,248581000,874813000,265265000,244967000,20298000,407420000,8362000,30388000,38750000,446170000,144000,139162000,-67454000,357325000,-534000,428643000,428643000,874813000,16188000,4964000,2064000,-110610000,-87394000,-1226000,-1226000,57910000,-13318000,-13318000,44327000,-44293000,-44293000,81000,-44212000,28353000,72945000,-76955000,0.24291,0.06133,0.04245,0.03777,0.0185,-4.75383,1.53707,1.04089,0.08338,0.60187,0.59611,14.17951,15.9317,-2.86121,4,0.03043,-0.14466,1.317,1.59652
"38","2019_Q3",38.55859375,"Down",411565000,-308534000,103031000,-74080000,-70523000,28951000,-616000.000000001,-576000,28335000,28335000,-8237000,20098000,20098000,20098000,20098000,55832000,55832000,502437000,393791000,57198000,641559000,35304000,35304000,237403000,79512000,272707000,914266000,260683000,237004000,23679000,421499000,8404000,34074000,42478000,463977000,144000,141297000,-67691000,377423000,-884000,450289000,450289000,914266000,20098000,5113000,2182000,5597000.00000001,32990000,-3009000,-16824000,4922999.99999999,-373999.999999998,-374000,4029000.00000001,20195000,20195000,33000,20228000,34064000,86012000,44889000,0.25034,0.07034,0.04883,0.04463,0.02198,2.23351,1.52209,1.0304,0.09408,0.75364,0.74948,15.43292,16.87959,1.68325,7,0.03524,0.0787,0.88598,1.04245
"39","2019_Q4",40.7428125,"Up",428991000,-325295000,103696000,-76737000,-73090000,26959000,303000,-694000,27262000,27262000,-7712000,19550000,19550000,19550000,19550000,59555000,59555000,540157000,450928000,61065000,690007000,3.4e+07,3.4e+07,228601000,73506000,262601000,952608000,298113000,270637000,27476000,439490000,7120000,33512000,40632000,480122000,144000,143262000,-67691000,396973000,-202000,472486000,472486000,952608000,19550000,5140000,1660000,-46674000,-20324000,-1570000,-1994000,31270000,0,0,26292000,3974000,3974000,-251000,3723000,32099000,68374000,-8433000,0.24172,0.06284,0.04557,0.04138,0.02052,-0.43136,1.57002,1.01616,0.07178,0.73391,0.72872,16.10447,17.73189,-0.31658,6,0.03404,-0.01468,0.27474,0.32713
"40","2020_Q1",38.0445161290323,"Down",366476000,-274651000,91825000,-73271000,-69782000,18554000,-908000,-676000,17646000,17646000,-4400000,13246000,13246000,13246000,13246000,86231000,86231000,481737000,411568000,50268000,649798000,32596000,32596000,226719000,74158000,259315000,909113000,241287000,210335000,30952000,386639000,5872000,30457000,36329000,422968000,144000,145197000,-68424000,410219000,-991000,486145000,486145000,909113000,13246000,3939000,-17000,-16614000,554000.000000015,501000,-294999.999999996,26719000,-733000,-733000,25986000,26245000,26245000,431000,26676000,22493000,72758000,10780000,0.25056,0.05063,0.03614,0.02725,0.01457,0.81383,1.68063,0.87004,0.08003,0.49715,0.4947,13.75454,18.24054,0.404589999999999,6,0.02248,0.01829,-0.59899,-0.72615
"41","2020_Q2",34.1415873015873,"Down",355031000,-256474000,98557000,-72983000,-69467000,25574000,-479000,-577000,25095000,25095000,-7735000,17360000,17360000,17360000,17360000,144382000,144382000,542240000,426120000,93323000,806832000,33025000,33025000,219005000,68862000,252030000,1058862000,338668000,312208000,26460000,519560000,5500000,31077000,36577000,556137000,145000,147082000,-71127000,427579000,-954000,502725000,502725000,1058862000,17360000,4779000,2648000,-18393000,6394000,-2159000,-2159000,56743000,-2703000,-2703000,54040000,58275000,58275000,-124000,58151000,30353000,98438000,17536000,0.2776,0.07203,0.0489,0.03453,0.01639,1.01014,1.55291,1.10624,0.09297,0.65155,0.64834,13.32499,18.86278,0.65816,6,0.02746,0.02774,-1.51366,-1.79651
"42","2020_Q3",37.12703125,"Up",433081000,-334119000,98962000,-70230000,-66889000,28732000,-63000,-247000,28669000,28669000,-8823000,19846000,19846000,19846000,19846000,161081000,161081000,502635000,409869000,73751000,768029000,34314000,34314000,236368000,87926000,270682000,1038711000,354147000,323863000,30284000,476493000,2444000,36704000,39148000,515641000,145000,148845000,-72911000,447425000,-434000,523070000,523070000,1038711000,19846000,4681000,3507000,-26020000,2014000,-652000,-651999.999999999,17895000,-1784000,-1784000,15690000,17052000,17052000,-353000,16699000,33413000,40340000,15564000,0.22851,0.06634,0.04583,0.03794,0.01911,0.78424,1.61184,0.9858,0.03884,0.74207,0.74052,16.19358,19.55298,0.58196,5,0.03307,0.02594,-3.61359,-4.20232
"43","2020_Q4",40.00984375,"Up",427604000,-329453000,98151000,-68533000,-65390000,29618000,458000,-355000,30076000,30076000,-8438000,21638000,21638000,21638000,21638000,86463000,86463000,621432000,494740000,81304000,826652000,43387000,43387000,255915000,87342000,299302000,1125954000,369456000,336259000,33197000,531038000,6312000,43595000,49907000,580945000,145000,150624000,-75372000,469063000,549000,545009000,545009000,1125954000,21638000,4302000,1792000,-30896000,-3164000,-746000,-27848000,-40752000,-2461000,-2461000,-43348000,-74360000,-74360000,-258000,-74618000,33920000,68333000,10716000,0.22954,0.06927,0.0506,0.0397,0.01922,0.49524,1.55667,1.06594,0.06069,0.81059,0.80775,16.01873,20.41148,0.40144,3,0.03294,0.01631,-0.53449,-0.61213
"44","2021_Q1",47.4203278688525,"Up",352607000,-254723000,97884000,-73468000,-69517000,24416000,-1350000,-826000,23066000,23066000,-7513000,15553000,15553000,15553000,15553000,129562000,129562000,432620000,432620000,69963000,777594000,42289000,42289000,256892000,90165000,299181000,1076775000,300654000,263815000,36839000,459364000,18322000,36679000,55001000,514365000,145000,152366000,-75372000,484616000,655000,562410000,562410000,1076775000,15553000,6229000,-6316000,108797000,124263000,-5165000,-5097000,-76184000,0,0,-76184000,42982000,42982000,117000,43099000,30645000,74169000,141790000,0.2776,0.06924,0.04411,0.02765,0.01444,9.11657,1.69276,0.91457,0.06888,0.58325,0.57857,13.22309,21.08546,5.31726,5,0.0231,0.2106,-1.80757,-2.26872
"45","2021_Q2",47.7507936507937,"Up",416649000,-311137000,105512000,-72701000,-68775000,32811000,-236000,-359000,32575000,32575000,-9057000,23518000,23518000,23518000,23518000,93840000,93840000,562485000,499403000,77752000,774198000,41282000,41282000,261936000,98277000,303218000,1077416000,321017000,289259000,31758000,446405000,13603000,33789000,47392000,493797000,146000,154101000,-79483000,508134000,721000,583619000,583619000,1077416000,23518000,6082000,1294000,-96030000,-65136000,-6151000,-6151000,39301000,-3807000,-3807000,35494000,-35793000,-35793000,71000,-35722000,38893000,32300000,-54231000,0.25324,0.07875,0.05645,0.0403,0.02183,-2.30594,1.7343,0.84609,0.02998,0.88195,0.87486,15.62473,21.88078,-2.03371,4,0.0362,-0.08347,-1.58229,-1.87559
"46","2021_Q3",49.40828125,"Up",458017000,-335015000,123002000,-78357000,-74504000,44645000,-667000,-342000,43978000,43978000,-12565000,31413000,31413000,31413000,31413000,56950000,56950000,514654000,514654000,134514000,829566000,43895000,43895000,266484000,105855000,310379000,1139945000,303525000,267143000,36382000,475625000,13675000,37042000,50717000,526342000,146000,155941000,-82246000,539547000,215000,613603000,613603000,1139945000,31413000,5962000,1821000,-109064000,-69868000,-7539000,-7539000,43355000,-3067000,-3067000,40288000,-37119000,-37119000,229000,-36890000,50607000,70306000,-53431000,0.26855,0.09747,0.06858,0.05119,0.02756,-1.70092,1.74416,0.85779,0.06167,1.17802,1.16855,17.17607,23.00521,-2.00371,4,0.04357,-0.07411,0.26392,0.29916
"47","2021_Q4",55.2,"Up",494834000,-377717000,117117000,-80471000,-76874000,36646000,-736000,-561000,35910000,35910000,-9486000,26424000,26424000,26424000,26424000,105566000,105566000,561447000,561447000,147739000,960551000,46215000,46215000,248380000,90026000,294595000,1255146000,359521000,320337000,39184000,567413000,14029000,34408000,48437000,615850000,270000,157721000,-2592000,483601000,296000,639296000,639296000,1255146000,26424000,6576000,926000,-20464000,13462000,-4758000,-4758000,42806000,-2592000,-2592000,40214000,48918000,48918000,-302000,48616000,43222000,102378000,27486000,0.23668,0.07406,0.0534,0.04133,0.02105,1.04019,1.69286,0.96333,0.08157,0.991,0.98362,18.55813,23.96587,1.03083,6,0.03405,0.03542,-0.07376,-0.08699
"48","2022_Q1",49.7248387096774,"Down",451519000,-336168000,115351000,-80234000,-76964000,35117000,-696000,-641000,34421000,34421000,-10176000,24245000,24245000,24245000,24245000,155378000,155378000,479053000,479053000,155060000,897482000,45586000,45586000,223135000,64292000,268721000,1166203000,321086000,281484000,39602000,460036000,9900000,35529000,45429000,505465000,368691.161538799,159750000,-6734000,507846000,-124000,660738000,660738000,1166203000,24245000,5685000,-4778000,75819000,100971000,17189000,17189000,-64678000,-4142000,-4142000,-68820000,49340000,49340000,472000,49812000,40802000,34286000,143986000,0.25547,0.07778,0.0537,0.03669,0.02079,5.93879,1.9509,0.765,0.0294,0.91017,0.90244,16.95018,24.80434,5.40529,8,0.03319,0.19709,-2.9678,-3.44824
"49","2022_Q2",55.9458064516129,"Up",458359000,-344836000,113523000,-79977000,-76767000,33546000,-2516000,-363000,31030000,31030000,-8691000,22339000,22339000,22339000,22339000,83488000,83488000,529747000,529747000,246873000,985343000,45888000,45888000,224919000,68719000,270807000,1256150000,336330000,303840000,32490000,533972000,10447000,35443000,45890000,579862000,271000,161253000,-13958000,530185000,-1463000,676288000,676288000,1256150000,22339000,4472000,2247000,-132001000,-102943000,-1692000,-1692000,38335000,-7224000,-7224000,31111000,-73524000,-73524000,1634000,-71890000,38018000,77849000,-86984000,0.24767,0.07319,0.04874,0.03303,0.01778,-3.89382,1.84531,0.85742,0.06197,0.84257,0.83714,17.28809,25.49757,-3.28081,5,0.02829,-0.11016,-0.14832,-0.1681
"50","2022_Q3",48.94015625,"Down",493706000,-360402000,133304000,-88272000,-84704000,45032000,-4791000,-925000,40241000,40241000,-11772000,28469000,28469000,28469000,28469000,99531000,99531000,569454000,569454000,274863000,1069913000,55033000,55033000,246394000,75093000,301427000,1371340000,363030000,328726000,34304000,607311000,12393000,45991000,58384000,665695000,-177823.484616398,163483000,-13958000,558654000,-2534000,705645000,705645000,1371340000,28469000,5067000,171000,-50434999.9999999,-16728000,2396000,-10602000,40231000,0,0,40231000,12901000,12901000,3142000,16043000,50099000,115483000,13832000.0000001,0.27001,0.09121,0.05766,0.04034,0.02076,0.485859999999999,1.76172,0.94339,0.08421,1.07378,1.06685,18.62128,26.61506,0.52171,5,0.03283,0.01595,0.31841,0.35424
