"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",78.9834920634921,"Down",230577000,-235662000,-134938000,-100724000,-5085000,4765000,4765000,-320000,-320000,4893000,4573000,4573000,4573000,4573000,1052563000,1037617000,27405000,27405000,342893000,46150000,291672000,1422861000,110205000,208931000,602063000,37582000,921199000,2344060000,1036475000,30205000,1006202000,338054000,338054000,1374529000,34776000,26985000,77801000,1452330000,378156000,514871000,-1297000,891730000,891730000,2344060000,4573000,18113000,52597000,-28631000,46652000,-16021000,-33377000,-1325000,-50723000,2683000,2683000,-73505000,-76447000,-80518000,-80518000,-80518000,13028000,43025000,-36517000,-0.02205,0.01983,0.00513,0.00195,-7.98535,1.03516,1.62867,0.01835,0.08697,0.08373,4.38526,16.95949,-0.6945,0.00472,-0.03766,-77.48987,198.53255
"34","2019_Q1",69.7449180327869,"Down",261651000,-229712000,-131422000,-98290000,31939000,-19610000,-18058000,12329000,12329000,1943000,14272000,14272000,14272000,14272000,1114688000,1094728000,40942000,40942000,220324000,57070000,154482000,1375954000,120269000,181223000,609672000,50689000,911164000,2287118000,1044183000,38631000,1005485000,293151000,293151000,1337334000,39972000,30927000,39972000,1377306000,380806000,529143000,-137000,909812000,909812000,2287118000,14272000,18602000,-47535000,51370000,36709000,-17633000,24042000,-270000,6139000,2757000,2757000,17062000,14193999.9999999,57041999.9999999,57041999.9999999,57041999.9999999,50541000,0,82335000,0.12207,0.05455,0.01569,0.00624,5.76899,1.02888,1.51384,-3.46944695195361e-18,0.27049,0.26099,4.95889,17.24304,1.56044,0.01503,0.08669,-22.05512,-34.9005299999999
"35","2019_Q2",54.4620634920635,"Down",340514000,-259129000,-146022000,-113107000,81385000,-1471000,-1471000,79914000,79914000,-15871000,64043000,64043000,64043000,64043000,1696451000,1676470000,34108000,34108000,392585000,49010000,343575000,2123144000,126954000,205599000,610449000,56233000,943002000,3066146000,1678844000,47072000,1624732000,371360000,371360000,2050204000,37227000,24431000,37227000,2087431000,384500000,593186000,1029000,978715000,978715000,3066146000,64043000,19056000,39344000,-7058000,115385000,-19312000,-22733000,1754000,-40291000,705000,705000,569808000,510513000,585607000,585607000,585607000,100441000,0,89942000,0.23901,0.18808,0.06544,0.02089,1.4044,1.03558,2.13283,0,1.20722,1.174,6.41874,18.44892,1.69542,0.06304,0.08853,-16.89002,-20.84476
"36","2019_Q3",37.01265625,"Down",278326000,-234363000,-136843000,-97520000,43963000,-164999.999999998,-165000,43798000,43798000,-9106000,34692000,34692000,34692000,34692000,1116515000,1096498000,28199000,28199000,388453000,49548000,338905000,1533167000,131710000,223968000,613203000,67255000,968881000,2502048000,1218938000,35015000,1171676000,3.25e+08,3.25e+08,1543938000,36197000,23401000,36197000,1580135000,292010000,627878000,2025000,921913000,921913000,2502048000,34692000,20296000,30347000,-33652000,51683000,-18434000,-17028000,-3050000,-38512000,-95869000,4131000,-497512000,-593381000,-580210000,-580210000,-580210000,64259000,-9.31322574615479e-10,21279000,0.15796,0.12465,0.03763,0.01387,0.613370000000001,0.99302,1.71397,0,0.65972,0.64535,5.29278,17.53153,0.40465,0.03621,0.02221,-17.37523,-25.3967
"37","2019_Q4",24.93171875,"Down",240448000,-242635000,-146947000,-95688000,-2187000,-112000,-154000,-2299000,-2299000,1768000,-531000,-531000,-531000,-531000,876302000,861275000,34939000,34939000,242759000,46624000,196135000,1.154e+09,139246000,230192000,604475000,64747000,973913000,2127913000,953723000,47334000,888870000,193166000,193166000,1146889000,53840000,41044000,53840000,1200729000,297645000,627347000,2192000,927184000,927184000,2127913000,-531000,21100000,-34947000,51971000,37593000,-20439000,-724000,-161000,-21324000,26000,26000,-252532000,-252506000,-236237000,-236237000,-236237000,18913000,0,48677000,-0.0091,-0.00221,-0.00057,-0.00025,-91.67043,1.0062,1.29503,0,-0.01029,-0.01019,4.66174,17.976,0.94374,-0.00054,0.04962,-46.33332,400.68679
"38","2020_Q1",28.778064516129,"Up",249307000,-249550000,-156779000,-92771000,-243000.000000007,-89000,-73999.9999999999,-331999.999999996,-331999.999999996,2025000,1693000,1693000,1693000,1693000,1073446000,1063426000,59543000,59543000,309003000,66183000,241950000,1441992000,145476000,267419000,605703000,75672000,1018598000,2460590000,1217165000,37876000,1175341000,227969000,227969000,1445134000,53100000,35328000,88100000,1533234000,296276000,629040000,2040000,927356000,927356000,2460590000,1693000,21653000,10690000,-48783000,-14747000,-20029000,-32695000,-1002000,-53726000,2364000,2364000,232885000,270249000,201776000,201776000,201776000,21410000,3.5e+07,-49427000,-0.000970000000000002,0.00678999999999999,0.00183,0.00069,-29.19492,0.99783,1.65334,0.01422,0.0328299999999999,0.03248,4.83481,17.98421,-0.95854,0.00167,-0.04867,-48.50285,4273.44033
"39","2020_Q2",33.844126984127,"Up",362169000,-303320000,-179160000,-124160000,58849000,-49000,-241000,58800000,58800000,-11955000,46845000,46845000,46845000,46845000,1573743000,1563740000,61590000,61590000,342419000,57071000,283764000,1977752000,147530000,297522000,623645000,101224000,1068697000,3046449000,1670328000,37366000,1616355000,235975000,235975000,1906303000,52141000,33093000,152141000,2058444000,306204000,675604000,6197000,988005000,988005000,3046449000,46845000,20976000,12658000,23651000,104130000,-15743000,-24711000,-33416000,-73870000,23000,23000,404870000,469893000,500153000,500153000,500153000,79825000,1e+08,99688000,0.16249,0.12935,0.04741,0.01538,2.12804,1.03748,2.08343,0.03283,0.90271,0.88936,6.97901,19.03891,1.92099,0.04109,0.08743,-18.46217,-25.04279
"40","2020_Q3",51.28609375,"Up",316240000,-310850000,-180612000,-130238000,5390000,1711000,-443000,7101000,7101000,-3807000,3293999.99999999,3293999.99999999,3293999.99999999,3294000,1931467000,1931467000,46562000,46562000,377403000,57694000,318345000,2355432000,148258000,241534000,607497000,92283000,997289000,3352721000,2047956000,27351000,2000570000,254238000,254238000,2302194000,46302000,28459000,46302000,2348496000,323136000,678898000,2191000,1004225000,1004225000,3352721000,3293999.99999999,21430000,16239000,16423000,57386000,-15652000,65594000,-803999.999999993,49138000,4835000,4835000,359745000,264580000,371104000,371104000,371104000,26820000,0,31398000,0.01704,0.01042,0.00328,0.00098,9.53188,1.02312,2.33862,0,0.0630100000000002,0.06197,6.04966,19.21079,0.60064,0.00314,0.02989,-72.01592,-358.34267
"41","2020_Q4",56.7965625,"Up",291070000,-293720000,-158485000,-135235000,-2650000,-1689000,-39000,-4339000,-4339000,1347000,-2992000,-2992000,-2992000,-2992000,2136375000,2136375000,44175000,44175000,405231000,54278000,349992000,2585781000,145932000,309374000,597822000,89711000,1053128000,3638909000,2324200000,28831000,2282674000,262821000,262821000,2587021000,43015000,25031000,43015000,2630036000,330020000,675906000,2947000,1008873000,1008873000,3638909000,-2992000,21783000,16235000,2309000,37335000,-12503000,-67500000,-1203000,-81206000,246000,246000,248282000,248528000,204657000,204657000,204657000,19133000,0,7592000,-0.0091,-0.01028,-0.00297,-0.00082,-2.53743,0.99952,2.6069,0,-0.05684,-0.05486,5.52955,19.16588,0.14423,-0.00284,0.00722,-111.65918,806.17925
"42","2021_Q1",52.103606557377,"Down",284281000,-315797000,-178564000,-137233000,-31516000,-1951000,-38000.0000000001,-33467000,-33467000,9451000,-24016000,-24016000,-24016000,-24016000,1491842000,1491842000,67755000,67755000,853826000,66705000,787121000,2413423000,133400000,970969000,597475000,92958000,1701844000,4115267000,2927444000,34823000,2880475000,150128000,150128000,3077572000,27863000,20671000,27863000,3105435000,354514000,651890000,3428000,1009832000,1009832000,4115267000,-24016000,21935000,26206000,-13798000,10327000,-15137000,-661193000,-3564000,-679894000,11893000,11893000,12307000,24199999.9999999,-645367000,-645367000,-645367000,-9581000,-3.72529029846191e-09,-47967000,-0.11086,-0.08448,-0.02378,-0.00584,1.99729,0.7842,3.0752,0,-0.4536,-0.44167,5.36936,19.07323,-0.90598,-0.02314,-0.04622,155.70838,47.3360199999998
"43","2021_Q2",44.5814285714286,"Down",393486000,-359501000,-186865000,-172636000,33985000,-1123000,-37000,32862000,32862000,-7127000,25735000,25735000,25735000,25735000,2711791000,2711791000,76276000,76276000,491089000,69436000,421653000,3279156000,130713000,996215000,629314000,1.25e+08,1756242000,5035398000,3813578000,56180000,3738152000,173336000,173336000,3986914000,24995000,17803000,24995000,4011909000,364980000,677625000,-19116000,1023489000,1023489000,5035398000,25735000,20144000,23217000,11576000,80672000,-10474000,-55770000,-42017000,-108261000,1780000,1780000,1245799000,1247579000,1219990000,1219990000,1219990000,54129000,0,62358000,0.08637,0.0654,0.02514,0.00511,2.42308,0.82248,3.91984,0,0.47967,0.46733,7.33418,19.07679,1.16229,0.02454,0.05947,-50.09867,-79.79376
"44","2021_Q3",48.10703125,"Up",369373000,-202619000,-183270000,-19349000,31803000,1595000,-38000,33398000,33398000,-8465000,24933000,24933000,24933000,24933000,1891100000,1891100000,58299000,58299000,450812000,61795000,388406000,2400211000,130821000,1090513000,667019000,172630000,1888353000,4288564000,3035036000,39032000,2985209000,164974000,164974000,3200010000,20854000,13662000,20854000,3220864000,375606000,702558000,-10464000,1067700000,1067700000,4288564000,24933000,20924000,23836000,-30909000,38784000,-13352000,-134018000,-10069000,-157439000,3450000,3450000,-706180000,-702730000,-821385000,-821385000,-821385000,52727000,0,16931000,0.0861,0.0675,0.02335,0.00581,0.67906,0.75006,3.01664,0,0.46473,0.45277,6.88474,19.90084,0.31558,0.0229,0.01555,-35.86588,-59.46294
"45","2021_Q4",40.8490625,"Down",339499000,-265624000,-169893000,-95731000,8830000,811000,-38000,9641000,9641000,-2306000,7335000,7335000,7335000,7335000,1804826000,1804826000,74474000,74474000,520506000,62764000,456752000,2399806000,132276000,1188216000,671051000,178024000,1991543000,4391349000,3133062000,41956000,3079841000,157757000,157757000,3290819000,18591000,11399000,18591000,3309410000,386520000,709893000,-14474000,1081939000,1081939000,4391349000,7335000,22209000,24130000,-25896000,27778000,-15818000,-108661000,-9476000,-133955000,53000,53000,19794000,19847000,-86330000,-86330000,-86330000,31039000,0,-8369000,0.02601,0.02161,0.00678,0.00167,-1.14097,0.72924,3.05878,0,0.13528,0.13236,6.26139,19.95424,-0.15435,0.00666,-0.0076,-58.14704,-204.39706
"46","2022_Q1",30.3843548387097,"Down",330839000,-538979000,-172725000,-366254000,-8144000,-4057000,-37000,-12201000,-12201000,1678000,-10523000,-10523000,-10523000,-10523000,1322319000,1322319000,80401000,80401000,406432000,81380000,323698000,1809152000,135341000,2115501000,665483000,183492000,2916325000,4725477000,179647000,51353000,128294000,3463126000,3418541000,3642773000,12031000,12031000,12031000,3654804000,401110000,699370000,-29807000,1070673000,1070673000,4725477000,-10523000,21522000,28886000,-24586000,15299000,-17788000,-948369000,-2675000,-968832000,2758000,2758000,467439000,470197000,-483336000,-483336000,-483336000,13378000,-1.45519152283669e-11,-30674000,-0.02462,-0.03181,-0.00983,-0.00223,2.91495,0.49664,3.41356,0,-0.19408,-0.18989,6.10168,19.74646,-0.56572,-0.00972,-0.02833,-98.8428,162.36726
"47","2022_Q2",27.0512903225806,"Down",400617000,-349025000,-170669000,-178356000,51592000,-857000,-87000,50735000,50735000,-12111000,38624000,38624000,38624000,38624000,1320743000,1320743000,68600000,68600000,572073000,65916000,506157000,1961416000,139308000,2168888000,758945000,249710000,3067141000,5028557000,3792446000,66605000,3714922000,241571000,241571000,4034017000,10596000,10596000,10596000,4044613000,388353000,737994000,-142403000,983944000,983944000,5028557000,38624000,20321000,33155000,23542000,115642000,-19010000,-231911000,-49693000,-300614000,-24908000,92000,210882000,185974000,1002000,1002000,1002000,71913000,0,88556000,0.12878,0.09641,0.03925,0.00768,2.29277,0.48622,4.11061,0,0.7101,0.7101,7.36537,18.08987,1.62811,0.03884,0.08904,-18.36584,-25.59976
"48","2022_Q3",23.0534375,"Down",362769000,-214955000,-168831000,-46124000,23939000,-4067000,-29000,19872000,19872000,-4864000,15008000,15008000,15008000,15008000,776305000,776305000,67380000,67380000,567771000,62893000,504234000,1411456000,138645000,2391350000,766421000,237340000,3296416000,4707872000,184940000,87140000,97800000,3593560000,3593560000,3778500000,21800000,9694000,21800000,3800300000,376956000,753002000,-222386000,907572000,907572000,4707872000,15008000,20259000,21989000,14556000,71812000,-17527000,-325871000,-5487000,-348885000,-15723000,3323000,-251368000,-267091000,-544164000,-544164000,-544164000,44198000,-1.81898940354586e-12,46091000,0.06599,0.04137,0.01654,0.00319,3.0711,0.37355,4.18733,0,0.2783,0.27594,6.72691,16.82933,0.85468,0.01615,0.04959,-17.56426,-32.42846
