"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",13.58359375,"Up",231392000,-215634000,15758000,-17856000,-17856000,-2098000,-7063000,-10039000,2977000,-1000,-9161000,1210000,-7951000,2497000,-5454000,-5454000,-1884000,-7338000,-7338000,35043000,35043000,161650000,161650000,33509000,30460000,230202000,285572000,407854000,268567000,39870000,693426000,923628000,151580000,151580000,34340000,18940000,5372000,204860000,569641000,32760000,32760000,602401000,807261000,116367000,923628000,-5454000,17856000,2627000,9284000,24313000,-21830000,2116000,2116000,-23946000,-23946000,-5819000,-29849000,-10006000,-10765000,-16301000,-16301000,22000,-16279000,15758000,603981000,715000,0.0681,-0.00907,-0.03171,-0.06306,-0.00794,-0.09744,1.1237,6.9372,0.65392,-0.15344,-0.15344,4.83855,0.01495,-0.00974,0.00095,36.10471,-271.18112
"32","2018_Q3",14.2703174603175,"Up",244395000,-210055000,34340000,-18086000,-18086000,16254000,-6898000,-10641000,3748000,-5000,9356000,-384000,8972000,-2505000,6467000,6467000,-1061000,5406000,5406000,16252000,16252000,152174000,152174000,37705000,34690000,206131000,286484000,420369000,275272000,39795000,706853000,912984000,144467000,144467000,33583000,15922000,5472000,193972000,561310000,32768000,32768000,594078000,788050000,124934000,912984000,6467000,18086000,2739000,-4656999.99999999,22635000,-20979000,208000,208000,-21187000,-21187000,-10275000,-31254000,-9927000,-10081000,-18700000,-18700000,-91000,-18791000,34340000,594893000,11209000,0.14051,0.06651,0.02212,0.04327,0.00592,2.07344,1.06268,6.30773,0.65159,0.1127,0.1127,5.09477,0.23367,0.00718,0.01489,16.85035,35.59991
"33","2018_Q4",13.5784126984127,"Down",242148000,-208511000,33637000,-17480000,-17480000,16157000,-7848000,-10663000,2822000,-7000,8309000,291000,8600000,-2827000,5773000,5773000,-734000,5039000,5039000,27227000,27227000,156401000,156401000,43388000,40135000,227016000,285787000,397839000,274361000,39010000,683626000,910642000,150146000,150146000,33376000,19871000,5679000,203393000,552964000,32998000,32998000,585962000,789355000,121287000,910642000,5773000,17480000,14147000,3510000,40910000,-17199000,263000,263000,-17462000,-17462000,-3299000,-20498000,-9251000,-9441000,10971000,10971000,4000,10975000,33637000,586340000,22775000,0.13891,0.06672,0.02081,0.04155,0.00553,4.51975,1.11614,6.50816,0.64388,0.10494,0.10149,5.04273,0.47429,0.0068,0.03075,16.62196,34.605
"34","2019_Q1",13.1272131147541,"Down",257211000,-233347000,23864000,-19477000,-19477000,4387000,-10089000,-12113000,1830000,194000,-5702000,34608000,28906000,2441000,31347000,31347000,-2211000,29136000,29136000,10389000,10389000,148919000,148919000,49382000,46288000,208690000,345729000,554911000,418093000,40593000,900640000,1109330000,181028000,181028000,39267000,19222000,6133000,239517000,633012000,36548000,36548000,669560000,909077000,200253000,1109330000,31347000,19477000,-30391000,8463000,28896000,-9597000,-11999.9999999999,-11999.9999999999,-9585000,-9585000,-53799000,-65148000,17282000,19418000,-16834000,-16834000,-3999.99999999999,-16838000,23864000,672279000,20289000,0.09278,0.01706,0.11328,0.1455,0.02626,0.69636,0.8713,4.53964,0.60602,0.59895,0.59133,5.28746,0.41708,0.03205,0.02232,27.73592,150.87531
"35","2019_Q2",12.8269841269841,"Down",271549000,-243057000,28492000,-19620000,-19620000,8872000,-10422000,-12295000,1873000,0,-1550000,-1602000,-3152000,1230000,-1922000,-1922000,-1811000,-3733000,-3733000,10428000,10428000,156767000,156767000,48936000,46276000,216131000,343964000,965973000,424308000,40872000,1309937000,1526068000,177659000,177659000,33912000,89015000,1958000,300586000,636537000,375407000,375407000,1011944000,1312530000,213538000,1526068000,-1922000,19620000,19411000,-10211000,26898000,-32184000,756000,756000,-32940000,-32940000,-2868000,-35195000,2267000,8342000,45000,45000,-8000,37000,28492000,670449000,-15133000,0.10492,0.03267,-0.01375,-0.01748,-0.00245,4.05384,0.71903,6.14659,0.43933,-0.07533,-0.07533,5.47989,-0.30539,-0.00296,-0.01202,23.16513,74.39371
"36","2019_Q3",14.54640625,"Up",289098000,-246558000,42540000,-20083000,-20083000,22457000,-11424000,-12399000,2244000,-1269000,11033000,-473000,10560000,-2970000,7590000,7590000,-2692000,4897999.99999999,4897999.99999999,30504000,30504000,159323000,159323000,44647000,41957000,234474000,352624000,1009578000,437940000,40800000,1362202000,1596676000,168815000,168815000,39364000,85070000,1732000,293249000,677385000,413612000,413612000,1090997000,1384246000,212430000,1596676000,7590000,20083000,19011000,-29047000,17637000,-17398000,4000,4000,-17402000,-17402000,-24252000,-41650000,44088000,44088000,20075000,20075000,3000,20078000,42540000,716749000,-935000.000000004,0.14715,0.07768,0.01694,0.02306,0.00307,-0.190890000000001,0.79957,6.51625,0.4489,0.0991,0.0971400000000001,5.84902,-0.0189200000000001,0.00365,-0.000700000000000003,16.13176,30.55818
"37","2019_Q4",17.141875,"Up",292691000,-254382000,38309000,-20490000,-20490000,17819000,-9942000,-11895000,1955000,-2000,7877000,-969000,6908000,-1816000,5092000,5092000,-1897000,3195000,3195000,37688000,37688000,150748000,150748000,51283000,47857000,239719000,352310000,1025871000,439867000,43613000,1378181000,1617900000,175894000,175894000,39719000,93903000,1908000,309516000,666647000,426665000,426665000,1093312000,1402828000,215072000,1617900000,5092000,20490000,19126000,-6640000,38068000,-17927000,0,0,-17927000,-17927000,-1000,-17136000,-11907000,-13725000,7207000,7207000,-23000,7184000,38309000,706366000,15558000,0.13089,0.06088,0.01092,0.01486,0.00197,4.86948,0.7745,6.5226,0.43659,0.06414,0.06344,5.87604,0.31234,0.00237,0.01154,17.45485,37.52612
"38","2020_Q1",18.8290322580645,"Up",300841000,-255695000,45146000,-20414000,-20414000,24732000,-9189000,-11455000,2278000,-11999.9999999999,15543000,-190000,15353000,-2673000,12680000,12680000,-2284000,10396000,10396000,40165000,40165000,154763000,154763000,46246000,45004000,241174000,367795000,1038017000,441973000,42994000,1405812000,1646986000,207585000,207585000,39691000,80152000,1316000,327428000,655968000,430451000,430451000,1086419000,1413847000,233139000,1646986000,12680000,20414000,20577000,-31952000,21719000,-5484000,4e+05,4e+05,-5884000,-5884000,103000.000000004,-5484000,-12540000,-13754000,2481000,2481000,-4000,2477000,45146000,695659000,10383000,0.15007,0.08221,0.03456,0.04459,0.00631,0.99875,0.73657,6.0644,0.42238,0.2083,0.20531,6.02791,0.20804,0.00765,0.00764,14.51943,26.50388
"39","2020_Q2",14.4757142857143,"Down",281564000,-267417000,14147000,-21934000,-21934000,-7787000,-9603000,-11552000,1955000,-6000,-17390000,-989000,-18379000,4381000,-13998000,-13998000,-2360000,-16358000,-16358000,94282000,94282000,144259000,144259000,41658000,40440000,280199000,376431000,1042762000,444407000,43286000,1419193000,1699392000,199178000,199178000,39615000,89198000,1344000,327991000,725325000,438887000,438887000,1164212000,1492203000,207189000,1699392000,-13998000,21934000,23778000,9199000,40913000,-50759000,779000,779000,-51538000,-51538000,-4300000,-55059000,68262000,68262000,54116000,54116000,1000,54117000,14147000,764940000,-31794000,0.05024,-0.02766,-0.0581,-0.07895,-0.00963,1.94364,0.85429,7.20213,0.45013,-0.32525,-0.32525,5.59833,-0.63216,-0.01159,-0.02253,47.40638,-86.12534
"40","2020_Q3",15.74359375,"Up",190566000,-194218000,-3652000.00000001,-21355000,-21355000,468000,-9771000,-10830000,945000,114000,-9303000,-4132000,-13435000,4475000,-8960000,-8960000,-1634000,-10594000,-10594000,84583000,84583000,125745000,125745000,37192000,35720000,247520000,370188000,1099295000,467803000,57601000,1469483000,1717003000,206272000,206272000,41715000,134406000,45700000,382393000,636522000,464832000,464832000,1101354000,1483747000,233256000,1717003000,-8960000,21355000,22497000,55660000,90552000,-12655000,1.16415321826935e-10,1.16415321826935e-10,-12655000,-12655000,112000,-12543000,-91724000,-87701000,-9692000,-9692000,-7000,-9699000,21823000,678237000,60353000,-0.01916,0.00246000000000001,-0.05559,-0.04542,-0.00617,-5.6969,0.64729,6.36102,0.39501,-0.20907,-0.20907,3.76076,1.19105,-0.0077,0.04385,27.20313,1268.49145
"41","2020_Q4",17.67,"Up",291775000,-246460000,45315000,-21247000,-21247000,24289000,-8646000,-11061000,2276000,139000,15643000,-1592000,14051000,-3827000,10224000,10224000,-4069000,6155000,6155000,89739000,89739000,137411000,137411000,31906000,31482000,259056000,361950000,1096860000,470685000,57152000,1458810000,1717866000,205701000,205701000,39463000,128623000,45846000,373787000,628287000,469671000,469671000,1097958000,1471745000,246121000,1717866000,10224000,21247000,25559000,-18152000,38878000,-13110000,0,0,-13110000,-13110000,-5937000,-20678000,-12714000,-14056000,4144000,4144000,12000,4156000,45536000,667750000,18101000,0.15531,0.08325,0.0211,0.02501,0.00358,2.94086,0.69306,5.97976,0.38871,0.12004,0.12004,5.69066,0.35303,0.00445,0.01308,12.6935,23.7972299999999
"42","2021_Q1",20.2260655737705,"Up",307935000,-257807000,50128000,-22259000,-22259000,28437000,-10037000,-12439000,2769000,-367000,18400000,-1491000,16909000,-5924000,10985000,10985000,-5028000,5957000,5957000,102018000,102018000,129585000,129585000,38821000,32985000,270424000,399335000,1116898000,472879000,52393000,1516233000,1786657000,236684000,236684000,39791000,121639000,39257000,398114000,612913000,517327000,517327000,1130240000,1528354000,258303000,1786657000,10985000,22259000,22017000,8155000.00000001,63416000,-16820000,49000,49000,-16869000,-16869000,-21140000,-37964000,-10682000,-12066000,13386000,13386000,-107000,13279000,50696000,652704000,47955000,0.16279,0.09235,0.01934,0.02306,0.00333,8.05019,0.67926,5.9169,0.36532,0.11606,0.11606,5.99935,0.93428,0.00417,0.03357,10.86251,19.36512
"43","2021_Q2",26.3396825396825,"Up",315319000,-282280000,33039000,-22656000,-22656000,16631000,-10747000,-12826000,2285000,-206000,5884000,12267000,18151000,-4376000,13775000,13775000,-4317000,9458000,9458000,31091000,31091000,146665000,146665000,45241000,37720000,222997000,412711000,1193078000,502566000,52198000,1605789000,1828786000,231700000,231700000,40166000,130751000,40648000,402617000,603098000,541713000,541713000,1144811000,1547428000,281358000,1828786000,13775000,22656000,13546000,-21893000,28084000,-30273000,151000,151000,-30424000,-30424000,-57075000,-87348000,-11651000,-11651000,-70915000,-70915000,-12000,-70927000,39287000,643264000,-8503000,0.10478,0.05274,0.03,0.03362,0.00517,-0.89903,0.55387,5.49985,0.35174,0.18205,0.17903,6.06949,-0.16367,0.00645,-0.0058,15.58208,36.80915
"44","2021_Q3",32.08765625,"Up",333918000,-283571000,50347000,-24011000,-24011000,26379000,-10711000,-12171000,3121000,-1661000,15668000,-4708000,10960000,-2873000,8087000,8087000,-5214000,2873000,2873000,140852000,140852000,157328000,157328000,36739000,30449000,334919000,435172000,1262107000,502331000,51783000,1697279000,2032198000,244536000,244536000,10789000,125942000,31947000,381267000,749079000,602573000,602573000,1351652000,1732919000,299279000,2032198000,8087000,24011000,27465000,-28946000,30617000,-23026000,349000,349000,-23375000,-23375000,-7842999.99999999,-32310000,111437000,111463000,109770000,109770000,-9000.00000000001,109761000,50390000,759868000,1291000,0.15078,0.079,0.0086,0.00959999999999999,0.00141,0.44936,0.87844,5.79031,0.37391,0.0553,0.0543799999999999,6.42749,0.0248500000000001,0.00173,0.00078,12.2845,23.46624
"45","2021_Q4",29.45625,"Down",332690000,-272756000,59934000,-24606000,-24606000,35328000,-9012000,-12032000,2853000,167000,26316000,112000,26428000,-5284000,21144000,21144000,-4924000,16220000,16220000,151253000,151253000,152409000,152409000,36334000,30054000,339996000,452145000,1250222000,502710000,57499000,1702367000,2042363000,240837000,240837000,11165000,119493000,19619000,371495000,746288000,585201000,585201000,1331489000,1702984000,339379000,2042363000,21143000,24605000,21508000,-25662000,41594000,-34658000,-279732.20842708,-279732.20842708,-21960201.756856,-21960201.756856,-5190000,-39848000,-2936000,8666000,10412000,10412000,-11000,10401000,59933000,757453000,4897000,0.18015,0.10619,0.04875,0.04779,0.00794,0.30191,0.91521,5.01794,0.37087,0.31,0.3046,6.35835,0.09359,0.00964,0.00291,10.11463,17.15919
"46","2022_Q1",24.4566129032258,"Down",333150000,-284667000,48483000,-25421000,-25421000,25881000,-8831000,-11801000,2708000,262000,17050000,-13710000,3340000,-2027000,1313000,1313000,-5137000,-3824000,-3824000,134606000,134606000,135062000,135062000,54596000,49212000,324264000,484247000,1249963000,513820000,56603000,1734210000,2058474000,263937000,263937000,11164000,99683000,10701000,374784000,743498000,594035000,594035000,1337533000,1712317000,346157000,2058474000,1314000,25422000,38087000,-15627000,49196000,-54422000,-838802.314453596,-838802.314453596,-29200873.845272,-29200873.845272,-7583000,-62005000,-2374000.00000001,-3805000.00000001,-16614000,-16614000,-33000,-16647000,51303000,754662000,-16719000,0.14553,0.07769,-0.01148,-0.01105,-0.00186,4.37212,0.8652,4.94665,0.36661,-0.07046,-0.06887,6.13847,-0.30806,-0.00226,-0.00986,12.08615,23.95796
"47","2022_Q2",19.4558064516129,"Down",341767000,-315039000,26728000,-27118000,-27118000,-390000,-9241000,-11593000,2517000,-165000,-9631000,19490000,9859000,-1496000,8363000,8363000,-5350000,3013000,3013000,70713000,70713000,159725000,159725000,58258000,52475000,288696000,488958000,1363867000,570188000,99339000,1852825000,2141521000,276313000,276313000,11164000,93821000,6930000,381298000,740707000,598066000,598066000,1338773000,1720071000,421450000,2141521000,8363000,27118000,6766000,-41346000,901000,-36441000,117000,117000,-36558000,-36558000,-25123000,-61564000,-3313000,-3313000,-63976000,-63976000,83000,-63893000,26728000,751871000,-49563000,0.07821,-0.00114,0.00882,0.00715,0.00141,-16.44972,0.75714,4.08132,0.35109,0.0568,0.05583,6.4428,-0.93433,0.0017,-0.02798,25.48481,-1746.55897
"48","2022_Q3",20.15546875,"Up",354374000,-305774000,48600000,-28862000,-28862000,19738000,-8629000,-11385000,2749000,7000,11109000,6126000.00000001,17235000,-3404000,13831000,13831000,-5926000,7905000,7905000,99170000,99170000,166387000,166387000,53547000,49119000,319104000,514661000,1406954000,577781000,93766000,1921615000,2240719000,296935000,296935000,11164000,96419000,3847000,404518000,737916000,646900000,646900000,1384816000,1789334000,451385000,2240719000,13831000,28862000,13757000,8393000,64843000,-32097000,4004000,4004000,-36101000,-36101000,-885999.999999996,-34424000,-3312000,-3312000,27107000,27107000,1350000,28457000,48600000,749080000,28300000,0.13714,0.0557,0.02231,0.01751,0.00353,3.58001,0.78885,3.9641,0.3343,0.14101,0.13877,6.32135,0.50482,0.00428,0.01532,13.37263,32.92684
