"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q1",122.956557377049,"Up",937914000,-759474000,178440000,-84096000,-80603000,-3493000,94344000,-13704000,-10324000,1784000,-5164000,80640000,-17410000,63230000,-34269000,28961000,28961000,-460000,28501000,28501000,515952000,515952000,494049000,494049000,170196000,246544000,33205000,213339000,1426741000,952178000,346729000,69091000,171852000,105786000,1298907000,2725648000,792036000,523296000,268740000,34921000,826957000,723325000,320277000,242094000,180173000,61921000,78183000,1043602000,1870559000,512833000,511367000,-197631000,826569000,28520000,855089000,2725648000,28961000,38675000,12322000,128058000,208016000,-50585000,-63934000,1900000,-850000.000000004,-23393000,120689000,120689000,21361000,142050000,133019000,758246000,244761000,0.19025,0.10059,0.03039,0.03333,0.01046,8.5878,1.72529,2.18756,0.27819,1.59981,1.53334,52.64675,46.39676,13.73886,0.01474,0.12658,1.8215,2.5682
"29","2018_Q2",129.4915625,"Up",967391000,-796511000,170880000,-83846000,-80440000,-3406000,87034000,-9832000,-9800000,1687000,-1719000,77202000,-7895000,69307000,-11891000,57416000,57416000,-624000,56792000,56792000,420172000,420172000,570548000,570548000,185960000,261157000,38610000,222547000,1437837000,977514000,345808000,65904000,173370000,106534000,1323322000,2761159000,758962000,523962000,2.35e+08,34626000,793588000,723587000,321025000,242702000,181059000,61643000,78323000,1044612000,1838200000,510078000,572084000,-189608000,892554000,30405000,922959000,2761159000,57416000,36259000,8708000,-112939000,-10556000,-66969000,-70192000,-2010000,-12952000,-14962000,-95710000,-95710000,-69000,-95779000,123293000,758213000,-44724000,0.17664,0.08997,0.05871,0.06153,0.02057,-0.78751,1.81182,1.99164,0.2746,3.1566,3.06799,53.76937,49.60979,-2.48584,0.02836,-0.02234,2.74177,3.88401
"30","2018_Q3",134.038888888889,"Up",928262000,-776897000,151365000,-79738000,-76339000,-3399000,71627000,-9282000,-9973000,1248000,-557000,62345000,-10013000,52332000,-9130000,43202000,43202000,-1325000,41877000,41877000,440233000,440233000,507189000,507189000,184916000,256206000,36949000,219257000,1388544000,966313000,345426000,61195000,170720000,113511000,1311739000,2700283000,747018000,524981000,222037000,34243000,781261000,723002000,307901000,231228000,170418000,60810000,76673000,1030903000,1812164000,500701000,583522000,-226523000,857700000,30419000,888119000,2700283000,43202000,36913000,6426000,22326000,108867000,-39730000,-42841000,172000,-1104000,-44457000,21569000,21569000,-796000,20773000,108540000,757245000,100266000,0.16306,0.07716,0.04511,0.04715,0.01551,2.3943,1.77731,2.04045,0.28043,2.32643,2.27942,51.56845,47.64847,5.57015,0.02144,0.05133,2.92069,4.42587
"31","2018_Q4",80.7039682539683,"Down",861653000,-741998000,119655000,-85925000,-82134000,-3791000,33730000,-10267000,-9983000,1413000,-1697000,23463000,8011000,31474000,1190000,32664000,32664000,-508000,32156000,32156000,282357000,282357000,462619000,462619000,182743000,378780000,37221000,220619000,1306499000,966581000,386844000,91393000,183698000,111753000,1353425000,2659924000,670223000,452197000,218026000,36947000,782214000,727183000,239372000,183676000,130646000,53030000,55696000,966555000,1748769000,510367000,609962000,-239009000,881320000,29835000,911155000,2659924000,32664000,36099000,-2135000,-86935000,-20307000,-45216000,-137555000,2464000,-53000,2411000,-155451000,-155451000,-2180000,-157631000,69829000,764130000,-63512000,0.13887,0.03915,0.03732,0.03529,0.01209,-1.97512,1.67026,1.91929,0.28728,1.80364,1.76592,48.33047,49.4336,-3.56241,0.01679,-0.03317,6.89933,14.28322
"32","2019_Q1",64.3091803278689,"Down",866736000,-760331000,106405000,-80140000,-75892000,-4248000,26265000,-9743000,-11248000,2370000,-865000,16522000,-99980000,-83458000,49231000,-34227000,-34227000,7003000,-27224000,-27224000,264980000,264980000,418607000,418607000,175572000,390565000,36878000,249789000,1249724000,984241000,389138000,99602000,143681000,75848000,1373379000,2623103000,643831000,452320000,191511000,101323000,816349000,729805000,217447000,179672000,138771000,40901000,29542000,947252000,1763601000,501528000,576025000,-246088000,831465000,28037000,859502000,2623103000,-34227000,37427000,37541000,30643000,71384000,-59423000,-132403000,61135000,-2137000,42568000,-18451000,-18451000,26000,-18425000,63692000,831128000,-14319000,0.12277,0.0303,-0.03141,-0.03167,-0.01038,0.52597,1.53087,2.05189,0.31685,-1.53302,-1.50669,48.80697,46.82082,-0.806320000000001,-0.01427,-0.0075,8.88884,21.55523
"33","2019_Q2",47.6980952380952,"Down",880038000,-762490000,117548000,-90749000,-86974000,-3775000,26799000,-10370000,-11932000,2358000,-796000,16429000,-17715000,-1286000,-2331000,-3617000,-3617000,157000,-3460000,-3460000,262169000,262169000,480828000,480828000,186272000,423141000,33206000,266969000,1352410000,990665000,471747000,95611000,142106000,234030000,1462412000,2814822000,668922000,452979000,215943000,169087000,940055000,738077000,282588000,176738000,134863000,41875000,105850000,1020665000,1960720000,499475000,565864000,-241633000,823706000,30396000,854102000,2814822000,-3617000,36605000,6276000,-41112000,-1848000,-59531000,-59983000,64779000,-879000,57350000,-4481000,-4481000,1477000,-3004000,63404000,907164000,-34908000,0.13357,0.03045,-0.00393,-0.00405,-0.00123,10.08902,1.43865,2.29565,0.32228,-0.19732,-0.19732,50.18695,46.97444,-1.99074,-0.00169,-0.01708,10.17278,24.06788
"34","2019_Q3",41.85,"Down",764806000,-666828000,97978000,-79318000,-74170000,-5148000,18660000,-11465000,-11575000,1891000,-1781000,7195000,181795000,188990000,-44239000,144751000,144751000,545000,145296000,145296000,310779000,310779000,458504000,458504000,184435000,289417000,32154000,257263000,1243135000,993933000,467766000,90627000,142151000,234988000,1461699000,2704834000,628540000,415301000,213239000,54447000,708717000,737757000,299208000,182512000,134644000,47868000,116696000,1036965000,1745682000,483809000,701647000,-249211000,936245000,22907000,959152000,2704834000,144751000,37868000,-167731000,-22006000,-7118000,-33866000,209496000,-114197000,-4374000,-148571000,53807000,53807000,-4359000,49448000,56528000,792204000,44895000,0.12811,0.0244,0.18998,0.15148,0.05372,0.30899,1.75406,1.82003,0.29288,8.39321,8.32797,44.18002,54.08342,2.59342,0.07086,0.02189,8.51658,25.79984
"35","2019_Q4",32.38890625,"Down",737367000,-659313000,78054000,-67270000,-63020000,-4250000,10784000,-9350000,-10351000,1515000,-514000,1434000,-9260000,-7826000,-431000,-8257000,-8257000,1334000,-6923000,-6923000,323142000,323142000,462244000,462244000,178916000,263522000,32795000,230727000,1227824000,961793000,455830000,88325000,142104000,225401000,1417623000,2645447000,605459000,405766000,199693000,67419000,696882000,736044000,292116000,175370000,128409000,46961000,116746000,1028160000,1725042000,488879000,686714000,-277175000,898418000,21987000,920405000,2645447000,-8257000,37495000,7448000,2187000,38873000,-35604000,-35604000,13125000,-169000,12956000,16225000,16225000,-4115000,12110000,48279000,803463000,15293000,0.10586,0.01463,-0.00939,-0.00752,-0.00262000000000001,-2.20901,1.76188,1.87422,0.30372,-0.41026,-0.40886,43.69641,53.2403,0.90626,-0.00343000000000002,0.00759,9.94886,44.54015
"36","2020_Q1",21.4693548387097,"Down",726189000,-660647000,65542000,-83125000,-78332000,-4793000,-17583000,-10684000,-10255000,740000,-1169000,-28267000,-53309000,-81576000,10912000,-70664000,-70664000,3280000,-67384000,-67384000,359536000,359536000,423155000,423155000,143439000,276140000,34452000,208925000,1202270000,988277000,445035000,84369000,142187000,161817000,1433312000,2635582000,634382000,426055000,208327000,61449000,719925000,746179000,293496000,188323000,140010000,48313000,94388000,1039675000,1759600000,490468000,619448000,-253741000,856175000,19807000,875982000,2635582000,-70664000,39985000,32776000,65693000,67790000,-29879000,-29879000,-8607000,2880000,-5727000,32184000,32184000,3605000,35789000,22402000,807628000,47304000,0.09025,-0.02421,-0.09279,-0.07692,-0.02557,-0.70201,1.66999,2.00872,0.30643,-3.99587,-3.98234,43.06303,50.7712,2.80513,-0.03408,0.02393,20.00232,-25.48439
"37","2020_Q2",12.128253968254,"Down",654890000,-611747000,43143000,-75121000,-70671000,-4450000,-31978000,-12246000,-10237000,1431000,-3440000,-44224000,-82332000,-126556000,14117000,-112439000,-112439000,1851000,-110588000,-110588000,301841000,301841000,335827000,335827000,168036000,286834000,27859000,233240000,1092538000,909511000,482214000,74306000,141870000,266038000,1391725000,2484263000,560366000,357003000,203363000,62530000,699662000,744745000,312295000,176546000,133123000,43423000,135749000,1057040000,1756702000,492342000,507287000,-289517000,710112000,17449000,727561000,2484263000,-112439000,37763000,62191000,10455000,-2030000,-50109000,-50109000,1523000,-1137000,386000,-51753000,-51753000,-6200000,-57953000,5785000,807275000,-47986000,0.06588,-0.04883,-0.16887,-0.152,-0.04452,0.43392,1.56152,2.41451,0.32496,-6.54998,-6.54998,38.78826,42.05898,-2.84215,-0.05987,-0.02598,87.36975,-15.80568
"38","2020_Q3",13.91125,"Up",340467000,-400838000,-60371000,-71784000,-68271000,-3513000,-132155000,-20483000,-12771000,-3011000,-4701000,-152638000,-22328000,-174966000,38982000,-135984000,-135984000,1765000,-134219000,-134219000,388035000,388035000,270925000,270925000,144909000,310808000,36449000,182651000,1114677000,884576000,489344000,70872000,1.42e+08,276472000,1373920000,2488597000,454117000,243903000,210214000,56358000,572481000,982897000,327028000,179607000,135509000,44098000,147421000,1309925000,1882406000,494645000,373068000,-277296000,590417000,15774000,606191000,2488597000,-135984000,42460000,10180000,-40860000,-124204000,-11948000,-11948000,237354000,-5090000,232264000,96112000,96112000,2164000,98276000,-89695000,1039255000,-181485000,-0.17732,-0.38816,-0.39422,-0.22141,-0.05393,1.35216,1.9471,3.1053,0.41761,-7.93492,-7.93492,20.12815,34.905,-10.72925,-0.06805,-0.09201,-7.26038,-4.9277
"39","2020_Q4",27.82765625,"Up",683200000,-598714000,84486000,-61728000,-60059000,-1669000,22758000,-14463000,-17985000,738000,2784000,8295000,-3972000,4323000,2386000,6709000,6709000,-2328000,4381000,4381000,462666000,462666000,389044000,389044000,148800000,254449000,31873000,222576000,1254959000,882476000,500556000,69690000,142079000,288787000,1383032000,2637991000,604250000,372845000,231405000,54294000,680036000,982659000,343961000,185263000,140573000,44690000,158698000,1326620000,2006656000,496485000,377449000,-259231000,614703000,16632000,631335000,2637991000,6709000,36504000,-1865000,58354000,99702000,-10387000,-27393000,-5566000,-1953000,-7519000,64790000,64790000,-1682000,63108000,59262000,1036953000,104843000,0.12366,0.03331,0.00641,0.00694,0.00166,23.93129,1.84543,3.17843,0.39308,0.2588,0.2588,40.35885,36.31251,6.19342,0.00218000000000002,0.0521,9.69063999999999,25.23451
"40","2021_Q1",37.3104918032787,"Up",696882000,-616593000,80289000,-66589000,-64610000,-1979000,13700000,-14159000,-18174000,1238000,2777000,-459000,-32563000,-33022000,5362000,-27660000,-27660000,481000,-27179000,-27179000,438438000,438438000,379564000,379564000,143742000,297985000,29748000,182260000,1259729000,892309000,459906000,67679000,142250000,183866000,1352215000,2611944000,496111000,385284000,110827000,40731000,671280000,982760000,333793000,201843000,152230000,49613000,123312000,1316553000,1987833000,498736000,350270000,-241896000,607110000,17001000,624111000,2611944000,-27660000,37502000,44999000,-44243000,10598000,-18155000,-17430000,-16875000,-541000,-17416000,-24248000,-24248000,2653000,-21595000,51202000,1023491000,-16558000,0.11521,0.01966,-0.039,-0.04355,-0.01041,0.60922,1.87661,3.18506,0.39185,-1.60551,-1.60551,41.166,35.86302,-0.97811,-0.01372,-0.00836,11.42637,42.7046
"41","2021_Q2",30.9363492063492,"Down",668967000,-600675000,68292000,-59826000,-58054000,-1772000,8466000,-22087000,-17784000,786000,-5089000,-13621000,-20156000,-33777000,-936000,-34713000,-34713000,849000,-33864000,-33864000,398847000,398847000,383692000,383692000,171086000,292336000,30639000,177936000,1245961000,857609000,461791000,65863000,142307000,253621000,1319400000,2565361000,592031000,364168000,227863000,43441000,661138000,981486000,336791000,196525000,146790000,49735000,140266000,1318277000,1979415000,499688000,316406000,-246048000,570046000,15900000,585946000,2565361000,-34713000,33528000,-803000,-5096000,-7084000,-36254000,-36254000,1632000,-344000,1288000,-42050000,-42050000,5358000,-36692000,41994000,1024927000,1580000,0.10209,0.01266,-0.05062,-0.05779,-0.0132,-0.04666,1.88457,3.37815,0.39953,-1.99774,-1.99774,39.46431,33.62867,0.09321,-0.01739,0.000809999999999998,14.9088,73.95228
"42","2021_Q3",24.021875,"Down",533185000,-534118000,-933000,-52018000,-50085000,-1933000,-52951000,-16370000,-18125000,393000,1362000,-69321000,-12667000,-81988000,17459000,-64529000,-64529000,918000,-63611000,-63611000,335494000,335494000,321770000,321770000,186422000,309285000,33835000,188154000,1152971000,849392000,474934000,64143000,142769000,268022000,1324326000,2477297000,549561000,323315000,226246000,55738000,628813000,981643000,333672000,198409000,147870000,50539000,135263000,1315315000,1944128000,501365000,252795000,-236164000,517996000,15173000,533169000,2477297000,-64529000,35444000,-15535000,-9030000,-53650000,-16345000,-16310000,10284000,132000,10416000,-59544000,-59544000,-1179000,-60723000,-17507000,1037381000,-60341000,-0.00175000000000002,-0.09931,-0.1193,-0.11931,-0.02568,0.94859,1.83357,3.64636,0.41876,-3.7526,-3.7526,31.45413,30.55809,-3.55969,-0.03341,-0.03169,-40.09179,-13.25541
"43","2021_Q4",23.546875,"Down",526690000,-534817000,-8127000,-62186000,-60367000,-1819000,-70313000,-19851000,-18243000,-1114000,-494000,-90164000,-2579000,-92743000,-32121000,-124864000,-124864000,1691000,-123173000,-123173000,253281000,253281000,308907000,308907000,198180000,311270000,30052000,198129000,1071638000,808666000,438287000,61980000,142668000,233639000,1246953000,2318591000,458840000,336440000,122400000,40102000,607629000,981010000,323500000,191498000,141562000,49936000,132002000,1304510000,1912139000,502881000,129622000,-239308000,393195000,13257000,406452000,2318591000,-124864000,36049000,36420000,1641000,-50754000,-20271000,-20271000,-16740000,319000,-16421000,-87446000,-87446000,3674000,-83772000,-34264000,1021112000,-20773000,-0.01543,-0.1335,-0.23386,-0.30304,-0.05312,0.16865,1.76364,4.70446,0.4404,-7.20346,-7.20346,30.80213,22.99501,-1.21486,-0.07034,-0.01186,-22.4092600000004,-10.92019
"44","2022_Q1",16.3509677419355,"Down",601349000,-573353000,27996000,-60427000,-58604000,-1823000,-32431000,-20773000,-18359000,-1793000,-621000,-53204000,-27740000,-80944000,-23794000,-104738000,-104738000,2551000,-102187000,-102187000,248010000,248010000,317469000,317469000,158075000,271343000,26313000,162217000,994897000,784348000,447248000,60375000,142282000,216786000,1231596000,2226493000,449599000,348133000,101466000,56111000,597615000,980604000,316914000,173378000,133758233.732786,46810764.4809801,135122000,1297518000,1895133000,504514000,25553000,-205184000,324883000,6477000,331360000,2226493000,-104738000,33987000,55534000,11195000,-4022000,-18622000,-18427000,14226000,-6300000,7926000,-14523000,-14523000,3260000,-11263000,1556000,1036715000,17923000,0.04656,-0.05393,-0.16993,-0.30839,-0.0459,-0.17539,1.66478,5.71926,0.46563,-5.97615,-5.97615,35.16837,18.99996,1.04818,-0.06065,0.01064,506.87982,-24.31948
"45","2022_Q2",5.83145161290323,"Down",612984000,-591442000,21542000,-53650000,-51904000,-1746000,-32108000,-20744000,-18177000,-1356000,-1211000,-52852000,-8286000,-61138000,-652000,-61790000,-61790000,430000,-61360000,-61360000,252911000,252911000,337582000,337582000,196921000,306436000,26773000,198890000,1093850000,745343000,443943000,53469000,142337000,248137000,1189286000,2283136000,517286000,394683000,122603000,53605000,725261000,979922000,307173000,170328000,126915000,43413000,136845000,1287095000,2012356000,504951000,-35807000,-193393000,275751000,-4971000,270780000,2283136000,-61790000,32133000,2393000,15051000,-12213000,-29937000,20071000,-3096000,123000,-2973000,4885000,4885000,5123000,10008000,25000,1033527000,-14209000,0.03514,-0.05238,-0.1001,-0.2266,-0.02688,0.23157,1.50822,7.4317,0.45268,-3.58848,-3.58848,35.84881,16.1266,-0.83098,-0.03808,-0.00882,31224.64,-24.3122
"46","2022_Q3",7.0534375,"Up",605917000,-590541000,15376000,-54019000,-52282000,-1737000,-38643000,-23409000,-18454000,-3446000,-1509000,-62052000,29906000,-32146000,-2005000,-34151000,-34151000,904000,-33247000,-33247000,250458000,250458000,350001000,350001000,183568000,215079000,30360000,157881000,999106000,702507000,438769000,51015000,142213000,245541000,1141276000,2140382000,478743000,357327000,121416000,51016000,645582000,979227000,293860000,162963000,120438000,42525000,130897000,1273087000,1918669000,506079000,-69054000,-209714000,227311000,-5598000,221713000,2140382000,-34151000,31412000,-29815000,44532000,11978000,38292000,-11684000,-1106000,2000,-1104000,-810000,-810000,1980000,1170000,-7231000,1030243000,77598000,0.02538,-0.06378,-0.05487,-0.14996,-0.01553,-2.33399,1.54761,8.65384,0.48134,-1.93419,-1.93419,35.25001,13.22411,4.51437,-0.02151,0.0502,-107.83916,-20.1792
