"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2019_Q1",31.4840983606557,"Down",244306000,-144947000,99359000,-49358000,-49358000,50001000,409000,459000,50410000,50410000,-13968000,36442000,36442000,36442000,36442000,189864000,189864000,84360000,84360000,60920000,17823000,17823000,352967000,85807000,20058000,1615000,13145000,5298000,105865000,458832000,104670000,74853000,99000,29718000,104670000,22722000,14502000,8220000,22722000,127392000,150000,36865000,-1.8e+07,307824000,4601000,331440000,331440000,458832000,36442000,2953000,6682000,1886000,47963000,-13283000,-13283000,161000,161000,161000.000000007,34841000,34841000,34841000,52954000,0,55525000,0.4067,0.20467,0.14917,0.10995,0.07942,1.52365,3.37219,0.38436,0,0.39092,0.38833,2.62075,3.55385,0.59563,0.1029,0.15678,-3.58545,-3.7972
"33","2019_Q2",22.7652380952381,"Down",292590000,-176896000,115694000,-52690000,-52690000,63004000,805000,855000,63809000,63809000,-14979000,48830000,48830000,48830000,48830000,243042000,243042000,94666000,94666000,67814000,9045000,9045000,414567000,88608000,19975000,1615000,13145000,5215000,108583000,523150000,120911000,82805000,8557000,29549000,120911000,23847000,15545000,8302000,23847000,144758000,150000,37028000,-1.8e+07,356654000,2560000,378392000,378392000,523150000,48830000,3955000,1629000,4866000,59280000,-6225000,-6225000,123000,123000,123000,53178000,53178000,53178000,66959000,0,80579000,0.39541,0.21533,0.16689,0.12905,0.09334,1.65019,3.4287,0.38256,-5.42101086242752e-20,0.52371,0.52036,3.1381,4.05674,0.86423,0.1214,0.20033,-3.62971,-3.85756
"34","2019_Q3",19.0996875,"Down",260709000,-157184000,103525000,-51366000,-51366000,52159000,1136000,1187000,53295000,53295000,-12217000,41078000,41078000,41078000,41078000,250060000,250060000,84310000,84310000,80834000,13758000,13758000,428962000,95785000,19449000,1615000,13145000,4689000,115234000,544196000,103512000,77942000,0,25570000,103512000,23650000,15974000,7676000,23650000,127162000,150000,37307000,-1.8e+07,397732000,-155000,417034000,417034000,544196000,41078000,3400000,1313000,-28899000,16892000,-10076000,-10076000,202000,202000,202000,7018000,7018000,7018000,55559000,-1.16415321826935e-10,28801000,0.39709,0.20007,0.15756,0.0985,0.07548,0.70113,4.14408,0.30492,0,0.4405,0.43768,2.79569,4.47041,0.30884,0.09321,0.06536,-4.5008,-4.79419
"35","2019_Q4",21.26359375,"Up",220891000,-140338000,80553000,-49535000,-49535000,31018000,1184000,1234000,32202000,32202000,-7393000,24809000,24809000,24809000,24809000,269853000,269853000,76339000,76339000,72163000,11440000,11440000,429795000,103725000,19153000,1615000,13145000,4393000,122878000,552673000,223269000,58940000,25000,29057000,223269000,23910000,16819000,7091000,23910000,247179000,150000,37447000,-1.8e+07,287294000,-1397000,305494000,305494000,552673000,24809000,4170000,1296000,585000,30860000,-11145000,-11145000,78000,78000,78000,19793000,19793000,19793000,35188000,0,32021000,0.36467,0.14042,0.11231,0.08121,0.04489,1.2907,1.92501,0.80911,8.67361737988404e-19,0.26597,0.26429,2.36814,3.27355,0.34329,0.07531,0.09721,-7.66889,-8.69988
"36","2020_Q1",19.3467741935484,"Down",239915000,-155337000,84578000,-50824000,-50824000,33754000,817000,666000,34571000,34571000,-8435000,26136000,26136000,26136000,26136000,156200000,156200000,84841000,84841000,70702000,9714000,9714000,321457000,111316000,19420000,1615000,13145000,4660000,130736000,452193000,97037000,66202000,402000,30433000,97037000,23547000,15987000,7560000,23547000,120584000,150000,37572000,-1.8e+07,313430000,-1543000,331609000,331609000,452193000,26136000,3914000,-624000,2984000,32410000,-10869000,-10869000,53000,53000,-135194000,-113653000,-113653000,-113653000,37668000,1.86264514923096e-09,38218000,0.35253,0.14069,0.10894,0.07882,0.0578,1.46227,3.31273,0.36363,0,0.28014,0.27871,2.57155,3.55277,0.40964,0.4544,0.10761,-4.14676,-4.6276
"37","2020_Q2",23.8822222222222,"Up",263568000,-166994000,96574000,-51997000,-51997000,44577000,731000,781000,45308000,45308000,-10766000,34542000,34542000,34542000,34542000,202668000,202668000,84803000,84803000,73433000,5877000,5877000,366781000,111638000,71793000,1615000,13145000,57033000,183431000,550212000,108555000,65709000,10233000,32613000,117429000,22992000,15564000,7428000,66547000,183976000,150000,37641000,-1.8e+07,347972000,-1527000,366236000,366236000,550212000,34542000,4446000,-320000,11943000,50611000,-4150000,-4150000,7000,7000,7000,46468000,46468000,46468000,49023000,52429000,67582000,0.36641,0.16913,0.13106,0.09432,0.06278,1.95652,3.12343,0.50234,0.09529,0.37026,0.36841,2.82519,3.92409,0.72441,0.07821,0.15302,-3.06466,-3.37033
"38","2020_Q3",30.97390625,"Up",251611000,-158797000,92814000,-51169000,-51169000,41645000,1021000,1072000,42666000,42666000,-10012000,32654000,32654000,32654000,32654000,233867000,233867000,72619000,72619000,67776000,10291000,10291000,384553000,113353000,68909000,1615000,13145000,54149000,182262000,566815000,93879000,60829000,649000,32401000,108146000,59156000,16416000,42740000,59156000,167302000,150000,37845000,-1.8e+07,380626000,-1108000,399513000,399513000,566815000,32654000,4500000,733000,-1344000,36543000,-5484000,-5484000,140000,140000,139999.999999985,31199000,31199000,31199000,46145000,-1.49011611938477e-08,49329000,0.36888,0.16551,0.12978,0.08173,0.05761,1.51066,3.55587,0.41876,0,0.34996,0.34829,2.69656,4.28005,0.52867,0.07119,0.10755,-5.06809,-5.61573
"39","2020_Q4",38.82703125,"Up",222814000,-140719000,82095000,-48883000,-48883000,33212000,982000,1032000,34194000,34194000,-7631000,26563000,26563000,26563000,26563000,261660000,261660000,72523000,72523000,61202000,11592000,11592000,406977000,115771000,66562000,1615000,13145000,51802000,182333000,589310000,95410000,58931000,867000.000000002,35612000,109164000,57944000,17177000,40767000,57944000,167108000,150000,38167000,-22319000,407189000,-985000,422202000,422202000,589310000,26563000,4469000,723000,6301000,38056000,-6203000,-6203000,-4060000,259000,-4060000,27793000,27793000,27793000,37681000,0,45410000,0.36845,0.14906,0.11922,0.06292,0.04507,1.70952,3.72812,0.3958,-1.38777878078145e-17,0.28502,0.28379,2.39076,4.52855,0.48724,0.05532,0.09458,-6.94408,-7.87848
"40","2021_Q1",48.9481967213115,"Up",262401000,-163744000,98657000,-52345000,-52345000,46312000,975000,824000,47287000,47287000,-11074000,36213000,36213000,36213000,36213000,304518000,304518000,84921000,84921000,63482000,7791000,7791000,460712000,120627000,67307000,1615000,13145000,52547000,187934000,648646000,124708000,74369000,7863000,42476000,141688000,54621000,14823000,39798000,54621000,196309000,-4950000,38438000,-19133000,443402000,-5420000,452337000,452337000,648646000,36213000,3819000,12557000,-107000.000000002,52482000,-8044000,-8044000,-1580000,334000,-1580000,42858000,42858000,42858000,50131000,16980000,53054000,0.37598,0.17649,0.13801,0.08006,0.05583,1.46505,3.2516,0.43399,0.02618,0.38844,0.38728,2.81468,4.90514,0.56909,0.06912,0.10126,-5.73573,-6.20871
"41","2021_Q2",45.6707936507936,"Down",293367000,-176149000,117218000,-50547000,-50547000,66671000,276000,276000,66947000,66947000,-15783000,51164000,51164000,51164000,51164000,352519000,352519000,103749000,103749000,63075000,7775000,7775000,527118000,120550000,63993000,1615000,13145000,49233000,184543000,711661000,133184000,74467000,13724000,44993000,149665000,53056000,16054000,37002000,53056000,202721000,-4950000,38618000,-19133000,494566000,-161000,508940000,508940000,711661000,51164000,4627000,3291000,-7553000,51529000,-3667000,-3667000,139000,139000,139000,48001000,48001000,48001000,71298000,0,75861000,0.39956,0.22726,0.1744,0.10053,0.07189,1.4827,3.52199,0.39832,3.46944695195361e-18,0.54869,0.54716,3.14609,5.511,0.81354,0.09104,0.13498,-4.9443,-5.28744
"42","2021_Q3",43.81171875,"Down",271809000,-163760000,108049000,-46459000,-46459000,61590000,63000.0000000001,63000,61653000,61653000,-14489000,47164000,47164000,47164000,47164000,405444000,405444000,82861000,82861000,68816000,8164000,8164000,565285000,123478000,62280000,1615000,13145000,47520000,185758000,751043000,124198000,80544000,119000,43535000,139994000,52973000,16947000,36026000,52973000,192967000,-4950000,38960000,-19133000,541730000,1469000,558076000,558076000,751043000,47164000,4606000,3464000,4114000,59348000,-6687000,-6687000,264000,264000,264000,52925000,52925000,52925000,66196000,0,78112000,0.39752,0.22659,0.17352,0.08451,0.0628,1.65618,4.03792,0.34577,0,0.50564,0.50305,2.91403,6.03613,0.83743,0.07719,0.12783,-6.1249,-6.58295
"43","2021_Q4",51.8640625,"Up",245824000,-150091000,95733000,-47994000,-47994000,47739000,-339000,-339000,47400000,47400000,-11728000,35672000,35672000,35672000,35672000,153306000,153306000,75669000,75669000,71125000,13094000,13094000,313194000,126372000,57910000,1615000,13145000,43150000,184282000,497476000,116283000,71368000,297000,44618000,130617000,24744000,17562000,7182000,50843000,181460000,-4950000,39204000,-19133000,298541000,2354000,316016000,316016000,497476000,36687000,4496000,3721000,-10610000,34294000,-6628000,-6628000,72000,72000,-279804000,-252138000,-252138000,-252138000,52235000,40433000,46725000,0.38944,0.1942,0.14511,0.11288,0.07171,1.30985,2.3978,0.57421,0.08128,0.38236,0.38108,2.63491,3.44033,0.50083,0.82779,0.12258,-2.16087,-2.36437999999999
"44","2022_Q1",43.4767741935484,"Down",261210000,-160594000,100616000,-48791000,-48791000,51825000,312000,312000,52137000,52137000,-11991000,40146000,40146000,40146000,40146000,193589000,193589000,86442000,86442000,71480000,13431000,13431000,364942000,131027000,61268000,1615000,13145000,46508000,192295000,557237000,132394000,88754000,89000,43551000,147194000,54046000,17294000,36752000,54046000,201240000,-4950000,39391000,-19133000,337672000,3017000,355997000,355997000,557237000,39131000,4368000,3028000,2072000,48599000,-8332000,-8332000,16000,16000,16000.0000000596,40283000,40283000,40283000,56193000,14800000,61924000,0.38519,0.1984,0.15369,0.11277,0.07204,1.54247,2.47933,0.56529,0.02656,0.43041,0.4288,2.80049,3.86979,0.6639,0.0945,0.14576,-3.1817,-3.44986
"45","2022_Q2",46.6412903225806,"Up",311712000,-186941000,124771000,-54443000,-54443000,70328000,-15000,-15000,70313000,70313000,-16497000,53816000,53816000,53816000,53816000,245535000,245535000,98616000,98616000,69934000,8927000,8927000,423012000,131917000,57757000,1615000,13145000,42997000,189674000,612686000,139068000,84920000,15249000,38899000,153346000,51050000,16342000,34708000,51050000,204396000,-4950000,39621000,-19133000,391488000,1264000,408290000,408290000,612686000,53816000,4679000,3338000,-5175000,56658000,-4770000,-4770000,58000,58000,58000,51946000,51946000,51946000,75007000,14278000,81559000,0.40028,0.22562,0.17265,0.13181,0.08784,1.51552,2.75855,0.50061,0.0233,0.57697,0.57481,3.34193,4.43044,0.87441,0.11363,0.1722,-3.08314,-3.28826000000004
"46","2022_Q3",49.9921875,"Up",283158,-181673,101485,-49924,-49924,51561,-7,-7,51554,51554,-12270,39284,39284,39284,39284,273037000,273037000,88241000,88241000,78789000,10417000,10417000,450484000,129852000,55092000,1615000,13145000,40332000,184944000,635428000,126609000,90347000,296000,35966000,139758000,48824000,16078000,32746000,48824000,188582000,-4950000,39853000,-19133000,430772000,304000,446846000,446846000,635428000,-53722900,-4669766,-3331133,5151763,-56572036,4763373,4763373,-57889,-57889,-57889,-51866552,-51866552,-51866552,-4618205,0,5309201,0.3584,0.18209,0.13874,9e-05,6e-05,135.1492,3.22331,0.42203,0,0.000419999999999976,0.000419999999999976,0.00302999999999987,4.84131,0.05689,8e-05,0.01071,59.12189,-5295.41708
