"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2019_Q3",4.30015625,"Up",70359000,-41620000,28739000,-18557000,-18557000,10182000,-1095000,-907000,9087000,9084000,-3217000,5867000,5867000,5867000,5867000,877000,877000,41105000,41105000,59017000,3096000,2359000,340000,397000,104095000,40871000,166121000,-125250000,38996000,7816000,31180000,79867000,183962000,30827000,18634000,12193000,35457000,69559000,16291000,37847000,13951000,23841000,54138000,123697000,118439000,-49392000,-8782000,60265000,60265000,183962000,5867000,1464000,3836000,-20523000,-9356000,-1090000,-1090000,11014000,10770000,324000,324000,324000,11646000,51748000,-6750000,0.40846,0.14471,0.08339,0.09735,0.03189,-1.1505,1.4965,2.05255,0.2813,0.37701,0.37677,4.52121,3.87257,-0.43375,0.03915,-0.04504,4.36811,4.99617
"33","2019_Q4",3.995,"Down",66998000,-40153000,26845000,-20476000,-20476000,6369000,-791000,-603000,5578000,5578000,-1686000,3892000,3892000,3892000,3892000,697000,697000,17697000,17697000,42907000,1969000,1601000,314000,54000,63270000,40023000,166707000,-126684000,36572000,6087000,30485000,76595000,139865000,21014000,10914000,10100000,872000,25392000,13485000,36439000,13426000,23013000,49924000,75316000,118701000,-45500000,-8652000,64549000,64549000,139865000,3892000,1434000,2278000,30261000,37865000,-654000,-654000,-37391000,-37391000,-180000,-180000,-180000,7803000,14357000,39096000,0.40068,0.09506,0.05809,0.0603,0.02783,10.04522,2.49173,1.1668,0.10265,0.24859,0.24625,4.27938,4.12296,2.49719,0.03374,0.33895,1.75061,2.14476
"34","2020_Q1",3.71403225806452,"Down",28751000,-21744000,7007000,-14012000,-14012000,-7005000,-414000,-252000,-7419000,-7450000,3140000,-4310000,-4310000,-4310000,-4310000,1150000,1150000,11762000,11762000,43329000,2101000,1746000,298000,56999.9999999999,58342000,39897000,167248000,-127351000,40753000,11230000,29523000,80650000,138992000,20586000,10587000,9999000,878000,25118000,15818000,43238000,21310000,21858000,59056000,84174000,118939000,-49810000,-14311000,54818000,54818000,138992000,-4310000,1419000,-2679000,5106000,-464000,-1236000,-1295000,2339000,2212000,453000,453000,453000,-5586000,16696000,-4856000,0.24371,-0.24364,-0.14991,-0.07862,-0.03101,1.12668,2.32272,1.53552,0.12012,-0.27529,-0.27085,1.83642,3.50141,-0.310169999999999,-0.03756,-0.04232,-2.78303,-2.21927
"35","2020_Q2",2.46365079365079,"Down",17817000,-12913000,4904000,-11931000,-11931000,-7027000,-946000,-404000,-7973000,-7973000,3275000,-4698000,-4698000,-4698000,-4698000,327000,327000,7564000,7564000,58190000,2939000,2413000,469000,57000,69020000,39426000,167946000,-128520000,43046000,14481000,28565000,82472000,151492000,27241000,16656000,10585000,10618000,42386000,15630000,42757000,21365000,21392000,58387000,100773000,119193000,-54508000,-13966000,50719000,50719000,151492000,-4698000,1393000,-1859000,-4723000,-9887000,-488000,-488000,9552000,9552000,-823000,-823000,-823000,-5634000,26248000,-14120000,0.27524,-0.3944,-0.26368,-0.09263,-0.03101,3.00553,1.62837,1.98689,0.17326,-0.30011,-0.30011,1.13818,3.24,-0.90201,-0.03924,-0.11794,-4.60082,-3.68877
"36","2020_Q3",2.3003125,"Down",59456000,-36253000,23203000,-15488000,-15488000,7715000,-1036000,-494000,6679000,6679000,-3126000,3553000,3553000,3553000,3553000,878000,878000,32688000,32688000,49444000,2769000,2174000,535000,60000,85779000,38847000,168443000,-129596000,38743000,11222000,27521000,77590000,163369000,28776000,16764000,12012000,18387000,51744000,15407000,41486000,21419000,20067000,56893000,108637000,119308000,-50955000,-13621000,54732000,54732000,163369000,3553000,1282000,3810000,-14613000,-5968000,-871000,-871000,7545000,7390000,551000,551000,551000,8997000,33794000,-3361000,0.39025,0.12976,0.05976,0.06492,0.02175,-0.94596,1.65776,1.98489,0.20686,0.22582,0.22582,3.77882,3.47858,-0.21361,0.02733,-0.02585,3.65855,4.26649
"37","2020_Q4",2.24484375,"Down",56352000,-34077000,22275000,-16457000,-16457000,5818000,-961000,-419000,4857000,4864000,-384000,4480000,4480000,4480000,4480000,1202000,1202000,16877000,16877000,36872000,1990000,1608000,322000,60000,56941000,37695000,168503000,-130808000,37276000,10682000,26594000,74971000,131912000,21144000,11509000,9635000,885000,26691000,5185000,40230000,21445000,18785000,45415000,72106000,119561000,-46475000,-13280000,59806000,59806000,131912000,4480000,1220000,1085000,21722000,28507000,-459000,-459000,-27724000,-27724000,324000,324000,324000,7038000,6070000,28685000,0.39528,0.10324,0.0795,0.07491,0.03396,6.4029,2.13334,1.20566,0.04602,0.29262,0.29148,3.68073,3.90634,1.87361,0.04222,0.27034,0.69167,0.83671
"38","2021_Q1",3.12819672131148,"Up",19170000,-14627000,4543000,-10321000,-10321000,-5778000,-768000,-221000,-6546000,-6546000,979000,-5567000,-5567000,-5567000,-5567000,402000,402000,9759000,9759000,38270000,2536000,2311000,199000,26000,50967000,36826000,168829000,-132003000,37243000,11716000,25527000,74069000,125036000,16547000,8421000,8126000,887000,22106000,9553000,39190000,21889000,17301000,48743000,70849000,119814000,-52042000,-13585000,54187000,54187000,125036000,-5567000,1195000,-363000,-118000,-4853000.00000001,-254000,-317000,4371000.00000001,4370000,-8e+05,-8e+05,-8e+05,-4583000,10440000,-5933999.99999999,0.23698,-0.30141,-0.2904,-0.10274,-0.04452,1.06592,2.30557,1.30749,0.0835,-0.34074,-0.342,1.17334,3.31662,-0.363200000000001,-0.05362,-0.0571599999999999,-2.19027,-1.73728
"39","2021_Q2",3.26793650793651,"Up",28367000,-20679000,7688000,-11983000,-11983000,-4295000,-799000,-293000,-5094000,-5094000,1185000,-3909000,-3909000,-3909000,-3909000,556000,556000,14334000,14334000,42875000,2223000,2099000,85000,39000,59988000,36103000,168495000,-132392000,37581000,12879000,24702000,73684000,133672000,21937000,12976000,8961000,2990000,29642000,14795000,38377000,21520000,16857000,53172000,82814000,120067000,-55951000,-13258000,50858000,50858000,133672000,-3909000,1151000,-658000,-3542000,-6958000,-233000,-233000,7345000,7345000,154000,154000,154000,-3144000,17785000,-8104000,0.27102,-0.15141,-0.1378,-0.07686,-0.02924,2.07316,2.02375,1.62834,0.13305,-0.24805,-0.24805,1.80005,3.22724,-0.51425,-0.03653,-0.07572,-5.47996,-4.01141
"40","2021_Q3",3.53015625,"Up",59022000,-36703000,22319000,-16251000,-16251000,6068000,-1083000,-359000,4985000,4985000,-1225000,3760000,3760000,3760000,3760000,641000,641000,34400000,34400000,42393000,2326000,2151000,124000,51000,79760000,35748000,169265000,-133517000,34414000,10840000,23574000,70162000,149922000,33470000,18821000,14649000,5526000,43674000,14738000,34553000,1.9e+07,15553000,49291000,92965000,119985000,-52191000,-10998000,56957000,56957000,149922000,3760000,1138000,2081000,-8578000,-1599000,-730000,-620000,2480000,2304000,84999.9999999998,84999.9999999998,84999.9999999998,7206000,20264000,-876999.999999999,0.37815,0.10281,0.06371,0.06601,0.02508,-0.23324,1.82626,1.6322,0.13516,0.2369,0.2369,3.71862,3.58852,-0.0552500000000001,0.03364,-0.00785000000000001,2.72315,3.23385
"41","2021_Q4",3.30625,"Down",57331000,-37032000,20299000,-17782000,-17782000,2517000,-897000,-327000,1620000,1620000,-295000,1325000,1325000,1325000,1325000,1742000,1742000,24824000,24824000,40483000,2007000,1839000,108000,60000,69056000,35947000,170606000,-134659000,33083000,10364000,22719000,69030000,138086000,28316000,15786000,12530000,504000,33506000,12547000,32932000,18654000,14278000,45479000,78985000,120399000,-50866000,-10432000,59101000,59101000,138086000,1325000,1142000,252000,6658000,9377000,-1317000,-944000,-7214000,-7332000,1101000,1101000,1101000,3659000,13051000,9295000,0.35407,0.0439,0.02311,0.02242,0.0096,7.01509,2.061,1.33644,0.09451,0.08262,0.08207,3.57492,3.68529,0.5796,0.01261,0.08845,3.09074,4.49305
"42","2022_Q1",3.02677419354839,"Down",40108000,-29485000,10623000,-15249000,-15249000,-4626000,-613000,-216000,-5239000,-5239000,-11073000,-16312000,-16312000,-16312000,-16312000,1359000,1359000,17769000,17769000,47373000,2346000,2076000,152000,118000,68847000,35327000,170042000,-134715000,22271000,399000,21872000,57598000,126445000,31210000,19785000,11425000,340000,36284000,14173000,28542000,15430000,13112000,42715000,78999000,120653000,-67178000,-6029000,47446000,47446000,126445000,-16312000,1139000,11614000,2338000,-1221000,-715000,-574000,1463000,1412000,-383000,-383000,-383000,-3487000,14513000,9209000,0.26486,-0.11534,-0.4067,-0.3438,-0.129,-0.56455,1.89745,1.66503,0.11478,-1.06929,-1.07691,2.62917,3.11019,0.60367,-0.18024,0.10176,-3.7723,-2.84349
"43","2022_Q2",3.13403225806452,"Up",32084000,-22377000,9707000,-14451000,-14451000,-4744000,-622000,-427000,-5366000,-5366000,282000,-5084000,-5084000,-5084000,-5084000,539000,539000,13326000,13326000,66297000,2376000,2156000,135000,85000,82538000,34825000,170669000,-135844000,22044000,769000,21275000,56869000,139407000,30541000,19437000,11104000,18905000,54215000,14564000,27878000,15332000,12546000,42442000,96657000,120906000,-72262000,-5894000,42750000,42750000,139407000,-5084000,1129000,-50000,-14961000,-18966000,-609000,-609000,18955000,18755000,-820000,-820000,-820000,-3615000,33469000,-19467000,0.30255,-0.14786,-0.15846,-0.11892,-0.03647,3.82907,1.52242,2.26098,0.24008,-0.3171,-0.3171,2.00112,2.66638,-1.21418,-0.04884,-0.18701,-9.10927,-6.9414
"44","2022_Q3",4.1515625,"Up",82797000,-50952000,31845000,-20671000,-20671000,11174000,-894000,-698000,10280000,9975000,-295000,9680000,9680000,9680000,9680000,2179000,2179000,44286000,44286000,61228000,2274000,2068000,111000,95000,109967000,34908000,171881000,-136973000,20654000,488000,20166000,55562000,165529000,44220000,27290000,16930000,22736000,71865000,14504000,26655000,15238000,11417000,41159000,113024000,120684000,-62582000,-5759000,52505000,52505000,165529000,9680000,1130000,780999.999999998,-12595000,-1004000,-915000,-915000,3772000,3559000,1640000,1640000,1640000,12304000,37240000,-911000,0.38462,0.13496,0.11691,0.18436,0.05848,-0.0941100000000001,1.53019,2.15263,0.22498,0.60375,0.60375,5.16416,3.27481,-0.0568199999999996,0.08316,-0.00783,2.84956,3.13773
