"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",2.03475409836066,"Down",7352000,-929000,6423000,-5707000,-3604000,-2103000,716000,-5000.00000000003,22000,711000,2784000,17000,2801000,2801000,2801000,2801000,12159000,12159000,7130000,7130000,795000,795000,20084000,865000,4254000,140000,5119000,25203000,3355000,1160000,2195000,28000,28000,3383000,1257000,1257000,1257000,4640000,256654000,20563000,20563000,25203000,2801000,128000,-1894000,-879000,156000,-1000.00000000001,0,-1000,6851000,6851000,3617000,3772000,3772000,3772000,844000,0,-52999.9999999999,0.87364,0.09739,0.38098,0.13622,0.11114,-0.01892,5.93674,0.22565,0,0.10343,0.10343,0.27148,0.75931,-0.00196,0.12993,-14.4064,-16.98184
"35","2019_Q2",3.04666666666667,"Up",8432000,-916000,7516000,-7350000,-4668000,-2682000,166000,-10000,-10000,156000,52000,-4000,48000,48000,48000,48000,7378000,7378000,8951000,8951000,565000,565000,16894000,852000,15852000,2594000,16704000,33598000,3700000,1249000,2451000,1221000,234000,4921000,2639000,2639000,2639000,7560000,262022000,26038000,26038000,33598000,48000,321000,745000,-1768000,-654000,-110000,-41517.3348679397,-4084000,-9000,-9000,-43000,-4781000,-4781000,-4781000,487000,0,-1387000,0.89137,0.01969,0.00569,0.00184,0.00143,-28.89583,3.43304,0.29034,0,0.00153,0.00153,0.26942,0.83196,-0.04432,0.00286,-15.1499,-44.44578
"36","2019_Q3",5.135,"Up",10854000,-975000,9879000,-6936000,-4193000,-2743000,2943000,25000,-5000,2968000,3440000,-4000,3436000,3436000,3436000,3436000,6611000,6611000,13017000,13017000,938000,938000,20566000,930000,19965000,6975000,20895000,41461000,3705000,1227000,2478000,1240000,183000,4945000,6850000,6850000,6850000,11795000,262247000,29666000,29666000,41461000,3436000,360000,165000,-4868000,-907000,173000,-161648.678214748,173000.000000001,9.31322574615479e-10,-9.31322574615479e-10,-33000,-767000,-767000,-767000,3303000,-5.82076609134674e-11,-1388000,0.91017,0.27114,0.31657,0.11582,0.08287,-0.403959999999998,4.15895,0.39759,0,0.10713,0.09704,0.33842,0.92495,-0.04328,0.095,-2.00151,-2.24635
"37","2019_Q4",4.94234375,"Down",11782000,-1011000,10771000,-7252000,-4190000,-3062000,3519000,87000,0,3606000,3567000,0,3567000,3567000,3567000,3567000,23870000,23870000,11087000,11087000,763000,763000,35720000,1392000,19447000,6698000,20839000,56559000,3876000,1536000,2340000,1259000,105000,5135000,6637000,6637000,6637000,11772000,273853000,44787000,44787000,56559000,3567000,316000,758000,1748000,6389000,-524000,-282521.354127586,-524000,11412000,9000,11394000,17259000,17259000,17259000,3835000,0,5059000,0.91419,0.29868,0.30275,0.07964,0.06307,1.41828,6.95618,0.26284,0,0.0987,0.09116,0.32601,1.23926,0.13998,0.07038,-6.22425,-6.78318
"38","2020_Q1",4.97709677419355,"Up",12278000,-1025000,11253000,-7582000,-4387000,-3195000,3671000,112000,1000,3783000,3743000,-72000,3671000,3671000,3671000,3671000,28268000,28268000,10894000,10894000,802000,802000,39964000,2109000,19124000,6698000,21233000,61197000,4401000,2050000,2351000,1319000,98000.0000000001,5720000,6793000,6793000,6793000,12513000,274079000,48684000,48684000,61197000,3671000,344000,738000,407000,5160000,-828000,-326262.686693616,-828000,114000,60000,66000,4398000,4398000,4398000,4015000,3.63797880709171e-12,3666000,0.91652,0.29899,0.29899,0.0754,0.05999,0.99864,6.98671,0.25702,0,0.09525,0.08719,0.31856,1.26314,0.09512,0.06617,-7.0406,-7.70035
"39","2020_Q2",4.51984126984127,"Down",13322000,-1173000,12149000,-10184000,-6455000,-3729000,1965000,86000,4864.88098382764,2051000,2045000,-74086.6923420487,2045000,2045000,2045000,2045000,19456000,19456000,11882000,11882000,591000,591000,31929000,2152000,34269000,6807000,36421000,68350000,6019000,3463000,2556000,2963000,1690000,8982000,6515000,6515000,6515000,15497000,276203000,52853000,52853000,68350000,2045000,644000,878000,-1306000,2261000,-771000,-215000,-13136000,2045000,2045000,2063000,-8812000,-8812000,-8812000,2609000,0,2696611.11197308,0.91195,0.1475,0.15351,0.03869,0.02992,10.6431161946208,3.55478,0.29321,0,0.0518,0.04847,0.33742,1.33866,0.0625489384123444,0.03445,-7.45726,-9.90127
"40","2020_Q3",3.940625,"Down",12933000,-1268000,11665000,-10293000,-5689000,-4604000,1372000,1000,7585.66108496909,1373000,1379000,-34547.7103585871,1379000,1379000,1379000,1379000,23614000,23614000,12542000,12542000,1427000,1427000,37583000,2063000,33456000,6842000,35519000,73102000,6810000,3936000,2874000,3031000,1650000,9841000,6363000,6363000,6363000,16204000,278869000,56898000,56898000,73102000,1379000,1018000,1065000,-1388000,2074000,-81000,11000,-70000.0000000019,2151000,2151000,2154000,4158000,4158000,4158000,2390000,-2.27373675443232e-13,3272808.65169043,0.90196,0.10609,0.10663,0.02424,0.01886,19.8908823076438,3.81902,0.28479,0,0.03353,0.03245,0.31446,1.38344,0.0775155988775278,0.0218,-9.88033,-17.21137
"41","2020_Q4",4.75453125,"Up",12628000,-1326000,11302000,-11106000,-5652000,-5454000,196000,10000,3000,206000,206000,-45000,161000,161000,161000,161000,25872000,25872000,9797000,9797000,1329000,1329000,36998000,2250000,32304000,6531000,34554000,71552000,4820000,1855000,2965000,2968000,1561000,7788000,6132000,6132000,6132000,13920000,279442000,57632000,57632000,71552000,161000,1014000,1055000,1711000,3941000,-360000,11000,-1699000,0,0,16000,2258000,2258000,2258000,1210000,0,2606000,0.895,0.01552,0.01275,0.00279,0.00225,16.18634,4.75064,0.24153,0,0.00389,0.00374,0.30533,1.39349,0.06301,0.00252,-21.38182,-132
"42","2021_Q1",6.60426229508197,"Up",12417000,-1423000,10994000,-11006000,-4101000,-3985000,-11999.9999999999,-4000,-6000,-16000,695000,-115000,580000,580000,580000,580000,25754000,25754000,12347000,12347000,1189000,1189000,39290000,2170000,31443000,6479000,33613000,72903000,5365000,2282000,3083000,3005000,1572000,8370000,5817000,5758000,5817000,14187000,279946000,58716000,58716000,72903000,580000,906000,558000,-2396000,-352000,256000,-32000,224000,47000.0000000037,47000.0000000019,10000.0000000019,-118000,-118000,-118000,894000,-1.4210854715202e-14,-1131000,0.8854,-0.000969999999999986,0.04671,0.00988,0.00796,-1.95,4.69415,0.24162,0,0.01406,0.01339,0.30092,1.42294,-0.02741,0.00899,-28.80761,2146.16667
"43","2021_Q2",5.35174603174603,"Down",11381000,-1545000,9836000,-13073000,-5902000,-4873000,-3237000,12000,4000,-3225000,-3225000,-43007.0873097131,-3225000,-3225000,-3225000,-3225000,89247000,89247000,8333000,8333000,908000,908000,98488000,2161000,29035000,6369000,31196000,129684000,5978000,2640000,3338000,2454000,1027000,8432000,5597000,5538000,5597000,14029000,340110000,115655000,115655000,129684000,-3225000,2497000,1223000,3205000,3700000,-190000,11000,-179000,59938000,59938000,59972000,63493000,63493000,63493000,-740000,0,-5313823.1794252,0.86425,-0.28442,-0.28337,-0.02788,-0.02487,-4.20592994223008,11.68027,0.1213,0,-0.07436,-0.07436,0.26243,2.66683,-0.116487872311821,-0.0266,120.60405,27.5709
"44","2021_Q3",5.05390625,"Down",15919000,-3358000,12561000,-17771000,-8063000,-7063000,-5210000,21000,5000,-5189000,-5189000,-14000,-5203000,-5203000,-5203000,-5203000,29936000,29936000,14941000,14941000,2046000,2046000,46923000,3186000,87316000,5976000,90502000,137425000,10447000,3372000,7075000,2265000,864000,12712000,5240000,5181000,5240000,17952000,349131000,119473000,119473000,137425000,-5203000,2984000,1590000,-1575000,-2204000,-146000,58000,-56953000,-187000.000000015,-187000,-154000,-59311000,-59311000,-59311000,-2226000,0,-3933000,0.78906,-0.32728,-0.32684,-0.04355,-0.03786,0.755909999999999,3.69124,0.15026,0,-0.11997,-0.11997,0.36707,2.75487,-0.09069,-0.04172,13.44834,5.7458699999998
"45","2021_Q4",5.46484375,"Up",16443000,-3692000,12751000,-18348000,-8210000,-7123000,-5597000,-1000,-2000,-5598000,-18462000,-145000,-18607000,-18607000,-18607000,-18607000,32372000,32372000,12616000,12616000,1926000,1926000,46914000,3212000,84582000,6751000,87794000,134708000,22870000,4326000,18544000,2141000,701000,25011000,5877000,5818000,5877000,30888000,352085000,103820000,103820000,134708000,-18607000,3391000,14392000,1603000,779000,-402000,5000.00000000001,-397000,-57685000,-57685000,2054000,2436000,2436000,2436000,-2206000,0,-860000,0.77547,-0.34039,-1.13161,-0.17922,-0.13813,0.04622,1.87573,0.29751,0,-0.37105,-0.37105,0.3279,2.07031,-0.01715,-0.16962,14.67452,5.78381
"46","2022_Q1",3.94129032258065,"Down",14679000,-4103000,10576000,-14606000,-7326000,-7138000,-4030000,78000,69000,-3952000,-3952000,-56000,-4008000,-4008000,-4008000,-4008000,16078000,16078000,10590000,10590000,1988000,1988000,28656000,2698000,83158000,5486000,85856000,114512000,7356000,3301000,4055000,2012000,442207.134244044,9368000,4584000,4467000,4584000,13952000,352833000,100560000,100560000,114512000,-4008000,466000,1619000,-13268000,-15191000,1e+05,-74000,26000.0000000075,59813000,102000,-1129000,-16294000,-16294000,-16294000,-3564000,-1.11022302462516e-16,-16676000,0.72049,-0.27454,-0.27304,-0.03986,-0.035,4.16068,3.05892,0.13874,0,-0.06504,-0.06504,0.23819,1.63175,-0.2706,-0.03812,4.51122,3.98958000000002
"47","2022_Q2",2.90612903225806,"Down",12735000,-3637000,9098000,-16077000,-7030000,-7402000,-6979000,-4000,114192.614857212,-6983000,-6983000,-19000,-7002000,-7002000,-7002000,-7002000,9831000,9831000,12058000,12058000,2197000,2197000,24086000,2407000,82016000,5988000,84423000,108509000,7896000,3148000,4748000,1446000,45000,9342000,4984000,4867000,4984000,14326000,353458000,94183000,94183000,108509000,-7002000,1998000,1408000,-2993000,-6589000,-63000,12000,-51000,521877257.791214,279654426.971838,393000,-6247000,-6247000,-6247000,-4981000,0,-8018000,0.71441,-0.54802,-0.54982,-0.07434,-0.06453,1.1451,2.57825,0.15211,0,-0.12859,-0.12859,0.23387,1.72959,-0.14724,-0.07061,1.9737,1.40865
"48","2022_Q3",2.53734375,"Down",12674000,-3616000,9058000,-17538000,-7749000,-8213000,-8480000,17000,15000,-8463000,-8463000,-31000,-8494000,-8494000,-8494000,-8494000,5357000,5357000,11562000,11562000,2514000,2514000,19433000,2129000,79283000,4832000,81412000,100845000,8760000,3774000,4986000,1400000,-573121.402732131,10160000,3757000,3640000,3757000,13917000,354696000,86928000,86928000,100845000,-8494000,1904000,2019000,-467000,-5038000,-49000,71000,22000,1500876773.37364,893630280.915515,542000,-4474000,-4474000,-4474000,-6576000,0,-7061000,0.71469,-0.66909,-0.67019,-0.09771,-0.08423,0.83129,1.9127,0.1601,0,-0.15392,-0.15392,0.22967,1.57527,-0.12796,-0.09366,0.81463,0.63172
