"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",88.3644444444444,"Down",317448000,-56305000,261143000,-286544000,-143505000,-143039000,-25401000,-6734000,-7057000,543000,-32135000,-13411000,-45546000,8713000,-36833000,-36833000,-36833000,-36833000,727776000,354864000,372912000,238338000,238338000,429831000,62875000,62875000,1458820000,851097000,482036000,1228012000,538565000,197039000,470961000,21447000,2561145000,4019965000,319210000,319210000,374303000,676205000,173878000,173878000,850083000,1224386000,4383866000,-1573629000,-14658000,2795579000,2795579000,4019965000,-36833000,19085000,41824000,-5296000,18780000,-47757000,8103000,-169000,-39823000,-8717000,18856000,-2186999.99999997,-2186999.99999997,6630000,-6316000.00000001,676205000,-68082000,0.82263,-0.08002,-0.11603,-0.01318,-0.00916,1.8484,3.89743,0.43797,0.16821,-0.21123,-0.21123,1.8205,16.03209,-0.39044,-0.0101,-0.01867,8.16514,2.03027
"31","2017_Q4",86.9533333333333,"Down",334148000,-59480000,274668000,-284635000,-130532000,-154103000,-9967000,-6894000,-6908000,267000,-16861000,-3760000,-20621000,8094000,-12527000,-12527000,-12527000,-12527000,1257099000,431399000,825700000,251891000,251891000,457393000,83646000,83646000,2050029000,878624000,416304000,1235740000,530957000,197039000,484759000,22985000,2530668000,4580697000,364920000,364920000,417529000,1166036000,183570000,183570000,1349606000,1767135000,4421152000,-1586156000,-21434000,2813562000,2813562000,4580697000,-12527000,20700000,37805000,-7686000,38292000,-42482000,-387747000,0,-430229000,-5237000,481936000,89999000,89999000,76535000,10733000,1166036000,-47529000,0.822,-0.02983,-0.03749,-0.00445,-0.00273,3.79412,4.90991,0.62808,0.25455,-0.07154,-0.07154,1.90829,16.06804,-0.27143,-0.00301,-0.01142,-8.48439,9.13645
"32","2018_Q1",85.8198360655738,"Down",358305000,-75995000,282310000,-328888000,-160280000,-168608000,-46578000,-3449000,-6842000,3688000,-50027000,104625000,54598000,-105990000,-51392000,-51392000,-51392000,-51392000,1395968000,598028000,797940000,261365000,261365000,475775000,74036000,74036000,2207144000,896700000,385785000,1143496000,517510000,197039000,399095000,29852000,2425981000,4633125000,401921000,401921000,816518000,813521000,194423000,194423000,1007944000,1824462000,4469172000,-1637548000,-22961000,2808663000,2808663000,4633125000,-51392000,28664000,8770000,28572000,14614000,85110000,54629000,-193000,139546000,-1618000,13095999.9999999,167256000,167256000,166629000,-17914000,1174470000,201758000,0.7879,-0.13,-0.14343,-0.0183,-0.01109,-3.92586,2.70312,0.64958,0.25349,-0.2928,-0.2928,2.04138,16.00186,1.14948,-0.0123,0.0483,12.36452,4.75542
"33","2018_Q2",87.5725,"Up",373447000,-82333000,291114000,-322284000,-138336000,-183948000,-31170000,-6432000,-6328000,-172000,-37602000,-13202000,-50804000,6655000,-44149000,-44149000,-44149000,-44149000,1382795000,473980000,908815000,318394000,318394000,468161000,71760000,71760000,2241110000,895392000,313599000,1146616000,509902000,197039000,407009000,32666000,2355607000,4596717000,346538000,346538000,773471000,817672000,198571000,198571000,1016243000,1789714000,4496611000,-1661063000,-28545000,2807003000,2807003000,4596717000,-44149000,23633000,43891000,-65884000,-42509000,-30164000,-41471000,-99000,-71734000,-22899000,-9765000,-124008000,-124008000,-124048000,-7537000,1182998000,-110240000,0.77953,-0.08347,-0.11822,-0.01573,-0.0096,2.497,2.89747,0.63759,0.25736,-0.25094,-0.25063,2.12268,15.95505,-0.62661,-0.01054,-0.02632,26.50882,6.40991
"34","2018_Q3",99.8184126984127,"Up",372845000,-79019000,293826000,-328862000,-153280000,-175582000,-35036000,-3914000,-6656000,2849000,-38950000,9773000,-29177000,12385000,-16792000,-16792000,-16792000,-16792000,1363073000,427411000,935662000,363566000,363566000,473356000,80072000,80072000,2280067000,900480000,279988000,1164144000,502295000,197039000,425380000,39430000,2344612000,4624679000,358732000,358732000,804950000,821871000,112754000,112754000,934625000,1739575000,4564088000,-1677855000,-1129000,2885104000,2885104000,4624679000,-16792000,20977000,-3192000.00000001,-34850000,-33857000,-2518000,7982000,-742000,4721999.99999994,-48823000,-17031000,-46166000.0000001,-46166000.0000001,-46569000.0000001,-14059000,1191623000,-63812000,0.78806,-0.09397,-0.04504,-0.00582,-0.00363,3.80014,2.83256,0.60295,0.25767,-0.09494,-0.09494,2.10798,16.31173,-0.36078,-0.00401,-0.01523,12.19504,4.89354
"35","2018_Q4",95.1266666666667,"Down",391706000,-78893000,312813000,-309974000,-148566000,-161408000,2839000,-3672000,-5793000,2589000,-833000,-18580000,-19413000,6793000,-12620000,-12620000,-12620000,-12620000,1443376000,882184000,561192000,384343000,384343000,508482000,71652000,71652000,2407853000,924033000,204883000,1158485000,494687000,197039000,429194000,37565000,2287401000,4695254000,378226000,378226000,838660000,826119000,115530000,115530000,941649000,1780309000,4607580000,-1690475000,-2160000,2914945000,2914945000,4695254000,-12620000,26345000,46075000,-12600000,47200000,-49859000,451354000,831000,402326000,-5566000,5151000,454677000,454677000,454773000,29184000,1200349000,-40068000,0.79859,0.00725,-0.03222,-0.00433,-0.00269,3.17496,2.87107,0.61075,0.25565,-0.07111,-0.07111,2.20703,16.42398,-0.22576,-0.00298,-0.00947,-8.32741,-85.60303
"36","2019_Q1",92.682131147541,"Down",353214000,-75019000,278195000,-339561000,-164171000,-175390000,-61366000,-5163000,-2056000,-3061000,-66529000,23218000,-43311000,39661000,-3650000,-3650000,-3650000,-3650000,1084308000,493982000,590326000,342633000,342633000,530871000,98403000,98403000,2056215000,948682000,235864000,1186367000,491808000,197039000,460952000,36568000,2370913000,4427128000,437290000,437290000,523241000,830417000,105530000,105530000,935947000,1459188000,4656803000,-1694134000,5271000,2967940000,2967940000,4427128000,-3650000,24716000,-35606000,63914000,49374000,-12079000,-58883999.9999999,0,-70963000,-3254000,-366362000,-387951000,-387951000,-388202000,-36650000,830417000,-24476000,0.78761,-0.17374,-0.01033,-0.00123,-0.00082,6.70575,3.92977,0.49165,0.18757,-0.02051,-0.02044,1.98482,16.67776,-0.13754,-0.00093,-0.00627,6.92745,4.13732
"37","2019_Q2",85.5461904761905,"Down",400745000,-89182000,311563000,-345749000,-162158000,-183591000,-34186000,994000,-429000,1608000,-33192000,-19765000,-52957000,-3516000,-56473000,-56473000,-56473000,-56473000,894854000,364369000,530485000,393429000,393429000,534696000,93876000,93876000,1916855000,951890000,3.2e+08,1246653000,485981000,197039000,467333000,96300000,2518543000,4435398000,412830000,412830000,500986000,834766000,163019000,163019000,997785000,1498771000,4670167000,-1753334000,19794000,2936627000,2936627000,4435398000,-56473000,22427000,57397000,-78219000,-54868000,-28756000,-19949000,-1774000,-50479000,-30779000,-24981000,-130328000,-130328000,-129613000,-11759000,834766000,-115218000,0.77746,-0.08531,-0.14092,-0.01923,-0.01273,2.04023,3.82616,0.51037,0.18821,-0.31678,-0.31678,2.24795,16.47283,-0.64631,-0.01435,-0.02928,5.10996,1.75768
"38","2019_Q3",77.023125,"Down",387763000,-77436000,310327000,-346395000,-160754000,-185641000,-36068000,-540999.999999999,-967000,470000,-36609000,-5286000,-41895000,4460000,-37435000,-37435000,-37435000,-37435000,731103000,307577000,423526000,377150000,377150000,578736000,119779000,119779000,1806768000,962970000,374965000,1248681000,476632000,197039000,475554000,99456000,2586616000,4393384000,429502000,429502000,439428000,839165000,153837000,153837000,993002000,1432430000,4734284000,-1790769000,17439000,2960954000,2960954000,4393384000,-37435000,26344000,9557000,-22804000,-24338000,-39209000,57106000,1774000,19671000,-64975000,-51760000,-56426999.9999999,-56426999.9999999,-56792000,-9723999.99999999,839165000,-76197000,0.8003,-0.09302,-0.09654,-0.01264,-0.00852,2.03545,4.11164,0.48377,0.19101,-0.20907,-0.20907,2.16563,16.53675,-0.42556,-0.00947,-0.01927,-11.11292,-2.99606
"39","2019_Q4",75.5303125,"Down",461097000,-96949000,364148000,-343075000,-170112000,-172963000,21073000,5812000,2403000,3960000,26885000,-17063000,9822000,45214000,55036000,55036000,55036000,55036000,720792000,423220000,297572000,402970000,402970000,609049000,126548000,126548000,1859359000,969300000,431804000,1297665000,462849000,197039000,525131000,112646000,2698769000,4558128000,483745000,483745000,493745000,843616000,146362000,146362000,989978000,1483723000,4773135000,-1735733000,37003000,3074405000,3074405000,4558128000,55036000,30739000,-6061000,-9589000,70125000,-19599000,70024000,-1747000,48678000,-2705000,-1975000,116828000,116828000,115643000,51812000,843616000,-22590000,0.78974,0.0457,0.11936,0.0179,0.01207,-0.41046,3.76583,0.4826,0.18508,0.30696,0.30696,2.57172,17.14719,-0.12599,0.01354,-0.00556,2.37057,5.8285
"40","2020_Q1",86.1641935483871,"Up",454443000,-95899000,358544000,-360712000,-187900000,-172812000,-2167999.99999999,-619000,-1719000,320000,-2786999.99999999,-6994000,-9781000,24805000,15024000,15024000,15024000,15024000,753807000,437446000,316361000,377404000,377404000,680275000,130657000,130657000,1942143000,1010868000,411978000,1325050000,456580000,197039000,549422000,122009000,2747896000,4690039000,570621000,570621000,932503000,486238000,148917000,148917000,635155000,1567658000,4822926000,-1720709000,20164000,3122381000,3122381000,4690039000,15024000,25790000,7009000,9520000,57343000,-50842000,1007000,939000,-48896000,-2739000.00000001,4042000,12489000,12489000,14226000,23622000,848120000,-42505000,0.78897,-0.00477000000000002,0.0330600000000001,0.00481,0.0032,-2.82914,2.08272,0.50207,0.18083,0.0836799999999999,0.08368,2.53119,17.3913,-0.23675,0.00365,-0.01032,3.99259,-43.50231
"41","2020_Q2",99.3869841269841,"Up",502069000,-111374000,390695000,-329552000,-187295000,-142257000,61143000,-3609000,-1671000,-1861000,57534000,43818000,101352000,-19971000,81381000,81381000,81381000,81381000,858396000,476632000,381764000,396384000,396384000,705652000,155817000,155817000,2116249000,1009972000,290796000,1305824000,443717000,196199000,539990000,125918000,2606592000,4722841000,454506000,454506000,820470000,486713000,175696000,175696000,662409000,1482879000,4845163000,-1639328000,34127000,3239962000,3239962000,4722841000,81381000,25964000,11793000,-134332000,-15194000,23142000,54597000,-335000,77404000,-28844000,-19671000,42539000,42539000,39186000,87107000,852677000,-4112000,0.77817,0.12178,0.16209,0.02512,0.01723,-0.05053,2.57931,0.45768,0.18054,0.45237,0.43481,2.79085,18.00999,-0.02286,0.01907,-0.000960000000000001,-0.0656499999999962,-0.0935300000000012
"42","2020_Q3",101.17625,"Up",429485000,-97967000,331518000,-357551000,-175412000,-182139000,-26033000,-1328000,-3757000,2508000,-27361000,-14912000,-42273000,13090000,-29183000,-29183000,-29183000,-29183000,1380372000,818900000,561472000,381215000,381215000,743852000,142127000,142127000,2647566000,1010917000,323058000,1320569000,433381000,196199000,555137000,135852000,2654544000,5302110000,443202000,443202000,813302000,1073202000,178927000,178927000,1252129000,2065431000,4875140000,-1668511000,30050000,3236679000,3236679000,5302110000,-29183000,25216000,25343000,6360999.99999997,27737000,-33485000,-206170000,-9096000,-248751000,-7801000,563688000,342674000,342674000,342268000,-817000,1443302000,-41031000,0.7719,-0.06061,-0.0679499999999998,-0.00902,-0.0055,1.40599,3.25533,0.63813,0.27221,-0.16147,-0.16077,2.37639,17.90892,-0.22703,-0.00601,-0.00844,-77.0257,-2.41732
"43","2020_Q4",79.28203125,"Down",476784000,-188793000,287991000,-326503000,-179450000,-147053000,-38512000,-5275000,-5593000,1239000,-43787000,-17429000,-61216000,846019000,784803000,784803000,784803000,784803000,1505673000,1015675000,489998000,411712000,411712000,700847000,120747000,120747000,2738979000,1015062000,265122000,2138927000,427172000,196199000,1396547000,119009000,3419111000,6158090000,480403000,480403000,854693000,1074164000,175340000,175340000,1249504000,2104197000,4927216000,-883708000,10385000,4053893000,4053893000,6158090000,784803000,26634000,-707333000,-17898000,86206000,-20153000,126855000,-3000,106699000,-6022000,3256000,196161000,196161000,196775000,-11878000,1448454000,-895948000,0.60403,-0.08077,1.64603,0.19359,0.12744,-1.14162,3.20463,0.51906,0.23521,4.33239,3.63017,2.63201,22.3789,-4.94594,0.13823,-0.1578,4.81723,1.48574
"44","2021_Q1",81.6888524590164,"Up",452117000,-126138000,325979000,-352179000,-195512000,-156667000,-26200000,4655000,-1678000,5256000,-21545000,-18640000,-40185000,62284000.0000001,22099000,22099000,22099000,22099000,1065386000,649158000,416228000,448351000,448351000,698548000,129934000,129934000,2342219000,1032471000,285473000,2187857000,417271000,196199000,1432150000,142237000,3505801000,5848020000,492548000,492548000,492548000,1075145000,174325000,174325000,1249470000,1742018000,4983750000,-861609000,-16139000,4106002000,4106002000,5848020000,22099000,27358000,15706999.9999999,-78548000,-13384000,-39864000,50888999.9999999,2000,11027000,-1971000,-366155000,-368512000,-368512000,-366517000,1158000,1075145000,-179538000,0.72101,-0.05795,0.0488800000000005,0.00538,0.00378,-8.12426,4.75531,0.42426,0.18385,0.121799999999999,0.121530000000001,2.49183,22.63008,-0.98952,0.00413,-0.03352,8.42746,-0.37248
"45","2021_Q2",79.2714285714286,"Down",486030000,-120166000,365864000,-323043000,-174318000,-148725000,42821000,-1858000,-1365000,-493000,40963000,-17735000,23228000,-5857000,17371000,17371000,17371000,17371000,1087491000,667313000,420178000,396097000,396097000,713929000,91249000,91249000,2288766000,1022474000,321127000,2172686000,405903000,196199000,1429386000,141198000,3516287000,5805053000,399225000,399225000,430035000,1076127000,136881000,136881000,1213008000,1643043000,5001244000,-844238000,5004000,4162010000,4162010000,5805053000,17371000,27983000,59888000,8270000,113512000,-28254000,-42534000,-1374608.30627967,-70788000,-29097000,-24364000,18360000,18360000,18155000,70804000,1076127000,56677000,0.75276,0.0881,0.03574,0.00417000000000001,0.00299,3.26274,5.32228,0.39477,0.18538,0.09556,0.09422,2.67384,22.89687,0.3118,0.00323,0.01054,-0.160500000000001,-0.26538
"46","2021_Q3",78.8996875,"Down",501693000,-127062000,374631000,-345268000,-184161000,-161107000,29363000,2484000,654000,1830000,31847000,-17691000,14156000,-1215000,12941000,12941000,12941000,12941000,1123397000,641533000,481864000,424419000,424419000,710975000,99046000,99046000,2357837000,1026579000,350237000,2163843000,394298000,196199000,1431683000,141663000,3540659000,5898496000,411132000,411132000,443344000,1077110000,136471000,136471000,1213581000,1656925000,5073807000,-831297000,-939000,4241571000,4241571000,5898496000,12941000,27231000,52730000,-10118000,82784000,-26252000,-93097000,-908000,-120257000,-10015000,10951000,-26522000,-26522000,-25780000,56594000,1077110000,21439000,0.74673,0.05853,0.02579,0.00305,0.00219,1.65667,5.3183,0.39064,0.18261,0.0711900000000001,0.07019,2.76001,23.33457,0.11794,0.00237,0.00393,-0.81788,-1.57637
"47","2021_Q4",82.51421875,"Up",408742000,-103537000,305205000,-341202000,-183333000,-157869000,-35997000,7059000,-2043000,9102000,-28938000,-17222000,-46160000,9666000,-36494000,-36494000,-36494000,-36494000,1079476000,617143000,462333000,374937000,374937000,749406000,107751000,107751000,2311570000,1024787000,466618000,2174500000,388487000,196199000,1445109000,144705000,3665905000,5977475000,466711000,466711000,514898000,1078093000,118335000,118335000,1196428000,1711326000,5123701000,-867791000,10239000,4266149000,4266149000,5977475000,-36494000,26839000,38717000,67998000,97060000,-20360000,-99401000,-86000,-119847000,-5717000,-1031000,-23818000,-23818000,-24390000,-9158000,1078093000,28814000,0.74669,-0.08807,-0.08928,-0.00855,-0.00611,-0.78955,4.48937,0.40114,0.18036,-0.19984,-0.19984,2.23826,23.36131,0.15778,-0.00668,0.00527,0.15102,0.0384199999999995
"48","2022_Q1",83.6711290322581,"Up",449810000,-119750000,330060000,-378655000,-217563000,-161092000,-48595000,-694000,-2101000,1407000,-49289000,-17285000,-66574000,8676000,-57898000,-57898000,-57898000,-57898000,1013875000,587276000,426599000,373399000,373399000,776669000,110442000,110442000,2274385000,1035461000,507793000,2187133000,388652000,196199000,1450161000,152121000,3730387000,6004772000,498265000,498265000,546497000,1079077000,113528000,113528000,1192605000,1739102000,5181997000,-930759000,14432000,4265670000,4265670000,6004772000,-57898000,25986000,43208000,-115999.999999985,11180000,-44359000,-11062000,1.16415321826935e-10,-55421000,-1374000,14396000,-29845000,-29845000,-29867000,-22609000,1079077000,-75760000,0.73378,-0.10803,-0.12872,-0.01357,-0.00964,1.30851,4.16175,0.4077,0.1797,-0.31295,-0.31295,2.4313,23.05668,-0.4095,-0.01061,-0.01388,-2.8839,-1.34174
"49","2022_Q2",79.62,"Down",519359000,-116965000,402394000,-355455000,-194619000,-160836000,46939000,-3140000,-1986000,-1154000,43799000,90388000,134187000,-13389000,120798000,120798000,120798000,120798000,1056238000,605440000,450798000,430147000,430147000,786356000,121283000,121283000,2394024000,1039544000,462827000,2166312000,374251000,196199000,1446676000,149186000,3668683000,6062707000,426418000,426418000,490418000,1080061000,100913000,100913000,1180974000,1671392000,5197083000,-804891000,-877000.000000002,4391315000,4391315000,6062707000,120798000,27343000,-56880000,-136692000,-45431000,79325000,8457000,-1798770.18682961,87782000,-32949000,-25280000,17071000,17071000,18164000,74282000,1080061000,30304000,0.77479,0.09038,0.23259,0.02751,0.01992,0.25087,4.8816,0.38061,0.17815,0.65811,0.65811,2.82946,23.92383,0.1651,0.02168,0.00544,0.32071,0.50753
"50","2022_Q3",89.0403125,"Up",533798000,-123126000,410672000,-355025000,-196835000,-158190000,55647000,-4301000,-1354000,-2947000,51346000,-16495000,34851000,-7187000,27664000,27664000,27664000,27664000,1109747000,619802000,489945000,466507000,466507000,802315000,139029000,139029000,2517598000,1049464000,412503000,2166276000,369368000,196199000,1448912000,151797000,3628243000,6145841000,434773000,434773000,464727000,1081047000,95260000,95260000,1176307000,1641034000,5263562000,-777227000,18472000,4504807000,4504807000,6145841000,27664000,25271000,41365000,-38074000,56226000,-28035000,-1664000,-6672810.56048883,-29699000,-32482000,-11780000,14747000,14747000,14362000,80918000,1081047000,21996000,0.76934,0.10425,0.05182,0.00614,0.0045,0.79511,5.41737,0.36429,0.1759,0.14933,0.14758,2.88144,24.31692,0.11873,0.00487,0.00387,-0.35468,-0.51575
