"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",20.602380952381,"Down",119333000,-70333000,4.9e+07,-29733000,-17180000,-12553000,19267000,-1628000,-612000,-1016000,17639000,17639000,-2970000,14669000,14669000,14669000,14669000,147297000,147297000,74429000,74429000,129554000,11655000,10925000,362935000,36312000,109184000,32179000,145496000,508431000,45523000,32633000,163000,12727000,21167000,21167000,66690000,56127000,56127000,56127000,122817000,559239000,-174561000,936000,385614000,385614000,508431000,14669000,1328000,6434000.00000001,-15591000,6840000,-952000,-952000,813000,813000,-348000,5540000,5540000,931000,6471000,20595000,0,7022000,0.41062,0.16146,0.12292,0.03804,0.02885,0.4787,5.44212,0.3185,0,0.45536,0.43178,3.70438,11.97039,0.21798,0.03321,0.0159,-7.15208,-7.64504
"33","2018_Q4",17.7744444444444,"Down",95374000,-55461000,39913000,-29245000,-16400000,-12845000,10668000,-1322000,-730000,-592000,9346000,9346000,-508000,8838000,8838000,8838000,8838000,148716000,148716000,84977000,84977000,124008000,9582000,9582000,367283000,37659000,114290000,37908000,151949000,519232000,42396000,27930000,205000,14261000,23876000,23876000,66272000,55886000,55886000,55886000,122158000,562115000,-165723000,682000,397074000,397074000,519232000,8838000,1432000,3525000,-11915000,1880000,-2177000,-2177000,467000,467000,461000,164000,164000,487000,651000,12100000,0,-1484000,0.41849,0.11185,0.09267,0.02226,0.01702,-0.16791,5.54205,0.30765,0,0.27306,0.25994,2.94664,12.26787,-0.04585,0.01951,-0.00328,-12.29058,-13.94038
"34","2019_Q1",20.3091803278689,"Up",105683000,-62116000,43567000,-32045000,-17800000,-14245000,11522000,-1275000,-513000,-762000,10247000,10247000,-1784000,8463000,8463000,8463000,8463000,177993000,177993000,78727000,78727000,1.29e+08,11051000,11051000,396771000,41149000,110521000,38582000,151670000,548441000,55635000,35955000,462000,19218000,29362000,29362000,84997000,55107000,55107000,55107000,140104000,565149000,-157260000,448000,408337000,408337000,548441000,8463000,1564000,7171000,12547000,29745000,-863000,-863000,879000,879000,853000,29735000,29735000,-426000,29309000,13086000,-2.91038304567337e-11,26554000,0.41224,0.10902,0.08008,0.02073,0.01543,3.13766,4.66806,0.34311,-5.42101086242752e-20,0.26065,0.24956,3.25489,12.57621,0.81783,0.01826,0.0573,-13.60179,-15.4481
"35","2019_Q2",17.8626984126984,"Down",91477000,-53971000,37506000,-30410000,-16725000,-13685000,7096000,-562000,-389000,-173000,6534000,6534000,-472000,6062000,6062000,6062000,6062000,163104000,163104000,70947000,70947000,134051000,12310000,12161000,380412000,19638000,143405000,72048000,163043000,543455000,36285000,29641000,491000,6153000,29773000,29773000,66058000,60244000,60244000,60244000,126302000,568368000,-151198000,-17000,417153000,417153000,543455000,6062000,1615000,2861000,-22887000,-12349000,-4255000,-4255000,1828000,1828000,1547000,-15057000,-15057000,123000,-14934000,8711000,0,-17959000,0.41,0.07757,0.06627,0.01453,0.01115,-2.96255,5.75876,0.30277,0,0.18548,0.17713,2.79892,12.76361,-0.54949,0.0127,-0.03762,-18.72391,-22.98534
"36","2019_Q3",15.98109375,"Down",74305000,-42556000,31749000,-29739000,-16019000,-13720000,2010000,-655000,-466000,-189000,1355000,1355000,-799000,556000,556000,556000,556000,136340000,136340000,62279000,62279000,135141000,11597000,11448000,345357000,24326000,147399000,76801000,171725000,517082000,29795000,21771000,329000,7695000,22181000,22181000,52084000,59532000,59532000,59532000,111616000,556315000,-150642000,-207000,405466000,405466000,517082000,556000,1985000,3798000,-14316000,-7977000,-4502000,-4502000,-13060000,975000,-14370000,-26849000,-26849000,45000,-26804000,3995000,108000,-14024000,0.42728,0.02705,0.00748,0.00137,0.00108,-25.22302,6.63077,0.27528,0.000209999999999999,0.01699,0.0164,2.27031,12.38859,-0.42849,0.0012,-0.03015,-34.10063,-67.77711
"37","2019_Q4",21.06578125,"Up",69453000,-38872000,30581000,-28694000,-15764000,-12930000,1887000,-1511000,-621000,-890000,376000,376000,328000,704000,704000,704000,704000,155317000,155317000,49046000,49046000,138353000,11199000,11050000,353915000,25130000,151432000,80311000,176562000,530477000,28550000,21320000,269000,6961000,34225000,34225000,63027000,59603000,59603000,59603000,122630000,559095000,-149938000,-1310000,407847000,407847000,530477000,704000,1983000,2260000,15034000,19981000,-2307000,-2307000,643000,643000,632000,18306000,18306000,703000,19009000,3870000,252000,16269000,0.44031,0.02717,0.01014,0.00173,0.00133,23.10938,5.61529,0.30068,0.00048,0.02177,0.02112,2.14759,12.61122,0.50306,0.00151,0.03478,-40.06848,-82.17541
"38","2020_Q1",23.2354838709677,"Up",107723000,-63407000,44316000,-31104000,-17508000,-13596000,13212000,-555000,-724000,169000,12657000,12657000,-2945000,9712000,9712000,9712000,9712000,139881000,139881000,83753000,83753000,140364000,11681000,11681000,375679000,25328000,147087000,79027000,172415000,548094000,33266000,25341000,294000,7631000,34999000,34999000,68664000,11854000,11854000,60003000,128667000,559911000,-140226000,-258000,419427000,419427000,548094000,9712000,2297000,6170000,-31428000,-13249000,-905000,-905000,-1187000,2522000,-1217000,-15371000,-15371000,-268000,-15639000,15509000,48548000,-13879000,0.41139,0.12265,0.09016,0.02316,0.01772,-1.42906,5.47127,0.30677,0.08858,0.29898,0.28692,3.31619,12.9118,-0.42726,0.02024,-0.02892,-5.88903,-6.91288
"39","2020_Q2",24.3853968253968,"Up",118991000,-73442000,45549000,-31846000,-17240000,-14606000,13703000,-1441000,-821000,-620000,12262000,12262000,-1041000,11221000,11221000,11221000,11221000,174745000,174745000,64238000,64238000,136068000,16621000,16621000,391672000,26363000,144538000,77931000,170901000,562573000,35670000,26089000,344000,9237000,39130000,39130000,75373000,12052000,12052000,60028000,135401000,559215000,-130730000,-1313000,427172000,427172000,562573000,11221000,2363000,3425000,22668000,39677000,-1290000,-1290000,-2983000,4518000,-4145000,34242000,34242000,640000,34882000,16066000,48549000,38485000,0.38279,0.11516,0.0943,0.02627,0.01995,3.42973,5.19645,0.31697,0.0863,0.34135,0.32948,3.61983,12.99501,1.17075,0.023,0.0789,-7.85485,-9.20937
"40","2020_Q3",25.4990625,"Up",122965000,-71066000,51899000,-35518000,-19478000,-16040000,16381000,-808000,-1229000,421000,15573000,15573000,-2271000,13302000,13302000,13302000,13302000,190340000,190340000,64909000,64909000,149178000,16272000,16272000,420699000,27997000,139868000,75253000,167865000,588564000,44789000,30270000,298000,14221000,41316000,41316000,86759000,8994000,8994000,56781000,143540000,562872000,-117428000,-420000,445024000,445024000,588564000,13302000,2466000,6124000,-4994000,16898000,-1685000,-1685000,3273000,3273000,467000.000000001,15680000,15680000,-80000,15600000,18847000,48441000,14439000,0.42206,0.13322,0.10818,0.02989,0.0226,1.08548,4.84905,0.32254,0.0823,0.40158,0.39136,3.71226,13.43509,0.43591,0.02647,0.02874,-7.529,-8.66241
"41","2020_Q4",25.87171875,"Up",110405000,-62244000,48161000,-34279000,-19412000,-14867000,13882000,-290000,-1190000,9e+05,13592000,13592000,-2807000,10785000,10785000,10785000,10785000,211967000,211967000,45161000,45161000,159658000,18982000,18982000,435768000,29199000,125689000,67442000,154888000,590656000,43444000,24260000,328000,18856000,25234000,25234000,69383000,13017000,13017000,60610000,129993000,566228000,-106643000,1078000,460663000,460663000,590656000,10785000,2517000,6313000,-523000,19092000,-2592000,-2592000,458000,458000,286000,16786000,16786000,-1085000,15701000,16399000,48298000,16091000,0.43622,0.12574,0.09769,0.02341,0.01826,1.49198,6.28062,0.28219,0.08177,0.32212,0.31568,3.29754,13.75894,0.4806,0.02066,0.03083,-9.98043,-11.79002
"42","2021_Q1",37.2908196721311,"Up",122199000,-69224000,52975000,-38900000,-22580000,-16320000,14075000,384000,-1233000,1617000,14459000,14459000,215000,14674000,14674000,14674000,14674000,203479000,203479000,86865000,86865000,161076000,19371000,19371000,470791000,29840000,123993000,66142000,153833000,624624000,49229000,24013000,654000,24562000,34446000,34446000,84431000,11198000,11198000,58591000,143022000,570136000,-91969000,3435000,481602000,481602000,624624000,14674000,2593000,2836000,-26067000,-5964000,-1699000,-1699000,1179000,1179000,1005000,-6658000,-6658000,-1827000,-8485000,16668000,48149000,-11313000,0.43351,0.11518,0.12008,0.03047,0.02349,-0.77096,5.57604,0.29697,0.07708,0.43736,0.42779,3.64219,14.35433,-0.33719,0.02713,-0.02091,-9.31905,-11.03588
"43","2021_Q2",41.428253968254,"Up",132776000,-76341000,56435000,-36085000,-20400000,-15685000,20350000,-2149000,-996000,-1153000,18201000,18201000,-1721000,16480000,16480000,16480000,16480000,206766000,206766000,75932000,75932000,174381000,22513000,22513000,479592000,30459000,119241000,64305000,149700000,629292000,49697000,40476000,648000,8573000,33372000,33372000,83878000,10587000,10587000,57754000,141632000,567233000,-81656000,2083000,487660000,487660000,629292000,16480000,2645000,5004000,-9031000,15098000,-1347000,-1347000,-9123000,2512000,-11652000,2099000,2099000,1188000,3287000,22995000,47976000,14338000,0.42504,0.15327,0.12412,0.03379,0.02619,0.87002,5.71773,0.29043,0.07624,0.4888,0.47571,3.93819,14.46419,0.42527,0.03017,0.02625,-6.90541,-7.80295
"44","2021_Q3",43.504375,"Up",147274000,-83260000,64014000,-40017000,-23394000,-16623000,23997000,-1249000,-1234000,-14999.9999999998,22748000,22748000,-3842000,18906000,18906000,18906000,18906000,219731000,219731000,79544000,79544000,192321000,22535000,22535000,514131000,30683000,115826000,64440000,146509000,660640000,56223000,40695000,622000,14906000,49387000,49387000,106474000,13141000,13141000,60064000,166538000,561714000,-70281000,2669000,494102000,494102000,660640000,18906000,2691000,7775000,1451000,30823000,-1045000,-1045000,-12287000,1071000,-16615000,13163000,13163000,-196000,12967000,26688000,47787000,30936000,0.43466,0.16294,0.12837,0.03826,0.02862,1.63631,4.8287,0.33705,0.07233,0.56076,0.54574,4.3682,14.65526,0.91757,0.03406,0.05574,-6.44275,-7.16523
"45","2021_Q4",59.24921875,"Up",176694000,-100182000,76512000,-40118000,-23411000,-16707000,36394000,-2181000,-1218000,-963000,34213000,34213000,-6698000,27515000,27515000,27515000,27515000,271085000,271085000,78257000,78257000,196812000,23990000,23990000,570144000,32921000,107913000,63707000,140834000,710978000,59670000,35499000,623000,23548000,76604000,76604000,137195000,15432000,15432000,62104000,199299000,559946000,-50017000,1750000,511679000,511679000,710978000,27515000,2657000,10522000,25466000,66160000,-3309000,-3309000,-12155000,345000,-12403000,50448000,50448000,907000,51355000,39051000,47593000,67906000,0.43302,0.20597,0.15572,0.05377,0.0387,2.46796,4.15572,0.3895,0.06694,0.81785,0.80128,5.25203,15.20908,2.01843,0.04788,0.11816,-5.72308,-6.1409
"46","2022_Q1",68.3106451612903,"Up",205684000,-116200000,89484000,-42900000,-26484000,-16416000,46584000,-1318000,-1178000,-140000,45266000,45266000,-9517000,35749000,35749000,35749000,35749000,294923000,294923000,104410000,104410000,194984000,24929000,24929000,619246000,34972000,99022000,63568000,133994000,753240000,69644000,38025000,887000,30732000,79517000,19063000,150140000,17726000,9744000,64141000,214281000,559916000,-22722000,1765000,538959000,538959000,753240000,35749000,2825000,12778000,-13243000,38109000,-3017000,-3017000,-11561000,938000,-11783000,23309000,23309000,530000,23839000,49409000,47394000,42666000,0.43506,0.22648,0.17381,0.06633,0.04746,1.19349,4.12446,0.39758,0.06292,1.07616,1.07229,6.19176,16.22442,1.28439,0.05918,0.07063,-5.0098,-5.31361
"47","2022_Q2",57.9470967741935,"Down",203595000,-113829000,89766000,-40843000,-23870000,-16973000,48923000,-3040000,-1423000,-1617000,45883000,45883000,-4269000,41614000,41614000,41614000,41614000,297141000,297141000,118987000,118987000,203838000,28740000,28740000,648706000,35500000,97990000,61764000,133490000,782196000,63031000,50759000,1734000,10538000,83427000,83427000,147497000,29298000,29298000,75426000,222923000,554666000,4019000,588000,559273000,559273000,782196000,41614000,2848000,5980000,-24672000,25770000,-1503000,-1503000,-19509000,491000,-23053000,1214000,1214000,1002000,2216000,51771000,47167000,29865000,0.4409,0.2403,0.2044,0.07441,0.0532,0.71767,4.3981,0.39859,0.0603,1.24986,1.22355,6.11488,16.79751,0.89698,0.06546,0.04698,-4.82846,-5.10954
"48","2022_Q3",64.5959375,"Up",221177000,-121995000,99182000,-45035000,-26304000,-18731000,54147000,-5950000,-898000,-5052000,48197000,48197000,-4007000,44190000,44190000,44190000,44190000,287167000,287167000,146120000,146120000,213063000,33378000,33378000,679728000,35572000,96436000,62721000,132008000,811736000,66881000,49410000,321000,17150000,84988000,84988000,152970000,26017000,26017000,71839000,224809000,549434000,39582000,-2089000,586927000,586927000,811736000,44190000,2876000,6243000,-49857000,3452000,-1853000,-1853000,-11489000,1009000,-17631000,-16032000,-16032000,6056000,-9976000,57023000,46923000,9320000,0.44843,0.24481,0.19979,0.07529,0.05444,0.21091,4.44354,0.38303,0.05781,1.33521,1.31667,6.68289,17.73408,0.28161,0.06697,0.01412,-4.21311,-4.43688
