"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",15.0753968253968,"Up",4.209e+09,-1.888e+09,2.321e+09,-1.69e+09,-8.1e+08,-8.8e+08,6.31e+08,-3.24e+08,-3.18e+08,-6e+06,3.07e+08,3.07e+08,-1.44e+08,1.63e+08,1.63e+08,1.63e+08,1.63e+08,2.14e+08,2.14e+08,1.854e+09,1.854e+09,2.9e+09,5.57e+08,4.968e+09,1.7016e+10,2.4618e+10,1.965e+10,1.534e+09,4.1634e+10,4.6602e+10,9.94e+08,9.94e+08,1.499e+09,1.499e+09,2.603e+09,2.143e+09,5.096e+09,1.818e+10,1.002e+10,5.448e+09,3.461e+09,1.111e+09,2.82e+10,3.3296e+10,1.5282e+10,5.49e+08,1.1e+08,-2.086e+09,1.3306e+10,1.3306e+10,4.6602e+10,1.63e+08,8.8e+08,3.9e+07,-3.7e+07,5.5e+07,-2.5e+07,1.16e+08,-8.1e+07,-6e+07,1.057e+09,-7.35e+08,-7.8e+08,3e+06,-7.32e+08,-2.96e+08,-2.6e+07,5000000.00000006,-3.1e+07,-3.1e+07,273217959.737674,-3.33e+08,-8e+06,-8e+06,-8e+06,1.511e+09,1.9679e+10,8.95e+08,0.55144,0.14992,0.03873,0.01225,0.0035,5.4908,0.97488,2.50233,0.42228,0.3016,0.301,7.78784,24.61986,1.656,0.54768,0.01067,0.02081,1.81595,12.8822,30.84786
"30","2017_Q3",12.9050793650794,"Down",4.09e+09,-1.89e+09,2.2e+09,-1.833e+09,-8.84e+08,-9.49e+08,3.67e+08,-3.27e+08,-3.2e+08,-7e+06,40000000.0000001,4e+07,-2.3e+07,1.7e+07,1.7e+07,1.7e+07,1.7e+07,3.42e+08,3.42e+08,1.868e+09,1.868e+09,6.98e+08,6.91e+08,2.908e+09,1.7583e+10,3.0434e+10,1.9639e+10,1.556e+09,4.8017e+10,5.0925e+10,9.44e+08,9.44e+08,1.96e+08,1.96e+08,2.103e+09,1.813e+09,3.243e+09,2.4881e+10,9.715e+09,5.362e+09,3.23e+09,1.123e+09,3.4596e+10,3.7839e+10,1.5187e+10,5.5e+08,-5.1e+07,-2.05e+09,1.3086e+10,1.3086e+10,5.0925e+10,1.7e+07,9.49e+08,1.2e+07,-8.9e+07,7.9e+07,-2.93e+08,-4.5e+07,-3.1e+07,-2.17e+08,6.85e+08,-8.27e+08,-8.3e+08,-8e+06,6.38e+08,-2.94e+08,4.734e+09,-3.75e+08,5.109e+09,-1.499e+09,3.67e+08,4.818e+09,6.141e+09,6.141e+09,6.141e+09,1.316e+09,2.5077e+10,2.19e+08,0.5379,0.08973,0.00415999999999999,0.0013,0.00033,12.88235,0.8967,2.89156,0.49243,0.0314,0.03136,7.55503,24.17241,0.40454,0.54308,0.0065,0.00457,17.29412,18.79559,67.39782
"31","2017_Q4",10.7442857142857,"Down",4.034e+09,-1.927e+09,2.107e+09,-1.62e+09,-7.1e+08,-9.1e+08,4.87e+08,-3.43e+08,-3.62e+08,1.9e+07,1.44e+08,1.39e+08,-4.7e+07,9.2e+07,9.2e+07,9.2e+07,9.2e+07,1.6e+08,1.6e+08,1.888e+09,1.888e+09,6.46e+08,6.39e+08,2.694e+09,1.7634e+10,3.0208e+10,1.9638e+10,1.539e+09,4.7842e+10,5.0536e+10,9.39e+08,9.39e+08,1.24e+08,1.24e+08,2.203e+09,1.846e+09,3.266e+09,2.4854e+10,9.456e+09,5.183e+09,3.128e+09,1.145e+09,3.431e+10,3.7576e+10,1.492e+10,5.5e+08,3.4e+07,-1.994e+09,1.296e+10,1.296e+10,5.0536e+10,9.2e+07,9.1e+08,-1.53e+08,-1.17e+08,-5.7e+07,1.09e+08,-6.9e+07,1.9e+07,1.59e+08,9.58e+08,-7.5e+08,-7.53e+08,0,-7.56e+08,-2.91e+08,-8.2e+07,0,-8.2e+07,-8.2e+07,-2.2e+07,-3.95e+08,-1.93e+08,-1.93e+08,-1.93e+08,1.397e+09,2.4978e+10,8.03e+08,0.52231,0.12072,0.02281,0.0071,0.00182,8.72826,0.82486,2.89938,0.49426,0.16989,0.16975,7.44939,23.93259,1.48286,0.53738,0.00808,0.01694,3.16304,17.76521,50.96099
"32","2018_Q1",11.3718032786885,"Up",5.323e+09,-2.498e+09,2.825e+09,-2.301e+09,-1.104e+09,-1.197e+09,5.24e+08,-4.75e+08,-4.81e+08,6e+06,4.9e+07,5.4e+07,1.063e+09,1.117e+09,1.117e+09,1.117e+09,1.117e+09,5.51e+08,5.51e+08,2.557e+09,2.557e+09,1.086e+09,9.46e+08,4.194e+09,2.6852e+10,4.4565e+10,3.0475e+10,1.897e+09,7.1417e+10,7.5611e+10,1.555e+09,1.555e+09,4.43e+08,4.43e+08,2.859e+09,2.489e+09,4.857e+09,3.7283e+10,9.98e+09,5.178e+09,2.413e+09,2.389e+09,4.7263e+10,5.212e+10,2.4383e+10,1.069e+09,1.103e+09,-1.995e+09,2.3491e+10,2.3491e+10,7.5611e+10,1.117e+09,1.197e+09,-6.93e+08,-6.88e+08,-5.2e+07,-4.43e+08,2.9e+07,-3e+07,-4.42e+08,1.178e+09,7.35e+08,-7.43e+08,0,-8.021e+09,-5.72e+08,1.844e+09,4.05e+08,1.439e+09,-3.51e+08,-6e+06,1.266e+09,-5.577e+09,-5.577e+09,-5.577e+09,1.721e+09,3.7726e+10,9.5e+08,0.53072,0.09844,0.20984,0.04755,0.01477,0.850489999999999,0.8635,2.21872,0.49895,1.25804,1.25628,5.9951,26.45705,1.06995,0.64422,0.02372,0.01334,0.51209,21.60081,70.94466
"33","2018_Q2",12.2746875,"Up",5.945e+09,-2.803e+09,3.142e+09,-2.392e+09,-1.109e+09,-1.283e+09,7.5e+08,-5.14e+08,-5.35e+08,2.1e+07,2.36e+08,2.36e+08,-1.21e+08,1.15e+08,1.15e+08,1.15e+08,1.15e+08,5.01e+08,5.01e+08,2.432e+09,2.432e+09,1.25e+09,1.11e+09,4.183e+09,2.6826e+10,4.3784e+10,3.0778e+10,1.87e+09,7.061e+10,7.4793e+10,1.508e+09,1.508e+09,4.37e+08,4.37e+08,2.822e+09,2.432e+09,4.767e+09,3.694e+10,9.643e+09,5.085e+09,2.196e+09,2.362e+09,4.6583e+10,5.135e+10,2.4395e+10,1.079e+09,1.336e+09,-2.288e+09,2.3443e+10,2.3443e+10,7.4793e+10,1.15e+08,1.283e+09,4.08e+08,1.23e+08,2.44e+08,-1.39e+08,1.17e+08,-1.4e+07,-2.42e+08,1.667e+09,-8.02e+08,-8.05e+08,3.4e+07,-7.68e+08,-5.8e+08,-3.43e+08,-4.05e+08,6.2e+07,-6.8e+07,-2.6e+07,-9.49e+08,-5e+07,-5e+07,-5e+07,2.033e+09,3.7377e+10,1.213e+09,0.52851,0.12616,0.01934,0.00491,0.00154,10.54783,0.87749,2.19042,0.49974,0.1079,0.10756,5.57799,21.99577,1.13812,0.54419,0.00986,0.01721,5.04348,18.13871,49.168
"34","2018_Q3",14.555873015873,"Up",5.902e+09,-2.73e+09,3.172e+09,-2.405e+09,-1.115e+09,-1.29e+09,7.67e+08,-5.3e+08,-5.46e+08,1.6e+07,2.37e+08,2.37e+08,5.5e+07,2.92e+08,2.92e+08,2.92e+08,2.92e+08,7e+08,7e+08,2.471e+09,2.471e+09,1.28e+09,1.265e+09,4.451e+09,2.6494e+10,4.3401e+10,3.0715e+10,1.869e+09,6.9895e+10,7.4346e+10,1.36e+09,1.36e+09,4.37e+08,4.37e+08,2.724e+09,2.38e+09,4.521e+09,3.6878e+10,9.958e+09,4.884e+09,2.407e+09,2.667e+09,4.6836e+10,5.1357e+10,2.4439e+10,1.079e+09,1.04e+09,-2.49e+09,2.2989e+10,2.2989e+10,7.4346e+10,2.92e+08,1.29e+09,4.22e+08,2.77e+08,91000000.0000001,-4.22e+08,-8.2e+07,-1.59e+08,-1.81e+08,1.582e+09,-6.49e+08,-7.71e+08,-9.5e+07,-7.44e+08,-5.76e+08,-5.5e+07,0,-54999999.9999998,-54999999.9999999,-1e+07,-6.41e+08,1.97e+08,1.97e+08,1.95e+08,2.057e+09,3.7315e+10,9.31e+08,0.53744,0.12996,0.04947,0.0127,0.00393,3.18836,0.98452,2.23398,0.50191,0.27425,0.2732,5.54329,21.59177,0.87442,0.54099,0.01235,0.01325,1.9726,17.80019,47.73794
"35","2018_Q4",13.6333333333333,"Down",5.818e+09,-2.672e+09,3.146e+09,-2.252e+09,-9.67e+08,-1.285e+09,8.94e+08,-5.31e+08,-5.57e+08,2.6e+07,3.63e+08,3.29e+08,-5.7e+07,2.72e+08,2.72e+08,2.72e+08,2.72e+08,3.9e+08,3.9e+08,2.465e+09,2.465e+09,1.259e+09,1.24e+09,4.114e+09,2.6168e+10,4.3089e+10,3.077e+10,1.857e+09,6.9257e+10,7.3371e+10,1.387e+09,1.387e+09,7.78e+08,7.78e+08,3.121e+09,2.712e+09,5.286e+09,3.5749e+10,9.533e+09,4.392e+09,2.502e+09,2.639e+09,4.5282e+10,5.0568e+10,2.448e+10,1.081e+09,7.77e+08,-2.454e+09,2.2803e+10,2.2803e+10,7.3371e+10,2.72e+08,1.285e+09,-3.47e+08,8.6e+07,-4.82e+08,5.77e+08,-4.3e+07,2.2e+07,5.98e+08,1.787e+09,-6.84e+08,-6.84e+08,0,-6.84e+08,-5.79e+08,-8.26e+08,5.9e+08,-1.416e+09,-1.416e+09,-1.2e+07,-1.417e+09,-3.14e+08,-3.14e+08,-3.12e+08,2.179e+09,3.6527e+10,2.129e+09,0.54074,0.15366,0.04675,0.01193,0.00371,7.82721,0.77828,2.2176,0.49784,0.25494,0.25365,5.45316,21.37306,1.99549,0.54269,0.01236,0.03092,2.12868,16.58421,40.4217
"36","2019_Q1",10.1619672131148,"Down",4.915e+09,-1.794e+09,3.121e+09,-2.236e+09,-9.74e+08,-1.262e+09,8.85e+08,-5.58e+08,-5.39e+08,-1.9e+07,3.27e+08,-2.365e+09,-4.7e+07,-2.412e+09,-2.412e+09,-2.412e+09,-2.412e+09,4.88e+08,4.88e+08,2.398e+09,2.398e+09,9.34e+08,9.22e+08,3.82e+09,2.6408e+10,4.0028e+10,2.8031e+10,1.868e+09,6.6436e+10,7.0256e+10,1.933e+09,1.933e+09,6.52e+08,6.52e+08,2.946e+09,2.609e+09,5.531e+09,3.5409e+10,9.488e+09,4.319e+09,2.527e+09,2.642e+09,4.4897e+10,5.0428e+10,2.3932e+10,1.08e+09,-1.643e+09,-2.461e+09,1.9828e+10,1.9828e+10,7.0256e+10,-2.412e+09,1.262e+09,3.149e+09,3.6e+07,3.071e+09,-3e+06,3.3e+07,2.75e+08,-3.11e+08,1.996e+09,-8.82e+08,-9.15e+08,1.49011611938477e-08,-8.82e+08,-5.77e+08,-4.37e+08,-4e+07,-3.97e+08,-3.97e+08,-2e+06,-1.016e+09,97999999.9999999,97999999.9999999,9.8e+07,2.147e+09,3.6061e+10,1.309e+09,0.63499,0.18006,-0.49074,-0.12165,-0.03433,-0.542699999999999,0.69065,2.54327,0.51328,-2.26255,-2.29036,4.61046,18.59945,1.22789,0.54125,-0.02807,0.02002,-0.23922,16.5687,40.19548
"37","2019_Q2",8.42269841269841,"Down",5.647e+09,-2.52e+09,3.127e+09,-2.12e+09,-9.32e+08,-1.188e+09,1.007e+09,-5.28e+08,-5.23e+08,-5e+06,4.79e+08,-6.027e+09,-1.38e+08,-6.165e+09,-6.165e+09,-6.165e+09,-6.165e+09,4.41e+08,4.41e+08,2.347e+09,2.347e+09,1.032e+09,1.029e+09,3.82e+09,2.5793e+10,3.5175e+10,2.1526e+10,1.929e+09,6.0968e+10,6.4788e+10,1.481e+09,1.481e+09,6.32e+08,6.32e+08,3.26e+09,2.874e+09,5.373e+09,3.4858e+10,1.1014e+10,4.265e+09,2.701e+09,4.048e+09,4.5872e+10,5.1245e+10,2.3665e+10,1.09e+09,-7.693e+09,-2.429e+09,1.3543e+10,1.3543e+10,6.4788e+10,-6.165e+09,1.188e+09,6.684e+09,1.26e+08,6.525e+09,-5.25e+08,5e+06,-2.39e+08,-2.91e+08,1.182e+09,-9.06e+08,-9.31e+08,0,-9.06e+08,-2.85e+08,-8e+06,1.45e+08,-1.53e+08,-1.53e+08,-2.7e+07,-3.2e+08,-4.4e+07,-4.4e+07,-4.4e+07,2.195e+09,3.549e+10,9.02e+08,0.55375,0.17832,-1.09173,-0.45522,-0.09516,-0.14631,0.71096,3.78387,0.54779,-5.76773,-5.76773,5.28311,12.6703,0.84388,0.26663,-0.09792,0.01502,-0.04623,15.96765,34.80536
"38","2019_Q3",9.10578125,"Up",5.578e+09,-2.446e+09,3.132e+09,-2.156e+09,-9.6e+08,-1.196e+09,9.76e+08,-4.74e+08,-5.18e+08,4.4e+07,5.02e+08,502000000.000001,-1.31e+08,370999999.999999,370999999.999999,370999999.999999,370999999.999999,4.1e+08,4.1e+08,2.446e+09,2.446e+09,1.022e+09,1.014e+09,3.878e+09,2.586e+10,3.477e+10,2.1527e+10,1.962e+09,6.063e+10,6.4508e+10,1.634e+09,1.634e+09,1.595e+09,1.595e+09,3.266e+09,2.892e+09,6.495e+09,3.3193e+10,1.1128e+10,4.213e+09,2.826e+09,4.089e+09,4.4321e+10,5.0816e+10,2.3432e+10,1.09e+09,-7.321e+09,-2.419e+09,1.3692e+10,1.3692e+10,6.4508e+10,370999999.999999,1.196e+09,219999999.999999,1.18e+08,58999999.999999,-8.6e+07,-1.37e+08,-2.7e+07,77999999.9999999,1.701e+09,-7.99e+08,-8e+08,-1.2e+07,-8.11e+08,-2.69e+08,-6.52e+08,-4.5e+07,-6.07e+08,-6.07e+08,-3e+06,-9.24e+08,-3.4e+07,-3.4e+07,-3.4e+07,2.172e+09,3.4788e+10,1.418e+09,0.56149,0.17497,0.0665100000000001,0.0271000000000001,0.00575,3.8221,0.59707,3.71136,0.53928,0.346289999999999,0.346290000000001,5.20655,12.78023,1.32357,0.25109,0.01074,0.02379,0.72507,15.82781,35.22336
"39","2019_Q4",10.48828125,"Up",4.927e+09,-1.911e+09,3.016e+09,-2.066e+09,-8.31e+08,-1.235e+09,9.5e+08,-5.4e+08,-4.96e+08,-4.4e+07,4.1e+08,4.1e+08,-1.08e+08,3.02e+08,3.02e+08,3.02e+08,3.02e+08,1.404e+09,1.404e+09,2.29e+09,2.29e+09,8.95e+08,8.87e+08,4.589e+09,2.5874e+10,3.4265e+10,2.1507e+10,1.977e+09,6.0139e+10,6.4728e+10,1.712e+09,1.712e+09,1.744e+09,1.744e+09,3.133e+09,2.745e+09,6.589e+09,3.3381e+10,1.1084e+10,4.14e+09,2.91e+09,4.034e+09,4.4465e+10,5.1054e+10,2.3191e+10,1.09e+09,-7.018e+09,-2.499e+09,1.3674e+10,1.3674e+10,6.4728e+10,3.02e+08,1.235e+09,2.04e+08,1.06e+08,6e+07,1.47e+08,1.25e+08,1e+06,2.1e+07,1.888e+09,-9.29e+08,-9.57e+08,-2.5e+07,-9.54e+08,-2.75e+08,3.39e+08,5e+07,2.89e+08,-6.99e+08,-7e+06,5.7e+07,9.91e+08,9.91e+08,9.91e+08,2.185e+09,3.5125e+10,1.511e+09,0.61214,0.19282,0.06129,0.02209,0.00467,5.00331,0.69646,3.73366,0.54266,0.28157,0.28157,4.59376,12.74914,1.4088,0.2564,0.00964,0.02523,0.9106,15.43295,35.49579
"40","2020_Q1",9.93596774193548,"Down",5.306e+09,-2.257e+09,3.049e+09,-2.202e+09,-9.92e+08,-1.21e+09,8.47e+08,-4.98e+08,-4.84e+08,-1.4e+07,3.49e+08,3.49e+08,-1.26e+08,2.23e+08,2.23e+08,2.23e+08,2.23e+08,1.69e+09,1.69e+09,2.259e+09,2.259e+09,8.19e+08,8.19e+08,4.768e+09,2.6079e+10,3.3895e+10,2.1534e+10,9.567e+09,5.9974e+10,6.4742e+10,2.315e+09,1.724e+09,2.3e+09,2.3e+09,2.643e+09,2.643e+09,7.258e+09,3.2394e+10,1.162e+10,4.594e+09,2.918e+09,4.108e+09,4.4014e+10,5.1272e+10,2.2964e+10,1.09e+09,-6.814e+09,-2.68e+09,1.347e+10,1.347e+10,6.4742e+10,2.23e+08,1.21e+09,7.3e+07,9e+07,-6.5e+07,4.03e+08,2000000.00000003,4e+06,3.97e+08,1.909e+09,-9.01e+08,-9.4e+08,2e+06,-8.99e+08,-2.71e+08,-4.29e+08,-4.5e+08,20999999.9999999,-2.698e+09,-2.4e+07,-7.24e+08,2.86e+08,2.86e+08,2.86e+08,2.057e+09,3.4694e+10,1.685e+09,0.57463,0.15963,0.04203,0.01656,0.00344,7.55605,0.65693,3.80638,0.53588,0.20783,0.20783,4.94501,12.55358,1.57036,0.25256,0.00826,0.02818,1.21525,16.04473,38.96576
"41","2020_Q2",8.15365079365079,"Down",5.228e+09,-2.235e+09,2.993e+09,-2.013e+09,-8.53e+08,-1.16e+09,9.8e+08,-5.47e+08,-4.49e+08,-9.8e+07,4.33e+08,4.33e+08,-1.19e+08,3.14e+08,3.14e+08,3.14e+08,3.14e+08,1.564e+09,1.564e+09,2.175e+09,2.175e+09,9.51e+08,9.44e+08,4.69e+09,2.5956e+10,3.341e+10,2.1473e+10,1.981e+09,5.9366e+10,6.4056e+10,1.581e+09,1.581e+09,1.129e+09,1.129e+09,2.993e+09,2.639e+09,5.703e+09,3.3481e+10,1.1581e+10,4.516e+09,2.957e+09,4.108e+09,4.5062e+10,5.0765e+10,2.2732e+10,1.098e+09,-6.486e+09,-2.955e+09,1.3291e+10,1.3291e+10,6.4056e+10,3.14e+08,1.16e+09,3.01e+08,1.05e+08,1.27e+08,-4.76e+08,6e+07,-1.15e+08,-4.21e+08,1.299e+09,-9.39e+08,-9.74e+08,5389521.49274282,-9.39e+08,-2.91e+08,-1.26e+08,1.125e+09,-1.251e+09,-2.488e+09,-6.9e+07,-4.86e+08,-1.26e+08,-1.26e+08,-1.26e+08,2.14e+09,3.461e+10,8.44e+08,0.57249,0.18745,0.06006,0.02363,0.0049,2.6879,0.82237,3.8195,0.54031,0.29197,0.29027,4.86118,12.35844,0.78478,0.27058,0.01017,0.01419,0.92675,15.44206,33.72041
"42","2020_Q3",8.67515625,"Up",5.192e+09,-2.232e+09,2.96e+09,-2.057e+09,-8.95e+08,-1.162e+09,9.03e+08,-3.9e+08,-4.14e+08,2.4e+07,5.13e+08,5.13e+08,-1.36e+08,3.77e+08,3.77e+08,3.77e+08,3.77e+08,1.763e+09,1.763e+09,2.182e+09,2.182e+09,9.13e+08,9.13e+08,4.858e+09,2.6079e+10,3.3234e+10,2.1469e+10,8.903e+09,5.9313e+10,6.4171e+10,1.448e+09,1.448e+09,2.885e+09,2.885e+09,3.139e+09,2.802e+09,7.472e+09,3.1414e+10,1.1823e+10,4.428e+09,3.094e+09,4.301e+09,4.3237e+10,5.0709e+10,2.2473e+10,1.097e+09,-6.109e+09,-2.902e+09,1.3462e+10,1.3462e+10,6.4171e+10,3.77e+08,1.162e+09,1.8e+08,1.15e+08,4.5e+07,3e+07,-6.2e+07,-1.12e+08,2.04e+08,1.749e+09,-9.6e+08,-1.009e+09,1e+06,-9.59e+08,-2.71e+08,-3.2e+08,-3e+08,-2e+07,-1.208e+09,-6000000.00000001,-5.97e+08,1.93e+08,1.93e+08,1.93e+08,2.065e+09,3.4299e+10,1.271e+09,0.57011,0.17392,0.07261,0.028,0.00587,3.37135,0.65016,3.76683,0.53449,0.34906,0.34821,4.80718,12.46423,1.1768,0.25091,0.01088,0.02133,0.71883,15.75593,36.03101
"43","2020_Q4",8.43609375,"Down",5.167e+09,-2.236e+09,2.931e+09,-2.043e+09,-8.5e+08,-1.193e+09,8.88e+08,-4.08e+08,-4.09e+08,1e+06,4.8e+08,4.8e+08,-1.14e+08,3.66e+08,3.66e+08,3.66e+08,3.66e+08,5.26e+08,5.26e+08,2.143e+09,2.143e+09,8.35e+08,8.35e+08,3.504e+09,2.629e+10,3.2805e+10,2.1476e+10,8.563e+09,5.9095e+10,6.2599e+10,1.364e+09,1.364e+09,1.487e+09,1.487e+09,3.028e+09,2.65e+09,5.879e+09,3.1105e+10,1.1926e+10,4.345e+09,3.232e+09,4.349e+09,4.3031e+10,4.891e+10,2.2227e+10,1.097e+09,-5.743e+09,-2.795e+09,1.3689e+10,1.3689e+10,6.2599e+10,3.66e+08,1.193e+09,2.75e+08,9.5e+07,1.49e+08,-4e+07,-3.2e+07,-9.8e+07,9e+07,1.794e+09,-9.53e+08,-9.88e+08,1.1e+07,-9.42e+08,-2.75e+08,-1.806e+09,0,-1.806e+09,-2.638e+09,-8e+06,-2.089e+09,-1.237e+09,-1.237e+09,-1.237e+09,2.081e+09,3.2592e+10,1.202e+09,0.56725,0.17186,0.07083,0.02674,0.00585,3.28415,0.59602,3.57294,0.52065,0.33873,0.33712,4.78202,12.66906,1.11244,0.25451,0.01101,0.02065,0.75137,15.40894,36.11036
"44","2021_Q1",10.8375409836066,"Up",5.125e+09,-2.231e+09,2.894e+09,-2.061e+09,-8.66e+08,-1.195e+09,8.33e+08,-3.99e+08,-3.96e+08,-3e+06,4.34e+08,-2.208e+09,-8.1e+07,-2.289e+09,-2.289e+09,-2.289e+09,-2.289e+09,4.06e+08,4.06e+08,1.962e+09,1.962e+09,8.08e+08,8.08e+08,3.176e+09,2.6338e+10,2.988e+10,1.887e+10,8.219e+09,5.6218e+10,5.9394e+10,2.747e+09,1.134e+09,2.427e+09,2.427e+09,1.46e+09,1.46e+09,6.634e+09,2.941e+10,1.2188e+10,4.556e+09,3.342e+09,4.29e+09,4.1598e+10,4.8232e+10,1.097e+09,1.097e+09,-8.031e+09,-2.813e+09,1.1162e+10,1.1162e+10,5.9394e+10,-2.289e+09,1.195e+09,2.721e+09,5.1e+07,2.615e+09,5.5e+07,1.49e+08,-2.18e+08,1.24e+08,1.682e+09,-7.24e+08,-7.58e+08,-1.86264514923096e-09,-7.24e+08,-2.72e+08,-8.02e+08,-9.25e+08,1.23e+08,-9.81e+08,-4e+06,-1.078e+09,-1.2e+08,-1.2e+08,-1.2e+08,2.028e+09,3.1837e+10,1.44e+09,0.56468,0.16254,-0.44663,-0.20507,-0.03854,-0.6291,0.47875,4.32109,0.53603,-2.11846,-2.14644,4.74316,-9.02079,1.33271,0.25173,-0.03655,0.02609,-0.11883,15.49852,37.73229
"45","2021_Q2",12.2688888888889,"Up",5.029e+09,-2.136e+09,2.893e+09,-1.906e+09,-7.56e+08,-1.15e+09,9.87e+08,-3.55e+08,-3.89e+08,3.4e+07,6.32e+08,6.32e+08,-1.57e+08,4.75e+08,4.75e+08,4.75e+08,4.75e+08,4.86e+08,4.86e+08,1.883e+09,1.883e+09,9.24e+08,9.24e+08,3.293e+09,2.6091e+10,2.9444e+10,1.8854e+10,7.884e+09,5.5535e+10,5.8828e+10,2.494e+09,1.017e+09,3.841e+09,3.841e+09,1.452e+09,1.452e+09,7.787e+09,2.7599e+10,1.2139e+10,4.435e+09,3.471e+09,4.233e+09,3.9738e+10,4.7525e+10,2.1704e+10,1.106e+09,-7.556e+09,-2.845e+09,1.1303e+10,1.1303e+10,5.8828e+10,4.75e+08,1.15e+09,1.7e+08,1.31e+08,1.9e+07,-2.7e+08,4.5e+07,-9.3e+07,-2.22e+08,1.525e+09,-6.81e+08,-7.16e+08,6e+06,-6.75e+08,-2.94e+08,-4.35e+08,-1.5e+08,-2.85e+08,-1.176e+09,-4.5e+07,-7.74e+08,7.6e+07,7.6e+07,7.6e+07,2.137e+09,3.144e+10,1.343e+09,0.57526,0.19626,0.09445,0.04202,0.00807,2.82737,0.42288,4.20464,0.53444,0.43881,0.43515,4.64584,10.44182,1.24068,0.2716,0.01401,0.02447,0.61895,14.48479,31.3617
"46","2021_Q3",11.3584375,"Down",4.924e+09,-2.115e+09,2.809e+09,-1.803e+09,-7.62e+08,-1.041e+09,1.006e+09,-3.32e+08,-3.84e+08,5.2e+07,6.74e+08,6.74e+08,-1.68e+08,5.06e+08,5.06e+08,5.06e+08,5.06e+08,9.35e+08,9.35e+08,1.905e+09,1.905e+09,9.06e+08,9.06e+08,3.746e+09,2.5993e+10,2.9208e+10,1.8867e+10,7.663e+09,5.5201e+10,5.8947e+10,2.492e+09,9.66e+08,2.595e+09,2.595e+09,1.423e+09,1.423e+09,6.51e+09,2.8574e+10,1.2157e+10,4.321e+09,3.643e+09,4.193e+09,4.0731e+10,4.7241e+10,2.1466e+10,1.105e+09,-7.05e+09,-2.71e+09,1.1706e+10,1.1706e+10,5.8947e+10,5.06e+08,1.041e+09,2.16e+08,1.48e+08,2.6e+07,-1.24e+08,-4.1e+07,-8.8e+07,5000000.00000006,1.639e+09,-6.15e+08,-6.46e+08,-5e+06,-6.2e+08,-2.74e+08,-2.98e+08,0,-2.98e+08,-1.288e+09,-4e+06,-5.76e+08,4.43e+08,4.43e+08,4.43e+08,2.047e+09,3.1169e+10,1.476e+09,0.57047,0.20431,0.10276,0.04323,0.00858,2.917,0.57542,4.03562,0.52876,0.46745,0.46355,4.54884,10.81412,1.36354,0.25312,0.01417,0.02682,0.5415,14.76991,30.05368
