"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",25.7053125,"Up",237743000,32188000,45380000,-13192000,205555000,3045000,193609000,8901000,237743000,-220352000,-5678000,-214674000,17391000,17391000,17391000,-5016000,12375000,12375000,12375000,12375000,71307000,1060861000,211344000,32327000,32100000,137889000,298968000,2652416000,927141000,1146621000,2088806000,91828000,470693000,1089000,563610000,563610000,2652416000,12375000,14786000,5697000,-86176000,-53318000,-3493000,-2798000,-1433000,-4317000,1.5e+07,44350000,-11766000,-11766000,-11766000,32177000,927141000,-52476000,0.07315,0.05205,0.02196,0.00467,-4.24048,3.70612,0.34955,0.95368,0.89261,18.32176,43.43483,-4.04408,0.11043,0.00521,-0.01978,0.1158,26.59769,49.21132
"37","2019_Q4",25.04859375,"Down",223262000,29707000,41238000,-11531000,193555000,7606000,181312000,4637000,223262000,-216766000,-5469000,-211297000,6496000,6496000,6496000,-2547000,3949000,3949000,3949000,3949000,26193000,726924000,203987000,32085000,32100000,137889000,289383000,2203488000,525067000,1097289000,1636861000,91906000,473099000,1622000,566627000,566627000,2203488000,3949000,-10919000,27429000,40429000,60888000,-1731000,-706000,-1543000,-1965000,0,-105296000,-45114000,-45114000,-45114000,-4423000,525067000,36822000,0.0291,0.01769,0.00697,0.00179,9.32439,2.88878,0.23829,0.30794,0.28568,17.40963,44.18471,2.87132,0.12032,0.00249,0.01671,0.39073,-112.79087,76.79711
"38","2020_Q1",22.0390322580645,"Down",287903000,26854000,34832000,-7978000,261049000,8005000,243976000,9068000,287903000,-252930000,-5483000,-247447000,34973000,34973000,34973000,-9538000,25435000,25435000,25435000,25435000,79550000,848134000,212133000,31377000,32100000,137889000,326638000,2464755000,537351000,1310933000,1872033000,93963000,496998000,1761000,592722000,592722000,2464755000,25435000,2060000,18313000,10437000,56245000,-1352000,-1352000,-1536000,-4.65661287307739e-10,3.72529029846191e-09,-1536000,53357000,53357000,53357000,37033000,537351000,55656000,0.12147,0.08835,0.04291,0.01032,2.18817,3.15837,0.21801,1.98754,1.83396,22.49734,46.31653,4.34908,0.12003,0.01094,0.02258,0.0603899999999999,12.36197,13.09013
"39","2020_Q2",18.3573015873016,"Down",228220000,23166000,29716000,-6550000,205054000,-868000,215141000,-9219000,228220000,-217997000,-5659000,-212338000,10223000,10223000,10223000,-2405000,7818000,7818000,7818000,7818000,23540000,428926000,249660000,30646000,32100000,137889000,272100000,2139633000,509984000,1016075000,1552903000,82251000,503255000,1224000,586730000,586730000,2139633000,7818000,2057000,10882000,-262138000,-241023000,-1326000,-1326000,-1561000,-8434000,-5340000,186339000,-56010000,-56010000,-56010000,12280000,509984000,-248779000,0.04479,0.03426,0.01332,0.00365,-31.82131,2.64671,0.23835,0.60625,0.58099,17.69733,45.49801,-19.29158,0.12105,0.00438,-0.11627,0.19967,39.6127,47.58329
"40","2020_Q3",21.17703125,"Up",261840000,10452000,13342000,-2890000,251388000,12064000,223803000,15521000,261840000,-238576000,-6191000,-232385000,23264000,23264000,23264000,-5615000,17649000,17649000,17649000,17649000,51237000,592565000,361850000,30418000,32100000,137889000,298118000,2364317000,671934000,1062634000,1763180000,80057000,519376000,1704000,601137000,601137000,2364317000,17649000,2063000,14589000,191209000,225110000,-1835000,-1835000,-1528000,-3832000,-118000,-195578000,27697000,27697000,27697000,25327000,671934000,220316000,0.08885,0.0674,0.02936,0.00746,12.4832,2.93308,0.2842,1.39623,1.34903,20.71443,47.55656,17.42942,0.12088,0.00811,0.09318,0.08658,24.50732,26.68058
"41","2020_Q4",25.945625,"Up",272798000,8698000,12159000,-3461000,264100000,7703000,247081000,9316000,272798000,-251080000,-6211000,-244869000,21718000,21718000,21718000,-6079000,15639000,15639000,15639000,15639000,32080000,723882000,254971000,28916000,32100000,137889000,303745000,2608618000,756040000,1206383000,1993402000,79761000,533507000,1948000,615216000,615216000,2608618000,15639000,2049000,14547000,-164780000,-132470000,-547000,-547000,-1508000,-1928000,-523000,113860000,-19157000,-19157000,-19157000,23767000,756040000,-135481000,0.07961,0.05733,0.02542,0.006,-8.66302,3.24017,0.28982,1.24591,1.19891,21.73302,49.01246,-10.79337,0.12014,0.00657,-0.05194,0.09643,30.46072,33.33456
"42","2021_Q1",35.1840983606557,"Up",420129000,10310000,13089000,-2779000,409819000,8975000,386631000,14213000,420129000,-306334000,-4917000,-301417000,113795000,113795000,113795000,-31915000,81880000,81880000,81880000,81880000,35424000,693860000,1314329000,27762000,32100000,137889000,426378000,2713903000,674455000,1308871000,2028235000,80814000,601406000,3448000,685668000,685668000,2713903000,81880000,1974000,34871000,-24368000,94324000,-820000,-233000,-13981000,-798000,-1068000,-90747000,3344000.00000001,3344000.00000001,3344000.00000001,115769000,674455000,122496000,0.27086,0.19489,0.11942,0.03017,1.49604,2.95804,0.24852,6.55991,6.16286,33.65913,54.93309,9.81391000000001,1.1201,0.03532,0.04514,0.17075,5.51988,5.61563
"43","2021_Q2",45.9298412698413,"Up",370635000,10027000,12674000,-2647000,360608000,10865000,342468000,7275000,370635000,-318508000,-6275000,-312233000,52127000,52127000,52127000,-13469000,38658000,38658000,38658000,38658000,28545000,682624000,1435261000,26835000,32100000,137889000,339960000,2709151000,566622000,1371322000,1989411000,78570000,638558000,2612000,719740000,719740000,2709151000,38658000,1926000,22484000,-57309000,7268000,-999000,-999000,-1506000,-2284570.01930345,-4742000,-13148000,-6879000,-6879000,-6879000,54053000,566622000,9214000,0.14064,0.1043,0.05371,0.01427,0.23835,2.76407,0.20915,3.07319,2.90678,29.46428,57.21699,0.73248,0.11972,0.01483,0.0034,0.03896,9.95462,10.32242
"44","2021_Q3",42.918125,"Down",337845000,10173000,-4954000,15127000,327672000,6305000,312065000,9302000,337845000,-294677000,-5155000,-289522000,43168000,43168000,43168000,-12009000,31159000,31159000,31159000,31159000,39798000,625826000,1512703000,30556000,32100000,137889000,335446000,2714318000,547988000,1367632000,1961811000,81165000,668193000,3149000,752507000,752507000,2714318000,31159000,2019000,20139000,-41944000,12872000,-5740000,-4432000,-1524000,-4724342.01158207,-163000,2813000,11253000,11253000,11253000,45187000,547988000,9512000,0.12777,0.09223,0.04141,0.01148,0.30527,2.60703,0.20189,2.47704,2.34292,26.85758,59.82186,0.756169999999998,0.12115,0.01204,0.00350000000000001,0.04891,11.24638,11.77238
"45","2021_Q4",47.30703125,"Up",312874000,10781000,3909000,6872000,302093000,4494000,294541000,3058000,312874000,-275480000,-5237000,-270243000,37394000,37394000,37394000,-11144000,26250000,26250000,26250000,26250000,140819000,646778000,1515959000,29300000,32100000,137889000,333457000,2891400000,624382000,1445391000,2116446000,79033000,692537000,3384000,774954000,774954000,2891400000,26250000,2030000,9387000,77359000,115048000,-774000,-81000,-1906000,-4657000,-83000,-13946000,101021000,101021000,101021000,39424000,624382000,127153000,0.11952,0.0839,0.03387,0.00908,4.84392,2.73106,0.21594,2.07456,1.93879,24.72665,61.24516,10.04899,0.15063,0.00974,0.04398,0.07261,12.2657,12.93157
"46","2022_Q1",43.065,"Down",362826000,11203000,40410000,-29207000,351623000,2320000,339600000,9703000,362826000,-270874000,-5639000,-265235000,91952000,91952000,91952000,-29055000,62897000,62897000,62897000,62897000,213759000,829237000,1391352000,28036000,32100000,137889000,355959000,3043250000,418780000,1503350000,2090220000,78045000,740926000,4225000,823196000,953030000,3043250000,62897000,2019000,21034000,9678000,92598000,-755000.000000001,-755000,-14508000,-3022000,2692000,108862000,200705000,200705000,200705000,93971000,542854000,131949000,0.25343,0.17335,0.066,0.02067,2.09786,2.19324,0.17838,5.04035,4.51085,29.07566,65.96816,10.57395,1.16262,0.02543,0.04336,0.23066,3.50209,3.57899
"47","2022_Q2",33.8920967741935,"Down",263516000,11359000,13871000,-2512000,252157000,2364000,252557000,-2764000,263516000,-249303000,-5976000,-243327000,14213000,14213000,14213000,-4435000,9778000,9778000,9292000,9292000,47453000,918198000,1470742000,28530000,32100000,137889000,326666000,3019457000,780809000,1246683000,2074746000,62457000,748323000,3611000,814391000,944711000,3019457000,9778000,1996000,16440000,-180365000,-152146000,-2490000,-2490000,-1895000,-16158000,-2251000,-11654000,-166290000,-166290000,-166290000,16209000,780809000,-162211000,0.05394,0.03526,0.00984,0.00308,-17.45706,2.19617,0.25859,0.7369,0.68121,20.89796,64.58472,-12.86403,0.15028,0.0037,-0.05372,0.20394,45.24375,51.59755
"48","2022_Q3",34.6709375,"Up",233594000,23006000,5328000,17678000,210588000,1258000,218436000,-9106000,233594000,-239763000,-6242000,-233521000,-6169000,-6169000,-6169000,1449000,-4720000,-4720000,-3874000,-3874000,36606000,848715000,1455977000,26537000,32100000,137889000,323658000,2920581000,602920000,1236956000,2011448000,35472000,742614000,1573000,779659000,909133000,2920581000,-276329802.211245,1961625.32735717,-48093640.2913723,-405260014.564617,-710469050.267766,-1250804.47667617,32512.4711052487,76821612.8997089,-56003885.9961393,-26743779.3286617,-788420778.367874,-1498857316.16453,-1498857316.16453,-1498857316.16453,-403907890.106837,727120000,-939958422.370569,-0.02641,-0.01658,-0.00426,-0.00133,-63.157175125653,2.21249,0.24896,-0.323370000000001,-0.32337,19.49848,65.07943,-75.3876179755061,-6.17074136662588,-0.00133,-0.301694610384917,-0.357940222175343,202.20221122,-111.93289
