"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",27.1320634920635,"Up",90970000,-15758000,75212000,-56802000,-36289000,-17334000,-3179000,18410000,-1347000,-486000,221000,17063000,-17188000,-125000,-4e+05,-525000,-525000,-525000,-525000,264192000,226907000,37285000,48905000,48905000,23841000,23841000,336938000,48258000,355935000,73970000,278132000,1508000,2325000,404193000,741131000,69607000,9491000,52703000,136919000,136919000,221169000,18151000,15129000,133776000,354945000,239759000,-27262000,386186000,386186000,741131000,-525000,9360000,5755000,22710000,37300000,-383000,5301000,4918000,-3750000,-12420000,2770000,-15190000,-1123000,-23365000,18853000,18853000,1018000,19871000,27770000,130268000,50497000,0.82678,0.20237,-0.00577,-0.00136,-0.00071,-96.18476,1.52344,0.9191,0.17577,-0.01077,-0.01077,1.8667,7.92453,1.0362,0.01038,0.09446,-4.82261,-7.27452
"30","2017_Q3",30.7406349206349,"Up",93213000,-17367000,75846000,-54856000,-32842000,-18791000,-3223000,20990000,-1552000,-657000,257000,19438000,-706000,18732000,-8391000,10341000,10341000,10341000,10341000,245082000,197886000,47196000,43894000,43894000,22332000,22332000,311308000,44863000,380893000,86864000,290698000,1098000,2233000,425756000,737064000,62345000,8748000,45909000,133254000,133254000,210242000,22022000,14224000,133986000,344228000,242331000,-23112000,392836000,392836000,737064000,10341000,10488000,4079000,-2479000,22429000,-140000,-10237000,-38647000,-3750000,-7503000,2261000,-9764000,-891000,-18188000,-34406000,-34406000,5385000,-29021000,31478000,126607000,37250000,0.81368,0.22518,0.11094,0.02632,0.01403,3.60217000000003,1.48071,0.87626,0.17177,0.21445,0.21326,1.93304,8.14658,0.77249,0.03026,0.06879,-3.76374,-5.64435
"31","2017_Q4",38.4377777777778,"Up",97310000,-18075000,79235000,-57262000,-34323000,-19620000,-3319000,21973000,-1400000,-418000,239000,20573000,-1674000,18899000,-7727000,11172000,11172000,11172000,11172000,191316000,144757000,46559000,51860000,51860000,18451000,18451000,261627000,43283000,420906000,101777000,315913000,1221000,1995000,464189000,725816000,59530000,6657000,44623000,131932000,131932000,206105000,19806000,14013000,128109000,334214000,246628000,-17165000,391602000,391602000,725816000,11172000,11476000,3079000,-12285000,13442000,1215000,358000,-47306000,-3750000,-16768000,2214000,-18982000,48000,-26505000,-60369000,-60369000,7240000,-53129000,33449000,122946000,30106000,0.81425,0.2258,0.11481,0.02853,0.01539,2.69477,1.26939,0.85345,0.16939,0.23241,0.23097,2.0243,8.14633,0.62628,0.0322,0.05634,-2.04401,-3.11155
"32","2018_Q1",42.4506557377049,"Up",116079000,-17959000,98120000,-63191000,-38630000,-21243000,-3318000,34929000,-728000,244000,204000,34201000,-6120000,28081000,-11652000,16429000,16429000,16429000,16429000,183609000,133464000,50145000,61210000,61210000,18588000,18588000,263407000,42261000,413050000,94894000,315041000,1123000,1992000,455311000,718718000,69661000,9e+06,52869000,132538000,132538000,208018000,18526000,15717000,134616000,342634000,249836000,-18999000,376084000,376084000,718718000,16429000,11572000,1272000,3242000,32515000,-2512000,-4243000,-6756000,-4.65661287307739e-10,-27220000,2780000,-3e+07,-2060000,-35256000,-9497000,-9497000,-1796000,-11293000,46501000,121909000,58883000,0.84529,0.30091,0.14153,0.04368,0.02286,3.58409,1.26627,0.91106,0.16962,0.34594,0.33894,2.44423,7.91906,1.23988,0.04338,0.114,-1.32685,-1.76644
"33","2018_Q2",35.27609375,"Down",94047000,-16903000,77144000,-56254000,-32690000,-20245000,-3319000,20890000,-1585000,-828000,408000,19305000,-3122000,16183000,-3271000,12912000,12912000,12912000,12912000,167497000,117111000,50386000,53843000,53843000,16312000,16312000,237652000,41761000,403727000,85757000,315106000,948000,1916000,445488000,683140000,52640000,8913000,36203000,144573000,144573000,203032000,17821000,15658000,132456000,335488000,255047000,-15195000,347652000,347652000,683140000,12912000,11302000,4436000,2945000,31595000,-1386000,-558000,-1944000,-1547000,-42531000,2469000,-4.5e+07,0,-50697000,-21046000,-21046000,4693000,-16353000,32192000,120454000,37022000,0.82027,0.22212,0.13729,0.03714,0.0189,2.86726,1.17051,0.96501,0.17632,0.2775,0.27197,2.02126,7.47173,0.79568,0.04019,0.07619,-1.46133,-2.25194
"34","2018_Q3",37.0333333333333,"Up",96102000,-16643000,79459000,-56988000,-33848000,-19822000,-3318000,22471000,-1284000,-243000,231000,21187000,-683000,20504000,-5101000,15403000,15403000,15403000,15403000,144200000,97121000,47079000,42577000,42577000,13844000,13844000,200621000,42208000,394144000,76540000,315012000,846000,1746000,436352000,636973000,53842000,10406000,33631000,135202000,135202000,194863000,19793000,18565000,132973000,327836000,258696000,-24214000,309137000,309137000,636973000,15403000,11331000,4463000,10932000,42129000,-1810000,3023000,1213000,-1547000,-42798000,2202000,-4.5e+07,-1931000,-52758000,-9416000,-9416000,-10574000,-19990000,33802000,118999000,48025000,0.82682,0.23382,0.16028,0.04983,0.02418,3.1179,1.02955,1.06049,0.18682,0.3383,0.33422,2.11069,6.78959,1.05478,0.04886,0.10722,-0.74555,-1.12149
"35","2018_Q4",31.2515873015873,"Down",95683000,-16696000,78987000,-56627000,-33970000,-19338000,-3319000,22360000,-1961000,-946000,322000,20399000,-177000,20222000,-3476000,16746000,16746000,16746000,16746000,137881000,98697000,39184000,45817000,45817000,13696000,13696000,197394000,42689000,385349000,67712000,314951000,876000,1810000,428038000,625432000,50544000,8299000,33032000,131854000,131854000,188217000,20018000,18695000,131743000,319960000,263255000,-26112000,305472000,305472000,625432000,16746000,11014000,4671000,-9130000,23301000,-2772000,7772000,5e+06,-1547000,-16728000,3272000,-2e+07,-11000,-24657000,3644000,3644000,-2068000,1576000,33374000,117544000,24948000,0.82551,0.23369,0.17502,0.05482,0.02678,1.48979,1.04876,1.04743,0.18794,0.37106,0.36743,2.12016,6.76871,0.5528,0.05218,0.05631,-0.60937,-0.90953
"36","2019_Q1",34.3995081967213,"Up",93149000,-16731000,76418000,-65197000,-41578000,-20334000,-3285000,11221000,-2188000,-1072000,259000,9033000,-5146000,3887000,722000.000000001,4609000,4609000,4609000,4609000,139513000,105126000,34387000,58450000,58450000,30856000,25080000,228819000,30714000,381076000,58919000,314992000,1922000,5243000,411790000,640609000,57005000,10593000,38186000,133194000,133194000,196018000,24239000,20442000,134509000,330527000,267053000,-28213000,310082000,310082000,640609000,4609000,-26706000,48031000,-1607000,24327000,-1282000,4606000,3324000,-1547000,-8738000,1262000,-1e+07,-2057000,-18659000,8992000,8992000,-2563000,6429000,-15485000,116089000,-19096000,0.82038,0.12046,0.04948,0.01486,0.00719,-4.1432,1.16734,1.06593,0.18122,0.1023,0.10152,2.0675,6.88245,-0.42385,0.02426,-0.0424,1.51269,-2.08751
"37","2019_Q2",40.8971428571429,"Up",89549000,-16039000,73510000,-57686000,-34608000,-19890000,-3188000,15824000,-2003000,-843000,229000,13821000,-415000,13406000,-4004000,9402000,9402000,9402000,9402000,133458000,106516000,26942000,54572000,54572000,27654000,21878000,215684000,29351000,370856000,50297000,315010000,889000,4660000,400207000,615891000,44866000,9823000,26871000,130569000,130569000,182028000,19119000,16454000,127161000,309189000,272854000,-26614000,306702000,306702000,615891000,9402000,10486000,2979000,1577000,24444000,-246000,7405000,7159000,-1547000,-23106000,1894000,-2.5e+07,-3116626.17233644,-31645000,-42000,-42000,1432000,1390000,26310000,114635000,31645000,0.82089,0.17671,0.10499,0.03066,0.01527,3.36577,1.18489,1.00811,0.18613,0.20914,0.20761,1.99193,6.82227,0.70391,0.03722,0.07185,-0.71543,-1.18952
"38","2019_Q3",38.068125,"Down",99995000,-17611000,82384000,-63759000,-37486000,-21688000,-4585000,18625000,-2317000,-451000,344000,16308000,-3884000,12424000,-4243000,8181000,8181000,8181000,8181000,128553000,103249000,25304000,52040000,52040000,23713000,23713000,204306000,32971000,592628000,150907000,432623000,1877000,7221000,625599000,829905000,61268000,9541000,41367000,135929000,135929000,204199000,19165000,19095000,310359000,514558000,282193000,-28590000,315347000,315347000,829905000,8181000,12852000,2505000,17136000,40674000,5312000,1554000,-218432000,183373000,2409000,2409000,0,-1637000,177251000,-506999.999999998,-506999.999999998,-2760000,-3267000,31477000,298196000,58168000,0.82388,0.18626,0.08181,0.02594,0.00986,7.11013,1.00052,1.63172,0.35931,0.18338,0.18064,2.24144,7.06866,1.30386,0.02383,0.09193,5.38943,9.10835
"39","2019_Q4",38.6565625,"Up",106716000,-20825000,85891000,-68877000,-38683000,-23126000,-7068000,17014000,-3718000,-774000,377000,13296000,-1054000,12242000,1315000,13557000,13557000,13557000,13557000,145397000,124020000,21377000,63617000,63617000,27280000,27280000,236294000,31573000,592058000,136381000,432598000,10159000,12920000,623631000,859925000,62524000,6882000,44875000,143972000,143972000,215332000,24019000,23930000,311641000,526973000,289488000,-33022000,332952000,332952000,859925000,13557000,16822000,6232000,-9846000,26765000,-750000,3921000,3171000,-1880000,2044000,2044000,0,0,-6769000,23167000,23167000,-2396000,20771000,33836000,296458000,21925000,0.80486,0.15943,0.12704,0.04072,0.01577,1.61725,1.09735,1.58273,0.34475,0.30319,0.29926,2.38658,7.44609,0.49033,0.03136,0.03355,4.46451,8.87863
"40","2020_Q1",38.4661290322581,"Down",117038000,-20766000,96272000,-75566000,-44284000,-23868000,-7414000,20706000,-3551000,-751000,193000,17155000,-26732000,-9577000,4837000,-4740000,-4740000,-4740000,-4740000,173685000,154259000,19426000,72820000,72820000,38160000,38160000,284665000,29765000,566841000,99392000,432824000,18601000,16024000,596606000,881271000,72674000,10603000,53129000,157494000,157494000,240885000,26102000,26102000,310104000,550989000,295953000,-29974000,330282000,330282000,881271000,-4740000,16519000,21744000,3078000,36601000,-2168000,1890000,-277999.99999997,-1881000,2918000,2918000,0,-2641000,-8545000.00000003,27778000,27778000,2461000,30239000,37225000,294719000,33298000,0.82257,0.17692,-0.0405,-0.01435,-0.00538,-7.02489,1.18175,1.66824,0.33442,-0.10561,-0.10421,2.60774,7.35906,0.74192,0.00338,0.05114,3.25142,5.84536
"41","2020_Q2",36.564126984127,"Down",109683000,-14886000,94797000,-62731000,-36946000,-21654000,-4131000,32066000,-3397000,-816000,211000,28669000,-1354000,27315000,-6199000,21116000,21116000,21116000,21116000,177055000,161094000,15961000,62184000,62184000,35499000,35499000,274738000,29150000,586294000,93615000,432789000,17334000,42556000,615444000,890182000,50473000,10215000,31036000,161049000,161049000,230722000,51121000,51118000,331503000,562225000,296699000,-33217000,327957000,327957000,890182000,21116000,1717000,17350000,-7167000,33016000,-1148000,3508000,2360000,-1882000,-15755000,4245000,-2e+07,-1949000,-27054000,8322000,8322000,-1487000,6835000,33783000,299582000,31667000,0.86428,0.29235,0.19252,0.06439,0.02372,1.49967,1.19078,1.71433,0.33654,0.47032,0.46393,2.44299,7.30465,0.70533,0.04212,0.04666,3.62688,3.82109
"42","2020_Q3",35.08390625,"Down",100383000,-14259000,86124000,-60120000,-34156000,-21787000,-4177000,26004000,-2847000,-371000,122000,23157000,-695000.000000004,22462000,-5494000,16968000,16968000,16968000,16968000,203645000,193222000,10423000,54527000,54527000,33226000,33226000,291398000,27693000,576511000,87774000,431869000,17995000,38873000,604204000,895602000,50525000,8815000,31728000,153549000,153549000,225172000,53707000,53707000,330469000,555641000,304282000,-38244000,339961000,339961000,895602000,16968000,13524000,1980000,5485000,37957000,-609000,5534000,4925000,-1880000,3063000,3063000,3.72529029846191e-09,-1946000,-8201000,34681000,34681000,-2553000,32128000,39528000,297860000,49898000,0.85795,0.25905,0.16903,0.04991,0.01895,2.94071,1.29411,1.63443,0.33258,0.378,0.37484,2.23625,7.57337,1.11159,0.03529,0.07216,2.3835,3.6231
"43","2020_Q4",39.12796875,"Up",109699000,-14738000,94961000,-60552000,-35700000,-20676000,-4176000,34409000,-2962000,-770000,110000,31447000,-1216000,30231000,-6254000,23977000,23977000,23977000,23977000,230119000,220575000,9544000,60463000,60463000,29624000,29624000,320206000,28111000,571151000,81934000,431864000,19327000,38026000,599262000,919468000,53554000,6372000,36275000,151505000,151505000,227691000,52350000,52350000,323611000,551302000,311342000,-33601000,368166000,368166000,919468000,23977000,7480000,6340000,-6685000,31112000,-1662000,850000,-812000,-3763000,1719000,1719000,0,-177000,-9673000,20627000,20627000,6726000,27353000,41889000,293893000,39796000,0.86565,0.31367,0.21857,0.06513,0.02608,1.65976,1.40632,1.49743,0.31963,0.53238,0.52855,2.43575,8.17475,0.88363,0.04399,0.0557,1.52245,1.85341
"44","2021_Q1",42.5829508196721,"Up",122385000,-18231000,104154000,-79362000,-47315000,-24482000,-7565000,24792000,-1887000,-461000,1052000,22905000,-6278000,16627000,1034000,17661000,17661000,17661000,17661000,105995000,97990000,8005000,84040000,84040000,48900000,48900000,238935000,29817000,773030000,212747000,491726000,14490000,54067000,802847000,1041782000,70899000,9978000,53017000,166387000,166387000,262543000,68966000,68966000,433226000,695769000,306244000,-32778000,346013000,346013000,1041782000,17661000,12044000,4099000,8958000,42762000,-2209000,1500000,-213766000,105836000,-49027000,-9027000,-4e+07,-1259000,48008000,-122996000,-122996000,410999.999999998,-122585000,36836000,389517000,42551000,0.85104,0.20257,0.14431,0.05104,0.01695,2.40932,0.91008,2.01082,0.37389,0.39492,0.39127,2.73663,7.73715,0.95148,0.03133,0.05289,7.69687,11.43603
"45","2021_Q2",44.1853968253968,"Up",121280000,-17991000,103289000,-74320000,-42893000,-24548000,-6879000,28969000,-2652000,-257000,119000,26317000,-1553000,24764000,-5803000,18961000,18961000,18961000,18961000,114371000,107698000,6673000,77573000,77573000,47365000,47365000,239309000,29838000,757910000,202347000,491701000,13613000,50249000,787748000,1027057000,55019000,10105000,36143000,190597000,190597000,265740000,65006000,65006000,408764000,674504000,312137000,-30702000,352553000,352553000,1027057000,18961000,11862000,9199000,4666000,44688000,-1166000,1300000,2264000,-18763000,-11515000,3485000,-1.5e+07,-892000,-39024000,7928000,7928000,1780000,9708000,40831000,363882000,50134000,0.85166,0.23886,0.15634,0.05378,0.01846,2.64406,0.90054,1.9132,0.3543,0.42988,0.42464,2.74961,7.99295,1.13662,0.03431,0.06416,6.11082,8.61303
"46","2021_Q3",45.0840625,"Up",122488000,-19310000,103178000,-80116000,-45722000,-26415000,-7979000,23062000,-5218000,-621000,3999.99999999988,17844000,-780000,17064000,-3507000,13557000,13557000,13557000,13557000,362660000,357360000,5300000,64045000,64045000,44263000,44263000,470968000,29333000,739693000,190768000,491731000,10129000,47065000,769026000,1239994000,61239000,11358000,40553000,175472000,175472000,266077000,65416000,65416000,608196000,874273000,334064000,-28644000,365721000,365721000,1239994000,13557000,13146000,10753000,17234000,54690000,-950000,1350000,400000.00000003,262838000,-17185000,2815000,-2e+07,-45441000,192449000,247539000,247539000,2123000,249662000,36208000,572146000,55999000,0.84235,0.18828,0.11068,0.03707,0.01093,4.13063,1.77004,2.39055,0.46141,0.30736,0.30361,2.777,8.29149,1.26959,0.02125,0.05582,5.78563,9.0836
"47","2021_Q4",48.95578125,"Up",147417000,-20068000,127349000,-79782000,-46188000,-25616000,-7978000,47567000,-6539000,-128000,99000,41028000,-1521000,39507000,-8531000,30976000,30976000,30976000,30976000,383677000,379895000,3782000,77031000,77031000,48189000,48189000,508897000,28724000,737866000,179190000,491412000,10872000,56392000,766590000,1275487000,70713000,6667000,50583000,169740000,169740000,271608000,68448000,68448000,607106000,878714000,343677000,-30359000,396773000,396773000,1275487000,30976000,13127000,11104000,-19983000,35224000,-625000,1500000,1075000,3603000,-6300000,-6300000,0,-25000,-10477000,25822000,25822000,-3287000,22535000,60694000,569813000,48617000,0.86387,0.32267,0.21013,0.07807,0.02429,1.56951,1.87365,2.21465,0.44674,0.7043,0.69285,3.35183,9.02146,1.10541,0.03742,0.04697,3.06679,3.91313
"48","2022_Q1",44.4270967741936,"Down",140128000,-21080000,119048000,-92134000,-56215000,-26759000,-9160000,26914000,-6159000,-294000,555000,20755000,-6556000,14199000,727000,14926000,14926000,14926000,14926000,157373000,155406000,1967000,99815000,99815000,80620000,65365000,337808000,14345000,1011384000,287185000,671152000,1415000,51632000,1025729000,1363537000,84215000,9683000,66607000,205021000,188397465.039739,322929000,93592000,32070000,628119000,951048000,354676000,-32443000,412489000,412489000,1363537000,14926000,14849000,16626000,-2473000,43928000,-1913000,1800000,-254074000,-762000.00000003,1.86264514923096e-09,-3631943.53927615,0,-1884000,-10835000,-220981000,-220981000,-3508000,-224489000,41763000,568220000,36650000,0.84957,0.19207,0.10652,0.03619,0.01095,2.45545,1.04608,2.30563,0.41673,0.33937,0.33386,3.1861,9.3788,0.83331,0.02152,0.03412,9.83758,15.26518
"49","2022_Q2",47.1553225806452,"Up",144922000,-23212000,121710000,-90855000,-50460000,-28673000,-11722000,30855000,-3480000,-366000,589000,27375000,-1423000,25952000,-5498000,20454000,20454000,20454000,20454000,173322000,171666000,1656000,86601000,86601000,82699000,67444000,342622000,13933000,996561000,271290000,673036000,3795000,48440000,1010494000,1353116000,59650000,8041000,43547000,209771000,209771000,283730000,86129000,80198000,701063000,984793000,303240000,-29016000,368323000,368323000,1353116000,20454000,18693000,13081000,-8135000,44093000,-831000,3e+05,-531000,5755000,-20906000,4093999.99999999,-2.5e+07,-5096000,-28031000,15531000,15531000,729000,16260000,49548000,629243000,46080000,0.83983,0.21291,0.14114,0.05553,0.01512,2.25286,1.20756,2.67372,0.46503,0.46506,0.4575,3.2951,8.36463,1.04773,0.02606,0.04252,9.2016,14.77624
"50","2022_Q3",45.95171875,"Down",148747000,-23957000,124790000,-92446000,-51911000,-28643000,-11892000,32344000,-3390000,111000,155000,28954000,7891000,36845000,-7735000,29110000,29110000,29110000,29110000,225913000,224863000,1050000,64733000,64733000,65223000,65223000,355869000,13649000,985064000,252360000,673066000,4180000,55458000,998713000,1354582000,62821000,9917000,44810000,207331000,207331000,284229000,84303000,78205000,698207000,982436000,309913000,-32087000,372146000,372146000,1354582000,29110000,18850000,789000,19511000,68260000,24850000,6e+05,25450000,-1716000,-22796000,3677000,-26473000,-2266000,-34567000,59143000,59143000,-5946000,53197000,51194000,627981000,103290000,0.83894,0.21744,0.1957,0.07822,0.02149,3.54827,1.25205,2.63992,0.4636,0.66804,0.65781,3.41359,8.53037,2.3704,0.03403,0.09525,7.85381,12.43099
